"","FIPS","County","Age.Adjusted.Death.Rate","Average.Deaths.per.Year","Death.Rates.Trend","Age.Adjusted.Incidence.Rate","Average.Annual.Count","Incidence.Rate.Trend","Total.Population","Total.Male","Total.Female","Median.Age","Median.Age_Male","Median.Age_Female","Median.Income","Insurance.Coverage","Poverty","Male_Percent","Poverty_Percent","Insurance_Percent","Death_Rate","Incidence_Rate"
"1",0,"United States","46",62,"-2.4","62.4",124,"-2.5",316401380,155677645,160723735,NA,NA,NA,NA,311403206,47729744,0.492025809116256,0.15085188313654,0.984203058785648,1.95953633324861e-07,3.91907266649722e-07
"2",1001,"Autauga County, Alabama","59.3",167,"-1.5","74.9",238,"0.5",55221,26745,28476,37.7,36.7,38.4,51281,54425,7057,0.484326614874776,0.127795585012948,0.9855851940385,0.00302421180348056,0.00430995454627768
"3",1003,"Baldwin County, Alabama","48",30,"-1.7","66.9",86,"3",195121,95314,99807,42.2,40.9,43.3,50254,192770,25798,0.488486631372328,0.132215394550048,0.987951066261448,0.000153750749534904,0.000440752148666725
"4",1005,"Barbour County, Alabama","61.3",99,"0.5","74.6",152,"-6.4",26932,14497,12435,38.8,36.6,41.9,32964,24060,6421,0.538281598098916,0.238415268082578,0.893361057478093,0.00367592455072033,0.00564384375464132
"5",1007,"Bibb County, Alabama","67.8",72,"0.3","86.4",133,"-4.5",22604,12073,10531,38.9,37.8,40.4,38678,20770,3488,0.534109007255353,0.154308971863387,0.918863917890639,0.00318527694213414,0.00588391435144222
"6",1009,"Blount County, Alabama","59.9",203,"-1.6","69.7",264,"-13.6",57710,28512,29198,40.7,39.6,41.9,45813,57210,9552,0.494056489343268,0.16551724137931,0.991335990296309,0.00351758793969849,0.00457459712354878
"7",1011,"Bullock County, Alabama","29.7",190,"-1.2","65.8",350,"7.2",10678,5660,5018,39.3,37.9,40.6,31938,10107,2486,0.530061809327589,0.23281513392021,0.946525566585503,0.0177935943060498,0.0327776737216707
"8",1013,"Butler County, Alabama","52.6",55,"0.1","58.3",85,"2",20354,9502,10852,40.5,39,41.6,32229,20070,5094,0.466836985359143,0.250270217156333,0.98604696865481,0.00270217156332908,0.00417608332514493
"9",1015,"Calhoun County, Alabama","59.9",288,"-4.1","84.2",33,"-3.8",116648,56274,60374,39.1,37.5,40.6,41703,115195,23325,0.482425759550099,0.19996056511899,0.987543721281119,0.00246896646320554,0.000282902407242302
"10",1017,"Chambers County, Alabama","63.1",148,"0","75.4",202,"-7.9",34079,16258,17821,43,41.5,43.9,34177,33733,7273,0.477067989084187,0.213415886616391,0.989847119927228,0.00434285043575222,0.00592740397312128
"11",1019,"Cherokee County, Alabama","54",106,"0.6","82.4",195,"7.1",26008,12975,13033,45.4,44.6,46.2,36296,25672,4918,0.498884958474316,0.189095662872962,0.987080898185174,0.00407566902491541,0.00749769301753307
"12",1021,"Chilton County, Alabama","66",167,"0.7","73.9",224,"-0.2",43819,21619,22200,38.8,37.6,39.6,41627,43499,8288,0.493370455738378,0.189141696524339,0.992697231794427,0.00381113215728337,0.00511193774390105
"13",1023,"Choctaw County, Alabama","43",294,"-1.6","49.2",3,"9.7",13395,6382,7013,44.9,43.8,47.1,33536,13266,3093,0.476446435237029,0.230907054871221,0.99036954087346,0.0219484882418813,0.000223964165733483
"14",1025,"Clarke County, Alabama","43.9",55,"-1.2","69.5",133,"-1.3",25070,11834,13236,41.1,40,42.3,32011,24799,6107,0.472038292780215,0.243597925807738,0.989190267251695,0.00219385719984045,0.00530514559234144
"15",1027,"Clay County, Alabama","69.1",37,"2.2","83.3",77,"-13.8",13537,6671,6866,43.8,43.2,45.1,35327,13265,2201,0.492797517913866,0.162591416118786,0.979906921769964,0.00273324961217404,0.0056881140577676
"16",1029,"Cleburne County, Alabama","59.7",28,"2.6","74.9",56,"4.8",15002,7334,7668,41.3,41,41.5,38056,14846,2508,0.488868150913212,0.167177709638715,0.989601386481802,0.00186641781095854,0.00373283562191708
"17",1031,"Coffee County, Alabama","55.1",165,"-1.1","71.5",238,"-7.2",50884,25174,25710,38.8,37.6,39.7,46729,48929,8581,0.494733118465529,0.168638471818253,0.96157927835862,0.00324266960144643,0.00467730524329848
"18",1033,"Colbert County, Alabama","61.2",211,"-1.4","75.9",280,"-4.4",54444,26303,28141,42.2,40.7,43.7,40576,54022,9406,0.483120270369554,0.172764675630005,0.992248916317684,0.00387554184115789,0.00514289912570715
"19",1035,"Conecuh County, Alabama","60.2",28,"-0.1","73.5",56,"-9.7",12865,6176,6689,43.7,42.7,44.8,24900,12818,4320,0.480062184220754,0.335794792071512,0.996346677030703,0.00217644772638943,0.00435289545277886
"20",1037,"Coosa County, Alabama","68.9",17,"-0.8","82.6",56,"-11.5",11027,5579,5448,45.1,44.6,45.6,31212,10750,2073,0.505939965539131,0.187993107826245,0.974879840391766,0.0015416704452707,0.00507844381971524
"21",1039,"Covington County, Alabama","71.9",185,"1","83",243,"5.7",37886,18339,19547,42.6,41,44.5,36444,37370,7515,0.484057435464288,0.198358232592514,0.986380193211213,0.00488307026342184,0.00641397877844059
"22",1041,"Crenshaw County, Alabama","47.3",294,"-2.1","61.5",17,"14.7",13938,6863,7075,41.3,39.6,43.6,36022,13763,2288,0.492394891663079,0.164155545989382,0.987444396613574,0.021093413689195,0.00121968718610992
