,FIPS,County,Age.Adjusted.Death.Rate,Average.Deaths.per.Year,Death.Rates.Trend,Age.Adjusted.Incidence.Rate,Average.Annual.Count,Incidence.Rate.Trend,Total.Population,Total.Male,Total.Female,Median.Age,Median.Age_Male,Median.Age_Female,Median.Income,Insurance.Coverage,Poverty
1,0,United States,46,"157,376",-2.4,62.4,214614,-2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,1001,"Autauga County, Alabama",59.3,34,-1.5,74.9,43,0.5,55221,26745,28476,37.7,36.7,38.4,51281,54425,7057
3,1003,"Baldwin County, Alabama",48,121,-1.7,66.9,170,3,195121,95314,99807,42.2,40.9,43.3,50254,192770,25798
4,1005,"Barbour County, Alabama",61.3,20,0.5,74.6,25,-6.4,26932,14497,12435,38.8,36.6,41.9,32964,24060,6421
5,1007,"Bibb County, Alabama",67.8,17,0.3,86.4,23,-4.5,22604,12073,10531,38.9,37.8,40.4,38678,20770,3488
6,1009,"Blount County, Alabama",59.9,43,-1.6,69.7,51,-13.6,57710,28512,29198,40.7,39.6,41.9,45813,57210,9552
7,1011,"Bullock County, Alabama",29.7,4,-1.2,65.8,9,7.2,10678,5660,5018,39.3,37.9,40.6,31938,10107,2486
8,1013,"Butler County, Alabama",52.6,15,0.1,58.3,17,2,20354,9502,10852,40.5,39,41.6,32229,20070,5094
9,1015,"Calhoun County, Alabama",59.9,86,-4.1,84.2,120,-3.8,116648,56274,60374,39.1,37.5,40.6,41703,115195,23325
10,1017,"Chambers County, Alabama",63.1,29,0,75.4,34,-7.9,34079,16258,17821,43,41.5,43.9,34177,33733,7273
11,1019,"Cherokee County, Alabama",54,21,0.6,82.4,32,7.1,26008,12975,13033,45.4,44.6,46.2,36296,25672,4918
12,1021,"Chilton County, Alabama",66,34,0.7,73.9,39,-0.2,43819,21619,22200,38.8,37.6,39.6,41627,43499,8288
13,1023,"Choctaw County, Alabama",43,9,-1.6,49.2,10,9.7,13395,6382,7013,44.9,43.8,47.1,33536,13266,3093
14,1025,"Clarke County, Alabama",43.9,15,-1.2,69.5,23,-1.3,25070,11834,13236,41.1,40,42.3,32011,24799,6107
15,1027,"Clay County, Alabama",69.1,13,2.2,83.3,16,-13.8,13537,6671,6866,43.8,43.2,45.1,35327,13265,2201
16,1029,"Cleburne County, Alabama",59.7,12,2.6,74.9,14,4.8,15002,7334,7668,41.3,41,41.5,38056,14846,2508
17,1031,"Coffee County, Alabama",55.1,33,-1.1,71.5,43,-7.2,50884,25174,25710,38.8,37.6,39.7,46729,48929,8581
18,1033,"Colbert County, Alabama",61.2,46,-1.4,75.9,57,-4.4,54444,26303,28141,42.2,40.7,43.7,40576,54022,9406
19,1035,"Conecuh County, Alabama",60.2,12,-0.1,73.5,14,-9.7,12865,6176,6689,43.7,42.7,44.8,24900,12818,4320
20,1037,"Coosa County, Alabama",68.9,11,-0.8,82.6,14,-11.5,11027,5579,5448,45.1,44.6,45.6,31212,10750,2073
21,1039,"Covington County, Alabama",71.9,39,1,83,44,5.7,37886,18339,19547,42.6,41,44.5,36444,37370,7515
22,1041,"Crenshaw County, Alabama",47.3,9,-2.1,61.5,11,14.7,13938,6863,7075,41.3,39.6,43.6,36022,13763,2288
23,1043,"Cullman County, Alabama",61.4,63,-0.4,69.6,73,-2.2,80965,40081,40884,40.5,39.4,41.9,38971,80200,14814
24,1045,"Dale County, Alabama",63.6,37,0.4,76.7,44,-3.2,49866,24708,25158,36.8,34,39.4,45028,47170,9306
25,1047,"Dallas County, Alabama",65.3,33,0.3,76.2,39,7.4,42154,19450,22704,38.7,36.2,40,27306,41839,14580
26,1049,"DeKalb County, Alabama",56.3,46,-8.2,60.8,51,-2.1,71068,35474,35594,39.3,38.2,40.4,38192,70374,13133
27,1051,"Elmore County, Alabama",66.1,55,-0.3,78.1,66,-3.4,80763,39362,41401,37.9,36.7,39.1,53555,75501,10334
28,1053,"Escambia County, Alabama",67,32,-0.5,75.5,36,0,37935,19524,18411,40.3,39.4,41.1,32330,35607,8609
29,1055,"Etowah County, Alabama",67.7,90,0.2,81.9,110,-0.1,103766,50207,53559,40.8,39.3,42.2,39220,102735,20078
30,1057,"Fayette County, Alabama",58.3,14,-0.7,77.3,19,-6.1,16896,8477,8419,43.2,41.3,46.1,34680,16708,3055
31,1059,"Franklin County, Alabama",65.8,25,0.4,72.4,28,-3.2,31634,15311,16323,38.8,36.8,39.9,35372,31374,7020
32,1061,"Geneva County, Alabama",71.2,27,-0.7,90.3,35,-2.7,26815,13174,13641,42.2,41.5,43.3,36024,26476,6149
33,1063,"Greene County, Alabama",34.5,5,-1,87.9,10,10.2,8697,4095,4602,42.4,41.2,45.1,20541,8646,3479
34,1065,"Hale County, Alabama",57.8,11,-0.5,71,14,1.8,15256,7183,8073,40.2,38.2,41.7,32714,14998,4011
35,1067,"Henry County, Alabama",56.3,14,-1.1,66.5,17,-14.3,17252,8259,8993,43,41.7,45.1,41997,17026,2657
36,1069,"Houston County, Alabama",56.1,69,-1.1,70.8,88,-2.3,103534,49563,53971,39,37.6,40.5,41571,102646,18746
37,1071,"Jackson County, Alabama",64,46,-0.5,80.9,58,-2.6,52860,26076,26784,42.2,40.4,44.1,37745,52366,9415
38,1073,"Jefferson County, Alabama",51.5,381,-1,65.1,482,-1.8,659026,311581,347445,37.4,35.7,39.1,45610,651597,121029
39,1075,"Lamar County, Alabama",72.2,15,1.3,80.4,17,4.1,14133,6832,7301,43.7,42.7,44.3,35450,13989,3382
40,1077,"Lauderdale County, Alabama",56.8,71,0.3,69.3,87,-1.3,92737,44419,48318,41.1,39.4,42.7,43125,91962,16232
41,1079,"Lawrence County, Alabama",70,29,1.1,88.1,37,-9,33586,16421,17165,41.7,40.8,42.5,40003,33344,6225
42,1081,"Lee County, Alabama",57.1,66,0.9,59.4,71,0.3,150982,74277,76705,30.3,29.2,31.7,44570,149037,34561
43,1083,"Limestone County, Alabama",55.9,51,-4,73.4,69,-2.7,88805,44626,44179,39,37.5,40.4,49570,84805,12075
44,1085,"Lowndes County, Alabama",44,6,0.7,57.6,8,-14.5,10742,5125,5617,39.5,37.8,41.2,25876,10604,3035
45,1087,"Macon County, Alabama",41.1,10,-13.8,57.9,15,-6.1,20018,9166,10852,37.5,35.6,38.8,30738,19809,4636
46,1089,"Madison County, Alabama",50.4,179,-1.8,64.8,236,-4.6,346438,169422,177016,37.8,36.4,39.3,57993,342206,46436
47,1091,"Marengo County, Alabama",51.9,15,-1.5,61.6,17,0.1,20306,9452,10854,42.2,41,43,32042,20079,5244
48,1093,"Marion County, Alabama",51.7,23,-5.8,74.2,33,1.2,30387,15004,15383,44.1,42.9,44.7,32299,29729,5960
49,1095,"Marshall County, Alabama",66.6,75,-3,79.4,90,-5.3,94318,46409,47909,38.8,37.4,40.2,38983,93431,18794
50,1097,"Mobile County, Alabama",63.3,289,-1.2,75.4,347,-2.1,414251,198216,216035,37,35.7,38.3,43809,406218,77917
51,1099,"Monroe County, Alabama",52.9,16,-0.6,62.3,19,-8.5,22217,10639,11578,41.1,39.3,41.8,27257,22002,6901
52,1101,"Montgomery County, Alabama",49.9,117,-1.3,61,144,-9.6,228138,108296,119842,35.2,33.5,36.6,44369,222787,49918
53,1103,"Morgan County, Alabama",60.5,88,-2.1,80.4,116,-3.2,119786,58814,60972,39.5,38,41.4,45751,118084,18936
54,1105,"Perry County, Alabama",60.3,8,2.1,83.1,11,-5,10038,4651,5387,36.3,35.3,38.5,24537,9888,3373
55,1107,"Pickens County, Alabama",57.5,16,0.3,65.6,18,-13.2,19856,9657,10199,42.4,41.5,43.7,30330,19254,4801
56,1109,"Pike County, Alabama",47.2,16,-1.8,61.8,22,-11.9,33155,15818,17337,31.3,30.1,32.8,32825,32947,8158
57,1111,"Randolph County, Alabama",58.5,18,1.2,75.5,24,-8.5,22648,11090,11558,42.8,42,44.4,36924,22412,4511
58,1113,"Russell County, Alabama",64,38,-1.2,78.7,47,-3.6,58302,28347,29955,34.8,33.2,36.2,37049,56373,12054
59,1115,"St. Clair County, Alabama",65,61,-1.2,74.7,72,-2.3,85864,43141,42723,39.8,39.1,41,51859,84001,13417
60,1117,"Shelby County, Alabama",47.3,88,-0.9,57.1,108,-6.1,203530,99134,104396,37.9,37.2,38.6,70187,201820,16693
61,1119,"Sumter County, Alabama",51,9,-0.8,55.5,9,-2.3,13341,5905,7436,36.7,36,38.7,19501,13204,5372
62,1121,"Talladega County, Alabama",61,61,-0.6,74,74,2.5,81437,39494,41943,40.9,40.1,41.5,35155,78682,17950
63,1123,"Tallapoosa County, Alabama",54.5,32,-3.8,70.5,41,2,41153,19593,21560,42.8,42.4,43.3,39206,40616,9117
64,1125,"Tuscaloosa County, Alabama",54.4,100,-1.1,72.3,135,-4.1,200458,96781,103677,31.9,30.4,33.2,46565,199008,36274
65,1127,"Walker County, Alabama",79.8,71,-0.1,98.3,89,0.1,65923,32013,33910,42.4,41.4,43.6,35843,65219,14598
66,1129,"Washington County, Alabama",65.3,14,-0.2,74.8,16,-0.5,16997,8490,8507,40.9,38.9,43.3,42811,16869,3200
