"","State","StateFIPS","CountyFIPS","AreaName","Median Income","FIPS"
"13","AK",2,"013","Aleutians East Borough, Alaska","61518","2013"
"14","AK",2,"016","Aleutians West Census Area, Alaska","84306","2016"
"15","AK",2,"020","Anchorage Municipality, Alaska","78326","2020"
"16","AK",2,"050","Bethel Census Area, Alaska","51012","2050"
"17","AK",2,"060","Bristol Bay Borough, Alaska","79750","2060"
"18","AK",2,"068","Denali Borough, Alaska","81544","2068"
"19","AK",2,"070","Dillingham Census Area, Alaska","54173","2070"
"20","AK",2,"090","Fairbanks North Star Borough, Alaska","71068","2090"
"21","AK",2,"100","Haines Borough, Alaska","58750","2100"
"22","AK",2,"105","Hoonah-Angoon Census Area, Alaska","52419","2105"
"23","AK",2,"110","Juneau City and Borough, Alaska","85746","2110"
"24","AK",2,"122","Kenai Peninsula Borough, Alaska","63684","2122"
"25","AK",2,"130","Ketchikan Gateway Borough, Alaska","64222","2130"
"26","AK",2,"150","Kodiak Island Borough, Alaska","70887","2150"
"27","AK",2,"158","Kusilvak Census Area, Alaska","38229","2158"
"28","AK",2,"164","Lake and Peninsula Borough, Alaska","50781","2164"
"29","AK",2,"170","Matanuska-Susitna Borough, Alaska","72983","2170"
"30","AK",2,"180","Nome Census Area, Alaska","48868","2180"
"31","AK",2,"185","North Slope Borough, Alaska","72576","2185"
"32","AK",2,"188","Northwest Arctic Borough, Alaska","63648","2188"
"33","AK",2,"195","Petersburg Borough, Alaska","67935","2195"
"34","AK",2,"198","Prince of Wales-Hyder Census Area, Alaska","48523","2198"
"35","AK",2,"220","Sitka City and Borough, Alaska","70376","2220"
"36","AK",2,"230","Skagway Municipality, Alaska","69318","2230"
"37","AK",2,"240","Southeast Fairbanks Census Area, Alaska","62670","2240"
"38","AK",2,"261","Valdez-Cordova Census Area, Alaska","78810","2261"
"39","AK",2,"275","Wrangell City and Borough, Alaska","48603","2275"
"40","AK",2,"282","Yakutat City and Borough, Alaska","72500","2282"
"41","AK",2,"290","Yukon-Koyukuk Census Area, Alaska","38491","2290"
"414","AL",1,"001","Autauga County, Alabama","51281","1001"
