"","State","StateFIPS","CountyFIPS","AreaName","Insurance Coverage","FIPS"
"13","AK",2,"013","Aleutians East Borough, Alaska",3299,"2013"
"14","AK",2,"016","Aleutians West Census Area, Alaska",5510,"2016"
"15","AK",2,"020","Anchorage Municipality, Alaska",287811,"2020"
"16","AK",2,"050","Bethel Census Area, Alaska",17505,"2050"
"17","AK",2,"060","Bristol Bay Borough, Alaska",959,"2060"
"18","AK",2,"068","Denali Borough, Alaska",1999,"2068"
"19","AK",2,"070","Dillingham Census Area, Alaska",4961,"2070"
"20","AK",2,"090","Fairbanks North Star Borough, Alaska",93094,"2090"
"21","AK",2,"100","Haines Borough, Alaska",2554,"2100"
"22","AK",2,"105","Hoonah-Angoon Census Area, Alaska",2125,"2105"
"23","AK",2,"110","Juneau City and Borough, Alaska",31967,"2110"
"24","AK",2,"122","Kenai Peninsula Borough, Alaska",55927,"2122"
"25","AK",2,"130","Ketchikan Gateway Borough, Alaska",13376,"2130"
"26","AK",2,"150","Kodiak Island Borough, Alaska",13283,"2150"
"27","AK",2,"158","Kusilvak Census Area, Alaska",7901,"2158"
"28","AK",2,"164","Lake and Peninsula Borough, Alaska",1474,"2164"
"29","AK",2,"170","Matanuska-Susitna Borough, Alaska",94431,"2170"
"30","AK",2,"180","Nome Census Area, Alaska",9655,"2180"
"31","AK",2,"185","North Slope Borough, Alaska",9584,"2185"
"32","AK",2,"188","Northwest Arctic Borough, Alaska",7708,"2188"
"33","AK",2,"195","Petersburg Borough, Alaska",3204,"2195"
"34","AK",2,"198","Prince of Wales-Hyder Census Area, Alaska",6369,"2198"
"35","AK",2,"220","Sitka City and Borough, Alaska",8759,"2220"
"36","AK",2,"230","Skagway Municipality, Alaska",999,"2230"
"37","AK",2,"240","Southeast Fairbanks Census Area, Alaska",6862,"2240"
"38","AK",2,"261","Valdez-Cordova Census Area, Alaska",9412,"2261"
"39","AK",2,"275","Wrangell City and Borough, Alaska",2368,"2275"
"40","AK",2,"282","Yakutat City and Borough, Alaska",643,"2282"
"41","AK",2,"290","Yukon-Koyukuk Census Area, Alaska",5619,"2290"
"414","AL",1,"001","Autauga County, Alabama",54425,"1001"
"415","AL",1,"003","Baldwin County, Alabama",192770,"1003"
"416","AL",1,"005","Barbour County, Alabama",24060,"1005"
"417","AL",1,"007","Bibb County, Alabama",20770,"1007"
"418","AL",1,"009","Blount County, Alabama",57210,"1009"
"419","AL",1,"011","Bullock County, Alabama",10107,"1011"
"420","AL",1,"013","Butler County, Alabama",20070,"1013"
"421","AL",1,"015","Calhoun County, Alabama",115195,"1015"
"422","AL",1,"017","Chambers County, Alabama",33733,"1017"
"423","AL",1,"019","Cherokee County, Alabama",25672,"1019"
"424","AL",1,"021","Chilton County, Alabama",43499,"1021"
"425","AL",1,"023","Choctaw County, Alabama",13266,"1023"
"426","AL",1,"025","Clarke County, Alabama",24799,"1025"
"427","AL",1,"027","Clay County, Alabama",13265,"1027"
"428","AL",1,"029","Cleburne County, Alabama",14846,"1029"
"429","AL",1,"031","Coffee County, Alabama",48929,"1031"
"430","AL",1,"033","Colbert County, Alabama",54022,"1033"
"431","AL",1,"035","Conecuh County, Alabama",12818,"1035"
"432","AL",1,"037","Coosa County, Alabama",10750,"1037"
"433","AL",1,"039","Covington County, Alabama",37370,"1039"
"434","AL",1,"041","Crenshaw County, Alabama",13763,"1041"
"435","AL",1,"043","Cullman County, Alabama",80200,"1043"
"436","AL",1,"045","Dale County, Alabama",47170,"1045"
"437","AL",1,"047","Dallas County, Alabama",41839,"1047"
"438","AL",1,"049","DeKalb County, Alabama",70374,"1049"
"439","AL",1,"051","Elmore County, Alabama",75501,"1051"
"440","AL",1,"053","Escambia County, Alabama",35607,"1053"
"441","AL",1,"055","Etowah County, Alabama",102735,"1055"
"442","AL",1,"057","Fayette County, Alabama",16708,"1057"
"443","AL",1,"059","Franklin County, Alabama",31374,"1059"
"444","AL",1,"061","Geneva County, Alabama",26476,"1061"
"445","AL",1,"063","Greene County, Alabama",8646,"1063"
"446","AL",1,"065","Hale County, Alabama",14998,"1065"
"447","AL",1,"067","Henry County, Alabama",17026,"1067"
"448","AL",1,"069","Houston County, Alabama",102646,"1069"
"449","AL",1,"071","Jackson County, Alabama",52366,"1071"
"450","AL",1,"073","Jefferson County, Alabama",651597,"1073"
"451","AL",1,"075","Lamar County, Alabama",13989,"1075"
"452","AL",1,"077","Lauderdale County, Alabama",91962,"1077"
"453","AL",1,"079","Lawrence County, Alabama",33344,"1079"
"454","AL",1,"081","Lee County, Alabama",149037,"1081"
"455","AL",1,"083","Limestone County, Alabama",84805,"1083"
"456","AL",1,"085","Lowndes County, Alabama",10604,"1085"
"457","AL",1,"087","Macon County, Alabama",19809,"1087"
"458","AL",1,"089","Madison County, Alabama",342206,"1089"
"459","AL",1,"091","Marengo County, Alabama",20079,"1091"
"460","AL",1,"093","Marion County, Alabama",29729,"1093"
"461","AL",1,"095","Marshall County, Alabama",93431,"1095"
"462","AL",1,"097","Mobile County, Alabama",406218,"1097"
"463","AL",1,"099","Monroe County, Alabama",22002,"1099"
"464","AL",1,"101","Montgomery County, Alabama",222787,"1101"
"465","AL",1,"103","Morgan County, Alabama",118084,"1103"
"466","AL",1,"105","Perry County, Alabama",9888,"1105"
"467","AL",1,"107","Pickens County, Alabama",19254,"1107"
"468","AL",1,"109","Pike County, Alabama",32947,"1109"
"469","AL",1,"111","Randolph County, Alabama",22412,"1111"
"470","AL",1,"113","Russell County, Alabama",56373,"1113"
"471","AL",1,"115","St. Clair County, Alabama",84001,"1115"
"472","AL",1,"117","Shelby County, Alabama",201820,"1117"
"473","AL",1,"119","Sumter County, Alabama",13204,"1119"
"474","AL",1,"121","Talladega County, Alabama",78682,"1121"
"475","AL",1,"123","Tallapoosa County, Alabama",40616,"1123"
"476","AL",1,"125","Tuscaloosa County, Alabama",199008,"1125"
"477","AL",1,"127","Walker County, Alabama",65219,"1127"
"478","AL",1,"129","Washington County, Alabama",16869,"1129"
"479","AL",1,"131","Wilcox County, Alabama",10976,"1131"
"480","AL",1,"133","Winston County, Alabama",23829,"1133"
"1107","AR",5,"001","Arkansas County, Arkansas",18492,"5001"
"1108","AR",5,"003","Ashley County, Arkansas",21054,"5003"
"1109","AR",5,"005","Baxter County, Arkansas",40572,"5005"
"1110","AR",5,"007","Benton County, Arkansas",236524,"5007"
"1111","AR",5,"009","Boone County, Arkansas",36802,"5009"
"1112","AR",5,"011","Bradley County, Arkansas",11113,"5011"
"1113","AR",5,"013","Calhoun County, Arkansas",5186,"5013"
"1114","AR",5,"015","Carroll County, Arkansas",27422,"5015"
"1115","AR",5,"017","Chicot County, Arkansas",10686,"5017"
"1116","AR",5,"019","Clark County, Arkansas",22411,"5019"
"1117","AR",5,"021","Clay County, Arkansas",15266,"5021"
"1118","AR",5,"023","Cleburne County, Arkansas",25351,"5023"
"1119","AR",5,"025","Cleveland County, Arkansas",8432,"5025"
"1120","AR",5,"027","Columbia County, Arkansas",23904,"5027"
"1121","AR",5,"029","Conway County, Arkansas",20933,"5029"
"1122","AR",5,"031","Craighead County, Arkansas",100428,"5031"
"1123","AR",5,"033","Crawford County, Arkansas",61194,"5033"
"1124","AR",5,"035","Crittenden County, Arkansas",49204,"5035"
"1125","AR",5,"037","Cross County, Arkansas",17256,"5037"
"1126","AR",5,"039","Dallas County, Arkansas",7340,"5039"
"1127","AR",5,"041","Desha County, Arkansas",12306,"5041"
"1128","AR",5,"043","Drew County, Arkansas",18348,"5043"
"1129","AR",5,"045","Faulkner County, Arkansas",118057,"5045"
"1130","AR",5,"047","Franklin County, Arkansas",17580,"5047"
"1131","AR",5,"049","Fulton County, Arkansas",12040,"5049"
"1132","AR",5,"051","Garland County, Arkansas",95661,"5051"
"1133","AR",5,"053","Grant County, Arkansas",17897,"5053"
"1134","AR",5,"055","Greene County, Arkansas",42896,"5055"
"1135","AR",5,"057","Hempstead County, Arkansas",22092,"5057"
"1136","AR",5,"059","Hot Spring County, Arkansas",31416,"5059"
"1137","AR",5,"061","Howard County, Arkansas",13377,"5061"
"1138","AR",5,"063","Independence County, Arkansas",36451,"5063"
"1139","AR",5,"065","Izard County, Arkansas",12687,"5065"
"1140","AR",5,"067","Jackson County, Arkansas",14285,"5067"
"1141","AR",5,"069","Jefferson County, Arkansas",69255,"5069"
"1142","AR",5,"071","Johnson County, Arkansas",25728,"5071"
"1143","AR",5,"073","Lafayette County, Arkansas",7138,"5073"
"1144","AR",5,"075","Lawrence County, Arkansas",16715,"5075"
"1145","AR",5,"077","Lee County, Arkansas",8457,"5077"
"1146","AR",5,"079","Lincoln County, Arkansas",9818,"5079"
"1147","AR",5,"081","Little River County, Arkansas",12559,"5081"
"1148","AR",5,"083","Logan County, Arkansas",21753,"5083"
"1149","AR",5,"085","Lonoke County, Arkansas",69105,"5085"
"1150","AR",5,"087","Madison County, Arkansas",15631,"5087"
"1151","AR",5,"089","Marion County, Arkansas",16304,"5089"
"1152","AR",5,"091","Miller County, Arkansas",42456,"5091"
"1153","AR",5,"093","Mississippi County, Arkansas",44030,"5093"
"1154","AR",5,"095","Monroe County, Arkansas",7636,"5095"
"1155","AR",5,"097","Montgomery County, Arkansas",9056,"5097"
"1156","AR",5,"099","Nevada County, Arkansas",8594,"5099"
"1157","AR",5,"101","Newton County, Arkansas",7996,"5101"
"1158","AR",5,"103","Ouachita County, Arkansas",24648,"5103"
"1159","AR",5,"105","Perry County, Arkansas",10178,"5105"
"1160","AR",5,"107","Phillips County, Arkansas",20206,"5107"
"1161","AR",5,"109","Pike County, Arkansas",10934,"5109"
"1162","AR",5,"111","Poinsett County, Arkansas",23888,"5111"
"1163","AR",5,"113","Polk County, Arkansas",20226,"5113"
"1164","AR",5,"115","Pope County, Arkansas",62188,"5115"
"1165","AR",5,"117","Prairie County, Arkansas",8252,"5117"
"1166","AR",5,"119","Pulaski County, Arkansas",384831,"5119"
"1167","AR",5,"121","Randolph County, Arkansas",17350,"5121"
"1168","AR",5,"123","St. Francis County, Arkansas",23723,"5123"
"1169","AR",5,"125","Saline County, Arkansas",112566,"5125"
"1170","AR",5,"127","Scott County, Arkansas",10797,"5127"
"1171","AR",5,"129","Searcy County, Arkansas",7876,"5129"
"1172","AR",5,"131","Sebastian County, Arkansas",126151,"5131"
"1173","AR",5,"133","Sevier County, Arkansas",17080,"5133"
"1174","AR",5,"135","Sharp County, Arkansas",16877,"5135"
"1175","AR",5,"137","Stone County, Arkansas",12406,"5137"
"1176","AR",5,"139","Union County, Arkansas",40232,"5139"
"1177","AR",5,"141","Van Buren County, Arkansas",16806,"5141"
"1178","AR",5,"143","Washington County, Arkansas",214640,"5143"
"1179","AR",5,"145","White County, Arkansas",78043,"5145"
"1180","AR",5,"147","Woodruff County, Arkansas",6863,"5147"
"1181","AR",5,"149","Yell County, Arkansas",21538,"5149"
"1761","AZ",4,"001","Apache County, Arizona",71338,"4001"
"1762","AZ",4,"003","Cochise County, Arizona",116692,"4003"
"1763","AZ",4,"005","Coconino County, Arizona",135969,"4005"
"1764","AZ",4,"007","Gila County, Arizona",52434,"4007"
"1765","AZ",4,"009","Graham County, Arizona",33419,"4009"
"1766","AZ",4,"011","Greenlee County, Arizona",8983,"4011"
"1767","AZ",4,"012","La Paz County, Arizona",20108,"4012"
"1768","AZ",4,"013","Maricopa County, Arizona",3988822,"4013"
"1769","AZ",4,"015","Mohave County, Arizona",196922,"4015"
