"","State","StateFIPS","CountyFIPS","AreaName","Poverty","FIPS"
"13","AK",2,"013","Aleutians East Borough, Alaska",553,"2013"
"14","AK",2,"016","Aleutians West Census Area, Alaska",499,"2016"
"15","AK",2,"020","Anchorage Municipality, Alaska",23914,"2020"
"16","AK",2,"050","Bethel Census Area, Alaska",4364,"2050"
"17","AK",2,"060","Bristol Bay Borough, Alaska",69,"2060"
"18","AK",2,"068","Denali Borough, Alaska",254,"2068"
"19","AK",2,"070","Dillingham Census Area, Alaska",894,"2070"
"20","AK",2,"090","Fairbanks North Star Borough, Alaska",7752,"2090"
"21","AK",2,"100","Haines Borough, Alaska",135,"2100"
"22","AK",2,"105","Hoonah-Angoon Census Area, Alaska",252,"2105"
"23","AK",2,"110","Juneau City and Borough, Alaska",2110,"2110"
"24","AK",2,"122","Kenai Peninsula Borough, Alaska",5558,"2122"
"25","AK",2,"130","Ketchikan Gateway Borough, Alaska",1640,"2130"
"26","AK",2,"150","Kodiak Island Borough, Alaska",1552,"2150"
"27","AK",2,"158","Kusilvak Census Area, Alaska",2622,"2158"
"28","AK",2,"164","Lake and Peninsula Borough, Alaska",247,"2164"
"29","AK",2,"170","Matanuska-Susitna Borough, Alaska",9454,"2170"
"30","AK",2,"180","Nome Census Area, Alaska",2592,"2180"
"31","AK",2,"185","North Slope Borough, Alaska",976,"2185"
"32","AK",2,"188","Northwest Arctic Borough, Alaska",1824,"2188"
"33","AK",2,"195","Petersburg Borough, Alaska",327,"2195"
"34","AK",2,"198","Prince of Wales-Hyder Census Area, Alaska",921,"2198"
"35","AK",2,"220","Sitka City and Borough, Alaska",798,"2220"
"36","AK",2,"230","Skagway Municipality, Alaska",44,"2230"
"37","AK",2,"240","Southeast Fairbanks Census Area, Alaska",1011,"2240"
"38","AK",2,"261","Valdez-Cordova Census Area, Alaska",1029,"2261"
"39","AK",2,"275","Wrangell City and Borough, Alaska",279,"2275"
"40","AK",2,"282","Yakutat City and Borough, Alaska",35,"2282"
