SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AK,02,,,,,04000US02,Alaska,733375,384160,28346,26276,26350,15929,11125,7274,6961,20755,32415,28232,24217,23429,24764,27623,26300,9823,11975,6682,7076,8877,4834,3015,1882,349215,26607,25063,24821,14735,8517,5147,5366,15663,28259,25272,22002,21968,22784,25503,25198,8714,10256,5772,7127,8269,4894,3758,3520,484250,257350,15450,14366,14728,8892,6194,21848,21787,19672,32907,38196,37551,18168,6136,1455,226900,14553,13525,13679,8496,4896,15521,17948,16796,29717,34021,33083,15566,6260,2839,25022,14520,808,578,1020,627,650,2107,1555,1143,2143,1852,1473,298,221,45,10502,978,861,899,391,244,737,916,794,1410,1405,1132,433,254,48,101313,51387,4715,4591,4608,2806,1770,4697,4059,3513,5752,6498,4742,2413,1012,211,49926,4350,4462,4087,2409,1611,4301,4267,3103,5299,6388,5171,2823,1245,410,42921,20463,1328,1334,1681,1186,729,1904,1661,1329,2805,2764,2357,1026,201,158,22458,1016,1497,1507,1169,558,1566,1753,1586,3446,3317,2795,1501,594,153,8841,4407,533,622,348,251,185,410,434,250,657,373,173,100,71,0,4434,420,553,325,280,62,563,559,370,583,381,131,157,50,0,9273,5020,366,403,401,152,155,685,503,542,721,703,265,102,22,0,4253,473,381,231,76,75,503,488,592,493,439,288,204,2,8,61755,31013,5146,4382,3564,2015,1442,3339,2416,1783,2661,2001,1537,528,186,13,30742,4817,3784,4093,1914,1071,2985,2328,2031,3022,2336,1568,484,247,62,457470,243554,14106,13240,13642,8273,5634,20099,20110,18289,31341,36992,36694,17747,5944,1443,213916,13188,12371,12679,7739,4421,14359,16769,15671,27913,32805,32079,15138,5977,2807,47808,25205,2853,2501,2153,1154,1203,3180,2667,2181,2961,2193,1362,549,236,12,22603,2679,2472,1857,1163,827,2042,2143,1925,2959,2044,1483,683,287,39,33.4,32.9,33.8,37.1,36.6,37.6,30.3,29.6,31.5,28.7,27.8,29.4,34.2,31.5,36.5,24.1,23.3,25.2,28.3,27.9,28.8,18.8,18.5,19.3,38.0,37.6,38.6,24.8,24.3,25.7,733375
40,AK,02,,,,,04001US02,Alaska -- Urban,484077,249564,19335,17036,17142,10224,7615,5258,5278,14698,23695,19051,16049,14684,15132,16771,16018,5631,6847,3635,4220,5156,2959,1849,1281,234513,17899,16708,16274,9513,5729,3733,3918,11386,20540,17450,15191,14951,15037,16338,16120,5267,6418,3809,4363,5258,3498,2609,2504,319921,167602,10568,9253,9559,5717,4258,16320,16418,13197,21249,23469,22319,10457,3821,997,152319,9786,8871,9039,5483,3427,11645,13188,11438,20038,22224,20720,9803,4539,2118,22722,12911,726,544,964,586,628,1886,1328,1032,1782,1587,1315,275,213,45,9811,919,815,829,364,244,716,867,699,1374,1227,1068,402,239,48,43629,21301,1832,1827,1922,1210,844,1921,1728,1617,2698,2592,1685,960,384,81,22328,1609,1965,1471,939,709,1952,2158,1469,2589,2969,2447,1331,563,157,35490,16677,1173,1179,1438,987,595,1522,1394,1079,2174,2070,1873,845,190,158,18813,897,1230,1175,1000,491,1395,1514,1438,2924,2593,2205,1250,549,152,8137,4065,518,607,328,223,176,388,380,210,564,344,163,96,68,0,4072,381,523,316,249,62,543,433,357,533,360,116,151,48,0,7234,3766,259,320,327,94,86,544,463,464,494,449,191,62,13,0,3468,416,330,204,69,29,379,452,520,343,360,199,167,0,0,46944,23242,4259,3306,2604,1407,1028,2653,1984,1452,1772,1392,950,316,119,0,23702,3891,2974,3240,1409,767,2407,1928,1529,2341,1642,1050,326,169,29,298677,156902,9479,8441,8672,5291,3862,14884,15101,12239,19921,22527,21707,10112,3680,986,141775,8673,7967,8265,4806,3075,10618,12214,10554,18567,21266,19896,9459,4317,2098,38339,19846,2348,1884,1801,881,958,2591,2176,1545,2347,1645,1044,439,176,11,18493,2296,2037,1486,1028,613,1790,1793,1554,2311,1651,1131,559,224,20,32.0,31.1,33.1,35.4,34.5,36.6,29.8,28.7,31.4,29.7,27.8,31.2,33.1,30.2,35.7,23.6,22.5,24.4,27.8,27.5,28.4,18.3,18.1,18.8,36.3,35.2,37.5,24.4,23.9,25.0,484077
40,AK,02,,,,,04043US02,Alaska -- Rural,249298,134596,9011,9240,9208,5705,3510,2016,1683,6057,8720,9181,8168,8745,9632,10852,10282,4192,5128,3047,2856,3721,1875,1166,601,114702,8708,8355,8547,5222,2788,1414,1448,4277,7719,7822,6811,7017,7747,9165,9078,3447,3838,1963,2764,3011,1396,1149,1016,164329,89748,4882,5113,5169,3175,1936,5528,5369,6475,11658,14727,15232,7711,2315,458,74581,4767,4654,4640,3013,1469,3876,4760,5358,9679,11797,12363,5763,1721,721,2300,1609,82,34,56,41,22,221,227,111,361,265,158,23,8,0,691,59,46,70,27,0,21,49,95,36,178,64,31,15,0,57684,30086,2883,2764,2686,1596,926,2776,2331,1896,3054,3906,3057,1453,628,130,27598,2741,2497,2616,1470,902,2349,2109,1634,2710,3419,2724,1492,682,253,7431,3786,155,155,243,199,134,382,267,250,631,694,484,181,11,0,3645,119,267,332,169,67,171,239,148,522,724,590,251,45,1,704,342,15,15,20,28,9,22,54,40,93,29,10,4,3,0,362,39,30,9,31,0,20,126,13,50,21,15,6,2,0,2039,1254,107,83,74,58,69,141,40,78,227,254,74,40,9,0,785,57,51,27,7,46,124,36,72,150,79,89,37,2,8,14811,7771,887,1076,960,608,414,686,432,331,889,609,587,212,67,13,7040,926,810,853,505,304,578,400,502,681,694,518,158,78,33,158793,86652,4627,4799,4970,2982,1772,5215,5009,6050,11420,14465,14987,7635,2264,457,72141,4515,4404,4414,2933,1346,3741,4555,5117,9346,11539,12183,5679,1660,709,9469,5359,505,617,352,273,245,589,491,636,614,548,318,110,60,1,4110,383,435,371,135,214,252,350,371,648,393,352,124,63,19,36.3,36.7,35.7,40.8,41.3,40.1,34.0,35.2,33.4,27.8,27.8,27.8,39.1,37.0,42.5,28.3,30.5,28.1,31.9,33.3,30.9,20.2,19.8,20.8,41.4,42.0,40.6,27.2,25.6,28.6,249298
40,AK,02,,,,,040A0US02,Alaska -- In metropolitan or micropolitan statistical area,541220,280487,20743,19429,18936,11426,8258,5422,5545,16060,25246,21335,18320,16896,17698,19413,18536,6724,8178,4400,4970,6160,3319,2111,1362,260733,19373,18337,17982,10728,6247,3951,4262,12201,22101,19711,16911,16792,17080,18923,18207,6264,7493,4206,5060,5992,3568,2781,2563,383217,201725,12499,11815,11512,6962,4955,18441,18183,15890,25953,29074,27586,13220,4533,1102,181492,11738,10891,11027,6854,4007,13236,14943,13874,23963,26989,25128,11786,4891,2165,23281,13226,764,577,991,607,627,1903,1400,1040,1810,1611,1342,295,214,45,10055,910,844,852,368,244,719,895,747,1373,1347,1058,397,253,48,37082,18009,1361,1322,1603,1014,626,1700,1493,1412,2499,2295,1562,762,303,57,19073,1249,1518,1229,715,617,1708,1943,1239,2177,2694,2210,1197,409,168,33547,15462,1177,1129,1375,912,572,1402,1373,977,1993,1861,1607,749,177,158,18085,835,1216,1139,989,471,1345,1510,1320,2831,2456,2091,1190,551,141,7677,3753,440,536,279,235,170,341,349,191,544,339,162,96,71,0,3924,332,466,297,269,62,506,486,326,521,360,107,147,45,0,7276,3789,289,355,347,82,72,567,467,448,454,436,188,62,22,0,3487,424,322,204,42,29,389,401,559,343,356,230,179,2,7,49140,24523,4213,3695,2829,1614,1236,2673,1981,1377,1963,1495,991,346,110,0,24617,3885,3080,3234,1491,817,2511,1923,1646,2495,1801,1140,362,198,34,360162,190047,11271,10955,10574,6445,4531,16990,16732,14634,24624,28039,26914,12864,4383,1091,170115,10512,9898,10154,6160,3574,12172,13920,12874,22429,25928,24316,11409,4624,2145,39986,20784,2497,1982,1841,913,946,2637,2339,1842,2367,1698,1090,444,177,11,19202,2289,2065,1578,1002,652,1848,1789,1736,2497,1706,1149,593,271,27,32.9,32.2,33.6,35.9,35.2,36.7,29.8,28.5,31.4,30.7,29.5,32.2,32.5,29.1,35.6,24.3,23.3,25.9,27.8,27.3,28.9,18.5,17.8,19.5,36.8,36.1,37.6,24.7,24.2,25.5,541220
40,AK,02,,,,,040C0US02,Alaska -- In metropolitan statistical area,494990,256804,19278,17890,17587,10389,7618,5067,5264,15154,23422,19610,16815,15394,15966,17374,16472,6077,7368,3899,4461,5555,2975,1969,1200,238186,17950,16848,16580,9934,5703,3545,4042,11410,20510,18070,15297,15401,15500,17092,16467,5435,6711,3758,4549,5388,3247,2571,2178,351492,185308,11708,10873,10843,6411,4591,17396,16947,14597,23811,26322,24825,11898,4135,951,166184,10952,10004,10348,6345,3709,12390,13879,12689,21875,24480,22539,10610,4516,1848,22810,12942,764,559,991,592,627,1897,1331,1036,1792,1543,1266,285,214,45,9868,910,813,852,356,197,712,895,717,1361,1333,1033,393,253,43,31105,15015,1121,1125,1323,855,578,1438,1275,1190,2095,1855,1222,621,260,57,16090,1090,1335,954,639,504,1421,1651,1126,1830,2257,1806,1013,333,131,30330,13969,1090,1025,1263,808,493,1329,1307,850,1854,1598,1377,656,172,147,16361,752,1097,1023,925,415,1242,1396,1199,2602,2209,1818,1039,525,119,7316,3568,435,532,273,207,170,325,339,191,500,289,150,86,71,0,3748,304,452,285,251,62,502,486,326,483,320,104,142,31,0,6800,3562,289,306,344,82,72,558,467,448,368,367,177,62,22,0,3238,394,292,159,42,22,386,397,510,288,345,230,164,2,7,45137,22440,3871,3470,2550,1434,1087,2542,1756,1298,1789,1366,900,307,70,0,22697,3548,2855,2959,1376,794,2344,1806,1503,2259,1648,1083,334,158,30,329783,174268,10513,10038,9953,5919,4170,15976,15568,13492,22552,25380,24212,11557,3998,940,155515,9793,9050,9541,5667,3276,11347,12876,11851,20490,23478,21793,10257,4268,1828,37338,19370,2288,1856,1705,839,936,2580,2200,1685,2165,1524,995,427,159,11,17968,2181,1956,1416,981,624,1802,1747,1497,2294,1612,1021,560,250,27,32.4,31.7,33.3,35.4,34.8,36.3,29.7,28.3,31.5,30.4,29.0,31.9,32.1,28.5,35.4,23.9,22.9,25.6,27.6,27.1,28.8,18.5,17.8,19.5,36.3,35.6,37.2,24.5,24.0,25.1,494990
40,AK,02,,,,,040C1US02,Alaska -- In metropolitan statistical area -- in principal city,331300,170488,13344,11560,11518,6713,4952,3580,3877,10669,16580,13237,11032,10064,10187,11265,10843,3634,4583,2403,2902,3493,1790,1346,916,160812,12147,11362,10747,6334,3713,2543,2652,8206,14847,12420,10195,10229,10203,11244,11036,3439,4462,2705,2813,3491,2424,1946,1654,214688,112707,7071,6008,6131,3575,2622,11780,11256,8976,14282,15781,14954,7063,2534,674,101981,6462,5553,5871,3515,2133,8007,9312,7806,13271,14973,13981,6537,3164,1396,20378,11383,722,494,914,520,620,1576,1185,947,1528,1303,1077,268,184,45,8995,875,778,758,299,184,654,842,683,1242,1178,873,363,223,43,22540,10734,869,813,949,643,273,1001,824,869,1599,1371,876,468,122,57,11806,648,1089,658,419,384,1039,1331,902,1214,1579,1410,778,282,73,27842,12987,1066,921,1223,783,416,1180,1254,827,1608,1557,1217,623,172,140,14855,716,1069,916,812,415,1152,1248,1133,2300,1962,1634,854,525,119,6983,3396,433,530,236,199,170,279,328,176,487,284,139,86,49,0,3587,302,452,271,242,62,489,412,317,446,320,101,142,31,0,5922,3105,262,271,270,43,61,471,431,407,355,311,154,56,13,0,2817,315,278,137,42,22,351,350,456,215,328,181,142,0,0,32947,16176,2921,2523,1795,950,790,1839,1302,1035,1237,845,643,234,62,0,16771,2829,2143,2136,1005,513,1709,1352,1123,1736,1107,757,193,145,23,198632,104620,6223,5407,5543,3226,2316,10619,10257,8207,13324,15071,14560,6796,2408,663,94012,5611,4960,5223,3024,1788,7172,8457,7326,12313,14161,13359,6302,2940,1376,29329,15186,1825,1431,1267,655,681,2144,1696,1293,1791,1187,732,334,139,11,14143,1737,1547,1099,702,508,1506,1475,1046,1634,1372,850,423,224,20,31.8,30.8,32.8,35.5,34.4,36.8,29.2,27.8,31.1,30.7,30.0,31.9,31.6,28.4,34.8,23.6,22.3,24.6,27.8,27.3,28.7,18.2,17.7,18.9,36.6,35.4,37.9,24.4,24.1,24.9,331300
40,AK,02,,,,,040C2US02,Alaska -- In metropolitan statistical area -- not in principal city,163690,86316,5934,6330,6069,3676,2666,1487,1387,4485,6842,6373,5783,5330,5779,6109,5629,2443,2785,1496,1559,2062,1185,623,284,77374,5803,5486,5833,3600,1990,1002,1390,3204,5663,5650,5102,5172,5297,5848,5431,1996,2249,1053,1736,1897,823,625,524,136804,72601,4637,4865,4712,2836,1969,5616,5691,5621,9529,10541,9871,4835,1601,277,64203,4490,4451,4477,2830,1576,4383,4567,4883,8604,9507,8558,4073,1352,452,2432,1559,42,65,77,72,7,321,146,89,264,240,189,17,30,0,873,35,35,94,57,13,58,53,34,119,155,160,30,30,0,8565,4281,252,312,374,212,305,437,451,321,496,484,346,153,138,0,4284,442,246,296,220,120,382,320,224,616,678,396,235,51,58,2488,982,24,104,40,25,77,149,53,23,246,41,160,33,0,7,1506,36,28,107,113,0,90,148,66,302,247,184,185,0,0,333,172,2,2,37,8,0,46,11,15,13,5,11,0,22,0,161,2,0,14,9,0,13,74,9,37,0,3,0,0,0,878,457,27,35,74,39,11,87,36,41,13,56,23,6,9,0,421,79,14,22,0,0,35,47,54,73,17,49,22,2,7,12190,6264,950,947,755,484,297,703,454,263,552,521,257,73,8,0,5926,719,712,823,371,281,635,454,380,523,541,326,141,13,7,131151,69648,4290,4631,4410,2693,1854,5357,5311,5285,9228,10309,9652,4761,1590,277,61503,4182,4090,4318,2643,1488,4175,4419,4525,8177,9317,8434,3955,1328,452,8009,4184,463,425,438,184,255,436,504,392,374,337,263,93,20,0,3825,444,409,317,279,116,296,272,451,660,240,171,137,26,7,33.8,33.5,34.0,35.4,35.3,35.5,35.3,34.1,37.8,28.8,26.1,32.0,39.1,33.0,41.7,28.4,24.8,28.6,26.2,23.3,30.3,19.1,18.0,20.4,36.0,35.9,36.1,24.6,23.7,25.7,163690
40,AK,02,,,,,040E0US02,Alaska -- In micropolitan statistical area,46230,23683,1465,1539,1349,1037,640,355,281,906,1824,1725,1505,1502,1732,2039,2064,647,810,501,509,605,344,142,162,22547,1423,1489,1402,794,544,406,220,791,1591,1641,1614,1391,1580,1831,1740,829,782,448,511,604,321,210,385,31725,16417,791,942,669,551,364,1045,1236,1293,2142,2752,2761,1322,398,151,15308,786,887,679,509,298,846,1064,1185,2088,2509,2589,1176,375,317,471,284,0,18,0,15,0,6,69,4,18,68,76,10,0,0,187,0,31,0,12,47,7,0,30,12,14,25,4,0,5,5977,2994,240,197,280,159,48,262,218,222,404,440,340,141,43,0,2983,159,183,275,76,113,287,292,113,347,437,404,184,76,37,3217,1493,87,104,112,104,79,73,66,127,139,263,230,93,5,11,1724,83,119,116,64,56,103,114,121,229,247,273,151,26,22,361,185,5,4,6,28,0,16,10,0,44,50,12,10,0,0,176,28,14,12,18,0,4,0,0,38,40,3,5,14,0,476,227,0,49,3,0,0,9,0,0,86,69,11,0,0,0,249,30,30,45,0,7,3,4,49,55,11,0,15,0,0,4003,2083,342,225,279,180,149,131,225,79,174,129,91,39,40,0,1920,337,225,275,115,23,167,117,143,236,153,57,28,40,4,30379,15779,758,917,621,526,361,1014,1164,1142,2072,2659,2702,1307,385,151,14600,719,848,613,493,298,825,1044,1023,1939,2450,2523,1152,356,317,2648,1414,209,126,136,74,10,57,139,157,202,174,95,17,18,0,1234,108,109,162,21,28,46,42,239,203,94,128,33,21,0,37.4,36.9,37.8,41.6,41.3,41.8,32.1,45.6,23.5,32.6,31.6,34.6,38.4,33.8,38.9,40.6,40.4,42.7,35.5,36.8,30.1,18.2,18.1,18.8,42.3,41.8,42.6,30.5,28.5,31.0,46230
40,AK,02,,,,,040E1US02,Alaska -- In micropolitan statistical area -- in principal city,40728,20834,1320,1309,1166,953,580,326,249,812,1633,1543,1312,1353,1530,1767,1818,573,659,450,433,509,283,131,125,19894,1248,1286,1227,680,516,387,207,722,1439,1471,1483,1166,1420,1571,1490,699,674,377,428,541,299,198,365,27346,14122,675,761,564,486,329,922,1087,1127,1882,2361,2343,1132,339,114,13224,656,724,572,435,285,776,943,1053,1780,2134,2209,1006,353,298,469,282,0,18,0,15,0,6,69,4,18,66,76,10,0,0,187,0,31,0,12,47,7,0,30,12,14,25,4,0,5,5297,2688,231,167,260,149,40,242,203,211,348,386,300,117,34,0,2609,138,167,238,51,102,275,267,87,310,409,310,155,64,36,3183,1481,81,104,112,104,79,73,66,122,138,263,230,93,5,11,1702,83,119,116,64,56,103,108,121,224,241,273,146,26,22,361,185,5,4,6,28,0,16,10,0,44,50,12,10,0,0,176,28,14,12,18,0,4,0,0,38,40,3,5,14,0,473,227,0,49,3,0,0,9,0,0,86,69,11,0,0,0,246,30,30,45,0,7,0,4,49,55,11,0,15,0,0,3599,1849,328,206,221,171,132,119,198,79,149,102,78,30,36,0,1750,313,201,244,100,19,151,117,131,230,142,43,15,40,4,26063,13501,647,742,522,461,326,891,1015,976,1812,2268,2284,1117,326,114,12562,589,691,512,419,285,759,925,902,1636,2081,2145,986,334,298,2482,1338,204,120,93,74,3,57,136,157,202,164,95,15,18,0,1144,108,98,151,21,28,35,40,228,193,88,106,29,19,0,37.0,36.5,37.5,41.2,41.0,41.4,32.0,45.6,23.5,31.6,30.9,33.5,38.4,34.0,38.8,40.6,40.4,42.7,35.6,36.8,30.1,18.1,18.0,19.8,41.9,41.5,42.4,30.7,28.9,30.9,40728
40,AK,02,,,,,040E2US02,Alaska -- In micropolitan statistical area -- not in principal city,5502,2849,145,230,183,84,60,29,32,94,191,182,193,149,202,272,246,74,151,51,76,96,61,11,37,2653,175,203,175,114,28,19,13,69,152,170,131,225,160,260,250,130,108,71,83,63,22,12,20,4379,2295,116,181,105,65,35,123,149,166,260,391,418,190,59,37,2084,130,163,107,74,13,70,121,132,308,375,380,170,22,19,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,306,9,30,20,10,8,20,15,11,56,54,40,24,9,0,374,21,16,37,25,11,12,25,26,37,28,94,29,12,1,34,12,6,0,0,0,0,0,0,5,1,0,0,0,0,0,22,0,0,0,0,0,0,6,0,5,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,404,234,14,19,58,9,17,12,27,0,25,27,13,9,4,0,170,24,24,31,15,4,16,0,12,6,11,14,13,0,0,4316,2278,111,175,99,65,35,123,149,166,260,391,418,190,59,37,2038,130,157,101,74,13,66,119,121,303,369,378,166,22,19,166,76,5,6,43,0,7,0,3,0,0,10,0,2,0,0,90,0,11,11,0,0,11,2,11,10,6,22,4,2,0,42.1,40.1,42.3,43.1,43.9,42.8,.,.,.,39.5,39.6,39.5,38.0,18.5,45.0,.,.,.,.,.,.,18.9,20.0,15.7,43.4,44.1,42.8,19.5,12.6,33.8,5502
