SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AL,01,,,,,04000US01,Alabama,4830620,2341093,150860,156380,161596,98307,66953,37646,37574,99164,154977,150036,141667,155693,156413,166863,156994,58036,82623,49148,63576,79258,55122,36252,25955,2489527,144194,149334,156841,94462,64298,35547,36669,101444,159815,156764,152220,159835,163909,178187,169355,65766,90872,56472,72022,96507,75371,53976,55667,3325464,1631362,93846,98675,102013,62588,41450,110973,103150,101332,207752,235739,221466,154477,76369,21532,1694102,88640,93698,99098,60113,39021,108696,101901,100298,207803,237498,233671,176158,103700,43807,1276544,594802,44711,45117,48733,29774,21496,54124,42495,39742,72768,76599,67963,33544,13728,4008,681742,44276,43701,46713,28996,21736,57123,49048,47648,88713,92233,82761,44031,23674,11089,23850,11720,549,625,980,694,442,857,426,669,1583,1841,1896,883,195,80,12130,278,775,689,480,206,799,1002,863,1634,2083,1971,957,258,135,59599,27547,1810,1865,1817,1114,835,2282,2594,2672,5380,3484,1930,1145,505,114,32052,1776,2215,1931,1006,716,2438,2754,3066,5763,4156,3475,1817,769,170,2439,1199,228,137,75,0,0,75,67,183,193,93,76,72,0,0,1240,22,196,51,80,16,63,129,158,249,147,98,0,11,20,61078,34119,3325,4439,3098,1800,1196,3207,3594,3532,5726,2557,1192,406,39,8,26959,3072,3560,3146,966,867,2007,3129,2409,4029,2254,986,350,94,90,81646,40344,6391,5522,4880,2337,1534,2866,2651,1906,3958,2963,3130,1455,538,213,41302,6130,5189,5213,2821,1736,2534,1852,2322,3864,3725,3031,1688,841,356,3204989,1566821,85455,91735,97078,60285,39336,106113,96034,94546,198058,229797,218079,153277,75586,21442,1638168,81548,85897,94081,57389,37324,104218,97277,95367,199974,232924,231200,174598,102840,43531,193492,105019,12884,12064,8430,4270,3463,8877,11366,10628,16386,8881,4879,1851,897,143,88473,11169,12143,8390,4015,2893,6831,8027,8005,12455,7219,3681,2150,1125,370,38.4,36.9,39.8,41.4,40.2,42.7,33.3,31.3,35.2,40.0,39.2,40.7,34.2,32.2,35.2,31.5,31.4,31.5,24.9,25.0,24.7,19.4,19.2,19.5,42.3,41.0,43.5,25.3,26.0,24.2,4830620
40,AL,01,,,,,04001US01,Alabama -- Urban,2867593,1369970,93605,95515,93812,56366,43265,24696,24431,64705,101989,94585,85694,87724,86588,92926,86420,31652,43389,26115,31989,39920,28945,19905,15734,1497623,92784,91468,91748,55870,42904,23408,25560,68338,107375,99117,92511,93155,93504,102025,96586,37144,50999,30641,39320,51868,42685,32737,35876,1744088,846810,49349,51308,49666,30525,23300,65111,61797,57675,107522,116636,109261,73183,38738,12739,897278,48972,48785,48363,30167,23293,64891,60116,55054,106386,118499,118962,88653,57497,27640,966888,444679,35942,35549,37278,22000,17110,41782,33251,30580,53770,55252,47626,22403,9375,2761,522209,35582,34484,35759,22359,17144,46505,40424,37798,68322,68979,60169,30238,16707,7739,9158,4329,208,204,205,147,154,378,174,327,608,800,640,386,86,12,4829,67,261,325,156,110,300,482,360,655,964,650,358,108,33,51023,23924,1519,1644,1623,987,693,2048,2346,2252,4576,3097,1632,996,427,84,27099,1570,1947,1742,805,665,2195,2511,2494,4969,3259,2748,1488,562,144,1893,947,216,123,60,0,0,75,48,131,151,70,55,18,0,0,946,22,191,7,50,16,42,121,158,118,130,71,0,0,20,43849,23948,2119,3228,2048,1027,945,2376,2641,2547,4115,1877,680,315,22,8,19901,2302,2661,2244,602,524,1530,2446,1737,3058,1675,678,279,82,83,50694,25333,4252,3459,2932,1680,1063,2062,1732,1073,2676,1782,1567,723,202,130,25361,4269,3139,3308,1731,1152,1843,1275,1516,2158,2023,1451,813,466,217,1660155,801419,43529,46325,46532,29241,22092,61796,56472,52553,100518,112196,106835,72487,38186,12657,858736,43567,43435,45340,28422,22175,61683,56651,51697,101061,115596,117236,87581,56841,27451,136673,74055,8890,8646,5362,2523,2208,6298,8404,7896,11948,6638,3329,1131,663,119,62618,8500,8616,5464,2592,1920,4947,6052,5686,8828,4884,2520,1462,868,279,36.1,34.6,37.6,40.0,38.3,41.7,32.0,29.9,33.7,41.5,41.9,41.0,33.5,31.9,34.4,29.5,24.0,31.2,25.3,25.5,25.1,18.5,18.6,18.5,41.1,39.4,42.7,25.8,26.7,24.3,2867593
40,AL,01,,,,,04043US01,Alabama -- Rural,1963027,971123,57255,60865,67784,41941,23688,12950,13143,34459,52988,55451,55973,67969,69825,73937,70574,26384,39234,23033,31587,39338,26177,16347,10221,991904,51410,57866,65093,38592,21394,12139,11109,33106,52440,57647,59709,66680,70405,76162,72769,28622,39873,25831,32702,44639,32686,21239,19791,1581376,784552,44497,47367,52347,32063,18150,45862,41353,43657,100230,119103,112205,81294,37631,8793,796824,39668,44913,50735,29946,15728,43805,41785,45244,101417,118999,114709,87505,46203,16167,309656,150123,8769,9568,11455,7774,4386,12342,9244,9162,18998,21347,20337,11141,4353,1247,159533,8694,9217,10954,6637,4592,10618,8624,9850,20391,23254,22592,13793,6967,3350,14692,7391,341,421,775,547,288,479,252,342,975,1041,1256,497,109,68,7301,211,514,364,324,96,499,520,503,979,1119,1321,599,150,102,8576,3623,291,221,194,127,142,234,248,420,804,387,298,149,78,30,4953,206,268,189,201,51,243,243,572,794,897,727,329,207,26,546,252,12,14,15,0,0,0,19,52,42,23,21,54,0,0,294,0,5,44,30,0,21,8,0,131,17,27,0,11,0,17229,10171,1206,1211,1050,773,251,831,953,985,1611,680,512,91,17,0,7058,770,899,902,364,343,477,683,672,971,579,308,71,12,7,30952,15011,2139,2063,1948,657,471,804,919,833,1282,1181,1563,732,336,83,15941,1861,2050,1905,1090,584,691,577,806,1706,1702,1580,875,375,139,1544834,765402,41926,45410,50546,31044,17244,44317,39562,41993,97540,117601,111244,80790,37400,8785,779432,37981,42462,48741,28967,15149,42535,40626,43670,98913,117328,113964,87017,45999,16080,56819,30964,3994,3418,3068,1747,1255,2579,2962,2732,4438,2243,1550,720,234,24,25855,2669,3527,2926,1423,973,1884,1975,2319,3627,2335,1161,688,257,91,41.7,40.6,42.7,42.8,42.0,43.7,38.4,36.2,40.3,39.4,37.8,40.6,38.2,33.2,41.3,39.6,41.7,37.1,23.8,24.1,23.4,22.1,21.4,23.5,43.3,42.5,44.2,23.8,23.9,23.8,1963027
40,AL,01,,,,,040A0US01,Alabama -- In metropolitan or micropolitan statistical area,4202122,2033905,132427,137740,139487,85087,58684,32989,32817,87903,138160,132994,124199,134877,135514,144358,135507,49783,70083,41756,53989,66330,46374,30543,22304,2168217,126913,130303,136393,82174,56273,30532,32397,90883,142918,138797,134075,139982,142615,155063,146958,57080,77390,48581,61305,81075,64120,45333,47057,2895098,1419709,82467,86806,88191,54422,36597,98457,92302,89975,180986,204617,190765,130919,64559,18646,1475389,78014,81797,85849,52106,34820,96699,90904,88543,181928,206924,202324,149946,88095,37440,1104321,512872,39447,39957,41912,25706,18547,46735,37488,34845,63086,65533,57421,27685,11234,3276,591449,38601,38023,40789,25224,18315,50131,44118,42202,77990,79928,70765,36740,19639,8984,18294,8940,330,422,702,404,384,733,302,548,1395,1390,1387,731,141,71,9354,220,545,523,414,120,573,609,745,1413,1576,1518,778,220,100,57604,26561,1760,1828,1705,1075,767,2202,2508,2589,5185,3388,1904,1064,472,114,31043,1761,2156,1836,979,716,2326,2727,2996,5653,3985,3326,1694,729,159,1482,754,14,32,75,0,0,75,40,161,116,93,76,72,0,0,728,22,15,45,62,16,42,105,36,127,140,98,0,0,20,51862,28800,2520,3820,2584,1383,945,2931,2921,3178,4843,2275,1013,346,33,8,23062,2764,3081,2616,852,667,1698,2667,2131,3579,1707,803,319,90,88,73461,36269,5889,4875,4318,2097,1444,2576,2599,1698,3465,2576,2807,1258,478,189,37192,5531,4686,4735,2537,1619,2343,1788,2144,3367,3418,2594,1484,680,266,2787220,1361368,74795,80557,83646,52259,34629,94230,85650,83664,172505,199533,187656,129857,63821,18566,1425852,71599,75083,81561,49873,33205,92776,86616,84148,174974,202910,200037,148576,87297,37197,168930,91934,10903,10514,7475,3762,3011,7805,10128,9699,14101,7597,4398,1556,852,133,76996,10049,10256,7154,3410,2556,5861,7146,7050,10958,6106,3264,1809,1042,335,38.0,36.5,39.4,41.0,39.8,42.3,32.9,30.9,34.8,40.6,39.8,41.1,34.1,32.3,35.0,35.0,34.5,37.7,25.1,25.5,24.7,19.3,19.2,19.4,41.9,40.6,43.1,25.5,26.2,24.4,4202122
40,AL,01,,,,,040C0US01,Alabama -- In metropolitan statistical area,3671377,1774858,115841,120824,121419,74319,51654,28889,28955,77475,121553,117221,109201,117176,118113,126208,117833,42509,61442,36127,46420,56129,39752,26509,19289,1896519,111127,114272,118776,71899,49795,26963,28756,79909,126678,122814,117678,122850,124904,135947,127859,49731,67650,41777,52827,69427,54747,39101,41032,2495436,1222753,70726,75145,75305,46666,31841,85330,80066,77987,156290,176928,164025,111110,55310,16024,1272683,67367,70458,73623,44767,30449,84084,79363,76914,157392,178984,174241,127662,75004,32375,996310,462171,35791,36069,38018,23129,16705,42187,34149,31718,56764,58728,51376,24649,9925,2963,534139,34902,34547,36621,22802,16491,45328,40067,38548,70668,72180,63678,32684,17543,8080,15504,7545,299,356,634,288,295,661,290,479,1051,1188,1241,613,127,23,7959,154,528,426,316,97,469,589,626,1343,1311,1235,669,140,56,53790,25022,1672,1733,1651,1027,762,2057,2253,2482,4851,3165,1862,987,423,97,28768,1668,2019,1718,949,702,2132,2530,2901,5064,3714,3110,1532,570,159,1287,662,5,32,75,0,0,65,40,140,108,93,70,34,0,0,625,22,15,42,62,16,42,104,34,56,120,92,0,0,20,46002,25444,2264,3219,2117,1305,756,2702,2582,2849,4299,2016,978,316,33,8,20558,2315,2790,2340,797,646,1419,2392,1889,3156,1638,711,319,58,88,63048,31261,5084,4270,3619,1904,1295,2317,2173,1566,3014,2203,2232,967,443,174,31787,4699,3915,4006,2206,1394,2154,1633,1902,2849,2904,2173,1165,533,254,2406512,1175039,64721,69963,71770,44981,30347,81633,74667,72951,149331,172397,161397,110238,54673,15970,1231473,61863,65034,70028,42890,29165,80888,75697,73295,151488,175737,172337,126507,74351,32193,143211,77614,8937,8811,6072,3223,2376,6978,8441,8133,11877,6699,3876,1333,751,107,65597,8476,8574,6116,2943,2173,4807,6290,6016,9479,5232,2816,1587,814,274,37.7,36.2,39.1,40.9,39.7,42.2,32.8,30.8,34.7,40.3,39.9,40.5,33.8,32.3,34.7,34.1,34.3,33.3,25.3,25.8,24.9,19.4,19.1,19.6,41.7,40.4,42.9,25.7,26.4,24.6,3671377
40,AL,01,,,,,040C1US01,Alabama -- In metropolitan statistical area -- in principal city,1382330,655635,43908,43163,40671,25806,23823,13899,13772,35202,51923,45510,39743,39055,38860,43452,41762,15495,20531,12747,15117,18525,14444,9903,8324,726695,44860,41606,41048,24820,24652,13570,14903,37788,55316,48097,43186,42340,43434,47952,46379,18101,24553,15001,18218,25088,21360,16388,18035,722829,351450,18759,18896,16778,10851,11837,33178,27750,24216,41226,46375,46146,30985,17996,6457,371379,18871,17874,16923,10625,12336,32792,26484,22206,40590,46466,48875,38112,26268,12957,585299,267066,21446,20868,21072,13508,10705,26160,20217,17903,31320,32747,29224,14170,5989,1737,318233,22305,20110,20993,12802,10951,30204,25142,22654,39907,41037,37441,18920,10892,4875,3425,1668,27,62,18,13,82,212,32,160,293,279,261,174,43,12,1757,0,44,77,25,65,119,220,90,320,355,235,164,41,2,29022,14121,1062,917,739,326,438,1489,1465,1512,2860,1498,1021,567,204,23,14901,961,970,973,380,416,1458,1604,1551,2531,1740,1368,592,264,93,513,235,0,18,20,0,0,13,20,77,49,12,17,9,0,0,278,8,0,7,16,16,18,96,34,22,33,28,0,0,0,18059,9801,811,1022,791,407,291,944,1480,1040,1797,679,350,175,14,0,8258,953,1247,665,193,210,713,1096,754,1021,883,306,150,31,36,23183,11294,1803,1380,1253,701,470,877,959,602,1253,722,769,309,101,95,11889,1762,1361,1410,779,658,957,674,808,1135,872,780,369,252,72,686054,331356,16222,16683,15498,10430,11423,31210,25279,21941,38271,44539,45002,30648,17759,6451,354698,16463,15585,15793,10075,11767,31269,24764,20771,38275,45488,48057,37588,25978,12825,59159,32502,3736,3458,2250,953,737,3253,4204,3509,5260,2563,1641,563,340,35,26657,3776,3541,1913,867,948,2372,2876,2409,3439,2033,1230,708,375,170,35.4,33.9,36.8,40.1,38.2,41.9,32.0,29.9,33.6,42.9,44.1,42.2,31.9,31.5,32.5,31.7,33.1,28.9,26.6,27.0,25.6,20.0,20.3,19.9,41.4,39.6,43.1,26.1,26.9,24.8,1382330
40,AL,01,,,,,040C2US01,Alabama -- In metropolitan statistical area -- not in principal city,2289047,1119223,71933,77661,80748,48513,27831,14990,15183,42273,69630,71711,69458,78121,79253,82756,76071,27014,40911,23380,31303,37604,25308,16606,10965,1169824,66267,72666,77728,47079,25143,13393,13853,42121,71362,74717,74492,80510,81470,87995,81480,31630,43097,26776,34609,44339,33387,22713,22997,1772607,871303,51967,56249,58527,35815,20004,52152,52316,53771,115064,130553,117879,80125,37314,9567,901304,48496,52584,56700,34142,18113,51292,52879,54708,116802,132518,125366,89550,48736,19418,411011,195105,14345,15201,16946,9621,6000,16027,13932,13815,25444,25981,22152,10479,3936,1226,215906,12597,14437,15628,10000,5540,15124,14925,15894,30761,31143,26237,13764,6651,3205,12079,5877,272,294,616,275,213,449,258,319,758,909,980,439,84,11,6202,154,484,349,291,32,350,369,536,1023,956,1000,505,99,54,24768,10901,610,816,912,701,324,568,788,970,1991,1667,841,420,219,74,13867,707,1049,745,569,286,674,926,1350,2533,1974,1742,940,306,66,774,427,5,14,55,0,0,52,20,63,59,81,53,25,0,0,347,14,15,35,46,0,24,8,0,34,87,64,0,0,20,27943,15643,1453,2197,1326,898,465,1758,1102,1809,2502,1337,628,141,19,8,12300,1362,1543,1675,604,436,706,1296,1135,2135,755,405,169,27,52,39865,19967,3281,2890,2366,1203,825,1440,1214,964,1761,1481,1463,658,342,79,19898,2937,2554,2596,1427,736,1197,959,1094,1714,2032,1393,796,281,182,1720458,843683,48499,53280,56272,34551,18924,50423,49388,51010,111060,127858,116395,79590,36914,9519,876775,45400,49449,54235,32815,17398,49619,50933,52524,113213,130249,124280,88919,48373,19368,84052,45112,5201,5353,3822,2270,1639,3725,4237,4624,6617,4136,2235,770,411,72,38940,4700,5033,4203,2076,1225,2435,3414,3607,6040,3199,1586,879,439,104,39.1,37.8,40.4,41.2,40.2,42.3,34.2,31.9,36.0,39.6,38.2,40.3,35.7,33.8,37.6,41.1,35.3,41.8,24.1,24.3,22.8,18.7,18.4,19.2,41.8,40.7,42.9,25.2,25.7,24.4,2289047
40,AL,01,,,,,040E0US01,Alabama -- In micropolitan statistical area,530745,259047,16586,16916,18068,10768,7030,4100,3862,10428,16607,15773,14998,17701,17401,18150,17674,7274,8641,5629,7569,10201,6622,4034,3015,271698,15786,16031,17617,10275,6478,3569,3641,10974,16240,15983,16397,17132,17711,19116,19099,7349,9740,6804,8478,11648,9373,6232,6025,399662,196956,11741,11661,12886,7756,4756,13127,12236,11988,24696,27689,26740,19809,9249,2622,202706,10647,11339,12226,7339,4371,12615,11541,11629,24536,27940,28083,22284,13091,5065,108011,50701,3656,3888,3894,2577,1842,4548,3339,3127,6322,6805,6045,3036,1309,313,57310,3699,3476,4168,2422,1824,4803,4051,3654,7322,7748,7087,4056,2096,904,2790,1395,31,66,68,116,89,72,12,69,344,202,146,118,14,48,1395,66,17,97,98,23,104,20,119,70,265,283,109,80,44,3814,1539,88,95,54,48,5,145,255,107,334,223,42,77,49,17,2275,93,137,118,30,14,194,197,95,589,271,216,162,159,0,195,92,9,0,0,0,0,10,0,21,8,0,6,38,0,0,103,0,0,3,0,0,0,1,2,71,20,6,0,0,0,5860,3356,256,601,467,78,189,229,339,329,544,259,35,30,0,0,2504,449,291,276,55,21,279,275,242,423,69,92,0,32,0,10413,5008,805,605,699,193,149,259,426,132,451,373,575,291,35,15,5405,832,771,729,331,225,189,155,242,518,514,421,319,147,12,380708,186329,10074,10594,11876,7278,4282,12597,10983,10713,23174,27136,26259,19619,9148,2596,194379,9736,10049,11533,6983,4040,11888,10919,10853,23486,27173,27700,22069,12946,5004,25719,14320,1966,1703,1403,539,635,827,1687,1566,2224,898,522,223,101,26,11399,1573,1682,1038,467,383,1054,856,1034,1479,874,448,222,228,61,39.6,38.3,40.8,41.7,40.3,43.1,34.3,32.1,35.8,42.2,39.8,48.6,37.6,33.7,40.0,41.7,39.8,41.8,23.5,21.9,24.2,19.0,20.9,18.3,43.0,41.7,44.1,24.4,25.2,24.0,530745
40,AL,01,,,,,040E1US01,Alabama -- In micropolitan statistical area -- in principal city,169958,81376,5766,5729,5499,3083,2556,1860,1374,3974,6438,5222,4634,5310,4404,5067,4851,2319,2593,1611,1893,2938,2039,1230,986,88582,5486,5187,5756,3157,2614,1251,1473,4348,6161,5208,5095,4848,5257,6029,5951,2205,2618,1973,2581,3524,3098,2300,2462,111065,53698,3237,3457,3329,1788,1488,4377,4149,3464,6542,6523,6994,4858,2692,800,57367,3149,2960,3500,2039,1557,4126,3696,3307,6179,7189,7344,5995,4289,2037,50593,23496,2101,1697,1933,1170,933,2479,1831,1550,2593,2559,2596,1317,564,173,27097,1707,1869,1872,928,1017,2501,2160,1718,3223,3750,3143,1912,886,411,697,387,18,17,0,23,23,0,0,26,138,71,6,52,0,13,310,22,0,0,28,0,48,18,0,13,36,56,40,35,14,1907,787,30,50,33,2,4,84,187,25,184,120,10,58,0,0,1120,72,52,51,21,11,180,88,37,323,86,56,43,100,0,39,19,0,0,0,0,0,10,0,0,0,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,2313,1295,113,302,61,27,0,136,115,150,274,75,22,20,0,0,1018,129,109,147,32,0,113,167,102,133,18,36,0,32,0,3344,1694,267,206,143,73,108,122,156,7,213,123,135,128,13,0,1650,407,197,186,109,29,104,32,44,72,187,139,88,56,0,102480,48921,2634,2894,2994,1654,1223,4281,3547,2820,5680,6347,6681,4727,2657,782,53559,2714,2352,3237,1877,1461,3844,3309,2994,5774,6707,7186,5912,4177,2015,11346,6203,748,852,370,150,266,242,717,776,1259,298,341,131,35,18,5143,740,762,415,195,111,421,547,415,529,506,211,83,186,22,36.8,34.2,38.8,40.0,38.1,42.1,31.6,28.9,34.2,41.9,41.5,53.3,35.7,31.4,37.8,47.5,.,.,24.9,25.4,24.7,18.7,22.4,16.3,41.7,39.9,43.8,26.0,27.0,24.6,169958
40,AL,01,,,,,040E2US01,Alabama -- In micropolitan statistical area -- not in principal city,360787,177671,10820,11187,12569,7685,4474,2240,2488,6454,10169,10551,10364,12391,12997,13083,12823,4955,6048,4018,5676,7263,4583,2804,2029,183116,10300,10844,11861,7118,3864,2318,2168,6626,10079,10775,11302,12284,12454,13087,13148,5144,7122,4831,5897,8124,6275,3932,3563,288597,143258,8504,8204,9557,5968,3268,8750,8087,8524,18154,21166,19746,14951,6557,1822,145339,7498,8379,8726,5300,2814,8489,7845,8322,18357,20751,20739,16289,8802,3028,57418,27205,1555,2191,1961,1407,909,2069,1508,1577,3729,4246,3449,1719,745,140,30213,1992,1607,2296,1494,807,2302,1891,1936,4099,3998,3944,2144,1210,493,2093,1008,13,49,68,93,66,72,12,43,206,131,140,66,14,35,1085,44,17,97,70,23,56,2,119,57,229,227,69,45,30,1907,752,58,45,21,46,1,61,68,82,150,103,32,19,49,17,1155,21,85,67,9,3,14,109,58,266,185,160,119,59,0,156,73,9,0,0,0,0,0,0,21,8,0,6,29,0,0,83,0,0,3,0,0,0,1,2,71,0,6,0,0,0,3547,2061,143,299,406,51,189,93,224,179,270,184,13,10,0,0,1486,320,182,129,23,21,166,108,140,290,51,56,0,0,0,7069,3314,538,399,556,120,41,137,270,125,238,250,440,163,22,15,3755,425,574,543,222,196,85,123,198,446,327,282,231,91,12,278228,137408,7440,7700,8882,5624,3059,8316,7436,7893,17494,20789,19578,14892,6491,1814,140820,7022,7697,8296,5106,2579,8044,7610,7859,17712,20466,20514,16157,8769,2989,14373,8117,1218,851,1033,389,369,585,970,790,965,600,181,92,66,8,6256,833,920,623,272,272,633,309,619,950,368,237,139,42,39,40.8,39.9,41.8,42.4,41.2,43.5,36.8,36.4,37.1,42.5,38.8,47.3,40.3,34.5,42.9,41.5,39.8,41.6,20.2,19.1,23.5,19.3,20.1,18.9,43.4,42.4,44.2,22.2,22.1,23.0,360787
