SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AR,05,,,,,04000US05,Arkansas,2958208,1451913,98246,103613,99707,60521,41663,22626,22920,59114,96190,96273,90371,91881,93238,98960,92133,35466,48616,30652,39469,52154,36856,23098,18146,1506295,93534,97603,96862,57735,39078,21940,20918,59387,96573,95632,90620,93777,95476,102953,100676,36713,53530,33875,42794,61686,44371,35328,35234,2307849,1137425,69358,74361,72239,44367,29848,77566,72450,73431,142204,156625,146173,107998,54592,16213,1170424,65980,69998,69099,42028,27465,75551,71677,71441,140662,158008,156457,120495,70413,31150,459748,219017,18538,18593,18777,11044,8405,19143,15798,15519,26406,26171,23736,11111,4130,1646,240731,17155,17736,18636,10904,8470,19184,17370,16902,30809,30941,27745,13615,7566,3698,18409,8984,446,585,770,368,425,504,585,669,1485,1139,1061,572,242,133,9425,550,576,784,501,289,607,697,678,1219,1428,1164,635,202,95,40336,19169,1439,1420,1317,762,530,2022,1884,1883,3346,2051,1533,692,275,15,21167,1106,1248,1404,788,606,1697,2188,2294,3820,2498,2133,988,330,67,6845,3542,472,792,214,77,57,168,438,586,409,170,132,27,0,0,3303,375,695,278,156,49,154,406,396,373,169,117,87,48,0,62484,33691,3492,4154,2972,1910,996,2932,3286,2845,5511,3332,1535,613,108,5,28793,3329,3533,2775,1381,1018,2771,2439,2373,4703,2635,1028,536,224,48,62537,30085,4501,3708,3418,1993,1402,2325,1749,1340,2891,2710,2045,1262,607,134,32452,5039,3817,3886,1977,1181,2281,1796,1548,2811,2750,2275,1999,916,176,2177308,1069603,61582,66381,65304,40904,27046,71841,66544,66896,132676,150588,143183,106481,54110,16067,1107705,58311,62418,61956,38597,25477,70736,66406,66011,132126,152240,153233,119295,69872,31027,203226,107023,11918,12908,10546,5711,4070,9171,9548,9800,15680,9784,4746,2366,624,151,96203,11726,11821,10699,5113,3190,8007,7815,8038,13631,8712,4518,1956,803,174,37.7,36.4,39.1,40.3,38.9,41.7,31.5,29.7,33.1,36.2,36.6,35.4,31.9,30.6,33.1,24.2,24.6,24.1,25.0,25.6,24.3,20.3,20.0,20.7,41.7,40.3,43.0,23.9,24.5,23.3,2958208
40,AR,05,,,,,04001US05,Arkansas -- Urban,1675656,808410,62916,61993,57282,33050,25918,14971,15253,38930,62393,59644,53010,50282,47589,48840,44430,17196,22839,13678,17495,22593,16336,11519,10253,867246,58371,58028,55683,32370,26301,15093,14719,39937,63775,60300,53983,52939,51060,54627,52239,18174,27014,16730,20452,30527,23326,19726,21872,1177721,570948,39282,38719,36099,20876,16834,47319,43583,41615,72833,71146,64180,44946,24548,8968,606773,36185,36086,34009,20329,16699,47456,42867,40533,72674,75532,72961,55583,37018,18841,361953,169379,15738,15113,15260,8817,6941,15598,12376,12421,20404,19120,16432,7294,2688,1177,192574,14206,15124,15256,8707,7154,16104,14863,14212,25085,23755,20583,9643,5117,2765,10202,5058,347,403,372,205,212,285,432,435,895,675,459,208,90,40,5144,379,354,359,244,186,399,361,331,699,820,538,320,72,82,33658,16349,1279,1181,1154,572,399,1756,1743,1684,2982,1661,1214,460,251,13,17309,983,983,1169,613,559,1559,1945,1942,2917,1942,1614,830,199,54,6512,3319,472,790,143,77,57,168,410,560,388,137,117,0,0,0,3193,374,695,250,134,49,151,406,384,373,147,102,85,43,0,47780,25666,2964,3383,2183,1337,692,2417,2564,2128,3957,2454,1126,385,74,2,22114,2673,2592,2152,966,798,2321,2044,1848,3489,2035,650,356,175,15,37830,17691,2834,2404,2071,1166,783,1611,1285,801,1833,1236,937,473,204,53,20139,3571,2194,2488,1377,856,1759,1289,1050,1685,1456,979,892,428,115,1075298,517774,32993,32415,30623,18379,14872,42719,38875,36558,64962,66344,61834,44055,24282,8863,557524,30076,30581,28404,17621,15178,43639,38549,36120,65606,71151,70468,54692,36693,18746,157644,82820,9689,10287,8156,4057,2803,7338,7554,7439,12440,7454,3674,1448,374,107,74824,9375,8493,8363,3886,2443,6483,6441,6465,10811,6660,3415,1372,506,111,34.2,32.6,35.8,37.0,35.1,39.0,29.9,27.7,31.5,32.8,32.0,33.9,30.9,30.3,31.4,23.6,23.4,24.1,24.5,24.8,24.1,18.9,18.8,18.9,38.8,36.7,40.9,24.0,24.3,23.5,1675656
40,AR,05,,,,,04043US05,Arkansas -- Rural,1282552,643503,35330,41620,42425,27471,15745,7655,7667,20184,33797,36629,37361,41599,45649,50120,47703,18270,25777,16974,21974,29561,20520,11579,7893,639049,35163,39575,41179,25365,12777,6847,6199,19450,32798,35332,36637,40838,44416,48326,48437,18539,26516,17145,22342,31159,21045,15602,13362,1130128,566477,30076,35642,36140,23491,13014,30247,28867,31816,69371,85479,81993,63052,30044,7245,563651,29795,33912,35090,21699,10766,28095,28810,30908,67988,82476,83496,64912,33395,12309,97795,49638,2800,3480,3517,2227,1464,3545,3422,3098,6002,7051,7304,3817,1442,469,48157,2949,2612,3380,2197,1316,3080,2507,2690,5724,7186,7162,3972,2449,933,8207,3926,99,182,398,163,213,219,153,234,590,464,602,364,152,93,4281,171,222,425,257,103,208,336,347,520,608,626,315,130,13,6678,2820,160,239,163,190,131,266,141,199,364,390,319,232,24,2,3858,123,265,235,175,47,138,243,352,903,556,519,158,131,13,333,223,0,2,71,0,0,0,28,26,21,33,15,27,0,0,110,1,0,28,22,0,3,0,12,0,22,15,2,5,0,14704,8025,528,771,789,573,304,515,722,717,1554,878,409,228,34,3,6679,656,941,623,415,220,450,395,525,1214,600,378,180,49,33,24707,12394,1667,1304,1347,827,619,714,464,539,1058,1474,1108,789,403,81,12313,1468,1623,1398,600,325,522,507,498,1126,1294,1296,1107,488,61,1102010,551829,28589,33966,34681,22525,12174,29122,27669,30338,67714,84244,81349,62426,29828,7204,550181,28235,31837,33552,20976,10299,27097,27857,29891,66520,81089,82765,64603,33179,12281,45582,24203,2229,2621,2390,1654,1267,1833,1994,2361,3240,2330,1072,918,250,44,21379,2351,3328,2336,1227,747,1524,1374,1573,2820,2052,1103,584,297,63,42.7,42.0,43.5,43.6,43.0,44.3,39.0,37.2,40.9,39.5,41.7,38.2,37.7,32.6,38.5,32.4,32.4,33.1,27.3,29.1,25.2,24.7,22.2,26.8,44.2,43.6,44.8,23.8,25.3,22.4,1282552
40,AR,05,,,,,040A0US05,Arkansas -- In metropolitan or micropolitan statistical area,2380761,1167510,81302,84210,80852,48798,34219,18722,19605,49359,80994,80704,74785,74664,74809,78210,72295,27115,37669,23187,30039,38135,27408,16848,13581,1213251,77086,79879,78666,46478,32938,18270,18171,49572,81452,79946,74700,76451,76512,81818,79424,28783,41677,25561,32419,46842,33001,26655,26950,1831866,902145,56269,58998,57676,35044,24250,64369,60266,60823,115209,123721,112854,80387,40108,12171,929721,53497,56569,55017,33301,22853,62832,59481,58691,113800,124794,121558,90813,52819,23696,385621,183486,15897,15861,15979,9406,7085,16245,13788,13387,22328,21572,19017,8561,3162,1198,202135,14574,15084,15855,9201,7221,16468,15319,14777,26389,25450,22576,10746,5530,2945,15100,7491,409,549,629,313,367,457,470,607,1273,912,838,393,193,81,7609,480,497,542,405,284,532,546,572,1037,1115,983,420,138,58,37406,17852,1323,1259,1227,622,458,1879,1768,1855,3252,1867,1420,650,257,15,19554,1042,1158,1266,730,576,1559,2030,2195,3366,2371,1979,924,302,56,6389,3401,462,748,214,77,57,168,438,586,377,129,131,14,0,0,2988,289,653,266,92,49,122,406,384,373,152,114,40,48,0,51035,27527,2978,3508,2269,1563,833,2491,2615,2273,4535,2659,1232,469,102,0,23508,2670,2667,2343,1083,869,2333,2059,1982,3845,2094,901,429,185,48,53344,25608,3964,3287,2858,1773,1169,2077,1649,1173,2475,2159,1587,887,434,116,27736,4534,3251,3377,1666,1086,2167,1611,1345,2341,2354,1773,1450,634,147,1720623,844231,49554,52503,51910,32037,21916,59559,55022,55068,106828,118464,110240,79313,39763,12054,876392,47016,50106,48812,30474,21157,58683,55074,54072,106421,119910,118824,89879,52350,23614,170847,90087,10178,10674,8585,4871,3368,7776,8214,8412,13477,8193,4019,1727,476,117,80760,9780,9814,9129,4162,2716,6888,6534,6768,11595,7224,3874,1461,682,133,36.6,35.3,37.9,39.3,37.9,40.6,30.8,29.0,32.4,34.1,34.0,34.2,32.0,31.1,33.0,24.9,23.9,25.4,24.9,25.3,24.6,19.7,19.5,19.9,40.6,39.2,42.0,24.0,24.7,23.3,2380761
40,AR,05,,,,,040C0US05,Arkansas -- In metropolitan statistical area,1806867,885456,62958,65406,61650,37410,25129,14070,14311,38217,63344,63431,58506,57418,56581,58686,53771,19898,27823,16683,21423,27783,19235,11986,9737,921411,59769,62124,59910,35344,24228,13031,13511,38705,64532,63084,58951,58524,58117,61707,59575,21384,30881,18926,23052,34313,23461,19182,19100,1373601,676382,43123,44758,43419,26341,17418,48274,46583,47410,88146,92696,83114,57953,28397,8750,697219,40767,42948,41418,24897,16339,46734,46252,45672,87304,93580,90608,65792,37960,16948,293195,139514,12101,12319,12369,7300,5297,12239,10839,10273,17388,16225,14162,6058,2086,858,153681,11099,12147,11594,6906,5411,12610,12324,11796,20617,19147,16632,7733,3711,1954,12834,6198,399,458,495,242,354,396,431,540,1046,746,622,296,137,36,6636,456,438,510,348,240,507,515,501,811,916,855,402,83,54,34471,16615,1266,1200,1104,610,428,1643,1627,1782,3141,1741,1260,561,237,15,17856,1010,1129,1192,605,562,1385,1877,1961,3128,2180,1669,870,236,52,6309,3353,462,748,214,77,57,168,421,586,377,116,117,10,0,0,2956,289,653,266,92,49,119,406,384,344,152,114,40,48,0,43556,23215,2589,3182,1829,1351,688,2116,2180,1792,3844,2200,1050,345,49,0,20341,2340,2216,2092,989,740,2036,1777,1663,3426,1812,709,361,170,10,42901,20179,3018,2741,2220,1489,887,1762,1263,1048,1982,1543,1167,666,315,78,22722,3808,2593,2838,1507,887,1856,1381,1107,1845,2037,1253,1093,435,82,1278876,626904,37171,39185,38646,23682,15578,44000,42278,42501,80905,88202,80894,57100,28123,8639,651972,35262,37517,36188,22546,14892,43397,42548,41753,80773,89486,88097,65041,37606,16866,145454,76602,8808,9399,7078,4305,2630,6766,6808,7060,11610,6920,3393,1363,351,111,68852,8372,8054,7844,3584,2361,5703,5609,5732,10154,6174,3403,1210,552,100,35.9,34.7,37.2,38.7,37.3,40.1,30.4,28.7,31.8,32.2,32.0,32.3,31.9,31.2,32.5,24.2,23.4,25.2,24.6,24.7,24.5,19.4,19.4,19.4,40.2,38.7,41.6,24.1,24.4,23.6,1806867
40,AR,05,,,,,040C1US05,Arkansas -- In metropolitan statistical area -- in principal city,821859,400320,30828,30598,27344,16238,13512,7683,7931,21444,33770,31818,26569,25607,22995,23303,22832,8033,11001,5862,7968,9150,6627,4709,4498,421539,29418,28486,25820,15694,13796,7850,7729,22068,33629,31351,26803,26176,23924,25819,25702,8873,12640,7077,8848,12085,9696,8663,9392,541196,265537,17118,16833,15639,9222,8239,24511,22638,21073,34583,32798,30593,18582,9871,3837,275659,16756,15949,14716,9110,8176,24134,20878,19676,33052,33459,34139,21884,15684,8046,192278,90194,8333,8040,8191,4912,3776,8274,7016,6688,11043,9735,8783,3638,1163,602,102084,7602,8068,7205,4561,3991,9195,8769,7739,13697,12267,10783,4741,2218,1248,5487,2826,273,276,212,63,149,145,220,219,543,340,272,59,41,14,2661,225,233,212,126,108,172,214,210,317,381,294,159,3,7,25292,12701,1020,1001,865,432,346,1126,1357,1455,2310,1329,884,387,176,13,12591,797,814,839,451,432,1089,1241,1664,2162,1389,1007,534,134,38,5595,2886,393,701,139,77,50,168,375,523,336,7,117,0,0,0,2709,270,637,225,88,49,115,351,371,324,112,86,38,43,0,31689,16671,2156,2610,1236,885,548,1711,1586,1321,2332,1468,651,155,12,0,15018,2025,1639,1397,709,540,1658,1365,1210,2481,1227,400,229,128,10,20322,9505,1535,1137,1062,647,404,1123,578,539,1029,621,566,159,73,32,10817,1743,1146,1226,649,500,1284,811,481,946,908,506,425,149,43,478877,232929,13058,13035,12703,7854,7240,21673,19519,17566,29594,29944,29124,18133,9709,3777,245948,13011,12681,11443,7403,7230,21729,18314,16947,28838,30842,32511,21436,15519,8044,98562,51716,6307,6814,4522,2460,1600,4749,4918,4969,7724,4459,2266,666,202,60,46846,6132,5051,5132,2517,1568,4235,4054,4025,6853,4031,2191,762,293,2,32.8,31.6,34.1,35.8,34.4,37.6,29.4,27.6,30.9,31.1,31.0,31.1,30.9,30.6,31.3,23.0,22.6,23.9,23.1,22.7,23.7,20.2,19.8,20.8,38.0,36.2,40.0,23.9,24.3,23.5,821859
40,AR,05,,,,,040C2US05,Arkansas -- In metropolitan statistical area -- not in principal city,985008,485136,32130,34808,34306,21172,11617,6387,6380,16773,29574,31613,31937,31811,33586,35383,30939,11865,16822,10821,13455,18633,12608,7277,5239,499872,30351,33638,34090,19650,10432,5181,5782,16637,30903,31733,32148,32348,34193,35888,33873,12511,18241,11849,14204,22228,13765,10519,9708,832405,410845,26005,27925,27780,17119,9179,23763,23945,26337,53563,59898,52521,39371,18526,4913,421560,24011,26999,26702,15787,8163,22600,25374,25996,54252,60121,56469,43908,22276,8902,100917,49320,3768,4279,4178,2388,1521,3965,3823,3585,6345,6490,5379,2420,923,256,51597,3497,4079,4389,2345,1420,3415,3555,4057,6920,6880,5849,2992,1493,706,7347,3372,126,182,283,179,205,251,211,321,503,406,350,237,96,22,3975,231,205,298,222,132,335,301,291,494,535,561,243,80,47,9179,3914,246,199,239,178,82,517,270,327,831,412,376,174,61,2,5265,213,315,353,154,130,296,636,297,966,791,662,336,102,14,714,467,69,47,75,0,7,0,46,63,41,109,0,10,0,0,247,19,16,41,4,0,4,55,13,20,40,28,2,5,0,11867,6544,433,572,593,466,140,405,594,471,1512,732,399,190,37,0,5323,315,577,695,280,200,378,412,453,945,585,309,132,42,0,22579,10674,1483,1604,1158,842,483,639,685,509,953,922,601,507,242,46,11905,2065,1447,1612,858,387,572,570,626,899,1129,747,668,286,39,799999,393975,24113,26150,25943,15828,8338,22327,22759,24935,51311,58258,51770,38967,18414,4862,406024,22251,24836,24745,15143,7662,21668,24234,24806,51935,58644,55586,43605,22087,8822,46892,24886,2501,2585,2556,1845,1030,2017,1890,2091,3886,2461,1127,697,149,51,22006,2240,3003,2712,1067,793,1468,1555,1707,3301,2143,1212,448,259,98,38.9,37.8,39.9,40.5,39.4,41.6,32.5,31.1,33.7,33.8,33.0,34.5,36.3,32.9,37.9,28.8,28.6,29.1,29.4,30.6,27.6,18.5,19.0,17.9,41.3,40.2,42.4,24.4,24.7,24.1,985008
40,AR,05,,,,,040E0US05,Arkansas -- In micropolitan statistical area,573894,282054,18344,18804,19202,11388,9090,4652,5294,11142,17650,17273,16279,17246,18228,19524,18524,7217,9846,6504,8616,10352,8173,4862,3844,291840,17317,17755,18756,11134,8710,5239,4660,10867,16920,16862,15749,17927,18395,20111,19849,7399,10796,6635,9367,12529,9540,7473,7850,458265,225763,13146,14240,14257,8703,6832,16095,13683,13413,27063,31025,29740,22434,11711,3421,232502,12730,13621,13599,8404,6514,16098,13229,13019,26496,31214,30950,25021,14859,6748,92426,43972,3796,3542,3610,2106,1788,4006,2949,3114,4940,5347,4855,2503,1076,340,48454,3475,2937,4261,2295,1810,3858,2995,2981,5772,6303,5944,3013,1819,991,2266,1293,10,91,134,71,13,61,39,67,227,166,216,97,56,45,973,24,59,32,57,44,25,31,71,226,199,128,18,55,4,2935,1237,57,59,123,12,30,236,141,73,111,126,160,89,20,0,1698,32,29,74,125,14,174,153,234,238,191,310,54,66,4,80,48,0,0,0,0,0,0,17,0,0,13,14,4,0,0,32,0,0,0,0,0,3,0,0,29,0,0,0,0,0,7479,4312,389,326,440,212,145,375,435,481,691,459,182,124,53,0,3167,330,451,251,94,129,297,282,319,419,282,192,68,15,38,10443,5429,946,546,638,284,282,315,386,125,493,616,420,221,119,38,5014,726,658,539,159,199,311,230,238,496,317,520,357,199,65,441747,217327,12383,13318,13264,8355,6338,15559,12744,12567,25923,30262,29346,22213,11640,3415,224420,11754,12589,12624,7928,6265,15286,12526,12319,25648,30424,30727,24838,14744,6748,25393,13485,1370,1275,1507,566,738,1010,1406,1352,1867,1273,626,364,125,6,11908,1408,1760,1285,578,355,1185,925,1036,1441,1050,471,251,130,33,39.1,37.6,40.6,41.1,39.8,42.4,32.3,30.2,34.3,41.5,40.9,43.2,33.7,26.0,37.2,39.0,45.5,36.7,25.9,28.1,25.2,21.2,20.4,22.5,42.0,40.6,43.3,23.9,26.0,22.0,573894
40,AR,05,,,,,040E1US05,Arkansas -- In micropolitan statistical area -- in principal city,220646,106641,8436,7496,6798,3466,4665,2391,3236,5400,8313,7340,6101,6289,6168,6165,5861,2344,2941,1909,2412,2804,2494,1806,1806,114005,7110,7010,7126,3960,4994,3157,2879,5410,7396,7053,5556,6105,6000,7074,6696,2256,3614,2244,2940,4234,3944,3234,4013,152589,73661,5079,4788,4049,1902,3297,7634,5799,4852,8328,8438,8414,5847,3626,1608,78928,4242,4617,3966,2388,3376,8282,5159,4534,7596,8955,8860,7789,5890,3274,59051,27919,2780,2331,2146,1319,1235,2827,1967,2261,3484,3274,2435,1128,560,172,31132,2368,2038,2851,1468,1422,2793,1950,2107,3608,3801,3393,1488,1134,711,1071,693,0,62,101,43,13,41,20,25,126,115,53,43,25,26,378,14,30,0,0,28,11,2,46,94,77,50,0,26,0,1452,684,39,21,59,4,19,223,69,30,36,90,60,14,20,0,768,11,10,15,49,5,138,114,125,53,77,96,52,23,0,50,30,0,0,0,0,0,0,17,0,0,13,0,0,0,0,20,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2368,1453,64,111,117,78,5,138,232,137,264,157,52,58,40,0,915,66,75,68,25,87,91,132,99,114,111,32,10,0,5,4065,2201,474,183,326,120,96,164,209,35,152,246,132,35,29,0,1864,409,240,226,30,76,131,39,142,176,53,135,79,105,23,144114,69237,4835,4265,3591,1804,3054,7232,5206,4426,7703,7988,8164,5751,3616,1602,74877,3737,4190,3517,2230,3167,7767,4762,4216,7123,8532,8795,7682,5885,3274,11318,6090,488,586,603,128,257,547,857,583,917,589,306,173,50,6,5228,632,637,561,188,254,642,459,451,648,480,154,117,5,0,33.8,31.9,35.9,36.5,34.3,39.0,30.0,28.3,31.7,40.3,40.2,40.6,29.2,24.5,30.6,36.4,.,.,28.1,29.2,25.5,18.2,17.9,18.5,37.8,35.3,40.7,25.5,27.4,22.1,220646
40,AR,05,,,,,040E2US05,Arkansas -- In micropolitan statistical area -- not in principal city,353248,175413,9908,11308,12404,7922,4425,2261,2058,5742,9337,9933,10178,10957,12060,13359,12663,4873,6905,4595,6204,7548,5679,3056,2038,177835,10207,10745,11630,7174,3716,2082,1781,5457,9524,9809,10193,11822,12395,13037,13153,5143,7182,4391,6427,8295,5596,4239,3837,305676,152102,8067,9452,10208,6801,3535,8461,7884,8561,18735,22587,21326,16587,8085,1813,153574,8488,9004,9633,6016,3138,7816,8070,8485,18900,22259,22090,17232,8969,3474,33375,16053,1016,1211,1464,787,553,1179,982,853,1456,2073,2420,1375,516,168,17322,1107,899,1410,827,388,1065,1045,874,2164,2502,2551,1525,685,280,1195,600,10,29,33,28,0,20,19,42,101,51,163,54,31,19,595,10,29,32,57,16,14,29,25,132,122,78,18,29,4,1483,553,18,38,64,8,11,13,72,43,75,36,100,75,0,0,930,21,19,59,76,9,36,39,109,185,114,214,2,43,4,30,18,0,0,0,0,0,0,0,0,0,0,14,4,0,0,12,0,0,0,0,0,3,0,0,9,0,0,0,0,0,5111,2859,325,215,323,134,140,237,203,344,427,302,130,66,13,0,2252,264,376,183,69,42,206,150,220,305,171,160,58,15,33,6378,3228,472,363,312,164,186,151,177,90,341,370,288,186,90,38,3150,317,418,313,129,123,180,191,96,320,264,385,278,94,42,297633,148090,7548,9053,9673,6551,3284,8327,7538,8141,18220,22274,21182,16462,8024,1813,149543,8017,8399,9107,5698,3098,7519,7764,8103,18525,21892,21932,17156,8859,3474,14075,7395,882,689,904,438,481,463,549,769,950,684,320,191,75,0,6680,776,1123,724,390,101,543,466,585,793,570,317,134,125,33,42.0,41.1,42.7,43.0,42.2,43.6,38.5,34.9,40.4,44.0,49.6,43.5,39.2,37.0,40.8,55.2,55.6,.,25.3,25.7,23.7,26.1,22.3,26.8,43.6,43.0,44.2,21.9,21.9,21.6,353248
