SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,AZ,04,,,,,04000US04,Arizona,6641928,3299088,221511,231249,233530,138926,95367,53027,51846,142852,231488,223754,206718,213591,205830,210386,192614,71750,106575,68017,87835,121878,87470,58553,44321,3342840,212324,224385,222965,132399,89651,49968,48167,132457,215985,214946,202482,210621,206081,218328,209767,82243,118070,75725,98682,136840,96953,69559,74242,5210335,2584130,156949,166569,169965,101270,68721,179169,170913,168131,321477,336141,318414,250638,134579,41194,2626205,148199,161418,161040,96363,64974,168571,161210,160319,316211,340875,349292,277159,151601,68973,281576,147605,10731,11771,10608,6761,5283,14585,12485,11907,21267,19046,13555,6503,2443,660,133971,10327,10154,10657,6692,4474,11447,10253,10381,17943,17077,12846,7295,3130,1295,294721,142717,12583,12759,12989,7893,5086,14077,12335,9603,17963,16700,11173,5978,2841,737,152004,12688,13195,12492,7573,5560,14028,11844,10959,17765,18931,13880,7884,3757,1448,200090,93171,5766,5874,6178,3341,2541,8289,8353,8816,17062,11590,7900,4694,2161,606,106919,5814,6113,5995,3459,2502,7004,8522,9425,19748,14731,12057,7300,3335,914,12471,6541,563,510,372,310,196,728,686,643,852,730,657,192,77,25,5930,526,708,464,187,173,447,659,546,763,570,518,194,135,40,430890,218828,17093,19099,20285,11929,9058,22411,19421,18510,32177,24928,13792,6710,2631,784,212062,18221,18399,19584,11419,7403,20045,16252,17227,30290,24853,15769,8261,3289,1050,211845,106096,17826,14667,13133,7422,4482,8466,7295,6144,9511,7081,5448,3015,1291,315,105749,16549,14398,12733,6706,4565,9050,7245,6089,10383,7372,5718,3154,1265,522,3752853,1854760,87068,92903,97582,59940,41126,112658,114133,112446,222385,258982,269092,225176,123420,37849,1898093,83273,90108,91176,56395,38306,106029,106922,107447,213681,262579,295875,247090,136191,63021,2014711,1012330,97228,102271,99967,57476,39157,94644,81163,78256,136953,106580,66245,33514,14497,4379,1002381,92661,98426,97161,55373,36756,87864,74674,74172,138535,108185,72268,39702,19382,7222,36.8,35.6,38.2,39.9,38.5,41.1,30.9,30.6,31.3,28.3,27.4,29.4,35.6,33.4,37.6,28.8,29.3,28.4,27.7,27.2,28.2,18.5,18.0,19.0,45.9,44.5,47.4,26.5,25.9,27.1,6641928
40,AZ,04,,,,,04001US04,Arizona -- Urban,5969555,2941700,203803,212540,212378,125347,85771,48270,47277,129490,209775,201366,185090,191062,183364,184887,167943,61428,91262,57408,74510,102167,76150,50713,39699,3027855,194213,205480,201775,119464,83044,46267,44845,123639,200873,199636,187189,193601,187326,194508,184359,71476,102855,65736,84798,119350,86348,62646,68427,4734734,2329486,146626,155864,156693,92554,62952,166077,157872,153255,291813,301908,277112,211811,117811,37138,2405248,138268,150260,148176,88313,61376,160304,152620,150378,293990,310331,307550,242159,137193,64330,268357,137640,10288,11567,10375,6514,5036,13590,11339,10741,18952,17257,12798,6244,2332,607,130717,9976,9929,10449,6523,4388,11284,10015,10211,17571,16574,12538,6945,3054,1260,162514,78046,7540,6938,7667,4448,2553,8020,7533,5706,10015,8186,5474,2534,1086,346,84468,7074,7425,6740,3950,3289,8463,7204,6963,10886,10368,6953,3412,1115,626,192662,89801,5690,5681,5961,3226,2435,8056,8159,8484,16270,11188,7562,4475,2060,554,102861,5625,6049,5716,3323,2353,6886,8153,9075,19202,14099,11474,6860,3222,824,11471,5859,549,492,372,279,196,670,558,574,745,591,590,141,77,25,5612,508,668,422,187,146,407,650,513,755,517,501,182,123,33,404883,203586,16100,18333,19281,11528,8634,20614,17519,17061,29649,22885,12570,6303,2385,724,201297,17260,17589,18682,10924,7183,19181,15313,16670,28729,23225,14768,7712,3089,972,194934,97282,17010,13665,12029,6798,3965,8010,6795,5545,8708,6236,4527,2577,1112,305,97652,15502,13560,11590,6244,4309,8226,6918,5826,9657,6720,4906,2614,1198,382,3370087,1653314,79881,85645,87882,53723,37311,104218,106253,102785,201578,230776,232384,189068,107700,34110,1716773,76587,82606,82167,50626,36015,100448,100748,99964,196846,236486,258135,214378,122907,58860,1884981,938395,92551,97331,94887,54250,36482,87842,73549,70993,125071,98080,60128,30110,13129,3992,946586,87442,93219,91718,52196,35048,83738,70943,70911,131174,101852,66995,36738,17975,6637,36.1,34.9,37.5,38.9,37.5,40.3,30.6,30.0,31.2,27.4,26.1,28.6,35.5,33.2,37.4,28.3,28.2,28.4,27.4,26.9,28.0,18.2,17.6,18.8,45.0,43.5,46.5,26.2,25.4,27.0,5969555
40,AZ,04,,,,,04043US04,Arizona -- Rural,672373,357388,17708,18709,21152,13579,9596,4757,4569,13362,21713,22388,21628,22529,22466,25499,24671,10322,15313,10609,13325,19711,11320,7840,4622,314985,18111,18905,21190,12935,6607,3701,3322,8818,15112,15310,15293,17020,18755,23820,25408,10767,15215,9989,13884,17490,10605,6913,5815,475601,254644,10323,10705,13272,8716,5769,13092,13041,14876,29664,34233,41302,38827,16768,4056,220957,9931,11158,12864,8050,3598,8267,8590,9941,22221,30544,41742,35000,14408,4643,13219,9965,443,204,233,247,247,995,1146,1166,2315,1789,757,259,111,53,3254,351,225,208,169,86,163,238,170,372,503,308,350,76,35,132207,64671,5043,5821,5322,3445,2533,6057,4802,3897,7948,8514,5699,3444,1755,391,67536,5614,5770,5752,3623,2271,5565,4640,3996,6879,8563,6927,4472,2642,822,7428,3370,76,193,217,115,106,233,194,332,792,402,338,219,101,52,4058,189,64,279,136,149,118,369,350,546,632,583,440,113,90,1000,682,14,18,0,31,0,58,128,69,107,139,67,51,0,0,318,18,40,42,0,27,40,9,33,8,53,17,12,12,7,26007,15242,993,766,1004,401,424,1797,1902,1449,2528,2043,1222,407,246,60,10765,961,810,902,495,220,864,939,557,1561,1628,1001,549,200,78,16911,8814,816,1002,1104,624,517,456,500,599,803,845,921,438,179,10,8097,1047,838,1143,462,256,824,327,263,726,652,812,540,67,140,382766,201446,7187,7258,9700,6217,3815,8440,7880,9661,20807,28206,36708,36108,15720,3739,181320,6686,7502,9009,5769,2291,5581,6174,7483,16835,26093,37740,32712,13284,4161,129730,73935,4677,4940,5080,3226,2675,6802,7614,7263,11882,8500,6117,3404,1368,387,55795,5219,5207,5443,3177,1708,4126,3731,3261,7361,6333,5273,2964,1407,585,43.5,42.1,45.3,49.2,47.5,50.9,36.3,36.3,36.1,29.9,29.2,30.6,40.4,37.5,41.7,32.8,37.6,24.7,31.3,31.2,31.9,22.5,23.4,22.2,53.3,52.2,54.3,30.5,31.2,28.9,672373
40,AZ,04,,,,,040A0US04,Arizona -- In metropolitan or micropolitan statistical area,6540446,3248299,217812,227323,229683,136506,93760,52405,51126,140885,228442,220860,204033,210845,202932,207125,189581,70668,104733,67076,86448,119314,85861,57296,43585,3292147,208800,220614,218975,130037,88030,49101,47493,130942,213198,212243,199817,208073,203109,215039,206278,81077,116326,74407,96954,134649,95272,68514,73199,5170477,2563499,155887,165327,168827,100433,68225,178391,170014,167138,319492,333803,315340,247394,132554,40674,2606978,147224,160178,159964,95809,64508,167881,160467,159339,314408,338633,346197,273944,150052,68374,280955,147301,10707,11771,10603,6755,5265,14571,12448,11878,21152,19023,13529,6499,2440,660,133654,10265,10144,10607,6647,4455,11425,10225,10359,17936,17035,12846,7285,3130,1295,239447,115745,10412,10377,10637,6376,4112,11715,10439,7899,14936,13212,8622,4412,2075,521,123702,10500,10910,9965,5977,4562,11856,10070,9473,14659,15309,10791,5931,2687,1012,199574,92967,5748,5855,6178,3341,2541,8265,8336,8799,17043,11563,7863,4668,2161,606,106607,5790,6113,5947,3459,2490,6972,8498,9421,19682,14683,12030,7273,3335,914,12341,6498,555,498,366,310,196,728,686,641,850,717,657,192,77,25,5843,526,692,451,187,146,447,659,539,762,555,516,194,129,40,427987,217169,16915,18999,20132,11897,8962,22312,19251,18390,31919,24701,13633,6698,2576,784,210818,18163,18352,19457,11349,7364,20001,16084,17149,30122,24644,15632,8242,3210,1049,209665,105120,17588,14496,12940,7394,4459,8434,7268,6115,9486,7038,5338,2975,1274,315,104545,16332,14225,12584,6609,4505,8954,7195,5963,10321,7289,5669,3141,1243,515,3722506,1839055,86314,92211,96842,59441,40797,112209,113567,111770,221110,257142,266474,222157,121649,37372,1883451,82686,89367,90486,56083,38092,105538,106352,106788,212556,260732,293214,244206,134919,62432,2000742,1004986,96600,101511,99317,57076,38868,94136,80613,77708,135975,105843,65574,33238,14191,4336,995756,92079,97714,96528,55012,36398,87528,74267,73763,137675,107558,71671,39348,19004,7211,36.8,35.6,38.2,39.8,38.4,41.0,30.9,30.6,31.4,27.9,27.0,29.0,35.6,33.4,37.6,28.8,29.3,28.4,27.7,27.2,28.1,18.5,18.1,19.0,45.8,44.4,47.3,26.5,25.8,27.1,6540446
40,AZ,04,,,,,040C0US04,Arizona -- In metropolitan statistical area,6295145,3125264,208833,217977,220339,130773,90198,50882,49084,136288,220806,213750,197284,204193,195690,199313,181405,67582,100788,64179,82773,113795,82204,54991,42137,3169881,200368,211674,209861,124625,85225,47478,45690,126301,206748,205969,193780,201270,196032,206897,197563,77865,111626,71617,92777,128695,91303,65940,70577,5009931,2482559,150732,159722,163334,97155,66185,173768,165691,162818,310989,324009,303701,237417,127618,39420,2527372,142814,155273,154603,92516,63129,163365,156750,155366,306441,328746,333533,263744,144849,66243,278903,145795,10642,11729,10587,6695,5222,14412,12274,11700,20836,18746,13429,6441,2435,647,133108,10249,10063,10602,6583,4455,11394,10206,10343,17839,17020,12722,7258,3087,1287,179048,86529,7709,7527,8048,4702,3017,9106,8227,6176,11712,9624,6006,2936,1365,374,92519,7749,7945,7302,4352,3489,9288,7945,7735,11253,11438,7676,4056,1609,682,197918,92187,5684,5804,6093,3331,2528,8252,8294,8765,16874,11387,7826,4589,2154,606,105731,5702,6087,5877,3401,2460,6966,8483,9410,19473,14548,11939,7213,3289,883,12138,6370,555,478,366,310,196,699,684,605,843,705,657,170,77,25,5768,510,692,451,187,146,447,650,514,753,555,516,178,129,40,413750,209778,16382,18667,19494,11351,8616,21729,18554,17877,30949,23697,13071,6300,2337,754,203972,17560,17824,18830,11152,7166,19314,15689,16739,29287,23671,15161,7576,3050,953,203457,102046,17129,14050,12417,7229,4434,8288,7082,5809,9274,6835,5085,2894,1209,311,101411,15784,13790,12196,6434,4380,8695,7025,5862,10004,6951,5507,3064,1230,489,3616116,1785300,83477,89397,93709,57560,39730,109766,111075,109218,215940,250284,257532,213781,117511,36320,1830816,80294,86730,87457,54339,37249,103140,104145,104496,207793,253994,283809,235741,130908,60721,1928121,968335,93415,98112,96005,55021,37520,91253,77888,75267,131549,101706,62227,31177,13103,4092,959786,89138,94573,93262,53088,35592,84591,72213,71648,133361,103226,67886,36935,17612,6661,36.8,35.6,38.1,39.7,38.3,40.9,30.9,30.5,31.3,27.8,27.0,28.7,35.5,33.3,37.5,28.7,29.2,28.3,27.6,27.1,28.0,18.6,18.1,19.0,45.7,44.2,47.2,26.3,25.7,27.0,6295145
40,AZ,04,,,,,040C1US04,Arizona -- In metropolitan statistical area -- in principal city,3244940,1616986,111681,110646,108784,65713,53775,31626,31026,86343,131169,120729,103873,105497,102109,100957,89835,34387,46978,27678,35512,44638,32290,22847,18893,1627954,103811,108442,103996,62487,51831,29728,29652,79798,119523,111749,100987,104624,101223,106068,98269,36166,51055,31208,39222,54383,39848,29868,34016,2506708,1246884,78279,77992,77178,47410,38943,107454,97264,89122,159226,164231,145604,96190,50645,17346,1259824,70932,76229,73544,44576,37694,101528,89039,82244,156703,166219,156934,109688,62987,31507,171872,89258,6630,6850,5860,3847,3418,10228,7844,8032,11664,11063,8477,3638,1300,407,82614,6521,6126,5944,3678,2999,8396,7014,6351,10154,10603,7607,4209,2038,974,71800,34508,2928,3010,3141,1800,1056,4103,3454,2855,5021,3534,2324,804,291,187,37292,3085,3019,2743,1699,1297,4728,3266,3511,4729,4517,2745,1338,333,282,104146,49617,3139,2255,2947,1638,1843,6179,5262,5561,7864,5458,3957,1973,1181,360,54529,2676,3051,2587,1598,1587,4915,5025,4920,9087,7320,5979,3510,1790,484,7555,3692,327,212,242,101,196,453,490,365,419,458,291,97,29,12,3863,347,346,270,166,138,391,553,376,488,280,323,125,50,10,275797,139838,11327,13276,13043,7703,5856,15614,12449,11680,20247,14998,8136,3852,1169,488,135959,12013,12437,12870,7746,5266,14136,10474,10895,19227,14769,9148,4599,1781,598,107062,53189,9051,7051,6373,3214,2463,4964,4406,3114,4929,3324,2411,1274,522,93,53873,8237,7234,6038,3024,2850,5084,4152,3452,5223,3583,2754,1344,737,161,1709059,849176,38448,38307,37839,25322,22968,68002,64623,58444,106394,122188,121500,84144,45344,15653,859883,35266,37591,36133,23910,22071,63350,58209,52084,99677,124212,129584,94114,55124,28558,1138962,570726,56483,57511,55874,31711,23138,58620,47906,44608,75827,59546,34024,16456,6761,2261,568236,52486,55302,53783,30373,22616,55245,43531,43218,79256,59571,38166,21023,9994,3672,34.3,33.1,35.6,37.0,35.6,38.5,30.2,30.0,30.4,27.5,26.8,28.2,33.3,31.2,36.2,27.7,28.2,27.3,26.3,26.0,26.6,19.2,18.7,19.7,43.4,41.8,45.2,25.8,25.2,26.6,3244940
40,AZ,04,,,,,040C2US04,Arizona -- In metropolitan statistical area -- not in principal city,3050205,1508278,97152,107331,111555,65060,36423,19256,18058,49945,89637,93021,93411,98696,93581,98356,91570,33195,53810,36501,47261,69157,49914,32144,23244,1541927,96557,103232,105865,62138,33394,17750,16038,46503,87225,94220,92793,96646,94809,100829,99294,41699,60571,40409,53555,74312,51455,36072,36561,2503223,1235675,72453,81730,86156,49745,27242,66314,68427,73696,151763,159778,158097,141227,76973,22074,1267548,71882,79044,81059,47940,25435,61837,67711,73122,149738,162527,176599,154056,81862,34736,107031,56537,4012,4879,4727,2848,1804,4184,4430,3668,9172,7683,4952,2803,1135,240,50494,3728,3937,4658,2905,1456,2998,3192,3992,7685,6417,5115,3049,1049,313,107248,52021,4781,4517,4907,2902,1961,5003,4773,3321,6691,6090,3682,2132,1074,187,55227,4664,4926,4559,2653,2192,4560,4679,4224,6524,6921,4931,2718,1276,400,93772,42570,2545,3549,3146,1693,685,2073,3032,3204,9010,5929,3869,2616,973,246,51202,3026,3036,3290,1803,873,2051,3458,4490,10386,7228,5960,3703,1499,399,4583,2678,228,266,124,209,0,246,194,240,424,247,366,73,48,13,1905,163,346,181,21,8,56,97,138,265,275,193,53,79,30,137953,69940,5055,5391,6451,3648,2760,6115,6105,6197,10702,8699,4935,2448,1168,266,68013,5547,5387,5960,3406,1900,5178,5215,5844,10060,8902,6013,2977,1269,355,96395,48857,8078,6999,6044,4015,1971,3324,2676,2695,4345,3511,2674,1620,687,218,47538,7547,6556,6158,3410,1530,3611,2873,2410,4781,3368,2753,1720,493,328,1907057,936124,45029,51090,55870,32238,16762,41764,46452,50774,109546,128096,136032,129637,72167,20667,970933,45028,49139,51324,30429,15178,39790,45936,52412,108116,129782,154225,141627,75784,32163,789159,397609,36932,40601,40131,23310,14382,32633,29982,30659,55722,42160,28203,14721,6342,1831,391550,36652,39271,39479,22715,12976,29346,28682,28430,54105,43655,29720,15912,7618,2989,39.7,38.6,40.7,42.3,41.2,43.4,32.6,31.8,33.2,28.1,27.0,29.2,37.9,37.0,38.5,32.0,31.0,32.8,30.3,29.5,31.1,17.8,17.5,18.1,47.8,46.6,49.0,27.1,26.8,27.5,3050205
40,AZ,04,,,,,040E0US04,Arizona -- In micropolitan statistical area,245301,123035,8979,9346,9344,5733,3562,1523,2042,4597,7636,7110,6749,6652,7242,7812,8176,3086,3945,2897,3675,5519,3657,2305,1448,122266,8432,8940,9114,5412,2805,1623,1803,4641,6450,6274,6037,6803,7077,8142,8715,3212,4700,2790,4177,5954,3969,2574,2622,160546,80940,5155,5605,5493,3278,2040,4623,4323,4320,8503,9794,11639,9977,4936,1254,79606,4410,4905,5361,3293,1379,4516,3717,3973,7967,9887,12664,10200,5203,2131,2052,1506,65,42,16,60,43,159,174,178,316,277,100,58,5,13,546,16,81,5,64,0,31,19,16,97,15,124,27,43,8,60399,29216,2703,2850,2589,1674,1095,2609,2212,1723,3224,3588,2616,1476,710,147,31183,2751,2965,2663,1625,1073,2568,2125,1738,3406,3871,3115,1875,1078,330,1656,780,64,51,85,10,13,13,42,34,169,176,37,79,7,0,876,88,26,70,58,30,6,15,11,209,135,91,60,46,31,203,128,0,20,0,0,0,29,2,36,7,12,0,22,0,0,75,16,0,0,0,0,0,9,25,9,0,0,16,0,0,14237,7391,533,332,638,546,346,583,697,513,970,1004,562,398,239,30,6846,603,528,627,197,198,687,395,410,835,973,471,666,160,96,6208,3074,459,446,523,165,25,146,186,306,212,203,253,81,65,4,3134,548,435,388,175,125,259,170,101,317,338,162,77,13,26,106390,53755,2837,2814,3133,1881,1067,2443,2492,2552,5170,6858,8942,8376,4138,1052,52635,2392,2637,3029,1744,843,2398,2207,2292,4763,6738,9405,8465,4011,1711,72621,36651,3185,3399,3312,2055,1348,2883,2725,2441,4426,4137,3347,2061,1088,244,35970,2941,3141,3266,1924,806,2937,2054,2115,4314,4332,3785,2413,1392,550,37.7,36.1,39.7,43.6,41.7,45.3,36.4,35.7,40.0,28.5,27.1,29.7,40.7,37.8,42.4,31.7,31.9,31.6,31.5,30.4,32.0,17.8,17.0,18.3,50.4,49.2,51.6,30.4,29.1,32.0,245301
40,AZ,04,,,,,040E1US04,Arizona -- In micropolitan statistical area -- in principal city,56253,26679,1952,2228,1999,1217,664,387,235,887,1684,1425,1033,1119,1507,1591,1537,763,823,648,1107,1508,1166,777,422,29574,1711,1610,1775,1031,644,418,514,1201,1531,1356,1224,1542,1420,2174,1918,1034,1166,814,1245,1807,1357,1026,1056,49240,23276,1625,1969,1618,1014,473,1376,1475,1352,1808,2541,2862,2973,1800,390,25964,1414,1505,1503,930,506,1788,1361,1227,2417,2994,3728,3469,2139,983,224,126,0,0,0,6,8,8,27,2,0,31,10,29,0,5,98,0,0,0,0,0,0,19,0,15,5,21,5,25,8,929,425,50,13,42,3,0,11,100,8,94,53,11,35,5,0,504,35,3,31,10,11,20,1,10,57,63,128,63,67,5,470,162,0,25,4,0,0,0,0,0,43,31,17,42,0,0,308,59,0,25,16,0,0,0,0,57,50,37,40,10,14,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,3,9,0,0,0,0,0,4525,2258,223,203,163,194,183,67,82,32,183,418,182,171,130,27,2267,110,57,192,50,127,278,126,112,211,371,196,269,133,35,853,432,54,18,172,0,0,47,0,31,24,24,41,13,8,0,421,93,45,24,25,0,47,24,4,0,111,8,20,9,11,28011,13405,818,729,580,505,148,628,862,686,883,1397,2131,2239,1502,297,14606,698,514,668,261,305,731,639,607,1207,1732,2471,2561,1488,724,26286,12411,1054,1455,1323,703,508,845,695,732,1140,1575,920,906,435,120,13875,865,1088,1032,743,328,1354,848,736,1447,1688,1461,1173,799,313,42.8,37.8,45.9,43.4,39.1,46.4,52.5,52.0,60.5,40.5,29.9,56.2,48.1,53.1,43.8,.,.,.,36.6,32.4,40.6,17.7,14.8,22.0,53.5,51.7,54.8,30.9,27.8,34.3,56253
40,AZ,04,,,,,040E2US04,Arizona -- In micropolitan statistical area -- not in principal city,189048,96356,7027,7118,7345,4516,2898,1136,1807,3710,5952,5685,5716,5533,5735,6221,6639,2323,3122,2249,2568,4011,2491,1528,1026,92692,6721,7330,7339,4381,2161,1205,1289,3440,4919,4918,4813,5261,5657,5968,6797,2178,3534,1976,2932,4147,2612,1548,1566,111306,57664,3530,3636,3875,2264,1567,3247,2848,2968,6695,7253,8777,7004,3136,864,53642,2996,3400,3858,2363,873,2728,2356,2746,5550,6893,8936,6731,3064,1148,1828,1380,65,42,16,54,35,151,147,176,316,246,90,29,5,8,448,16,81,5,64,0,31,0,16,82,10,103,22,18,0,59470,28791,2653,2837,2547,1671,1095,2598,2112,1715,3130,3535,2605,1441,705,147,30679,2716,2962,2632,1615,1062,2548,2124,1728,3349,3808,2987,1812,1011,325,1186,618,64,26,81,10,13,13,42,34,126,145,20,37,7,0,568,29,26,45,42,30,6,15,11,152,85,54,20,36,17,191,128,0,20,0,0,0,29,2,36,7,12,0,22,0,0,63,16,0,0,0,0,0,9,22,0,0,0,16,0,0,9712,5133,310,129,475,352,163,516,615,481,787,586,380,227,109,3,4579,493,471,435,147,71,409,269,298,624,602,275,397,27,61,5355,2642,405,428,351,165,25,99,186,275,188,179,212,68,57,4,2713,455,390,364,150,125,212,146,97,317,227,154,57,4,15,78379,40350,2019,2085,2553,1376,919,1815,1630,1866,4287,5461,6811,6137,2636,755,38029,1694,2123,2361,1483,538,1667,1568,1685,3556,5006,6934,5904,2523,987,46335,24240,2131,1944,1989,1352,840,2038,2030,1709,3286,2562,2427,1155,653,124,22095,2076,2053,2234,1181,478,1583,1206,1379,2867,2644,2324,1240,593,237,36.7,35.8,37.8,43.7,42.5,44.9,35.7,35.2,37.6,28.3,27.0,29.4,37.8,37.3,41.2,31.6,31.9,31.3,30.0,30.1,29.6,17.8,17.5,18.0,49.3,48.2,50.1,30.1,29.5,31.2,189048
