SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,CA,06,,,,,04000US06,California,38421464,19087135,1283763,1295030,1297819,811114,558090,314559,307090,883323,1478557,1399835,1287803,1308311,1306719,1305323,1161821,418682,557192,330615,404199,515115,363282,264126,234767,19334329,1228013,1240201,1245016,773387,525005,290157,285206,825833,1387516,1348430,1271908,1309907,1303528,1330645,1223440,450810,610111,372185,461741,604615,455568,363937,427170,23747013,11858026,723655,744828,757268,473946,322746,874339,872652,836946,1558738,1675768,1467129,907049,460132,182830,11888987,695913,711553,718421,451452,298963,808376,808025,788195,1500086,1647495,1526870,1014406,590100,329132,2265387,1119766,69788,70917,76003,50282,35986,101972,88666,79071,146604,166414,129013,64951,31287,8812,1145621,66914,69501,71545,48494,33964,94443,83486,76241,147518,169479,139634,81294,43308,19800,287028,143856,9320,10334,9588,6552,4562,13632,10948,10641,18818,21392,16383,7845,3012,829,143172,8681,9976,9811,6102,4819,11136,10179,10069,19184,19925,18425,8994,4065,1806,5261978,2489015,136733,144291,144071,91322,64784,185776,202992,194019,382785,354005,293940,173382,91616,29299,2772963,128893,137106,138325,84823,62902,179519,208369,218905,445751,412231,360892,216833,124173,54241,150370,74708,4981,4896,4864,3503,2750,6654,6666,6170,10745,10341,7561,3783,1639,155,75662,4591,4760,4733,3339,2413,6020,6842,6335,11400,11091,7597,4250,1819,472,4974791,2533142,213702,212278,208820,130351,92751,243319,232400,217512,392017,310279,172314,69162,28683,9554,2441649,204383,206117,207575,123628,89528,224799,205831,194501,369121,297646,176878,84287,41772,15583,1734897,868622,125584,107486,97205,55158,34511,79280,64233,55476,86407,73843,51355,23757,11039,3288,866275,118638,101188,94606,55549,32416,76903,64784,54184,88755,76306,54065,28477,14268,6136,14879258,7423000,327127,338462,352388,231147,163596,479132,511535,489568,926544,1164510,1149990,748296,383106,157599,7456258,310622,318867,335284,217805,148779,436908,471443,453143,872040,1133892,1173178,817612,483710,282975,14750686,7429243,677115,674943,663428,401426,271156,683863,627931,594189,1071166,862773,516136,238282,110356,36479,7321443,651905,653118,637794,386444,258046,636905,573401,556705,1044430,850470,558363,293817,155488,64557,35.8,34.7,37.0,38.2,37.0,39.5,35.5,34.2,36.9,34.3,33.4,35.5,38.8,37.1,40.2,33.1,32.5,33.9,28.7,28.5,28.9,21.3,20.8,21.9,45.3,43.9,46.6,28.2,27.6,28.8,38421464
40,CA,06,,,,,04001US06,California -- Urban,36538748,18100637,1236351,1238837,1242007,773200,531815,300034,293687,844350,1420954,1341644,1232412,1251300,1240438,1227674,1082783,387526,512464,302837,369929,470157,336041,244366,219831,18438111,1181722,1189428,1190861,739078,505591,280326,275922,798641,1342460,1301731,1226837,1259946,1243280,1253288,1145769,419386,567255,346052,428964,562800,427692,344168,406914,22201258,11055118,688169,701662,713775,444436,303517,826511,829703,793828,1472620,1557387,1329384,807854,417004,169268,11146140,660869,673037,676651,424637,284185,772839,774018,750946,1424603,1531935,1391966,923196,546569,310689,2225850,1092537,69160,70139,75149,49320,35130,98494,86152,76234,141264,161646,126383,64095,30657,8714,1133313,66231,68557,70761,47860,33617,93545,82557,75480,145790,167746,138206,80454,42903,19606,250214,125364,8132,9069,8202,5589,4021,12161,9619,9334,16761,18455,14265,6671,2394,691,124850,7575,8744,8483,5304,4237,10033,9044,8954,17110,17316,15379,7558,3537,1576,5201694,2461207,135035,142424,142661,90241,64052,183480,201028,192059,378544,350431,290144,171466,90659,28983,2740487,127781,135373,136597,83950,62296,178281,206139,216788,441005,406670,355790,213863,122582,53372,146122,72264,4854,4731,4763,3425,2649,6522,6461,6049,10247,9937,7206,3672,1614,134,73858,4449,4676,4641,3317,2361,5880,6769,6076,11128,10853,7458,4000,1790,460,4847235,2460776,209092,207170,204050,127068,89370,234789,225928,210786,381245,300321,166908,67119,27824,9106,2386459,199902,201162,202932,120733,87738,219572,201111,191026,361590,289473,172828,82180,40867,15345,1666375,833371,121909,103642,93407,53121,33076,76114,62063,53354,83031,69935,48483,22046,10255,2935,833004,114915,97879,90796,53277,31157,74739,62822,52461,85557,72575,50783,26565,13612,5866,13645223,6789022,303969,310842,323496,210949,150207,445821,481710,459610,864683,1066375,1026481,656676,343229,144974,6856201,288724,293708,306792,199112,138866,411647,447182,426113,815181,1035884,1051024,732679,443494,265795,14281403,7171323,658429,652795,642364,387687,261232,658976,606875,573272,1034176,830710,495590,228219,105961,35037,7110080,632317,633441,618405,374379,250854,620471,557861,542111,1017143,823521,540532,285050,151023,62972,35.5,34.3,36.6,37.7,36.5,39.0,35.5,34.1,36.9,34.0,33.2,35.0,38.8,37.1,40.2,32.9,32.3,33.8,28.7,28.4,28.9,21.2,20.7,21.8,44.7,43.3,46.0,28.1,27.6,28.8,36538748
40,CA,06,,,,,04043US06,California -- Rural,1882716,986498,47412,56193,55812,37914,26275,14525,13403,38973,57603,58191,55391,57011,66281,77649,79038,31156,44728,27778,34270,44958,27241,19760,14936,896218,46291,50773,54155,34309,19414,9831,9284,27192,45056,46699,45071,49961,60248,77357,77671,31424,42856,26133,32777,41815,27876,19769,20256,1545755,802908,35486,43166,43493,29510,19229,47828,42949,43118,86118,118381,137745,99195,43128,13562,742847,35044,38516,41770,26815,14778,35537,34007,37249,75483,115560,134904,91210,43531,18443,39537,27229,628,778,854,962,856,3478,2514,2837,5340,4768,2630,856,630,98,12308,683,944,784,634,347,898,929,761,1728,1733,1428,840,405,194,36814,18492,1188,1265,1386,963,541,1471,1329,1307,2057,2937,2118,1174,618,138,18322,1106,1232,1328,798,582,1103,1135,1115,2074,2609,3046,1436,528,230,60284,27808,1698,1867,1410,1081,732,2296,1964,1960,4241,3574,3796,1916,957,316,32476,1112,1733,1728,873,606,1238,2230,2117,4746,5561,5102,2970,1591,869,4248,2444,127,165,101,78,101,132,205,121,498,404,355,111,25,21,1804,142,84,92,22,52,140,73,259,272,238,139,250,29,12,127556,72366,4610,5108,4770,3283,3381,8530,6472,6726,10772,9958,5406,2043,859,448,55190,4481,4955,4643,2895,1790,5227,4720,3475,7531,8173,4050,2107,905,238,68522,35251,3675,3844,3798,2037,1435,3166,2170,2122,3376,3908,2872,1711,784,353,33271,3723,3309,3810,2272,1259,2164,1962,1723,3198,3731,3282,1912,656,270,1234035,633978,23158,27620,28892,20198,13389,33311,29825,29958,61861,98135,123509,91620,39877,12625,600057,21898,25159,28492,18693,9913,25261,24261,27030,56859,98008,122154,84933,40216,17180,469283,257920,18686,22148,21064,13739,9924,24887,21056,20917,36990,32063,20546,10063,4395,1442,211363,19588,19677,19389,12065,7192,16434,15540,14594,27287,26949,17831,8767,4465,1585,44.3,42.8,45.8,47.1,46.0,48.4,36.1,36.1,36.0,36.3,34.3,38.6,41.1,37.0,44.7,38.1,40.2,35.5,29.4,30.0,28.7,24.7,24.2,25.3,51.3,50.5,52.0,28.9,29.3,28.6,1882716
40,CA,06,,,,,040A0US06,California -- In metropolitan or micropolitan statistical area,38150399,18949093,1277161,1287156,1290127,805742,554559,312872,305585,879220,1471382,1392473,1280363,1300620,1297948,1294590,1150709,414301,549965,326277,398632,507835,358698,260786,232092,19201306,1220904,1232807,1237421,768760,522556,288615,284002,821722,1381459,1341589,1265518,1303013,1295480,1319913,1212170,445897,603163,367847,456274,597510,450915,360345,423426,23510834,11738707,718307,738424,750754,469513,320037,868422,866515,830820,1546169,1659223,1446222,891056,452809,180436,11772127,690214,705440,712126,447554,297303,802416,802882,782327,1488654,1630614,1505602,998992,582331,325672,2262426,1117577,69774,70887,75934,50229,35865,101803,88544,78911,146213,165842,128836,64741,31197,8801,1144849,66900,69450,71478,48486,33963,94404,83413,76213,147439,169313,139580,81157,43274,19779,279469,140074,9099,10145,9335,6350,4480,13436,10767,10356,18348,20661,15860,7571,2875,791,139395,8426,9696,9462,5941,4722,10987,10010,9781,18783,19422,17940,8680,3875,1670,5258108,2486932,136670,144135,143932,91211,64695,185493,202841,193938,382479,353779,293679,173251,91535,29294,2771176,128874,137035,138257,84762,62859,179377,208308,218816,445495,412029,360449,216590,124115,54210,149345,74236,4929,4861,4809,3503,2741,6610,6654,6149,10633,10258,7537,3765,1632,155,75109,4495,4687,4713,3339,2387,5994,6827,6261,11304,11042,7574,4195,1819,472,4965746,2528017,213385,212006,208709,130076,92427,242922,231996,216978,391254,309341,171886,68941,28559,9537,2437729,204072,205833,207201,123437,89357,224456,205524,194237,368574,297239,176653,83922,41701,15523,1724471,863550,124997,106698,96654,54860,34314,78991,64065,55321,85887,73434,50955,23419,10877,3078,860921,117923,100666,94184,55241,31965,76705,64495,53954,88282,75734,53432,28095,14145,6100,14682014,7323701,323388,333934,348040,227853,161604,474788,506880,484825,916764,1150113,1130750,733247,376267,155248,7358313,306832,314629,331046,214941,147509,432429,467409,448629,862984,1119432,1153480,803045,476304,279644,14698827,7402012,674993,672520,660853,399843,269967,681767,625952,592235,1067245,859466,513978,237078,109733,36382,7296815,649243,650763,635244,385089,257314,635029,571896,555000,1041393,847537,556428,292525,154988,64366,35.7,34.6,36.9,38.2,37.0,39.4,35.5,34.1,36.9,34.2,33.2,35.4,38.8,37.1,40.2,33.0,32.4,33.9,28.7,28.5,28.9,21.3,20.8,21.9,45.2,43.8,46.5,28.2,27.6,28.8,38150399
40,CA,06,,,,,040C0US06,California -- In metropolitan statistical area,37587429,18659976,1261858,1270297,1275209,795475,546890,308239,301740,866564,1452593,1372271,1262376,1284132,1280090,1274006,1129215,406256,536205,318096,389042,495963,351043,255203,227213,18927453,1206469,1218155,1221991,758974,515798,285088,280885,811589,1366427,1326118,1251034,1288200,1279188,1299294,1189148,436548,590018,360175,446383,584730,442151,353390,415700,23038473,11500587,706902,725393,739394,461493,314401,853208,852542,815364,1518072,1626740,1407130,863441,440759,175748,11537886,678872,694051,700355,439573,292340,788906,790620,769384,1463978,1598579,1464342,970969,567570,318347,2253299,1110385,69667,70769,75848,50066,35646,100718,87396,78023,144964,164759,128199,64588,30972,8770,1142914,66698,69399,71370,48387,33836,94228,83188,76093,147240,169146,139354,81019,43225,19731,259674,130302,8166,9269,8732,5744,4074,12569,10089,9746,17142,19662,14696,7003,2632,778,129372,7684,8998,8677,5527,4349,10178,9249,9161,17582,18305,16498,8036,3555,1573,5247960,2482236,136413,143662,143674,91105,64548,185073,202462,193407,381951,353084,293190,172962,91449,29256,2765724,128571,136771,137860,84528,62492,179082,207985,218497,444695,411110,359779,216222,123978,54154,147870,73319,4919,4856,4759,3471,2729,6494,6525,6023,10470,10143,7473,3693,1632,132,74551,4477,4657,4662,3298,2383,5957,6797,6196,11170,10986,7530,4147,1819,472,4939825,2512502,212259,211040,207493,129623,91847,240731,230186,215348,389328,307448,170908,68481,28313,9497,2427323,203265,204650,206333,123135,88855,223443,204664,193446,367372,295937,175807,83432,41516,15468,1700328,850645,123532,105308,95309,53973,33645,77750,63393,54360,84581,72260,50080,22933,10489,3032,849683,116902,99629,92734,54526,31543,75768,63924,53341,87197,74419,52404,27463,13878,5955,14262958,7114180,314599,323547,339104,221150,157033,462331,495041,472172,892922,1120744,1093539,706657,364665,150676,7148778,298319,305609,321637,208592,143381,420879,456946,437504,841770,1089858,1113921,775787,462063,272512,14610806,7352772,670596,668324,656880,397606,267957,676247,621646,587427,1060351,854206,510814,235565,108929,36224,7258034,645090,646896,631441,382942,255780,631657,569046,552239,1036518,843440,553551,291117,154256,64061,35.7,34.5,36.8,38.0,36.8,39.3,35.5,34.1,36.9,34.3,33.4,35.6,38.8,37.1,40.2,33.0,32.4,33.9,28.7,28.5,28.9,21.3,20.8,21.9,45.1,43.7,46.4,28.2,27.6,28.8,37587429
40,CA,06,,,,,040C1US06,California -- In metropolitan statistical area -- in principal city,17529160,8692140,591825,571298,557667,344924,249080,141568,142995,424567,753298,704479,628939,614282,594872,572662,499023,179315,233878,137781,168012,213173,151162,112640,104700,8837020,569507,547707,535030,329304,246052,135302,138541,409123,715774,673071,611481,605245,587773,580910,527447,194350,263033,157946,194460,258948,197288,162748,195980,10041557,5021240,308384,302995,298934,186590,133419,385237,423617,402628,707082,699717,575382,344636,175611,77008,5020317,300463,288923,282748,175980,128857,366832,398907,370383,660225,673938,600577,394542,236506,141436,1218261,590910,38201,35881,37661,25019,18002,53203,49488,41426,74776,87134,71722,35833,17560,5004,627351,36713,36291,36996,24658,18715,52713,47352,43066,80731,90439,77433,44613,25426,12205,117012,59436,3581,3907,3578,2553,1712,6145,5339,4800,8018,9058,6398,2866,1168,313,57576,3839,4176,4054,2221,1749,4484,4663,4250,8166,8085,6516,3294,1317,762,2922663,1384715,76356,79210,77154,47155,37784,108440,122302,115872,214774,190208,154953,92334,51285,16888,1537948,70963,74376,73264,45021,38090,108353,127071,129215,244595,217932,190074,116675,70310,32009,69831,34227,1990,2566,2479,1351,1337,3172,2736,3231,4768,4389,3463,1841,828,76,35604,2113,2133,2215,1530,1070,2959,3038,2902,5154,5385,3998,1963,877,267,2358271,1201935,103923,99836,95758,59204,41659,115668,116787,107979,191803,143913,77619,31190,12577,4019,1156336,99561,96492,94863,56149,42392,111160,101421,94696,175092,138204,82878,38070,18817,6541,801565,399677,59390,46903,42103,23052,15167,37265,33029,28543,42000,33115,22679,10266,4773,1392,401888,55855,45316,40890,23745,15179,36465,33322,28559,42763,34700,23354,12197,6783,2760,6155343,3077426,133257,129060,127126,82469,63599,209379,256050,243338,425000,477300,441945,278964,143603,66336,3077917,130074,119089,120815,78750,63347,199266,241496,218050,382001,450975,448742,312575,191581,121156,6672647,3361836,309770,298734,290122,176230,120333,313571,302009,282671,495731,384931,223624,102028,46739,15343,3310811,299670,291237,278379,166129,116658,297804,274663,260722,477429,379752,247111,125863,67285,28109,34.9,34.0,35.9,36.9,35.9,37.9,35.8,34.6,37.1,33.4,33.1,33.9,37.8,36.3,39.2,33.4,32.5,34.6,28.7,28.6,28.7,22.1,21.6,22.7,43.3,42.0,44.6,28.2,27.8,28.7,17529160
40,CA,06,,,,,040C2US06,California -- In metropolitan statistical area -- not in principal city,20058269,9967836,670033,698999,717542,450551,297810,166671,158745,441997,699295,667792,633437,669850,685218,701344,630192,226941,302327,180315,221030,282790,199881,142563,122513,10090433,636962,670448,686961,429670,269746,149786,142344,402466,650653,653047,639553,682955,691415,718384,661701,242198,326985,202229,251923,325782,244863,190642,219720,12996916,6479347,398518,422398,440460,274903,180982,467971,428925,412736,810990,927023,831748,518805,265148,98740,6517569,378409,405128,417607,263593,163483,422074,391713,399001,803753,924641,863765,576427,331064,176911,1035038,519475,31466,34888,38187,25047,17644,47515,37908,36597,70188,77625,56477,28755,13412,3766,515563,29985,33108,34374,23729,15121,41515,35836,33027,66509,78707,61921,36406,17799,7526,142662,70866,4585,5362,5154,3191,2362,6424,4750,4946,9124,10604,8298,4137,1464,465,71796,3845,4822,4623,3306,2600,5694,4586,4911,9416,10220,9982,4742,2238,811,2325297,1097521,60057,64452,66520,43950,26764,76633,80160,77535,167177,162876,138237,80628,40164,12368,1227776,57608,62395,64596,39507,24402,70729,80914,89282,200100,193178,169705,99547,53668,22145,78039,39092,2929,2290,2280,2120,1392,3322,3789,2792,5702,5754,4010,1852,804,56,38947,2364,2524,2447,1768,1313,2998,3759,3294,6016,5601,3532,2184,942,205,2581554,1310567,108336,111204,111735,70419,50188,125063,113399,107369,197525,163535,93289,37291,15736,5478,1270987,103704,108158,111470,66986,46463,112283,103243,98750,192280,157733,92929,45362,22699,8927,898763,450968,64142,58405,53206,30921,18478,40485,30364,25817,42581,39145,27401,12667,5716,1640,447795,61047,54313,51844,30781,16364,39303,30602,24782,44434,39719,29050,15266,7095,3195,8107615,4036754,181342,194487,211978,138681,93434,252952,238991,228834,467922,643444,651594,427693,221062,84340,4070861,168245,186520,200822,129842,80034,221613,215450,219454,459769,638883,665179,463212,270482,151356,7938159,3990936,360826,369590,366758,221376,147624,362676,319637,304756,564620,469275,287190,133537,62190,20881,3947223,345420,355659,353062,216813,139122,333853,294383,291517,559089,463688,306440,165254,86971,35952,36.4,35.1,37.7,39.0,37.7,40.4,35.1,33.6,36.7,35.1,33.7,36.8,40.0,38.2,41.3,32.7,32.3,33.0,28.7,28.3,29.1,20.5,20.0,21.1,46.5,45.2,47.8,28.1,27.5,28.9,20058269
40,CA,06,,,,,040E0US06,California -- In micropolitan statistical area,562970,289117,15303,16859,14918,10267,7669,4633,3845,12656,18789,20202,17987,16488,17858,20584,21494,8045,13760,8181,9590,11872,7655,5583,4879,273853,14435,14652,15430,9786,6758,3527,3117,10133,15032,15471,14484,14813,16292,20619,23022,9349,13145,7672,9891,12780,8764,6955,7726,472361,238120,11405,13031,11360,8020,5636,15214,13973,15456,28097,32483,39092,27615,12050,4688,234241,11342,11389,11771,7981,4963,13510,12262,12943,24676,32035,41260,28023,14761,7325,9127,7192,107,118,86,163,219,1085,1148,888,1249,1083,637,153,225,31,1935,202,51,108,99,127,176,225,120,199,167,226,138,49,48,19795,9772,933,876,603,606,406,867,678,610,1206,999,1164,568,243,13,10023,742,698,785,414,373,809,761,620,1201,1117,1442,644,320,97,10148,4696,257,473,258,106,147,420,379,531,528,695,489,289,86,38,5452,303,264,397,234,367,295,323,319,800,919,670,368,137,56,1475,917,10,5,50,32,12,116,129,126,163,115,64,72,0,23,558,18,30,51,41,4,37,30,65,134,56,44,48,0,0,25921,15515,1126,966,1216,453,580,2191,1810,1630,1926,1893,978,460,246,40,10406,807,1183,868,302,502,1013,860,791,1202,1302,846,490,185,55,24143,12905,1465,1390,1345,887,669,1241,672,961,1306,1174,875,486,388,46,11238,1021,1037,1450,715,422,937,571,613,1085,1315,1028,632,267,145,419056,209521,8789,10387,8936,6703,4571,12457,11839,12653,23842,29369,37211,26590,11602,4572,209535,8513,9020,9409,6349,4128,11550,10463,11125,21214,29574,39559,27258,14241,7132,88021,49240,4397,4196,3973,2237,2010,5520,4306,4808,6894,5260,3164,1513,804,158,38781,4153,3867,3803,2147,1534,3372,2850,2761,4875,4097,2877,1408,732,305,42.5,40.4,44.8,45.6,43.8,47.4,32.7,33.5,29.1,31.4,28.9,34.1,35.0,32.6,36.6,34.3,32.6,35.2,28.3,28.4,27.9,23.4,22.3,25.5,48.6,46.9,50.1,26.8,27.5,25.8,562970
40,CA,06,,,,,040E1US06,California -- In micropolitan statistical area -- in principal city,158773,84105,4529,4343,4240,2916,3107,2216,1635,4961,7254,7491,6080,5703,5538,5520,5383,1546,2353,1804,1481,2204,1544,1156,1101,74668,4423,3854,4415,2622,2796,1487,1228,4030,4518,4740,4671,4275,4522,5098,5125,1874,2651,1692,1909,2362,2065,1707,2604,126352,64675,3371,3377,3045,2194,2247,5734,4923,5134,9231,9078,7954,5014,2328,1045,61677,3211,2783,3368,1961,1981,5344,3516,3862,7473,8328,8508,5389,3495,2458,5395,4437,8,50,38,122,125,790,695,623,770,574,358,69,184,31,958,111,28,25,74,103,80,75,65,61,113,51,110,23,39,4514,2165,306,215,120,120,166,116,178,133,289,141,232,106,43,0,2349,224,81,228,102,131,215,153,117,297,321,211,121,118,30,4477,2257,147,208,216,26,33,254,172,335,287,242,185,99,34,19,2220,135,142,133,162,201,158,178,66,406,228,175,184,24,28,569,435,10,0,9,12,2,96,121,113,3,69,0,0,0,0,134,12,4,0,0,4,12,26,24,15,0,37,0,0,0,10332,6492,399,239,420,206,266,1235,963,862,866,606,282,133,9,6,3840,500,396,292,85,211,429,407,320,372,270,376,85,52,45,7134,3644,288,254,392,236,268,587,202,291,337,348,271,68,102,0,3490,230,420,369,238,165,507,163,286,322,360,292,74,60,4,109649,54862,2654,2732,2537,1702,1862,4545,4059,3849,7433,8003,7393,4841,2238,1014,54787,2409,2253,2592,1507,1677,4626,3106,3321,6595,7637,8132,5213,3336,2383,29702,17898,1304,1040,990,808,841,2632,1949,2280,2954,1717,922,305,117,39,11804,1478,1006,1229,580,581,1336,875,845,1326,1109,827,274,211,127,36.1,34.5,38.3,38.9,37.3,41.3,32.2,32.6,29.3,27.6,25.4,31.8,30.6,30.6,30.1,29.4,29.2,30.6,26.6,27.2,25.1,22.1,22.6,21.7,41.5,39.6,43.5,26.6,28.1,23.7,158773
40,CA,06,,,,,040E2US06,California -- In micropolitan statistical area -- not in principal city,404197,205012,10774,12516,10678,7351,4562,2417,2210,7695,11535,12711,11907,10785,12320,15064,16111,6499,11407,6377,8109,9668,6111,4427,3778,199185,10012,10798,11015,7164,3962,2040,1889,6103,10514,10731,9813,10538,11770,15521,17897,7475,10494,5980,7982,10418,6699,5248,5122,346009,173445,8034,9654,8315,5826,3389,9480,9050,10322,18866,23405,31138,22601,9722,3643,172564,8131,8606,8403,6020,2982,8166,8746,9081,17203,23707,32752,22634,11266,4867,3732,2755,99,68,48,41,94,295,453,265,479,509,279,84,41,0,977,91,23,83,25,24,96,150,55,138,54,175,28,26,9,15281,7607,627,661,483,486,240,751,500,477,917,858,932,462,200,13,7674,518,617,557,312,242,594,608,503,904,796,1231,523,202,67,5671,2439,110,265,42,80,114,166,207,196,241,453,304,190,52,19,3232,168,122,264,72,166,137,145,253,394,691,495,184,113,28,906,482,0,5,41,20,10,20,8,13,160,46,64,72,0,23,424,6,26,51,41,0,25,4,41,119,56,7,48,0,0,15589,9023,727,727,796,247,314,956,847,768,1060,1287,696,327,237,34,6566,307,787,576,217,291,584,453,471,830,1032,470,405,133,10,17009,9261,1177,1136,953,651,401,654,470,670,969,826,604,418,286,46,7748,791,617,1081,477,257,430,408,327,763,955,736,558,207,141,309407,154659,6135,7655,6399,5001,2709,7912,7780,8804,16409,21366,29818,21749,9364,3558,154748,6104,6767,6817,4842,2451,6924,7357,7804,14619,21937,31427,22045,10905,4749,58319,31342,3093,3156,2983,1429,1169,2888,2357,2528,3940,3543,2242,1208,687,119,26977,2675,2861,2574,1567,953,2036,1975,1916,3549,2988,2050,1134,521,178,45.5,43.9,47.1,48.3,46.9,49.6,34.3,35.3,28.8,32.3,30.6,34.3,40.3,37.6,41.8,40.7,42.8,36.9,29.9,29.5,30.4,24.2,21.9,28.5,50.9,49.7,52.0,27.0,26.9,27.0,404197
