SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,CO,08,,,,,04000US08,Colorado,5278906,2648667,173245,179803,179579,102577,73565,38468,40680,116654,204625,200624,183386,184422,174730,183543,170717,64919,85896,51057,60037,72252,49142,31894,26852,2630239,163629,173524,170930,98569,67798,35339,36131,108238,188680,188616,175326,173654,172981,187757,179537,65203,90721,54287,65243,80168,59393,43881,50634,4446095,2229457,136364,141459,143915,82616,59765,158830,168806,165297,306971,309306,287970,168168,74939,25051,2216638,126948,136083,135860,78160,54547,145306,155644,156595,290817,313082,299699,181904,94665,47328,213787,114212,7817,8687,7519,4529,3545,10238,9611,10039,16779,16211,11476,5170,2010,581,99575,7270,7698,7475,4781,3127,8329,7531,7464,13029,13307,10413,5373,2605,1173,50008,24852,1635,1930,2100,1090,849,1812,2131,1760,3619,3478,2803,1096,481,68,25156,1822,1961,1778,963,793,2320,1768,1950,3776,3243,2804,1263,524,191,153467,69512,4479,4607,4939,2429,1799,5579,6410,6737,11825,9191,6155,3296,1577,489,83955,4431,5660,5178,2908,2326,5794,7043,7239,14426,11752,8953,4787,2653,805,7695,3908,248,243,337,134,224,382,278,422,809,429,268,91,35,8,3787,237,356,274,183,163,410,487,554,421,197,427,64,14,0,224374,114889,10047,10408,10089,5959,3807,9477,10272,10307,18311,12810,8316,3550,1158,378,109485,9775,10612,9571,5734,3442,9517,9205,8461,16797,11881,7964,4109,1737,680,183480,91837,12655,12469,10680,5820,3576,9484,7117,6062,9494,6848,4544,1975,836,277,91643,13146,11154,10794,5840,3400,8032,7002,6353,9714,7276,5201,2198,1076,457,3646224,1822736,96557,100365,105349,61661,45471,123900,135556,131761,248478,267072,260885,153896,68452,23333,1823488,90598,97070,96922,58324,41241,113424,125670,125412,236216,271236,270842,165733,86484,44316,1112586,566351,55571,57374,54722,29496,19747,48733,46618,46706,81413,58945,37818,18795,8160,2253,546235,52282,54869,53317,28268,18580,45073,42404,42501,76160,57690,39446,21176,10588,3881,36.3,35.4,37.3,37.9,36.8,39.1,32.4,32.5,32.3,32.8,32.6,33.0,34.7,33.1,35.9,28.9,31.2,26.8,28.6,28.7,28.4,20.5,20.3,20.8,40.7,39.5,41.9,27.1,26.8,27.4,5278906
40,CO,08,,,,,04001US08,Colorado -- Urban,4562261,2279744,154992,158542,155477,87125,64816,34726,37010,106674,186739,182131,163300,162612,147705,152412,137160,50832,67488,39626,45914,55940,39012,26581,22930,2282517,146946,153654,148021,84147,60475,32316,33383,99158,174155,171512,156607,151075,148304,155989,144908,52802,73655,43878,52888,65846,49717,38525,44556,3781226,1887768,120315,122240,122564,68609,51976,143251,153163,148551,268695,254679,224855,127635,59984,21251,1893458,112291,118226,115086,65177,48148,132001,142355,141099,252676,259877,238782,146163,80131,41446,206366,109272,7593,8527,7121,4349,3248,9920,9116,9588,16049,15375,10995,4866,1948,577,97094,7162,7351,7383,4561,3012,7995,7467,7311,12787,12989,10162,5210,2576,1128,41927,20779,1235,1728,1848,935,751,1573,1695,1510,2933,2977,2265,901,377,51,21148,1535,1803,1487,829,673,1932,1501,1788,3350,2598,2186,913,430,123,146891,66857,4344,4466,4721,2364,1713,5381,6181,6475,11537,8769,5846,3076,1533,451,80034,4287,5411,4919,2765,2185,5724,6932,6864,13685,11131,8244,4549,2552,786,7040,3621,220,228,310,128,188,360,249,415,762,418,224,91,20,8,3419,225,356,245,152,155,407,485,403,394,135,401,51,10,0,210959,107707,9638,9785,9331,5439,3655,9040,9802,9925,17104,11852,7481,3229,1054,372,103252,9236,9981,9066,5389,3207,9175,8847,8094,15732,11087,7326,3861,1625,626,167852,83740,11647,11568,9582,5301,3285,8885,6533,5667,8832,6047,3814,1682,677,220,84112,12210,10526,9835,5274,3095,7623,6568,5953,9058,6476,4264,1865,918,447,3048077,1515678,83410,84007,87319,49552,38999,110779,122272,117486,214533,216700,201302,115281,54261,19777,1532399,78187,82548,79676,47244,36085,102439,113999,112080,202170,221551,212910,131865,72958,38687,1027216,522122,51984,53636,50229,26975,18185,45649,43687,43693,75650,53443,33226,16539,7239,1987,505094,49106,50752,48917,25779,16955,42228,40276,39844,70783,53128,35446,18980,9331,3569,35.1,34.2,36.1,36.5,35.5,37.7,32.4,32.4,32.3,32.4,32.3,32.5,34.4,33.0,35.6,28.4,31.5,26.3,28.4,28.5,28.3,20.4,20.2,20.6,39.3,38.0,40.6,26.9,26.6,27.3,4562261
40,CO,08,,,,,04043US08,Colorado -- Rural,716645,368923,18253,21261,24102,15452,8749,3742,3670,9980,17886,18493,20086,21810,27025,31131,33557,14087,18408,11431,14123,16312,10130,5313,3922,347722,16683,19870,22909,14422,7323,3023,2748,9080,14525,17104,18719,22579,24677,31768,34629,12401,17066,10409,12355,14322,9676,5356,6078,664869,341689,16049,19219,21351,14007,7789,15579,15643,16746,38276,54627,63115,40533,14955,3800,323180,14657,17857,20774,12983,6399,13305,13289,15496,38141,53205,60917,35741,14534,5882,7421,4940,224,160,398,180,297,318,495,451,730,836,481,304,62,4,2481,108,347,92,220,115,334,64,153,242,318,251,163,29,45,8081,4073,400,202,252,155,98,239,436,250,686,501,538,195,104,17,4008,287,158,291,134,120,388,267,162,426,645,618,350,94,68,6576,2655,135,141,218,65,86,198,229,262,288,422,309,220,44,38,3921,144,249,259,143,141,70,111,375,741,621,709,238,101,19,655,287,28,15,27,6,36,22,29,7,47,11,44,0,15,0,368,12,0,29,31,8,3,2,151,27,62,26,13,4,0,13415,7182,409,623,758,520,152,437,470,382,1207,958,835,321,104,6,6233,539,631,505,345,235,342,358,367,1065,794,638,248,112,54,15628,8097,1008,901,1098,519,291,599,584,395,662,801,730,293,159,57,7531,936,628,959,566,305,409,434,400,656,800,937,333,158,10,598147,307058,13147,16358,18030,12109,6472,13121,13284,14275,33945,50372,59583,38615,14191,3556,291089,12411,14522,17246,11080,5156,10985,11671,13332,34046,49685,57932,33868,13526,5629,85370,44229,3587,3738,4493,2521,1562,3084,2931,3013,5763,5502,4592,2256,921,266,41141,3176,4117,4400,2489,1625,2845,2128,2657,5377,4562,4000,2196,1257,312,45.5,45.2,46.0,46.6,46.2,47.0,33.5,34.5,28.3,37.1,35.1,39.5,40.4,34.9,41.8,34.1,28.3,34.4,32.5,32.7,32.1,22.9,21.6,24.6,48.3,47.9,48.6,30.0,30.3,29.4,716645
40,CO,08,,,,,040A0US08,Colorado -- In metropolitan or micropolitan statistical area,4974724,2492007,164260,170596,170111,97419,69104,36445,38400,111219,194613,190693,173773,175325,165358,172266,158910,59853,79026,46685,54391,65757,44508,29013,24282,2482717,155511,164631,161311,93274,63674,33391,34639,103454,181106,180517,167570,165744,164270,176594,167639,60413,84062,49897,60283,73442,54162,40426,46707,4170870,2088808,128439,133141,135897,77939,55918,150396,160418,156777,290833,290481,265921,152339,67742,22567,2082062,119701,128469,127416,73406,51009,137936,149053,149438,276496,294556,278047,166665,86277,43593,209502,110824,7709,8640,7356,4507,3409,9970,9045,9554,15918,15740,11264,5128,2010,574,98678,7256,7532,7293,4745,3021,8282,7511,7362,13006,13235,10290,5373,2600,1172,43472,21485,1312,1668,1773,997,764,1574,1754,1535,3100,3139,2459,988,364,58,21987,1571,1563,1583,877,704,2099,1576,1694,3465,2835,2450,1034,403,133,151480,68648,4474,4573,4924,2395,1744,5441,6392,6581,11724,9109,6036,3222,1573,460,82832,4427,5652,5077,2866,2255,5734,6984,7156,14195,11598,8755,4708,2632,793,7222,3602,246,242,332,134,188,297,268,422,701,407,235,91,31,8,3620,237,356,269,178,156,407,372,545,421,193,412,64,10,0,214791,109860,9703,10150,9601,5773,3630,9116,9859,10028,17590,12249,7558,3177,1071,355,104931,9483,10207,9246,5551,3288,9131,8804,8150,16302,11403,7383,3758,1657,568,177387,88780,12377,12182,10228,5674,3451,9270,6877,5796,9232,6499,4316,1888,730,260,88607,12836,10852,10427,5651,3241,7895,6806,6172,9429,7044,4777,2020,1009,448,3429129,1712624,91348,94675,99661,58464,42797,117855,129468,125810,236247,251592,241581,139913,62167,21046,1716505,85737,91777,91469,54781,38808,108065,120706,119950,225243,255707,251749,152245,79333,40935,1040822,528684,52354,54290,51486,27785,18312,45839,43736,43732,76526,54858,34125,16530,7097,2014,512138,49494,51874,49730,26748,17248,42561,40272,40241,72175,54053,36133,19013,9198,3398,36.0,35.1,37.0,37.6,36.5,38.7,32.4,32.4,32.4,33.0,32.9,33.1,34.6,33.1,35.8,29.2,31.0,26.9,28.4,28.5,28.3,20.4,20.2,20.7,40.3,39.2,41.5,26.9,26.6,27.3,4974724
40,CO,08,,,,,040C0US08,Colorado -- In metropolitan statistical area,4590896,2290618,153128,158923,157918,90182,64266,34188,36129,102605,178925,174777,158976,161527,151705,157591,144718,54184,71262,41889,49297,59501,40177,26295,22455,2300278,144633,152550,150606,86573,59212,31962,32291,96998,168982,168223,155367,154463,151898,162732,153172,55206,77172,45552,54776,67598,49822,37477,43013,3825394,1908436,118859,123106,125128,71716,51749,139369,146771,143242,265781,264553,239855,136636,60870,20801,1916958,110589,117951,118119,67600,47399,129011,138426,138541,255143,270328,253089,151605,79183,39974,203920,106554,7694,8478,7302,4489,3332,9384,8392,8688,15216,14911,11096,5007,2010,555,97366,7173,7431,7263,4640,2987,8138,7301,7301,12950,12980,10172,5293,2578,1159,37636,18371,1069,1455,1666,855,562,1334,1465,1244,2579,2766,2117,882,319,58,19265,1432,1298,1421,734,523,1825,1351,1477,3158,2484,2184,886,370,122,148165,67230,4434,4497,4780,2375,1742,5300,6205,6365,11547,8954,5800,3210,1561,460,80935,4357,5549,4957,2816,2060,5629,6746,6991,13907,11405,8449,4650,2632,787,6738,3283,234,201,332,90,187,286,224,415,586,380,232,85,31,0,3455,225,356,225,178,156,407,358,481,410,193,394,62,10,0,199547,101999,9005,9496,8798,5211,3361,8360,9312,9297,16081,11597,7023,3088,1024,346,97548,8497,9509,8534,5134,3072,8649,8206,7493,15256,10691,6796,3582,1600,529,169496,84745,11833,11690,9912,5446,3333,8889,6556,5526,8713,6135,4041,1779,657,235,84751,12360,10456,10087,5471,3015,7592,6594,5939,9006,6549,4466,1848,926,442,3139708,1562938,84611,86832,91852,53603,39719,109345,118512,115223,216505,229166,217411,125067,55613,19479,1576770,79150,84438,84416,50389,36138,101064,111902,111045,207872,234034,228360,137857,72570,37535,965340,487782,48479,51080,47499,25783,16941,42259,40264,39842,69516,50523,31547,15533,6720,1796,477558,45639,47765,46743,24876,15999,39962,37709,37472,67005,50586,33774,18136,8742,3150,35.8,34.8,36.8,37.4,36.3,38.5,32.4,32.4,32.4,33.4,33.0,33.7,34.7,33.1,35.9,29.0,30.9,26.8,28.5,28.6,28.3,20.3,20.1,20.5,40.1,38.9,41.2,26.8,26.4,27.3,4590896
40,CO,08,,,,,040C1US08,Colorado -- In metropolitan statistical area -- in principal city,2168399,1077706,74826,70798,65351,36583,33436,20595,20752,57737,100723,93061,77759,74173,65408,65288,61533,23158,30470,17739,20479,25292,17785,13193,11567,1090693,70500,68788,63370,36101,34766,18923,19789,56211,94473,87270,74226,67034,64128,68390,64862,24780,34053,20159,24761,31471,23591,19288,23759,1689911,840774,53348,49003,47131,26064,25124,76888,79525,72774,118205,104083,96085,54821,27264,10459,849137,49473,47522,44510,24619,26289,72460,74347,68542,108872,105092,102629,65680,37461,21641,156028,80134,6100,6399,5185,2998,2383,7594,6391,6512,11122,10996,8464,3911,1580,499,75894,5310,5669,5508,3737,2561,6590,5572,5844,9544,9939,8120,4302,2181,1017,20407,9487,563,697,705,502,246,712,702,702,1460,1518,1034,461,146,39,10920,886,701,680,340,296,1134,809,896,1700,1387,1279,504,233,75,75032,33265,1979,1775,2014,1129,1131,3017,3678,3515,5410,3939,3083,1534,884,177,41767,2097,2359,2036,1428,1440,3550,3702,3665,6267,5856,4878,2616,1421,452,3607,1776,139,153,150,3,102,64,114,289,411,147,145,39,20,0,1831,48,267,126,73,95,282,164,245,184,57,272,8,10,0,131327,66481,6276,6715,5622,3181,2370,5346,6333,5959,10834,6858,4282,1825,637,243,64846,5982,6782,5459,3374,2108,6142,5737,4867,9979,6695,4066,2232,1047,376,92087,45789,6421,6056,4544,2706,2080,5463,3980,3310,4490,3155,2068,919,447,150,46298,6704,5488,5051,2530,1977,4765,4142,3211,4714,3492,2451,1049,526,198,1324343,655242,34747,30725,29754,17174,18683,59323,63466,57547,91775,85649,83956,48624,24181,9638,669101,32602,30346,27623,16414,19782,56828,60091,53840,84550,86119,89000,58234,33421,20251,544043,275755,28105,28192,25960,13307,9693,25277,24035,22819,39735,27429,17460,8544,4017,1182,268288,26398,26828,24756,12920,9718,23754,21885,21109,36886,27641,18944,10174,5411,1864,33.8,32.9,34.7,35.3,34.2,36.4,32.4,32.4,32.5,33.8,34.0,33.7,34.2,32.6,35.8,30.2,32.8,25.7,27.5,27.8,27.2,20.9,20.7,21.3,37.9,36.7,39.2,26.8,26.4,27.2,2168399
40,CO,08,,,,,040C2US08,Colorado -- In metropolitan statistical area -- not in principal city,2422497,1212912,78302,88125,92567,53599,30830,13593,15377,44868,78202,81716,81217,87354,86297,92303,83185,31026,40792,24150,28818,34209,22392,13102,10888,1209585,74133,83762,87236,50472,24446,13039,12502,40787,74509,80953,81141,87429,87770,94342,88310,30426,43119,25393,30015,36127,26231,18189,19254,2135483,1067662,65511,74103,77997,45652,26625,62481,67246,70468,147576,160470,143770,81815,33606,10342,1067821,61116,70429,73609,42981,21110,56551,64079,69999,146271,165236,150460,85925,41722,18333,47892,26420,1594,2079,2117,1491,949,1790,2001,2176,4094,3915,2632,1096,430,56,21472,1863,1762,1755,903,426,1548,1729,1457,3406,3041,2052,991,397,142,17229,8884,506,758,961,353,316,622,763,542,1119,1248,1083,421,173,19,8345,546,597,741,394,227,691,542,581,1458,1097,905,382,137,47,73133,33965,2455,2722,2766,1246,611,2283,2527,2850,6137,5015,2717,1676,677,283,39168,2260,3190,2921,1388,620,2079,3044,3326,7640,5549,3571,2034,1211,335,3131,1507,95,48,182,87,85,222,110,126,175,233,87,46,11,0,1624,177,89,99,105,61,125,194,236,226,136,122,54,0,0,68220,35518,2729,2781,3176,2030,991,3014,2979,3338,5247,4739,2741,1263,387,103,32702,2515,2727,3075,1760,964,2507,2469,2626,5277,3996,2730,1350,553,153,77409,38956,5412,5634,5368,2740,1253,3426,2576,2216,4223,2980,1973,860,210,85,38453,5656,4968,5036,2941,1038,2827,2452,2728,4292,3057,2015,799,400,244,1815365,907696,49864,56107,62098,36429,21036,50022,55046,57676,124730,143517,133455,76443,31432,9841,907669,46548,54092,56793,33975,16356,44236,51811,57205,123322,147915,139360,79623,39149,17284,421297,212027,20374,22888,21539,12476,7248,16982,16229,17023,29781,23094,14087,6989,2703,614,209270,19241,20937,21987,11956,6281,16208,15824,16363,30119,22945,14830,7962,3331,1286,37.8,36.8,38.9,39.2,38.1,40.3,32.4,32.4,32.4,32.5,31.4,33.7,35.2,33.9,36.0,27.5,27.0,28.0,30.3,30.1,30.6,18.6,18.4,19.0,41.6,40.5,42.7,26.9,26.4,27.5,2422497
40,CO,08,,,,,040E0US08,Colorado -- In micropolitan statistical area,383828,201389,11132,11673,12193,7237,4838,2257,2271,8614,15688,15916,14797,13798,13653,14675,14192,5669,7764,4796,5094,6256,4331,2718,1827,182439,10878,12081,10705,6701,4462,1429,2348,6456,12124,12294,12203,11281,12372,13862,14467,5207,6890,4345,5507,5844,4340,2949,3694,345476,180372,9580,10035,10769,6223,4169,11027,13647,13535,25052,25928,26066,15703,6872,1766,165104,9112,10518,9297,5806,3610,8925,10627,10897,21353,24228,24958,15060,7094,3619,5582,4270,15,162,54,18,77,586,653,866,702,829,168,121,0,19,1312,83,101,30,105,34,144,210,61,56,255,118,80,22,13,5836,3114,243,213,107,142,202,240,289,291,521,373,342,106,45,0,2722,139,265,162,143,181,274,225,217,307,351,266,148,33,11,3315,1418,40,76,144,20,2,141,187,216,177,155,236,12,12,0,1897,70,103,120,50,195,105,238,165,288,193,306,58,0,6,484,319,12,41,0,44,1,11,44,7,115,27,3,6,0,8,165,12,0,44,0,0,0,14,64,11,0,18,2,0,0,15244,7861,698,654,803,562,269,756,547,731,1509,652,535,89,47,9,7383,986,698,712,417,216,482,598,657,1046,712,587,176,57,39,7891,4035,544,492,316,228,118,381,321,270,519,364,275,109,73,25,3856,476,396,340,180,226,303,212,233,423,495,311,172,83,6,289421,149686,6737,7843,7809,4861,3078,8510,10956,10587,19742,22426,24170,14846,6554,1567,139735,6587,7339,7053,4392,2670,7001,8804,8905,17371,21673,23389,14388,6763,3400,75482,40902,3875,3210,3987,2002,1371,3580,3472,3890,7010,4335,2578,997,377,218,34580,3855,4109,2987,1872,1249,2599,2563,2769,5170,3467,2359,877,456,248,38.6,37.6,39.8,40.2,39.1,41.3,32.7,32.9,29.2,31.1,32.5,29.1,30.7,30.8,30.6,31.9,33.5,31.6,27.2,27.2,27.0,24.7,24.5,25.6,43.4,42.2,44.8,27.6,28.5,26.3,383828
40,CO,08,,,,,040E1US08,Colorado -- In micropolitan statistical area -- in principal city,123648,62950,3639,3691,3968,2391,1981,1369,1039,3638,5840,4611,4399,4117,3754,3755,3590,1385,1943,1396,1460,1963,1328,1009,684,60698,3901,3707,3027,1985,2189,643,1130,2629,4686,4308,3756,3314,3834,3988,4475,1559,2021,1245,1697,1856,1673,1352,1723,111009,56408,3309,3251,3476,2040,1702,4801,5112,4036,7623,6980,6396,4724,2289,669,54601,3330,3270,2749,1619,1727,3794,3997,3828,6399,7118,7518,4621,2953,1678,1654,1112,7,44,27,7,13,306,219,173,122,131,41,22,0,0,542,31,49,0,47,11,144,50,2,50,117,37,0,0,4,2053,1037,63,87,9,94,139,56,169,38,166,121,95,0,0,0,1016,88,155,0,20,120,98,118,139,100,54,51,65,8,0,1545,792,10,0,111,9,1,127,134,149,85,57,102,0,7,0,753,13,27,47,42,96,0,162,25,126,21,188,0,0,6,168,154,0,27,0,0,0,11,26,0,76,0,0,6,0,8,14,0,0,0,0,0,0,14,0,0,0,0,0,0,0,4648,2125,172,145,232,154,59,439,121,154,316,120,190,23,0,0,2523,337,175,101,180,92,291,275,247,227,302,181,40,46,29,2571,1322,78,137,113,87,67,306,59,61,128,100,94,44,41,7,1249,102,31,130,77,143,75,70,67,168,210,80,72,18,6,93054,46881,2467,2509,2395,1634,1317,3694,4252,3372,5940,6113,5914,4394,2231,649,46173,2420,2321,1977,1244,1221,3219,3384,3032,5137,6454,6949,4399,2794,1622,24279,12685,1104,1032,1408,598,459,1827,1088,877,2078,1043,718,375,58,20,11594,1334,1242,895,585,643,854,939,1129,1555,1002,831,281,219,85,35.7,34.3,37.6,37.0,35.5,39.4,27.3,27.7,23.9,26.4,26.7,26.1,29.9,30.0,29.9,41.1,41.2,.,24.6,24.0,28.2,24.6,24.0,28.8,40.2,37.6,43.2,25.4,24.8,25.9,123648
40,CO,08,,,,,040E2US08,Colorado -- In micropolitan statistical area -- not in principal city,260180,138439,7493,7982,8225,4846,2857,888,1232,4976,9848,11305,10398,9681,9899,10920,10602,4284,5821,3400,3634,4293,3003,1709,1143,121741,6977,8374,7678,4716,2273,786,1218,3827,7438,7986,8447,7967,8538,9874,9992,3648,4869,3100,3810,3988,2667,1597,1971,234467,123964,6271,6784,7293,4183,2467,6226,8535,9499,17429,18948,19670,10979,4583,1097,110503,5782,7248,6548,4187,1883,5131,6630,7069,14954,17110,17440,10439,4141,1941,3928,3158,8,118,27,11,64,280,434,693,580,698,127,99,0,19,770,52,52,30,58,23,0,160,59,6,138,81,80,22,9,3783,2077,180,126,98,48,63,184,120,253,355,252,247,106,45,0,1706,51,110,162,123,61,176,107,78,207,297,215,83,25,11,1770,626,30,76,33,11,1,14,53,67,92,98,134,12,5,0,1144,57,76,73,8,99,105,76,140,162,172,118,58,0,0,316,165,12,14,0,44,1,0,18,7,39,27,3,0,0,0,151,12,0,44,0,0,0,0,64,11,0,18,2,0,0,10596,5736,526,509,571,408,210,317,426,577,1193,532,345,66,47,9,4860,649,523,611,237,124,191,323,410,819,410,406,136,11,10,5320,2713,466,355,203,141,51,75,262,209,391,264,181,65,32,18,2607,374,365,210,103,83,228,142,166,255,285,231,100,65,0,196367,102805,4270,5334,5414,3227,1761,4816,6704,7215,13802,16313,18256,10452,4323,918,93562,4167,5018,5076,3148,1449,3782,5420,5873,12234,15219,16440,9989,3969,1778,51203,28217,2771,2178,2579,1404,912,1753,2384,3013,4932,3292,1860,622,319,198,22986,2521,2867,2092,1287,606,1745,1624,1640,3615,2465,1528,596,237,163,40.1,39.5,40.7,41.4,40.7,42.1,33.8,34.2,33.2,34.0,34.2,33.5,33.7,37.3,30.9,31.6,28.6,31.9,28.0,28.6,26.2,25.1,25.8,23.2,44.8,44.1,45.4,28.6,30.2,26.5,260180
