SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,CT,09,,,,,04000US09,Connecticut,3593222,1751607,97647,110043,118032,75546,54873,26850,25243,71125,112189,107223,102424,116664,131872,138644,126670,44547,60154,35581,44597,55237,38844,28908,28694,1841615,93798,104940,113043,71687,53180,25977,23606,64777,108170,109096,106008,123744,139406,146532,132895,47707,66632,39860,51192,65488,51544,43036,59297,2778362,1352173,65129,76167,84591,55306,39977,86907,79242,74829,161035,221070,199763,119652,61440,27065,1426189,62602,72204,80759,51771,38659,81724,76655,75959,168316,230426,210811,135970,84900,55433,370501,177522,13134,13547,13632,9189,6821,16597,13654,11983,23754,24650,17111,8614,3679,1157,192979,11477,13035,13306,8739,6538,15201,13732,13628,26872,28684,20500,12492,5978,2797,8908,4448,256,526,239,169,186,243,374,169,691,842,425,259,67,2,4460,247,179,244,356,181,388,243,377,811,570,494,196,147,27,150670,72292,4862,5027,5020,2759,2099,5324,6513,6966,13257,9537,6174,3077,1539,138,78378,4774,4725,5456,2972,2521,5299,6724,7562,14816,10535,7076,3754,1824,340,981,497,24,40,33,34,17,99,108,13,0,58,50,21,0,0,484,0,48,35,0,12,37,15,22,131,50,75,59,0,0,181881,94704,6849,7690,8018,4521,3365,9589,9615,9530,16291,10534,5255,2449,776,222,87177,7020,7194,7126,4356,2757,7456,7187,8713,14052,11428,5652,2670,1069,497,101919,49971,7393,7046,6499,3568,2408,4459,2683,3733,4060,3825,2593,1343,251,110,51948,7678,7555,6117,3493,2512,4255,3614,2835,4754,4245,2626,1399,662,203,2487119,1210226,52624,62889,72162,47612,34679,74006,67772,63766,141257,203579,189070,114996,59313,26501,1276893,49902,59492,68394,45008,33605,69003,64836,64255,146157,211701,198729,129592,81739,54480,526508,263207,24063,24640,23384,14201,10090,25062,22567,22200,38594,29944,16959,7635,2958,910,263301,23509,23650,22498,13302,9049,22243,20972,21917,39242,32046,18951,9859,4603,1460,40.4,38.7,41.9,43.9,42.4,45.2,33.1,30.8,35.3,35.5,35.5,35.5,33.8,33.2,34.3,29.8,25.2,41.5,29.5,28.8,30.3,18.6,18.4,18.8,45.7,44.3,47.0,28.1,27.1,29.2,3593222
40,CT,09,,,,,04001US09,Connecticut -- Urban,3164929,1538753,88281,97201,102619,65716,49828,23877,22986,64993,103413,98498,91794,102664,113751,118342,107656,37750,50622,29941,37399,46739,33687,25346,25650,1626176,84142,92092,97703,62025,48833,23916,21889,59184,100272,99998,95117,107732,120221,126096,113894,40900,57630,34331,43615,57411,45824,38775,54576,2375770,1151696,56725,64744,70480,46266,35179,76458,71017,66778,138083,184386,165679,98804,53043,24054,1224074,54268,60764,66779,43162,34714,72870,69296,67731,143420,192561,177097,115523,75147,50742,365554,174534,12978,13374,13493,9059,6786,16438,13472,11786,23321,23983,16666,8482,3547,1149,191020,11338,12941,13279,8686,6524,15108,13608,13495,26626,28270,20231,12240,5906,2768,8125,4016,253,456,186,143,184,195,364,164,625,769,377,243,57,0,4109,228,175,231,287,154,371,241,346,748,520,463,194,124,27,142578,68719,4735,4758,4752,2596,2027,5081,6271,6652,12584,9017,5873,2838,1408,127,73859,4554,4497,4962,2732,2452,5136,6514,7099,13904,9790,6732,3424,1723,340,964,492,24,40,33,34,17,99,108,13,0,53,50,21,0,0,472,0,48,35,0,12,37,15,22,119,50,75,59,0,0,179696,93699,6804,7561,7887,4456,3342,9410,9583,9470,16185,10474,5112,2438,755,222,85997,6939,7079,7054,4268,2739,7358,7150,8577,13820,11252,5564,2664,1037,496,92242,45597,6762,6268,5788,3162,2293,4175,2598,3635,3660,3411,2271,1253,223,98,46645,6815,6588,5363,2890,2238,4109,3448,2728,4212,3874,2262,1253,662,203,2094400,1014936,44640,52055,58569,39018,30064,64035,59832,56029,119027,167482,155350,94338,50962,23535,1079464,42053,48398,54981,36564,29725,60458,57755,56228,122045,174547,165400,109377,72125,49808,513142,256186,23508,23798,22549,13644,9873,24336,22220,21799,37562,29257,16427,7440,2908,865,256956,22826,23100,21817,12959,8963,21832,20648,21561,38147,31130,18493,9590,4449,1441,39.7,37.8,41.2,43.4,41.7,44.9,32.9,30.6,35.2,35.5,35.5,35.7,33.6,33.1,34.2,29.7,24.0,41.3,29.5,28.8,30.2,19.0,18.7,19.4,45.5,43.9,47.0,28.1,27.2,29.1,3164929
40,CT,09,,,,,04043US09,Connecticut -- Rural,428293,212854,9366,12842,15413,9830,5045,2973,2257,6132,8776,8725,10630,14000,18121,20302,19014,6797,9532,5640,7198,8498,5157,3562,3044,215439,9656,12848,15340,9662,4347,2061,1717,5593,7898,9098,10891,16012,19185,20436,19001,6807,9002,5529,7577,8077,5720,4261,4721,402592,200477,8404,11423,14111,9040,4798,10449,8225,8051,22952,36684,34084,20848,8397,3011,202115,8334,11440,13980,8609,3945,8854,7359,8228,24896,37865,33714,20447,9753,4691,4947,2988,156,173,139,130,35,159,182,197,433,667,445,132,132,8,1959,139,94,27,53,14,93,124,133,246,414,269,252,72,29,783,432,3,70,53,26,2,48,10,5,66,73,48,16,10,2,351,19,4,13,69,27,17,2,31,63,50,31,2,23,0,8092,3573,127,269,268,163,72,243,242,314,673,520,301,239,131,11,4519,220,228,494,240,69,163,210,463,912,745,344,330,101,0,17,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2185,1005,45,129,131,65,23,179,32,60,106,60,143,11,21,0,1180,81,115,72,88,18,98,37,136,232,176,88,6,32,1,9677,4374,631,778,711,406,115,284,85,98,400,414,322,90,28,12,5303,863,967,754,603,274,146,166,107,542,371,364,146,0,0,392719,195290,7984,10834,13593,8594,4615,9971,7940,7737,22230,36097,33720,20658,8351,2966,197429,7849,11094,13413,8444,3880,8545,7081,8027,24112,37154,33329,20215,9614,4672,13366,7021,555,842,835,557,217,726,347,401,1032,687,532,195,50,45,6345,683,550,681,343,86,411,324,356,1095,916,458,269,154,19,45.5,45.1,45.9,46.3,45.9,46.7,44.1,41.9,46.4,34.4,34.7,34.4,36.6,35.9,37.7,44.4,.,.,29.6,20.8,31.3,15.3,15.5,15.3,46.7,46.3,47.0,27.1,22.6,30.6,428293
40,CT,09,,,,,040A0US09,Connecticut -- In metropolitan or micropolitan statistical area,3593222,1751607,97647,110043,118032,75546,54873,26850,25243,71125,112189,107223,102424,116664,131872,138644,126670,44547,60154,35581,44597,55237,38844,28908,28694,1841615,93798,104940,113043,71687,53180,25977,23606,64777,108170,109096,106008,123744,139406,146532,132895,47707,66632,39860,51192,65488,51544,43036,59297,2778362,1352173,65129,76167,84591,55306,39977,86907,79242,74829,161035,221070,199763,119652,61440,27065,1426189,62602,72204,80759,51771,38659,81724,76655,75959,168316,230426,210811,135970,84900,55433,370501,177522,13134,13547,13632,9189,6821,16597,13654,11983,23754,24650,17111,8614,3679,1157,192979,11477,13035,13306,8739,6538,15201,13732,13628,26872,28684,20500,12492,5978,2797,8908,4448,256,526,239,169,186,243,374,169,691,842,425,259,67,2,4460,247,179,244,356,181,388,243,377,811,570,494,196,147,27,150670,72292,4862,5027,5020,2759,2099,5324,6513,6966,13257,9537,6174,3077,1539,138,78378,4774,4725,5456,2972,2521,5299,6724,7562,14816,10535,7076,3754,1824,340,981,497,24,40,33,34,17,99,108,13,0,58,50,21,0,0,484,0,48,35,0,12,37,15,22,131,50,75,59,0,0,181881,94704,6849,7690,8018,4521,3365,9589,9615,9530,16291,10534,5255,2449,776,222,87177,7020,7194,7126,4356,2757,7456,7187,8713,14052,11428,5652,2670,1069,497,101919,49971,7393,7046,6499,3568,2408,4459,2683,3733,4060,3825,2593,1343,251,110,51948,7678,7555,6117,3493,2512,4255,3614,2835,4754,4245,2626,1399,662,203,2487119,1210226,52624,62889,72162,47612,34679,74006,67772,63766,141257,203579,189070,114996,59313,26501,1276893,49902,59492,68394,45008,33605,69003,64836,64255,146157,211701,198729,129592,81739,54480,526508,263207,24063,24640,23384,14201,10090,25062,22567,22200,38594,29944,16959,7635,2958,910,263301,23509,23650,22498,13302,9049,22243,20972,21917,39242,32046,18951,9859,4603,1460,40.4,38.7,41.9,43.9,42.4,45.2,33.1,30.8,35.3,35.5,35.5,35.5,33.8,33.2,34.3,29.8,25.2,41.5,29.5,28.8,30.3,18.6,18.4,18.8,45.7,44.3,47.0,28.1,27.1,29.2,3593222
40,CT,09,,,,,040C0US09,Connecticut -- In metropolitan statistical area,3406918,1659867,93429,104522,112461,71542,52628,26013,24291,68019,107573,102655,98052,110484,124386,130390,118481,41580,56222,33182,41648,51694,36598,27058,26959,1747051,89928,100284,107328,67992,51213,25214,22883,61674,103824,104551,101279,117407,131581,137879,124518,44724,62660,37462,47960,61356,48634,40901,55799,2604142,1266399,61319,71254,79646,51670,37935,82351,75145,70624,151381,206107,185311,110929,57388,25339,1337743,59252,68040,75684,48398,36909,77547,72674,71807,158149,214797,196077,126495,79949,51965,367674,176038,13037,13479,13491,9102,6797,16542,13570,11872,23493,24433,16885,8528,3661,1148,191636,11408,12926,13179,8673,6500,15081,13678,13477,26769,28441,20375,12386,5975,2768,8567,4264,256,478,239,169,186,243,344,169,689,791,385,246,67,2,4303,247,179,244,325,155,376,243,367,811,526,479,196,128,27,147300,70708,4769,4853,4887,2676,2026,5292,6398,6867,12992,9321,5951,3022,1516,138,76592,4651,4611,5266,2944,2499,5210,6612,7488,14424,10288,6860,3640,1759,340,975,497,24,40,33,34,17,99,108,13,0,58,50,21,0,0,478,0,48,35,0,12,37,15,22,125,50,75,59,0,0,179493,93479,6773,7582,7940,4479,3341,9502,9363,9451,15998,10386,5229,2440,773,222,86014,6892,7082,6986,4303,2739,7394,7081,8606,13777,11365,5588,2636,1069,496,98767,48482,7251,6836,6225,3412,2326,4294,2645,3659,3983,3680,2472,1338,251,110,50285,7478,7398,5934,3349,2399,4126,3521,2784,4631,3993,2448,1366,655,203,2319121,1127727,49190,58281,67508,44208,32762,69747,63810,59871,131970,189004,174890,106348,55321,24817,1191394,46768,55534,63640,41800,31926,65087,61059,60333,136396,196506,184238,120273,76822,51012,516859,258319,23598,24159,22883,13898,9906,24676,22155,21812,37896,29373,16649,7551,2895,868,258540,23091,23259,21977,13029,8909,21898,20643,21536,38511,31434,18601,9630,4562,1460,40.1,38.4,41.5,43.6,42.2,45.0,33.0,30.8,35.3,35.4,35.4,35.5,33.7,33.2,34.2,29.8,25.2,41.4,29.5,28.8,30.3,18.6,18.5,18.7,45.6,44.1,46.9,28.1,27.1,29.1,3406918
40,CT,09,,,,,040C1US09,Connecticut -- In metropolitan statistical area -- in principal city,1033795,500060,32734,32232,30872,20055,17560,8746,9102,25601,42217,39561,34126,32272,33702,33536,30532,10511,13953,8385,9994,12034,9191,6188,6956,533735,29621,31267,30899,19031,17877,9127,8530,22196,42561,39691,35774,34409,36149,37117,33795,12027,16214,10263,12173,15836,13225,11022,14931,598783,289802,15536,14823,14061,9513,9636,23082,23429,21776,36448,42989,38406,21913,12199,5991,308981,14202,14446,14524,8721,10033,20684,23880,21151,37355,43249,42225,27007,18760,12744,225822,104163,8163,8849,8483,5839,3701,9734,7946,6859,12906,13481,10105,5186,2156,755,121659,7020,8332,8810,5330,4105,9715,8939,8439,16835,17946,12803,7787,4011,1587,3968,2065,115,186,84,73,142,66,130,97,385,443,185,140,19,0,1903,124,2,100,91,102,215,167,113,327,236,288,71,40,27,52535,25754,1691,1546,1274,728,743,2238,3055,3322,4622,2803,2080,1045,575,32,26781,1541,1240,1408,933,839,2451,3480,3221,4528,3011,2360,1114,471,184,515,288,13,10,9,0,11,74,91,13,0,0,50,17,0,0,227,0,48,0,0,7,17,15,15,21,20,41,43,0,0,113813,59269,4406,4505,4504,2794,2332,6422,6197,5987,10652,6235,3117,1572,368,178,54544,4299,4738,3912,2658,1816,4975,4596,5334,9158,7074,3355,1658,640,331,38359,18719,2810,2313,2457,1108,995,1833,1369,1507,1385,1287,1053,540,62,0,19640,2435,2461,2145,1298,975,1796,1484,1418,1959,1730,964,592,325,58,462631,222905,10054,8649,9539,6309,7150,16867,17134,16290,27073,34306,33247,19544,10932,5811,239726,8517,8811,9280,6091,7808,14921,17879,15117,27159,35080,36144,23771,16943,12205,278704,140175,12425,12390,10477,6928,5722,13994,13329,12273,21425,15959,8852,4321,1668,412,138529,11669,12300,10806,6429,4706,11929,11630,12266,21245,16296,10321,5365,2684,883,35.5,33.9,37.2,40.4,38.5,42.2,32.4,29.6,35.1,36.5,36.3,36.8,32.5,32.6,32.4,29.4,26.8,40.5,29.3,28.5,30.2,20.2,19.4,21.1,44.4,42.2,46.4,28.8,27.8,29.9,1033795
40,CT,09,,,,,040C2US09,Connecticut -- In metropolitan statistical area -- not in principal city,2373123,1159807,60695,72290,81589,51487,35068,17267,15189,42418,65356,63094,63926,78212,90684,96854,87949,31069,42269,24797,31654,39660,27407,20870,20003,1213316,60307,69017,76429,48961,33336,16087,14353,39478,61263,64860,65505,82998,95432,100762,90723,32697,46446,27199,35787,45520,35409,29879,40868,2005359,976597,45783,56431,65585,42157,28299,59269,51716,48848,114933,163118,146905,89016,45189,19348,1028762,45050,53594,61160,39677,26876,56863,48794,50656,120794,171548,153852,99488,61189,39221,141852,71875,4874,4630,5008,3263,3096,6808,5624,5013,10587,10952,6780,3342,1505,393,69977,4388,4594,4369,3343,2395,5366,4739,5038,9934,10495,7572,4599,1964,1181,4599,2199,141,292,155,96,44,177,214,72,304,348,200,106,48,2,2400,123,177,144,234,53,161,76,254,484,290,191,125,88,0,94765,44954,3078,3307,3613,1948,1283,3054,3343,3545,8370,6518,3871,1977,941,106,49811,3110,3371,3858,2011,1660,2759,3132,4267,9896,7277,4500,2526,1288,156,460,209,11,30,24,34,6,25,17,0,0,58,0,4,0,0,251,0,0,35,0,5,20,0,7,104,30,34,16,0,0,65680,34210,2367,3077,3436,1685,1009,3080,3166,3464,5346,4151,2112,868,405,44,31470,2593,2344,3074,1645,923,2419,2485,3272,4619,4291,2233,978,429,165,60408,29763,4441,4523,3768,2304,1331,2461,1276,2152,2598,2393,1419,798,189,110,30645,5043,4937,3789,2051,1424,2330,2037,1366,2672,2263,1484,774,330,145,1856490,904822,39136,49632,57969,37899,25612,52880,46676,43581,104897,154698,141643,86804,44389,19006,951668,38251,46723,54360,35709,24118,50166,43180,45216,109237,161426,148094,96502,59879,38807,238155,118144,11173,11769,12406,6970,4184,10682,8826,9539,16471,13414,7797,3230,1227,456,120011,11422,10959,11171,6600,4203,9969,9013,9270,17266,15138,8280,4265,1878,577,42.2,40.8,43.4,44.5,43.2,45.7,34.1,32.4,35.7,34.1,29.4,34.8,35.0,33.9,35.7,40.4,18.9,41.7,29.7,29.2,30.4,17.6,17.8,17.3,45.8,44.5,47.0,27.2,26.0,28.3,2373123
40,CT,09,,,,,040E0US09,Connecticut -- In micropolitan statistical area,186304,91740,4218,5521,5571,4004,2245,837,952,3106,4616,4568,4372,6180,7486,8254,8189,2967,3932,2399,2949,3543,2246,1850,1735,94564,3870,4656,5715,3695,1967,763,723,3103,4346,4545,4729,6337,7825,8653,8377,2983,3972,2398,3232,4132,2910,2135,3498,174220,85774,3810,4913,4945,3636,2042,4556,4097,4205,9654,14963,14452,8723,4052,1726,88446,3350,4164,5075,3373,1750,4177,3981,4152,10167,15629,14734,9475,4951,3468,2827,1484,97,68,141,87,24,55,84,111,261,217,226,86,18,9,1343,69,109,127,66,38,120,54,151,103,243,125,106,3,29,341,184,0,48,0,0,0,0,30,0,2,51,40,13,0,0,157,0,0,0,31,26,12,0,10,0,44,15,0,19,0,3370,1584,93,174,133,83,73,32,115,99,265,216,223,55,23,0,1786,123,114,190,28,22,89,112,74,392,247,216,114,65,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2388,1225,76,108,78,42,24,87,252,79,293,148,26,9,3,0,1163,128,112,140,53,18,62,106,107,275,63,64,34,0,1,3152,1489,142,210,274,156,82,165,38,74,77,145,121,5,0,0,1663,200,157,183,144,113,129,93,51,123,252,178,33,7,0,167998,82499,3434,4608,4654,3404,1917,4259,3962,3895,9287,14575,14180,8648,3992,1684,85499,3134,3958,4754,3208,1679,3916,3777,3922,9761,15195,14491,9319,4917,3468,9649,4888,465,481,501,303,184,386,412,388,698,571,310,84,63,42,4761,418,391,521,273,140,345,329,381,731,612,350,229,41,0,46.0,44.8,47.1,47.0,45.8,47.9,35.7,38.4,32.8,48.3,48.8,35.0,37.1,34.7,38.9,.,.,.,28.6,28.2,29.2,19.5,17.0,22.4,47.5,46.5,48.4,28.1,25.9,29.7,186304
40,CT,09,,,,,040E1US09,Connecticut -- In micropolitan statistical area -- in principal city,35493,17739,1178,1014,995,655,474,135,102,408,1032,1225,879,1291,1273,1848,1496,574,630,420,380,647,329,302,452,17754,710,623,822,629,282,159,142,705,1285,993,909,1085,1429,1653,1697,418,558,445,630,709,522,515,834,31935,15882,1031,875,715,573,420,540,996,1034,1820,2886,2484,1446,619,443,16053,608,527,707,602,269,856,1120,856,1736,2818,2445,1678,997,834,873,552,50,23,49,3,1,24,13,79,140,28,133,0,0,9,321,0,13,42,11,0,34,0,45,32,69,27,48,0,0,21,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1102,509,72,35,55,42,18,0,15,25,129,57,49,0,12,0,593,49,17,46,16,8,31,57,37,137,76,76,10,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619,282,0,35,57,0,2,18,0,38,41,90,0,1,0,0,337,10,33,20,0,0,42,37,26,74,54,16,25,0,0,943,507,25,46,119,37,33,63,8,49,40,60,27,0,0,0,436,43,33,7,0,5,43,71,29,15,65,95,23,7,0,29940,14747,875,737,578,514,350,466,954,921,1759,2706,2405,1434,605,443,15193,545,505,669,530,209,812,1030,739,1602,2710,2376,1635,997,834,3112,1709,169,187,298,88,71,96,45,151,190,283,104,13,14,0,1403,77,69,76,72,65,69,146,181,215,210,109,107,7,0,45.0,42.6,47.2,46.7,44.6,48.2,37.2,36.7,42.6,.,.,.,36.9,34.1,40.4,.,.,.,34.7,34.5,38.0,26.4,19.8,33.8,47.7,46.1,48.9,30.4,24.3,32.9,35493
40,CT,09,,,,,040E2US09,Connecticut -- In micropolitan statistical area -- not in principal city,150811,74001,3040,4507,4576,3349,1771,702,850,2698,3584,3343,3493,4889,6213,6406,6693,2393,3302,1979,2569,2896,1917,1548,1283,76810,3160,4033,4893,3066,1685,604,581,2398,3061,3552,3820,5252,6396,7000,6680,2565,3414,1953,2602,3423,2388,1620,2664,142285,69892,2779,4038,4230,3063,1622,4016,3101,3171,7834,12077,11968,7277,3433,1283,72393,2742,3637,4368,2771,1481,3321,2861,3296,8431,12811,12289,7797,3954,2634,1954,932,47,45,92,84,23,31,71,32,121,189,93,86,18,0,1022,69,96,85,55,38,86,54,106,71,174,98,58,3,29,320,177,0,48,0,0,0,0,30,0,2,51,33,13,0,0,143,0,0,0,31,26,12,0,10,0,44,1,0,19,0,2268,1075,21,139,78,41,55,32,100,74,136,159,174,55,11,0,1193,74,97,144,12,14,58,55,37,255,171,140,104,32,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1769,943,76,73,21,42,22,69,252,41,252,58,26,8,3,0,826,118,79,120,53,18,20,69,81,201,9,48,9,0,1,2209,982,117,164,155,119,49,102,30,25,37,85,94,5,0,0,1227,157,124,176,144,108,86,22,22,108,187,83,10,0,0,138058,67752,2559,3871,4076,2890,1567,3793,3008,2974,7528,11869,11775,7214,3387,1241,70306,2589,3453,4085,2678,1470,3104,2747,3183,8159,12485,12115,7684,3920,2634,6537,3179,296,294,203,215,113,290,367,237,508,288,206,71,49,42,3358,341,322,445,201,75,276,183,200,516,402,241,122,34,0,46.1,45.2,47.1,47.0,46.1,47.9,32.8,39.8,30.6,45.3,48.5,34.3,37.1,34.9,38.4,.,.,.,27.6,27.7,27.2,17.0,15.9,19.1,47.5,46.6,48.3,27.4,27.4,27.4,150811
