SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,DE,10,,,,,04000US10,Delaware,926454,448413,28382,28224,29482,17589,13094,7106,6652,19006,30933,28602,26498,27674,30582,32444,29048,11426,16499,9900,12867,17121,11479,7473,6332,478041,27430,28735,27484,16828,13125,7563,6223,18413,31146,29431,28738,28519,32924,35052,34377,12242,17775,11891,14816,19327,14264,10353,11385,642623,313030,16886,17087,17866,11008,8221,20965,20743,18946,36492,45861,44487,32840,16227,5401,329593,16148,16842,16793,10492,8311,20480,20575,18866,37409,47542,48752,37062,20470,9851,200481,94368,7054,7189,7791,4801,3333,8097,6647,6155,11956,13363,9719,5457,2007,799,106113,6615,7424,7222,4694,3445,8342,7237,7250,13932,15783,12440,6970,3418,1341,3140,1497,74,9,74,37,63,106,100,65,177,284,287,147,64,10,1643,107,55,138,35,29,223,103,54,191,207,259,155,67,20,33643,16054,1165,977,956,580,448,1324,1339,1596,2886,1963,1409,962,378,71,17589,1210,1142,953,572,355,1314,1753,1709,2874,2211,1701,1234,459,102,306,194,0,0,0,0,3,2,7,78,0,54,11,10,4,25,112,0,0,13,0,0,20,26,0,27,11,15,0,0,0,20995,10776,952,814,934,375,345,1006,1408,1158,1919,921,612,204,110,18,10219,895,1054,635,443,458,961,910,972,1644,1205,688,263,81,10,25266,12494,2251,2148,1861,788,681,1264,689,604,742,580,448,268,162,8,12772,2455,2218,1730,592,527,859,542,580,1180,1017,539,350,122,61,591922,286808,14050,14669,15256,9741,7362,18550,18397,16494,32431,43287,43085,32188,15985,5313,305114,13462,14063,14343,9316,7530,18395,18341,16901,33667,45516,47493,36287,20185,9615,80706,41537,4444,4052,4297,1941,1389,3776,3879,3868,6326,3937,2165,907,434,122,39169,4288,4538,3628,1936,1388,3351,3354,3431,5747,3686,2054,1048,411,309,39.3,37.8,40.7,43.3,41.9,44.7,33.7,31.8,35.6,43.7,47.2,39.8,34.2,33.9,34.5,37.1,45.4,27.9,27.9,27.6,28.4,15.0,15.0,15.0,45.4,44.0,46.7,25.9,25.9,25.8,926454
40,DE,10,,,,,04001US10,Delaware -- Urban,768071,370529,24122,24018,24555,14513,11208,5763,5842,16468,26751,24323,22851,23298,24505,25729,23070,9043,13071,7855,9984,13126,8939,6161,5334,397542,23566,23941,22807,13861,11507,6576,5291,16135,27394,25724,24038,23622,26558,28602,27730,9790,14193,9421,11802,15320,11927,8344,9393,508322,246758,13480,13789,13894,8483,6642,17022,17239,15420,29741,34904,34069,24864,12731,4480,261564,13128,13168,13172,8203,7005,17069,17374,15695,29378,36543,37592,28577,16563,8097,183310,86012,6535,6667,7061,4403,3144,7623,6249,5551,11074,11942,8602,4656,1781,724,97298,6163,6813,6594,4149,3227,7754,6859,6841,12812,14384,11228,6233,3069,1172,2495,1145,71,9,58,37,63,80,27,57,164,173,219,132,47,8,1350,105,53,95,29,3,219,101,51,177,162,186,114,48,7,31850,15362,1101,959,934,548,423,1241,1318,1564,2818,1812,1360,916,297,71,16488,1156,967,867,544,353,1278,1739,1683,2658,2039,1633,1069,414,88,284,189,0,0,0,0,3,2,6,78,0,54,11,10,0,25,95,0,0,13,0,0,20,26,0,11,11,14,0,0,0,19132,9875,817,726,897,345,311,911,1333,1076,1730,852,575,185,99,18,9257,703,881,619,396,428,874,802,921,1531,1130,640,241,81,10,22678,11188,2118,1868,1711,697,622,1194,579,577,622,497,348,202,145,8,11490,2311,2059,1447,540,491,788,493,533,1093,891,420,309,96,19,464949,224601,11005,11601,11803,7373,6028,15025,15214,13200,26431,32760,32869,24359,12527,4406,240348,10793,10900,10941,7206,6341,15192,15196,14128,26354,34681,36401,27928,16347,7940,70804,36232,3930,3678,3713,1749,1110,3272,3392,3576,5236,3439,1901,743,385,108,34572,3686,3790,3273,1652,1240,3053,3183,2978,4886,3436,1936,895,334,230,38.1,36.6,39.6,42.3,41.0,43.8,33.2,31.2,35.2,40.3,45.4,36.4,34.0,33.7,34.2,34.9,45.3,27.6,28.1,27.6,29.3,14.8,14.8,14.8,44.6,43.0,46.1,25.9,25.8,26.1,768071
40,DE,10,,,,,04043US10,Delaware -- Rural,158383,77884,4260,4206,4927,3076,1886,1343,810,2538,4182,4279,3647,4376,6077,6715,5978,2383,3428,2045,2883,3995,2540,1312,998,80499,3864,4794,4677,2967,1618,987,932,2278,3752,3707,4700,4897,6366,6450,6647,2452,3582,2470,3014,4007,2337,2009,1992,134301,66272,3406,3298,3972,2525,1579,3943,3504,3526,6751,10957,10418,7976,3496,921,68029,3020,3674,3621,2289,1306,3411,3201,3171,8031,10999,11160,8485,3907,1754,17171,8356,519,522,730,398,189,474,398,604,882,1421,1117,801,226,75,8815,452,611,628,545,218,588,378,409,1120,1399,1212,737,349,169,645,352,3,0,16,0,0,26,73,8,13,111,68,15,17,2,293,2,2,43,6,26,4,2,3,14,45,73,41,19,13,1793,692,64,18,22,32,25,83,21,32,68,151,49,46,81,0,1101,54,175,86,28,2,36,14,26,216,172,68,165,45,14,22,5,0,0,0,0,0,0,1,0,0,0,0,0,4,0,17,0,0,0,0,0,0,0,0,16,0,1,0,0,0,1863,901,135,88,37,30,34,95,75,82,189,69,37,19,11,0,962,192,173,16,47,30,87,108,51,113,75,48,22,0,0,2588,1306,133,280,150,91,59,70,110,27,120,83,100,66,17,0,1282,144,159,283,52,36,71,49,47,87,126,119,41,26,42,126973,62207,3045,3068,3453,2368,1334,3525,3183,3294,6000,10527,10216,7829,3458,907,64766,2669,3163,3402,2110,1189,3203,3145,2773,7313,10835,11092,8359,3838,1675,9902,5305,514,374,584,192,279,504,487,292,1090,498,264,164,49,14,4597,602,748,355,284,148,298,171,453,861,250,118,153,77,79,45.2,44.3,46.0,46.5,45.6,47.3,40.3,38.8,41.0,49.9,49.6,55.0,39.3,42.7,39.1,37.6,82.2,.,24.0,28.2,22.4,18.0,18.0,18.1,47.8,47.0,48.5,25.4,27.4,22.5,158383
40,DE,10,,,,,040A0US10,Delaware -- In metropolitan or micropolitan statistical area,926454,448413,28382,28224,29482,17589,13094,7106,6652,19006,30933,28602,26498,27674,30582,32444,29048,11426,16499,9900,12867,17121,11479,7473,6332,478041,27430,28735,27484,16828,13125,7563,6223,18413,31146,29431,28738,28519,32924,35052,34377,12242,17775,11891,14816,19327,14264,10353,11385,642623,313030,16886,17087,17866,11008,8221,20965,20743,18946,36492,45861,44487,32840,16227,5401,329593,16148,16842,16793,10492,8311,20480,20575,18866,37409,47542,48752,37062,20470,9851,200481,94368,7054,7189,7791,4801,3333,8097,6647,6155,11956,13363,9719,5457,2007,799,106113,6615,7424,7222,4694,3445,8342,7237,7250,13932,15783,12440,6970,3418,1341,3140,1497,74,9,74,37,63,106,100,65,177,284,287,147,64,10,1643,107,55,138,35,29,223,103,54,191,207,259,155,67,20,33643,16054,1165,977,956,580,448,1324,1339,1596,2886,1963,1409,962,378,71,17589,1210,1142,953,572,355,1314,1753,1709,2874,2211,1701,1234,459,102,306,194,0,0,0,0,3,2,7,78,0,54,11,10,4,25,112,0,0,13,0,0,20,26,0,27,11,15,0,0,0,20995,10776,952,814,934,375,345,1006,1408,1158,1919,921,612,204,110,18,10219,895,1054,635,443,458,961,910,972,1644,1205,688,263,81,10,25266,12494,2251,2148,1861,788,681,1264,689,604,742,580,448,268,162,8,12772,2455,2218,1730,592,527,859,542,580,1180,1017,539,350,122,61,591922,286808,14050,14669,15256,9741,7362,18550,18397,16494,32431,43287,43085,32188,15985,5313,305114,13462,14063,14343,9316,7530,18395,18341,16901,33667,45516,47493,36287,20185,9615,80706,41537,4444,4052,4297,1941,1389,3776,3879,3868,6326,3937,2165,907,434,122,39169,4288,4538,3628,1936,1388,3351,3354,3431,5747,3686,2054,1048,411,309,39.3,37.8,40.7,43.3,41.9,44.7,33.7,31.8,35.6,43.7,47.2,39.8,34.2,33.9,34.5,37.1,45.4,27.9,27.9,27.6,28.4,15.0,15.0,15.0,45.4,44.0,46.7,25.9,25.9,25.8,926454
40,DE,10,,,,,040C0US10,Delaware -- In metropolitan statistical area,926454,448413,28382,28224,29482,17589,13094,7106,6652,19006,30933,28602,26498,27674,30582,32444,29048,11426,16499,9900,12867,17121,11479,7473,6332,478041,27430,28735,27484,16828,13125,7563,6223,18413,31146,29431,28738,28519,32924,35052,34377,12242,17775,11891,14816,19327,14264,10353,11385,642623,313030,16886,17087,17866,11008,8221,20965,20743,18946,36492,45861,44487,32840,16227,5401,329593,16148,16842,16793,10492,8311,20480,20575,18866,37409,47542,48752,37062,20470,9851,200481,94368,7054,7189,7791,4801,3333,8097,6647,6155,11956,13363,9719,5457,2007,799,106113,6615,7424,7222,4694,3445,8342,7237,7250,13932,15783,12440,6970,3418,1341,3140,1497,74,9,74,37,63,106,100,65,177,284,287,147,64,10,1643,107,55,138,35,29,223,103,54,191,207,259,155,67,20,33643,16054,1165,977,956,580,448,1324,1339,1596,2886,1963,1409,962,378,71,17589,1210,1142,953,572,355,1314,1753,1709,2874,2211,1701,1234,459,102,306,194,0,0,0,0,3,2,7,78,0,54,11,10,4,25,112,0,0,13,0,0,20,26,0,27,11,15,0,0,0,20995,10776,952,814,934,375,345,1006,1408,1158,1919,921,612,204,110,18,10219,895,1054,635,443,458,961,910,972,1644,1205,688,263,81,10,25266,12494,2251,2148,1861,788,681,1264,689,604,742,580,448,268,162,8,12772,2455,2218,1730,592,527,859,542,580,1180,1017,539,350,122,61,591922,286808,14050,14669,15256,9741,7362,18550,18397,16494,32431,43287,43085,32188,15985,5313,305114,13462,14063,14343,9316,7530,18395,18341,16901,33667,45516,47493,36287,20185,9615,80706,41537,4444,4052,4297,1941,1389,3776,3879,3868,6326,3937,2165,907,434,122,39169,4288,4538,3628,1936,1388,3351,3354,3431,5747,3686,2054,1048,411,309,39.3,37.8,40.7,43.3,41.9,44.7,33.7,31.8,35.6,43.7,47.2,39.8,34.2,33.9,34.5,37.1,45.4,27.9,27.9,27.6,28.4,15.0,15.0,15.0,45.4,44.0,46.7,25.9,25.9,25.8,926454
40,DE,10,,,,,040C1US10,Delaware -- In metropolitan statistical area -- in principal city,108693,51109,4130,3271,3220,1975,1923,1163,1003,2645,4764,3788,3194,3293,3742,2946,2667,934,1164,822,1142,1340,786,547,650,57584,3887,3351,3115,1775,2278,1265,990,2619,5050,4049,3549,3486,3707,3302,3415,1261,1600,1200,1545,1782,1621,1336,1401,42367,20483,1036,649,743,486,415,1771,2509,1818,2876,2969,2287,1729,758,437,21884,1054,713,738,471,545,1686,2308,1699,2569,2484,2569,2316,1775,957,55614,25128,2213,2284,2125,1288,1167,2327,1695,1485,2915,3415,2151,1390,478,195,30486,2269,2147,2106,1097,1577,2706,2274,2040,3681,3838,3240,1969,1114,428,228,97,6,0,0,0,41,0,0,0,0,18,22,3,7,0,131,6,17,0,16,0,10,0,0,22,9,34,17,0,0,2069,1102,128,38,69,38,74,188,36,18,239,72,52,131,19,0,967,85,37,26,10,11,96,133,56,217,115,61,72,45,3,95,78,0,0,0,0,3,0,6,69,0,0,0,0,0,0,17,0,0,0,0,0,0,17,0,0,0,0,0,0,0,4675,2641,239,143,227,100,66,259,449,283,425,125,233,32,42,18,2034,80,131,104,88,47,180,206,221,274,304,274,101,18,6,3645,1580,508,157,56,63,157,266,69,115,32,89,20,19,29,0,2065,393,306,141,93,98,196,112,33,272,259,98,52,5,7,36452,17550,743,473,475,386,365,1458,2163,1374,2538,2540,2189,1673,746,427,18902,814,507,499,360,404,1376,1820,1447,2053,2292,2382,2262,1760,926,13044,6649,798,583,625,243,168,661,837,818,783,611,332,88,74,28,6395,481,670,476,254,234,596,739,597,923,705,479,163,41,37,33.6,31.6,35.5,40.5,38.0,41.9,30.8,28.3,32.5,44.8,47.3,44.7,34.6,28.4,36.1,34.3,34.4,.,30.1,27.3,34.4,18.8,18.1,20.0,42.9,41.2,46.0,27.0,26.4,28.0,108693
40,DE,10,,,,,040C2US10,Delaware -- In metropolitan statistical area -- not in principal city,817761,397304,24252,24953,26262,15614,11171,5943,5649,16361,26169,24814,23304,24381,26840,29498,26381,10492,15335,9078,11725,15781,10693,6926,5682,420457,23543,25384,24369,15053,10847,6298,5233,15794,26096,25382,25189,25033,29217,31750,30962,10981,16175,10691,13271,17545,12643,9017,9984,600256,292547,15850,16438,17123,10522,7806,19194,18234,17128,33616,42892,42200,31111,15469,4964,307709,15094,16129,16055,10021,7766,18794,18267,17167,34840,45058,46183,34746,18695,8894,144867,69240,4841,4905,5666,3513,2166,5770,4952,4670,9041,9948,7568,4067,1529,604,75627,4346,5277,5116,3597,1868,5636,4963,5210,10251,11945,9200,5001,2304,913,2912,1400,68,9,74,37,22,106,100,65,177,266,265,144,57,10,1512,101,38,138,19,29,213,103,54,169,198,225,138,67,20,31574,14952,1037,939,887,542,374,1136,1303,1578,2647,1891,1357,831,359,71,16622,1125,1105,927,562,344,1218,1620,1653,2657,2096,1640,1162,414,99,211,116,0,0,0,0,0,2,1,9,0,54,11,10,4,25,95,0,0,13,0,0,20,9,0,27,11,15,0,0,0,16320,8135,713,671,707,275,279,747,959,875,1494,796,379,172,68,0,8185,815,923,531,355,411,781,704,751,1370,901,414,162,63,4,21621,10914,1743,1991,1805,725,524,998,620,489,710,491,428,249,133,8,10707,2062,1912,1589,499,429,663,430,547,908,758,441,298,117,54,555470,269258,13307,14196,14781,9355,6997,17092,16234,15120,29893,40747,40896,30515,15239,4886,286212,12648,13556,13844,8956,7126,17019,16521,15454,31614,43224,45111,34025,18425,8689,67662,34888,3646,3469,3672,1698,1221,3115,3042,3050,5543,3326,1833,819,360,94,32774,3807,3868,3152,1682,1154,2755,2615,2834,4824,2981,1575,885,370,272,40.1,38.7,41.4,43.5,42.1,44.9,35.0,32.9,36.8,43.4,47.2,39.5,34.2,34.0,34.4,48.0,48.8,37.2,27.3,27.7,26.7,14.6,14.8,14.4,45.6,44.3,46.7,25.5,25.8,24.9,817761
50,DE,10,001,,,,05000US10001,"Kent County, Delaware",169509,81716,5654,5476,6037,3428,2584,1819,1125,3913,5621,5076,4656,4750,5392,5631,4689,1728,2859,1856,2058,3051,2091,1168,1054,87793,5388,5686,5549,3217,2618,1239,1287,4009,5809,5388,5501,5170,5906,6116,5635,2006,3091,2063,2591,3384,2592,1889,1659,113925,55716,3295,3481,3549,2089,1289,4111,3954,3549,6500,8067,6920,5421,2615,876,58209,3249,3078,3404,1952,1179,3681,3963,3730,7081,8267,7619,6136,3553,1317,41211,19211,1448,1366,1757,987,883,1966,1306,1077,2138,2476,1869,1257,507,174,22000,1293,1630,1375,1089,1179,2216,1374,1354,2528,2846,2509,1523,796,288,1090,426,8,5,5,33,32,8,0,5,24,110,100,67,25,4,664,6,20,31,9,26,43,95,3,99,140,106,59,13,14,3545,1549,106,76,115,100,75,141,31,78,343,186,121,169,8,0,1996,32,94,124,44,26,151,150,83,373,270,284,237,93,35,116,91,0,0,0,0,3,0,7,78,0,0,0,0,3,0,25,0,0,0,0,0,11,0,0,0,0,14,0,0,0,2529,1283,127,34,109,19,32,215,182,116,241,34,99,18,57,0,1246,107,68,55,42,50,207,85,99,233,152,148,0,0,0,7093,3440,670,514,502,200,270,416,141,173,160,150,167,33,44,0,3653,701,796,560,81,158,226,142,119,357,347,52,83,26,5,107946,52714,3058,3207,3226,1949,1254,3727,3699,3234,6115,7692,6781,5313,2597,862,55232,2900,2841,3173,1832,1080,3386,3691,3399,6647,8074,7485,6028,3483,1213,11096,5536,626,482,597,257,126,654,518,504,726,500,315,124,93,14,5560,621,603,485,273,224,523,458,469,741,495,308,108,81,171,37.0,35.1,38.4,40.4,38.9,41.6,31.4,29.6,33.3,49.6,52.7,45.0,41.5,38.7,44.1,34.4,34.4,55.2,27.6,27.0,30.8,14.4,15.4,12.7,41.5,40.1,42.6,25.3,25.2,25.5,169509
50,DE,10,003,,,,05000US10003,"New Castle County, Delaware",549643,265915,16808,16860,17724,10835,8490,3963,4475,11863,19822,18115,16893,17349,18845,19704,17332,6311,9036,5011,6353,7462,5419,3798,3447,283728,16416,17446,16272,10381,8647,5129,4052,11193,19934,18667,17993,17733,20355,21309,20102,6718,9430,6107,7299,9135,7522,5577,6311,359848,175227,9475,9387,10159,6463,5432,12878,12653,11206,21668,26685,24427,14404,7492,2898,184621,9057,9907,9211,6178,5837,12984,12439,11052,21856,27539,25909,16822,10366,5464,133019,62479,4647,4895,4981,3224,2045,5085,4443,4287,8360,9068,6376,3351,1280,437,70540,4416,4930,4858,2929,1920,5145,4888,5097,9742,10918,8261,4473,2199,764,1112,581,52,0,38,0,24,58,27,36,92,120,92,33,3,6,531,18,22,107,19,3,53,0,23,68,55,99,35,29,0,27725,13391,941,758,788,450,363,1127,1267,1445,2358,1632,1163,706,322,71,14334,1138,913,810,471,291,1047,1557,1529,2307,1725,1290,832,361,63,153,86,0,0,0,0,0,2,0,0,0,54,11,10,0,9,67,0,0,13,0,0,9,26,0,11,8,0,0,0,0,14004,7158,536,545,649,254,289,430,976,790,1281,738,432,172,48,18,6846,476,730,478,338,327,562,661,645,1118,853,391,190,71,6,13782,6993,1157,1275,1109,444,337,721,456,351,483,252,178,150,72,8,6789,1311,944,795,446,269,574,363,321,624,566,300,189,73,14,328838,159337,7889,7955,8715,5632,4848,11279,11231,9793,19172,25080,23503,14055,7353,2832,169501,7614,8316,7624,5379,5312,11577,11056,9989,19480,26199,25078,16333,10171,5373,50568,25900,2466,2586,2605,1278,959,2317,2358,2414,3933,2652,1426,566,256,84,24668,2358,2691,2394,1252,922,2213,2123,2150,3664,2486,1336,690,292,97,37.5,36.1,38.8,41.0,39.8,42.1,34.2,32.3,36.1,39.1,38.2,39.8,33.2,33.4,32.9,45.8,48.6,27.4,28.8,29.1,28.5,16.2,14.9,17.4,42.9,41.6,44.3,26.5,26.8,26.3,549643
50,DE,10,005,,,,05000US10005,"Sussex County, Delaware",207302,100782,5920,5888,5721,3326,2020,1324,1052,3230,5490,5411,4949,5575,6345,7109,7027,3387,4604,3033,4456,6608,3969,2507,1831,106520,5626,5603,5663,3230,1860,1195,884,3211,5403,5376,5244,5616,6663,7627,8640,3518,5254,3721,4926,6808,4150,2887,3415,168850,82087,4116,4219,4158,2456,1500,3976,4136,4191,8324,11109,13140,13015,6120,1627,86763,3842,3857,4178,2362,1295,3815,4173,4084,8472,11736,15224,14104,6551,3070,26251,12678,959,928,1053,590,405,1046,898,791,1458,1819,1474,849,220,188,13573,906,864,989,676,346,981,975,799,1662,2019,1670,974,423,289,938,490,14,4,31,4,7,40,73,24,61,54,95,47,36,0,448,83,13,0,7,0,127,8,28,24,12,54,61,25,6,2373,1114,118,143,53,30,10,56,41,73,185,145,125,87,48,0,1259,40,135,19,57,38,116,46,97,194,216,127,165,5,4,37,17,0,0,0,0,0,0,0,0,0,0,0,0,1,16,20,0,0,0,0,0,0,0,0,16,3,1,0,0,0,4462,2335,289,235,176,102,24,361,250,252,397,149,81,14,5,0,2127,312,256,102,63,81,192,164,228,293,200,149,73,10,4,4391,2061,424,359,250,144,74,127,92,80,99,178,103,85,46,0,2330,443,478,375,65,100,59,37,140,199,104,187,78,23,42,155138,74757,3103,3507,3315,2160,1260,3544,3467,3467,7144,10515,12801,12820,6035,1619,80381,2948,2906,3546,2105,1138,3432,3594,3513,7540,11243,14930,13926,6531,3029,19042,10101,1352,984,1095,406,304,805,1003,950,1667,785,424,217,85,24,8941,1309,1244,749,411,242,615,773,812,1342,705,410,250,38,41,47.0,45.4,48.3,50.3,49.1,51.3,34.6,32.5,37.1,37.7,43.7,23.9,37.3,38.0,36.4,47.8,.,37.6,25.8,24.8,27.1,14.1,14.8,14.1,52.4,51.2,53.4,25.0,25.3,23.8,207302
