SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,FL,12,,,,,04000US12,Florida,19645772,9600009,552054,567479,582351,363538,247151,145187,135675,385515,641710,602467,579722,623074,659376,687625,626363,233764,332518,217826,299687,407275,305530,219362,184760,10045763,529003,543273,558377,345048,231468,136499,130195,368754,622134,602634,585089,639410,677305,723103,685728,265871,385321,253135,336242,470688,361107,281016,314363,14934702,7322691,363968,381591,400758,251198,167320,461377,460940,437755,900312,1060235,980790,810185,474653,171609,7612011,347415,365767,379556,236689,158690,435914,439022,423856,891035,1080678,1083670,916422,567433,285864,3171108,1522939,119889,118258,121868,76909,53644,140029,119101,106117,194203,197418,150590,79701,35609,9603,1648169,115615,113572,118006,73210,50242,140519,126374,117691,218298,219496,177761,100919,54845,21621,54569,28214,1522,1348,1722,1464,1148,1909,2002,1851,4079,4468,3542,2237,748,174,26355,1126,1456,1641,1266,738,1620,1575,1478,4223,4135,3722,2138,762,475,509085,233736,12243,15222,13375,8694,6853,18154,19113,18088,39722,32754,25163,16235,6507,1613,275349,13073,14977,15024,8351,5633,17755,20509,22403,48075,41359,34961,21312,8993,2924,11024,5283,695,263,403,174,201,493,474,406,775,637,407,310,28,17,5741,336,344,419,196,236,462,535,600,980,660,478,274,205,16,493202,250993,18841,17572,19081,11772,8640,24556,24091,25046,40579,31333,17406,7888,3282,906,242209,17813,17782,17454,11752,6984,19843,19111,22882,39003,32737,20226,10160,4713,1749,472082,236153,34896,33225,25144,13327,9345,19859,15989,13204,23126,20156,14747,8232,4065,838,235929,33625,29375,26277,13584,8945,19335,15008,13724,22885,21343,16102,8840,5172,1714,11013749,5399928,230039,246157,264788,168719,111870,313779,312070,289882,600330,788868,808574,700087,413828,150937,5613821,219338,234079,250515,158733,104542,299138,300112,283047,588427,796753,880518,773563,478194,246862,4660733,2301022,166681,166300,166392,101099,69200,183266,183220,180298,356609,317033,199027,122768,66870,22259,2359711,159642,161042,157071,95549,65286,166526,166483,171219,355914,330251,233005,158247,97471,42005,41.4,40.0,42.9,44.8,43.3,46.3,32.0,30.5,33.5,38.8,37.6,40.2,37.9,36.4,39.0,30.8,29.0,32.3,31.1,30.2,32.2,21.0,20.5,21.5,48.7,47.3,50.0,34.6,33.1,36.1,19645772
40,FL,12,,,,,04001US12,Florida -- Urban,17942468,8719178,509755,519558,531087,330287,227261,134000,124781,353089,590337,552547,528912,568470,595997,617708,561321,207430,294991,194426,265117,362956,275648,201015,172485,9223290,489125,499480,509853,314932,215327,127624,121105,343826,582030,559724,540677,589490,620460,657271,620084,238990,347494,228117,303420,426495,331726,260132,295908,13482441,6580504,329292,343048,359130,225055,151970,418174,420746,398529,816517,946492,866254,715797,429361,160139,6901937,315232,329372,340793,211409,145417,400470,404836,388472,811253,973533,967843,822796,521665,268846,3007768,1429557,116225,113476,116245,72268,50525,131832,110510,98311,179107,183668,140439,74312,33530,9109,1578211,111882,109838,112312,70307,48394,135392,122818,113036,209347,209315,168229,95286,51674,20381,45899,23764,1227,1055,1475,1349,1048,1724,1851,1581,3489,3694,2837,1689,667,78,22135,941,1228,1451,1066,647,1477,1264,1131,3684,3577,3053,1503,674,439,489607,225583,11865,14635,12753,8414,6559,17778,18817,17599,38126,31563,24220,15386,6269,1599,264024,12669,14330,14207,8005,5410,17355,20238,21382,46121,39453,33248,20184,8578,2844,10164,4824,685,187,375,174,150,467,421,384,736,597,316,287,28,17,5340,312,307,419,193,236,449,479,600,962,525,378,266,205,9,466606,235725,17618,16366,17849,10957,8134,23045,22914,23682,38092,29495,16112,7512,3143,806,230881,16758,16670,16605,11176,6663,19045,18040,21912,37492,31227,19355,9798,4408,1732,439983,219221,32843,30791,23260,12070,8875,18850,15078,12461,21315,18196,13564,7516,3665,737,220762,31331,27735,24066,12776,8560,18367,14355,13191,21308,20101,14462,8199,4654,1657,9689554,4727283,200526,212618,228071,145576,99104,276374,277322,256350,527620,684640,700207,608729,370206,139940,4962271,191548,202955,216657,136607,93609,267713,269501,251386,517660,696925,770030,683459,433850,230371,4496926,2210568,159840,159667,159627,96803,65953,175467,176021,172874,342073,305005,191320,119196,65062,21660,2286358,153734,154368,151140,91565,62488,161285,161806,166360,344896,320879,226490,154247,95657,41443,41.1,39.6,42.6,44.6,43.0,46.1,31.8,30.2,33.3,38.0,36.6,39.8,37.7,36.2,38.9,30.7,29.3,31.7,31.2,30.2,32.4,20.9,20.4,21.5,48.7,47.2,50.2,34.7,33.2,36.2,17942468
40,FL,12,,,,,04043US12,Florida -- Rural,1703304,880831,42299,47921,51264,33251,19890,11187,10894,32426,51373,49920,50810,54604,63379,69917,65042,26334,37527,23400,34570,44319,29882,18347,12275,822473,39878,43793,48524,30116,16141,8875,9090,24928,40104,42910,44412,49920,56845,65832,65644,26881,37827,25018,32822,44193,29381,20884,18455,1452261,742187,34676,38543,41628,26143,15350,43203,40194,39226,83795,113743,114536,94388,45292,11470,710074,32183,36395,38763,25280,13273,35444,34186,35384,79782,107145,115827,93626,45768,17018,163340,93382,3664,4782,5623,4641,3119,8197,8591,7806,15096,13750,10151,5389,2079,494,69958,3733,3734,5694,2903,1848,5127,3556,4655,8951,10181,9532,5633,3171,1240,8670,4450,295,293,247,115,100,185,151,270,590,774,705,548,81,96,4220,185,228,190,200,91,143,311,347,539,558,669,635,88,36,19478,8153,378,587,622,280,294,376,296,489,1596,1191,943,849,238,14,11325,404,647,817,346,223,400,271,1021,1954,1906,1713,1128,415,80,860,459,10,76,28,0,51,26,53,22,39,40,91,23,0,0,401,24,37,0,3,0,13,56,0,18,135,100,8,0,7,26596,15268,1223,1206,1232,815,506,1511,1177,1364,2487,1838,1294,376,139,100,11328,1055,1112,849,576,321,798,1071,970,1511,1510,871,362,305,17,32099,16932,2053,2434,1884,1257,470,1009,911,743,1811,1960,1183,716,400,101,15167,2294,1640,2211,808,385,968,653,533,1577,1242,1640,641,518,57,1324195,672645,29513,33539,36717,23143,12766,37405,34748,33532,72710,104228,108367,91358,43622,10997,651550,27790,31124,33858,22126,10933,31425,30611,31661,70767,99828,110488,90104,44344,16491,163807,90454,6841,6633,6765,4296,3247,7799,7199,7424,14536,12028,7707,3572,1808,599,73353,5908,6674,5931,3984,2798,5241,4677,4859,11018,9372,6515,4000,1814,562,44.9,43.6,46.1,46.7,45.8,47.7,36.5,35.2,39.3,43.7,44.7,41.9,41.5,40.2,42.8,44.3,27.9,50.9,29.7,29.9,29.4,21.7,21.5,22.2,48.3,47.4,49.0,31.5,31.6,31.3,1703304
40,FL,12,,,,,040A0US12,Florida -- In metropolitan or micropolitan statistical area,19298267,9410048,542837,556988,572890,357209,242621,142640,133390,376017,628129,588453,566324,609908,646085,673650,613272,229162,325441,213097,293794,399764,300192,215754,182431,9888219,520254,534107,548508,339840,228040,134881,128577,363551,613637,594333,576782,630000,667494,711624,673638,261341,378566,248784,330178,462336,355261,276779,309708,14664445,7179881,357099,373684,393540,246562,164457,451809,452115,428416,881456,1039817,960577,794258,466661,169430,7484564,340906,358529,372167,232538,156175,429601,432454,417032,877156,1062973,1064314,899953,558801,281965,3107837,1483915,118094,116543,120079,75581,52171,135804,115072,102223,187675,191813,146696,77860,34817,9487,1623922,114090,112227,116132,72357,49508,138586,124835,116384,215086,216572,174525,99008,53669,20943,52417,27157,1498,1237,1654,1420,1133,1862,1980,1765,3943,4282,3382,2087,740,174,25260,1076,1351,1593,1210,692,1585,1491,1424,4110,3937,3591,2006,747,447,507536,233020,12198,15213,13338,8679,6843,18073,19068,17967,39591,32685,25081,16176,6495,1613,274516,13063,14949,15008,8329,5629,17714,20461,22336,47989,41172,34788,21246,8931,2901,10789,5093,695,263,403,174,201,466,441,332,736,630,401,306,28,17,5696,324,344,419,196,221,462,535,600,980,656,464,274,205,16,489927,248726,18755,17313,18968,11640,8640,24404,23774,24820,40265,30935,17173,7870,3274,895,241201,17718,17706,17364,11747,6944,19763,18985,22874,38782,32599,20171,10136,4672,1740,465316,232256,34498,32735,24908,13153,9176,19629,15679,12930,22566,19573,14565,8098,3931,815,233060,33077,29001,25825,13463,8871,19298,14876,13683,22679,21209,15692,8675,5015,1696,10760802,5267783,223726,238835,258182,164339,109410,305143,304462,282079,583603,769530,789297,684456,405945,148776,5493019,213415,227745,244066,154841,102372,293108,293942,276654,575533,779540,861630,757443,469709,243021,4638639,2286890,165966,165447,165597,100698,68743,181994,181525,178390,353861,315440,197822,122430,66755,22222,2351749,158865,159987,156064,95215,64877,166203,165915,170776,354739,329612,232449,157847,97262,41938,41.4,40.0,42.9,44.8,43.3,46.3,32.0,30.4,33.5,38.7,37.5,40.2,37.9,36.4,39.0,30.9,28.2,32.4,31.1,30.2,32.2,20.9,20.4,21.5,48.7,47.3,50.1,34.6,33.1,36.1,19298267
40,FL,12,,,,,040C0US12,Florida -- In metropolitan statistical area,18941821,9222814,532001,546327,561303,350144,238033,139794,130598,368544,615185,576951,555163,597833,633895,659981,600167,223923,318894,209145,287660,391215,294124,212182,179752,9719007,509987,523531,538666,333929,224337,132978,126308,358265,603593,584684,567760,619366,656702,698999,661125,256484,371498,244249,324685,454115,349439,272482,305825,14374731,7028988,348950,365973,384775,241230,161231,442415,441952,419366,863375,1018325,939307,777296,457776,167017,7345743,333381,350250,365055,227944,153359,422127,424482,409343,861288,1043451,1043396,883468,549884,278315,3063793,1459781,116625,114840,118368,74459,51305,133307,112962,100688,184183,188582,144271,76649,34223,9319,1604012,112329,110912,114606,71593,48914,137181,123497,115155,212520,213943,172101,97745,52774,20742,50343,26110,1393,1213,1546,1366,1104,1780,1953,1684,3751,4190,3177,2052,740,161,24233,986,1306,1532,1161,673,1533,1428,1325,3939,3773,3514,1916,718,429,504872,231948,12141,15132,13253,8648,6785,18003,19018,17837,39392,32555,24970,16117,6484,1613,272924,12993,14880,14907,8276,5604,17667,20452,22211,47733,40897,34478,21043,8891,2892,10612,5019,685,252,403,161,194,444,438,332,736,630,401,298,28,17,5593,324,332,404,196,221,462,512,600,975,625,457,264,205,16,478781,242446,18188,16779,18486,11331,8351,23578,23281,24286,39342,30374,16642,7791,3198,819,236335,17224,17142,16769,11570,6793,19494,18507,22447,38295,32094,19708,10032,4520,1740,458689,228522,34019,32138,24472,12949,9063,19409,15581,12758,22217,19220,14216,7817,3857,806,230167,32750,28709,25393,13189,8773,19087,14715,13603,22376,20918,15453,8581,4929,1691,10535966,5153385,218573,234045,252418,160792,107332,298891,297967,276126,571090,752499,770563,668838,397670,146581,5382581,208633,222453,239382,151636,100664,287749,288092,270996,563909,763156,842752,742101,461350,239708,4559750,2242572,162217,161848,161907,98557,67259,177963,177225,174633,347078,310295,194652,120921,66089,21928,2317178,155436,156370,152834,93523,63581,163703,163234,168262,349774,325785,229934,156589,96552,41601,41.4,40.0,42.9,44.8,43.3,46.3,31.9,30.3,33.5,38.9,37.5,40.4,37.8,36.4,38.9,31.0,28.9,32.4,31.2,30.2,32.3,20.9,20.4,21.5,48.7,47.3,50.1,34.7,33.2,36.2,18941821
40,FL,12,,,,,040C1US12,Florida -- In metropolitan statistical area -- in principal city,5204484,2535097,152760,147916,139978,87338,71946,45741,41105,114840,196579,174992,160244,162338,168233,174626,159863,58845,84926,55895,72131,96261,70306,51872,46362,2669387,146471,139940,138079,83228,73553,44645,42060,115131,197476,175439,158146,163579,170274,182653,175661,68624,95243,63091,83774,110580,87986,69078,84676,3663868,1803047,88791,86859,83366,52754,44500,130556,135455,122210,232464,254243,235784,188355,105788,41922,1860821,84504,82280,82151,49875,45620,126435,131027,115702,216352,252273,258042,209390,132234,74936,1114637,523307,45499,42776,42289,25694,19606,50548,40701,34736,61056,65335,52043,27244,12503,3277,591330,42790,40101,40349,24408,20285,57072,48490,41996,74511,74466,62541,36739,19744,7838,14222,7486,369,233,421,478,360,684,510,703,1085,1196,739,496,181,31,6736,259,317,435,265,149,604,399,518,1245,1000,838,417,238,52,143154,67079,3082,3609,3242,2029,2619,6847,6573,5678,11712,8791,6467,4168,1788,474,76075,3357,4115,4009,2214,2070,5513,6794,6817,12655,10830,9113,5487,2279,822,3050,1449,168,50,113,32,61,209,248,212,159,120,34,28,15,0,1601,107,114,29,48,107,302,146,142,182,227,108,63,26,0,128156,64881,4249,4005,4164,2323,2253,6952,7273,6901,10340,8351,4636,2078,984,372,63275,4707,4025,3677,2794,2106,5580,6172,5878,10087,8912,4807,2827,1197,506,137397,67848,10602,10384,6383,4028,2547,5890,5819,4552,5766,4823,3931,1918,919,286,69549,10747,8988,7429,3624,3216,6330,4448,4386,6693,5219,4079,2522,1346,522,2771285,1361867,57736,57968,55760,36605,32513,95605,97533,85105,162110,195504,196997,162403,90294,35734,1409418,56012,53562,54910,34006,33330,95697,95568,81858,151102,191246,212703,176231,109207,63986,1090242,541740,39725,36555,34810,20340,15360,45107,48136,46434,84499,71025,46117,29308,17444,6880,548502,37712,35745,33618,19922,15615,39986,44028,41795,78853,73384,53048,37649,25247,11900,39.3,37.8,40.6,43.3,41.8,44.8,30.9,29.3,32.4,36.3,34.8,36.9,36.1,34.8,37.0,26.7,26.5,27.5,31.4,30.8,31.8,20.2,20.0,20.5,46.4,45.0,47.8,34.4,33.1,35.7,5204484
40,FL,12,,,,,040C2US12,Florida -- In metropolitan statistical area -- not in principal city,13737337,6687717,379241,398411,421325,262806,166087,94053,89493,253704,418606,401959,394919,435495,465662,485355,440304,165078,233968,153250,215529,294954,223818,160310,133390,7049620,363516,383591,400587,250701,150784,88333,84248,243134,406117,409245,409614,455787,486428,516346,485464,187860,276255,181158,240911,343535,261453,203404,221149,10710863,5225941,260159,279114,301409,188476,116731,311859,306497,297156,630911,764082,703523,588941,351988,125095,5484922,248877,267970,282904,178069,107739,295692,293455,293641,644936,791178,785354,674078,417650,203379,1949156,936474,71126,72064,76079,48765,31699,82759,72261,65952,123127,123247,92228,49405,21720,6042,1012682,69539,70811,74257,47185,28629,80109,75007,73159,138009,139477,109560,61006,33030,12904,36121,18624,1024,980,1125,888,744,1096,1443,981,2666,2994,2438,1556,559,130,17497,727,989,1097,896,524,929,1029,807,2694,2773,2676,1499,480,377,361718,164869,9059,11523,10011,6619,4166,11156,12445,12159,27680,23764,18503,11949,4696,1139,196849,9636,10765,10898,6062,3534,12154,13658,15394,35078,30067,25365,15556,6612,2070,7562,3570,517,202,290,129,133,235,190,120,577,510,367,270,13,17,3992,217,218,375,148,114,160,366,458,793,398,349,201,179,16,350625,177565,13939,12774,14322,9008,6098,16626,16008,17385,29002,22023,12006,5713,2214,447,173060,12517,13117,13092,8776,4687,13914,12335,16569,28208,23182,14901,7205,3323,1234,321292,160674,23417,21754,18089,8921,6516,13519,9762,8206,16451,14397,10285,5899,2938,520,160618,22003,19721,17964,9565,5557,12757,10267,9217,15683,15699,11374,6059,3583,1169,7764681,3791518,160837,176077,196658,124187,74819,203286,200434,191021,408980,556995,573566,506435,307376,110847,3973163,152621,168891,184472,117630,67334,192052,192524,189138,412807,571910,630049,565870,352143,175722,3469508,1700832,122492,125293,127097,78217,51899,132856,129089,128199,262579,239270,148535,91613,48645,15048,1768676,117724,120625,119216,73601,47966,123717,119206,126467,270921,252401,176886,118940,71305,29701,42.2,40.7,43.7,45.3,43.8,46.8,32.5,30.9,34.1,40.6,39.6,41.7,38.6,37.0,39.6,34.1,33.3,34.4,31.1,30.0,32.5,21.3,20.6,22.2,49.5,48.2,50.7,34.8,33.2,36.4,13737337
40,FL,12,,,,,040E0US12,Florida -- In micropolitan statistical area,356446,187234,10836,10661,11587,7065,4588,2846,2792,7473,12944,11502,11161,12075,12190,13669,13105,5239,6547,3952,6134,8549,6068,3572,2679,169212,10267,10576,9842,5911,3703,1903,2269,5286,10044,9649,9022,10634,10792,12625,12513,4857,7068,4535,5493,8221,5822,4297,3883,289714,150893,8149,7711,8765,5332,3226,9394,10163,9050,18081,21492,21270,16962,8885,2413,138821,7525,8279,7112,4594,2816,7474,7972,7689,15868,19522,20918,16485,8917,3650,44044,24134,1469,1703,1711,1122,866,2497,2110,1535,3492,3231,2425,1211,594,168,19910,1761,1315,1526,764,594,1405,1338,1229,2566,2629,2424,1263,895,201,2074,1047,105,24,108,54,29,82,27,81,192,92,205,35,0,13,1027,90,45,61,49,19,52,63,99,171,164,77,90,29,18,2664,1072,57,81,85,31,58,70,50,130,199,130,111,59,11,0,1592,70,69,101,53,25,47,9,125,256,275,310,203,40,9,177,74,10,11,0,13,7,22,3,0,0,0,0,8,0,0,103,0,12,15,0,0,0,23,0,5,31,7,10,0,0,11146,6280,567,534,482,309,289,826,493,534,923,561,531,79,76,76,4866,494,564,595,177,151,269,478,427,487,505,463,104,152,0,6627,3734,479,597,436,204,113,220,98,172,349,353,349,281,74,9,2893,327,292,432,274,98,211,161,80,303,291,239,94,86,5,224836,114398,5153,4790,5764,3547,2078,6252,6495,5953,12513,17031,18734,15618,8275,2195,110438,4782,5292,4684,3205,1708,5359,5850,5658,11624,16384,18878,15342,8359,3313,78889,44318,3749,3599,3690,2141,1484,4031,4300,3757,6783,5145,3170,1509,666,294,34571,3429,3617,3230,1692,1296,2500,2681,2514,4965,3827,2515,1258,710,337,41.4,40.1,42.8,43.8,42.8,45.0,33.3,31.7,35.1,35.6,38.0,35.4,42.0,33.3,46.0,23.9,19.4,39.3,26.2,25.7,27.2,21.2,21.3,21.2,48.8,47.8,49.8,28.4,29.1,27.5,356446
40,FL,12,,,,,040E1US12,Florida -- In micropolitan statistical area -- in principal city,73281,36052,2161,2057,2593,1321,848,495,485,1712,2612,2597,2870,2181,2313,2512,2392,986,995,610,816,1216,924,710,646,37229,2409,2381,2304,1205,763,400,646,1266,2469,2511,2233,2657,2498,2479,2430,1168,1380,668,1006,1171,952,1069,1164,51348,25780,1298,1180,1601,761,325,1673,1945,1970,3770,3853,3389,2090,1410,515,25568,1287,1363,1293,747,488,1532,1787,1790,3315,3311,3717,2253,1636,1049,16741,7640,640,682,674,305,320,779,563,442,1028,759,660,464,224,100,9101,846,757,686,342,211,678,629,565,1254,1184,944,543,356,106,370,231,19,0,0,0,3,9,0,32,60,0,97,0,0,11,139,38,0,20,11,0,9,0,0,0,36,21,4,0,0,680,250,13,27,0,11,0,5,10,64,54,29,14,23,0,0,430,29,39,49,0,0,30,6,27,73,68,88,12,0,9,18,8,0,0,0,0,0,0,0,0,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2478,1368,114,101,137,125,159,190,90,62,61,101,174,34,0,20,1110,59,162,151,0,2,0,41,129,153,248,121,15,29,0,1646,775,77,67,181,119,41,36,4,27,78,83,39,23,0,0,871,150,60,105,105,62,63,6,0,95,130,87,8,0,0,38730,19402,917,680,947,404,256,1203,1541,1303,2741,3046,2786,1921,1209,448,19328,723,921,692,587,250,1042,1535,1238,2327,2519,3129,2004,1409,952,15611,7967,514,621,818,482,228,675,507,758,1166,918,783,209,201,87,7644,684,604,881,171,244,490,308,687,1179,1051,728,264,256,97,38.0,36.6,40.0,41.4,40.2,42.5,31.0,29.3,33.2,38.7,38.9,22.1,39.3,33.4,41.6,.,.,.,25.5,21.6,37.4,17.3,16.4,18.3,45.1,43.1,46.5,31.9,30.6,33.1,73281
40,FL,12,,,,,040E2US12,Florida -- In micropolitan statistical area -- not in principal city,283165,151182,8675,8604,8994,5744,3740,2351,2307,5761,10332,8905,8291,9894,9877,11157,10713,4253,5552,3342,5318,7333,5144,2862,2033,131983,7858,8195,7538,4706,2940,1503,1623,4020,7575,7138,6789,7977,8294,10146,10083,3689,5688,3867,4487,7050,4870,3228,2719,238366,125113,6851,6531,7164,4571,2901,7721,8218,7080,14311,17639,17881,14872,7475,1898,113253,6238,6916,5819,3847,2328,5942,6185,5899,12553,16211,17201,14232,7281,2601,27303,16494,829,1021,1037,817,546,1718,1547,1093,2464,2472,1765,747,370,68,10809,915,558,840,422,383,727,709,664,1312,1445,1480,720,539,95,1704,816,86,24,108,54,26,73,27,49,132,92,108,35,0,2,888,52,45,41,38,19,43,63,99,171,128,56,86,29,18,1984,822,44,54,85,20,58,65,40,66,145,101,97,36,11,0,1162,41,30,52,53,25,17,3,98,183,207,222,191,40,0,159,66,10,11,0,13,7,22,3,0,0,0,0,0,0,0,93,0,12,15,0,0,0,23,0,5,31,7,0,0,0,8668,4912,453,433,345,184,130,636,403,472,862,460,357,45,76,56,3756,435,402,444,177,149,269,437,298,334,257,342,89,123,0,4981,2959,402,530,255,85,72,184,94,145,271,270,310,258,74,9,2022,177,232,327,169,36,148,155,80,208,161,152,86,86,5,186106,94996,4236,4110,4817,3143,1822,5049,4954,4650,9772,13985,15948,13697,7066,1747,91110,4059,4371,3992,2618,1458,4317,4315,4420,9297,13865,15749,13338,6950,2361,63278,36351,3235,2978,2872,1659,1256,3356,3793,2999,5617,4227,2387,1300,465,207,26927,2745,3013,2349,1521,1052,2010,2373,1827,3786,2776,1787,994,454,240,42.3,41.1,43.8,44.4,43.4,45.6,34.5,33.6,36.4,35.1,30.3,35.5,42.3,33.3,47.5,23.5,15.9,28.6,26.6,29.1,25.0,24.2,24.6,23.0,49.6,48.8,50.4,27.7,28.9,26.3,283165
