SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,GA,13,,,,,04000US13,Georgia,10006693,4883331,338979,362147,356404,211908,150356,80363,74898,214032,342885,333159,325121,348120,343559,338424,294734,106060,148437,88490,110224,135107,88135,53792,37997,5123362,326326,340071,351833,203412,142057,75331,71845,206526,343115,348125,345251,363703,358754,359362,325653,118509,166767,101143,125571,164091,115830,84961,85126,6025691,2988054,180782,195883,195198,116408,81221,205263,201249,194613,406257,439237,377257,250797,112482,31407,3037637,171761,183680,188477,110025,75188,189315,191181,191565,401200,437524,400044,281215,151362,65100,3096757,1452019,113067,120031,121077,74252,53327,127606,106292,101010,197044,193614,144117,69923,24844,5815,1644738,109572,112039,123548,72689,52424,131153,118130,120306,238051,231091,179729,94205,43550,18251,25887,13397,743,892,890,669,458,1052,834,767,1776,2128,1989,919,247,33,12490,720,1082,823,550,410,816,633,1132,1952,2078,1339,644,225,86,360448,173779,11492,12368,12115,6620,5756,13696,14070,14711,31560,23789,15744,8401,3009,448,186669,11121,12429,12268,6719,5054,12441,15014,16635,36289,26085,18441,9561,3666,946,4704,2378,179,261,186,128,88,217,97,174,381,300,282,45,40,0,2326,172,139,192,167,69,210,294,221,326,296,91,113,0,36,279403,151150,14651,16924,13666,6949,5489,13276,14586,16628,26608,14861,5189,1820,458,45,128253,15058,14689,13154,6504,4143,10771,11189,11501,20946,12460,5256,1831,549,202,213803,102554,18065,15788,13272,6882,4017,8183,5757,5256,9615,8054,4653,1916,847,249,111249,17922,16013,13371,6758,4769,8996,6674,6765,10190,8582,6029,3236,1439,505,5460401,2689569,147402,164152,168977,103041,71489,179694,173789,166184,356738,409172,362392,245499,110293,30747,2770832,140659,154264,161655,97517,67119,169823,169735,167914,357587,411732,386533,274322,148023,63949,915120,486321,53570,53514,43420,22502,16717,41496,45029,47455,81107,48360,21661,7750,2980,760,428799,51416,49046,42859,21042,13649,33302,34681,37862,68618,40465,20503,9593,4235,1528,35.9,34.6,37.2,39.4,38.2,40.6,32.5,30.5,34.3,36.3,36.9,35.6,34.6,33.7,35.5,29.7,31.0,29.1,25.8,26.5,24.9,17.7,16.7,18.6,41.2,40.1,42.3,25.9,26.2,25.5,10006693
40,GA,13,,,,,04001US13,Georgia -- Urban,7563590,3659002,267992,280828,272242,159365,117594,63916,59683,170061,274471,263812,251047,263790,255123,243614,206556,73058,100724,58557,71708,86850,55875,35517,26619,3904588,259490,263383,270755,155185,115367,60230,58767,166811,277347,280400,273383,280210,269586,263189,235473,83747,118995,69685,86351,111862,79312,61105,63955,4072647,2010850,127948,133970,129998,75678,56422,149201,149281,141604,280876,290575,237333,149011,67699,21254,2061797,121539,125785,125991,72727,54898,137968,139635,137841,276868,288718,256851,176497,99199,47280,2711856,1258775,101487,107166,107570,65408,47330,111849,93706,88454,171271,164490,118771,56845,19756,4672,1453081,98759,99501,109992,64706,47807,118379,107283,109677,213797,200380,153788,77967,35971,15074,20752,10768,716,826,639,503,337,884,699,706,1488,1565,1517,712,143,33,9984,615,921,680,361,316,705,508,915,1521,1621,1086,472,187,76,339477,164332,10743,11651,11246,6194,5469,13054,13500,14041,29977,22476,14817,7797,2940,427,175145,10315,11580,11528,6223,4733,11765,14396,15847,34064,24233,17201,8925,3442,893,3801,1876,142,227,160,112,65,206,70,174,334,152,206,0,28,0,1925,172,104,157,148,69,196,241,193,255,199,80,78,0,33,239636,128838,12552,14360,11836,5954,4602,11297,12171,14219,22687,13008,4395,1445,279,33,110798,12755,12612,11347,5525,3612,9208,9597,10027,18270,10861,4750,1512,520,202,175421,83563,14404,12628,10793,5516,3369,7169,5044,4614,8204,6471,3299,1305,547,200,91858,15335,12880,11060,5495,3932,7587,5687,5900,8818,6763,4459,2447,1098,397,3577732,1749586,98294,105991,106819,63807,48295,126729,124707,116731,237570,264671,224788,144671,65871,20642,1828146,94587,100390,102373,61769,47915,120747,120581,116529,237976,266273,245545,170945,96231,46285,797597,422843,47206,46487,38114,19637,14110,35998,39626,41326,70540,41944,18319,6418,2427,691,374754,44393,42300,37669,18438,11723,29207,30499,33896,60851,35091,17615,7869,3831,1372,34.5,33.0,35.8,37.8,36.4,39.2,31.9,29.7,33.6,35.1,35.3,34.8,34.5,33.7,35.4,27.5,29.0,26.7,25.9,26.4,25.2,17.9,17.0,18.6,40.2,38.7,41.4,25.9,26.1,25.6,7563590
40,GA,13,,,,,04043US13,Georgia -- Rural,2443103,1224329,70987,81319,84162,52543,32762,16447,15215,43971,68414,69347,74074,84330,88436,94810,88178,33002,47713,29933,38516,48257,32260,18275,11378,1218774,66836,76688,81078,48227,26690,15101,13078,39715,65768,67725,71868,83493,89168,96173,90180,34762,47772,31458,39220,52229,36518,23856,21171,1953044,977204,52834,61913,65200,40730,24799,56062,51968,53009,125381,148662,139924,101786,44783,10153,975840,50222,57895,62486,37298,20290,51347,51546,53724,124332,148806,143193,104718,52163,17820,384901,193244,11580,12865,13507,8844,5997,15757,12586,12556,25773,29124,25346,13078,5088,1143,191657,10813,12538,13556,7983,4617,12774,10847,10629,24254,30711,25941,16238,7579,3177,5135,2629,27,66,251,166,121,168,135,61,288,563,472,207,104,0,2506,105,161,143,189,94,111,125,217,431,457,253,172,38,10,20971,9447,749,717,869,426,287,642,570,670,1583,1313,927,604,69,21,11524,806,849,740,496,321,676,618,788,2225,1852,1240,636,224,53,903,502,37,34,26,16,23,11,27,0,47,148,76,45,12,0,401,0,35,35,19,0,14,53,28,71,97,11,35,0,3,39767,22312,2099,2564,1830,995,887,1979,2415,2409,3921,1853,794,375,179,12,17455,2303,2077,1807,979,531,1563,1592,1474,2676,1599,506,319,29,0,38382,18991,3661,3160,2479,1366,648,1014,713,642,1411,1583,1354,611,300,49,19391,2587,3133,2311,1263,837,1409,987,865,1372,1819,1570,789,341,108,1882669,939983,49108,58161,62158,39234,23194,52965,49082,49453,119168,144501,137604,100828,44422,10105,942686,46072,53874,59282,35748,19204,49076,49154,51385,119611,145459,140988,103377,51792,17664,117523,63478,6364,7027,5306,2865,2607,5498,5403,6129,10567,6416,3342,1332,553,69,54045,7023,6746,5190,2604,1926,4095,4182,3966,7767,5374,2888,1724,404,156,41.1,40.2,42.2,42.6,41.8,43.3,38.2,36.2,40.5,40.7,45.6,37.4,35.6,33.5,36.7,39.7,45.6,39.1,25.4,27.1,22.7,17.1,15.4,18.7,43.2,42.5,44.0,25.8,26.9,23.9,2443103
40,GA,13,,,,,040A0US13,Georgia -- In metropolitan or micropolitan statistical area,9218571,4485918,316096,336668,331251,197008,139325,74860,69397,197505,317345,308153,299944,322496,316808,309997,267911,95842,133421,78293,97060,118990,77320,46970,33258,4732653,304059,317399,326366,189202,131737,70126,67070,193646,322260,327028,323643,339445,334090,330943,297483,107247,150890,90647,111791,144679,102277,75249,75376,5480603,2714931,166983,180211,179107,106601,74309,189226,185279,179514,371956,400296,338124,218481,97464,27380,2765672,158735,170051,172260,100767,69017,174527,177132,177593,369893,400309,358792,246484,132405,57707,2888474,1347294,106372,112873,113281,69913,49899,118013,98902,92709,183160,179225,132063,63350,22396,5138,1541180,102786,104724,115843,68492,48938,124408,112224,114267,225551,216429,166370,85794,39396,15958,24350,12559,724,875,824,632,456,991,822,725,1657,1937,1886,805,192,33,11791,675,1080,823,521,393,697,633,1119,1775,2002,1238,554,205,76,356334,171772,11436,12161,11985,6580,5682,13458,13874,14557,31283,23472,15597,8234,3009,444,184562,10941,12305,12137,6645,4933,12280,14907,16467,35869,25824,18252,9425,3631,946,4603,2317,179,261,186,128,88,212,61,172,376,287,282,45,40,0,2286,172,139,192,140,69,210,294,221,320,296,84,113,0,36,261117,140175,13698,15663,12984,6647,5040,12158,12908,15398,24733,13877,4854,1753,417,45,120942,13921,13876,12284,6079,3766,10146,10569,10837,19853,11974,5106,1799,530,202,203090,96870,16704,14624,12884,6507,3851,7704,5499,5078,9275,7711,4368,1675,772,218,106220,16829,15224,12827,6558,4621,8574,6501,6524,9827,8199,5778,2948,1359,451,4937997,2429967,134568,149838,153693,93698,65020,164953,158982,152597,325408,371792,323890,213370,95411,26747,2508030,128690,141800,146160,88810,61253,155679,156528,154705,327755,375207,345842,239841,129155,56605,869675,458749,51221,50485,41792,21516,15773,38727,41989,44548,75693,45460,20543,7456,2822,724,410926,49022,46842,41210,20054,12851,31940,33093,36405,65802,39105,19724,9262,4137,1479,35.6,34.3,36.8,38.9,37.7,40.1,32.3,30.2,34.1,35.5,35.9,34.8,34.6,33.7,35.6,29.7,31.2,29.2,25.9,26.4,25.2,17.8,16.8,18.7,40.8,39.7,41.9,25.8,26.0,25.5,9218571
40,GA,13,,,,,040C0US13,Georgia -- In metropolitan statistical area,8233886,4001723,283208,301797,297282,176679,122658,65702,60532,174002,285274,277438,271767,290406,284724,277686,237072,85210,117929,68882,84581,102665,66949,40642,28638,4232163,272123,283916,293566,169984,115672,61528,58864,172075,291400,297110,294182,307298,301659,297111,265128,95091,133806,79431,98572,125264,88415,64614,65354,4799194,2378354,146730,158816,156881,93357,63651,162652,163413,159127,329839,353949,295471,187751,83258,23459,2420840,139132,149152,151512,88455,59192,149746,156716,157428,327900,353657,313765,211742,112829,49614,2636681,1226782,97225,102737,104176,64092,44912,105767,90307,84750,168875,163483,119243,56657,20097,4461,1409899,93237,94954,106015,62859,43604,113117,103400,106283,209368,199360,151386,77431,34758,14127,22297,11477,721,789,743,564,440,922,726,661,1528,1732,1697,749,172,33,10820,673,1034,823,433,324,584,614,1047,1704,1736,1127,487,171,63,345512,166669,11052,11815,11458,6335,5501,12913,13540,14221,30493,22827,15133,7987,2950,444,178843,10621,11932,11723,6421,4673,11818,14596,15987,34660,25083,17770,9157,3480,922,4244,2080,179,261,165,128,65,212,37,172,366,233,195,27,40,0,2164,172,139,192,119,69,196,269,212,285,296,84,95,0,36,238050,127506,12165,14015,12123,6337,4575,10672,12019,13787,22380,12971,4547,1519,351,45,110544,12404,12642,11151,5598,3478,9016,9673,9914,18435,11182,4738,1603,530,180,187908,88855,15136,13364,11736,5866,3514,7098,5232,4720,8692,7215,3925,1438,723,196,99053,15884,14063,12150,6099,4332,7990,6132,6239,9128,7456,5155,2752,1261,412,4299814,2116818,117017,130964,133790,81638,55294,140511,139651,134113,286709,327693,282292,182898,81393,22855,2182996,111700,123807,127271,77398,52151,132741,137511,136157,288456,330272,301659,205496,109779,48598,801187,421484,46944,46366,38297,19839,14384,34990,38467,41022,69753,42269,19017,6899,2542,695,379703,44958,42309,38218,18582,11784,28991,30718,33898,61444,36541,18374,8607,3927,1352,35.5,34.2,36.7,38.8,37.7,40.0,32.4,30.2,34.1,35.1,35.8,34.1,34.7,33.8,35.5,29.2,29.5,29.2,26.1,26.5,25.6,17.9,17.1,18.6,40.8,39.7,41.9,26.0,26.1,25.8,8233886
40,GA,13,,,,,040C1US13,Georgia -- In metropolitan statistical area -- in principal city,1940614,938714,68605,63760,57535,33314,36533,20754,18733,54153,86892,75068,62543,62857,57754,57983,50292,18131,25574,14900,16941,22478,14442,10763,8709,1001900,67691,59645,60226,33054,37674,20476,19850,53070,86215,77047,64573,61180,59434,63168,57650,20903,30220,17357,23047,28743,22002,17693,20982,938976,470042,28663,25836,21163,12965,16472,46323,45580,39632,66160,62184,50821,31678,16146,6419,468934,26784,23573,23255,13152,17348,41473,41369,35356,59315,57625,53930,37899,23744,14111,839608,388592,31725,30930,30345,17183,15426,37776,32401,27673,47561,46561,39519,21102,8267,2123,451016,31642,29001,31358,16750,16317,43776,36181,34255,54993,56996,49590,28695,14985,6477,5228,2711,155,102,86,78,122,234,174,214,457,425,394,184,53,33,2517,134,73,234,100,163,182,112,166,260,551,371,86,38,47,67768,34016,2101,1931,1893,908,2144,4409,4345,3897,5666,3247,1901,967,530,77,33752,1965,1937,1235,863,1638,3619,4014,3754,5709,3847,2867,1536,608,160,1743,1007,47,183,96,108,62,103,0,126,218,13,51,0,0,0,736,112,8,108,29,62,20,71,88,87,113,38,0,0,0,40237,20757,2056,1830,1794,905,1313,2217,2693,2105,3202,1764,631,109,111,27,19480,1993,1774,1785,911,657,1750,2393,1698,3234,2115,660,317,77,116,47054,21589,3858,2948,2158,1167,994,2578,1699,1421,2136,1543,680,279,98,30,25465,5061,3279,2251,1249,1489,2576,2075,1730,2155,1355,1317,614,243,71,829532,411524,22311,20655,16737,10840,14131,40601,38873,33881,55978,56431,48136,30861,15831,6258,418008,21256,18482,18639,10469,15434,36806,36605,30507,51381,53173,51379,36883,23192,13802,166151,87291,9637,8319,6673,3387,3946,8768,10178,8592,14260,8211,3562,1070,473,215,78860,9585,7901,7069,3861,2886,7615,7787,6949,12072,6671,3757,1517,705,485,32.9,31.8,34.0,35.8,34.8,37.0,31.4,29.8,32.7,38.1,38.1,38.2,30.4,28.9,31.8,22.3,20.3,25.9,26.0,25.4,27.0,19.2,19.4,19.1,37.7,36.4,39.1,25.9,26.1,25.4,1940614
40,GA,13,,,,,040C2US13,Georgia -- In metropolitan statistical area -- not in principal city,6293272,3063009,214603,238037,239747,143365,86125,44948,41799,119849,198382,202370,209224,227549,226970,219703,186780,67079,92355,53982,67640,80187,52507,29879,19929,3230263,204432,224271,233340,136930,77998,41052,39014,119005,205185,220063,229609,246118,242225,233943,207478,74188,103586,62074,75525,96521,66413,46921,44372,3860218,1908312,118067,132980,135718,80392,47179,116329,117833,119495,263679,291765,244650,156073,67112,17040,1951906,112348,125579,128257,75303,41844,108273,115347,122072,268585,296032,259835,173843,89085,35503,1797073,838190,65500,71807,73831,46909,29486,67991,57906,57077,121314,116922,79724,35555,11830,2338,958883,61595,65953,74657,46109,27287,69341,67219,72028,154375,142364,101796,48736,19773,7650,17069,8766,566,687,657,486,318,688,552,447,1071,1307,1303,565,119,0,8303,539,961,589,333,161,402,502,881,1444,1185,756,401,133,16,277744,132653,8951,9884,9565,5427,3357,8504,9195,10324,24827,19580,13232,7020,2420,367,145091,8656,9995,10488,5558,3035,8199,10582,12233,28951,21236,14903,7621,2872,762,2501,1073,132,78,69,20,3,109,37,46,148,220,144,27,40,0,1428,60,131,84,90,7,176,198,124,198,183,46,95,0,36,197813,106749,10109,12185,10329,5432,3262,8455,9326,11682,19178,11207,3916,1410,240,18,91064,10411,10868,9366,4687,2821,7266,7280,8216,15201,9067,4078,1286,453,64,140854,67266,11278,10416,9578,4699,2520,4520,3533,3299,6556,5672,3245,1159,625,166,73588,10823,10784,9899,4850,2843,5414,4057,4509,6973,6101,3838,2138,1018,341,3470282,1705294,94706,110309,117053,70798,41163,99910,100778,100232,230731,271262,234156,152037,65562,16597,1764988,90444,105325,108632,66929,36717,95935,100906,105650,237075,277099,250280,168613,86587,34796,635036,334193,37307,38047,31624,16452,10438,26222,28289,32430,55493,34058,15455,5829,2069,480,300843,35373,34408,31149,14721,8898,21376,22931,26949,49372,29870,14617,7090,3222,867,36.3,35.1,37.5,39.6,38.4,40.7,32.9,30.5,34.7,34.1,34.9,32.6,36.2,35.7,36.6,31.4,36.3,29.6,26.1,26.8,25.1,17.4,16.5,18.3,41.5,40.4,42.4,26.0,26.1,26.0,6293272
40,GA,13,,,,,040E0US13,Georgia -- In micropolitan statistical area,984685,484195,32888,34871,33969,20329,16667,9158,8865,23503,32071,30715,28177,32090,32084,32311,30839,10632,15492,9411,12479,16325,10371,6328,4620,500490,31936,33483,32800,19218,16065,8598,8206,21571,30860,29918,29461,32147,32431,33832,32355,12156,17084,11216,13219,19415,13862,10635,10022,681409,336577,20253,21395,22226,13244,10658,26574,21866,20387,42117,46347,42653,30730,14206,3921,344832,19603,20899,20748,12312,9825,24781,20416,20165,41993,46652,45027,34742,19576,8093,251793,120512,9147,10136,9105,5821,4987,12246,8595,7959,14285,15742,12820,6693,2299,677,131281,9549,9770,9828,5633,5334,11291,8824,7984,16183,17069,14984,8363,4638,1831,2053,1082,3,86,81,68,16,69,96,64,129,205,189,56,20,0,971,2,46,0,88,69,113,19,72,71,266,111,67,34,13,10822,5103,384,346,527,245,181,545,334,336,790,645,464,247,59,0,5719,320,373,414,224,260,462,311,480,1209,741,482,268,151,24,359,237,0,0,21,0,23,0,24,0,10,54,87,18,0,0,122,0,0,0,21,0,14,25,9,35,0,0,18,0,0,23067,12669,1533,1648,861,310,465,1486,889,1611,2353,906,307,234,66,0,10398,1517,1234,1133,481,288,1130,896,923,1418,792,368,196,0,22,15182,8015,1568,1260,1148,641,337,606,267,358,583,496,443,237,49,22,7167,945,1161,677,459,289,584,369,285,699,743,623,196,98,39,638183,313149,17551,18874,19903,12060,9726,24442,19331,18484,38699,44099,41598,30472,14018,3892,325034,16990,17993,18889,11412,9102,22938,19017,18548,39299,44935,44183,34345,19376,8007,68488,37265,4277,4119,3495,1677,1389,3737,3522,3526,5940,3191,1526,557,280,29,31223,4064,4533,2992,1472,1067,2949,2375,2507,4358,2564,1350,655,210,127,36.4,34.8,37.9,39.5,38.0,40.8,31.7,30.1,33.4,42.6,41.4,46.1,32.4,29.8,35.7,38.7,53.1,33.1,23.8,25.2,22.6,17.0,15.1,20.6,40.9,39.6,42.0,23.7,24.9,22.2,984685
40,GA,13,,,,,040E1US13,Georgia -- In micropolitan statistical area -- in principal city,320330,150595,11840,11299,11046,6253,7430,4106,3536,8588,11309,9788,7704,8925,7780,8155,8612,2989,4316,2319,3340,4566,3025,1903,1766,169735,11363,11411,10672,6144,8351,4612,4071,9209,11051,10382,9125,9511,9584,9322,9401,3532,5338,3640,3867,5633,4559,4305,4652,164501,77922,4799,4234,4515,2569,3923,9073,6324,4556,8775,8200,9292,6593,3682,1387,86579,4775,4697,4036,2561,4173,9255,5602,4950,8279,9497,10143,8766,6283,3562,136427,61939,5636,5768,5417,3134,3092,6020,4263,4147,6341,7042,6115,3361,1224,379,74488,5809,5713,5711,3206,3748,7518,5055,4838,9059,8542,7599,4141,2518,1031,573,343,0,83,42,59,0,6,38,9,17,27,56,6,0,0,230,0,0,0,0,0,54,17,0,19,67,19,18,23,13,4224,2151,109,225,197,130,73,190,228,134,290,271,202,93,9,0,2073,89,200,110,84,142,213,21,144,511,209,199,104,23,24,104,89,0,0,0,0,0,0,19,0,0,39,31,0,0,0,15,0,0,0,0,0,0,15,0,0,0,0,0,0,0,8701,4850,650,472,443,70,140,615,343,757,884,268,117,87,4,0,3851,406,474,532,114,119,587,191,326,497,356,145,82,0,22,5800,3301,646,517,432,291,202,326,94,185,322,88,104,85,9,0,2499,284,327,283,179,169,265,150,124,271,235,166,29,17,0,150422,70349,3970,3401,3907,2257,3554,8285,5129,3829,7827,7698,8958,6531,3640,1363,80073,4028,3679,3507,2314,3842,8459,5162,4317,7609,8986,9830,8628,6181,3531,24074,13204,1555,1357,1114,521,544,1407,1593,1537,2040,814,465,187,46,24,10870,1118,1709,1073,411,485,1311,672,967,1335,913,466,250,107,53,31.9,29.9,33.7,36.1,34.0,39.1,28.9,27.1,30.5,29.2,16.6,46.9,31.2,28.4,36.4,46.5,46.7,.,23.5,25.4,22.8,17.5,16.1,20.1,38.8,35.8,41.2,23.7,25.3,21.7,320330
40,GA,13,,,,,040E2US13,Georgia -- In micropolitan statistical area -- not in principal city,664355,333600,21048,23572,22923,14076,9237,5052,5329,14915,20762,20927,20473,23165,24304,24156,22227,7643,11176,7092,9139,11759,7346,4425,2854,330755,20573,22072,22128,13074,7714,3986,4135,12362,19809,19536,20336,22636,22847,24510,22954,8624,11746,7576,9352,13782,9303,6330,5370,516908,258655,15454,17161,17711,10675,6735,17501,15542,15831,33342,38147,33361,24137,10524,2534,258253,14828,16202,16712,9751,5652,15526,14814,15215,33714,37155,34884,25976,13293,4531,115366,58573,3511,4368,3688,2687,1895,6226,4332,3812,7944,8700,6705,3332,1075,298,56793,3740,4057,4117,2427,1586,3773,3769,3146,7124,8527,7385,4222,2120,800,1480,739,3,3,39,9,16,63,58,55,112,178,133,50,20,0,741,2,46,0,88,69,59,2,72,52,199,92,49,11,0,6598,2952,275,121,330,115,108,355,106,202,500,374,262,154,50,0,3646,231,173,304,140,118,249,290,336,698,532,283,164,128,0,255,148,0,0,21,0,23,0,5,0,10,15,56,18,0,0,107,0,0,0,21,0,14,10,9,35,0,0,18,0,0,14366,7819,883,1176,418,240,325,871,546,854,1469,638,190,147,62,0,6547,1111,760,601,367,169,543,705,597,921,436,223,114,0,0,9382,4714,922,743,716,350,135,280,173,173,261,408,339,152,40,22,4668,661,834,394,280,120,319,219,161,428,508,457,167,81,39,487761,242800,13581,15473,15996,9803,6172,16157,14202,14655,30872,36401,32640,23941,10378,2529,244961,12962,14314,15382,9098,5260,14479,13855,14231,31690,35949,34353,25717,13195,4476,44414,24061,2722,2762,2381,1156,845,2330,1929,1989,3900,2377,1061,370,234,5,20353,2946,2824,1919,1061,582,1638,1703,1540,3023,1651,884,405,103,74,38.5,37.1,39.9,40.2,39.1,41.2,35.4,33.3,38.0,44.6,45.3,40.5,33.4,31.9,34.6,36.9,55.5,33.9,24.1,25.0,22.3,16.6,14.8,22.0,41.4,40.4,42.3,23.8,24.6,22.7,664355
