SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,HI,15,,,,,04000US15,Hawaii,1406299,709871,46668,44115,42590,24759,16845,11108,11984,35270,58033,51544,44144,45731,44336,46481,45959,18921,23499,15644,19202,22981,15219,11142,13696,696428,44389,40426,41289,23961,15296,8284,8768,28495,48700,47286,42208,43404,44134,46908,47379,18506,25229,16430,20240,25496,18755,17952,22893,357164,196755,9696,7213,6746,3425,3700,19138,20147,16315,26128,25309,29133,19745,6691,3369,160409,8850,6982,5955,3253,2786,10683,13528,12547,18806,21077,26890,17297,7983,3772,28688,17931,1026,819,774,374,582,2894,2682,2070,3100,1787,1029,533,188,73,10757,1029,808,803,399,303,1357,1279,1071,1586,1037,650,264,139,32,3012,1628,0,77,23,64,8,230,170,137,224,310,255,103,18,9,1384,20,44,44,47,63,52,132,152,218,269,210,94,32,7,530551,246689,9613,10695,12387,7970,4913,14524,14772,13731,31366,37513,38051,26653,15528,8973,283862,9931,9721,11110,7787,4389,13196,14920,16184,36561,44056,43723,32235,23268,16781,138901,70333,5540,6359,5433,3563,2037,5845,5703,5320,9254,9087,6615,3667,1497,413,68568,5639,5274,5369,3226,2293,5640,4979,5083,8858,8524,6588,4316,2142,637,14864,7995,373,357,342,134,183,989,1031,1199,1111,952,721,436,141,26,6869,624,342,156,234,112,851,881,739,1056,668,573,436,132,65,333119,168540,20420,18595,16885,9229,5422,14742,13528,12772,18692,15859,12575,6690,2298,833,164579,18296,17255,17852,9015,5350,13768,12981,11510,18527,15411,12480,7524,3011,1599,321832,177188,7464,5980,5615,2853,3204,16708,17646,14447,23172,23483,27740,19114,6485,3277,144644,6921,5636,5146,2771,2424,9355,11949,10990,16796,19516,25136,16641,7710,3653,139251,72029,10237,7253,6011,3312,2432,7829,7105,6122,8511,6066,4163,2032,663,293,67222,9561,6554,6005,3176,2126,6170,5893,5389,7954,6153,4425,2358,1029,429,38.0,36.3,39.9,40.9,39.3,43.2,29.1,29.7,27.8,40.8,39.6,41.8,47.8,46.0,49.3,31.0,30.5,31.6,32.2,32.2,32.1,24.9,24.7,25.3,42.9,41.0,45.2,24.6,24.4,25.0,1406299
40,HI,15,,,,,04001US15,Hawaii -- Urban,1300638,656369,43448,41030,39362,22995,15855,10625,11430,33341,54938,48388,41289,42570,40470,43189,41075,16784,21166,14009,17077,20347,13918,10312,12751,644269,41120,37012,38563,22035,14181,7739,8300,27044,45591,44226,39790,40040,41089,43082,42689,16560,22607,14756,18390,23219,17505,17009,21722,313802,173952,9121,6672,6015,2991,3508,18079,19166,15156,23642,21739,23634,15732,5631,2866,139850,8335,6262,5363,2838,2485,10080,12435,11626,16863,17889,21327,14203,6789,3355,28002,17439,1026,807,721,374,572,2823,2635,2042,3000,1695,979,504,188,73,10563,1029,776,803,385,296,1357,1267,1058,1541,1029,590,261,139,32,2648,1395,0,69,15,46,8,230,167,125,189,235,209,83,10,9,1253,20,40,41,46,50,48,120,118,218,238,194,88,32,0,512607,238707,9256,10412,12094,7758,4781,14161,14398,13466,30375,36510,36633,25368,14914,8581,273900,9407,9461,10900,7639,4273,12902,14359,15641,35135,42618,41878,30876,22589,16222,124280,62810,4940,5750,4860,3167,1802,5214,5165,4749,8334,8041,5798,3259,1341,390,61470,5200,4644,4757,2734,2080,5123,4600,4568,8018,7544,5843,3799,1999,561,13452,7330,349,346,306,120,156,962,968,1170,1030,788,606,406,97,26,6122,565,285,152,150,112,755,868,646,1025,621,398,358,123,64,305847,154736,18756,16974,15351,8539,5028,13927,12439,11680,17289,14651,11166,6081,2049,806,151111,16564,15544,16547,8243,4885,12818,11942,10569,17030,14232,11626,6780,2843,1488,281008,155738,6995,5496,4979,2506,3058,15725,16781,13346,20849,20143,22387,15248,5433,2792,125270,6479,4926,4618,2368,2130,8798,11013,10158,15004,16586,19805,13597,6541,3247,128305,66560,9436,6658,5608,2989,2235,7484,6669,5823,7913,5407,3686,1783,598,271,61745,8750,6017,5578,2773,1924,5755,5458,4968,7577,5524,3898,2167,975,381,37.6,35.8,39.5,38.9,37.4,41.0,29.0,29.6,27.6,40.0,38.3,42.0,47.6,45.8,49.2,30.9,30.5,31.5,31.9,31.9,31.8,25.0,24.6,25.4,40.7,38.9,43.0,24.6,24.3,25.1,1300638
40,HI,15,,,,,04043US15,Hawaii -- Rural,105661,53502,3220,3085,3228,1764,990,483,554,1929,3095,3156,2855,3161,3866,3292,4884,2137,2333,1635,2125,2634,1301,830,945,52159,3269,3414,2726,1926,1115,545,468,1451,3109,3060,2418,3364,3045,3826,4690,1946,2622,1674,1850,2277,1250,943,1171,43362,22803,575,541,731,434,192,1059,981,1159,2486,3570,5499,4013,1060,503,20559,515,720,592,415,301,603,1093,921,1943,3188,5563,3094,1194,417,686,492,0,12,53,0,10,71,47,28,100,92,50,29,0,0,194,0,32,0,14,7,0,12,13,45,8,60,3,0,0,364,233,0,8,8,18,0,0,3,12,35,75,46,20,8,0,131,0,4,3,1,13,4,12,34,0,31,16,6,0,7,17944,7982,357,283,293,212,132,363,374,265,991,1003,1418,1285,614,392,9962,524,260,210,148,116,294,561,543,1426,1438,1845,1359,679,559,14621,7523,600,609,573,396,235,631,538,571,920,1046,817,408,156,23,7098,439,630,612,492,213,517,379,515,840,980,745,517,143,76,1412,665,24,11,36,14,27,27,63,29,81,164,115,30,44,0,747,59,57,4,84,0,96,13,93,31,47,175,78,9,1,27272,13804,1664,1621,1534,690,394,815,1089,1092,1403,1208,1409,609,249,27,13468,1732,1711,1305,772,465,950,1039,941,1497,1179,854,744,168,111,40824,21450,469,484,636,347,146,983,865,1101,2323,3340,5353,3866,1052,485,19374,442,710,528,403,294,557,936,832,1792,2930,5331,3044,1169,406,10946,5469,801,595,403,323,197,345,436,299,598,659,477,249,65,22,5477,811,537,427,403,202,415,435,421,377,629,527,191,54,48,43.7,43.7,43.7,54.5,54.0,55.0,40.0,37.8,42.1,48.3,49.7,33.8,51.6,52.3,51.3,31.8,30.9,32.3,40.9,46.4,34.4,24.9,26.4,23.8,55.3,55.1,55.6,25.1,26.1,24.7,105661
40,HI,15,,,,,040A0US15,Hawaii -- In metropolitan or micropolitan statistical area,1406299,709871,46668,44115,42590,24759,16845,11108,11984,35270,58033,51544,44144,45731,44336,46481,45959,18921,23499,15644,19202,22981,15219,11142,13696,696428,44389,40426,41289,23961,15296,8284,8768,28495,48700,47286,42208,43404,44134,46908,47379,18506,25229,16430,20240,25496,18755,17952,22893,357164,196755,9696,7213,6746,3425,3700,19138,20147,16315,26128,25309,29133,19745,6691,3369,160409,8850,6982,5955,3253,2786,10683,13528,12547,18806,21077,26890,17297,7983,3772,28688,17931,1026,819,774,374,582,2894,2682,2070,3100,1787,1029,533,188,73,10757,1029,808,803,399,303,1357,1279,1071,1586,1037,650,264,139,32,3012,1628,0,77,23,64,8,230,170,137,224,310,255,103,18,9,1384,20,44,44,47,63,52,132,152,218,269,210,94,32,7,530551,246689,9613,10695,12387,7970,4913,14524,14772,13731,31366,37513,38051,26653,15528,8973,283862,9931,9721,11110,7787,4389,13196,14920,16184,36561,44056,43723,32235,23268,16781,138901,70333,5540,6359,5433,3563,2037,5845,5703,5320,9254,9087,6615,3667,1497,413,68568,5639,5274,5369,3226,2293,5640,4979,5083,8858,8524,6588,4316,2142,637,14864,7995,373,357,342,134,183,989,1031,1199,1111,952,721,436,141,26,6869,624,342,156,234,112,851,881,739,1056,668,573,436,132,65,333119,168540,20420,18595,16885,9229,5422,14742,13528,12772,18692,15859,12575,6690,2298,833,164579,18296,17255,17852,9015,5350,13768,12981,11510,18527,15411,12480,7524,3011,1599,321832,177188,7464,5980,5615,2853,3204,16708,17646,14447,23172,23483,27740,19114,6485,3277,144644,6921,5636,5146,2771,2424,9355,11949,10990,16796,19516,25136,16641,7710,3653,139251,72029,10237,7253,6011,3312,2432,7829,7105,6122,8511,6066,4163,2032,663,293,67222,9561,6554,6005,3176,2126,6170,5893,5389,7954,6153,4425,2358,1029,429,38.0,36.3,39.9,40.9,39.3,43.2,29.1,29.7,27.8,40.8,39.6,41.8,47.8,46.0,49.3,31.0,30.5,31.6,32.2,32.2,32.1,24.9,24.7,25.3,42.9,41.0,45.2,24.6,24.4,25.0,1406299
40,HI,15,,,,,040C0US15,Hawaii -- In metropolitan statistical area,1145126,578961,38209,35089,34933,19932,13949,9833,10240,30420,49607,43196,36827,37803,36411,37511,35355,14396,18047,12126,14895,17618,12508,9206,10850,566165,36353,32720,33563,19246,12416,6798,6945,24526,40998,39242,34841,35788,36085,37469,37089,14177,19294,12870,16287,20199,15452,14696,19111,270038,151529,7835,5704,5289,2549,3142,17088,17356,13772,20826,18944,19132,12795,4931,2166,118509,7524,5589,4697,2444,2219,9144,11354,10084,14379,14598,16874,11358,5519,2726,26897,16729,1026,760,691,374,579,2761,2445,1952,2927,1692,859,445,156,62,10168,1001,776,787,364,299,1313,1256,983,1532,865,593,228,139,32,1955,1033,0,53,0,21,0,209,132,96,132,193,124,54,10,9,922,20,17,26,36,53,41,120,120,105,142,143,72,27,0,463642,215526,8280,9240,10920,6896,4392,12994,13141,12207,27622,32897,32482,23222,13590,7643,248116,8682,8444,9669,6637,3798,11532,13209,14272,32376,38436,37819,28397,20191,14654,107375,54395,4237,4720,4498,2775,1612,4659,4502,4274,7030,6871,4840,2862,1199,316,52980,4360,4112,4183,2533,1736,4391,3980,3901,6949,6399,4962,3327,1676,471,10412,5957,259,259,216,92,164,862,948,914,825,458,549,325,77,9,4455,290,199,118,106,84,634,635,414,725,508,364,221,115,42,264807,133792,16572,14353,13319,7225,4060,11920,11083,9981,15268,12867,9812,4936,1751,645,131015,14476,13583,14083,7126,4227,11214,10444,9468,14563,12606,9805,5753,2481,1186,241987,135856,6227,4779,4340,2073,2698,15037,15347,12042,18391,17433,18161,12451,4753,2124,106131,5798,4549,4076,2014,1889,8006,10026,8841,12747,13562,15765,10873,5356,2629,108457,56533,7931,5579,4622,2508,1911,6537,5919,5053,6813,4577,2976,1408,496,203,51924,7338,5001,4606,2405,1680,4976,4773,4326,6217,4638,3170,1759,721,314,37.3,35.5,39.3,37.3,36.2,39.2,28.9,29.6,27.2,38.0,36.1,40.4,47.6,45.7,49.1,30.7,30.2,31.3,31.2,31.1,31.6,25.1,24.8,25.4,38.9,37.5,41.1,24.6,24.4,24.9,1145126
40,HI,15,,,,,040C1US15,Hawaii -- In metropolitan statistical area -- in principal city,404631,202065,11137,10372,10507,6108,4481,2917,3022,9278,17527,16212,13112,13458,13053,13998,13657,5613,6302,4892,5347,6593,5180,3934,5365,202566,10994,9253,9645,5516,4761,2338,2809,9299,14837,14260,12539,12361,13144,13830,13815,4941,6865,5004,6128,7337,6496,6857,9537,73879,42116,1446,1093,830,436,638,3470,5321,4893,6155,5575,5895,3890,1719,755,31763,1439,1095,804,316,958,3274,3447,2811,3654,3696,4001,3268,1947,1053,7219,4558,196,185,320,72,37,394,477,709,1083,621,306,110,36,12,2661,257,193,206,104,102,285,396,244,428,206,119,79,38,4,464,165,0,11,0,0,0,22,15,25,32,23,27,10,0,0,299,0,0,0,6,4,9,37,55,65,38,30,33,22,0,210774,97204,3681,3869,4491,2833,1908,6052,6242,5956,12134,14251,14957,10188,6463,4179,113570,3750,3492,4164,2896,1598,5719,5882,6508,14410,17609,17195,12450,9986,7911,34728,17798,1184,1338,1517,995,698,1448,1508,1476,2205,2396,1660,881,369,123,16930,1422,1359,1270,654,639,1314,1395,1467,2192,1851,1528,1071,599,169,3282,1914,70,103,108,44,0,118,285,295,354,273,151,91,22,0,1368,34,15,15,15,39,292,216,144,287,161,53,52,41,4,74285,38310,4560,3773,3241,1728,1200,3713,3679,2858,4607,3912,2576,1662,505,296,35975,4092,3099,3186,1525,1421,3553,3464,3031,3864,3413,2695,1516,720,396,66968,38129,1145,954,619,296,598,3069,4767,4147,5649,5094,5550,3809,1685,747,28839,1226,873,658,282,852,2903,3123,2516,3253,3356,3705,3193,1889,1010,27893,14337,1735,1194,1014,552,278,1598,1753,1502,1595,1638,952,351,113,62,13556,1432,1131,1086,432,494,1587,1476,1192,1842,1257,807,469,251,100,40.2,38.6,42.0,39.0,39.0,39.0,32.0,33.9,27.0,41.3,38.3,42.0,48.3,46.2,49.9,30.8,30.4,31.5,32.6,33.0,31.6,26.4,26.1,26.7,40.7,40.8,40.4,26.8,26.7,27.0,404631
40,HI,15,,,,,040C2US15,Hawaii -- In metropolitan statistical area -- not in principal city,740495,376896,27072,24717,24426,13824,9468,6916,7218,21142,32080,26984,23715,24345,23358,23513,21698,8783,11745,7234,9548,11025,7328,5272,5485,363599,25359,23467,23918,13730,7655,4460,4136,15227,26161,24982,22302,23427,22941,23639,23274,9236,12429,7866,10159,12862,8956,7839,9574,196159,109413,6389,4611,4459,2113,2504,13618,12035,8879,14671,13369,13237,8905,3212,1411,86746,6085,4494,3893,2128,1261,5870,7907,7273,10725,10902,12873,8090,3572,1673,19678,12171,830,575,371,302,542,2367,1968,1243,1844,1071,553,335,120,50,7507,744,583,581,260,197,1028,860,739,1104,659,474,149,101,28,1491,868,0,42,0,21,0,187,117,71,100,170,97,44,10,9,623,20,17,26,30,49,32,83,65,40,104,113,39,5,0,252868,118322,4599,5371,6429,4063,2484,6942,6899,6251,15488,18646,17525,13034,7127,3464,134546,4932,4952,5505,3741,2200,5813,7327,7764,17966,20827,20624,15947,10205,6743,72647,36597,3053,3382,2981,1780,914,3211,2994,2798,4825,4475,3180,1981,830,193,36050,2938,2753,2913,1879,1097,3077,2585,2434,4757,4548,3434,2256,1077,302,7130,4043,189,156,108,48,164,744,663,619,471,185,398,234,55,9,3087,256,184,103,91,45,342,419,270,438,347,311,169,74,38,190522,95482,12012,10580,10078,5497,2860,8207,7404,7123,10661,8955,7236,3274,1246,349,95040,10384,10484,10897,5601,2806,7661,6980,6437,10699,9193,7110,4237,1761,790,175019,97727,5082,3825,3721,1777,2100,11968,10580,7895,12742,12339,12611,8642,3068,1377,77292,4572,3676,3418,1732,1037,5103,6903,6325,9494,10206,12060,7680,3467,1619,80564,42196,6196,4385,3608,1956,1633,4939,4166,3551,5218,2939,2024,1057,383,141,38368,5906,3870,3520,1973,1186,3389,3297,3134,4375,3381,2363,1290,470,214,35.7,34.0,37.7,36.6,35.1,39.2,27.9,28.2,27.3,34.6,34.9,31.9,47.0,45.4,48.5,30.6,30.0,31.3,30.2,29.7,31.8,24.4,24.1,24.8,38.3,36.3,41.3,23.5,23.2,23.8,740495
40,HI,15,,,,,040E0US15,Hawaii -- In micropolitan statistical area,261173,130910,8459,9026,7657,4827,2896,1275,1744,4850,8426,8348,7317,7928,7925,8970,10604,4525,5452,3518,4307,5363,2711,1936,2846,130263,8036,7706,7726,4715,2880,1486,1823,3969,7702,8044,7367,7616,8049,9439,10290,4329,5935,3560,3953,5297,3303,3256,3782,87126,45226,1861,1509,1457,876,558,2050,2791,2543,5302,6365,10001,6950,1760,1203,41900,1326,1393,1258,809,567,1539,2174,2463,4427,6479,10016,5939,2464,1046,1791,1202,0,59,83,0,3,133,237,118,173,95,170,88,32,11,589,28,32,16,35,4,44,23,88,54,172,57,36,0,0,1057,595,0,24,23,43,8,21,38,41,92,117,131,49,8,0,462,0,27,18,11,10,11,12,32,113,127,67,22,5,7,66909,31163,1333,1455,1467,1074,521,1530,1631,1524,3744,4616,5569,3431,1938,1330,35746,1249,1277,1441,1150,591,1664,1711,1912,4185,5620,5904,3838,3077,2127,31526,15938,1303,1639,935,788,425,1186,1201,1046,2224,2216,1775,805,298,97,15588,1279,1162,1186,693,557,1249,999,1182,1909,2125,1626,989,466,166,4452,2038,114,98,126,42,19,127,83,285,286,494,172,111,64,17,2414,334,143,38,128,28,217,246,325,331,160,209,215,17,23,68312,34748,3848,4242,3566,2004,1362,2822,2445,2791,3424,2992,2763,1754,547,188,33564,3820,3672,3769,1889,1123,2554,2537,2042,3964,2805,2675,1771,530,413,79845,41332,1237,1201,1275,780,506,1671,2299,2405,4781,6050,9579,6663,1732,1153,38513,1123,1087,1070,757,535,1349,1923,2149,4049,5954,9371,5768,2354,1024,30794,15496,2306,1674,1389,804,521,1292,1186,1069,1698,1489,1187,624,167,90,15298,2223,1553,1399,771,446,1194,1120,1063,1737,1515,1255,599,308,115,41.3,40.4,42.3,52.1,51.2,53.1,34.8,33.8,38.9,45.9,46.3,43.9,49.2,47.9,50.0,32.4,31.9,32.6,34.5,39.3,32.4,24.4,24.1,24.9,53.4,52.7,54.0,24.7,23.9,25.2,261173
40,HI,15,,,,,040E1US15,Hawaii -- In micropolitan statistical area -- in principal city,56174,27704,1666,1708,1503,1209,904,301,664,1174,1769,1871,1303,1813,1481,1869,2365,869,997,543,866,1100,550,462,717,28470,1326,1668,1469,1359,773,453,397,1077,1702,1679,1760,1530,1564,2185,1882,897,1013,603,848,1428,849,906,1102,12044,6206,175,48,205,135,124,420,589,489,828,695,1158,919,266,155,5838,110,223,182,134,97,206,387,544,621,802,1053,796,460,223,572,268,0,36,39,0,2,23,11,12,16,18,55,24,32,0,304,16,0,2,32,4,34,0,13,26,144,0,33,0,0,121,76,0,0,7,16,0,0,3,10,6,19,15,0,0,0,45,0,0,0,1,0,0,0,4,13,0,22,0,5,0,17471,8567,234,311,186,300,136,519,367,393,911,1383,1860,968,519,480,8904,183,315,145,205,182,317,377,433,877,1433,1648,1170,944,675,5286,2513,129,160,148,77,82,249,124,134,414,316,383,153,95,49,2773,198,199,119,139,103,328,79,130,290,487,276,225,126,74,301,115,0,0,0,0,2,0,0,0,10,44,23,27,1,8,186,0,0,0,0,0,44,43,0,0,31,0,45,4,19,20379,9959,1128,1153,918,681,558,928,675,833,931,875,737,418,99,25,10420,819,931,1021,848,387,998,816,555,1463,852,793,610,216,111,10631,5318,38,39,203,135,111,297,384,421,683,689,1096,812,255,155,5313,110,158,147,134,93,159,327,541,520,774,952,757,418,223,6190,3232,478,299,172,121,233,365,356,243,326,198,191,209,33,8,2958,232,373,298,157,129,226,312,119,442,200,192,142,102,34,40.4,39.0,41.7,50.1,47.2,51.6,48.1,43.7,49.1,47.0,40.3,56.5,53.4,51.9,54.9,38.3,38.5,38.1,49.7,55.8,48.2,24.4,22.5,26.9,51.8,51.5,52.0,25.1,24.6,25.8,56174
40,HI,15,,,,,040E2US15,Hawaii -- In micropolitan statistical area -- not in principal city,204999,103206,6793,7318,6154,3618,1992,974,1080,3676,6657,6477,6014,6115,6444,7101,8239,3656,4455,2975,3441,4263,2161,1474,2129,101793,6710,6038,6257,3356,2107,1033,1426,2892,6000,6365,5607,6086,6485,7254,8408,3432,4922,2957,3105,3869,2454,2350,2680,75082,39020,1686,1461,1252,741,434,1630,2202,2054,4474,5670,8843,6031,1494,1048,36062,1216,1170,1076,675,470,1333,1787,1919,3806,5677,8963,5143,2004,823,1219,934,0,23,44,0,1,110,226,106,157,77,115,64,0,11,285,12,32,14,3,0,10,23,75,28,28,57,3,0,0,936,519,0,24,16,27,8,21,35,31,86,98,116,49,8,0,417,0,27,18,10,10,11,12,28,100,127,45,22,0,7,49438,22596,1099,1144,1281,774,385,1011,1264,1131,2833,3233,3709,2463,1419,850,26842,1066,962,1296,945,409,1347,1334,1479,3308,4187,4256,2668,2133,1452,26240,13425,1174,1479,787,711,343,937,1077,912,1810,1900,1392,652,203,48,12815,1081,963,1067,554,454,921,920,1052,1619,1638,1350,764,340,92,4151,1923,114,98,126,42,17,127,83,285,276,450,149,84,63,9,2228,334,143,38,128,28,173,203,325,331,129,209,170,13,4,47933,24789,2720,3089,2648,1323,804,1894,1770,1958,2493,2117,2026,1336,448,163,23144,3001,2741,2748,1041,736,1556,1721,1487,2501,1953,1882,1161,314,302,69214,36014,1199,1162,1072,645,395,1374,1915,1984,4098,5361,8483,5851,1477,998,33200,1013,929,923,623,442,1190,1596,1608,3529,5180,8419,5011,1936,801,24604,12264,1828,1375,1217,683,288,927,830,826,1372,1291,996,415,134,82,12340,1991,1180,1101,614,317,968,808,944,1295,1315,1063,457,206,81,41.6,40.7,42.4,52.4,51.7,53.4,33.2,33.6,30.6,45.8,46.4,43.3,47.6,46.0,48.5,31.3,30.9,32.1,34.3,36.6,32.3,24.4,24.8,23.8,53.7,52.8,54.4,24.6,23.5,25.0,204999
