SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,IA,19,,,,,04000US19,Iowa,3093526,1534595,100400,104279,104674,62452,47619,25137,24210,66307,98079,100924,90980,92961,98877,109267,104021,41605,53774,30897,37379,50414,37867,27523,24949,1558931,96170,100558,98485,59605,44863,24305,22614,62504,93653,97248,89632,90218,96654,110142,106042,41312,54187,33072,40552,56973,48121,39851,52170,2820046,1392602,85701,89832,90714,55279,40980,100084,86004,89968,165019,194200,190992,115268,63958,24603,1427444,81781,86106,85961,52367,39512,96603,83337,87531,162311,194597,193138,126729,86074,51397,97788,51565,4932,4537,4603,2472,2317,5669,4114,4080,6849,5942,3829,1394,685,142,46223,4462,4454,4554,2577,1861,4510,3668,3950,5573,4481,3440,1549,788,356,9977,4914,407,340,498,210,209,323,498,381,634,676,424,172,117,25,5063,341,351,371,162,263,361,385,322,804,693,556,336,83,35,62997,31189,2254,2377,2017,1226,1500,4385,3127,2834,4999,3228,1834,966,377,65,31808,2027,2341,1628,1352,1077,3676,3186,3066,5688,3475,2325,1268,496,203,1882,1056,65,80,132,2,58,83,134,185,130,66,54,64,0,3,826,104,76,43,0,2,110,111,94,72,56,109,23,26,0,39872,22384,1810,1555,2214,1211,922,2671,2343,1950,3538,2360,1319,354,105,32,17488,1710,2254,1510,1035,604,1615,1304,1013,3302,1778,858,230,204,71,60964,30885,5231,5558,4496,2052,1633,2439,1859,1526,2772,1672,948,472,148,79,30079,5745,4976,4418,2112,1544,2548,1662,1272,2100,1716,1115,462,301,108,2703612,1333170,78462,82765,83978,51978,38316,94818,81526,84865,157543,188536,188249,114268,63445,24421,1370442,74841,78875,79507,49071,37190,91556,79138,82634,155133,189975,190498,125588,85315,51121,168230,87660,10183,9719,9816,4852,3873,8183,7064,7386,11720,8361,4198,1410,667,228,80570,9980,10567,8746,4666,3276,7149,5875,6185,10725,6821,3787,1458,966,369,38.1,36.8,39.4,39.9,38.5,41.2,26.1,26.5,25.8,31.6,29.6,34.3,29.5,28.1,31.0,28.4,28.4,28.3,25.9,26.4,25.1,15.0,15.2,14.8,40.9,39.5,42.3,22.6,23.2,22.0,3093526
40,IA,19,,,,,04001US19,Iowa -- Urban,1989525,976625,67964,66820,64726,37763,34908,19551,18890,48703,72511,70449,60854,60166,60970,63548,57985,23546,30472,17395,20459,27143,20474,15910,15418,1012900,64715,64993,61983,36167,33872,19895,18328,47576,68975,68214,60393,58102,59342,65477,62317,24645,32457,20142,23920,33121,29097,25177,33992,1749325,852520,54954,54376,52920,31886,29090,73312,61541,60481,104311,112470,104672,62224,35160,15123,896805,52058,52134,51406,30060,29053,73855,59512,59523,102940,114354,112149,73844,52608,33309,91223,47745,4616,4170,4140,2195,2119,5304,3929,3798,6355,5542,3537,1241,657,142,43478,4182,4269,4135,2433,1736,4222,3374,3812,5252,4217,3283,1455,766,342,6766,3276,321,218,332,112,153,179,380,331,429,395,281,65,62,18,3490,234,253,200,71,219,254,304,237,596,429,402,242,32,17,57574,28481,2059,2229,1799,1094,1343,4044,2767,2647,4588,3005,1628,878,337,63,29093,1915,2208,1414,1147,1052,3577,3042,2724,5067,3133,2010,1132,478,194,1605,904,60,77,110,0,56,29,128,185,116,65,37,38,0,3,701,92,75,43,0,2,110,95,58,67,34,99,0,26,0,34495,19136,1622,1209,1868,1004,824,2197,2099,1759,3098,1915,1162,257,94,28,15359,1487,1985,1352,887,512,1471,1239,844,3013,1397,738,195,170,69,48537,24563,4332,4541,3557,1472,1323,2079,1667,1248,2123,1126,686,294,74,41,23974,4747,4069,3433,1569,1298,2310,1409,1016,1560,1255,738,315,194,61,1651977,802757,48665,48450,47304,29243,26948,68874,57646,56109,98046,107763,102528,61451,34729,15001,849220,46139,46270,46059,27477,27110,69324,55938,55258,96890,110659,110028,73015,51973,33080,141597,73661,8880,8139,8098,3854,3155,6874,6224,6450,9960,6811,3422,1075,553,166,67936,8616,8735,7268,3674,2742,6447,5145,5356,9181,5449,3118,1101,782,322,35.3,33.9,36.7,37.3,35.7,38.9,26.3,26.7,25.9,31.1,28.9,33.9,29.3,28.2,30.3,27.6,28.8,26.0,26.0,26.7,25.0,14.7,14.8,14.5,38.5,36.8,40.3,22.7,23.3,22.2,1989525
40,IA,19,,,,,04043US19,Iowa -- Rural,1104001,557970,32436,37459,39948,24689,12711,5586,5320,17604,25568,30475,30126,32795,37907,45719,46036,18059,23302,13502,16920,23271,17393,11613,9531,546031,31455,35565,36502,23438,10991,4410,4286,14928,24678,29034,29239,32116,37312,44665,43725,16667,21730,12930,16632,23852,19024,14674,18178,1070721,540082,30747,35456,37794,23393,11890,26772,24463,29487,60708,81730,86320,53044,28798,9480,530639,29723,33972,34555,22307,10459,22748,23825,28008,59371,80243,80989,52885,33466,18088,6565,3820,316,367,463,277,198,365,185,282,494,400,292,153,28,0,2745,280,185,419,144,125,288,294,138,321,264,157,94,22,14,3211,1638,86,122,166,98,56,144,118,50,205,281,143,107,55,7,1573,107,98,171,91,44,107,81,85,208,264,154,94,51,18,5423,2708,195,148,218,132,157,341,360,187,411,223,206,88,40,2,2715,112,133,214,205,25,99,144,342,621,342,315,136,18,9,277,152,5,3,22,2,2,54,6,0,14,1,17,26,0,0,125,12,1,0,0,0,0,16,36,5,22,10,23,0,0,5377,3248,188,346,346,207,98,474,244,191,440,445,157,97,11,4,2129,223,269,158,148,92,144,65,169,289,381,120,35,34,2,12427,6322,899,1017,939,580,310,360,192,278,649,546,262,178,74,38,6105,998,907,985,543,246,238,253,256,540,461,377,147,107,47,1051635,530413,29797,34315,36674,22735,11368,25944,23880,28756,59497,80773,85721,52817,28716,9420,521222,28702,32605,33448,21594,10080,22232,23200,27376,58243,79316,80470,52573,33342,18041,26633,13999,1303,1580,1718,998,718,1309,840,936,1760,1550,776,335,114,62,12634,1364,1832,1478,992,534,702,730,829,1544,1372,669,357,184,47,43.6,42.7,44.4,44.2,43.4,45.1,24.0,23.8,24.2,34.1,33.4,35.1,32.5,27.2,35.7,31.6,23.0,32.8,25.0,24.6,26.0,15.9,16.3,15.7,44.6,43.8,45.5,21.7,22.4,20.8,1104001
40,IA,19,,,,,040A0US19,Iowa -- In metropolitan or micropolitan statistical area,2301561,1140342,76797,76971,78269,45530,36658,20432,19307,52468,77944,78426,70192,70635,73831,78845,73458,30345,38456,22092,26373,34255,24933,17972,16153,1161219,73039,75344,73160,43831,34632,19973,18262,49953,75242,76090,69037,69097,72187,80390,76762,30212,39878,24431,28829,38643,32117,26607,33503,2059386,1015141,63504,64703,65944,39406,30852,78228,67357,68659,124050,140446,134761,79737,41617,15877,1044245,60381,62668,62149,37498,29992,76349,65712,67368,122670,141780,139320,88481,57018,32859,92047,47954,4756,4159,4349,2284,2097,5219,3755,3727,6317,5551,3589,1368,648,135,44093,4245,4253,4291,2458,1589,4248,3509,3753,5411,4356,3335,1531,772,342,6884,3307,323,254,343,125,171,183,301,339,424,417,263,72,69,23,3577,245,277,235,87,157,258,317,245,483,536,399,280,39,19,58083,29074,2094,2247,1915,1103,1288,4121,2994,2661,4630,3022,1700,877,357,65,29009,1918,2172,1440,1140,1012,3450,3071,2806,5129,3099,2072,1089,448,163,1570,896,48,75,129,2,56,63,128,139,113,55,41,47,0,0,674,84,44,37,0,2,96,80,75,67,52,92,23,22,0,32574,18063,1488,1162,1800,944,730,2206,1835,1596,2916,1854,1118,309,80,25,14511,1288,1850,1280,909,517,1418,1034,842,2713,1406,774,218,193,69,51017,25907,4584,4371,3789,1666,1464,2187,1574,1305,2377,1331,787,310,134,28,25110,4878,4080,3728,1739,1363,2369,1519,1001,1661,1348,860,281,232,51,1965240,967137,57566,59061,60454,36818,28734,74014,63606,64715,118096,135770,132515,78859,41189,15740,998103,54755,56860,57055,34829,28153,72276,62098,63436,116867,138060,136948,87653,56427,32686,136234,70712,8442,7667,7953,3800,3075,6576,5774,5848,9417,6725,3488,1219,551,177,65522,8037,8442,6972,3838,2613,5907,4986,4993,8679,5468,3421,1124,776,266,36.7,35.5,37.9,38.6,37.3,39.9,26.3,26.5,26.1,31.1,29.2,33.6,29.3,28.2,30.5,28.0,26.1,29.0,26.0,26.6,25.0,15.1,15.4,14.8,39.7,38.2,41.0,22.8,23.2,22.4,2301561
40,IA,19,,,,,040C0US19,Iowa -- In metropolitan statistical area,1804496,891844,61304,61041,61641,35284,29999,17459,16054,42476,62784,63162,56548,55920,57471,60322,55437,22704,28545,16189,19511,25535,18196,12972,11290,912652,58220,59878,57936,34243,29085,16913,15409,41695,61725,61765,55648,54945,56802,61828,58784,22895,29827,18501,21347,28497,23492,19292,23925,1600283,787765,50068,50539,51299,30077,25062,64581,54589,54900,98157,108104,100364,58800,30172,11053,812518,47741,48916,48665,28914,24928,63762,53549,54251,97245,109389,105006,65481,41300,23371,81000,41384,4393,3599,3859,2013,1792,4548,3048,3148,5383,4618,3090,1223,547,123,39616,3759,3885,3784,2185,1454,3836,3045,3192,4989,4052,3079,1368,674,314,5783,2721,306,239,326,117,157,149,200,229,336,310,257,64,10,21,3062,229,260,210,73,154,232,209,210,452,424,325,250,32,2,50780,25051,1816,1873,1730,950,1192,3325,2436,2352,4225,2519,1477,769,340,47,25729,1749,1847,1306,889,938,3189,2712,2553,4569,2657,1801,940,430,149,1229,726,38,65,129,2,48,42,74,139,106,29,34,20,0,0,503,22,44,37,0,2,96,46,75,67,37,55,0,22,0,23585,12836,1009,878,1150,709,563,1543,1216,1229,2245,1265,827,141,43,18,10749,774,1463,912,739,428,1091,850,566,2011,1021,555,143,150,46,41836,21361,3674,3848,3148,1416,1185,1801,1221,1165,2016,948,637,218,56,28,20475,3946,3463,3022,1443,1181,1811,1314,918,1260,1050,685,163,176,43,1529208,751677,45582,46442,47062,28286,23325,61385,51693,51979,93668,104453,98831,58112,29912,10947,777531,43372,44710,44723,26912,23547,60628,50773,51148,92985,106481,103308,64827,40867,23250,102175,52813,6273,5718,5974,2701,2461,4925,4359,4423,7216,4974,2482,861,307,139,49362,6001,6224,5294,2924,2016,4467,3884,3892,6456,4100,2505,873,552,174,35.6,34.6,36.7,37.4,36.2,38.6,25.9,25.7,26.2,30.4,27.0,33.0,29.5,28.6,30.4,27.6,25.5,30.6,25.9,26.6,24.9,14.8,15.0,14.5,38.3,37.1,39.7,22.7,23.0,22.4,1804496
40,IA,19,,,,,040C1US19,Iowa -- In metropolitan statistical area -- in principal city,947006,466301,32740,29689,28302,16647,20447,12626,12179,28490,39055,34937,28759,26574,27421,28496,26614,10942,13564,7471,8765,11400,8607,6491,6085,480705,30893,29871,26712,15793,20334,12636,11014,28089,37008,33935,28322,26043,27000,29530,28932,10906,14892,9219,10211,13890,11759,10721,12995,788536,385769,24109,22118,20841,12819,16334,43557,32341,28471,44710,48502,46179,25656,14245,5887,402767,23093,21489,19793,11845,16755,43205,30321,28267,44157,49577,49442,31053,21311,12459,68611,34714,3795,2911,3097,1748,1571,3978,2659,2423,4304,3883,2637,1102,498,108,33897,3278,3472,2993,1837,1334,3312,2600,2659,4168,3358,2786,1156,636,308,4313,2035,272,164,194,77,99,126,168,179,237,227,222,46,6,18,2278,170,244,146,45,136,159,204,135,349,238,288,147,17,0,37854,18863,1235,1307,1265,590,1010,2976,1877,1936,2930,1812,1022,595,272,36,18991,1087,1417,832,568,824,2765,2218,1745,3203,1896,1272,733,282,149,846,474,35,0,46,0,48,19,74,139,57,29,27,0,0,0,372,19,44,20,0,2,96,46,26,45,13,51,0,10,0,18386,10144,758,744,849,653,502,1283,1031,959,1658,897,632,121,39,18,8242,545,1020,765,631,360,793,663,483,1501,743,450,119,125,44,28460,14302,2536,2445,2010,760,883,1356,905,830,1437,567,401,116,38,18,14158,2701,2185,2163,867,923,1409,956,620,942,705,441,112,99,35,737353,359706,20642,19065,17868,11633,15200,41094,30072,26515,41627,45838,45186,25104,14040,5822,377647,19720,18660,17054,10559,15679,40692,28266,26168,41229,47529,48223,30521,20961,12386,75446,39335,4883,4418,4186,1975,1748,3893,3447,3188,5180,3656,1727,692,244,98,36111,4534,4246,3872,1957,1621,3487,2927,2764,4596,2938,1886,707,452,124,32.9,31.8,34.0,34.9,33.6,36.3,25.7,25.4,26.1,29.2,28.0,31.1,28.8,28.2,29.5,27.7,30.5,27.2,25.6,25.8,25.1,15.4,15.7,15.1,36.0,34.5,37.7,22.6,22.7,22.4,947006
40,IA,19,,,,,040C2US19,Iowa -- In metropolitan statistical area -- not in principal city,857490,425543,28564,31352,33339,18637,9552,4833,3875,13986,23729,28225,27789,29346,30050,31826,28823,11762,14981,8718,10746,14135,9589,6481,5205,431947,27327,30007,31224,18450,8751,4277,4395,13606,24717,27830,27326,28902,29802,32298,29852,11989,14935,9282,11136,14607,11733,8571,10930,811747,401996,25959,28421,30458,17258,8728,21024,22248,26429,53447,59602,54185,33144,15927,5166,409751,24648,27427,28872,17069,8173,20557,23228,25984,53088,59812,55564,34428,19989,10912,12389,6670,598,688,762,265,221,570,389,725,1079,735,453,121,49,15,5719,481,413,791,348,120,524,445,533,821,694,293,212,38,6,1470,686,34,75,132,40,58,23,32,50,99,83,35,18,4,3,784,59,16,64,28,18,73,5,75,103,186,37,103,15,2,12926,6188,581,566,465,360,182,349,559,416,1295,707,455,174,68,11,6738,662,430,474,321,114,424,494,808,1366,761,529,207,148,0,383,252,3,65,83,2,0,23,0,0,49,0,7,20,0,0,131,3,0,17,0,0,0,0,49,22,24,4,0,12,0,5199,2692,251,134,301,56,61,260,185,270,587,368,195,20,4,0,2507,229,443,147,108,68,298,187,83,510,278,105,24,25,2,13376,7059,1138,1403,1138,656,302,445,316,335,579,381,236,102,18,10,6317,1245,1278,859,576,258,402,358,298,318,345,244,51,77,8,791855,391971,24940,27377,29194,16653,8125,20291,21621,25464,52041,58615,53645,33008,15872,5125,399884,23652,26050,27669,16353,7868,19936,22507,24980,51756,58952,55085,34306,19906,10864,26729,13478,1390,1300,1788,726,713,1032,912,1235,2036,1318,755,169,63,41,13251,1467,1978,1422,967,395,980,957,1128,1860,1162,619,166,100,50,38.8,37.9,39.6,39.8,38.9,40.6,27.5,28.7,26.7,33.2,20.2,37.6,32.0,30.6,32.9,22.8,14.2,33.9,28.6,31.4,24.2,14.1,14.4,13.5,40.3,39.4,41.1,23.2,24.1,22.4,857490
40,IA,19,,,,,040E0US19,Iowa -- In micropolitan statistical area,497065,248498,15493,15930,16628,10246,6659,2973,3253,9992,15160,15264,13644,14715,16360,18523,18021,7641,9911,5903,6862,8720,6737,5000,4863,248567,14819,15466,15224,9588,5547,3060,2853,8258,13517,14325,13389,14152,15385,18562,17978,7317,10051,5930,7482,10146,8625,7315,9578,459103,227376,13436,14164,14645,9329,5790,13647,12768,13759,25893,32342,34397,20937,11445,4824,231727,12640,13752,13484,8584,5064,12587,12163,13117,25425,32391,34314,23000,15718,9488,11047,6570,363,560,490,271,305,671,707,579,934,933,499,145,101,12,4477,486,368,507,273,135,412,464,561,422,304,256,163,98,28,1101,586,17,15,17,8,14,34,101,110,88,107,6,8,59,2,515,16,17,25,14,3,26,108,35,31,112,74,30,7,17,7303,4023,278,374,185,153,96,796,558,309,405,503,223,108,17,18,3280,169,325,134,251,74,261,359,253,560,442,271,149,18,14,341,170,10,10,0,0,8,21,54,0,7,26,7,27,0,0,171,62,0,0,0,0,0,34,0,0,15,37,23,0,0,8989,5227,479,284,650,235,167,663,619,367,671,589,291,168,37,7,3762,514,387,368,170,89,327,184,276,702,385,219,75,43,23,9181,4546,910,523,641,250,279,386,353,140,361,383,150,92,78,0,4635,932,617,706,296,182,558,205,83,401,298,175,118,56,8,436032,215460,11984,12619,13392,8532,5409,12629,11913,12736,24428,31317,33684,20747,11277,4793,220572,11383,12150,12332,7917,4606,11648,11325,12288,23882,31579,33640,22826,15560,9436,34059,17899,2169,1949,1979,1099,614,1651,1415,1425,2201,1751,1006,358,244,38,16160,2036,2218,1678,914,597,1440,1102,1101,2223,1368,916,251,224,92,41.3,39.6,42.9,43.0,41.5,44.6,28.1,29.7,25.8,34.0,32.9,38.8,27.6,25.8,32.0,28.4,28.5,25.8,26.1,26.6,25.7,16.3,17.1,15.6,44.4,42.7,46.0,23.1,23.6,22.1,497065
40,IA,19,,,,,040E1US19,Iowa -- In micropolitan statistical area -- in principal city,278358,136619,8798,9205,9155,5301,4098,2009,2101,6062,9244,8966,7828,8237,8846,9652,8810,3598,4917,3050,3503,4194,3333,2715,2997,141739,8814,8818,8664,5209,3374,2219,2052,5423,8488,8482,8192,7816,8077,9566,9140,3618,5550,3024,4075,5192,4962,4557,6427,247221,119692,7241,7742,7528,4605,3371,8309,7237,7772,13972,16413,16357,10339,5846,2960,127529,7014,7381,7153,4438,2973,8235,7296,7433,14107,16425,17489,11876,9362,6347,9573,5578,215,456,464,226,291,545,636,472,846,775,435,110,95,12,3995,372,295,457,255,128,409,407,557,409,246,188,152,92,28,824,436,2,15,7,4,13,0,81,110,72,73,0,7,52,0,388,7,3,3,6,2,26,100,26,16,94,69,13,6,17,6081,3273,261,368,107,137,84,588,439,214,302,463,193,89,10,18,2808,155,285,97,208,57,248,344,193,501,346,241,115,7,11,234,100,10,10,0,0,8,0,29,0,7,26,0,10,0,0,134,62,0,0,0,0,0,28,0,0,7,37,0,0,0,7954,4521,470,239,614,185,158,518,492,320,612,494,276,125,11,7,3433,481,379,354,145,81,273,177,231,676,337,192,62,22,23,6471,3019,599,375,435,144,173,212,330,78,254,254,64,67,34,0,3452,723,475,600,157,133,503,136,42,299,188,92,73,30,1,230540,111066,6124,6648,6583,4076,3077,7601,6647,6974,12990,15676,15805,10200,5713,2952,119474,5982,6387,6340,3981,2622,7384,6745,6761,13001,15956,17031,11762,9227,6295,25990,13618,1694,1426,1606,766,508,1223,1038,1131,1643,1317,819,264,168,15,12372,1708,1535,1292,633,455,1277,794,898,1758,939,650,176,165,92,38.9,37.1,40.7,41.4,39.5,43.2,28.8,29.8,26.2,37.4,33.3,47.0,27.3,25.8,30.5,26.0,28.3,25.2,25.6,25.8,25.1,15.3,16.4,14.3,43.2,41.3,45.4,22.8,23.4,22.0,278358
40,IA,19,,,,,040E2US19,Iowa -- In micropolitan statistical area -- not in principal city,218707,111879,6695,6725,7473,4945,2561,964,1152,3930,5916,6298,5816,6478,7514,8871,9211,4043,4994,2853,3359,4526,3404,2285,1866,106828,6005,6648,6560,4379,2173,841,801,2835,5029,5843,5197,6336,7308,8996,8838,3699,4501,2906,3407,4954,3663,2758,3151,211882,107684,6195,6422,7117,4724,2419,5338,5531,5987,11921,15929,18040,10598,5599,1864,104198,5626,6371,6331,4146,2091,4352,4867,5684,11318,15966,16825,11124,6356,3141,1474,992,148,104,26,45,14,126,71,107,88,158,64,35,6,0,482,114,73,50,18,7,3,57,4,13,58,68,11,6,0,277,150,15,0,10,4,1,34,20,0,16,34,6,1,7,2,127,9,14,22,8,1,0,8,9,15,18,5,17,1,0,1222,750,17,6,78,16,12,208,119,95,103,40,30,19,7,0,472,14,40,37,43,17,13,15,60,59,96,30,34,11,3,107,70,0,0,0,0,0,21,25,0,0,0,7,17,0,0,37,0,0,0,0,0,0,6,0,0,8,0,23,0,0,1035,706,9,45,36,50,9,145,127,47,59,95,15,43,26,0,329,33,8,14,25,8,54,7,45,26,48,27,13,21,0,2710,1527,311,148,206,106,106,174,23,62,107,129,86,25,44,0,1183,209,142,106,139,49,55,69,41,102,110,83,45,26,7,205492,104394,5860,5971,6809,4456,2332,5028,5266,5762,11438,15641,17879,10547,5564,1841,101098,5401,5763,5992,3936,1984,4264,4580,5527,10881,15623,16609,11064,6333,3141,8069,4281,475,523,373,333,106,428,377,294,558,434,187,94,76,23,3788,328,683,386,281,142,163,308,203,465,429,266,75,59,0,44.1,42.7,45.5,44.8,43.5,45.9,25.3,26.3,15.4,29.2,28.6,34.2,29.3,26.7,33.9,52.1,28.6,71.2,28.3,27.9,31.9,17.9,17.9,17.9,45.6,44.4,46.7,23.9,24.3,22.4,218707
