SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,ID,16,,,,,04000US16,Idaho,1616547,810464,58355,63107,62528,36373,22350,11904,11498,34595,53998,54217,51247,49113,48392,51805,49226,19738,27605,17020,21416,26243,18404,11653,9677,806083,56478,59237,59881,33687,22111,12008,11471,30216,52077,52091,47801,49853,48288,52984,51868,20384,27247,16168,21965,28577,20325,15313,16053,1482914,741933,51782,56342,55360,32682,19912,51249,48622,49130,91521,93091,91309,62305,29217,9411,740981,50049,52910,53581,29853,19370,48104,47560,48100,89016,94136,94146,63821,34651,15684,9900,5747,428,293,516,195,248,810,574,384,859,648,484,176,128,4,4153,325,469,599,290,202,532,215,314,460,259,321,91,26,50,20504,10127,751,815,901,628,339,798,876,530,1392,1120,1266,443,186,82,10377,739,799,736,527,374,846,846,578,1296,1355,1218,734,244,85,21711,9713,597,569,557,433,162,1254,904,1122,1423,1202,787,465,190,48,11998,596,717,731,431,278,829,925,814,2447,1776,1205,755,392,102,1921,989,56,27,93,5,79,140,61,49,273,133,40,33,0,0,932,44,91,88,12,122,190,51,37,100,18,175,2,0,2,38371,20298,1756,1843,1792,1131,859,1876,1510,1773,3227,2371,1370,568,160,62,18073,1618,1539,1747,1183,816,1801,1316,1352,2472,2211,1187,635,161,35,41226,21657,2985,3218,3309,1299,751,1870,1451,1229,1665,1632,1313,689,176,70,19569,3107,2712,2399,1391,949,1393,1164,896,1863,1517,1247,672,164,95,1342562,669540,43648,47544,47957,28486,17255,44764,42208,43295,82011,86621,87611,60118,28741,9281,673022,41721,44340,45814,26301,17006,42515,42081,42874,80291,87893,90872,62047,33785,15482,191314,99523,11088,11498,10313,5951,3612,8996,8548,7960,13209,9183,5426,2849,641,249,91791,10822,10932,10170,5351,3412,8090,7166,6823,11750,8671,4849,2432,1064,259,35.5,34.7,36.3,36.4,35.6,37.3,25.4,27.7,20.9,31.4,29.8,33.1,34.8,31.2,38.4,25.3,32.3,23.4,27.1,28.0,26.3,18.2,18.0,18.4,38.2,37.2,39.2,23.5,23.9,23.0,1616547
40,ID,16,,,,,04001US16,Idaho -- Urban,1151272,570555,44043,45836,43674,25031,16181,9609,8878,27754,43833,41484,37574,35271,32928,34406,31782,11709,16558,10341,12927,15465,11351,7365,6555,580717,43569,43565,42284,23037,16995,9337,9493,25332,42794,40156,34511,36882,34089,34815,32591,13353,17641,10498,13847,19236,13813,10794,12085,1050533,519506,38767,40715,38399,22202,14455,40871,39597,37448,66508,62334,56288,37364,18181,6377,531027,38598,38800,37371,20279,14698,39753,38958,36979,64912,63561,59719,41654,23914,11831,8851,5077,399,287,455,184,203,742,497,336,692,581,420,153,125,3,3774,304,460,531,242,181,507,200,312,388,249,259,81,25,35,9361,4491,317,305,362,353,141,344,462,206,671,450,667,106,66,41,4870,291,391,282,225,198,437,585,299,547,643,619,239,79,35,19806,8998,569,534,535,390,128,1252,880,1074,1347,1004,719,396,122,48,10808,553,622,636,379,263,807,892,758,2146,1603,1047,666,359,77,1609,786,37,27,68,0,79,92,50,42,259,93,35,4,0,0,823,44,91,72,0,122,161,48,20,100,13,150,2,0,0,28853,15096,1474,1502,1302,898,582,1337,1189,1371,2158,1747,950,422,119,45,13757,1082,1131,1383,831,731,1356,1072,1128,1857,1693,876,460,138,19,32259,16601,2480,2466,2553,1004,593,1603,1158,1007,1210,1125,970,288,103,41,15658,2697,2070,2009,1081,802,1141,1039,660,1443,1142,915,479,92,88,942768,464843,32289,34087,32710,18984,12537,35781,34423,33192,59338,57636,53868,35821,17893,6284,477925,31859,31971,31433,17621,12853,35022,34489,33071,58099,58891,57417,40280,23236,11683,146303,74839,8928,8732,7855,4621,2535,6940,6763,5862,9693,6695,3661,1989,386,179,71464,8566,8599,7817,4013,2764,6633,5851,5206,9149,6499,3526,1824,846,171,33.3,32.4,34.2,34.1,33.3,35.0,24.5,26.8,20.9,29.9,29.4,30.6,33.6,30.7,37.9,25.3,32.9,23.4,26.9,27.1,26.7,17.7,17.6,17.9,35.7,34.8,36.7,23.0,23.2,22.7,1151272
40,ID,16,,,,,04043US16,Idaho -- Rural,465275,239909,14312,17271,18854,11342,6169,2295,2620,6841,10165,12733,13673,13842,15464,17399,17444,8029,11047,6679,8489,10778,7053,4288,3122,225366,12909,15672,17597,10650,5116,2671,1978,4884,9283,11935,13290,12971,14199,18169,19277,7031,9606,5670,8118,9341,6512,4519,3968,432381,222427,13015,15627,16961,10480,5457,10378,9025,11682,25013,30757,35021,24941,11036,3034,209954,11451,14110,16210,9574,4672,8351,8602,11121,24104,30575,34427,22167,10737,3853,1049,670,29,6,61,11,45,68,77,48,167,67,64,23,3,1,379,21,9,68,48,21,25,15,2,72,10,62,10,1,15,11143,5636,434,510,539,275,198,454,414,324,721,670,599,337,120,41,5507,448,408,454,302,176,409,261,279,749,712,599,495,165,50,1905,715,28,35,22,43,34,2,24,48,76,198,68,69,68,0,1190,43,95,95,52,15,22,33,56,301,173,158,89,33,25,312,203,19,0,25,5,0,48,11,7,14,40,5,29,0,0,109,0,0,16,12,0,29,3,17,0,5,25,0,0,2,9518,5202,282,341,490,233,277,539,321,402,1069,624,420,146,41,17,4316,536,408,364,352,85,445,244,224,615,518,311,175,23,16,8967,5056,505,752,756,295,158,267,293,222,455,507,343,401,73,29,3911,410,642,390,310,147,252,125,236,420,375,332,193,72,7,399794,204697,11359,13457,15247,9502,4718,8983,7785,10103,22673,28985,33743,24297,10848,2997,195097,9862,12369,14381,8680,4153,7493,7592,9803,22192,29002,33455,21767,10549,3799,45011,24684,2160,2766,2458,1330,1077,2056,1785,2098,3516,2488,1765,860,255,70,20327,2256,2333,2353,1338,648,1457,1315,1617,2601,2172,1323,608,218,88,41.9,41.3,42.5,43.1,42.5,43.6,32.1,33.9,20.9,32.3,30.0,35.3,43.5,48.1,42.4,26.7,27.6,23.5,28.0,31.3,24.6,21.0,21.6,20.6,44.9,44.4,45.4,25.5,26.5,24.2,465275
40,ID,16,,,,,040A0US16,Idaho -- In metropolitan or micropolitan statistical area,1478737,739641,54465,58673,57646,33115,20826,11180,10626,32406,50736,50573,47384,45209,44344,46907,43921,17216,24220,15005,18580,22182,15860,10138,8429,739096,52550,54727,55902,31064,20711,11385,10966,28455,49165,48586,44398,46274,44294,47761,46202,18379,23993,14130,19155,25339,17868,13534,14258,1354504,676287,48214,52374,50895,29788,18541,47976,45719,45825,84518,84731,80485,53803,25237,8181,678217,46500,48708,49966,27555,18105,45551,44821,44790,82520,85562,83688,56028,30508,13915,9648,5586,422,290,495,195,248,790,547,369,843,617,462,176,128,4,4062,300,469,596,288,202,516,215,314,445,229,321,91,26,50,17701,8707,665,624,812,508,302,679,796,451,1251,925,1112,359,159,64,8994,606,728,650,437,354,749,807,526,1114,1123,1017,589,212,82,21153,9465,597,559,523,419,128,1252,879,1097,1401,1189,747,464,162,48,11688,596,703,723,359,273,825,908,808,2391,1772,1174,712,363,81,1861,970,56,27,93,5,79,136,61,42,271,133,40,27,0,0,891,44,91,88,12,120,189,43,37,100,15,150,2,0,0,35486,18515,1642,1780,1653,1019,787,1633,1351,1635,2868,2176,1274,487,148,62,16971,1497,1462,1579,1155,780,1632,1286,1278,2399,1985,1131,591,161,35,38384,20111,2869,3019,3175,1181,741,1746,1383,1154,1441,1480,1237,451,164,70,18273,3007,2566,2300,1258,877,1344,1085,833,1703,1369,1093,611,132,95,1222958,608495,40482,44086,44099,25839,15970,41863,39744,40404,75555,78642,77059,51874,24823,8055,614463,38750,40651,42619,24256,15851,40247,39659,39866,74302,79744,80703,54389,29683,13743,178896,92727,10490,10859,9541,5528,3454,8353,7914,7378,12246,8606,5059,2502,567,230,86169,10117,10274,9565,5039,3264,7594,6811,6431,11119,7978,4476,2249,1023,229,34.8,33.9,35.6,35.6,34.9,36.5,25.1,27.5,20.8,30.9,29.8,31.7,34.8,31.2,38.3,24.9,32.2,23.0,27.1,28.0,26.4,17.8,17.6,18.0,37.3,36.5,38.4,23.3,23.7,22.9,1478737
40,ID,16,,,,,040C0US16,Idaho -- In metropolitan statistical area,1069978,533357,38588,41915,42954,24275,14069,7674,6923,20317,36400,37523,35608,33908,33167,34209,31852,12210,17570,10693,13019,16048,11076,7249,6110,536621,37175,39672,41144,22763,13263,7653,7207,18931,36085,36344,33126,35178,33128,34967,33632,13235,17675,10330,13614,18588,12681,9776,10454,979620,487557,34035,37453,37792,21686,12676,30614,32900,34033,63634,62697,57933,38411,17715,5978,492063,32924,35302,36761,20203,11459,29996,32807,33587,62074,63398,60858,40681,21803,10210,7581,4353,335,288,378,166,135,538,336,308,720,471,396,151,128,3,3228,184,406,517,185,165,307,190,277,395,220,241,72,25,44,12591,6156,585,422,537,392,217,395,478,332,889,682,856,203,123,45,6435,486,529,477,260,214,636,551,428,811,803,700,356,117,67,16571,7465,473,420,410,331,63,915,669,917,1254,936,581,354,94,48,9106,433,515,600,295,162,627,688,466,1930,1462,997,589,310,32,1510,766,41,27,70,0,34,91,41,34,244,121,40,23,0,0,744,29,70,78,12,97,164,43,27,82,13,127,2,0,0,22873,11547,993,1106,1126,689,342,1072,890,971,1718,1307,844,346,118,25,11326,971,948,1009,757,510,1100,921,914,1665,1193,764,403,136,35,29232,15513,2126,2199,2641,1011,602,1289,1086,928,1057,1162,982,272,147,11,13719,2148,1902,1702,1051,656,961,885,645,1347,1006,855,429,66,66,895196,444408,29212,32397,33167,19125,10910,26974,29062,30474,57779,58782,55945,37215,17482,5884,450788,27924,30118,31921,18034,10011,26822,29483,30274,56638,59574,58984,39561,21347,10097,116017,59454,6640,6697,6609,3638,2179,5252,5100,4783,7858,5454,3149,1613,352,130,56563,6614,6676,6335,3310,2121,4802,4496,4390,7439,5137,2937,1533,603,170,35.3,34.5,36.0,36.1,35.4,37.0,26.9,30.0,20.9,31.1,31.1,31.0,36.5,31.6,40.1,26.2,36.7,22.7,27.3,27.8,26.8,17.8,17.5,18.2,37.6,36.8,38.7,23.3,23.7,22.9,1069978
40,ID,16,,,,,040C1US16,Idaho -- In metropolitan statistical area -- in principal city,406199,201973,14236,12611,14226,8542,5564,4029,3167,10240,17294,14889,13511,11826,12773,12263,12344,4678,6459,3804,4476,5829,3597,2899,2716,204226,13321,12780,12598,7654,5750,3169,3453,9941,16166,13777,12347,12676,13115,13118,13222,5079,6597,3495,4991,6496,5073,4121,5287,369041,183488,12313,10945,12401,7710,4973,15517,15478,13252,23092,23128,22088,13644,6275,2672,185553,11317,11279,11058,6713,4939,14892,14131,12630,22670,24489,23030,14305,8881,5219,4255,2340,112,214,222,133,111,343,257,93,246,294,189,28,98,0,1915,167,88,245,127,123,251,175,169,143,144,192,57,25,9,3863,1780,121,47,184,189,92,155,110,61,248,139,320,60,33,21,2083,131,123,146,126,91,123,230,219,209,286,302,69,20,8,9916,4681,429,277,289,129,12,449,525,603,815,600,222,244,75,12,5235,220,311,376,121,109,351,443,295,1063,785,686,263,191,21,494,220,22,26,10,0,34,29,18,9,49,18,5,0,0,0,274,29,0,4,0,40,116,27,0,43,0,13,2,0,0,6757,3433,366,338,305,108,117,327,325,440,443,348,217,84,15,0,3324,341,467,183,220,128,230,590,194,370,183,268,99,51,0,11873,6031,873,764,815,273,225,616,581,431,444,509,440,49,0,11,5842,1116,512,586,347,320,600,570,270,525,346,407,187,26,30,346124,171416,11044,9983,10945,7116,4626,14183,14118,12000,21646,21919,21546,13398,6232,2660,174708,10093,9884,9719,6222,4524,13753,13244,11745,21503,23479,22529,14061,8750,5202,32537,16948,2010,1464,1880,791,486,1796,1818,1702,1992,1621,975,332,58,23,15589,1931,1851,1598,797,625,1654,1669,1125,1637,1249,927,316,189,21,34.9,33.6,36.3,36.0,34.7,37.5,24.9,25.7,23.3,31.4,29.8,31.7,35.1,31.2,38.9,22.6,22.1,22.9,26.5,28.4,26.0,20.3,20.5,20.2,37.1,35.8,38.8,24.1,25.1,22.8,406199
40,ID,16,,,,,040C2US16,Idaho -- In metropolitan statistical area -- not in principal city,663779,331384,24352,29304,28728,15733,8505,3645,3756,10077,19106,22634,22097,22082,20394,21946,19508,7532,11111,6889,8543,10219,7479,4350,3394,332395,23854,26892,28546,15109,7513,4484,3754,8990,19919,22567,20779,22502,20013,21849,20410,8156,11078,6835,8623,12092,7608,5655,5167,610579,304069,21722,26508,25391,13976,7703,15097,17422,20781,40542,39569,35845,24767,11440,3306,306510,21607,24023,25703,13490,6520,15104,18676,20957,39404,38909,37828,26376,12922,4991,3326,2013,223,74,156,33,24,195,79,215,474,177,207,123,30,3,1313,17,318,272,58,42,56,15,108,252,76,49,15,0,35,8728,4376,464,375,353,203,125,240,368,271,641,543,536,143,90,24,4352,355,406,331,134,123,513,321,209,602,517,398,287,97,59,6655,2784,44,143,121,202,51,466,144,314,439,336,359,110,19,36,3871,213,204,224,174,53,276,245,171,867,677,311,326,119,11,1016,546,19,1,60,0,0,62,23,25,195,103,35,23,0,0,470,0,70,74,12,57,48,16,27,39,13,114,0,0,0,16116,8114,627,768,821,581,225,745,565,531,1275,959,627,262,103,25,8002,630,481,826,537,382,870,331,720,1295,1010,496,304,85,35,17359,9482,1253,1435,1826,738,377,673,505,497,613,653,542,223,147,0,7877,1032,1390,1116,704,336,361,315,375,822,660,448,242,40,36,549072,272992,18168,22414,22222,12009,6284,12791,14944,18474,36133,36863,34399,23817,11250,3224,276080,17831,20234,22202,11812,5487,13069,16239,18529,35135,36095,36455,25500,12597,4895,83480,42506,4630,5233,4729,2847,1693,3456,3282,3081,5866,3833,2174,1281,294,107,40974,4683,4825,4737,2513,1496,3148,2827,3265,5802,3888,2010,1217,414,149,35.5,35.0,35.9,36.2,35.8,36.7,32.7,35.4,17.6,30.9,31.2,29.8,39.2,31.8,40.6,36.0,42.5,20.9,28.1,27.5,28.9,16.5,16.4,16.7,37.9,37.4,38.5,22.9,22.9,23.0,663779
40,ID,16,,,,,040E0US16,Idaho -- In micropolitan statistical area,408759,206284,15877,16758,14692,8840,6757,3506,3703,12089,14336,13050,11776,11301,11177,12698,12069,5006,6650,4312,5561,6134,4784,2889,2319,202475,15375,15055,14758,8301,7448,3732,3759,9524,13080,12242,11272,11096,11166,12794,12570,5144,6318,3800,5541,6751,5187,3758,3804,374884,188730,14179,14921,13103,8102,5865,17362,12819,11792,20884,22034,22552,15392,7522,2203,186154,13576,13406,13205,7352,6646,15555,12014,11203,20446,22164,22830,15347,8705,3705,2067,1233,87,2,117,29,113,252,211,61,123,146,66,25,0,1,834,116,63,79,103,37,209,25,37,50,9,80,19,1,6,5110,2551,80,202,275,116,85,284,318,119,362,243,256,156,36,19,2559,120,199,173,177,140,113,256,98,303,320,317,233,95,15,4582,2000,124,139,113,88,65,337,210,180,147,253,166,110,68,0,2582,163,188,123,64,111,198,220,342,461,310,177,123,53,49,351,204,15,0,23,5,45,45,20,8,27,12,0,4,0,0,147,15,21,10,0,23,25,0,10,18,2,23,0,0,0,12613,6968,649,674,527,330,445,561,461,664,1150,869,430,141,30,37,5645,526,514,570,398,270,532,365,364,734,792,367,188,25,0,9152,4598,743,820,534,170,139,457,297,226,384,318,255,179,17,59,4554,859,664,598,207,221,383,200,188,356,363,238,182,66,29,327762,164087,11270,11689,10932,6714,5060,14889,10682,9930,17776,19860,21114,14659,7341,2171,163675,10826,10533,10698,6222,5840,13425,10176,9592,17664,20170,21719,14828,8336,3646,62879,33273,3850,4162,2932,1890,1275,3101,2814,2595,4388,3152,1910,889,215,100,29606,3503,3598,3230,1729,1143,2792,2315,2041,3680,2841,1539,716,420,59,33.2,32.5,34.1,34.2,33.4,35.1,23.1,25.4,20.5,30.4,29.0,35.3,31.1,28.3,32.5,20.5,20.4,23.2,26.8,28.6,25.3,17.9,18.4,17.4,36.4,35.4,37.5,23.4,23.8,22.9,408759
40,ID,16,,,,,040E1US16,Idaho -- In micropolitan statistical area -- in principal city,148860,74077,6164,6220,4403,2718,3030,1834,2143,7485,7009,5260,3950,3873,2986,3516,3625,1193,1752,1090,1319,1646,1322,795,744,74783,5874,4970,4590,2468,4484,2240,2305,6065,6320,4892,3831,3815,3328,3875,3207,1643,1693,880,1530,1945,1730,1383,1715,135997,67415,5555,5449,3917,2454,2661,10412,6292,4700,7153,5974,6091,3956,2072,729,68582,5201,4488,3938,2146,4039,9904,5805,4460,7042,6556,6184,4113,3028,1678,1218,832,26,0,106,19,76,193,128,55,48,104,53,24,0,0,386,18,45,56,37,32,106,22,35,13,0,16,0,0,6,1173,580,0,74,63,28,10,66,145,3,54,34,79,6,18,0,593,47,57,29,49,50,15,94,0,55,75,42,53,27,0,3200,1519,87,139,90,88,59,300,193,131,93,146,128,50,15,0,1681,102,132,86,50,111,163,153,270,204,166,100,90,33,21,182,124,0,0,0,0,45,36,7,0,27,9,0,0,0,0,58,0,0,0,0,23,24,0,0,0,0,11,0,0,0,3363,1955,238,218,31,36,118,191,154,273,347,192,141,4,12,0,1408,41,58,199,71,76,186,138,56,165,248,138,20,12,0,3727,1652,258,340,196,93,61,264,90,98,101,43,78,15,0,15,2075,465,190,282,115,153,212,108,71,167,158,52,79,13,10,121439,60203,4723,4452,3368,2099,2429,9382,5619,4223,6210,5486,5808,3734,1965,705,61236,4418,3456,3439,1854,3652,8837,5162,3939,6149,5927,5907,4025,2840,1631,19310,9848,1163,1343,682,473,411,1233,913,753,1333,727,433,226,119,39,9462,948,1186,732,527,498,1300,826,585,1123,915,444,108,223,47,27.5,26.7,28.4,28.0,27.1,28.9,22.9,23.9,20.2,26.7,25.8,28.2,28.2,25.0,31.0,20.6,20.5,23.3,29.4,29.9,28.6,16.9,16.3,17.6,28.8,27.9,29.8,23.4,23.1,23.7,148860
40,ID,16,,,,,040E2US16,Idaho -- In micropolitan statistical area -- not in principal city,259899,132207,9713,10538,10289,6122,3727,1672,1560,4604,7327,7790,7826,7428,8191,9182,8444,3813,4898,3222,4242,4488,3462,2094,1575,127692,9501,10085,10168,5833,2964,1492,1454,3459,6760,7350,7441,7281,7838,8919,9363,3501,4625,2920,4011,4806,3457,2375,2089,238887,121315,8624,9472,9186,5648,3204,6950,6527,7092,13731,16060,16461,11436,5450,1474,117572,8375,8918,9267,5206,2607,5651,6209,6743,13404,15608,16646,11234,5677,2027,849,401,61,2,11,10,37,59,83,6,75,42,13,1,0,1,448,98,18,23,66,5,103,3,2,37,9,64,19,1,0,3937,1971,80,128,212,88,75,218,173,116,308,209,177,150,18,19,1966,73,142,144,128,90,98,162,98,248,245,275,180,68,15,1382,481,37,0,23,0,6,37,17,49,54,107,38,60,53,0,901,61,56,37,14,0,35,67,72,257,144,77,33,20,28,169,80,15,0,23,5,0,9,13,8,0,3,0,4,0,0,89,15,21,10,0,0,1,0,10,18,2,12,0,0,0,9250,5013,411,456,496,294,327,370,307,391,803,677,289,137,18,37,4237,485,456,371,327,194,346,227,308,569,544,229,168,13,0,5425,2946,485,480,338,77,78,193,207,128,283,275,177,164,17,44,2479,394,474,316,92,68,171,92,117,189,205,186,103,53,19,206323,103884,6547,7237,7564,4615,2631,5507,5063,5707,11566,14374,15306,10925,5376,1466,102439,6408,7077,7259,4368,2188,4588,5014,5653,11515,14243,15812,10803,5496,2015,43569,23425,2687,2819,2250,1417,864,1868,1901,1842,3055,2425,1477,663,96,61,20144,2555,2412,2498,1202,645,1492,1489,1456,2557,1926,1095,608,197,12,37.3,36.5,38.0,38.4,37.5,39.2,23.2,26.4,21.0,33.4,30.3,36.7,42.3,48.4,38.4,16.1,16.4,14.9,26.1,27.4,23.6,18.7,20.4,17.2,41.9,41.1,42.4,23.4,24.3,21.9,259899
