SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,IL,17,,,,,04000US17,Illinois,12873761,6316899,408295,427121,437688,269202,181643,93561,94015,268501,448001,445416,416265,425825,433177,454039,414948,151729,203053,114880,144483,184622,129016,91973,79446,6556862,392900,412238,419077,257213,171458,89400,92712,258559,442418,445729,418999,427573,441116,470982,442280,162551,218089,129271,163628,223905,171743,139204,165817,9312771,4592725,267158,282221,294706,182648,120974,307762,314121,314882,599372,677330,613175,362747,185451,70178,4720046,257005,267782,279408,173242,113976,295467,306758,307763,587726,682665,635950,410663,256716,144925,1846108,866897,63828,63767,70242,46342,32716,78475,62482,56957,108753,114690,91951,48033,22624,6037,979211,61208,65330,67738,44286,30839,78160,67277,64935,127590,134121,117275,67536,37591,15325,28363,13988,656,872,1220,640,497,1057,926,1009,2188,2009,1859,694,319,42,14375,845,1090,920,680,349,1009,836,1004,2095,2187,1651,1170,313,226,645642,310197,19842,20451,17844,10963,8077,23695,27043,29022,53116,38492,31974,20121,7748,1809,335445,18610,20065,18763,10635,7633,23279,28823,32183,57854,43438,37829,23318,9807,3208,3407,1832,118,169,6,57,8,282,161,151,282,276,186,108,8,20,1575,52,106,72,43,138,113,88,215,310,233,116,67,14,8,747933,387697,33537,37076,34835,19371,13379,32351,33849,35841,65801,44101,24300,9057,3266,933,360236,31847,36423,34739,19346,11973,30237,29023,30901,57970,38823,22915,10269,4440,1330,289537,143563,23156,22565,18835,9181,5992,12455,9419,7554,12578,10318,6285,3225,1573,427,145974,23333,21442,17437,8981,6550,12406,9613,8728,13027,10631,7184,3781,2066,795,8041878,3943169,207649,219783,232988,147714,98237,253487,261268,260507,499481,605841,569290,342384,176847,67693,4098709,197841,206407,223210,140027,92639,245384,258515,257711,494243,615875,592664,388014,245327,140852,2122841,1089969,101364,107574,102762,57631,38314,91505,90165,93025,170876,119615,70720,30354,12517,3547,1032872,98474,105502,97214,55578,35345,84478,80736,84150,156404,110099,68721,34213,16393,5565,37.3,36.0,38.5,39.9,38.6,41.2,33.7,31.3,35.7,36.2,35.4,37.8,35.5,34.7,36.2,34.1,33.6,34.5,28.1,28.5,27.7,18.0,17.4,18.6,42.4,40.9,43.7,27.5,27.5,27.5,12873761
40,IL,17,,,,,04001US17,Illinois -- Urban,11419319,5576834,370109,382510,388685,237250,164567,84648,85674,243668,410714,405981,375515,379565,378750,391148,354890,128450,171757,96413,120190,152129,107085,78048,69088,5842485,357292,370236,371948,227993,157178,81647,85178,237922,409624,409194,380161,384028,388511,409645,383214,140343,188834,110881,139502,190937,148466,121722,148029,7919781,3888055,231450,240115,248317,152236,105243,268937,279894,278466,517579,565023,501706,289022,150159,59908,4031726,223658,228577,235103,145489,100742,261169,275074,272665,508090,571973,528338,336822,216563,127463,1820602,849532,63243,63284,69510,45938,32064,76506,60378,55073,105697,111893,90255,47408,22305,5978,971070,60812,64881,67099,43917,30394,77551,66932,64501,126786,132895,116066,66888,37297,15051,26222,12850,596,818,1174,569,481,1017,885,971,2038,1786,1559,609,309,38,13372,783,989,835,632,318,949,802,972,2015,1988,1522,1064,288,215,637811,307099,19590,20146,17608,10769,8000,23499,26932,28869,52455,38178,31662,19915,7667,1809,330712,18369,19695,18384,10476,7547,23129,28560,31779,57063,42855,37062,22891,9701,3201,3136,1634,118,165,3,57,6,243,157,127,277,247,146,62,8,18,1502,48,106,72,43,138,106,88,197,292,215,111,67,11,8,740859,383855,33298,36714,34546,19251,13183,32026,33495,35425,65306,43493,24013,8927,3246,932,357004,31612,36021,34399,19140,11891,29984,28860,30674,57553,38223,22721,10158,4438,1330,270908,133809,21814,21268,17527,8430,5590,11762,8973,7050,11728,9278,5756,2789,1439,405,137099,22010,19967,16056,8296,6148,11859,9308,8406,12390,10007,6571,3430,1890,761,6676215,3253592,173083,179170,188332,118268,83071,216036,227912,225432,419764,495365,458801,269090,141802,57466,3422623,165723,168617,180221,113009,79758,212013,227579,223303,416414,506398,486079,314637,205396,123476,2085788,1069740,99856,105528,100620,56391,37447,89677,88911,91203,168229,116939,69422,29785,12229,3503,1016048,96750,103496,95210,54503,34870,83209,79739,83207,154100,108184,67528,33614,16160,5478,36.4,35.2,37.8,39.1,37.7,40.4,33.7,31.2,35.7,35.7,34.4,37.5,35.4,34.7,36.2,33.6,33.1,34.3,28.1,28.4,27.7,18.0,17.3,18.7,41.8,40.3,43.3,27.5,27.6,27.5,11419319
40,IL,17,,,,,04043US17,Illinois -- Rural,1454442,740065,38186,44611,49003,31952,17076,8913,8341,24833,37287,39435,40750,46260,54427,62891,60058,23279,31296,18467,24293,32493,21931,13925,10358,714377,35608,42002,47129,29220,14280,7753,7534,20637,32794,36535,38838,43545,52605,61337,59066,22208,29255,18390,24126,32968,23277,17482,17788,1392990,704670,35708,42106,46389,30412,15731,38825,34227,36416,81793,112307,111469,73725,35292,10270,688320,33347,39205,44305,27753,13234,34298,31684,35098,79636,110692,107612,73841,40153,17462,25506,17365,585,483,732,404,652,1969,2104,1884,3056,2797,1696,625,319,59,8141,396,449,639,369,445,609,345,434,804,1226,1209,648,294,274,2141,1138,60,54,46,71,16,40,41,38,150,223,300,85,10,4,1003,62,101,85,48,31,60,34,32,80,199,129,106,25,11,7831,3098,252,305,236,194,77,196,111,153,661,314,312,206,81,0,4733,241,370,379,159,86,150,263,404,791,583,767,427,106,7,271,198,0,4,3,0,2,39,4,24,5,29,40,46,0,2,73,4,0,0,0,0,7,0,18,18,18,5,0,3,0,7074,3842,239,362,289,120,196,325,354,416,495,608,287,130,20,1,3232,235,402,340,206,82,253,163,227,417,600,194,111,2,0,18629,9754,1342,1297,1308,751,402,693,446,504,850,1040,529,436,134,22,8875,1323,1475,1381,685,402,547,305,322,637,624,613,351,176,34,1365663,689577,34566,40613,44656,29446,15166,37451,33356,35075,79717,110476,110489,73294,35045,10227,676086,32118,37790,42989,27018,12881,33371,30936,34408,77829,109477,106585,73377,39931,17376,37053,20229,1508,2046,2142,1240,867,1828,1254,1822,2647,2676,1298,569,288,44,16824,1724,2006,2004,1075,475,1269,997,943,2304,1915,1193,599,233,87,44.2,43.2,45.1,44.8,44.0,45.6,35.6,34.7,38.0,45.6,48.5,41.9,37.4,35.7,39.1,51.6,54.6,37.7,29.8,31.0,27.4,17.4,19.0,16.1,45.2,44.4,45.9,26.0,27.0,24.4,1454442
40,IL,17,,,,,040A0US17,Illinois -- In metropolitan or micropolitan statistical area,12258785,6004913,391187,408454,418015,256876,174175,89275,90070,256884,429379,425496,397506,405644,411939,430125,391987,143453,191051,107870,135160,171489,119639,85582,73657,6253872,376317,394739,400142,245740,165362,86140,89545,248905,426875,428758,403008,409666,421701,448343,419418,154095,206325,121494,153467,209617,159881,130076,154258,8735667,4306875,251290,264642,276369,171252,114561,290997,298370,297928,565387,636160,571670,333902,169936,64411,4428792,241383,251293,261847,162393,108425,279972,291999,291700,555120,641947,593997,379032,236071,133613,1824024,849064,63461,63414,69915,45999,32100,75991,60145,54660,104849,111603,90691,47715,22496,6025,974960,60931,65017,67335,44151,30729,77895,67027,64490,126999,133679,116843,67267,37429,15168,27264,13524,637,839,1183,600,497,1024,883,1002,2115,1963,1783,657,300,41,13740,816,1046,892,643,313,983,804,989,2068,2041,1570,1098,305,172,642881,309044,19746,20383,17734,10855,8023,23611,26981,28980,52857,38402,31873,20069,7721,1809,333837,18499,19987,18646,10574,7589,23235,28692,32019,57590,43258,37581,23215,9745,3207,3274,1758,100,169,3,57,8,282,160,142,279,249,174,107,8,20,1516,52,92,72,43,138,95,88,215,303,221,111,67,11,8,744244,385484,33286,36900,34586,19291,13261,32166,33625,35595,65457,43917,24215,8986,3266,933,358760,31762,36297,34493,19237,11950,30160,28901,30806,57769,38569,22847,10213,4438,1318,281431,139164,22667,22107,18225,8822,5725,12158,9215,7189,12206,9770,6085,3083,1494,418,142267,22874,21007,16857,8699,6218,12250,9364,8539,12825,10329,6889,3686,1958,772,7477246,3664742,192268,202766,215302,136634,92167,237481,246226,244416,466714,565437,528213,313737,161434,61947,3812504,182811,190473,206137,129451,87224,230392,244148,241944,462226,575598,551117,356622,224745,129616,2105363,1079689,100569,106756,101827,57175,37836,90482,89190,91884,169250,118513,70193,30081,12407,3526,1025674,97649,104755,96345,55108,35166,83854,80213,83698,155594,109366,68207,33913,16329,5477,37.0,35.7,38.3,39.7,38.4,40.9,33.7,31.2,35.8,36.0,35.4,37.2,35.5,34.7,36.2,34.1,33.5,34.5,28.1,28.5,27.7,17.9,17.3,18.5,42.2,40.8,43.6,27.5,27.5,27.5,12258785
40,IL,17,,,,,040C0US17,Illinois -- In metropolitan statistical area,11368647,5561116,365907,381145,390135,239597,161258,82086,83263,237931,402226,398397,371523,378454,382208,396758,360565,131220,173934,97977,122631,154827,106680,76658,65736,5807531,352737,369659,372232,229370,153281,78791,83050,232549,402486,403919,378671,384259,393156,415210,386675,142378,189485,111244,139753,189834,143766,117190,137836,7914522,3901514,228914,240247,250817,155341,103625,263003,274901,274085,518098,577691,513626,295982,148590,56594,4013008,220631,229230,236970,147406,98190,253083,269404,268805,509129,583350,535013,336531,207778,117488,1787750,826723,62525,62186,69056,45393,30939,72717,57549,52449,101117,108464,89152,47078,22144,5954,961027,59913,63992,66442,43571,29772,76061,66063,63553,125088,132190,115711,66687,36987,14997,25813,12840,610,836,1152,581,448,1022,798,984,2012,1836,1661,569,294,37,12973,727,1032,855,633,287,886,789,949,2033,1925,1427,1034,268,128,636483,306345,19549,20159,17528,10744,7928,23288,26834,28732,52345,38142,31641,19967,7679,1809,330138,18324,19738,18375,10510,7464,22896,28396,31583,56924,42806,37252,22996,9692,3182,2966,1551,95,165,3,57,8,234,114,142,260,223,117,107,8,18,1415,48,92,72,43,126,67,88,204,272,221,103,60,11,8,735895,380926,32979,36706,34369,19082,12975,31778,33191,35050,64528,43427,23824,8860,3224,933,354969,31367,35855,34093,19029,11757,29828,28643,30586,57305,38101,22636,10053,4424,1292,265218,131217,21235,20846,17210,8399,5335,11238,8839,6955,11617,9183,5698,2872,1399,391,134001,21727,19720,15425,8178,5685,11569,9103,8239,12179,9773,6396,3470,1796,741,6686389,3276132,171679,180190,191633,121582,81942,211086,223932,221842,421927,508410,471181,276264,140313,54151,3410257,163302,169985,182568,115191,77642,204764,222445,219995,418161,518150,493056,314661,196710,113627,2063190,1056561,98265,104515,99535,56010,36738,88178,87394,90008,165701,116447,68725,29418,12122,3505,1006629,95841,102587,94255,54089,34266,81980,79002,82426,153075,107599,66978,33176,16046,5309,36.7,35.5,38.0,39.4,38.2,40.6,33.8,31.2,35.9,35.7,34.9,36.7,35.5,34.7,36.2,34.1,33.5,34.6,28.1,28.4,27.8,18.0,17.3,18.7,42.1,40.7,43.4,27.6,27.6,27.6,11368647
40,IL,17,,,,,040C1US17,Illinois -- In metropolitan statistical area -- in principal city,4223916,2051392,142167,130945,130042,77940,62399,34416,36063,102177,186873,175645,148746,136432,129244,129282,119224,44469,58786,32462,39873,50553,35099,25965,22590,2172524,140233,129320,123421,74819,63211,34199,35580,104435,194013,178502,147130,138030,131357,137604,131783,48439,67229,38373,47959,65487,50291,41499,49610,2371070,1171323,69354,62000,59470,36468,32437,93856,115023,107171,167201,152922,139768,79212,39631,16810,1199747,68879,59778,57365,34171,32553,92690,115792,102933,153980,150156,145897,91712,57530,36311,1057088,482195,37932,36489,39763,24415,16757,43279,34281,30099,56249,62676,52651,29070,14644,3890,574893,37060,37195,37858,24433,17764,46606,40810,38303,71255,76503,69145,42286,25358,10317,11551,5553,290,284,425,270,245,572,376,352,840,752,782,209,146,10,5998,327,447,327,345,90,424,349,608,809,955,734,429,133,21,308395,149720,9281,7970,7447,4205,4542,14341,16389,16828,24942,16806,13908,8255,3835,971,158675,8977,7690,7193,4140,4558,14216,17399,17551,26012,18145,16131,9761,5190,1712,1145,569,49,34,0,0,6,101,43,47,106,104,27,44,8,0,576,20,26,39,28,21,36,65,120,96,41,59,20,5,0,363131,187177,15731,16475,16481,9680,6094,15401,16131,17703,30986,21567,13194,4965,2085,684,175954,15510,16941,15226,9021,5908,15056,14476,14800,27707,19040,12673,6056,2671,869,111536,54855,9530,7693,6456,2902,2318,5106,4630,3445,4854,3699,2149,1133,715,225,56681,9460,7243,5413,2681,2317,5186,5122,4187,5301,4121,2812,1555,903,380,1815602,888465,45125,38227,35180,22674,23001,69083,89710,82710,122849,121359,119118,68490,35321,15618,927137,44485,35566,34423,20768,23348,70518,92685,80104,112868,120875,125160,80430,51670,34237,964185,492717,43914,43852,43490,24483,16353,42138,42994,43369,77456,54975,34858,16166,6764,1905,471468,43206,44581,40485,23655,15983,39054,39401,39256,70816,50433,34784,18018,8788,3008,34.3,33.4,35.3,36.3,35.5,37.1,33.9,31.3,36.0,35.3,34.4,37.1,33.7,33.1,34.3,32.6,36.2,31.7,28.9,29.3,28.6,19.9,18.8,20.9,38.9,37.9,40.2,28.7,28.7,28.7,4223916
40,IL,17,,,,,040C2US17,Illinois -- In metropolitan statistical area -- not in principal city,7144731,3509724,223740,250200,260093,161657,98859,47670,47200,135754,215353,222752,222777,242022,252964,267476,241341,86751,115148,65515,82758,104274,71581,50693,43146,3635007,212504,240339,248811,154551,90070,44592,47470,128114,208473,225417,231541,246229,261799,277606,254892,93939,122256,72871,91794,124347,93475,75691,88226,5543452,2730191,159560,178247,191347,118873,71188,169147,159878,166914,350897,424769,373858,216770,108959,39784,2813261,151752,169452,179605,113235,65637,160393,153612,165872,355149,433194,389116,244819,150248,81177,730662,344528,24593,25697,29293,20978,14182,29438,23268,22350,44868,45788,36501,18008,7500,2064,386134,22853,26797,28584,19138,12008,29455,25253,25250,53833,55687,46566,24401,11629,4680,14262,7287,320,552,727,311,203,450,422,632,1172,1084,879,360,148,27,6975,400,585,528,288,197,462,440,341,1224,970,693,605,135,107,328088,156625,10268,12189,10081,6539,3386,8947,10445,11904,27403,21336,17733,11712,3844,838,171463,9347,12048,11182,6370,2906,8680,10997,14032,30912,24661,21121,13235,4502,1470,1821,982,46,131,3,57,2,133,71,95,154,119,90,63,0,18,839,28,66,33,15,105,31,23,84,176,180,44,40,6,8,372764,193749,17248,20231,17888,9402,6881,16377,17060,17347,33542,21860,10630,3895,1139,249,179015,15857,18914,18867,10008,5849,14772,14167,15786,29598,19061,9963,3997,1753,423,153682,76362,11705,13153,10754,5497,3017,6132,4209,3510,6763,5484,3549,1739,684,166,77320,12267,12477,10012,5497,3368,6383,3981,4052,6878,5652,3584,1915,893,361,4870787,2387667,126554,141963,156453,98908,58941,142003,134222,139132,299078,387051,352063,207774,104992,38533,2483120,118817,134419,148145,94423,54294,134246,129760,139891,305293,397275,367896,234231,145040,79390,1099005,563844,54351,60663,56045,31527,20385,46040,44400,46639,88245,61472,33867,13252,5358,1600,535161,52635,58006,53770,30434,18283,42926,39601,43170,82259,57166,32194,15158,7258,2301,38.4,37.1,39.7,40.8,39.5,42.1,33.6,31.0,35.7,35.8,35.2,36.5,37.7,36.8,38.4,34.7,33.4,36.7,27.3,27.7,26.9,16.8,16.5,17.0,43.2,41.9,44.5,26.5,26.5,26.5,7144731
40,IL,17,,,,,040E0US17,Illinois -- In micropolitan statistical area,890138,443797,25280,27309,27880,17279,12917,7189,6807,18953,27153,27099,25983,27190,29731,33367,31422,12233,17117,9893,12529,16662,12959,8924,7921,446341,23580,25080,27910,16370,12081,7349,6495,16356,24389,24839,24337,25407,28545,33133,32743,11717,16840,10250,13714,19783,16115,12886,16422,821145,405361,22376,24395,25552,15911,10936,27994,23469,23843,47289,58469,58044,37920,21346,7817,415784,20752,22063,24877,14987,10235,26889,22595,22895,45991,58597,58984,42501,28293,16125,36274,22341,936,1228,859,606,1161,3274,2596,2211,3732,3139,1539,637,352,71,13933,1018,1025,893,580,957,1834,964,937,1911,1489,1132,580,442,171,1451,684,27,3,31,19,49,2,85,18,103,127,122,88,6,4,767,89,14,37,10,26,97,15,40,35,116,143,64,37,44,6398,2699,197,224,206,111,95,323,147,248,512,260,232,102,42,0,3699,175,249,271,64,125,339,296,436,666,452,329,219,53,25,308,207,5,4,0,0,0,48,46,0,19,26,57,0,0,2,101,4,0,0,0,12,28,0,11,31,0,8,7,0,0,8349,4558,307,194,217,209,286,388,434,545,929,490,391,126,42,0,3791,395,442,400,208,193,332,258,220,464,468,211,160,14,26,16213,7947,1432,1261,1015,423,390,920,376,234,589,587,387,211,95,27,8266,1147,1287,1432,521,533,681,261,300,646,556,493,216,162,31,790857,388610,20589,22576,23669,15052,10225,26395,22294,22574,44787,57027,57032,37473,21121,7796,402247,19509,20488,23569,14260,9582,25628,21703,21949,44065,57448,58061,41961,28035,15989,42173,23128,2304,2241,2292,1165,1098,2304,1796,1876,3549,2066,1468,663,285,21,19045,1808,2168,2090,1019,900,1874,1211,1272,2519,1767,1229,737,283,168,41.1,39.7,43.0,42.7,40.9,44.3,30.3,30.9,28.2,47.6,45.6,48.3,33.1,31.5,34.0,32.6,35.0,32.6,29.1,31.9,24.3,16.8,16.8,16.7,43.5,42.0,45.1,24.8,25.4,24.0,890138
40,IL,17,,,,,040E1US17,Illinois -- In micropolitan statistical area -- in principal city,333045,164049,10102,10208,9502,5567,6354,3527,3586,9349,11730,10826,9634,9368,10225,10940,10119,4114,5595,3260,4183,4844,4310,3231,3475,168996,9590,8942,9547,5382,6739,4080,3615,7945,10432,9519,8980,8422,9504,10570,11159,3760,5746,3618,4768,6486,6418,5493,8281,290082,140086,8005,8259,8239,4729,5007,13095,9684,8788,15538,18423,18186,11546,7169,3418,149996,7859,7211,7717,4541,5181,13031,9362,8426,15227,18318,19446,14129,11444,8104,25685,15383,832,965,611,517,939,2425,1409,1467,2315,2018,1011,524,293,57,10302,838,702,678,453,906,1523,650,583,1304,996,718,460,377,114,437,153,0,0,8,1,15,0,1,0,46,40,16,26,0,0,284,15,0,27,7,0,34,0,23,7,48,53,14,31,25,3816,1765,140,175,87,19,62,260,99,176,344,171,173,45,14,0,2051,67,197,123,25,75,331,217,254,388,203,102,49,13,7,217,158,0,0,0,0,0,33,46,0,17,26,36,0,0,0,59,0,0,0,0,12,18,0,0,14,0,8,7,0,0,4249,2405,223,119,103,103,218,165,303,249,442,190,205,85,0,0,1844,155,227,205,51,143,236,90,92,140,287,78,110,4,26,8559,4099,902,690,454,198,113,484,188,146,300,297,201,61,65,0,4460,656,605,797,305,422,467,113,141,322,222,260,103,42,5,277123,132799,7408,7518,7568,4370,4573,12300,9207,8256,14294,17737,17779,11334,7048,3407,144324,7295,6572,7214,4266,4877,12326,9059,8071,14468,17910,19073,13871,11314,8008,19141,10679,954,978,878,480,654,1177,892,808,1793,920,671,331,132,11,8462,815,927,921,398,481,1100,430,496,967,768,502,384,145,128,37.5,35.5,39.8,40.0,37.7,42.6,28.6,30.0,25.2,52.2,52.1,52.2,30.5,31.7,29.7,30.0,32.5,21.9,25.8,28.8,23.5,16.1,15.1,16.7,40.9,38.8,43.6,24.5,25.8,23.0,333045
40,IL,17,,,,,040E2US17,Illinois -- In micropolitan statistical area -- not in principal city,557093,279748,15178,17101,18378,11712,6563,3662,3221,9604,15423,16273,16349,17822,19506,22427,21303,8119,11522,6633,8346,11818,8649,5693,4446,277345,13990,16138,18363,10988,5342,3269,2880,8411,13957,15320,15357,16985,19041,22563,21584,7957,11094,6632,8946,13297,9697,7393,8141,531063,265275,14371,16136,17313,11182,5929,14899,13785,15055,31751,40046,39858,26374,14177,4399,265788,12893,14852,17160,10446,5054,13858,13233,14469,30764,40279,39538,28372,16849,8021,10589,6958,104,263,248,89,222,849,1187,744,1417,1121,528,113,59,14,3631,180,323,215,127,51,311,314,354,607,493,414,120,65,57,1014,531,27,3,23,18,34,2,84,18,57,87,106,62,6,4,483,74,14,10,3,26,63,15,17,28,68,90,50,6,19,2582,934,57,49,119,92,33,63,48,72,168,89,59,57,28,0,1648,108,52,148,39,50,8,79,182,278,249,227,170,40,18,91,49,5,4,0,0,0,15,0,0,2,0,21,0,0,2,42,4,0,0,0,0,10,0,11,17,0,0,0,0,0,4100,2153,84,75,114,106,68,223,131,296,487,300,186,41,42,0,1947,240,215,195,157,50,96,168,128,324,181,133,50,10,0,7654,3848,530,571,561,225,277,436,188,88,289,290,186,150,30,27,3806,491,682,635,216,111,214,148,159,324,334,233,113,120,26,513734,255811,13181,15058,16101,10682,5652,14095,13087,14318,30493,39290,39253,26139,14073,4389,257923,12214,13916,16355,9994,4705,13302,12644,13878,29597,39538,38988,28090,16721,7981,23032,12449,1350,1263,1414,685,444,1127,904,1068,1756,1146,797,332,153,10,10583,993,1241,1169,621,419,774,781,776,1552,999,727,353,138,40,43.1,41.8,44.4,43.9,42.6,45.1,33.4,33.2,34.2,43.2,43.0,43.2,38.5,31.1,42.0,32.7,40.3,32.6,31.5,34.5,26.0,17.5,18.6,16.7,44.6,43.5,45.8,25.1,24.7,25.7,557093
