SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,IN,18,,,,,04000US18,Indiana,6568645,3235263,215697,226901,229911,139494,97874,50579,50310,140805,210315,211656,201979,212114,216446,232241,217033,79215,107197,64645,75691,99402,68758,47628,39372,3333382,205242,214964,221563,132879,91569,52021,50616,131947,208593,210103,200693,212653,219033,237844,228674,84217,113136,68867,87389,116834,88794,72061,83690,5529201,2724876,166446,177233,182950,112317,77255,194524,171883,173669,346524,393028,363167,220516,108382,36982,2804325,158001,167710,174810,106962,72709,190195,169937,171679,342906,396217,377925,248793,148107,78374,603014,289359,23646,25424,24637,15326,10599,25460,20903,20886,36930,35837,28373,13295,6144,1899,313655,23142,23552,24250,14636,9935,25312,22700,22545,41352,40151,33955,18129,9538,4458,14793,7455,380,614,470,210,264,425,418,585,863,1442,922,620,178,64,7338,225,580,501,226,177,544,267,334,1170,1440,1164,457,190,63,121729,59480,4243,3997,3548,2121,3160,8331,5751,5863,9333,6295,3682,2418,640,98,62249,3442,4234,4292,2060,2499,6765,5414,6250,10595,7419,5405,2396,1199,279,2285,1093,110,57,110,39,75,101,91,63,223,132,64,28,0,0,1192,126,171,157,57,34,51,134,62,107,183,60,35,15,0,152022,79026,7580,8141,7732,3658,2845,7120,7065,7295,14350,7696,3955,1037,342,210,72996,8415,7826,7519,3770,2615,6194,5764,5876,11597,6884,4081,1561,726,168,145601,73974,13292,11435,10464,5823,3676,5733,4204,3295,5870,4257,3282,1824,700,119,71627,11891,10891,10034,5168,3600,5523,4377,3357,5619,4583,3437,1719,1080,348,5288121,2599237,153481,162875,169826,105820,72412,183957,162463,162850,328105,381102,355838,217243,106743,36522,2688884,145269,153866,161536,100807,68661,181248,162072,162357,326768,386108,371010,245431,146161,77590,421206,219189,23664,24660,22881,11198,8285,18650,17664,19016,33688,20432,11735,4611,2067,638,202017,23112,23521,22675,11084,7280,16295,14833,16162,28752,18109,11467,4983,2766,978,37.3,36.1,38.6,39.5,38.2,40.7,31.4,29.7,33.0,40.3,39.4,41.6,30.4,28.6,31.8,26.0,26.6,25.0,26.1,26.8,25.2,16.2,15.9,16.6,40.3,39.0,41.5,24.6,25.1,24.0,6568645
40,IN,18,,,,,04001US18,Indiana -- Urban,4776392,2322166,163095,166044,164693,96890,75218,39441,40340,110489,165915,163036,149815,153247,149789,155695,144097,52608,71023,41726,48556,63404,45037,32957,29051,2454226,158116,158362,160475,94118,73150,42530,41830,106692,166368,164452,151479,155161,153249,164576,158048,57960,77699,47706,59227,81307,62734,53953,65034,3789580,1840974,116281,119080,120519,71567,55805,145681,129599,127391,239249,253383,229543,135767,70371,26738,1948606,112850,113640,116311,69513,55245,147752,128825,127394,239019,260164,248230,165333,104458,59872,590590,280631,23303,25098,24102,14875,10276,24321,20051,19908,35599,34531,27665,12964,6062,1876,309959,22919,23266,24023,14417,9722,25203,22468,22220,40827,39736,33398,17862,9472,4426,11086,5647,341,460,354,186,206,321,378,490,739,1023,548,454,124,23,5439,195,449,349,189,132,469,224,243,948,953,806,269,150,63,114297,56640,4016,3831,3369,1906,3000,8058,5586,5605,8880,5910,3525,2229,627,98,57657,3315,3778,3916,1907,2389,6591,5196,5852,9726,6671,4876,2100,1142,198,1759,819,77,24,78,39,75,101,78,41,136,109,33,28,0,0,940,119,131,104,57,34,51,112,45,95,128,40,21,3,0,143537,74346,7115,7649,7415,3496,2687,6804,6528,6857,13450,7185,3755,888,311,206,69191,8046,7386,7269,3628,2475,5889,5410,5687,11120,6427,3612,1373,711,158,125543,63109,11962,9902,8856,4821,3169,4984,3695,2744,5009,3343,2659,1356,499,110,62434,10672,9712,8503,4407,3153,5097,4133,3011,4905,3746,2745,1282,751,317,3575783,1729616,104795,106544,108936,65864,51431,136102,121092,117569,222877,242920,223259,132861,69016,26350,1846167,101456,101724,104605,64101,51617,139662,121686,118987,224432,251339,242193,162429,102774,59162,382947,198817,21488,22117,20675,10102,7565,17238,16156,17552,30706,18366,10449,4090,1751,562,184130,21274,21065,20562,10010,6673,15115,13762,15035,26654,16279,10024,4319,2485,873,35.6,34.3,37.0,37.9,36.4,39.4,31.4,29.6,33.0,39.0,36.6,39.8,30.1,28.5,31.4,24.6,26.0,22.6,25.9,26.6,24.9,15.9,15.5,16.3,38.9,37.4,40.4,24.6,25.1,24.0,4776392
40,IN,18,,,,,04043US18,Indiana -- Rural,1792253,913097,52602,60857,65218,42604,22656,11138,9970,30316,44400,48620,52164,58867,66657,76546,72936,26607,36174,22919,27135,35998,23721,14671,10321,879156,47126,56602,61088,38761,18419,9491,8786,25255,42225,45651,49214,57492,65784,73268,70626,26257,35437,21161,28162,35527,26060,18108,18656,1739621,883902,50165,58153,62431,40750,21450,48843,42284,46278,107275,139645,133624,84749,38011,10244,855719,45151,54070,58499,37449,17464,42443,41112,44285,103887,136053,129695,83460,43649,18502,12424,8728,343,326,535,451,323,1139,852,978,1331,1306,708,331,82,23,3696,223,286,227,219,213,109,232,325,525,415,557,267,66,32,3707,1808,39,154,116,24,58,104,40,95,124,419,374,166,54,41,1899,30,131,152,37,45,75,43,91,222,487,358,188,40,0,7432,2840,227,166,179,215,160,273,165,258,453,385,157,189,13,0,4592,127,456,376,153,110,174,218,398,869,748,529,296,57,81,526,274,33,33,32,0,0,0,13,22,87,23,31,0,0,0,252,7,40,53,0,0,0,22,17,12,55,20,14,12,0,8485,4680,465,492,317,162,158,316,537,438,900,511,200,149,31,4,3805,369,440,250,142,140,305,354,189,477,457,469,188,15,10,20058,10865,1330,1533,1608,1002,507,749,509,551,861,914,623,468,201,9,9193,1219,1179,1531,761,447,426,244,346,714,837,692,437,329,31,1712338,869621,48686,56331,60890,39956,20981,47855,41371,45281,105228,138182,132579,84382,37727,10172,842717,43813,52142,56931,36706,17044,41586,40386,43370,102336,134769,128817,83002,43387,18428,38259,20372,2176,2543,2206,1096,720,1412,1508,1464,2982,2066,1286,521,316,76,17887,1838,2456,2113,1074,607,1180,1071,1127,2098,1830,1443,664,281,105,42.3,41.4,43.2,42.7,42.0,43.6,32.7,31.8,35.4,49.8,50.6,49.5,35.4,30.4,38.6,34.0,35.8,32.3,28.7,28.5,28.7,17.8,17.9,17.7,43.0,42.3,43.9,24.5,25.1,23.7,1792253
40,IN,18,,,,,040A0US18,Indiana -- In metropolitan or micropolitan statistical area,6105851,3004280,200909,211173,212915,128964,92176,47786,47540,132801,197828,198418,188301,197582,200657,214703,200421,72665,98640,59503,68852,90409,62244,43670,36123,3101571,191447,199941,205818,123066,86486,49504,47893,124657,196594,197146,187523,198301,203490,220582,212152,77537,104524,63527,79871,106861,81351,66143,77157,5081723,2501808,152369,162200,166774,102197,71769,181698,159991,161001,319396,360559,332152,199849,98105,33748,2579915,144857,153569,159785,97548,67963,178076,158328,159232,316215,364170,346895,226404,134978,71895,599578,287328,23580,25329,24591,15239,10537,25125,20712,20651,36558,35640,28160,13232,6077,1897,312250,23037,23458,24189,14595,9872,25212,22600,22425,41193,39955,33813,17978,9487,4436,14024,7121,365,574,459,206,264,414,393,581,832,1398,822,598,157,58,6903,217,546,494,222,171,517,242,310,1154,1321,1074,415,165,55,120232,58883,4187,3970,3525,2099,3150,8244,5695,5826,9239,6189,3670,2395,596,98,61349,3434,4160,4261,1966,2493,6746,5379,6110,10440,7288,5281,2351,1169,271,2103,948,110,57,110,39,75,77,70,63,165,94,60,28,0,0,1155,126,171,133,44,34,51,134,62,107,183,60,35,15,0,148600,77133,7420,7955,7557,3572,2824,7004,6867,7124,14011,7426,3865,994,308,206,71467,8270,7654,7355,3738,2507,6142,5626,5731,11390,6822,3911,1442,711,168,139591,71059,12878,11088,9899,5612,3557,5565,4100,3172,5682,4054,2997,1668,671,116,68532,11506,10383,9601,4953,3446,5310,4285,3276,5325,4333,3179,1634,969,332,4847695,2379797,139877,148368,154015,95871,67002,171400,150839,150604,301538,348878,324959,196642,96496,33308,2467898,132704,140123,146871,91620,64015,169294,150659,150331,300417,354328,340184,223148,133072,71132,409877,213219,22991,23868,22203,10939,8179,18219,17150,18414,32788,19867,11498,4494,1995,614,196658,22363,22893,22052,10763,7036,16043,14497,15601,28155,17780,11079,4740,2707,949,37.1,35.8,38.4,39.3,38.0,40.6,31.4,29.7,33.0,39.9,39.2,41.2,30.3,28.6,31.7,25.7,26.1,25.5,26.0,26.7,25.1,16.1,15.8,16.5,40.2,38.9,41.4,24.6,25.1,24.0,6105851
40,IN,18,,,,,040C0US18,Indiana -- In metropolitan statistical area,5095864,2501340,169198,176346,177990,106782,77097,40399,40561,112672,168872,168695,158339,164980,166569,177138,164795,59918,80356,48149,55824,72629,49600,34959,29472,2594524,161310,168046,172008,101940,73166,42243,41245,107153,169292,168927,159076,166451,170084,183253,175890,64776,85659,51900,65079,86208,65682,52899,62237,4131442,2032177,123745,130722,134923,81886,58415,150667,133562,133436,261266,292483,267890,158911,77062,27209,2099265,117384,124150,128505,78106,55916,148535,132412,132507,259665,296438,281200,180565,106709,57173,581512,276643,23018,24563,23777,14692,9793,23996,20004,19842,35328,34220,26927,12778,5900,1805,304869,22557,23031,23710,14165,9308,24619,22165,22061,40345,38945,33068,17390,9183,4322,11783,5916,352,490,438,168,221,258,336,484,739,1166,591,476,139,58,5867,168,473,420,200,128,456,230,278,1021,1097,878,343,147,28,113575,55747,3941,3767,3278,1982,3016,7978,5346,5604,8567,5915,3511,2220,532,90,57828,3223,3903,4065,1864,2381,6570,5163,5753,9836,6587,4876,2220,1116,271,1836,828,95,30,86,39,61,64,65,60,159,81,60,28,0,0,1008,119,152,110,26,34,51,134,56,100,132,58,21,15,0,131522,67632,6404,6964,6579,3219,2559,5881,5972,6514,12203,6565,3426,863,282,201,63890,7414,6866,6615,3130,2349,5470,5148,5277,9836,6229,3452,1292,644,168,124194,62397,11643,9810,8909,4796,3032,4788,3587,2755,5057,3277,2664,1326,644,109,61797,10445,9471,8583,4449,3050,4940,4040,2995,4724,3909,2793,1356,767,275,3926000,1925034,112819,118937,123756,76357,54327,141583,125214,124449,245554,282110,261548,155903,75636,26841,2000966,106849,112496,117343,73027,52590,140698,125719,124596,245711,287577,275334,177521,105005,56500,361165,187244,20103,20527,19398,9677,7175,15779,15264,16276,28838,17587,10180,4128,1783,529,173921,19594,20058,19402,9239,6156,14296,13009,14069,24657,16058,9743,4354,2427,859,36.6,35.4,37.9,39.0,37.7,40.2,31.4,29.6,33.0,39.6,39.1,40.6,30.1,28.4,31.4,26.2,26.7,25.3,26.2,26.9,25.1,15.9,15.5,16.4,39.9,38.6,41.1,24.9,25.3,24.3,5095864
40,IN,18,,,,,040C1US18,Indiana -- In metropolitan statistical area -- in principal city,2158494,1042561,77492,72280,69322,40398,37480,20746,21807,58554,84363,75734,65318,65244,63494,67343,61508,22952,30350,17543,19562,25654,18596,13700,13121,1115933,74664,71031,68123,39656,37961,22481,23533,58741,87566,76844,66976,64941,65622,72196,69880,25572,33004,19464,25037,34356,26795,22792,28698,1504890,729679,46189,42348,41960,24416,24937,71735,59919,52741,91028,96749,89030,50500,26720,11407,775211,44938,42614,39856,23712,26009,74135,60755,52161,88212,98404,96803,62369,40560,24683,442053,205644,18105,18108,17599,10803,7129,17484,14466,13911,24750,25819,21043,10093,4837,1497,236409,17092,17320,17922,10743,7170,19898,17721,16386,30109,30767,25769,13957,7888,3667,5282,2738,263,302,233,56,113,99,169,220,434,371,275,159,27,17,2544,64,263,117,28,67,245,114,122,538,395,385,124,70,12,70648,35713,2476,2438,1720,1143,2272,5797,4104,3864,5221,3277,2046,963,352,40,34935,1928,2078,2334,1148,1682,4806,3837,3775,5382,3355,2672,1319,487,132,1092,468,77,21,48,25,29,64,65,0,72,22,25,20,0,0,624,108,120,49,26,34,31,107,43,62,33,8,3,0,0,67261,35278,3873,4076,3181,1680,1254,3031,3391,3509,6300,3214,1257,329,88,95,31983,4317,3132,3561,1707,1227,2688,2688,2719,4889,2717,1617,451,211,59,67268,33041,6509,4987,4581,2275,1746,2897,2249,1489,2757,1385,1134,695,272,65,34227,6217,5504,4284,2292,1772,2952,2344,1638,2725,2147,1202,634,371,145,1400369,674935,40261,35759,35799,21867,22949,66477,55375,47696,83220,92098,86480,49419,26254,11281,725434,38819,36129,34369,21239,24050,69973,56976,47446,81087,94696,94859,61271,40068,24452,181748,95172,11170,11156,9843,4554,3413,8594,8406,8811,14775,8147,3986,1574,573,170,86576,11085,10298,9604,4444,3368,7329,7036,7721,12540,6896,3702,1519,744,290,33.6,32.5,34.8,36.2,35.1,37.5,31.6,29.7,33.1,36.5,34.0,39.4,28.3,27.2,29.5,20.7,22.6,18.5,24.9,25.9,23.4,15.8,15.5,16.1,37.6,36.2,39.0,23.7,24.3,22.8,2158494
40,IN,18,,,,,040C2US18,Indiana -- In metropolitan statistical area -- not in principal city,2937370,1458779,91706,104066,108668,66384,39617,19653,18754,54118,84509,92961,93021,99736,103075,109795,103287,36966,50006,30606,36262,46975,31004,21259,16351,1478591,86646,97015,103885,62284,35205,19762,17712,48412,81726,92083,92100,101510,104462,111057,106010,39204,52655,32436,40042,51852,38887,30107,33539,2626552,1302498,77556,88374,92963,57470,33478,78932,73643,80695,170238,195734,178860,108411,50342,15802,1324054,72446,81536,88649,54394,29907,74400,71657,80346,171453,198034,184397,118196,66149,32490,139459,70999,4913,6455,6178,3889,2664,6512,5538,5931,10578,8401,5884,2685,1063,308,68460,5465,5711,5788,3422,2138,4721,4444,5675,10236,8178,7299,3433,1295,655,6501,3178,89,188,205,112,108,159,167,264,305,795,316,317,112,41,3323,104,210,303,172,61,211,116,156,483,702,493,219,77,16,42927,20034,1465,1329,1558,839,744,2181,1242,1740,3346,2638,1465,1257,180,50,22893,1295,1825,1731,716,699,1764,1326,1978,4454,3232,2204,901,629,139,744,360,18,9,38,14,32,0,0,60,87,59,35,8,0,0,384,11,32,61,0,0,20,27,13,38,99,50,18,15,0,64261,32354,2531,2888,3398,1539,1305,2850,2581,3005,5903,3351,2169,534,194,106,31907,3097,3734,3054,1423,1122,2782,2460,2558,4947,3512,1835,841,433,109,56926,29356,5134,4823,4328,2521,1286,1891,1338,1266,2300,1892,1530,631,372,44,27570,4228,3967,4299,2157,1278,1988,1696,1357,1999,1762,1591,722,396,130,2525631,1250099,72558,83178,87957,54490,31378,75106,69839,76753,162334,190012,175068,106484,49382,15560,1275532,68030,76367,82974,51788,28540,70725,68743,77150,164624,192881,180475,116250,64937,32048,179417,92072,8933,9371,9555,5123,3762,7185,6858,7465,14063,9440,6194,2554,1210,359,87345,8509,9760,9798,4795,2788,6967,5973,6348,12117,9162,6041,2835,1683,569,38.9,37.7,40.1,40.4,39.2,41.5,31.0,29.5,32.7,43.8,44.9,42.2,33.9,31.9,35.2,40.4,37.2,42.8,27.8,28.5,26.6,16.0,15.4,16.8,40.9,39.8,42.1,26.3,26.5,26.0,2937370
40,IN,18,,,,,040E0US18,Indiana -- In micropolitan statistical area,1009987,502940,31711,34827,34925,22182,15079,7387,6979,20129,28956,29723,29962,32602,34088,37565,35626,12747,18284,11354,13028,17780,12644,8711,6651,507047,30137,31895,33810,21126,13320,7261,6648,17504,27302,28219,28447,31850,33406,37329,36262,12761,18865,11627,14792,20653,15669,13244,14920,950281,469631,28624,31478,31851,20311,13354,31031,26429,27565,58130,68076,64262,40938,21043,6539,480650,27473,29419,31280,19442,12047,29541,25916,26725,56550,67732,65695,45839,28269,14722,18066,10685,562,766,814,547,744,1129,708,809,1230,1420,1233,454,177,92,7381,480,427,479,430,564,593,435,364,848,1010,745,588,304,114,2241,1205,13,84,21,38,43,156,57,97,93,232,231,122,18,0,1036,49,73,74,22,43,61,12,32,133,224,196,72,18,27,6657,3136,246,203,247,117,134,266,349,222,672,274,159,175,64,8,3521,211,257,196,102,112,176,216,357,604,701,405,131,53,0,267,120,15,27,24,0,14,13,5,3,6,13,0,0,0,0,147,7,19,23,18,0,0,0,6,7,51,2,14,0,0,17078,9501,1016,991,978,353,265,1123,895,610,1808,861,439,131,26,5,7577,856,788,740,608,158,672,478,454,1554,593,459,150,67,0,15397,8662,1235,1278,990,816,525,777,513,417,625,777,333,342,27,7,6735,1061,912,1018,504,396,370,245,281,601,424,386,278,202,57,921695,454763,27058,29431,30259,19514,12675,29817,25625,26155,55984,66768,63411,40739,20860,6467,466932,25855,27627,29528,18593,11425,28596,24940,25735,54706,66751,64850,45627,28067,14632,48712,25975,2888,3341,2805,1262,1004,2440,1886,2138,3950,2280,1318,366,212,85,22737,2769,2835,2650,1524,880,1747,1488,1532,3498,1722,1336,386,280,90,39.8,38.2,41.2,40.7,39.4,41.9,30.8,30.3,32.4,45.8,45.1,47.2,34.4,30.0,37.7,18.0,14.7,35.1,25.0,25.1,24.7,17.8,18.0,17.2,41.4,40.1,42.6,22.9,23.8,21.7,1009987
40,IN,18,,,,,040E1US18,Indiana -- In micropolitan statistical area -- in principal city,359170,171701,11666,12000,11544,6830,6173,2950,2878,7824,11892,11489,10888,11165,10888,11066,10524,4122,5909,3427,3819,5182,3903,2979,2583,187469,12417,11367,11482,6845,5348,3419,3182,7513,11437,11318,10564,11313,10810,11841,12195,4162,6410,4266,5101,7601,5951,6029,6898,323151,152085,9733,10135,9878,5843,5029,11677,10234,10349,19189,19900,19101,11852,6632,2533,171066,10772,9925,9888,5849,4679,12878,10469,10335,19467,20917,21417,16174,11557,6739,13123,7384,338,548,592,314,600,698,355,506,858,1011,1012,345,163,44,5739,416,304,395,276,352,447,384,286,583,804,599,537,250,106,719,344,0,33,0,18,14,42,44,20,30,64,51,28,0,0,375,11,0,10,14,9,35,8,5,81,68,80,20,14,20,3995,2025,146,114,46,44,58,195,327,169,536,171,70,82,64,3,1970,161,129,133,35,58,138,132,253,273,361,231,34,32,0,152,60,0,3,18,0,14,13,0,3,0,9,0,0,0,0,92,0,0,19,18,0,0,0,0,5,50,0,0,0,0,10616,5740,638,517,656,256,172,615,570,307,1140,517,275,54,23,0,4876,422,513,597,389,103,438,285,245,1130,326,283,86,59,0,7414,4063,811,650,354,355,286,412,362,135,300,282,46,67,0,3,3351,635,496,440,264,147,178,159,194,338,125,157,117,68,33,307852,144330,8943,8956,8955,5489,4765,11094,9861,9538,17909,19314,18675,11801,6544,2486,163522,9628,8958,8997,5430,4373,12243,9957,9787,18440,20541,21012,16055,11419,6682,27812,14419,1657,1830,1665,700,469,1254,1068,1227,2401,1184,697,106,111,50,13393,1799,1639,1531,841,508,1177,826,872,2247,773,706,209,208,57,37.3,35.3,39.4,38.7,36.8,40.7,32.3,31.5,35.4,41.6,35.2,47.6,32.9,30.7,34.4,21.3,18.6,48.1,25.0,25.1,24.6,16.3,16.8,15.8,39.8,37.6,41.7,22.3,23.5,21.1,359170
40,IN,18,,,,,040E2US18,Indiana -- In micropolitan statistical area -- not in principal city,650817,331239,20045,22827,23381,15352,8906,4437,4101,12305,17064,18234,19074,21437,23200,26499,25102,8625,12375,7927,9209,12598,8741,5732,4068,319578,17720,20528,22328,14281,7972,3842,3466,9991,15865,16901,17883,20537,22596,25488,24067,8599,12455,7361,9691,13052,9718,7215,8022,627130,317546,18891,21343,21973,14468,8325,19354,16195,17216,38941,48176,45161,29086,14411,4006,309584,16701,19494,21392,13593,7368,16663,15447,16390,37083,46815,44278,29665,16712,7983,4943,3301,224,218,222,233,144,431,353,303,372,409,221,109,14,48,1642,64,123,84,154,212,146,51,78,265,206,146,51,54,8,1522,861,13,51,21,20,29,114,13,77,63,168,180,94,18,0,661,38,73,64,8,34,26,4,27,52,156,116,52,4,7,2662,1111,100,89,201,73,76,71,22,53,136,103,89,93,0,5,1551,50,128,63,67,54,38,84,104,331,340,174,97,21,0,115,60,15,24,6,0,0,0,5,0,6,4,0,0,0,0,55,7,19,4,0,0,0,0,6,2,1,2,14,0,0,6462,3761,378,474,322,97,93,508,325,303,668,344,164,77,3,5,2701,434,275,143,219,55,234,193,209,424,267,176,64,8,0,7983,4599,424,628,636,461,239,365,151,282,325,495,287,275,27,4,3384,426,416,578,240,249,192,86,87,263,299,229,161,134,24,613843,310433,18115,20475,21304,14025,7910,18723,15764,16617,38075,47454,44736,28938,14316,3981,303410,16227,18669,20531,13163,7052,16353,14983,15948,36266,46210,43838,29572,16648,7950,20900,11556,1231,1511,1140,562,535,1186,818,911,1549,1096,621,260,101,35,9344,970,1196,1119,683,372,570,662,660,1251,949,630,177,72,33,41.1,40.0,42.2,41.6,40.6,42.6,27.1,26.8,27.9,46.4,46.5,45.6,36.8,21.7,38.9,7.6,5.9,13.4,25.0,25.1,24.7,19.0,18.9,19.1,42.1,41.1,43.1,23.6,24.0,22.6,650817
