SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,KS,20,,,,,04000US20,Kansas,2892987,1439862,102716,103861,102335,60870,43202,23695,23696,66512,99384,98020,87763,87647,89233,98398,95861,32912,46528,27404,32631,42434,30967,23026,20767,1453125,98004,98642,99132,57957,40670,21082,21547,59368,93840,94075,85422,84970,88877,101197,96152,36706,48418,28727,35642,49221,39425,33863,40188,2464566,1222649,81845,83492,83771,49526,34291,92177,81472,81962,147144,163514,158457,94345,50684,19969,1241917,78171,79365,79699,47191,32859,83016,78137,79255,143838,165997,163556,103976,68594,38263,168402,86250,6558,6778,6092,3847,3840,9258,7007,6294,11019,11065,8567,3697,1789,439,82152,6390,6374,6484,3838,2674,6962,6055,5860,9780,10487,8850,4655,2630,1113,24022,11728,790,710,1211,471,490,1014,1069,837,1476,1674,1150,614,189,33,12294,601,951,893,771,482,1343,901,645,1780,1596,1210,767,266,88,75653,36257,2585,2772,2475,1104,1012,4332,3698,3291,6078,3918,2866,1477,524,125,39396,2538,2354,2677,1519,1169,3931,3713,3756,6768,4481,3430,1954,866,240,1796,1043,66,70,32,40,11,183,156,139,151,126,58,0,11,0,753,17,139,31,41,53,77,93,45,65,48,59,33,35,17,63183,33478,2896,3167,2723,1819,1395,2747,2595,2855,5274,4468,1995,1172,335,37,29705,2856,2498,2873,1645,1163,2701,2249,2179,4480,4111,1726,798,308,118,95365,48457,7976,6872,6031,4063,2163,4192,3387,2642,4268,2866,2208,1164,461,164,46908,7431,6961,6475,2952,2270,3967,2692,2335,3681,3354,2445,1407,589,349,2228789,1100963,67611,69330,70545,43168,29883,80938,71701,71909,129934,152682,152064,92019,49628,19551,1127826,64370,65550,66931,40853,28578,73587,69120,70195,128992,156585,157447,101037,66938,37643,323218,167861,19062,19283,17570,9281,6469,14990,13453,13632,23472,16096,8982,3600,1506,465,155357,18576,18379,17219,8826,5964,12936,11882,11679,20335,14411,8267,4066,2017,800,36.0,34.8,37.5,37.9,36.4,39.4,30.8,29.8,32.0,30.9,30.5,32.1,31.1,30.2,32.4,27.3,28.7,26.4,28.0,28.8,27.2,17.5,17.4,17.5,40.1,38.4,41.6,23.5,23.8,23.2,2892987
40,KS,20,,,,,04001US20,Kansas -- Urban,2152306,1064374,80731,78699,75494,43626,33911,19952,19453,55121,81609,77495,68103,66174,64487,67610,64225,21969,31327,17632,20712,27175,19653,15068,14148,1087932,77383,75033,73465,42036,33141,18063,18142,49162,76913,74919,66602,64128,64129,70590,66022,25741,33750,19918,24707,33361,27337,23853,29537,1766602,869400,61631,60761,59109,33931,25974,74518,65029,63013,108726,110556,102585,58288,31813,13466,897202,59534,57859,56564,32604,25997,67452,62350,61241,106608,113241,109567,69493,46915,27777,161382,82032,6383,6548,5829,3553,3575,8702,6727,5939,10413,10467,8186,3601,1682,427,79350,6111,6134,6229,3642,2564,6776,5869,5707,9462,10108,8584,4542,2555,1067,16726,7820,574,285,843,288,340,779,748,523,1006,1246,641,401,122,24,8906,366,704,647,551,373,1123,703,482,1395,1036,848,444,175,59,72097,34781,2555,2615,2354,985,943,4250,3616,3189,5816,3704,2754,1390,514,96,37316,2489,2167,2535,1419,1143,3860,3554,3538,6349,4236,3191,1786,812,237,1461,844,66,45,30,27,11,177,97,101,127,110,43,0,10,0,617,11,98,29,22,50,66,84,45,57,40,30,33,35,17,56148,29652,2661,2867,2447,1587,1231,2504,2314,2611,4652,3813,1677,994,273,21,26496,2570,2213,2431,1462,1059,2557,2113,2007,4011,3557,1464,673,266,113,77890,39845,6861,5578,4882,3255,1837,3596,3078,2119,3537,2201,1635,845,307,114,38045,6302,5858,5030,2336,1955,3533,2240,1899,2848,2501,1829,1015,432,267,1556570,761456,48831,48580,47765,28537,22151,64162,55905,53930,93273,100941,97000,56324,30958,13099,795114,46954,45423,45364,27183,22076,58711,54138,52932,93571,104854,104322,66925,45440,27221,287018,148372,17208,16622,15183,7913,5627,13692,12357,12295,20983,14088,7748,3054,1210,392,138646,16867,16506,14971,7606,5401,11972,10839,10670,17955,12688,7106,3553,1781,731,34.0,32.7,35.4,35.7,34.2,37.3,30.8,29.8,32.2,30.2,30.4,29.9,30.9,30.1,32.0,27.0,28.5,26.7,27.6,28.3,27.0,17.2,17.3,17.1,37.9,36.0,39.7,23.6,24.0,23.1,2152306
40,KS,20,,,,,04043US20,Kansas -- Rural,740681,375488,21985,25162,26841,17244,9291,3743,4243,11391,17775,20525,19660,21473,24746,30788,31636,10943,15201,9772,11919,15259,11314,7958,6619,365193,20621,23609,25667,15921,7529,3019,3405,10206,16927,19156,18820,20842,24748,30607,30130,10965,14668,8809,10935,15860,12088,10010,10651,697964,353249,20214,22731,24662,15595,8317,17659,16443,18949,38418,52958,55872,36057,18871,6503,344715,18637,21506,23135,14587,6862,15564,15787,18014,37230,52756,53989,34483,21679,10486,7020,4218,175,230,263,294,265,556,280,355,606,598,381,96,107,12,2802,279,240,255,196,110,186,186,153,318,379,266,113,75,46,7296,3908,216,425,368,183,150,235,321,314,470,428,509,213,67,9,3388,235,247,246,220,109,220,198,163,385,560,362,323,91,29,3556,1476,30,157,121,119,69,82,82,102,262,214,112,87,10,29,2080,49,187,142,100,26,71,159,218,419,245,239,168,54,3,335,199,0,25,2,13,0,6,59,38,24,16,15,0,1,0,136,6,41,2,19,3,11,9,0,8,8,29,0,0,0,7035,3826,235,300,276,232,164,243,281,244,622,655,318,178,62,16,3209,286,285,442,183,104,144,136,172,469,554,262,125,42,5,17475,8612,1115,1294,1149,808,326,596,309,523,731,665,573,319,154,50,8863,1129,1103,1445,616,315,434,452,436,833,853,616,392,157,82,672219,339507,18780,20750,22780,14631,7732,16776,15796,17979,36661,51741,55064,35695,18670,6452,332712,17416,20127,21567,13670,6502,14876,14982,17263,35421,51731,53125,34112,21498,10422,36200,19489,1854,2661,2387,1368,842,1298,1096,1337,2489,2008,1234,546,296,73,16711,1709,1873,2248,1220,563,964,1043,1009,2380,1723,1161,513,236,69,43.3,42.3,44.3,44.3,43.4,45.2,30.0,30.8,28.6,32.7,30.6,36.6,37.0,33.3,38.3,28.1,28.8,17.5,32.1,33.0,30.5,18.2,17.8,18.6,45.3,44.5,46.1,22.8,22.2,23.6,740681
40,KS,20,,,,,040A0US20,Kansas -- In metropolitan or micropolitan statistical area,2495395,1240626,90031,90496,89153,52570,37938,21194,21348,59557,88420,86548,77553,76304,77188,83435,80479,27332,38896,22985,26418,34331,24153,18056,16241,1254769,85925,85973,85978,49827,36501,19076,19712,53473,84035,83449,75794,74213,77430,86587,81637,31197,40652,23995,29580,39939,31458,26702,31636,2092176,1036894,70429,71405,71532,42074,29669,81693,71628,71392,127366,138073,130875,76140,39099,15519,1055282,67417,67864,67771,39768,29130,73981,69010,69350,124749,141252,136862,84572,53752,29804,164630,83808,6496,6656,6017,3791,3587,8785,6867,6087,10712,10676,8334,3662,1714,424,80822,6261,6297,6399,3731,2583,6871,5994,5726,9714,10363,8671,4529,2585,1098,19928,9569,647,592,1025,388,389,841,780,688,1192,1384,954,507,161,21,10359,462,767,761,662,435,1212,801,550,1524,1357,972,571,202,83,74132,35682,2566,2730,2396,1093,955,4279,3660,3245,6014,3839,2844,1422,514,125,38450,2465,2302,2641,1499,1125,3886,3618,3694,6571,4366,3355,1859,829,240,1608,944,66,67,32,35,11,177,133,129,143,97,43,0,11,0,664,11,139,31,22,44,68,72,45,57,43,58,33,35,6,56244,29750,2508,2828,2490,1509,1290,2444,2278,2612,4617,3992,1801,1029,327,25,26494,2498,2112,2571,1459,1017,2495,1996,1981,4110,3692,1445,723,283,112,86677,43979,7319,6218,5661,3680,2037,3880,3074,2395,3813,2562,1856,974,383,127,42698,6811,6492,5804,2686,2167,3748,2544,2103,3282,2944,2123,1227,474,293,1874555,924765,57264,58467,59297,36217,25604,71154,62570,62196,111385,128170,125091,73979,38222,15149,949790,54609,55255,55976,34101,25058,64969,60647,60893,111173,132467,131242,81898,52263,29239,296305,153559,17414,17542,16251,8413,5967,13887,12332,12468,21517,14640,8142,3274,1313,399,142746,17110,16675,15814,7937,5595,12239,10923,10850,18624,13263,7467,3700,1810,739,35.2,34.0,36.5,37.0,35.6,38.4,30.8,29.8,32.1,30.7,30.7,30.8,31.1,30.2,32.3,27.0,28.5,26.4,28.2,29.0,27.3,17.2,17.2,17.3,39.1,37.5,40.7,23.5,23.8,23.2,2495395
40,KS,20,,,,,040C0US20,Kansas -- In metropolitan statistical area,1941587,963434,69314,69789,70341,41046,28483,15607,16398,44928,68941,68526,61583,60634,60819,65404,62967,20894,30155,17922,19805,26202,18101,13393,12182,978153,65958,67244,67107,39064,27703,14206,14926,40969,66444,66637,60395,59709,61101,68229,63746,24661,32157,18444,22801,30253,23676,19557,23166,1612958,798794,53548,54610,55877,32621,22260,60972,55504,56150,100498,107750,100901,57742,28805,11556,814164,51289,52255,52423,31051,21861,55640,53963,54725,99051,110425,106351,64039,39488,21603,144858,72693,5589,5878,5563,3437,2957,7195,5492,5301,9269,9455,7415,3208,1550,384,72165,5589,5532,5834,3387,2315,5620,5263,5313,8845,9332,7799,4104,2316,916,15414,7190,479,422,772,294,276,658,649,571,801,1070,727,350,107,14,8224,389,641,614,516,283,992,645,417,1173,1062,851,435,138,68,65544,31684,2298,2516,2135,1012,794,3665,3283,2866,5451,3432,2442,1240,457,93,33860,2191,2044,2372,1275,1041,3254,3155,3253,5937,3936,2923,1489,768,222,1094,748,29,45,17,34,0,170,115,95,95,94,43,0,11,0,346,11,27,2,22,44,25,14,27,37,41,39,33,18,6,33718,17491,1422,1567,1219,678,702,1480,1392,1674,2941,2370,1106,674,241,25,16227,1504,1277,1365,791,618,1641,1273,1279,2447,2233,940,557,203,99,68001,34834,5949,4751,4758,2970,1494,2793,2506,1869,3162,2052,1382,715,323,110,33167,4985,5468,4497,2022,1541,2929,2131,1623,2614,2301,1661,841,302,252,1458801,719619,44477,45600,46760,28478,19633,54092,48854,49453,89060,100825,96779,56202,28137,11269,739182,42307,43332,44039,26968,19261,49186,47985,48543,89123,104344,102233,62216,38458,21187,205077,105825,11822,11978,11678,5678,3779,9027,8773,8876,15097,9930,5614,2243,1018,312,99252,11712,11795,10889,5445,3543,8561,7761,7734,13135,8921,5350,2585,1263,558,35.3,34.1,36.5,37.0,35.7,38.4,31.2,30.2,32.5,30.3,30.3,30.5,31.3,30.2,32.6,29.0,28.5,36.0,29.9,30.9,28.3,17.0,16.9,17.3,38.9,37.4,40.4,23.8,24.1,23.5,1941587
40,KS,20,,,,,040C1US20,Kansas -- In metropolitan statistical area -- in principal city,992212,489169,37102,34674,32975,18829,15991,9961,10539,27981,40468,36596,30321,28652,28798,31022,29427,10059,14606,8137,9464,12155,8749,6460,6203,503043,34802,32693,31282,18390,16732,9728,10006,26122,38566,35740,29421,28922,29440,32900,30722,12635,15395,8926,11169,15194,11809,10245,12204,756105,372997,25531,24319,22904,13340,11651,36754,30672,28096,44633,46782,44381,25181,13034,5719,383108,23923,22271,21389,12872,12667,34698,29019,26532,43655,48413,48018,29598,18987,11066,111990,54018,4580,4655,4344,2574,2167,5010,3852,3435,6273,6830,5970,2613,1357,358,57972,4597,4283,4465,2661,1798,4708,4266,4377,6719,7481,6486,3421,2007,703,9084,4114,293,139,544,134,143,508,408,277,365,672,401,157,59,14,4970,280,423,285,267,214,651,474,334,606,596,487,241,69,43,47761,23400,1766,1659,1687,633,555,3163,2696,2414,3630,2343,1618,835,359,42,24361,1682,1379,1595,956,847,2557,2452,2384,3929,2705,2004,1074,649,148,632,398,29,35,0,27,0,103,50,10,34,57,43,0,10,0,234,11,18,0,18,21,25,0,23,31,36,17,16,18,0,26084,13521,1197,1300,924,542,549,1285,926,1268,2052,1878,838,568,188,6,12563,1205,1018,1084,647,404,1178,1002,1071,1902,1719,696,415,140,82,40556,20721,3706,2567,2572,1579,926,1658,1864,1096,1986,1258,841,402,202,64,19835,3104,3301,2464,969,781,2039,1353,1019,1501,1390,1044,524,184,162,650593,319063,18705,17856,17176,10663,9908,32012,25936,23450,36881,42385,41743,24217,12572,5559,331530,17482,16142,15871,10089,10792,30145,24817,22177,37102,44248,45230,28352,18330,10753,143926,73780,8963,8797,7578,3778,2616,6500,6149,6207,10284,6676,3786,1545,735,166,70146,8583,8373,7392,3861,2458,6110,5643,5611,9070,6354,3614,1805,834,438,33.3,32.1,34.6,35.1,33.7,36.8,31.2,29.8,32.7,28.6,27.9,29.2,30.2,29.2,31.3,27.0,26.2,36.0,29.4,30.1,28.5,18.0,17.9,18.2,37.9,35.9,40.0,23.6,23.7,23.6,992212
40,KS,20,,,,,040C2US20,Kansas -- In metropolitan statistical area -- not in principal city,949375,474265,32212,35115,37366,22217,12492,5646,5859,16947,28473,31930,31262,31982,32021,34382,33540,10835,15549,9785,10341,14047,9352,6933,5979,475110,31156,34551,35825,20674,10971,4478,4920,14847,27878,30897,30974,30787,31661,35329,33024,12026,16762,9518,11632,15059,11867,9312,10962,856853,425797,28017,30291,32973,19281,10609,24218,24832,28054,55865,60968,56520,32561,15771,5837,431056,27366,29984,31034,18179,9194,20942,24944,28193,55396,62012,58333,34441,20501,10537,32868,18675,1009,1223,1219,863,790,2185,1640,1866,2996,2625,1445,595,193,26,14193,992,1249,1369,726,517,912,997,936,2126,1851,1313,683,309,213,6330,3076,186,283,228,160,133,150,241,294,436,398,326,193,48,0,3254,109,218,329,249,69,341,171,83,567,466,364,194,69,25,17783,8284,532,857,448,379,239,502,587,452,1821,1089,824,405,98,51,9499,509,665,777,319,194,697,703,869,2008,1231,919,415,119,74,462,350,0,10,17,7,0,67,65,85,61,37,0,0,1,0,112,0,9,2,4,23,0,14,4,6,5,22,17,0,6,7634,3970,225,267,295,136,153,195,466,406,889,492,268,106,53,19,3664,299,259,281,144,214,463,271,208,545,514,244,142,63,17,27445,14113,2243,2184,2186,1391,568,1135,642,773,1176,794,541,313,121,46,13332,1881,2167,2033,1053,760,890,778,604,1113,911,617,317,118,90,808208,400556,25772,27744,29584,17815,9725,22080,22918,26003,52179,58440,55036,31985,15565,5710,407652,24825,27190,28168,16879,8469,19041,23168,26366,52021,60096,57003,33864,20128,10434,61151,32045,2859,3181,4100,1900,1163,2527,2624,2669,4813,3254,1828,698,283,146,29106,3129,3422,3497,1584,1085,2451,2118,2123,4065,2567,1736,780,429,120,37.4,36.3,38.5,38.6,37.5,39.6,31.1,30.9,31.4,33.7,32.8,36.3,36.0,36.4,35.2,30.3,30.2,36.0,31.2,32.8,26.9,16.4,16.1,16.7,39.7,38.6,40.6,24.5,25.5,23.4,949375
40,KS,20,,,,,040E0US20,Kansas -- In micropolitan statistical area,553808,277192,20717,20707,18812,11524,9455,5587,4950,14629,19479,18022,15970,15670,16369,18031,17512,6438,8741,5063,6613,8129,6052,4663,4059,276616,19967,18729,18871,10763,8798,4870,4786,12504,17591,16812,15399,14504,16329,18358,17891,6536,8495,5551,6779,9686,7782,7145,8470,479218,238100,16881,16795,15655,9453,7409,20721,16124,15242,26868,30323,29974,18398,10294,3963,241118,16128,15609,15348,8717,7269,18341,15047,14625,25698,30827,30511,20533,14264,8201,19772,11115,907,778,454,354,630,1590,1375,786,1443,1221,919,454,164,40,8657,672,765,565,344,268,1251,731,413,869,1031,872,425,269,182,4514,2379,168,170,253,94,113,183,131,117,391,314,227,157,54,7,2135,73,126,147,146,152,220,156,133,351,295,121,136,64,15,8588,3998,268,214,261,81,161,614,377,379,563,407,402,182,57,32,4590,274,258,269,224,84,632,463,441,634,430,432,370,61,18,514,196,37,22,15,1,11,7,18,34,48,3,0,0,0,0,318,0,112,29,0,0,43,58,18,20,2,19,0,17,0,22526,12259,1086,1261,1271,831,588,964,886,938,1676,1622,695,355,86,0,10267,994,835,1206,668,399,854,723,702,1663,1459,505,166,80,13,18676,9145,1370,1467,903,710,543,1087,568,526,651,510,474,259,60,17,9531,1826,1024,1307,664,626,819,413,480,668,643,462,386,172,41,415754,205146,12787,12867,12537,7739,5971,17062,13716,12743,22325,27345,28312,17777,10085,3880,210608,12302,11923,11937,7133,5797,15783,12662,12350,22050,28123,29009,19682,13805,8052,91228,47734,5592,5564,4573,2735,2188,4860,3559,3592,6420,4710,2528,1031,295,87,43494,5398,4880,4925,2492,2052,3678,3162,3116,5489,4342,2117,1115,547,181,34.9,33.5,36.5,36.9,35.2,38.6,27.8,28.1,27.0,32.8,32.9,32.3,30.4,30.1,30.8,24.5,26.8,24.4,25.9,25.6,26.3,18.1,18.5,17.5,40.1,38.1,41.9,22.7,23.0,22.3,553808
40,KS,20,,,,,040E1US20,Kansas -- In micropolitan statistical area -- in principal city,353545,175918,14227,12995,11259,7281,6580,4419,3512,11303,14038,12040,10563,9854,10094,10546,9716,3434,5137,2602,3504,4478,3311,2678,2347,177627,13536,12098,11415,6774,6686,3749,3622,9201,12533,11096,10005,9171,9891,10976,10183,3713,4963,3289,3938,5583,4995,4605,5605,294516,144759,11036,10274,8949,5656,4999,15288,11128,9954,16569,17280,16169,9497,5693,2267,149757,10616,9733,8805,5217,5337,13379,10456,9368,15860,17838,16988,11713,9068,5379,17014,9532,875,609,295,269,561,1497,1190,610,1218,1073,748,408,142,37,7482,598,676,442,270,211,1053,698,328,707,921,758,395,262,163,2638,1411,153,56,165,55,47,100,107,33,286,220,72,111,6,0,1227,36,56,72,80,107,180,96,83,238,140,75,52,12,0,7661,3599,229,185,234,76,127,568,369,346,497,336,386,160,54,32,4062,246,209,267,159,84,614,418,378,551,376,367,331,47,15,397,124,37,0,15,0,11,0,18,19,24,0,0,0,0,0,273,0,71,29,0,0,41,58,18,20,0,19,0,17,0,18684,10268,927,1022,1096,713,459,874,756,713,1419,1407,547,281,54,0,8416,765,675,955,565,359,728,584,571,1397,1238,407,101,61,10,12635,6225,970,849,505,512,376,907,470,365,404,324,365,127,40,11,6410,1275,678,845,483,588,577,223,350,403,354,245,218,133,38,242641,117816,7783,7229,6513,4259,3894,12209,9179,7808,12754,14755,14750,8966,5522,2195,124825,7464,6670,6256,3965,4033,11182,8483,7528,12910,15604,15802,11015,8655,5258,74790,39226,4510,4302,3649,2271,1713,4127,2952,2995,5416,4035,2097,862,225,72,35564,4373,4057,3773,2020,1830,3118,2582,2511,4467,3620,1690,903,470,150,32.4,31.0,34.0,34.2,32.5,36.2,27.7,27.9,27.4,30.5,32.7,29.2,30.2,30.1,30.4,24.9,18.9,24.9,25.8,25.2,26.5,18.4,19.6,17.0,37.5,35.0,40.2,23.0,23.6,22.4,353545
40,KS,20,,,,,040E2US20,Kansas -- In micropolitan statistical area -- not in principal city,200263,101274,6490,7712,7553,4243,2875,1168,1438,3326,5441,5982,5407,5816,6275,7485,7796,3004,3604,2461,3109,3651,2741,1985,1712,98989,6431,6631,7456,3989,2112,1121,1164,3303,5058,5716,5394,5333,6438,7382,7708,2823,3532,2262,2841,4103,2787,2540,2865,184702,93341,5845,6521,6706,3797,2410,5433,4996,5288,10299,13043,13805,8901,4601,1696,91361,5512,5876,6543,3500,1932,4962,4591,5257,9838,12989,13523,8820,5196,2822,2758,1583,32,169,159,85,69,93,185,176,225,148,171,46,22,3,1175,74,89,123,74,57,198,33,85,162,110,114,30,7,19,1876,968,15,114,88,39,66,83,24,84,105,94,155,46,48,7,908,37,70,75,66,45,40,60,50,113,155,46,84,52,15,927,399,39,29,27,5,34,46,8,33,66,71,16,22,3,0,528,28,49,2,65,0,18,45,63,83,54,65,39,14,3,117,72,0,22,0,1,0,7,0,15,24,3,0,0,0,0,45,0,41,0,0,0,2,0,0,0,2,0,0,0,0,3842,1991,159,239,175,118,129,90,130,225,257,215,148,74,32,0,1851,229,160,251,103,40,126,139,131,266,221,98,65,19,3,6041,2920,400,618,398,198,167,180,98,161,247,186,109,132,20,6,3121,551,346,462,181,38,242,190,130,265,289,217,168,39,3,173113,87330,5004,5638,6024,3480,2077,4853,4537,4935,9571,12590,13562,8811,4563,1685,85783,4838,5253,5681,3168,1764,4601,4179,4822,9140,12519,13207,8667,5150,2794,16438,8508,1082,1262,924,464,475,733,607,597,1004,675,431,169,70,15,7930,1025,823,1152,472,222,560,580,605,1022,722,427,212,77,31,40.1,39.1,40.9,41.6,40.7,42.6,28.6,30.0,24.2,34.6,34.1,35.8,31.9,31.0,34.3,9.9,31.4,9.5,26.1,27.6,25.4,17.2,15.8,19.2,43.4,42.5,44.4,21.3,20.5,22.2,200263
