SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,KY,21,,,,,04000US21,Kentucky,4397353,2164208,142062,143532,147586,87696,60304,33710,34235,90794,140811,142732,137211,145358,148883,156890,147006,53624,75833,46516,54367,71867,47828,31477,23886,2233145,134389,139032,138629,83139,56504,32443,32152,85930,139855,142551,136524,145251,150922,163054,156302,58174,81260,49595,63101,83665,62775,46386,51512,3851591,1892154,116222,118292,124679,74491,49337,133006,121329,122806,247358,273439,252203,161425,74718,22849,1959437,109954,114234,115713,71064,47064,128254,120241,122535,247276,281659,268686,182347,101829,48581,347034,173046,12760,13075,12486,8332,7400,16734,12388,12465,22629,23431,18494,8466,3560,826,173988,11336,12285,12230,6927,6021,14517,12103,12532,22009,23872,21169,10685,5723,2579,9063,4458,285,180,201,214,179,324,185,129,600,897,796,327,134,7,4605,72,370,387,203,124,274,276,367,523,850,752,230,157,20,55483,25771,1879,2159,1668,1137,653,2671,2229,2245,4839,3180,1685,1001,335,90,29712,2046,2179,2202,994,771,2414,2702,2865,5437,3439,2337,1553,631,142,2197,1147,87,17,194,26,8,326,61,40,125,121,142,0,0,0,1050,172,119,49,9,9,147,178,124,116,93,23,9,0,2,41149,23699,2688,2588,2114,900,869,2079,2591,2930,3817,1958,788,259,111,7,17450,2403,2007,1794,876,622,1528,1571,1737,2737,1426,450,247,40,12,90836,43933,8141,7221,6244,2596,1858,3599,2028,2117,3201,2747,2355,1272,447,107,46903,8406,7838,6254,3066,1893,3391,2784,2391,3677,2637,2319,1290,781,176,3762154,1843825,110914,112491,120333,72535,47676,128807,117068,118270,239558,268968,249797,160429,74283,22696,1918329,104927,109315,111534,68754,45588,125231,116738,119521,241678,278057,266543,181083,101111,48249,143481,78710,9302,9129,7036,3074,2878,7113,7311,7777,12300,7054,3629,1331,623,153,64771,8496,8095,6641,3339,2383,5054,5478,5261,9145,5281,2873,1578,792,355,38.5,37.1,39.8,40.0,38.6,41.2,33.0,31.3,34.6,41.6,43.7,39.1,31.9,31.1,32.7,24.5,23.8,25.5,25.1,26.1,23.4,15.5,15.3,15.8,40.4,39.1,41.6,24.7,25.6,23.5,4397353
40,KY,21,,,,,04001US21,Kentucky -- Urban,2595903,1260769,88714,85926,85744,48836,38971,22590,21978,60570,92668,90396,83150,84437,82348,85241,77712,27819,39629,24028,26985,35269,24732,18113,14913,1335134,84073,82629,80674,47622,37971,22029,21538,57460,93139,90610,83727,83384,84826,91109,87543,32663,45293,27532,34153,46672,36608,28772,35107,2118191,1025550,65726,64027,66100,37504,29148,82297,75230,73430,137246,140012,124892,76839,39027,14072,1092641,62719,61388,60719,37213,29711,80666,75160,72366,135388,147257,141820,96393,59337,32504,317980,155303,12173,12309,11411,7515,6750,15076,11271,10933,19952,20551,16252,7394,3053,663,162677,10782,11620,11302,6330,5539,13747,11665,11891,20955,22285,19556,9654,5027,2324,6469,3153,215,161,189,196,133,276,115,103,403,561,463,197,134,7,3316,53,324,243,163,107,236,243,292,355,540,500,148,98,14,50449,24105,1789,2001,1512,1021,637,2634,2099,2133,4507,2963,1522,908,304,75,26344,1903,1822,1958,849,694,2281,2485,2544,4982,2974,1931,1310,469,142,1716,932,20,17,182,14,4,263,61,40,115,107,109,0,0,0,784,163,54,26,9,0,89,178,66,103,75,19,0,0,2,32512,18576,2091,1872,1708,730,694,1669,2134,2201,3068,1526,558,236,89,0,13936,1759,1498,1521,714,480,1215,1155,1448,2413,1156,319,224,25,9,68586,33150,6700,5539,4642,1856,1605,2923,1758,1556,2296,1869,1364,708,238,96,35436,6694,5923,4905,2344,1440,2793,2253,2003,2915,1648,1354,628,424,112,2048127,987788,61570,59359,62889,36063,28149,78956,71747,69659,131037,136382,123112,76140,38713,14012,1060339,58502,57563,57709,35511,28509,78166,72316,69799,130817,144613,140187,95582,58830,32235,113244,61747,7321,7065,5291,2330,1973,5759,6089,6240,9840,5635,2667,1012,465,60,51497,6977,6169,5115,2524,1905,4064,4313,4523,7674,4098,2227,1066,553,289,36.3,34.7,37.9,38.1,36.4,39.9,32.5,30.5,34.3,37.3,38.7,34.9,31.6,30.8,32.2,25.3,24.5,26.6,25.5,26.1,23.9,14.9,14.6,15.2,38.7,36.9,40.5,25.1,26.0,23.8,2595903
40,KY,21,,,,,04043US21,Kentucky -- Rural,1801450,903439,53348,57606,61842,38860,21333,11120,12257,30224,48143,52336,54061,60921,66535,71649,69294,25805,36204,22488,27382,36598,23096,13364,8973,898011,50316,56403,57955,35517,18533,10414,10614,28470,46716,51941,52797,61867,66096,71945,68759,25511,35967,22063,28948,36993,26167,17614,16405,1733400,866604,50496,54265,58579,36987,20189,50709,46099,49376,110112,133427,127311,84586,35691,8777,866796,47235,52846,54994,33851,17353,47588,45081,50169,111888,134402,126866,85954,42492,16077,29054,17743,587,766,1075,817,650,1658,1117,1532,2677,2880,2242,1072,507,163,11311,554,665,928,597,482,770,438,641,1054,1587,1613,1031,696,255,2594,1305,70,19,12,18,46,48,70,26,197,336,333,130,0,0,1289,19,46,144,40,17,38,33,75,168,310,252,82,59,6,5034,1666,90,158,156,116,16,37,130,112,332,217,163,93,31,15,3368,143,357,244,145,77,133,217,321,455,465,406,243,162,0,481,215,67,0,12,12,4,63,0,0,10,14,33,0,0,0,266,9,65,23,0,9,58,0,58,13,18,4,9,0,0,8637,5123,597,716,406,170,175,410,457,729,749,432,230,23,22,7,3514,644,509,273,162,142,313,416,289,324,270,131,23,15,3,22250,10783,1441,1682,1602,740,253,676,270,561,905,878,991,564,209,11,11467,1712,1915,1349,722,453,598,531,388,762,989,965,662,357,64,1714027,856037,49344,53132,57444,36472,19527,49851,45321,48611,108521,132586,126685,84289,35570,8684,857990,46425,51752,53825,33243,17079,47065,44422,49722,110861,133444,126356,85501,42281,16014,30237,16963,1981,2064,1745,744,905,1354,1222,1537,2460,1419,962,319,158,93,13274,1519,1926,1526,815,478,990,1165,738,1471,1183,646,512,239,66,41.6,40.9,42.4,42.0,41.2,42.7,38.3,37.5,40.9,49.2,50.1,48.6,36.3,36.3,36.4,20.6,20.3,22.1,24.0,26.3,20.3,17.9,17.6,18.1,42.2,41.5,42.9,22.8,24.0,22.1,1801450
40,KY,21,,,,,040A0US21,Kentucky -- In metropolitan or micropolitan statistical area,3402549,1668051,111283,112025,114946,67948,47225,27361,26810,71639,112239,112068,106624,111785,114083,119965,111319,40207,56363,34609,39880,52639,35539,23469,18025,1734498,105880,109563,107808,64357,45484,25912,25281,69414,112499,113392,107297,112735,116418,125415,119217,44453,61356,37177,46617,62556,46358,35002,40307,2904878,1423188,87715,88921,93864,55830,37597,103105,94579,94441,187053,204771,186317,117029,54838,17128,1481690,83351,86901,86716,53182,36763,99859,94301,94660,187357,211734,200376,133733,75014,37743,320907,156988,12011,12288,11860,7751,6269,14770,11200,10853,20296,21224,16777,7693,3282,714,163919,10876,11738,11685,6550,5674,13681,11350,11824,21198,22432,19700,9740,5193,2278,7592,3706,258,180,193,207,168,276,170,114,458,743,584,228,120,7,3886,63,331,281,203,124,244,250,333,497,724,532,176,108,20,52900,24830,1832,2061,1574,1102,653,2594,2203,2187,4627,3081,1556,956,317,87,28070,2021,2019,2080,914,728,2336,2583,2745,5062,3251,2192,1484,526,129,1683,882,20,17,182,14,8,190,61,40,90,121,139,0,0,0,801,163,54,36,9,0,99,165,53,103,89,19,9,0,2,35845,20381,2224,2147,1842,810,820,1700,2269,2570,3178,1854,613,256,98,0,15464,1968,1785,1641,818,533,1441,1316,1564,2414,1327,386,237,25,9,78744,38076,7223,6411,5431,2234,1710,3175,1757,1863,2707,2254,1903,966,353,89,40668,7438,6735,5369,2681,1662,2947,2534,2213,3401,2276,1821,971,494,126,2823740,1379481,82913,83784,89934,54019,36136,99388,90725,90251,179945,200586,184105,116181,54494,17020,1444259,78639,82395,83071,51131,35473,97112,90974,91833,182102,208425,198507,132676,74454,37467,128165,69861,8177,7862,6254,2839,2580,6082,6553,7029,10908,6546,3215,1180,528,108,58304,7632,7286,5872,2933,2069,4619,4971,4856,8505,4881,2431,1347,606,296,37.7,36.4,39.0,39.4,38.0,40.7,32.8,31.0,34.4,38.5,39.7,37.5,31.7,30.9,32.4,25.9,25.6,26.1,25.3,26.4,23.5,15.4,15.0,15.8,40.0,38.6,41.2,24.9,25.9,23.7,3402549
40,KY,21,,,,,040C0US21,Kentucky -- In metropolitan statistical area,2558548,1256268,85246,85532,86710,50857,35079,19722,19680,55893,87812,86699,82134,83975,85495,90781,83346,29587,41233,25686,28495,36942,24939,17183,13242,1302280,80902,82707,82575,48369,33182,18927,18358,52752,87909,88020,82294,84408,87017,94325,89067,32544,45663,27141,33495,44428,32977,26023,29197,2125687,1043914,64538,65668,67999,40375,27302,76331,72174,71314,138282,150671,135743,82407,38589,12521,1081773,61236,62858,64120,38739,26303,72427,71631,71201,137456,154772,145988,94307,53662,27073,283336,138310,10896,11015,10872,6795,5146,12661,9897,9477,18107,18679,14562,6798,2823,582,145026,9727,10360,10361,5975,4544,11921,10290,10656,19272,20017,17186,8390,4408,1919,5489,2810,238,152,179,160,110,234,120,110,368,556,320,152,104,7,2679,36,262,235,106,61,144,155,231,407,510,361,108,49,14,47332,22396,1669,1871,1488,907,531,2187,2004,2073,4133,2855,1403,871,317,87,24936,1879,1736,1921,815,527,1777,2340,2445,4502,3024,2058,1318,482,112,1435,805,20,17,182,14,8,144,61,40,67,121,131,0,0,0,630,88,54,23,9,0,65,165,39,103,63,10,9,0,2,31463,17623,1898,1839,1630,713,657,1386,2008,2168,2907,1550,530,249,88,0,13840,1845,1683,1355,615,460,1319,1214,1493,2090,1164,344,224,25,9,63806,30410,5987,4970,4360,1893,1325,2352,1548,1517,2245,1844,1477,646,201,45,33396,6091,5754,4560,2110,1287,2384,2114,1955,2872,1792,1327,708,374,68,2056912,1006995,60547,61355,64658,39076,26132,73041,68845,67819,132105,147133,133876,81657,38335,12416,1049917,57361,58929,61067,36853,25358,70107,68715,68630,132924,152050,144394,93461,53202,26866,110208,59705,6898,6720,5284,2175,2102,5244,5777,5939,9650,5599,2746,1072,394,105,50503,6563,6513,4871,2571,1590,4061,4390,4424,7383,4160,2108,1136,506,227,37.1,35.9,38.4,39.0,37.7,40.3,32.7,31.0,34.4,37.4,37.3,37.5,32.1,31.2,33.0,27.6,27.1,27.7,25.6,26.6,23.7,15.1,14.8,15.4,39.6,38.3,40.9,25.3,26.3,23.9,2558548
40,KY,21,,,,,040C1US21,Kentucky -- In metropolitan statistical area -- in principal city,1097502,533109,36878,34186,35009,20297,17152,10717,9545,27332,41911,39173,35339,33952,34552,36624,33839,11923,16520,9829,10973,13527,9997,7743,6091,564393,36068,33392,33586,19088,17077,10185,9737,26880,41961,39298,34567,35595,35416,39277,37559,13126,18718,11215,13212,18270,14421,11741,14004,813589,396398,23715,21843,23166,13378,11917,34793,31522,29364,51743,54774,50322,28957,15285,5619,417191,23084,21004,21701,12883,12463,34020,30935,28401,50485,56988,54946,35467,22291,12523,200989,95983,7739,8053,8030,4890,3754,8666,6813,6633,11993,12546,10069,4382,2016,399,105006,7498,7577,7332,4179,3259,8999,7676,7670,13781,14194,12200,5993,3288,1360,2061,1012,133,53,94,48,25,109,41,75,93,208,80,15,31,7,1049,22,100,75,45,14,34,98,111,170,211,104,39,23,3,30310,14690,1064,1118,823,580,391,1827,1306,1340,2643,1806,925,576,254,37,15620,1175,1064,1244,503,331,1594,1364,1303,2879,1813,1248,742,288,72,690,358,20,0,51,9,0,47,44,40,57,34,56,0,0,0,332,28,42,15,0,0,0,100,31,70,36,10,0,0,0,15866,9124,963,970,719,416,242,819,1197,1082,1460,874,219,137,26,0,6742,827,489,778,219,229,705,697,784,1088,624,134,157,7,4,33997,15544,3244,2149,2126,976,823,1333,988,639,1302,934,611,262,128,29,18453,3434,3116,2441,1259,781,1450,1091,998,1689,827,761,299,265,42,776273,376138,21707,19370,21415,12667,11399,33084,29805,27277,48140,52791,49258,28538,15133,5554,400135,20871,18942,20038,12185,11975,32745,29464,26952,47929,55462,54053,35099,22013,12407,59350,32493,3664,3722,2535,1237,971,2931,3232,3338,5445,3067,1520,594,172,65,26857,3736,3197,2688,1009,809,2180,2316,2418,4108,2304,1135,528,298,131,35.6,34.3,37.1,38.1,36.6,39.8,32.0,30.0,33.9,33.5,30.1,36.7,31.3,30.9,31.8,29.8,31.6,29.1,26.5,26.6,26.2,15.5,15.5,15.5,38.9,37.2,40.6,25.9,26.9,24.6,1097502
40,KY,21,,,,,040C2US21,Kentucky -- In metropolitan statistical area -- not in principal city,1461046,723159,48368,51346,51701,30560,17927,9005,10135,28561,45901,47526,46795,50023,50943,54157,49507,17664,24713,15857,17522,23415,14942,9440,7151,737887,44834,49315,48989,29281,16105,8742,8621,25872,45948,48722,47727,48813,51601,55048,51508,19418,26945,15926,20283,26158,18556,14282,15193,1312098,647516,40823,43825,44833,26997,15385,41538,40652,41950,86539,95897,85421,53450,23304,6902,664582,38152,41854,42419,25856,13840,38407,40696,42800,86971,97784,91042,58840,31371,14550,82347,42327,3157,2962,2842,1905,1392,3995,3084,2844,6114,6133,4493,2416,807,183,40020,2229,2783,3029,1796,1285,2922,2614,2986,5491,5823,4986,2397,1120,559,3428,1798,105,99,85,112,85,125,79,35,275,348,240,137,73,0,1630,14,162,160,61,47,110,57,120,237,299,257,69,26,11,17022,7706,605,753,665,327,140,360,698,733,1490,1049,478,295,63,50,9316,704,672,677,312,196,183,976,1142,1623,1211,810,576,194,40,745,447,0,17,131,5,8,97,17,0,10,87,75,0,0,0,298,60,12,8,9,0,65,65,8,33,27,0,9,0,2,15597,8499,935,869,911,297,415,567,811,1086,1447,676,311,112,62,0,7098,1018,1194,577,396,231,614,517,709,1002,540,210,67,18,5,29809,14866,2743,2821,2234,917,502,1019,560,878,943,910,866,384,73,16,14943,2657,2638,2119,851,506,934,1023,957,1183,965,566,409,109,26,1280639,630857,38840,41985,43243,26409,14733,39957,39040,40542,83965,94342,84618,53119,23202,6862,649782,36490,39987,41029,24668,13383,37362,39251,41678,84995,96588,90341,58362,31189,14459,50858,27212,3234,2998,2749,938,1131,2313,2545,2601,4205,2532,1226,478,222,40,23646,2827,3316,2183,1562,781,1881,2074,2006,3275,1856,973,608,208,96,38.3,37.1,39.4,39.5,38.4,40.6,34.4,33.1,35.7,39.0,40.6,37.6,33.4,32.4,33.8,23.9,23.6,24.8,24.1,26.6,21.1,14.6,14.0,15.2,40.0,38.9,41.1,24.4,25.5,23.3,1461046
40,KY,21,,,,,040E0US21,Kentucky -- In micropolitan statistical area,844001,411783,26037,26493,28236,17091,12146,7639,7130,15746,24427,25369,24490,27810,28588,29184,27973,10620,15130,8923,11385,15697,10600,6286,4783,432218,24978,26856,25233,15988,12302,6985,6923,16662,24590,25372,25003,28327,29401,31090,30150,11909,15693,10036,13122,18128,13381,8979,11110,779191,379274,23177,23253,25865,15455,10295,26774,22405,23127,48771,54100,50574,34622,16249,4607,399917,22115,24043,22596,14443,10460,27432,22670,23459,49901,56962,54388,39426,21352,10670,37571,18678,1115,1273,988,956,1123,2109,1303,1376,2189,2545,2215,895,459,132,18893,1149,1378,1324,575,1130,1760,1060,1168,1926,2415,2514,1350,785,359,2103,896,20,28,14,47,58,42,50,4,90,187,264,76,16,0,1207,27,69,46,97,63,100,95,102,90,214,171,68,59,6,5568,2434,163,190,86,195,122,407,199,114,494,226,153,85,0,0,3134,142,283,159,99,201,559,243,300,560,227,134,166,44,17,248,77,0,0,0,0,0,46,0,0,23,0,8,0,0,0,171,75,0,13,0,0,34,0,14,0,26,9,0,0,0,4382,2758,326,308,212,97,163,314,261,402,271,304,83,7,10,0,1624,123,102,286,203,73,122,102,71,324,163,42,13,0,0,14938,7666,1236,1441,1071,341,385,823,209,346,462,410,426,320,152,44,7272,1347,981,809,571,375,563,420,258,529,484,494,263,120,58,766828,372486,22366,22429,25276,14943,10004,26347,21880,22432,47840,53453,50229,34524,16159,4604,394342,21278,23466,22004,14278,10115,27005,22259,23203,49178,56375,54113,39215,21252,10601,17957,10156,1279,1142,970,664,478,838,776,1090,1258,947,469,108,134,3,7801,1069,773,1001,362,479,558,581,432,1122,721,323,211,100,69,39.6,38.1,40.9,40.6,39.2,41.8,33.2,31.6,34.7,45.3,49.9,36.8,27.3,27.0,27.4,21.8,21.8,11.2,23.9,24.7,20.6,16.7,15.4,17.6,40.9,39.6,42.1,23.1,23.6,22.3,844001
40,KY,21,,,,,040E1US21,Kentucky -- In micropolitan statistical area -- in principal city,247930,117162,7845,8005,7091,3905,5074,3052,3144,6857,9128,7865,6531,7210,6993,6572,6547,2671,3929,2065,2631,3457,2742,1859,1989,130768,7489,7323,6532,4030,5970,3234,3422,6662,8190,8162,7248,7217,7352,7783,8262,3403,4131,2932,3340,5625,4069,3537,4855,208093,97189,6130,5877,5761,3038,3842,10261,7665,6693,11846,11378,11270,7318,4231,1879,110904,5974,5846,4967,3197,4492,10932,6949,6954,12412,12925,13843,10816,7011,4586,26683,12996,807,962,640,495,748,1755,1021,894,1349,1850,1465,623,311,76,13687,782,900,886,353,1029,1471,826,814,1393,1792,1696,962,537,246,948,360,20,21,7,46,22,35,12,0,3,39,112,27,16,0,588,0,35,20,57,46,82,65,49,30,54,89,26,29,6,2760,1249,82,25,29,88,70,299,101,44,224,123,114,50,0,0,1511,39,64,95,75,172,390,138,117,150,126,69,62,14,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,34,0,14,0,8,0,0,0,0,2279,1563,145,183,200,87,62,221,206,142,178,68,66,0,5,0,716,37,31,109,1,20,100,52,53,220,73,20,0,0,0,7111,3805,661,937,454,151,330,482,123,92,141,107,120,135,38,34,3306,657,447,455,347,211,309,160,161,260,157,79,31,15,17,202100,93612,5736,5366,5619,2745,3656,10070,7251,6279,11373,11113,11081,7273,4174,1876,108488,5501,5650,4814,3119,4286,10692,6675,6806,12140,12829,13690,10758,6967,4561,8991,5491,562,743,452,399,248,512,626,514,684,378,253,45,72,3,3500,584,242,336,113,263,324,328,306,513,190,174,58,44,25,35.4,32.8,38.0,37.3,34.4,40.0,32.2,30.3,33.9,30.1,45.6,28.7,24.7,26.9,24.2,24.8,.,24.8,24.5,24.0,32.7,14.6,13.4,15.9,37.9,35.1,40.6,24.0,24.2,23.4,247930
40,KY,21,,,,,040E2US21,Kentucky -- In micropolitan statistical area -- not in principal city,596071,294621,18192,18488,21145,13186,7072,4587,3986,8889,15299,17504,17959,20600,21595,22612,21426,7949,11201,6858,8754,12240,7858,4427,2794,301450,17489,19533,18701,11958,6332,3751,3501,10000,16400,17210,17755,21110,22049,23307,21888,8506,11562,7104,9782,12503,9312,5442,6255,571098,282085,17047,17376,20104,12417,6453,16513,14740,16434,36925,42722,39304,27304,12018,2728,289013,16141,18197,17629,11246,5968,16500,15721,16505,37489,44037,40545,28610,14341,6084,10888,5682,308,311,348,461,375,354,282,482,840,695,750,272,148,56,5206,367,478,438,222,101,289,234,354,533,623,818,388,248,113,1155,536,0,7,7,1,36,7,38,4,87,148,152,49,0,0,619,27,34,26,40,17,18,30,53,60,160,82,42,30,0,2808,1185,81,165,57,107,52,108,98,70,270,103,39,35,0,0,1623,103,219,64,24,29,169,105,183,410,101,65,104,30,17,192,77,0,0,0,0,0,46,0,0,23,0,8,0,0,0,115,75,0,13,0,0,0,0,0,0,18,9,0,0,0,2103,1195,181,125,12,10,101,93,55,260,93,236,17,7,5,0,908,86,71,177,202,53,22,50,18,104,90,22,13,0,0,7827,3861,575,504,617,190,55,341,86,254,321,303,306,185,114,10,3966,690,534,354,224,164,254,260,97,269,327,415,232,105,41,564728,278874,16630,17063,19657,12198,6348,16277,14629,16153,36467,42340,39148,27251,11985,2728,285854,15777,17816,17190,11159,5829,16313,15584,16397,37038,43546,40423,28457,14285,6040,8966,4665,717,399,518,265,230,326,150,576,574,569,216,63,62,0,4301,485,531,665,249,216,234,253,126,609,531,149,153,56,44,41.1,40.2,41.9,41.5,40.7,42.3,35.4,34.3,37.5,48.8,51.6,47.1,30.7,27.1,33.0,21.2,21.8,2.8,20.4,30.4,16.5,20.0,19.7,20.2,41.7,40.9,42.5,21.5,22.0,20.2,596071
