SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,LA,22,,,,,04000US22,Louisiana,4625253,2261156,157642,159193,157781,93357,63406,36045,37045,101438,167414,160094,142182,138717,145906,157743,149001,54190,75075,45495,52909,65845,47365,29452,23861,2364097,152324,154320,149752,90227,59652,35860,35690,101480,168886,161424,141813,144789,152340,167125,161295,57871,81507,47833,59011,83779,60745,48839,47535,2902538,1436227,87162,87929,89430,53792,33957,99926,103150,101055,183186,203499,192403,121692,59887,19159,1466311,83347,85618,82728,50738,32163,97111,100788,97252,177195,205569,199499,136339,81557,36407,1484363,704374,57449,59781,59274,34439,25405,63899,53710,48808,81074,87282,76017,37644,15241,4351,779989,56599,57678,56927,34191,23869,66658,59063,55499,93550,100895,90369,49360,25079,10252,27238,13638,871,699,1038,522,593,981,867,1165,2050,2148,1531,898,239,36,13600,784,830,1106,679,511,909,780,984,2016,1845,1704,924,468,60,77818,37564,2359,2680,2000,1342,1166,3827,3448,3189,6202,4803,3978,1832,635,103,40254,2526,2305,2575,1373,1047,3251,3768,3756,6640,4940,4727,2044,1025,277,1824,852,68,117,72,10,74,55,104,48,148,124,17,12,3,0,972,65,71,38,69,26,56,100,95,139,203,38,45,27,0,47595,27271,2650,2077,1231,745,763,2752,3432,3665,4526,2571,1831,689,287,52,20324,2478,1672,1345,804,528,1552,1866,1737,3199,2270,1643,639,360,231,83877,41230,7083,5910,4736,2507,1448,3088,2703,2164,3713,3222,2489,1482,525,160,42647,6525,6146,5033,2373,1508,3493,2521,2101,3863,3743,2693,1272,1068,308,2751183,1354387,79376,81359,84336,50794,31715,92922,94902,92926,168873,194883,186554,118843,58223,18681,1396796,75745,79909,77965,48138,29825,92088,94333,91176,167487,198295,193937,133111,79069,35718,218263,118823,11159,9831,7582,4039,3411,10323,12710,12691,20102,12342,8216,3880,2044,493,99440,11374,8501,7543,3972,3213,7601,8999,8490,13620,10354,7693,4116,3005,959,36.1,34.9,37.5,39.6,38.3,40.9,31.5,29.8,33.1,35.4,35.3,35.6,33.8,32.8,34.4,29.5,26.7,32.7,29.9,30.0,29.7,19.1,18.5,19.6,40.4,39.1,41.7,29.7,30.1,29.1,4625253
40,LA,22,,,,,04001US22,Louisiana -- Urban,3395619,1642111,118555,118119,112875,66558,46869,27577,29321,78598,131264,120460,102715,98631,102732,111377,105664,37441,51541,30771,35833,44653,32088,20606,17863,1753508,114150,111682,109857,64990,46884,27291,28274,80381,131704,124921,104529,105871,109954,121462,118343,42006,57675,33864,42043,59307,43844,37120,37356,1943554,956155,58592,56110,55345,33292,23117,72709,76402,70938,121468,133227,124336,77397,39047,14175,987399,54968,53503,52553,31643,22938,70013,71991,68040,115488,136234,133100,90663,57966,28299,1257263,587038,49652,52244,50540,29076,20834,53714,45699,40755,65912,70452,62311,30172,12282,3395,670225,49196,49853,49300,29229,20971,57910,52080,49282,81690,84694,76271,40630,20741,8378,17027,8030,480,515,621,346,361,549,557,708,1190,1217,820,511,133,22,8997,536,516,770,498,389,650,555,744,1339,1130,930,611,296,33,72017,35242,2124,2558,1909,1262,941,3637,3341,2887,5827,4552,3788,1713,600,103,36775,2289,1975,2435,1248,1024,3198,3394,3436,6035,4499,4323,1795,906,218,1326,598,32,26,44,10,74,55,73,20,133,115,11,5,0,0,728,65,71,3,69,26,46,85,64,104,104,28,45,18,0,40759,23376,2155,1877,889,676,520,2374,3029,3287,3931,2237,1596,534,219,52,17383,2112,1338,1164,591,490,1338,1546,1607,2746,1946,1441,589,291,184,63673,31672,5520,4789,3527,1896,1022,2458,2163,1865,2885,2309,1784,925,413,116,32001,4984,4426,3632,1712,1046,2791,2053,1748,2998,2809,1931,881,746,244,1814254,886753,51829,50818,51316,30910,21177,66604,69192,63874,109405,125713,119676,74919,37584,13736,927501,48370,48678,48497,29562,20993,65330,66225,62806,107425,129965,128336,87872,55781,27661,186367,100784,9565,8134,6016,3253,2823,8925,11100,10931,16996,10858,6705,3262,1768,448,85583,9832,7099,6395,3114,2727,6938,7976,7455,11529,8842,6591,3597,2627,861,35.2,33.7,36.6,39.2,37.5,41.0,30.9,29.0,32.6,33.6,33.4,33.7,33.6,32.9,34.1,28.9,27.7,29.9,30.2,30.2,30.4,19.2,18.2,20.3,40.2,38.4,42.0,29.8,30.2,29.2,3395619
40,LA,22,,,,,04043US22,Louisiana -- Rural,1229634,619045,39087,41074,44906,26799,16537,8468,7724,22840,36150,39634,39467,40086,43174,46366,43337,16749,23534,14724,17076,21192,15277,8846,5998,610589,38174,42638,39895,25237,12768,8569,7416,21099,37182,36503,37284,38918,42386,45663,42952,15865,23832,13969,16968,24472,16901,11719,10179,958984,480072,28570,31819,34085,20500,10840,27217,26748,30117,61718,70272,68067,44295,20840,4984,478912,28379,32115,30175,19095,9225,27098,28797,29212,61707,69335,66399,45676,23591,8108,227100,117336,7797,7537,8734,5363,4571,10185,8011,8053,15162,16830,13706,7472,2959,956,109764,7403,7825,7627,4962,2898,8748,6983,6217,11860,16201,14098,8730,4338,1874,10211,5608,391,184,417,176,232,432,310,457,860,931,711,387,106,14,4603,248,314,336,181,122,259,225,240,677,715,774,313,172,27,5801,2322,235,122,91,80,225,190,107,302,375,251,190,119,35,0,3479,237,330,140,125,23,53,374,320,605,441,404,249,119,59,498,254,36,91,28,0,0,0,31,28,15,9,6,7,3,0,244,0,0,35,0,0,10,15,31,35,99,10,0,9,0,6836,3895,495,200,342,69,243,378,403,378,595,334,235,155,68,0,2941,366,334,181,213,38,214,320,130,453,324,202,50,69,47,20204,9558,1563,1121,1209,611,426,630,540,299,828,913,705,557,112,44,10646,1541,1720,1401,661,462,702,468,353,865,934,762,391,322,64,936929,467634,27547,30541,33020,19884,10538,26318,25710,29052,59468,69170,66878,43924,20639,4945,469295,27375,31231,29468,18576,8832,26758,28108,28370,60062,68330,65601,45239,23288,8057,31896,18039,1594,1697,1566,786,588,1398,1610,1760,3106,1484,1511,618,276,45,13857,1542,1402,1148,858,486,663,1023,1035,2091,1512,1102,519,378,98,39.0,38.3,39.8,40.4,40.0,40.9,35.2,34.1,36.7,38.0,37.4,38.6,34.8,31.3,36.9,31.1,10.5,44.8,26.9,27.3,26.7,18.7,19.1,18.0,40.7,40.4,41.1,29.0,29.2,28.6,1229634
40,LA,22,,,,,040A0US22,Louisiana -- In metropolitan or micropolitan statistical area,4263102,2076176,145848,146843,144866,85718,58479,33319,34372,93908,154814,147470,130678,126939,133191,144465,136998,49530,68555,41427,48032,59586,42829,26805,21504,2186926,141118,142047,138265,83345,55909,33998,33487,95120,158519,150801,131956,134204,140762,154355,148786,53262,75094,43739,53927,75868,54786,44192,43386,2661503,1314706,80061,80307,81623,48997,31377,92757,95415,93093,168095,186214,175565,109939,53993,17270,1346797,76582,78187,75956,46486,29940,90622,93902,90087,163154,188976,182776,123381,73482,33266,1375545,647410,53520,55651,54755,31971,23358,58496,49158,44563,73762,79507,70229,34541,14010,3889,728135,52858,53709,53061,31850,22492,62904,55828,52379,87629,93767,84064,45501,22806,9287,23266,11688,728,603,874,416,518,871,800,1071,1713,1799,1318,733,212,32,11578,664,643,870,611,458,784,707,805,1864,1494,1440,830,348,60,76950,37094,2317,2641,1957,1285,1166,3806,3443,3127,6152,4690,3962,1820,625,103,39856,2502,2301,2551,1344,1034,3251,3754,3747,6539,4888,4689,2002,981,273,1742,790,68,117,72,0,74,55,100,48,117,107,17,12,3,0,952,65,71,32,69,26,56,100,95,139,189,38,45,27,0,45634,25997,2536,1990,1161,740,618,2677,3269,3531,4257,2462,1758,660,286,52,19637,2425,1513,1262,750,508,1532,1832,1652,3146,2195,1615,636,352,219,78462,38491,6618,5534,4424,2309,1368,2937,2629,2037,3521,2877,2234,1340,505,158,39971,6022,5623,4533,2235,1451,3456,2396,2036,3689,3608,2520,1139,982,281,2515092,1236112,72479,73999,76740,46126,29194,85933,87553,85296,154424,177968,170042,107192,52360,16806,1278980,69148,72622,71282,43941,27652,85681,87572,84167,153664,181847,177393,120281,71141,32589,210386,113642,10792,9466,7297,3843,3203,10052,12092,12141,19099,11731,7735,3708,2010,473,96744,11110,8172,7310,3838,3163,7499,8806,8233,13354,10098,7447,3964,2821,929,35.9,34.7,37.2,39.4,38.1,40.7,31.4,29.6,32.9,35.4,34.8,35.8,33.7,32.9,34.3,28.8,25.9,32.6,30.0,30.0,30.0,19.3,18.5,20.1,40.2,38.9,41.5,29.7,30.0,29.1,4263102
40,LA,22,,,,,040C0US22,Louisiana -- In metropolitan statistical area,3856617,1875833,130923,132581,130571,77495,51888,29067,30918,82613,140803,134652,118876,115464,121314,131498,124762,44760,61948,37326,43179,53524,38115,24343,19213,1980784,127096,127866,125199,75248,49776,30524,29645,84809,145156,137819,120083,122592,128445,140552,136012,48068,67781,39541,48425,68160,48943,39845,39199,2408025,1188331,71592,72158,73624,44160,27815,82105,87070,84939,152833,169737,159514,98829,48481,15474,1219694,68893,69999,68660,41776,26797,81196,85995,82235,148202,172348,166262,111046,66124,30161,1241955,583328,48388,50646,49344,28923,20715,51329,44377,40504,66736,71952,63459,31016,12495,3444,658627,47669,48890,48058,28716,19848,55590,51045,47862,80237,85121,76088,40900,20337,8266,20739,10368,690,484,799,385,467,733,697,1043,1596,1541,1076,644,192,21,10371,581,609,825,603,421,629,639,759,1663,1323,1285,681,300,53,73366,35457,2195,2584,1889,1254,1044,3471,3171,3039,5955,4553,3818,1772,609,103,37909,2401,2193,2469,1323,964,3071,3597,3524,6227,4704,4392,1851,923,270,1481,667,54,117,69,0,48,30,93,48,104,93,11,0,0,0,814,37,58,29,69,26,29,50,95,139,177,35,43,27,0,42101,24050,2312,1872,1141,690,531,2355,2957,3353,3934,2307,1670,633,254,41,18051,2159,1405,1160,716,482,1342,1646,1544,2926,2068,1504,593,293,213,68950,33632,5692,4720,3705,2083,1268,2575,2438,1726,3182,2629,1922,1135,427,130,35318,5356,4712,3998,2045,1238,3121,2184,1800,3281,3256,2295,1012,784,236,2270885,1114583,64481,66271,69088,41441,25801,75822,79762,77568,139969,161960,154344,96157,46881,15038,1156302,61992,64905,64413,39495,24648,76560,80092,76706,139395,165503,161141,108099,63860,29493,195963,105941,9971,8711,6723,3640,2913,9097,11214,11534,17877,11018,7285,3545,1968,445,90022,10100,7535,6735,3508,2946,6891,8156,7667,12378,9606,7072,3792,2716,920,36.0,34.9,37.3,39.5,38.2,40.8,31.5,29.7,33.0,35.0,34.2,35.4,33.8,33.3,34.2,31.5,26.3,36.4,30.3,30.2,30.4,19.7,18.9,20.4,40.4,39.1,41.6,30.0,30.2,29.5,3856617
40,LA,22,,,,,040C1US22,Louisiana -- In metropolitan statistical area -- in principal city,1380266,659915,46200,42987,41697,24219,20311,12945,13599,35852,59004,49963,39995,38145,38640,42819,42179,15537,21228,12698,13928,17546,13277,9079,8067,720351,45107,41561,40310,24368,22861,14236,13069,38648,59098,52006,40347,41187,42304,48113,48504,17568,23693,14365,17009,23871,18341,16369,17416,649703,321100,16718,14947,14103,8456,8705,29322,31653,25668,40266,41814,42208,26495,14695,6050,328603,15947,14191,13870,8764,9770,28817,27716,22509,35592,41894,44479,31113,21651,12290,650715,298839,25641,24770,25180,14275,10355,28571,23367,20611,32016,35788,33255,16154,6965,1891,351876,25442,24084,23859,14234,11749,32926,27883,25903,40621,44470,41495,22442,11943,4825,5410,2605,206,203,150,53,142,246,223,170,392,319,308,159,34,0,2805,182,164,262,106,79,200,163,338,300,374,315,180,127,15,35677,17809,828,1100,850,654,556,2420,1874,1440,3080,1845,1922,796,388,56,17868,844,990,887,609,664,2017,1853,1889,2594,1944,2127,831,506,113,418,199,0,0,12,0,12,13,24,20,25,82,11,0,0,0,219,19,12,0,26,9,29,3,18,67,0,18,0,18,0,14341,7954,846,641,181,196,109,865,919,1225,1243,726,648,208,129,18,6387,915,408,475,108,103,481,595,588,1064,589,561,301,147,52,24002,11409,1961,1326,1221,585,432,959,944,829,1118,885,592,360,145,52,12593,1758,1712,957,521,487,1483,885,761,1296,1146,770,378,318,121,598671,293458,14182,13418,12753,7595,7819,26749,28187,22594,35083,39086,40381,25615,14074,5922,305213,13407,12592,12632,8055,8990,26782,25094,20438,32275,39461,42722,29964,20828,11973,72415,39181,3654,2492,2021,1120,1220,3745,4626,4595,6918,3938,2727,1168,829,128,33234,3764,2309,2167,1059,977,3012,3535,2903,4686,3383,2515,1422,1121,381,34.6,33.2,36.0,39.4,37.5,41.5,31.2,29.3,33.0,33.2,32.1,33.9,32.5,32.1,32.7,36.5,42.2,31.6,31.1,31.1,30.9,21.8,21.0,22.2,40.8,38.7,42.8,30.2,30.6,29.7,1380266
40,LA,22,,,,,040C2US22,Louisiana -- In metropolitan statistical area -- not in principal city,2476351,1215918,84723,89594,88874,53276,31577,16122,17319,46761,81799,84689,78881,77319,82674,88679,82583,29223,40720,24628,29251,35978,24838,15264,11146,1260433,81989,86305,84889,50880,26915,16288,16576,46161,86058,85813,79736,81405,86141,92439,87508,30500,44088,25176,31416,44289,30602,23476,21783,1758322,867231,54874,57211,59521,35704,19110,52783,55417,59271,112567,127923,117306,72334,33786,9424,891091,52946,55808,54790,33012,17027,52379,58279,59726,112610,130454,121783,79933,44473,17871,591240,284489,22747,25876,24164,14648,10360,22758,21010,19893,34720,36164,30204,14862,5530,1553,306751,22227,24806,24199,14482,8099,22664,23162,21959,39616,40651,34593,18458,8394,3441,15329,7763,484,281,649,332,325,487,474,873,1204,1222,768,485,158,21,7566,399,445,563,497,342,429,476,421,1363,949,970,501,173,38,37689,17648,1367,1484,1039,600,488,1051,1297,1599,2875,2708,1896,976,221,47,20041,1557,1203,1582,714,300,1054,1744,1635,3633,2760,2265,1020,417,157,1063,468,54,117,57,0,36,17,69,28,79,11,0,0,0,0,595,18,46,29,43,17,0,47,77,72,177,17,43,9,0,27760,16096,1466,1231,960,494,422,1490,2038,2128,2691,1581,1022,425,125,23,11664,1244,997,685,608,379,861,1051,956,1862,1479,943,292,146,161,44948,22223,3731,3394,2484,1498,836,1616,1494,897,2064,1744,1330,775,282,78,22725,3598,3000,3041,1524,751,1638,1299,1039,1985,2110,1525,634,466,115,1672214,821125,50299,52853,56335,33846,17982,49073,51575,54974,104886,122874,113963,70542,32807,9116,851089,48585,52313,51781,31440,15658,49778,54998,56268,107120,126042,118419,78135,43032,17520,123548,66760,6317,6219,4702,2520,1693,5352,6588,6939,10959,7080,4558,2377,1139,317,56788,6336,5226,4568,2449,1969,3879,4621,4764,7692,6223,4557,2370,1595,539,36.9,35.7,38.0,39.6,38.5,40.6,31.7,30.2,33.1,35.4,34.8,35.8,35.2,34.6,35.7,28.2,19.2,38.6,29.9,29.9,30.0,18.2,18.0,18.5,40.2,39.2,41.2,29.7,30.0,29.1,2476351
40,LA,22,,,,,040E0US22,Louisiana -- In micropolitan statistical area,406485,200343,14925,14262,14295,8223,6591,4252,3454,11295,14011,12818,11802,11475,11877,12967,12236,4770,6607,4101,4853,6062,4714,2462,2291,206142,14022,14181,13066,8097,6133,3474,3842,10311,13363,12982,11873,11612,12317,13803,12774,5194,7313,4198,5502,7708,5843,4347,4187,253478,126375,8469,8149,7999,4837,3562,10652,8345,8154,15262,16477,16051,11110,5512,1796,127103,7689,8188,7296,4710,3143,9426,7907,7852,14952,16628,16514,12335,7358,3105,133590,64082,5132,5005,5411,3048,2643,7167,4781,4059,7026,7555,6770,3525,1515,445,69508,5189,4819,5003,3134,2644,7314,4783,4517,7392,8646,7976,4601,2469,1021,2527,1320,38,119,75,31,51,138,103,28,117,258,242,89,20,11,1207,83,34,45,8,37,155,68,46,201,171,155,149,48,7,3584,1637,122,57,68,31,122,335,272,88,197,137,144,48,16,0,1947,101,108,82,21,70,180,157,223,312,184,297,151,58,3,261,123,14,0,3,0,26,25,7,0,13,14,6,12,3,0,138,28,13,3,0,0,27,50,0,0,12,3,2,0,0,3533,1947,224,118,20,50,87,322,312,178,323,155,88,27,32,11,1586,266,108,102,34,26,190,186,108,220,127,111,43,59,6,9512,4859,926,814,719,226,100,362,191,311,339,248,312,205,78,28,4653,666,911,535,190,213,335,212,236,408,352,225,127,198,45,244207,121529,7998,7728,7652,4685,3393,10111,7791,7728,14455,16008,15698,11035,5479,1768,122678,7156,7717,6869,4446,3004,9121,7480,7461,14269,16344,16252,12182,7281,3096,14423,7701,821,755,574,203,290,955,878,607,1222,713,450,163,42,28,6722,1010,637,575,330,217,608,650,566,976,492,375,172,105,9,34.9,33.4,36.5,38.4,36.7,40.0,30.4,28.6,32.1,40.3,40.6,39.5,31.6,27.0,35.6,22.2,21.5,22.8,26.4,26.2,26.8,15.9,14.8,18.5,39.1,37.3,41.0,25.6,26.4,24.9,406485
40,LA,22,,,,,040E1US22,Louisiana -- In micropolitan statistical area -- in principal city,112221,53190,4436,4308,3551,1845,2680,1828,1449,4275,4505,3354,3123,2675,2491,2598,2642,906,1307,690,1103,1222,1023,496,683,59031,4668,4280,4004,2177,2547,1455,1863,4007,3941,3871,3381,2955,2791,3084,2831,1058,1766,915,1290,1820,1614,1245,1468,50240,24563,1715,1566,1268,577,1198,3633,2130,1638,2960,2365,2291,1685,1055,482,25677,1571,1378,1397,777,1170,3081,1619,1809,2737,2484,2517,2228,1895,1014,56435,25870,2273,2433,2043,1185,1375,3415,2108,1590,2556,2516,2437,1297,454,188,30565,2719,2468,2242,1339,1301,3880,2161,1913,3292,3269,2943,1696,893,449,719,347,34,24,5,1,16,51,16,7,24,105,45,19,0,0,372,7,0,0,0,0,106,8,1,61,34,83,34,33,5,1004,557,44,5,10,12,49,227,91,24,24,21,44,0,6,0,447,32,15,9,0,54,118,8,75,52,45,22,6,11,0,109,24,14,0,0,0,0,0,0,0,10,0,0,0,0,0,85,28,13,0,0,0,17,27,0,0,0,0,0,0,0,1075,514,74,46,0,1,21,98,110,16,81,28,28,0,0,11,561,118,35,60,8,9,46,66,46,87,9,43,28,6,0,2639,1315,282,234,225,69,21,128,50,79,143,54,10,14,4,2,1324,193,371,296,53,13,77,52,27,107,34,47,33,21,0,47211,23205,1540,1401,1208,574,1108,3435,1969,1524,2713,2303,2233,1676,1045,476,24006,1336,1195,1291,694,1103,2916,1416,1581,2574,2394,2456,2182,1858,1010,4846,2208,288,259,152,4,111,362,242,146,392,140,86,10,10,6,2638,510,260,193,91,89,321,288,310,268,111,104,46,43,4,28.8,27.1,30.7,33.2,30.5,35.1,26.6,25.4,27.8,44.8,40.9,46.6,24.4,24.3,24.8,7.0,.,20.1,25.2,25.2,25.1,12.2,12.8,11.9,34.1,31.2,36.4,23.4,23.8,22.2,112221
40,LA,22,,,,,040E2US22,Louisiana -- In micropolitan statistical area -- not in principal city,294264,147153,10489,9954,10744,6378,3911,2424,2005,7020,9506,9464,8679,8800,9386,10369,9594,3864,5300,3411,3750,4840,3691,1966,1608,147111,9354,9901,9062,5920,3586,2019,1979,6304,9422,9111,8492,8657,9526,10719,9943,4136,5547,3283,4212,5888,4229,3102,2719,203238,101812,6754,6583,6731,4260,2364,7019,6215,6516,12302,14112,13760,9425,4457,1314,101426,6118,6810,5899,3933,1973,6345,6288,6043,12215,14144,13997,10107,5463,2091,77155,38212,2859,2572,3368,1863,1268,3752,2673,2469,4470,5039,4333,2228,1061,257,38943,2470,2351,2761,1795,1343,3434,2622,2604,4100,5377,5033,2905,1576,572,1808,973,4,95,70,30,35,87,87,21,93,153,197,70,20,11,835,76,34,45,8,37,49,60,45,140,137,72,115,15,2,2580,1080,78,52,58,19,73,108,181,64,173,116,100,48,10,0,1500,69,93,73,21,16,62,149,148,260,139,275,145,47,3,152,99,0,0,3,0,26,25,7,0,3,14,6,12,3,0,53,0,0,3,0,0,10,23,0,0,12,3,2,0,0,2458,1433,150,72,20,49,66,224,202,162,242,127,60,27,32,0,1025,148,73,42,26,17,144,120,62,133,118,68,15,53,6,6873,3544,644,580,494,157,79,234,141,232,196,194,302,191,74,26,3329,473,540,239,137,200,258,160,209,301,318,178,94,177,45,196996,98324,6458,6327,6444,4111,2285,6676,5822,6204,11742,13705,13465,9359,4434,1292,98672,5820,6522,5578,3752,1901,6205,6064,5880,11695,13950,13796,10000,5423,2086,9577,5493,533,496,422,199,179,593,636,461,830,573,364,153,32,22,4084,500,377,382,239,128,287,362,256,708,381,271,126,62,5,37.4,35.8,39.1,39.9,38.5,41.4,33.5,31.7,35.3,38.6,40.2,37.1,35.4,29.6,38.4,25.6,21.7,25.9,27.8,26.9,28.4,19.5,15.5,21.1,40.5,39.0,41.9,27.0,27.5,26.3,294264
