SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MA,25,,,,,04000US25,Massachusetts,6705586,3249650,187066,191958,205530,129433,104038,52061,51333,140356,235172,216220,196293,218111,237629,247973,227238,80814,109167,65319,80810,100745,70828,52074,49482,3455936,178775,186343,195312,123212,105893,54965,52962,135839,237653,221692,202730,231277,249926,260886,241029,88026,123256,72802,91466,123577,92141,81603,104571,5334859,2583329,130734,139086,154009,97861,77264,179405,175797,161512,318654,405485,364308,221167,111950,46097,2751530,124396,134064,145376,93690,78698,178781,176271,163594,330153,424326,391989,255377,156711,98104,478947,230975,18561,17324,17425,10949,9205,22264,18995,16149,30943,30631,22231,10546,4485,1267,247972,16891,16710,16982,10820,9049,22417,19697,18008,34087,33242,25331,13946,7775,3017,13189,6485,318,520,408,283,278,758,477,389,753,1065,707,364,143,22,6704,384,337,546,311,247,672,538,500,838,948,742,428,187,26,400675,190481,12206,11415,11606,6729,6866,17591,18764,18254,32610,24066,16503,8552,4061,1258,210194,12202,12488,11190,6880,8069,19266,21570,20848,35876,26475,18596,9905,4879,1950,1644,625,24,40,17,50,27,21,5,45,97,182,43,70,4,0,1019,100,60,59,36,28,226,99,108,81,37,43,72,49,21,281595,138386,11266,10511,11691,7460,6370,14900,13688,12891,20215,15239,8541,3771,1281,562,143209,11865,11148,11310,6306,5767,13482,12462,12610,21417,17583,10546,5250,2568,895,194677,99369,13957,13062,10374,6101,4028,8811,7446,6980,11132,8934,4886,2404,978,276,95308,12937,11536,9849,5169,4035,8922,7016,6024,11555,8201,5064,2867,1575,558,4982325,2410310,113014,123215,138590,88777,70502,162661,160168,146526,295515,387295,353288,215775,109595,45389,2572015,107664,118418,130909,84520,71573,162714,161237,148431,305053,403500,378993,248638,153300,97065,707928,350360,34894,31246,31336,18670,14794,35628,32231,30218,48500,36766,21357,9889,3623,1208,357568,33393,31110,29565,17571,14133,33511,30409,29767,51188,40918,25127,12920,6067,1889,39.3,37.8,40.7,42.4,40.8,43.7,31.8,30.2,33.1,33.1,32.5,33.3,32.9,32.6,33.2,31.4,43.6,25.0,28.4,27.3,29.6,21.5,21.0,21.9,43.6,42.2,44.9,27.0,26.2,28.1,6705586
40,MA,25,,,,,04001US25,Massachusetts -- Urban,6166122,2982461,175513,176781,185964,116439,97783,48960,48480,132035,224741,204574,184020,200152,214597,221997,203236,72432,97211,57883,71810,90067,64365,47721,45700,3183661,167600,170996,176775,111697,99767,52267,50285,128888,227579,209859,189900,211186,227543,235193,216094,78378,110572,65556,82569,112513,84519,76019,97906,4821219,2329316,120042,125314,135815,86100,71640,165923,165700,150462,290288,358355,321485,194506,101353,42333,2491903,113857,119797,128586,82917,73078,167358,166764,152299,299093,377992,346053,228756,143852,91501,473202,227602,18436,17035,17174,10697,9001,22005,18950,15907,30429,30070,21780,10427,4426,1265,245600,16881,16576,16717,10725,8957,22118,19535,17946,33802,32885,24948,13816,7696,2998,12448,6091,291,506,385,280,264,753,472,355,709,958,622,343,132,21,6357,379,332,504,289,247,667,508,490,758,910,676,401,179,17,392477,186882,12014,11157,11187,6434,6740,17330,18682,18192,32008,23464,16051,8412,3964,1247,205595,12068,12208,10621,6637,7955,19141,21494,20487,34999,25584,18111,9641,4717,1932,1541,538,24,33,17,36,27,21,0,45,97,121,43,70,4,0,1003,100,60,59,36,28,226,83,108,81,37,43,72,49,21,278729,136887,11238,10409,11533,7262,6313,14761,13650,12786,19891,15062,8441,3713,1270,558,141842,11834,11048,11170,6265,5607,13272,12410,12569,21113,17431,10453,5236,2539,895,186506,95145,13468,12327,9853,5630,3798,8682,7287,6827,10750,8564,4457,2289,937,276,91361,12481,10975,9118,4828,3895,8658,6785,5960,11240,7897,4760,2716,1506,542,4476099,2159824,102567,109864,120884,77335,65066,149431,150153,135633,267574,340646,310699,189244,99031,41697,2316275,97506,104649,114552,74077,66057,151447,151883,137420,274499,357738,333273,222189,140503,90482,697094,345006,34535,30655,30578,18173,14498,35217,32101,29940,47754,36065,21037,9727,3590,1136,352088,32971,30485,28751,17173,13891,33185,30195,29442,50409,40186,24817,12734,5980,1869,38.7,37.1,40.1,41.8,40.2,43.3,31.8,30.2,33.1,32.0,31.3,32.7,32.8,32.6,33.0,30.9,42.1,25.0,28.4,27.3,29.7,21.6,21.2,22.0,43.2,41.6,44.6,27.1,26.2,28.1,6166122
40,MA,25,,,,,04043US25,Massachusetts -- Rural,539464,267189,11553,15177,19566,12994,6255,3101,2853,8321,10431,11646,12273,17959,23032,25976,24002,8382,11956,7436,9000,10678,6463,4353,3782,272275,11175,15347,18537,11515,6126,2698,2677,6951,10074,11833,12830,20091,22383,25693,24935,9648,12684,7246,8897,11064,7622,5584,6665,513640,254013,10692,13772,18194,11761,5624,13482,10097,11050,28366,47130,42823,26661,10597,3764,259627,10539,14267,16790,10773,5620,11423,9507,11295,31060,46334,45936,26621,12859,6603,5745,3373,125,289,251,252,204,259,45,242,514,561,451,119,59,2,2372,10,134,265,95,92,299,162,62,285,357,383,130,79,19,741,394,27,14,23,3,14,5,5,34,44,107,85,21,11,1,347,5,5,42,22,0,5,30,10,80,38,66,27,8,9,8198,3599,192,258,419,295,126,261,82,62,602,602,452,140,97,11,4599,134,280,569,243,114,125,76,361,877,891,485,264,162,18,103,87,0,7,0,14,0,0,5,0,0,61,0,0,0,0,16,0,0,0,0,0,0,16,0,0,0,0,0,0,0,2866,1499,28,102,158,198,57,139,38,105,324,177,100,58,11,4,1367,31,100,140,41,160,210,52,41,304,152,93,14,29,0,8171,4224,489,735,521,471,230,129,159,153,382,370,429,115,41,0,3947,456,561,731,341,140,264,231,64,315,304,304,151,69,16,506226,250486,10447,13351,17706,11442,5436,13230,10015,10893,27941,46649,42589,26531,10564,3692,255740,10158,13769,16357,10443,5516,11267,9354,11011,30554,45762,45720,26449,12797,6583,10834,5354,359,591,758,497,296,411,130,278,746,701,320,162,33,72,5480,422,625,814,398,242,326,214,325,779,732,310,186,87,20,45.9,45.3,46.4,46.5,45.9,47.0,36.3,35.4,37.6,45.1,45.8,42.9,39.5,38.2,40.0,49.3,49.6,.,27.3,31.6,25.8,17.0,17.1,16.8,46.7,46.2,47.3,21.8,21.3,22.6,539464
40,MA,25,,,,,040A0US25,Massachusetts -- In metropolitan or micropolitan statistical area,6695030,3244061,186759,191556,205241,129253,103912,52024,51302,140235,234729,215659,195877,217672,237230,247552,226870,80633,108994,65262,80642,100518,70732,51963,49446,3450969,178486,186022,195000,123081,105735,54947,52896,135688,237397,221287,202399,230938,249574,260507,240655,87902,123018,72674,91364,123417,91970,81554,104458,5325812,2578636,130443,138876,153797,97735,77181,179240,175427,161110,317924,404747,363619,220720,111756,46061,2747176,124166,133743,145152,93576,78639,178636,176050,163259,329583,423639,391253,254998,156491,97991,477952,230323,18545,17154,17367,10895,9183,22252,18958,16074,30828,30569,22213,10546,4472,1267,247629,16838,16710,16897,10820,8957,22404,19697,17979,34016,33242,25331,13946,7775,3017,13184,6480,318,520,408,283,278,758,477,389,748,1065,707,364,143,22,6704,384,337,546,311,247,672,538,500,838,948,742,428,187,26,400555,190418,12206,11415,11587,6729,6845,17591,18764,18254,32605,24051,16500,8552,4061,1258,210137,12196,12488,11190,6873,8062,19253,21570,20848,35873,26459,18596,9900,4879,1950,1644,625,24,40,17,50,27,21,5,45,97,182,43,70,4,0,1019,100,60,59,36,28,226,99,108,81,37,43,72,49,21,281393,138320,11266,10497,11691,7460,6370,14888,13672,12867,20215,15239,8541,3771,1281,562,143073,11865,11148,11310,6306,5767,13445,12428,12569,21417,17559,10546,5250,2568,895,194490,99259,13957,13054,10374,6101,4028,8811,7426,6920,11132,8929,4874,2399,978,276,95231,12937,11536,9846,5159,4035,8895,7015,6024,11529,8197,5064,2861,1575,558,4974235,2406225,112795,123005,138378,88651,70419,162496,159955,146233,294906,386594,352645,215394,109401,45353,2568010,107460,118160,130726,84406,71514,162571,161016,148190,304511,402845,378320,248259,153080,96952,706854,349686,34822,31232,31336,18670,14794,35616,32058,30085,48379,36729,21311,9823,3623,1208,357168,33367,31047,29513,17571,14133,33484,30394,29673,51160,40886,25064,12920,6067,1889,39.3,37.8,40.7,42.3,40.8,43.7,31.9,30.2,33.2,33.1,32.4,33.3,32.9,32.6,33.2,31.4,43.6,25.0,28.4,27.3,29.6,21.4,21.0,21.8,43.6,42.2,44.9,27.0,26.1,28.1,6695030
40,MA,25,,,,,040C0US25,Massachusetts -- In metropolitan statistical area,6606838,3200859,184589,189469,202593,127689,102938,51505,50926,138526,232166,213194,193588,214800,234213,243989,223054,79367,106677,64061,78961,98912,69694,51171,48777,3405979,176553,183946,192598,121554,104855,54469,52406,134371,234989,218985,200164,227599,246332,256741,236653,86080,120851,71218,89829,121642,90836,80429,102879,5243231,2538307,128534,137034,151377,96255,76318,176863,173077,159013,313180,398414,356488,216372,109981,45401,2704924,122341,131920,143003,92215,77889,176511,173882,161172,324385,416848,383579,250402,154299,96478,476464,229552,18501,17136,17340,10879,9165,22148,18937,16019,30619,30468,22134,10509,4432,1265,246912,16824,16571,16798,10803,8957,22364,19622,17916,33957,33220,25267,13895,7750,2968,12870,6331,300,520,397,280,264,735,477,360,737,1054,684,359,143,21,6539,381,334,546,285,247,648,534,498,805,911,723,422,187,18,399264,189747,12150,11384,11524,6700,6826,17560,18690,18158,32529,23974,16456,8483,4061,1252,209517,12196,12476,11137,6853,8057,19240,21453,20787,35776,26356,18540,9842,4854,1950,1628,609,24,40,17,50,27,21,5,45,97,182,43,54,4,0,1019,100,60,59,36,28,226,99,108,81,37,43,72,49,21,280630,137909,11197,10462,11685,7451,6358,14843,13609,12788,20192,15225,8491,3765,1281,562,142721,11856,11146,11304,6277,5686,13419,12405,12534,21336,17559,10487,5249,2568,895,192751,98404,13883,12893,10253,6074,3980,8787,7371,6811,11034,8885,4802,2392,963,276,94347,12855,11439,9751,5085,3991,8838,6994,5970,11423,8142,4945,2807,1558,549,4893344,2366752,110989,121241,136026,87221,69625,160234,157677,144181,290228,380345,345563,211100,107626,44696,2526592,105742,116395,128658,83076,70789,160545,158867,146168,299419,396171,370695,243708,150910,95449,704145,348233,34632,31054,31220,18604,14698,35464,31959,29991,48259,36550,21223,9751,3623,1205,355912,33249,30920,29397,17482,14049,33363,30346,29608,50962,40765,24983,12870,6039,1879,39.3,37.7,40.6,42.3,40.8,43.7,31.8,30.2,33.2,33.1,33.1,33.1,32.9,32.7,33.1,30.9,43.1,25.0,28.4,27.3,29.6,21.4,21.0,21.8,43.5,42.1,44.8,27.0,26.1,28.1,6606838
40,MA,25,,,,,040C1US25,Massachusetts -- In metropolitan statistical area -- in principal city,1404599,673979,39431,34686,35568,21422,29900,16649,16117,39330,74191,59412,42912,41744,40263,40096,38250,14137,18782,10657,13217,17723,11660,9078,8754,730620,39683,34594,33242,20857,34024,19357,17657,40276,75524,60363,45683,42675,43354,44105,41926,15547,22283,13047,15544,21463,16461,14354,18601,879484,426019,21275,17408,17834,10351,18669,44315,49153,39431,52143,51861,49849,30789,15808,7133,453465,20677,17188,16264,10187,21971,47902,48798,38025,51002,53644,53696,35734,22945,15432,248160,113990,8414,8931,8567,5455,4608,11417,9311,7484,13793,14519,11935,6060,2796,700,134170,8728,8469,8724,5776,4652,12407,11126,9465,17294,17724,14690,8469,4669,1977,4508,2240,44,224,197,154,71,284,125,125,252,312,267,142,43,0,2268,121,119,155,104,101,141,202,186,256,384,254,185,51,9,119481,56890,2783,2132,2674,1684,2963,7349,7900,5967,8756,5611,4480,2585,1362,644,62591,3044,2383,2210,1584,3740,8727,8647,6593,8802,6480,5059,2888,1765,669,318,138,0,0,0,0,16,0,0,19,62,18,0,23,0,0,180,0,0,0,0,6,44,26,51,10,18,21,4,0,0,95308,45712,3200,3148,3827,2625,2197,5404,4713,4130,6165,5328,3150,1280,385,160,49596,3810,3590,3719,2203,2048,4621,4432,3881,7528,6404,4159,1925,960,316,57340,28990,3715,2843,2469,1153,1376,3327,2989,2256,3485,2710,1488,718,344,117,28350,3303,2845,2170,1003,1506,3448,2293,2162,3466,2805,1877,849,425,198,752650,365035,15531,12417,12555,7379,16036,37684,43004,33279,44510,46495,45609,28701,14985,6850,387615,15201,11755,11333,7141,18778,41122,42846,32372,42011,46454,48941,33068,21492,15101,262140,126961,11475,10351,11130,6577,5857,14332,12387,11109,16525,12701,8828,3845,1325,519,135179,11505,11314,10225,6305,5908,13984,12079,11004,18700,15398,10221,5219,2648,669,33.1,32.3,34.0,35.0,34.1,36.0,32.2,30.2,33.7,32.9,30.6,35.2,30.6,30.7,30.6,32.9,39.4,30.6,28.8,27.3,30.6,24.5,24.3,24.8,36.9,36.0,38.0,27.2,26.3,28.3,1404599
40,MA,25,,,,,040C2US25,Massachusetts -- In metropolitan statistical area -- not in principal city,5202239,2526880,145158,154783,167025,106267,73038,34856,34809,99196,157975,153782,150676,173056,193950,203893,184804,65230,87895,53404,65744,81189,58034,42093,40023,2675359,136870,149352,159356,100697,70831,35112,34749,94095,159465,158622,154481,184924,202978,212636,194727,70533,98568,58171,74285,100179,74375,66075,84278,4363747,2112288,107259,119626,133543,85904,57649,132548,123924,119582,261037,346553,306639,185583,94173,38268,2251459,101664,114732,126739,82028,55918,128609,125084,123147,273383,363204,329883,214668,131354,81046,228304,115562,10087,8205,8773,5424,4557,10731,9626,8535,16826,15949,10199,4449,1636,565,112742,8096,8102,8074,5027,4305,9957,8496,8451,16663,15496,10577,5426,3081,991,8362,4091,256,296,200,126,193,451,352,235,485,742,417,217,100,21,4271,260,215,391,181,146,507,332,312,549,527,469,237,136,9,279783,132857,9367,9252,8850,5016,3863,10211,10790,12191,23773,18363,11976,5898,2699,608,146926,9152,10093,8927,5269,4317,10513,12806,14194,26974,19876,13481,6954,3089,1281,1310,471,24,40,17,50,11,21,5,26,35,164,43,31,4,0,839,100,60,59,36,22,182,73,57,71,19,22,68,49,21,185322,92197,7997,7314,7858,4826,4161,9439,8896,8658,14027,9897,5341,2485,896,402,93125,8046,7556,7585,4074,3638,8798,7973,8653,13808,11155,6328,3324,1608,579,135411,69414,10168,10050,7784,4921,2604,5460,4382,4555,7549,6175,3314,1674,619,159,65997,9552,8594,7581,4082,2485,5390,4701,3808,7957,5337,3068,1958,1133,351,4140694,2001717,95458,108824,123471,79842,53589,122550,114673,110902,245718,333850,299954,182399,92641,37846,2138977,90541,104640,117325,75935,52011,119423,116021,113796,257408,349717,321754,210640,129418,80348,442005,221272,23157,20703,20090,12027,8841,21132,19572,18882,31734,23849,12395,5906,2298,686,220733,21744,19606,19172,11177,8141,19379,18267,18604,32262,25367,14762,7651,3391,1210,41.0,39.5,42.3,43.5,42.1,44.8,31.4,30.2,32.6,33.1,33.9,31.8,34.1,33.7,34.4,25.8,45.1,24.8,28.2,27.3,29.0,20.0,19.3,20.6,44.5,43.1,45.7,26.9,26.0,27.9,5202239
40,MA,25,,,,,040E0US25,Massachusetts -- In micropolitan statistical area,88192,43202,2170,2087,2648,1564,974,519,376,1709,2563,2465,2289,2872,3017,3563,3816,1266,2317,1201,1681,1606,1038,792,669,44990,1933,2076,2402,1527,880,478,490,1317,2408,2302,2235,3339,3242,3766,4002,1822,2167,1456,1535,1775,1134,1125,1579,82581,40329,1909,1842,2420,1480,863,2377,2350,2097,4744,6333,7131,4348,1775,660,42252,1825,1823,2149,1361,750,2125,2168,2087,5198,6791,7674,4596,2192,1513,1488,771,44,18,27,16,18,104,21,55,209,101,79,37,40,2,717,14,139,99,17,0,40,75,63,59,22,64,51,25,49,314,149,18,0,11,3,14,23,0,29,11,11,23,5,0,1,165,3,3,0,26,0,24,4,2,33,37,19,6,0,8,1291,671,56,31,63,29,19,31,74,96,76,77,44,69,0,6,620,0,12,53,20,5,13,117,61,97,103,56,58,25,0,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,763,411,69,35,6,9,12,45,63,79,23,14,50,6,0,0,352,9,2,6,29,81,26,23,35,81,0,59,1,0,0,1739,855,74,161,121,27,48,24,55,109,98,44,72,7,15,0,884,82,97,95,74,44,57,21,54,106,55,119,54,17,9,80891,39473,1806,1764,2352,1430,794,2262,2278,2052,4678,6249,7082,4294,1775,657,41418,1718,1765,2068,1330,725,2026,2149,2022,5092,6674,7625,4551,2170,1503,2709,1453,190,178,116,66,96,152,99,94,120,179,88,72,0,3,1256,118,127,116,89,84,121,48,65,198,121,81,50,28,10,45.4,44.1,46.7,46.4,45.1,47.6,34.3,39.8,25.9,32.0,31.2,37.5,34.0,31.3,36.9,.,.,.,28.2,26.0,31.0,21.5,19.9,21.7,46.9,45.6,48.0,22.6,22.8,22.5,88192
40,MA,25,,,,,040E1US25,Massachusetts -- In micropolitan statistical area -- in principal city,19737,9875,527,438,701,347,251,124,120,380,892,522,537,835,614,536,935,295,332,274,340,337,191,188,159,9862,583,386,402,376,180,79,90,381,718,522,624,754,635,662,716,375,473,248,321,286,280,318,453,18176,9139,413,366,638,335,226,571,831,470,1262,1095,1491,908,374,159,9037,560,309,305,306,154,442,626,422,1235,1261,1540,835,598,444,487,259,29,7,0,7,2,18,19,33,61,36,34,13,0,0,228,0,60,63,0,0,19,17,31,23,0,9,6,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,11,0,0,0,0,0,3,0,0,0,0,275,92,0,23,16,0,14,0,0,0,6,19,0,14,0,0,183,0,7,5,5,0,13,53,28,44,19,9,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,115,32,0,0,0,0,18,13,19,16,0,17,0,0,0,167,0,0,4,27,0,26,17,35,58,0,0,0,0,0,487,254,53,42,47,5,9,17,29,0,27,0,20,0,5,0,233,23,10,25,27,26,50,5,6,18,14,6,14,0,9,17475,8793,355,325,623,299,216,512,805,449,1251,1067,1480,878,374,159,8682,498,289,250,298,139,416,613,411,1217,1213,1512,812,577,437,1147,568,98,86,26,36,11,70,39,40,41,63,28,30,0,0,579,62,60,64,56,31,46,35,11,81,48,34,23,21,7,42.5,40.7,44.1,44.1,42.0,46.4,30.1,38.5,13.7,.,.,.,34.1,18.5,34.3,.,.,.,32.0,25.6,32.3,18.6,12.8,20.2,44.5,42.8,47.2,20.7,20.6,21.1,19737
40,MA,25,,,,,040E2US25,Massachusetts -- In micropolitan statistical area -- not in principal city,68455,33327,1643,1649,1947,1217,723,395,256,1329,1671,1943,1752,2037,2403,3027,2881,971,1985,927,1341,1269,847,604,510,35128,1350,1690,2000,1151,700,399,400,936,1690,1780,1611,2585,2607,3104,3286,1447,1694,1208,1214,1489,854,807,1126,64405,31190,1496,1476,1782,1145,637,1806,1519,1627,3482,5238,5640,3440,1401,501,33215,1265,1514,1844,1055,596,1683,1542,1665,3963,5530,6134,3761,1594,1069,1001,512,15,11,27,9,16,86,2,22,148,65,45,24,40,2,489,14,79,36,17,0,21,58,32,36,22,55,45,25,49,300,149,18,0,11,3,14,23,0,29,11,11,23,5,0,1,151,3,3,0,15,0,24,4,2,33,34,19,6,0,8,1016,579,56,8,47,29,5,31,74,96,70,58,44,55,0,6,437,0,5,48,15,5,0,64,33,53,84,47,58,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481,296,37,35,6,9,12,27,50,60,7,14,33,6,0,0,185,9,2,2,2,81,0,6,0,23,0,59,1,0,0,1252,601,21,119,74,22,39,7,26,109,71,44,52,7,10,0,651,59,87,70,47,18,7,16,48,88,41,113,40,17,0,63416,30680,1451,1439,1729,1131,578,1750,1473,1603,3427,5182,5602,3416,1401,498,32736,1220,1476,1818,1032,586,1610,1536,1611,3875,5461,6113,3739,1593,1066,1562,885,92,92,90,30,85,82,60,54,79,116,60,42,0,3,677,56,67,52,33,53,75,13,54,117,73,47,27,7,3,46.4,45.2,47.4,47.2,46.4,47.9,39.1,39.9,33.6,35.1,31.2,37.7,33.9,31.3,42.3,.,.,.,27.1,27.3,19.9,30.5,28.8,31.5,47.5,46.8,48.2,23.6,23.5,25.4,68455
