SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MD,24,,,,,04000US24,Maryland,5930538,2872643,187617,189781,191787,118027,82181,42006,42804,120617,205555,196824,179340,195388,208382,217574,193789,68996,92832,54805,68399,84114,56755,39615,35455,3057895,180105,182034,185380,113549,79239,39580,40770,116602,206944,203989,193957,205570,225458,235604,210582,78561,107963,65173,79020,101563,75715,59728,70809,3416107,1678471,92372,96249,99545,62931,44543,108878,114827,108159,207220,261199,237432,145735,70912,28469,1737636,88265,92990,94695,60140,41715,103037,110195,106813,208104,269262,248001,162763,96385,55271,1750916,814584,58292,59865,61098,38182,26162,66797,58922,55237,108768,121169,89583,46100,19385,5024,936332,56402,56365,61429,37218,26534,67629,66532,65463,130359,144683,115503,64241,31148,12826,15579,7198,236,356,365,406,217,523,464,725,1164,1139,833,530,162,78,8381,420,533,356,268,182,871,499,491,1124,1311,1355,705,187,79,357616,170309,10716,11655,10856,6282,4472,11718,13545,13726,28352,24210,18076,10767,4399,1535,187307,9503,10644,11050,5862,4638,10743,14958,16343,33357,27954,21620,12926,5982,1727,2754,1434,43,122,93,101,29,218,112,142,269,121,118,48,12,6,1320,45,44,84,22,27,185,213,174,195,169,118,34,10,0,211914,114288,11747,9587,8464,4642,2906,10563,12058,13993,21046,11552,5006,2104,525,95,97626,11198,8874,7739,3938,3239,7768,9347,9284,17139,10218,5616,2390,691,185,175652,86359,14211,11947,11366,5483,3852,6730,5627,4842,7909,6566,4569,2034,975,248,89293,14272,12584,10027,6101,2904,6719,5200,5421,9249,7465,4893,2697,1040,721,3144084,1539633,78439,83533,88947,57185,39930,97885,102217,94584,183022,245372,228819,142414,69376,27910,1604451,74643,80167,84046,53957,37740,93478,99599,94497,188147,253593,238537,158260,93776,54011,533671,277948,29749,24864,21686,11529,8544,23835,26729,29356,47692,30004,14987,5852,2361,760,255723,28417,24518,20481,11278,7813,19550,22012,23544,40571,28271,16303,7744,3668,1553,38.2,36.6,39.7,42.0,40.7,43.4,35.6,33.4,37.4,38.1,37.5,39.3,36.9,35.8,37.8,30.5,29.9,31.1,28.6,28.7,28.5,18.5,18.1,19.1,43.5,42.2,44.8,28.5,28.4,28.7,5930538
40,MD,24,,,,,04001US24,Maryland -- Urban,5184888,2496820,170244,167781,166996,100694,71856,36800,38797,107286,186863,179888,161455,171693,177616,182954,161942,57460,77722,45234,55604,67759,46218,32996,30962,2688068,163742,162349,161532,97617,70513,35418,36633,104365,190984,186868,176501,180867,193650,201136,178668,67098,92266,55355,66099,85839,64967,52431,63170,2766551,1351314,77593,77644,78190,48208,36180,89814,99318,93778,171458,203163,185167,110756,55544,24501,1415237,74640,76021,74260,46763,34454,85332,96385,91948,171365,210974,195637,128633,80224,48601,1687582,782080,57122,58128,59312,36605,25068,64436,56766,53586,104772,115845,84724,43168,17955,4593,905502,55104,55146,59847,35793,25601,65646,65190,63985,127172,139231,110537,60780,29566,11904,14095,6473,230,290,358,376,204,517,430,659,1039,1002,739,458,162,9,7622,399,532,319,244,176,846,444,420,1003,1137,1204,651,171,76,344466,164158,10467,11210,10388,5904,4240,11319,13127,13445,27525,23216,17347,10277,4163,1530,180308,9319,10202,10622,5600,4380,10382,14534,16054,32279,26481,20650,12289,5799,1717,2536,1308,43,122,87,101,23,192,112,134,234,91,106,45,12,6,1228,45,30,75,16,27,185,196,174,186,152,109,23,10,0,207903,112226,11575,9462,8371,4561,2790,10301,11925,13697,20672,11307,4913,2058,499,95,95677,10994,8682,7500,3804,3175,7662,9237,9181,16793,9988,5454,2341,681,185,161755,79261,13214,10925,10290,4939,3351,6304,5185,4589,7448,5946,4128,1835,879,228,82494,13241,11736,8909,5397,2700,6363,4998,5106,8570,6823,4441,2576,947,687,2510044,1220185,64328,65702,68404,42821,31835,79482,87135,80851,148500,188434,177056,107584,54096,23957,1289859,61684,64122,64258,41048,30960,76488,86301,80091,152524,196304,186649,124308,77744,47378,512422,267269,28836,23888,20699,11024,8146,22895,26113,28353,45922,28492,14328,5595,2243,735,245153,27432,23308,19542,10604,7244,18671,21370,22911,38998,26982,15592,7467,3516,1516,37.2,35.6,38.8,41.1,39.6,42.6,35.3,33.1,37.1,37.6,36.7,38.5,36.8,35.7,37.6,30.2,28.4,31.1,28.6,28.6,28.5,18.7,18.1,19.4,42.8,41.3,44.2,28.5,28.4,28.7,5184888
40,MD,24,,,,,04043US24,Maryland -- Rural,745650,375823,17373,22000,24791,17333,10325,5206,4007,13331,18692,16936,17885,23695,30766,34620,31847,11536,15110,9571,12795,16355,10537,6619,4493,369827,16363,19685,23848,15932,8726,4162,4137,12237,15960,17121,17456,24703,31808,34468,31914,11463,15697,9818,12921,15724,10748,7297,7639,649556,327157,14779,18605,21355,14723,8363,19064,15509,14381,35762,58036,52265,34979,15368,3968,322399,13625,16969,20435,13377,7261,17705,13810,14865,36739,58288,52364,34130,16161,6670,63334,32504,1170,1737,1786,1577,1094,2361,2156,1651,3996,5324,4859,2932,1430,431,30830,1298,1219,1582,1425,933,1983,1342,1478,3187,5452,4966,3461,1582,922,1484,725,6,66,7,30,13,6,34,66,125,137,94,72,0,69,759,21,1,37,24,6,25,55,71,121,174,151,54,16,3,13150,6151,249,445,468,378,232,399,418,281,827,994,729,490,236,5,6999,184,442,428,262,258,361,424,289,1078,1473,970,637,183,10,218,126,0,0,6,0,6,26,0,8,35,30,12,3,0,0,92,0,14,9,6,0,0,17,0,9,17,9,11,0,0,4011,2062,172,125,93,81,116,262,133,296,374,245,93,46,26,0,1949,204,192,239,134,64,106,110,103,346,230,162,49,10,0,13897,7098,997,1022,1076,544,501,426,442,253,461,620,441,199,96,20,6799,1031,848,1118,704,204,356,202,315,679,642,452,121,93,34,634040,319448,14111,17831,20543,14364,8095,18403,15082,13733,34522,56938,51763,34830,15280,3953,314592,12959,16045,19788,12909,6780,16990,13298,14406,35623,57289,51888,33952,16032,6633,21249,10679,913,976,987,505,398,940,616,1003,1770,1512,659,257,118,25,10570,985,1210,939,674,569,879,642,633,1573,1289,711,277,152,37,45.1,44.3,45.8,45.8,45.2,46.3,44.6,42.3,46.9,45.6,48.1,45.4,42.1,38.6,43.7,38.4,38.8,33.5,29.4,30.4,25.6,16.8,17.4,16.3,46.2,45.7,46.7,27.6,30.0,25.2,745650
40,MD,24,,,,,040A0US24,Maryland -- In metropolitan or micropolitan statistical area,5848141,2832661,185404,187291,189369,116445,80991,41252,42470,118829,203414,194383,177377,193025,205690,214437,190815,67910,91340,53750,67172,82235,55452,38790,34820,3015480,177963,179522,182922,112085,77985,39000,40109,115160,204748,201648,191787,203053,222622,232295,207240,77586,106205,64007,77683,99537,74222,58621,69480,3344248,1643350,90524,94189,97534,61565,43585,106463,112882,106205,203315,255960,232355,141841,69039,27893,1700898,86627,90842,92756,58892,40670,100742,108302,104844,203968,263870,242598,158677,94061,54049,1743164,811025,58088,59622,60798,37994,26023,66410,58819,54974,108516,120677,89126,45875,19138,4965,932139,56127,56143,61115,37044,26379,67338,66369,65175,130000,144032,114953,63832,30902,12730,15438,7125,236,333,364,406,217,523,464,707,1146,1133,826,530,162,78,8313,409,532,353,268,182,871,499,484,1124,1284,1337,704,187,79,357134,170157,10701,11655,10847,6274,4469,11697,13530,13680,28328,24204,18071,10767,4399,1535,186977,9488,10638,11019,5860,4615,10689,14944,16301,33335,27932,21569,12901,5959,1727,2718,1419,43,122,93,101,29,218,112,127,269,121,118,48,12,6,1299,45,30,84,22,27,185,213,167,195,169,118,34,10,0,211243,113916,11720,9533,8458,4635,2889,10519,11987,13899,21019,11535,5006,2100,521,95,97327,11154,8820,7719,3938,3227,7757,9307,9277,17074,10202,5590,2390,687,185,174196,85669,14092,11837,11275,5470,3779,6721,5620,4791,7809,6497,4563,1996,971,248,88527,14113,12517,9876,6061,2885,6687,5114,5400,9144,7428,4866,2689,1037,710,3074402,1505630,76787,81602,86951,55826,38985,95664,100359,92821,179186,240255,223804,138534,67508,27348,1568772,73073,78238,82225,52755,36744,91286,97777,92617,184131,248267,233181,154201,91474,52803,530549,276346,29490,24659,21658,11511,8514,23602,26565,29069,47591,29839,14925,5825,2352,746,254203,28272,24214,20347,11227,7748,19436,21896,23436,40346,28169,16228,7703,3642,1539,38.1,36.5,39.6,42.0,40.6,43.3,35.6,33.4,37.4,38.0,37.5,39.1,36.9,35.8,37.8,30.5,29.4,31.8,28.6,28.7,28.5,18.5,18.1,19.1,43.5,42.2,44.8,28.5,28.4,28.7,5848141
40,MD,24,,,,,040C0US24,Maryland -- In metropolitan statistical area,5777808,2799308,183584,185304,187387,115217,80324,40979,42169,117546,201543,192766,175714,191099,203595,211846,188218,66919,90075,52782,65961,80291,54134,37860,33995,2978500,175972,177443,181116,110960,77388,38865,39718,113761,202786,199839,189704,201101,220139,229513,204233,76559,104586,62917,76285,97321,72593,57588,68113,3291411,1618277,89461,92895,96166,60701,43125,105253,111594,104984,200693,252384,228468,138269,67124,27160,1673134,85422,89528,91494,58094,40251,99471,106908,103515,201091,259866,238128,154687,91826,52853,1729553,804734,57551,59088,60326,37705,25878,65847,58506,54702,107863,119799,88327,45407,18862,4873,924819,55629,55663,60731,36783,26266,66741,65914,64795,129099,143031,113879,63211,30488,12589,15382,7098,236,333,364,406,217,523,464,707,1146,1133,814,515,162,78,8284,409,532,346,268,182,859,499,484,1116,1284,1335,704,187,79,356246,169836,10696,11631,10813,6266,4453,11697,13513,13651,28283,24104,18050,10754,4390,1535,186410,9466,10630,10942,5816,4586,10676,14925,16270,33207,27785,21531,12890,5959,1727,2695,1408,43,122,87,101,29,218,112,127,264,121,118,48,12,6,1287,45,30,80,22,27,185,213,167,187,169,118,34,10,0,210354,113377,11617,9437,8410,4617,2889,10502,11941,13855,20889,11515,5004,2100,506,95,96977,11094,8762,7704,3931,3223,7757,9288,9253,17012,10156,5571,2360,681,185,172167,84578,13980,11798,11221,5421,3733,6654,5413,4740,7675,6385,4431,1941,938,248,87589,13907,12298,9819,6046,2853,6655,5039,5355,9093,7361,4816,2637,1030,680,3023767,1481446,75775,80437,85631,54999,38554,94517,99148,91730,176764,236717,219983,134962,65614,26615,1542321,72088,77048,81111,52001,36329,90075,96519,91473,181498,244340,228770,150223,89239,51607,526880,274597,29321,24440,21567,11453,8476,23526,26252,28895,47231,29742,14813,5810,2325,746,252283,27894,23991,20199,11169,7730,19356,21681,23210,40019,28034,16155,7670,3636,1539,38.0,36.4,39.5,41.9,40.5,43.2,35.5,33.4,37.4,38.0,37.4,39.2,36.9,35.8,37.8,30.5,29.5,31.6,28.6,28.7,28.5,18.4,17.9,19.1,43.4,42.1,44.7,28.5,28.4,28.7,5777808
40,MD,24,,,,,040C1US24,Maryland -- In metropolitan statistical area -- in principal city,1236905,588659,43303,39363,35588,20831,17221,9292,9877,27278,51281,49253,40175,37608,39497,39437,36334,13101,17130,10147,12631,14535,10557,7259,6961,648246,41229,37870,34587,19725,18741,10756,10239,29289,56177,50733,42807,40581,41984,44296,40087,16378,21581,13227,14825,19861,15147,12727,15399,569595,277170,17127,14278,12856,7982,7216,19376,26369,25226,37682,37762,34844,21455,10256,4741,292425,15729,14048,12234,7129,8157,21756,27516,23384,36505,38093,37770,24787,14900,10417,505615,232045,17780,18101,17000,10067,7851,20618,17433,15493,27596,32802,26059,13208,6235,1802,273570,17198,16780,16848,9846,8184,22422,20683,19325,33648,39591,33924,19382,11230,4509,3359,1405,58,17,57,71,70,175,88,66,306,120,271,56,50,0,1954,130,151,94,31,46,279,120,110,218,365,261,81,52,16,77934,36407,2450,2425,1861,900,711,2856,3380,4329,6428,4701,3228,1927,876,335,41527,2606,2062,2037,993,1125,2863,4258,4430,7583,4949,4291,2706,1320,304,678,365,0,20,26,96,0,61,22,71,18,0,51,0,0,0,313,27,0,0,0,9,32,15,93,72,30,35,0,0,0,41815,22708,2646,1940,1753,867,421,2168,2626,2911,3793,1976,1008,402,165,32,19107,2114,2154,1369,905,533,1477,1919,1942,3396,1998,812,374,97,17,37909,18559,3242,2582,2035,848,952,1193,1363,1157,1960,1573,1104,265,234,51,19350,3425,2675,2005,821,687,1455,1666,1449,1966,1254,953,583,275,136,513209,248320,13886,11943,10878,6897,6295,17358,23534,21669,32671,34527,33331,20777,9990,4564,264889,12871,11577,10512,6002,7344,19494,25038,20695,32262,34947,35848,23789,14396,10114,108645,56739,6721,4696,4154,2148,1653,4787,6006,6739,9368,5646,2970,1124,506,221,51906,5884,4933,3642,2178,1541,4152,5027,5165,8283,5590,2997,1460,710,344,35.3,34.0,36.7,38.0,36.9,39.2,34.6,32.1,36.7,37.3,38.1,36.5,34.8,34.3,35.5,30.6,22.7,33.7,28.0,27.8,28.2,19.6,19.2,20.2,39.6,38.4,40.7,28.6,28.5,28.8,1236905
40,MD,24,,,,,040C2US24,Maryland -- In metropolitan statistical area -- not in principal city,4540903,2210649,140281,145941,151799,94386,63103,31687,32292,90268,150262,143513,135539,153491,164098,172409,151884,53818,72945,42635,53330,65756,43577,30601,27034,2330254,134743,139573,146529,91235,58647,28109,29479,84472,146609,149106,146897,160520,178155,185217,164146,60181,83005,49690,61460,77460,57446,44861,52714,2721816,1341107,72334,78617,83310,52719,35909,85877,85225,79758,163011,214622,193624,116814,56868,22419,1380709,69693,75480,79260,50965,32094,77715,79392,80131,164586,221773,200358,129900,76926,42436,1223938,572689,39771,40987,43326,27638,18027,45229,41073,39209,80267,86997,62268,32199,12627,3071,651249,38431,38883,43883,26937,18082,44319,45231,45470,95451,103440,79955,43829,19258,8080,12023,5693,178,316,307,335,147,348,376,641,840,1013,543,459,112,78,6330,279,381,252,237,136,580,379,374,898,919,1074,623,135,63,278312,133429,8246,9206,8952,5366,3742,8841,10133,9322,21855,19403,14822,8827,3514,1200,144883,6860,8568,8905,4823,3461,7813,10667,11840,25624,22836,17240,10184,4639,1423,2017,1043,43,102,61,5,29,157,90,56,246,121,67,48,12,6,974,18,30,80,22,18,153,198,74,115,139,83,34,10,0,168539,90669,8971,7497,6657,3750,2468,8334,9315,10944,17096,9539,3996,1698,341,63,77870,8980,6608,6335,3026,2690,6280,7369,7311,13616,8158,4759,1986,584,168,134258,66019,10738,9216,9186,4573,2781,5461,4050,3583,5715,4812,3327,1676,704,197,68239,10482,9623,7814,5225,2166,5200,3373,3906,7127,6107,3863,2054,755,544,2510558,1233126,61889,68494,74753,48102,32259,77159,75614,70061,144093,202190,186652,114185,55624,22051,1277432,59217,65471,70599,45999,28985,70581,71481,70778,149236,209393,192922,126434,74843,41493,418235,217858,22600,19744,17413,9305,6823,18739,20246,22156,37863,24096,11843,4686,1819,525,200377,22010,19058,16557,8991,6189,15204,16654,18045,31736,22444,13158,6210,2926,1195,38.9,37.3,40.3,42.6,41.3,44.0,35.9,33.9,37.6,38.3,37.3,40.3,37.7,36.5,38.6,30.1,34.3,29.3,28.8,29.0,28.6,18.1,17.6,18.8,44.1,42.8,45.3,28.5,28.4,28.7,4540903
40,MD,24,,,,,040E0US24,Maryland -- In micropolitan statistical area,70333,33353,1820,1987,1982,1228,667,273,301,1283,1871,1617,1663,1926,2095,2591,2597,991,1265,968,1211,1944,1318,930,825,36980,1991,2079,1806,1125,597,135,391,1399,1962,1809,2083,1952,2483,2782,3007,1027,1619,1090,1398,2216,1629,1033,1367,52837,25073,1063,1294,1368,864,460,1210,1288,1221,2622,3576,3887,3572,1915,733,27764,1205,1314,1262,798,419,1271,1394,1329,2877,4004,4470,3990,2235,1196,13611,6291,537,534,472,289,145,563,313,272,653,878,799,468,276,92,7320,498,480,384,261,113,597,455,380,901,1001,1074,621,414,141,56,27,0,0,0,0,0,0,0,0,0,0,12,15,0,0,29,0,0,7,0,0,12,0,0,8,0,2,0,0,0,888,321,5,24,34,8,16,0,17,29,45,100,21,13,9,0,567,22,8,77,44,29,13,19,31,128,147,38,11,0,0,23,11,0,0,6,0,0,0,0,0,5,0,0,0,0,0,12,0,0,4,0,0,0,0,0,8,0,0,0,0,0,889,539,103,96,48,18,0,17,46,44,130,20,2,0,15,0,350,60,58,15,7,4,0,19,24,62,46,19,30,6,0,2029,1091,112,39,54,49,46,67,207,51,134,112,132,55,33,0,938,206,219,57,15,32,32,75,45,51,67,50,52,7,30,50635,24184,1012,1165,1320,827,431,1147,1211,1091,2422,3538,3821,3572,1894,733,26451,985,1190,1114,754,415,1211,1258,1144,2633,3927,4411,3978,2235,1196,3669,1749,169,219,91,58,38,76,313,174,360,97,112,15,27,0,1920,378,223,148,58,18,80,215,226,327,135,73,33,6,0,46.5,45.1,47.5,49.7,48.7,50.3,38.9,35.2,41.8,55.5,.,23.6,42.6,42.1,43.3,37.2,.,.,27.1,20.3,31.7,25.5,28.7,13.6,50.6,49.6,51.3,26.7,28.0,25.9,70333
40,MD,24,,,,,040E1US24,Maryland -- In micropolitan statistical area -- in principal city,29133,13217,911,862,784,366,286,85,139,869,987,769,591,820,827,927,873,278,493,286,386,570,418,279,411,15916,1016,1048,835,523,261,64,193,743,1129,716,867,855,1028,956,877,338,668,458,498,844,656,461,882,18398,8317,431,452,420,176,129,570,567,475,865,1130,1129,1027,574,372,10081,462,468,417,310,130,473,666,432,1023,1362,1260,1398,938,742,8508,3795,421,356,284,147,106,478,174,235,396,478,408,163,110,39,4713,382,368,326,162,76,476,380,247,526,531,607,350,172,110,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,12,0,0,8,0,2,0,0,0,552,198,5,11,19,0,16,0,17,20,29,72,9,0,0,0,354,19,0,77,36,29,13,8,9,100,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,364,195,30,43,29,7,0,0,26,24,25,11,0,0,0,0,169,37,31,0,7,4,0,13,0,34,28,0,15,0,0,1289,712,24,0,32,36,35,45,203,15,96,63,98,52,13,0,577,116,181,15,8,22,26,62,28,31,0,14,37,7,30,17117,7747,404,351,391,151,129,526,526,400,729,1100,1067,1027,574,372,9370,360,405,297,272,130,456,638,296,897,1317,1236,1386,938,742,2302,1153,93,144,67,32,9,44,255,99,209,80,106,15,0,0,1149,234,137,120,45,4,37,103,140,191,73,38,27,0,0,41.9,39.8,43.8,48.3,45.5,49.6,31.5,27.5,33.7,23.9,.,23.9,34.8,39.7,29.4,.,.,.,16.5,10.8,28.4,25.6,28.8,9.5,49.9,48.2,51.0,25.9,28.2,24.9,29133
40,MD,24,,,,,040E2US24,Maryland -- In micropolitan statistical area -- not in principal city,41200,20136,909,1125,1198,862,381,188,162,414,884,848,1072,1106,1268,1664,1724,713,772,682,825,1374,900,651,414,21064,975,1031,971,602,336,71,198,656,833,1093,1216,1097,1455,1826,2130,689,951,632,900,1372,973,572,485,34439,16756,632,842,948,688,331,640,721,746,1757,2446,2758,2545,1341,361,17683,743,846,845,488,289,798,728,897,1854,2642,3210,2592,1297,454,5103,2496,116,178,188,142,39,85,139,37,257,400,391,305,166,53,2607,116,112,58,99,37,121,75,133,375,470,467,271,242,31,34,27,0,0,0,0,0,0,0,0,0,0,12,15,0,0,7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,336,123,0,13,15,8,0,0,0,9,16,28,12,13,9,0,213,3,8,0,8,0,0,11,22,28,84,38,11,0,0,23,11,0,0,6,0,0,0,0,0,5,0,0,0,0,0,12,0,0,4,0,0,0,0,0,8,0,0,0,0,0,525,344,73,53,19,11,0,17,20,20,105,9,2,0,15,0,181,23,27,15,0,0,0,6,24,28,18,19,15,6,0,740,379,88,39,22,13,11,22,4,36,38,49,34,3,20,0,361,90,38,42,7,10,6,13,17,20,67,36,15,0,0,33518,16437,608,814,929,676,302,621,685,691,1693,2438,2754,2545,1320,361,17081,625,785,817,482,285,755,620,848,1736,2610,3175,2592,1297,454,1367,596,76,75,24,26,29,32,58,75,151,17,6,0,27,0,771,144,86,28,13,14,43,112,86,136,62,35,6,6,0,49.5,48.7,50.0,50.4,49.8,50.7,47.9,48.8,47.6,63.8,.,.,46.7,49.2,46.6,37.2,.,.,29.8,20.9,33.8,21.6,24.2,18.4,50.9,50.4,51.4,27.6,26.7,29.0,41200
