SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,ME,23,,,,,04000US23,Maine,1329100,650081,33298,38066,38254,24842,17808,9102,8405,23007,37685,36838,35988,42092,47141,53458,51789,18998,28173,16909,20586,26300,18197,12824,10321,679019,32108,35151,36846,23688,17014,8764,7999,21971,38353,37697,37686,42912,49161,55451,55407,20905,28935,17876,21802,28932,22047,18302,20012,1262026,616563,30088,34383,35254,22992,16332,37142,35476,34501,73788,97077,96307,62550,30453,10220,645463,28918,31642,33647,21773,15352,35861,35902,35628,76496,100990,102543,67173,39662,19876,15037,8746,859,920,604,379,509,1046,547,729,1176,986,648,187,147,9,6291,812,810,716,256,467,598,508,421,778,401,329,114,81,0,7811,3729,197,230,299,114,90,584,238,237,490,562,372,227,82,7,4082,178,249,200,230,162,297,257,262,653,711,450,312,110,11,14590,5971,235,443,406,312,305,571,525,604,1054,731,382,319,55,29,8619,439,622,649,445,256,680,701,782,1362,1037,961,488,147,50,187,63,0,0,16,0,0,0,17,0,17,5,4,4,0,0,124,5,10,3,12,0,1,6,0,55,27,0,0,5,0,3151,1565,82,137,126,74,65,154,236,125,324,106,61,45,21,9,1586,55,139,206,237,145,186,59,50,156,219,82,21,23,8,26298,13444,1837,1953,1549,971,507,1017,646,642,1231,1132,1186,463,263,47,12854,1701,1679,1425,735,632,1111,920,554,1098,1227,882,502,321,67,1247808,609952,29675,33642,34515,22692,16048,36504,35003,33966,73037,96205,95847,62266,30366,10186,637856,28080,31010,33062,21326,14978,35326,35253,34856,75657,100336,101799,66929,39451,19793,19447,9323,613,1058,985,468,398,939,753,802,1178,1054,555,322,155,43,10124,1064,940,891,748,538,825,729,839,1140,970,815,270,257,98,43.8,42.7,44.9,44.8,43.6,45.8,23.1,25.3,21.0,35.6,33.8,38.1,32.4,31.5,33.2,38.7,27.9,39.4,24.5,28.3,20.8,20.4,19.7,21.3,45.0,43.8,46.0,26.1,26.9,25.5,1329100
40,ME,23,,,,,04001US23,Maine -- Urban,510609,243176,13269,13841,12801,8549,8793,4586,4023,11709,17733,15785,14397,15840,16453,17588,17343,6168,8606,5265,6122,8450,6236,5146,4473,267433,12571,12973,13195,8265,9033,4516,4217,11230,18744,16478,14589,15383,17397,19461,18639,7396,10128,6312,8070,10695,8945,8695,10501,470870,223471,11375,11599,11267,7735,7805,18244,16282,14090,27434,32003,30823,19279,11105,4430,247399,10370,10868,11290,7247,8032,18190,17071,15006,27793,34748,34749,24307,17334,10394,11678,6610,720,692,482,267,380,650,380,562,1008,833,441,86,100,9,5068,659,671,537,217,365,411,436,384,644,325,298,58,63,0,2847,1485,77,78,82,23,49,332,65,109,202,224,110,92,40,2,1362,81,41,68,30,108,109,128,110,196,209,126,128,21,7,9824,4101,188,327,196,176,210,364,436,537,776,400,196,238,38,19,5723,339,472,358,248,145,461,512,588,741,743,663,331,72,50,81,39,0,0,3,0,0,0,17,0,10,5,0,4,0,0,42,0,0,3,0,0,1,0,0,35,0,0,0,3,0,1544,799,34,84,18,19,61,85,178,54,160,56,29,0,21,0,745,54,61,57,121,37,89,39,35,91,133,5,0,23,0,13765,6671,875,1061,753,329,288,643,375,433,647,520,518,138,78,13,7094,1068,860,882,402,346,702,558,355,472,700,322,253,124,50,463018,219792,11128,11231,10846,7660,7670,17786,16008,13780,26899,31555,30612,19127,11065,4425,243226,9777,10510,10985,7084,7822,17785,16676,14558,27342,34433,34459,24176,17250,10369,10536,5114,395,547,537,127,224,605,468,450,750,513,269,156,68,5,5422,733,500,388,317,257,605,447,491,597,508,295,144,108,32,40.6,38.6,42.6,42.2,40.1,44.3,23.6,26.7,21.4,34.4,34.0,35.5,32.0,31.3,33.0,38.4,28.0,38.9,27.0,28.3,24.2,20.1,20.3,20.0,42.5,40.4,44.7,25.2,26.6,24.5,510609
40,ME,23,,,,,04043US23,Maine -- Rural,818491,406905,20029,24225,25453,16293,9015,4516,4382,11298,19952,21053,21591,26252,30688,35870,34446,12830,19567,11644,14464,17850,11961,7678,5848,411586,19537,22178,23651,15423,7981,4248,3782,10741,19609,21219,23097,27529,31764,35990,36768,13509,18807,11564,13732,18237,13102,9607,9511,791156,393092,18713,22784,23987,15257,8527,18898,19194,20411,46354,65074,65484,43271,19348,5790,398064,18548,20774,22357,14526,7320,17671,18831,20622,48703,66242,67794,42866,22328,9482,3359,2136,139,228,122,112,129,396,167,167,168,153,207,101,47,0,1223,153,139,179,39,102,187,72,37,134,76,31,56,18,0,4964,2244,120,152,217,91,41,252,173,128,288,338,262,135,42,5,2720,97,208,132,200,54,188,129,152,457,502,324,184,89,4,4766,1870,47,116,210,136,95,207,89,67,278,331,186,81,17,10,2896,100,150,291,197,111,219,189,194,621,294,298,157,75,0,106,24,0,0,13,0,0,0,0,0,7,0,4,0,0,0,82,5,10,0,12,0,0,6,0,20,27,0,0,2,0,1607,766,48,53,108,55,4,69,58,71,164,50,32,45,0,9,841,1,78,149,116,108,97,20,15,65,86,77,21,0,8,12533,6773,962,892,796,642,219,374,271,209,584,612,668,325,185,34,5760,633,819,543,333,286,409,362,199,626,527,560,249,197,17,784790,390160,18547,22411,23669,15032,8378,18718,18995,20186,46138,64650,65235,43139,19301,5761,394630,18303,20500,22077,14242,7156,17541,18577,20298,48315,65903,67340,42753,22201,9424,8911,4209,218,511,448,341,174,334,285,352,428,541,286,166,87,38,4702,331,440,503,431,281,220,282,348,543,462,520,126,149,66,45.5,44.9,46.1,46.0,45.4,46.6,22.5,23.6,20.0,36.4,33.6,38.8,34.1,32.7,34.8,40.5,12.8,40.7,22.0,28.5,19.6,20.9,18.7,24.1,46.1,45.5,46.8,27.2,27.2,27.2,818491
40,ME,23,,,,,040A0US23,Maine -- In metropolitan or micropolitan statistical area,902835,440075,23145,26564,26066,16799,12675,6380,5994,16627,27081,26243,25187,29164,32442,36185,34084,12453,17744,10357,12210,16599,11183,8477,6416,462760,22494,24131,25878,16047,12323,6612,5517,16095,27712,26704,26264,29764,34032,37697,36437,13513,18963,11419,13590,18327,14335,11787,13119,851892,414801,20670,23637,23887,15541,11540,26461,25507,24455,50940,65964,62257,38359,19241,6342,437091,19899,21346,23279,14531,11019,25968,25929,25216,52960,68941,66995,42320,25686,13002,12971,7331,755,808,514,299,448,817,470,542,1003,830,578,141,117,9,5640,778,751,684,219,434,475,458,355,680,356,287,100,63,0,3994,2011,86,104,148,62,34,362,108,108,260,358,207,118,54,2,1983,70,83,84,116,108,139,82,143,368,385,193,172,33,7,11954,4875,214,371,307,182,246,465,399,530,881,619,336,258,38,29,7079,402,537,547,373,249,546,490,595,1071,890,800,407,122,50,102,26,0,0,3,0,0,0,0,0,10,5,4,4,0,0,76,0,10,3,9,0,0,6,0,31,14,0,0,3,0,2438,1168,55,111,107,61,36,111,169,80,263,59,52,34,21,9,1270,54,99,181,200,76,160,39,35,135,199,69,15,0,8,19484,9863,1365,1533,1100,654,371,785,428,528,994,792,847,252,189,25,9621,1291,1305,1100,599,437,936,708,360,783,944,569,322,215,52,841545,409946,20372,23117,23397,15349,11349,25937,25160,24026,50314,65271,61978,38178,19167,6331,431599,19233,20843,22819,14334,10750,25503,25472,24646,52400,68446,66458,42152,25566,12977,14432,6919,462,760,675,303,255,766,543,615,988,823,354,219,136,20,7513,859,764,730,454,337,720,517,622,788,762,595,189,136,40,42.5,41.3,43.7,43.6,42.3,44.7,22.7,25.1,19.8,38.1,34.9,40.4,33.0,32.6,33.2,38.6,44.0,38.5,24.5,28.7,21.2,20.0,19.6,20.4,43.8,42.5,45.0,25.8,28.3,24.4,902835
40,ME,23,,,,,040C0US23,Maine -- In metropolitan statistical area,781723,381316,20204,22970,22668,14569,11130,5699,5202,14456,23946,22866,21933,25240,28048,31243,29406,10834,14883,8848,10268,14537,9760,7106,5500,400407,19417,21120,22112,13815,10815,5544,4844,14128,24332,23230,22826,25806,29477,32423,31264,11623,16403,9916,11610,15868,12153,10201,11480,735617,358252,17844,20360,20637,13372,10106,23076,22416,21314,44026,56935,53302,32929,16496,5439,377365,17156,18469,19837,12499,9609,22585,22718,21896,45808,59433,57506,36455,22002,11392,12014,6837,753,720,498,292,433,703,470,452,985,739,544,122,117,9,5177,616,696,654,219,402,458,378,327,674,333,267,94,59,0,3167,1518,47,75,96,47,34,278,98,39,230,265,154,110,43,2,1649,70,62,73,53,108,139,82,92,289,308,182,153,31,7,11020,4530,200,371,271,166,187,434,398,494,847,566,299,239,29,29,6490,372,521,479,302,231,472,459,570,985,827,734,386,110,42,87,22,0,0,3,0,0,0,0,0,10,5,4,0,0,0,65,0,10,3,9,0,0,6,0,31,3,0,0,3,0,1946,1013,55,57,106,59,35,111,139,80,205,59,52,34,21,0,933,19,99,115,141,76,69,39,35,123,142,60,15,0,0,17872,9144,1305,1387,1057,633,335,755,425,487,870,722,768,219,160,21,8728,1184,1263,951,592,389,793,650,310,722,854,541,291,149,39,726354,353909,17580,19931,20163,13196,9945,22558,22082,20889,43572,56352,53043,32748,16422,5428,372445,16575,18012,19428,12312,9349,22148,22293,21361,45318,58986,57076,36308,21899,11380,12748,6193,417,615,651,287,224,757,506,591,758,687,334,219,136,11,6555,731,705,613,385,328,590,485,578,702,649,483,168,119,19,42.3,41.1,43.5,43.4,42.1,44.6,22.7,25.1,20.0,39.2,38.0,40.5,33.1,32.6,33.5,38.1,38.0,38.2,26.4,28.5,21.4,19.7,19.3,19.9,43.6,42.3,44.9,25.5,27.3,24.4,781723
40,ME,23,,,,,040C1US23,Maine -- In metropolitan statistical area -- in principal city,183761,88846,5046,5347,4531,2660,2808,1666,1497,4629,8118,6489,5940,5866,6243,6362,5729,2127,2904,1363,1871,2946,1841,1403,1460,94915,4835,4545,4977,2784,2706,1490,1360,4685,8164,6990,5396,5632,6749,6734,6307,2385,3003,2028,2343,3407,2650,2409,3336,163422,78682,3792,4179,3695,2177,2352,6886,7339,5710,10242,11617,10141,5986,3134,1432,84740,3745,3310,3971,2092,2291,6734,7285,6384,9890,12365,11098,7368,4915,3292,7493,3998,592,428,401,199,270,327,257,228,564,422,188,37,76,9,3495,375,550,385,183,204,248,271,232,493,230,230,44,50,0,447,219,0,19,0,4,7,44,5,8,72,60,0,0,0,0,228,12,0,14,0,18,10,12,16,11,74,7,41,7,6,4775,2064,49,196,118,77,55,221,202,212,496,158,122,126,13,19,2711,87,283,213,135,69,201,261,222,397,356,231,178,46,32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,775,424,34,18,7,19,15,49,106,42,114,11,9,0,0,0,351,0,42,58,35,29,29,39,32,31,56,0,0,0,0,6847,3459,579,507,310,184,109,265,209,289,318,337,300,31,21,0,3388,616,360,336,339,95,313,296,104,204,402,129,147,41,6,160311,77141,3688,4004,3507,2142,2325,6708,7215,5592,10062,11405,9995,5952,3119,1427,83170,3506,3133,3909,2054,2204,6517,7139,6217,9690,12216,11049,7343,4901,3292,4595,2347,234,234,222,84,62,242,226,220,319,232,197,38,32,5,2248,293,284,118,105,116,327,198,210,262,234,49,38,14,0,37.8,36.3,39.6,39.9,38.1,41.8,21.1,20.9,21.5,41.2,40.2,46.0,32.9,32.6,33.0,.,.,.,27.6,29.2,23.5,19.9,20.6,19.2,40.3,38.4,42.3,24.6,27.6,23.3,183761
40,ME,23,,,,,040C2US23,Maine -- In metropolitan statistical area -- not in principal city,597962,292470,15158,17623,18137,11909,8322,4033,3705,9827,15828,16377,15993,19374,21805,24881,23677,8707,11979,7485,8397,11591,7919,5703,4040,305492,14582,16575,17135,11031,8109,4054,3484,9443,16168,16240,17430,20174,22728,25689,24957,9238,13400,7888,9267,12461,9503,7792,8144,572195,279570,14052,16181,16942,11195,7754,16190,15077,15604,33784,45318,43161,26943,13362,4007,292625,13411,15159,15866,10407,7318,15851,15433,15512,35918,47068,46408,29087,17087,8100,4521,2839,161,292,97,93,163,376,213,224,421,317,356,85,41,0,1682,241,146,269,36,198,210,107,95,181,103,37,50,9,0,2720,1299,47,56,96,43,27,234,93,31,158,205,154,110,43,2,1421,58,62,59,53,90,129,70,76,278,234,175,112,24,1,6245,2466,151,175,153,89,132,213,196,282,351,408,177,113,16,10,3779,285,238,266,167,162,271,198,348,588,471,503,208,64,10,85,22,0,0,3,0,0,0,0,0,10,5,4,0,0,0,63,0,10,3,9,0,0,6,0,29,3,0,0,3,0,1171,589,21,39,99,40,20,62,33,38,91,48,43,34,21,0,582,19,57,57,106,47,40,0,3,92,86,60,15,0,0,11025,5685,726,880,747,449,226,490,216,198,552,385,468,188,139,21,5340,568,903,615,253,294,480,354,206,518,452,412,144,108,33,566043,276768,13892,15927,16656,11054,7620,15850,14867,15297,33510,44947,43048,26796,13303,4001,289275,13069,14879,15519,10258,7145,15631,15154,15144,35628,46770,46027,28965,16998,8088,8153,3846,183,381,429,203,162,515,280,371,439,455,137,181,104,6,4307,438,421,495,280,212,263,287,368,440,415,434,130,105,19,43.6,42.5,44.6,44.3,43.2,45.3,24.7,30.5,19.6,38.5,36.4,40.0,33.3,32.6,34.4,38.2,38.0,38.2,22.5,26.5,21.1,19.5,18.4,20.7,44.5,43.3,45.5,26.0,26.8,25.5,597962
40,ME,23,,,,,040E0US23,Maine -- In micropolitan statistical area,121112,58759,2941,3594,3398,2230,1545,681,792,2171,3135,3377,3254,3924,4394,4942,4678,1619,2861,1509,1942,2062,1423,1371,916,62353,3077,3011,3766,2232,1508,1068,673,1967,3380,3474,3438,3958,4555,5274,5173,1890,2560,1503,1980,2459,2182,1586,1639,116275,56549,2826,3277,3250,2169,1434,3385,3091,3141,6914,9029,8955,5430,2745,903,59726,2743,2877,3442,2032,1410,3383,3211,3320,7152,9508,9489,5865,3684,1610,957,494,2,88,16,7,15,114,0,90,18,91,34,19,0,0,463,162,55,30,0,32,17,80,28,6,23,20,6,4,0,827,493,39,29,52,15,0,84,10,69,30,93,53,8,11,0,334,0,21,11,63,0,0,0,51,79,77,11,19,2,0,934,345,14,0,36,16,59,31,1,36,34,53,37,19,9,0,589,30,16,68,71,18,74,31,25,86,63,66,21,12,8,15,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,492,155,0,54,1,2,1,0,30,0,58,0,0,0,0,9,337,35,0,66,59,0,91,0,0,12,57,9,0,0,8,1612,719,60,146,43,21,36,30,3,41,124,70,79,33,29,4,893,107,42,149,7,48,143,58,50,61,90,28,31,66,13,115191,56037,2792,3186,3234,2153,1404,3379,3078,3137,6742,8919,8935,5430,2745,903,59154,2658,2831,3391,2022,1401,3355,3179,3285,7082,9460,9382,5844,3667,1597,1684,726,45,145,24,16,31,9,37,24,230,136,20,0,0,9,958,128,59,117,69,9,130,32,44,86,113,112,21,17,21,44.0,43.2,44.6,44.5,43.7,45.3,22.5,30.1,10.5,34.7,34.3,38.5,30.2,32.2,28.0,.,.,.,21.9,28.7,20.6,24.1,34.4,23.4,44.6,43.8,45.4,28.9,35.6,24.4,121112
40,ME,23,,,,,040E1US23,Maine -- In micropolitan statistical area -- in principal city,34761,16714,882,1040,671,539,667,302,291,871,1095,929,1047,1190,1238,990,1186,322,700,316,637,572,453,476,300,18047,998,770,1091,459,797,619,323,505,1161,1028,893,1080,1108,1249,1209,473,738,421,658,675,747,427,618,32229,15639,824,844,616,539,614,1314,1089,776,2124,2100,2150,1461,888,300,16590,753,741,923,441,715,1249,1026,944,1847,2151,2323,1754,1121,602,658,292,0,81,0,0,0,43,0,70,18,46,20,14,0,0,366,162,0,17,0,24,10,80,28,2,23,20,0,0,0,365,250,22,29,25,0,0,58,0,59,19,22,0,8,8,0,115,0,0,11,0,0,0,0,35,29,38,0,0,2,0,449,129,0,0,11,0,17,31,0,14,0,10,18,19,9,0,320,10,0,11,0,18,74,13,13,51,56,66,0,0,8,4,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,148,0,0,58,18,0,18,0,0,0,54,0,0,0,0,905,397,36,86,19,0,36,18,3,10,76,50,20,19,24,0,508,73,29,71,0,40,96,42,8,44,35,11,0,51,8,31589,15349,797,784,616,539,593,1308,1076,772,1990,2075,2150,1461,888,300,16240,693,708,895,439,715,1228,1019,920,1823,2138,2232,1733,1108,589,788,293,27,60,0,0,21,9,13,4,134,25,0,0,0,0,495,60,33,86,20,0,36,7,24,24,67,91,21,13,13,40.9,40.1,41.9,42.2,40.8,43.4,22.9,30.4,19.2,34.3,24.8,43.4,40.0,33.4,40.3,.,.,.,17.0,.,16.9,22.0,32.1,21.0,42.5,41.3,43.6,30.9,35.3,30.2,34761
40,ME,23,,,,,040E2US23,Maine -- In micropolitan statistical area -- not in principal city,86351,42045,2059,2554,2727,1691,878,379,501,1300,2040,2448,2207,2734,3156,3952,3492,1297,2161,1193,1305,1490,970,895,616,44306,2079,2241,2675,1773,711,449,350,1462,2219,2446,2545,2878,3447,4025,3964,1417,1822,1082,1322,1784,1435,1159,1021,84046,40910,2002,2433,2634,1630,820,2071,2002,2365,4790,6929,6805,3969,1857,603,43136,1990,2136,2519,1591,695,2134,2185,2376,5305,7357,7166,4111,2563,1008,299,202,2,7,16,7,15,71,0,20,0,45,14,5,0,0,97,0,55,13,0,8,7,0,0,4,0,0,6,4,0,462,243,17,0,27,15,0,26,10,10,11,71,53,0,3,0,219,0,21,0,63,0,0,0,16,50,39,11,19,0,0,485,216,14,0,25,16,42,0,1,22,34,43,19,0,0,0,269,20,16,57,71,0,0,18,12,35,7,0,21,12,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,11,0,0,0,0,341,152,0,54,1,2,1,0,27,0,58,0,0,0,0,9,189,35,0,8,41,0,73,0,0,12,3,9,0,0,8,707,322,24,60,24,21,0,12,0,31,48,20,59,14,5,4,385,34,13,78,7,8,47,16,42,17,55,17,31,15,5,83602,40688,1995,2402,2618,1614,811,2071,2002,2365,4752,6844,6785,3969,1857,603,42914,1965,2123,2496,1583,686,2127,2160,2365,5259,7322,7150,4111,2559,1008,896,433,18,85,24,16,10,0,24,20,96,111,20,0,0,9,463,68,26,31,49,9,94,25,20,62,46,21,0,4,8,44.9,44.3,45.5,45.2,44.6,46.0,22.3,22.8,5.9,36.7,45.2,36.4,19.5,31.7,15.6,.,.,.,24.2,28.8,21.0,31.0,34.6,26.6,45.3,44.6,46.1,27.9,41.4,24.2,86351
