SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MI,26,,,,,04000US26,Michigan,9900571,4861973,295157,316345,329983,210017,144688,79421,75828,208270,303606,292780,283925,314544,337524,366054,349590,129480,173941,102706,128104,161676,112555,78669,67110,5038598,280629,297675,319870,199977,137381,75637,74170,202858,298013,296303,288526,319923,344097,378332,369347,135664,188151,111843,140612,186453,141554,116914,134669,7823875,3861896,209333,230197,244734,156612,106735,269730,234446,229072,469260,582737,556377,342229,170095,60339,3961979,199887,217831,234622,148578,100514,259751,225533,226086,464300,588012,577508,374541,225262,119554,1381388,655564,50101,49259,52447,33775,23853,62396,45412,40238,82965,84501,71936,36958,16326,5397,725824,48107,46373,50501,32546,23516,62459,47312,44500,95965,97190,88533,49532,26304,12986,53951,26904,1445,2022,2029,1466,940,2241,1754,1587,3754,4158,3346,1550,511,101,27047,1442,1947,2142,1128,930,1947,1677,1814,3652,4181,3398,1870,731,188,268766,130324,8220,9354,9260,5564,5315,12443,10525,10429,22224,16792,10554,6537,2468,639,138442,7655,9272,9797,5455,4458,11899,11230,12202,24616,17477,12771,7496,3148,966,2083,943,41,33,13,55,40,69,241,78,64,172,107,21,0,9,1140,62,66,118,61,52,178,70,45,150,165,100,17,22,34,109184,57321,5088,5529,5378,3124,2021,4978,4274,5341,8889,6599,3906,1534,473,187,51863,4505,4989,4896,2710,1812,4449,4058,4507,8144,5801,3340,1533,812,307,261324,129021,20929,19951,16122,9421,5784,11662,6954,6035,11313,8619,6785,3657,1351,438,132303,18971,17197,17794,9499,6099,11982,8133,7149,11622,9603,7512,3919,2189,634,7513622,3706287,193239,212943,228862,148085,100770,255651,222279,217553,447475,567987,546744,337178,167820,59701,3807335,183667,200690,218593,139711,94716,246519,214574,214820,443981,573252,566860,369212,222371,118369,467021,237150,25359,26679,24146,13530,9240,21626,17629,18215,32368,22865,14674,6993,2945,881,229871,24172,24984,24788,12978,8845,20214,16283,16859,30746,22362,14764,7379,3941,1556,39.5,38.1,40.7,41.9,40.6,43.1,33.6,31.1,35.9,35.7,34.9,36.7,33.0,32.0,33.8,29.7,29.9,26.9,28.2,28.0,28.4,18.1,17.4,18.9,42.6,41.4,43.9,24.6,24.4,24.8,9900571
40,MI,26,,,,,04001US26,Michigan -- Urban,7383172,3588477,231007,239549,244234,152413,113462,64159,62473,168128,244408,229553,217946,233647,244090,256805,242476,88942,118328,68427,83552,104687,74389,55401,50401,3794695,219426,224704,237418,146616,111076,62161,61710,167312,243545,234750,222651,241545,250996,271034,263250,96964,133579,78582,99040,130219,102168,88557,107392,5433621,2654881,150303,159914,164903,103394,78491,206299,178969,169545,331181,388113,359654,209943,110158,44014,2778740,143789,150531,158736,99033,76477,202165,174097,167647,327594,395260,384380,247014,159189,92828,1350064,636742,49392,48317,51575,32787,22945,60340,43933,38831,80049,81749,70082,35708,15809,5225,713322,47276,45511,49626,31878,22969,61480,46877,43959,94545,95502,86948,48258,25769,12724,33999,16753,828,1214,1306,878,637,1567,1160,1115,2379,2637,1840,867,268,57,17246,935,1220,1421,670,595,1331,1098,1231,2372,2612,2030,1185,423,123,254685,124566,7951,8770,8677,5163,5086,12098,10246,10168,21355,15996,9917,6226,2331,582,130119,7291,8671,9032,5071,4200,11396,10691,11613,23151,16373,11837,6985,2886,922,1732,795,41,21,0,38,22,63,229,70,54,124,103,21,0,9,937,44,64,88,39,40,159,62,43,126,157,98,4,11,2,94133,49139,4535,4932,4573,2546,1698,4374,3728,4687,7617,5556,3173,1164,398,158,44994,4010,4446,4232,2320,1485,4058,3725,4054,7002,4721,2671,1287,721,262,214938,105601,17957,16381,13200,7607,4583,10019,6143,5137,8958,6720,4977,2737,826,356,109337,16081,14261,14283,7605,5310,10594,6995,6203,9406,7405,5829,3108,1726,531,5179468,2527542,137156,145820,152274,96670,73744,194165,168909,159622,313048,375931,352147,206188,108372,43496,2651926,130324,136724,145924,92199,71579,191135,164774,158174,310796,383123,375833,242829,156702,91810,387848,196438,21178,22177,19680,10806,7349,18635,14753,15752,27151,18915,11591,5380,2348,723,191410,20409,20542,20371,10282,7458,17269,14080,14497,25665,18314,11870,5959,3363,1331,37.6,36.0,39.2,40.2,38.6,41.8,33.6,31.0,35.8,34.6,33.5,35.6,32.9,32.0,33.7,29.7,29.9,28.6,27.7,27.7,27.7,18.0,17.1,18.9,41.1,39.5,42.7,24.7,24.5,24.8,7383172
40,MI,26,,,,,04043US26,Michigan -- Rural,2517399,1273496,64150,76796,85749,57604,31226,15262,13355,40142,59198,63227,65979,80897,93434,109249,107114,40538,55613,34279,44552,56989,38166,23268,16709,1243903,61203,72971,82452,53361,26305,13476,12460,35546,54468,61553,65875,78378,93101,107298,106097,38700,54572,33261,41572,56234,39386,28357,27277,2390254,1207015,59030,70283,79831,53218,28244,63431,55477,59527,138079,194624,196723,132286,59937,16325,1183239,56098,67300,75886,49545,24037,57586,51436,58439,136706,192752,193128,127527,66073,26726,31324,18822,709,942,872,988,908,2056,1479,1407,2916,2752,1854,1250,517,172,12502,831,862,875,668,547,979,435,541,1420,1688,1585,1274,535,262,19952,10151,617,808,723,588,303,674,594,472,1375,1521,1506,683,243,44,9801,507,727,721,458,335,616,579,583,1280,1569,1368,685,308,65,14081,5758,269,584,583,401,229,345,279,261,869,796,637,311,137,57,8323,364,601,765,384,258,503,539,589,1465,1104,934,511,262,44,351,148,0,12,13,17,18,6,12,8,10,48,4,0,0,0,203,18,2,30,22,12,19,8,2,24,8,2,13,11,32,15051,8182,553,597,805,578,323,604,546,654,1272,1043,733,370,75,29,6869,495,543,664,390,327,391,333,453,1142,1080,669,246,91,45,46386,23420,2972,3570,2922,1814,1201,1643,811,898,2355,1899,1808,920,525,82,22966,2890,2936,3511,1894,789,1388,1138,946,2216,2198,1683,811,463,103,2334154,1178745,56083,67123,76588,51415,27026,61486,53370,57931,134427,192056,194597,130990,59448,16205,1155409,53343,63966,72669,47512,23137,55384,49800,56646,133185,190129,191027,126383,65669,26559,79173,40712,4181,4502,4466,2724,1891,2991,2876,2463,5217,3950,3083,1613,597,158,38461,3763,4442,4417,2696,1387,2945,2203,2362,5081,4048,2894,1420,578,225,44.6,44.0,45.2,45.3,44.8,45.9,36.5,35.2,39.5,38.0,37.8,38.3,35.6,32.4,36.3,27.1,27.7,24.3,32.1,30.6,33.6,18.7,18.8,18.6,45.8,45.2,46.3,24.2,24.2,24.3,2517399
40,MI,26,,,,,040A0US26,Michigan -- In metropolitan or micropolitan statistical area,9230886,4524167,278777,298123,310006,196528,137074,75859,72282,197272,287128,276127,267496,295026,314999,339209,322213,118018,157564,92826,114312,143086,98776,70525,60941,4706719,265405,280024,301078,187429,130973,72323,71025,193608,283246,280796,272790,301508,322381,351755,340563,124856,172531,101769,127164,167483,127712,106595,123705,7191266,3545050,194286,213497,226232,144365,99905,254081,219596,213971,436170,536049,502898,301075,148639,54286,3646216,185991,201537,217436,137011,94675,245048,211610,211449,431938,541653,524075,333343,201642,108808,1372127,648438,49950,49084,52301,33527,23619,61006,44465,39319,81704,83565,71568,36714,16265,5351,723689,48004,46241,50370,32420,23358,62311,47234,44388,95793,96903,88307,49293,26191,12876,44927,22083,1146,1689,1674,1184,786,1851,1496,1352,3237,3361,2687,1183,366,71,22844,1173,1661,1867,970,876,1690,1438,1533,3073,3564,2805,1452,580,162,266135,129305,8177,9210,9151,5544,5258,12406,10414,10372,22077,16675,10499,6444,2454,624,136830,7584,9193,9695,5362,4434,11811,11065,12083,24402,17242,12584,7335,3092,948,1998,901,41,28,13,50,40,69,241,72,48,172,97,21,0,9,1097,60,62,118,61,52,178,64,37,143,161,99,9,22,31,106166,55802,5000,5444,5276,3024,1975,4805,4136,5199,8623,6398,3805,1472,463,182,50364,4361,4827,4756,2602,1764,4359,3999,4398,7946,5646,3142,1473,794,297,248267,122588,20177,19171,15359,8834,5491,11195,6780,5842,10663,7988,6241,3315,1114,418,125679,18232,16503,16836,9003,5814,11559,7836,6908,11003,8967,6938,3511,1986,583,6894122,3396265,178931,196958,211220,136308,94195,240597,207824,202827,415232,521898,493726,296331,146523,53695,3497857,170411,185048,202091,128591,89087,232359,200981,200529,412483,527553,513822,328352,198866,107684,448951,227682,24350,25698,23096,12841,8882,20696,17059,17625,31172,21994,14071,6608,2768,822,221269,23221,24019,23870,12400,8581,19531,15840,16356,29572,21510,14153,6937,3800,1479,38.9,37.5,40.2,41.3,40.0,42.6,33.6,31.1,35.9,35.1,34.6,35.8,33.0,32.0,33.8,29.5,29.8,26.5,28.1,27.9,28.4,18.0,17.2,18.8,42.1,40.8,43.4,24.6,24.5,24.8,9230886
40,MI,26,,,,,040C0US26,Michigan -- In metropolitan statistical area,8095885,3951147,246830,263462,273926,173492,117899,64051,61410,172767,253029,242765,234967,259882,276723,296666,280880,101640,135384,79757,97537,121381,83370,60540,52789,4144738,235281,247515,266170,165956,112749,61773,61042,172154,253275,250060,242838,269881,286203,309737,298167,108962,150413,88586,109813,143912,109841,92392,108018,6135244,3017305,165878,182517,193352,123551,82759,212230,189396,184184,375374,460714,426435,250953,123697,46265,3117939,158920,171832,185882,117490,78536,206745,183863,182880,373767,466905,446561,280720,170384,93454,1350410,632567,49420,48593,51829,33088,22913,58723,42443,37709,78692,81131,70265,36329,16150,5282,717843,47509,45882,49891,32118,22425,61437,46833,44111,95394,96476,87879,49093,26025,12770,28873,14117,668,1042,998,739,598,1200,867,839,2041,2284,1818,747,230,46,14756,681,955,1154,594,639,1089,841,1073,2072,2482,1804,891,377,104,258342,125692,7933,8959,8969,5346,5096,11685,10045,10121,21633,16322,10216,6347,2401,619,132650,7397,8948,9387,5098,4316,11410,10662,11701,23849,16737,12204,7105,2909,927,1635,727,27,18,0,38,29,58,241,58,37,103,88,21,0,9,908,28,42,114,39,33,166,62,25,126,157,92,9,13,2,99198,51852,4786,5213,4871,2798,1752,4488,3904,4791,7843,5948,3541,1313,424,180,47346,4171,4597,4386,2457,1671,3973,3883,4178,7639,5144,2881,1347,756,263,222183,108887,18118,17120,13907,7932,4752,9844,6133,5063,9229,6887,5541,2965,1008,388,113296,16575,15259,15356,8160,5129,10149,7131,6092,9872,8039,6121,3146,1769,498,5868053,2883758,152195,167777,179882,116386,77729,200272,178807,173955,356423,447879,418196,246716,121811,45730,2984295,144939,157050,172293,109878,73589,195412,174286,173007,356019,454055,437312,276165,167872,92418,406119,205242,21956,23143,20821,11512,7808,18455,15416,15997,28161,20001,12828,5907,2479,758,200877,21033,21753,21321,11267,7669,17604,14482,14979,27324,19581,12742,6332,3449,1341,38.7,37.2,40.1,41.2,39.9,42.5,33.7,31.0,36.0,36.9,35.7,37.5,33.1,32.2,33.8,29.5,29.7,28.3,27.9,27.6,28.4,17.7,16.9,18.5,42.1,40.7,43.3,24.8,24.6,24.9,8095885
40,MI,26,,,,,040C1US26,Michigan -- In metropolitan statistical area -- in principal city,2492173,1200508,84222,81626,80466,49774,45744,25855,25809,67051,90960,78107,71014,73214,75434,79630,76911,28000,35531,20835,24697,30766,21397,17133,16332,1291665,80777,77773,81015,48800,45139,26026,25325,66422,91441,82579,76253,78813,78443,85225,84724,31061,43423,25045,30451,38718,31757,28245,34210,1326278,651957,37027,37178,34855,22177,24081,66455,53421,44252,77252,88544,83335,46452,25386,11542,674321,36835,34687,35655,20868,24261,62972,49333,43875,74573,86512,88700,54481,37781,23788,916017,424783,34009,31918,34653,21300,15039,38373,28335,24882,50475,54632,49541,25627,11780,4219,491234,32097,30962,33966,21571,14953,40979,31962,29278,63397,64887,62101,35364,19996,9721,10040,4635,199,318,375,245,236,509,250,279,636,765,445,269,97,12,5405,222,385,480,266,286,510,259,436,805,827,526,242,112,49,105711,52600,3152,3299,3522,1867,3354,6605,4554,4570,8996,5986,3462,2167,794,272,53111,3006,3751,3586,1915,2534,6102,4864,4799,9211,5799,3975,2222,1055,292,624,238,17,11,0,5,5,49,73,18,5,20,30,5,0,0,386,15,21,27,9,22,49,20,18,29,130,44,0,0,2,47828,24892,2454,2771,2206,1036,936,2348,1855,2223,3756,2809,1580,660,165,93,22936,2325,2271,1972,1034,814,2058,1806,1884,3590,2395,1545,616,432,194,85675,41403,7364,6131,4855,3144,2093,4376,2472,1883,3108,2308,2049,1118,308,194,44272,6277,5696,5329,3137,2269,5103,3197,2289,3461,3118,2317,1289,626,164,1215045,596268,31635,30901,29505,19491,21946,60805,48719,39760,69370,83324,79951,44938,24618,11305,618777,30882,28430,30194,17743,22028,57627,44984,39367,67858,81522,85200,52780,36781,23381,180243,90555,9579,10706,8796,4570,3509,8823,7029,7189,12395,8692,5555,2350,985,377,89688,10136,9943,9118,4906,3590,8596,6750,7113,11318,8172,5412,2505,1507,622,34.7,33.0,36.3,37.2,35.8,38.7,34.4,31.6,36.7,33.5,33.3,33.6,30.4,29.9,30.7,29.8,29.1,42.0,27.1,26.7,27.8,18.4,17.2,19.5,38.9,37.1,40.6,24.3,24.5,24.2,2492173
40,MI,26,,,,,040C2US26,Michigan -- In metropolitan statistical area -- not in principal city,5603712,2750639,162608,181836,193460,123718,72155,38196,35601,105716,162069,164658,163953,186668,201289,217036,203969,73640,99853,58922,72840,90615,61973,43407,36457,2853073,154504,169742,185155,117156,67610,35747,35717,105732,161834,167481,166585,191068,207760,224512,213443,77901,106990,63541,79362,105194,78084,64147,73808,4808966,2365348,128851,145339,158497,101374,58678,145775,135975,139932,298122,372170,343100,204501,98311,34723,2443618,122085,137145,150227,96622,54275,143773,134530,139005,299194,380393,357861,226239,132603,69666,434393,207784,15411,16675,17176,11788,7874,20350,14108,12827,28217,26499,20724,10702,4370,1063,226609,15412,14920,15925,10547,7472,20458,14871,14833,31997,31589,25778,13729,6029,3049,18833,9482,469,724,623,494,362,691,617,560,1405,1519,1373,478,133,34,9351,459,570,674,328,353,579,582,637,1267,1655,1278,649,265,55,152631,73092,4781,5660,5447,3479,1742,5080,5491,5551,12637,10336,6754,4180,1607,347,79539,4391,5197,5801,3183,1782,5308,5798,6902,14638,10938,8229,4883,1854,635,1011,489,10,7,0,33,24,9,168,40,32,83,58,16,0,9,522,13,21,87,30,11,117,42,7,97,27,48,9,13,0,51370,26960,2332,2442,2665,1762,816,2140,2049,2568,4087,3139,1961,653,259,87,24410,1846,2326,2414,1423,857,1915,2077,2294,4049,2749,1336,731,324,69,136508,67484,10754,10989,9052,4788,2659,5468,3661,3180,6121,4579,3492,1847,700,194,69024,10298,9563,10027,5023,2860,5046,3934,3803,6411,4921,3804,1857,1143,334,4653008,2287490,120560,136876,150377,96895,55783,139467,130088,134195,287053,364555,338245,201778,97193,34425,2365518,114057,128620,142099,92135,51561,137785,129302,133640,288161,372533,352112,223385,131091,69037,225876,114687,12377,12437,12025,6942,4299,9632,8387,8808,15766,11309,7273,3557,1494,381,111189,10897,11810,12203,6361,4079,9008,7732,7866,16006,11409,7330,3827,1942,719,40.4,39.1,41.5,42.2,40.9,43.3,32.5,30.2,34.6,38.5,36.9,39.9,35.2,34.3,35.9,29.5,29.9,23.5,28.6,28.5,28.7,17.3,16.8,17.7,42.7,41.6,43.9,25.3,24.8,25.8,5603712
40,MI,26,,,,,040E0US26,Michigan -- In micropolitan statistical area,1135001,573020,31947,34661,36080,23036,19175,11808,10872,24505,34099,33362,32529,35144,38276,42543,41333,16378,22180,13069,16775,21705,15406,9985,8152,561981,30124,32509,34908,21473,18224,10550,9983,21454,29971,30736,29952,31627,36178,42018,42396,15894,22118,13183,17351,23571,17871,14203,15687,1056022,527745,28408,30980,32880,20814,17146,41851,30200,29787,60796,75335,76463,50122,24942,8021,528277,27071,29705,31554,19521,16139,38303,27747,28569,58171,74748,77514,52623,31258,15354,21717,15871,530,491,472,439,706,2283,2022,1610,3012,2434,1303,385,115,69,5846,495,359,479,302,933,874,401,277,399,427,428,200,166,106,16054,7966,478,647,676,445,188,651,629,513,1196,1077,869,436,136,25,8088,492,706,713,376,237,601,597,460,1001,1082,1001,561,203,58,7793,3613,244,251,182,198,162,721,369,251,444,353,283,97,53,5,4180,187,245,308,264,118,401,403,382,553,505,380,230,183,21,363,174,14,10,13,12,11,11,0,14,11,69,9,0,0,0,189,32,20,4,22,19,12,2,12,17,4,7,0,9,29,6968,3950,214,231,405,226,223,317,232,408,780,450,264,159,39,2,3018,190,230,370,145,93,386,116,220,307,502,261,126,38,34,26084,13701,2059,2051,1452,902,739,1351,647,779,1434,1101,700,350,106,30,12383,1657,1244,1480,843,685,1410,705,816,1131,928,817,365,217,85,1026069,512507,26736,29181,31338,19922,16466,40325,29017,28872,58809,74019,75530,49615,24712,7965,513562,25472,27998,29798,18713,15498,36947,26695,27522,56464,73498,76510,52187,30994,15266,42832,22440,2394,2555,2275,1329,1074,2241,1643,1628,3011,1993,1243,701,289,64,20392,2188,2266,2549,1133,912,1927,1358,1377,2248,1929,1411,605,351,138,40.4,39.1,41.8,41.7,40.4,43.0,30.2,33.3,21.4,33.4,33.3,33.5,29.1,25.3,31.4,25.8,37.2,19.6,30.9,31.5,28.6,19.9,19.1,20.6,42.4,41.0,43.7,22.9,23.3,22.6,1135001
40,MI,26,,,,,040E1US26,Michigan -- In micropolitan statistical area -- in principal city,237332,117744,6719,6819,6448,3866,7988,5075,4596,8633,8716,7672,6295,6416,6444,6646,6535,2493,3075,1919,2260,2823,2424,1944,1938,119588,6218,5879,6309,3584,8740,5118,4304,6767,7698,6975,5570,5392,6222,6974,7070,2379,3642,2015,3006,4265,3373,3228,4860,212173,103372,5755,5737,5313,3342,7030,16019,7452,6354,10744,11568,11182,6671,4284,1921,108801,5280,5073,5398,3049,7666,14599,6893,6158,9960,12316,12399,8816,6413,4781,7596,5158,221,260,229,61,390,735,648,594,835,623,400,115,33,14,2438,230,116,176,103,631,466,169,86,121,94,123,41,38,44,4137,2120,115,165,208,88,46,265,116,159,328,304,188,118,17,3,2017,138,163,211,47,38,207,120,147,295,207,235,155,43,11,3006,1599,54,52,44,91,117,461,221,105,194,88,146,12,14,0,1407,65,28,79,125,89,125,197,143,116,189,117,95,30,9,107,58,0,0,0,0,11,9,0,0,0,38,0,0,0,0,49,0,20,4,0,7,0,0,12,0,0,6,0,0,0,2567,1466,43,60,215,23,133,196,49,195,277,140,92,33,10,0,1101,70,135,154,33,18,182,20,103,137,178,27,37,0,7,7746,3971,531,545,439,261,261,619,230,265,333,329,95,53,10,0,3775,435,344,287,227,291,610,299,326,333,212,184,142,77,8,202452,98443,5280,5135,4917,3045,6715,15391,7098,6072,10030,11126,11001,6517,4216,1900,104009,4578,4631,4794,2916,7409,14075,6511,5811,9319,11991,12187,8733,6303,4751,14072,7445,670,832,671,358,488,973,509,655,1023,652,271,236,86,21,6627,881,661,911,205,319,737,468,497,811,535,296,143,125,38,31.7,30.0,33.7,33.0,30.8,35.3,25.7,30.3,19.9,31.8,31.8,31.7,26.6,24.7,29.9,34.2,45.2,19.1,26.3,30.5,23.2,20.7,19.7,22.1,33.7,31.4,36.2,22.1,23.2,21.4,237332
40,MI,26,,,,,040E2US26,Michigan -- In micropolitan statistical area -- not in principal city,897669,455276,25228,27842,29632,19170,11187,6733,6276,15872,25383,25690,26234,28728,31832,35897,34798,13885,19105,11150,14515,18882,12982,8041,6214,442393,23906,26630,28599,17889,9484,5432,5679,14687,22273,23761,24382,26235,29956,35044,35326,13515,18476,11168,14345,19306,14498,10975,10827,843849,424373,22653,25243,27567,17472,10116,25832,22748,23433,50052,63767,65281,43451,20658,6100,419476,21791,24632,26156,16472,8473,23704,20854,22411,48211,62432,65115,43807,24845,10573,14121,10713,309,231,243,378,316,1548,1374,1016,2177,1811,903,270,82,55,3408,265,243,303,199,302,408,232,191,278,333,305,159,128,62,11917,5846,363,482,468,357,142,386,513,354,868,773,681,318,119,22,6071,354,543,502,329,199,394,477,313,706,875,766,406,160,47,4787,2014,190,199,138,107,45,260,148,146,250,265,137,85,39,5,2773,122,217,229,139,29,276,206,239,437,316,263,135,153,12,256,116,14,10,13,12,0,2,0,14,11,31,9,0,0,0,140,32,0,0,22,12,12,2,0,17,4,1,0,9,29,4401,2484,171,171,190,203,90,121,183,213,503,310,172,126,29,2,1917,120,95,216,112,75,204,96,117,170,324,234,89,38,27,18338,9730,1528,1506,1013,641,478,732,417,514,1101,772,605,297,96,30,8608,1222,900,1193,616,394,800,406,490,798,716,633,223,140,77,823617,414064,21456,24046,26421,16877,9751,24934,21919,22800,48779,62893,64529,43098,20496,6065,409553,20894,23367,25004,15797,8089,22872,20184,21711,47145,61507,64323,43454,24691,10515,28760,14995,1724,1723,1604,971,586,1268,1134,973,1988,1341,972,465,203,43,13765,1307,1605,1638,928,593,1190,890,880,1437,1394,1115,462,226,100,42.5,41.5,43.6,43.5,42.6,44.5,33.2,34.8,24.8,34.1,34.1,34.2,31.0,27.6,33.2,24.5,32.4,21.4,32.3,32.5,31.9,19.3,18.8,19.9,44.0,43.1,44.9,23.3,23.3,23.3,897669
