SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MN,27,,,,,04000US27,Minnesota,5419171,2692166,178616,185244,180951,110001,74228,36533,37486,108864,185766,189374,166613,172583,184130,202427,187216,66123,91463,51553,63350,81660,57855,42192,37938,2727005,170645,176674,174374,104197,71973,36164,36474,103755,180698,184845,160534,171011,182785,203327,189980,68515,92073,54838,67147,92401,72839,58545,73211,4594367,2277136,133291,140175,141639,87306,59160,144570,149199,155681,282460,344540,319871,186071,96285,36888,2317231,126998,133895,134933,82981,57744,140922,144476,149795,276207,346147,324105,201840,125996,71192,299176,152574,15457,15375,13263,7740,5158,14309,12986,12426,21425,18052,10856,3976,1128,423,146602,14594,14636,13585,7145,4850,12611,13206,12501,20007,15673,10445,4728,2049,572,56561,28756,2644,2852,2700,1572,1042,2564,2372,1965,3235,3581,2574,1264,339,52,27805,2412,2370,2179,1211,907,2402,2163,1967,3256,3930,2966,1362,549,131,240786,116742,9391,10383,9347,5655,4204,11966,11964,11205,18232,12114,6900,3527,1516,338,124044,9526,9886,9674,5952,4152,11259,13424,12510,19401,12463,8422,4492,1910,973,1970,929,30,37,155,76,46,165,57,103,80,91,60,26,3,0,1041,65,58,53,35,33,109,193,80,116,226,64,5,1,3,82085,44262,4461,4603,3978,2427,1562,3738,4566,4204,7887,4376,1796,438,208,18,37823,4293,4526,3833,1988,1237,3221,2790,3756,6013,3399,1803,618,327,19,144226,71767,13342,11819,9869,5225,3056,5571,4622,3790,5877,3803,2745,1261,568,219,72459,12757,11303,10117,4885,3050,5869,4446,4236,6545,4274,2763,1341,552,321,4427809,2191322,123318,129373,133109,82826,56095,137571,141855,147484,270160,336920,315700,184530,95686,36695,2236487,117582,123616,126737,78761,54844,134136,137675,143265,264735,338898,320183,200042,125158,70855,270984,141391,16383,17185,13999,7673,5248,11959,12321,13101,21201,12731,6394,2124,837,235,129593,15854,16547,13422,6848,4758,10637,10292,11200,18447,11352,6065,2537,1243,391,37.7,36.7,38.8,40.8,39.6,41.9,27.1,26.9,27.3,28.8,26.9,30.6,28.8,28.2,29.3,27.7,24.6,29.6,25.8,26.4,24.8,15.8,15.5,16.1,41.6,40.5,42.8,23.9,24.3,23.6,5419171
40,MN,27,,,,,04001US27,Minnesota -- Urban,3991612,1960542,137498,138060,130491,77781,56219,28994,30174,87457,151891,150277,127882,128995,131672,138411,125990,43429,59786,33312,40287,50592,36366,27946,27032,2031070,131126,131348,125174,74176,57559,30422,30674,85313,150563,148166,123587,128946,132893,142765,132220,47660,63945,37905,45251,62476,50415,42556,55930,3243831,1584601,96447,97449,95427,57828,42588,111212,117972,119046,204793,232249,207324,115108,61043,26115,1659230,91510,93255,89910,55275,44524,113460,116673,115326,201631,239831,220744,134756,88171,54164,291418,147927,15058,14977,12840,7370,5002,13867,12592,12148,20701,17503,10547,3821,1098,403,143491,14331,14158,13139,6961,4647,12358,13011,12346,19594,15432,10290,4662,2005,557,28653,14525,1129,1252,1273,667,608,1578,1359,1138,1737,1904,1181,523,142,34,14128,987,1081,847,562,524,1240,1264,1281,1756,2188,1541,520,270,67,228740,111600,9063,9836,9000,5293,3899,11548,11564,10721,17534,11542,6446,3412,1459,283,117140,9189,9259,9008,5529,3984,10840,13032,11950,18213,11601,7633,4179,1831,892,1512,644,18,0,143,57,41,113,30,52,47,64,55,24,0,0,868,50,46,38,32,23,89,161,72,99,214,41,0,0,3,74439,40097,4093,4193,3372,2153,1420,3507,4207,3909,7207,3891,1583,397,147,18,34342,3916,3929,3483,1758,1104,3044,2506,3503,5588,3078,1588,549,278,18,123019,61148,11690,10353,8436,4413,2661,4800,4167,3263,4858,2930,2069,906,423,179,61871,11143,9620,8749,4059,2753,5378,3916,3688,5652,3314,1988,966,416,229,3098846,1509885,87734,88158,88378,53989,39996,105138,111281,111670,193824,225710,203711,113812,60532,25952,1588961,83225,84362,83128,51718,41996,107305,110571,109497,191678,233522,217391,133236,87487,53845,238801,124452,14513,14984,11685,6641,4525,10616,11241,11843,19090,11045,5571,1810,683,205,114349,14093,14344,11488,5868,4229,9650,9276,10210,16428,9971,5244,2144,1032,372,35.8,34.7,37.0,39.1,37.5,40.6,27.2,26.9,27.5,29.9,27.3,32.4,28.7,28.2,29.1,27.6,24.5,29.9,25.9,26.6,24.9,15.5,15.1,15.9,40.1,38.5,41.5,24.2,24.6,23.8,3991612
40,MN,27,,,,,04043US27,Minnesota -- Rural,1427559,731624,41118,47184,50460,32220,18009,7539,7312,21407,33875,39097,38731,43588,52458,64016,61226,22694,31677,18241,23063,31068,21489,14246,10906,695935,39519,45326,49200,30021,14414,5742,5800,18442,30135,36679,36947,42065,49892,60562,57760,20855,28128,16933,21896,29925,22424,15989,17281,1350536,692535,36844,42726,46212,29478,16572,33358,31227,36635,77667,112291,112547,70963,35242,10773,658001,35488,40640,45023,27706,13220,27462,27803,34469,74576,106316,103361,67084,37825,17028,7758,4647,399,398,423,370,156,442,394,278,724,549,309,155,30,20,3111,263,478,446,184,203,253,195,155,413,241,155,66,44,15,27908,14231,1515,1600,1427,905,434,986,1013,827,1498,1677,1393,741,197,18,13677,1425,1289,1332,649,383,1162,899,686,1500,1742,1425,842,279,64,12046,5142,328,547,347,362,305,418,400,484,698,572,454,115,57,55,6904,337,627,666,423,168,419,392,560,1188,862,789,313,79,81,458,285,12,37,12,19,5,52,27,51,33,27,5,2,3,0,173,15,12,15,3,10,20,32,8,17,12,23,5,1,0,7646,4165,368,410,606,274,142,231,359,295,680,485,213,41,61,0,3481,377,597,350,230,133,177,284,253,425,321,215,69,49,1,21207,10619,1652,1466,1433,812,395,771,455,527,1019,873,676,355,145,40,10588,1614,1683,1368,826,297,491,530,548,893,960,775,375,136,92,1328963,681437,35584,41215,44731,28837,16099,32433,30574,35814,76336,111210,111989,70718,35154,10743,647526,34357,39254,43609,27043,12848,26831,27104,33768,73057,105376,102792,66806,37671,17010,32183,16939,1870,2201,2314,1032,723,1343,1080,1258,2111,1686,823,314,154,30,15244,1761,2203,1934,980,529,987,1016,990,2019,1381,821,393,211,19,43.8,43.4,44.3,44.9,44.5,45.3,23.8,26.7,19.6,27.3,26.3,28.6,32.0,28.0,34.1,28.1,26.9,29.0,24.1,25.4,21.3,17.5,17.8,17.2,45.3,44.9,45.7,21.1,21.0,21.1,1427559
40,MN,27,,,,,040A0US27,Minnesota -- In metropolitan or micropolitan statistical area,4838385,2399772,161122,166056,162083,97983,67732,33838,34081,99713,170718,172508,151583,156132,165394,179822,163876,57584,78488,44259,53870,68487,48372,34735,31336,2438613,154048,158441,156452,93154,65985,33571,33543,95344,166877,169181,145711,155696,165116,181390,167457,60153,80584,47841,57674,78445,61300,49199,61451,4049371,2003305,117809,123004,124509,76509,53323,130687,135716,140182,253064,305311,276495,156738,79581,30377,2046066,112282,117861,118621,72903,52300,128281,131871,135472,247862,308319,283125,172200,105416,59553,294968,149803,15229,15178,13134,7610,5073,14109,12558,12118,20983,17692,10734,3893,1114,378,145165,14435,14438,13460,7060,4803,12524,13037,12355,19821,15591,10380,4686,2030,545,43886,22414,2036,2144,2080,1129,848,2180,1960,1609,2478,2823,1886,934,263,44,21472,1909,1823,1611,919,667,1907,1764,1485,2573,3104,2224,972,410,104,236614,114932,9247,10194,9220,5561,4078,11780,11866,10998,18011,11886,6787,3489,1478,337,121682,9321,9670,9502,5818,4092,11102,13225,12254,19099,12214,8227,4355,1877,926,1568,751,19,34,147,63,41,130,46,55,61,74,55,24,2,0,817,0,51,44,31,27,49,183,72,104,193,56,4,0,3,78055,42109,4223,4446,3762,2307,1493,3585,4263,4038,7619,4072,1663,413,207,18,35946,4104,4206,3708,1887,1185,3041,2617,3619,5772,3194,1716,572,307,18,133923,66458,12559,11056,9231,4804,2876,5161,4309,3508,5499,3358,2328,1125,462,182,67465,11997,10392,9506,4536,2911,5554,4180,3924,6176,3891,2466,1171,459,302,3895767,1924083,108677,113184,116694,72436,50396,124157,128824,132734,241575,298149,272666,155350,79043,30198,1971684,103622,108379,111216,68946,49675,122031,125576,129488,237305,301514,279502,170560,104641,59229,252047,131603,15162,15856,12940,7086,4971,11229,11499,12099,20064,11906,5880,1916,775,220,120444,14740,15262,12376,6431,4425,9838,9572,10413,17214,10683,5641,2316,1156,377,37.1,36.1,38.1,40.2,39.0,41.4,27.1,26.8,27.3,28.6,26.8,30.4,28.8,28.2,29.3,29.0,24.5,30.6,25.8,26.4,24.8,15.6,15.2,16.0,41.1,39.9,42.2,24.0,24.3,23.6,4838385
40,MN,27,,,,,040C0US27,Minnesota -- In metropolitan statistical area,4180337,2070605,140746,144974,139549,84812,57853,28700,28993,85661,151877,152333,134157,137417,144412,155497,140025,48891,65935,37429,43981,55438,38791,27747,25387,2109732,134267,137842,136320,80721,56060,28218,28600,82963,149661,150670,128724,137863,144704,157405,144019,51286,68305,40199,47826,64750,50124,39715,49490,3445369,1702834,100440,104817,105193,65066,44718,109744,119224,122415,220030,262839,233079,127591,63211,24467,1742535,95546,99910,101149,61927,43680,108253,116223,118548,216362,266311,240018,141793,85083,47732,283845,143191,14752,14621,12429,7182,4820,13073,11850,11463,20357,16922,10372,3864,1108,378,140654,13910,13946,12846,6785,4527,11975,12747,12018,19242,15138,10286,4667,2022,545,28419,14375,1165,1288,1312,690,571,1410,1299,1097,1633,1897,1245,584,150,34,14044,1001,1192,863,572,419,1133,1275,1089,1775,2297,1470,618,265,75,227930,110810,9003,9891,8862,5308,3824,11077,11533,10608,17474,11529,6533,3401,1436,331,117120,9034,9336,9236,5492,3720,10520,12880,11914,18341,11754,7972,4197,1819,905,1364,700,19,22,146,59,41,127,46,52,58,70,48,12,0,0,664,0,38,38,31,12,49,147,72,77,143,54,0,0,3,69265,37116,3618,4015,3227,2009,1242,3066,3814,3518,6973,3596,1446,393,191,8,32149,3586,3809,3379,1762,1026,2521,2398,3402,5036,2869,1577,533,251,0,124145,61579,11749,10320,8380,4498,2637,4857,4111,3180,5049,3056,2128,1003,442,169,62566,11190,9611,8809,4152,2676,5330,3991,3627,5754,3597,2233,967,399,230,3317966,1636786,92964,96560,98863,61692,42404,104521,113314,116118,210331,256888,229745,126397,62697,24292,1681180,88608,92021,95321,58751,41557,103211,110932,113692,207135,260552,237081,140332,84524,47463,215031,112288,12772,13752,10716,6003,3962,9317,10007,10370,17503,10150,5099,1698,734,205,102743,12264,13127,10363,5410,3705,8083,8346,9009,15089,9261,4795,2093,884,314,36.6,35.7,37.6,39.9,38.6,41.0,27.3,26.9,27.6,30.0,27.6,32.7,28.9,28.3,29.3,27.2,24.4,30.4,26.1,27.0,25.0,15.6,15.2,16.0,40.7,39.5,41.8,24.4,24.8,24.1,4180337
40,MN,27,,,,,040C1US27,Minnesota -- In metropolitan statistical area -- in principal city,1292612,642476,45504,41765,37108,22130,22572,12082,13188,36308,62131,53479,42433,40139,39334,41633,38433,14148,18931,10586,11820,14163,9626,7800,7163,650136,42852,38305,35192,21324,22139,12628,12964,35083,60447,52820,39475,39513,38468,43959,40286,14662,20127,11255,12714,17346,13332,11440,13805,934652,463371,25667,23265,21160,12846,15030,43149,44700,39446,59518,63736,60633,31970,15587,6664,471281,23740,21368,19435,12392,15549,43095,42886,37075,55743,65208,63752,35956,22172,12910,154685,78015,8587,7597,6768,3925,3122,7278,6940,5727,9870,8733,6008,2326,841,293,76670,7654,7495,6667,3372,2310,6559,7287,6511,10405,8112,5703,3010,1258,327,11763,5804,494,485,511,360,326,710,499,443,521,806,420,165,46,18,5959,407,431,413,310,218,433,599,526,723,931,631,180,112,45,108558,53427,4565,4909,4182,2660,2304,6587,5953,4992,7351,4785,2723,1623,647,146,55131,4624,4189,4019,2823,2274,6303,6475,5369,7252,5269,3617,1560,917,440,469,272,0,0,44,57,41,19,12,18,21,36,24,0,0,0,197,0,29,28,14,8,15,8,21,10,64,0,0,0,0,31385,16879,1779,1473,1360,750,620,1480,1895,1545,3204,1716,813,162,82,0,14506,1651,1433,1349,814,434,1400,1215,1622,2112,1552,557,212,155,0,51100,24708,4412,4036,3083,1532,1129,2355,2132,1308,2087,1155,891,323,223,42,26392,4776,3360,3281,1599,1346,2870,1977,1696,2743,1291,815,397,158,83,882011,435696,22586,19846,18988,11950,13997,40520,41844,36358,55634,61482,59135,31430,15375,6551,446315,20703,18325,17580,11180,14657,40715,40277,34984,52182,62967,62569,35398,21927,12851,93872,49594,5782,5595,4164,1876,1911,4685,5123,4913,7492,4358,2501,769,312,113,44278,5541,5222,3967,2268,1576,3996,4235,4109,6105,4019,1956,778,437,69,33.3,32.5,34.1,37.2,35.9,38.5,27.2,26.3,27.9,28.0,25.1,31.7,26.9,26.4,27.4,22.8,19.7,26.6,26.8,27.5,26.0,17.5,16.7,18.3,38.3,36.9,39.8,25.2,25.6,24.5,1292612
40,MN,27,,,,,040C2US27,Minnesota -- In metropolitan statistical area -- not in principal city,2887725,1428129,95242,103209,102441,62682,35281,16618,15805,49353,89746,98854,91724,97278,105078,113864,101592,34743,47004,26843,32161,41275,29165,19947,18224,1459596,91415,99537,101128,59397,33921,15590,15636,47880,89214,97850,89249,98350,106236,113446,103733,36624,48178,28944,35112,47404,36792,28275,35685,2510717,1239463,74773,81552,84033,52220,29688,66595,74524,82969,160512,199103,172446,95621,47624,17803,1271254,71806,78542,81714,49535,28131,65158,73337,81473,160619,201103,176266,105837,62911,34822,129160,65176,6165,7024,5661,3257,1698,5795,4910,5736,10487,8189,4364,1538,267,85,63984,6256,6451,6179,3413,2217,5416,5460,5507,8837,7026,4583,1657,764,218,16656,8571,671,803,801,330,245,700,800,654,1112,1091,825,419,104,16,8085,594,761,450,262,201,700,676,563,1052,1366,839,438,153,30,119372,57383,4438,4982,4680,2648,1520,4490,5580,5616,10123,6744,3810,1778,789,185,61989,4410,5147,5217,2669,1446,4217,6405,6545,11089,6485,4355,2637,902,465,895,428,19,22,102,2,0,108,34,34,37,34,24,12,0,0,467,0,9,10,17,4,34,139,51,67,79,54,0,0,3,37880,20237,1839,2542,1867,1259,622,1586,1919,1973,3769,1880,633,231,109,8,17643,1935,2376,2030,948,592,1121,1183,1780,2924,1317,1020,321,96,0,73045,36871,7337,6284,5297,2966,1508,2502,1979,1872,2962,1901,1237,680,219,127,36174,6414,6251,5528,2553,1330,2460,2014,1931,3011,2306,1418,570,241,147,2435955,1201090,70378,76714,79875,49742,28407,64001,71470,79760,154697,195406,170610,94967,47322,17741,1234865,67905,73696,77741,47571,26900,62496,70655,78708,154953,197585,174512,104934,62597,34612,121159,62694,6990,8157,6552,4127,2051,4632,4884,5457,10011,5792,2598,929,422,92,58465,6723,7905,6396,3142,2129,4087,4111,4900,8984,5242,2839,1315,447,245,38.3,37.4,39.4,40.8,39.7,41.8,27.4,27.9,26.9,31.4,29.5,33.7,30.8,30.3,31.1,29.1,24.6,30.5,25.4,26.2,23.9,14.7,14.5,14.9,41.5,40.4,42.4,23.7,23.7,23.6,2887725
40,MN,27,,,,,040E0US27,Minnesota -- In micropolitan statistical area,658048,329167,20376,21082,22534,13171,9879,5138,5088,14052,18841,20175,17426,18715,20982,24325,23851,8693,12553,6830,9889,13049,9581,6988,5949,328881,19781,20599,20132,12433,9925,5353,4943,12381,17216,18511,16987,17833,20412,23985,23438,8867,12279,7642,9848,13695,11176,9484,11961,604002,300471,17369,18187,19316,11443,8605,20943,16492,17767,33034,42472,43416,29147,16370,5910,303531,16736,17951,17472,10976,8620,20028,15648,16924,31500,42008,43107,30407,20333,11821,11123,6612,477,557,705,428,253,1036,708,655,626,770,362,29,6,0,4511,525,492,614,275,276,549,290,337,579,453,94,19,8,0,15467,8039,871,856,768,439,277,770,661,512,845,926,641,350,113,10,7428,908,631,748,347,248,774,489,396,798,807,754,354,145,29,8684,4122,244,303,358,253,254,703,333,390,537,357,254,88,42,6,4562,287,334,266,326,372,582,345,340,758,460,255,158,58,21,204,51,0,12,1,4,0,3,0,3,3,4,7,12,2,0,153,0,13,6,0,15,0,36,0,27,50,2,4,0,0,8790,4993,605,431,535,298,251,519,449,520,646,476,217,20,16,10,3797,518,397,329,125,159,520,219,217,736,325,139,39,56,18,9778,4879,810,736,851,306,239,304,198,328,450,302,200,122,20,13,4899,807,781,697,384,235,224,189,297,422,294,233,204,60,72,577801,287297,15713,16624,17831,10744,7992,19636,15510,16616,31244,41261,42921,28953,16346,5906,290504,15014,16358,15895,10195,8118,18820,14644,15796,30170,40962,42421,30228,20117,11766,37016,19315,2390,2104,2224,1083,1009,1912,1492,1729,2561,1756,781,218,41,15,17701,2476,2135,2013,1021,720,1755,1226,1404,2125,1422,846,223,272,63,40.4,39.2,41.7,42.5,41.3,43.7,22.9,24.3,20.7,25.4,25.3,25.4,25.4,24.3,26.4,41.0,40.8,41.1,24.1,23.9,24.2,15.7,15.6,15.8,43.8,42.6,45.1,21.9,22.3,21.3,658048
40,MN,27,,,,,040E1US27,Minnesota -- In micropolitan statistical area -- in principal city,280874,137854,8938,8272,8628,5236,5972,3292,3240,8346,9673,9619,7769,7751,8077,8770,8442,2797,4244,2006,3372,4428,3397,2801,2784,143020,8716,8082,7967,5030,6492,3800,3214,7443,8551,8082,7297,7240,8030,8879,8628,3139,4381,2974,3478,5429,4716,4569,6883,251160,121401,7369,6887,7048,4394,5049,12557,8031,8072,13658,15237,14667,9557,6115,2760,129759,6999,6892,6696,4192,5631,12682,7869,7313,12578,15686,15616,11619,9169,6817,9019,5423,356,423,526,282,206,880,669,608,499,644,301,23,6,0,3596,436,321,436,260,227,478,234,286,453,391,65,9,0,0,3239,1741,91,133,67,37,92,187,213,130,256,254,98,136,44,3,1498,157,52,138,45,52,219,126,63,184,185,204,23,50,0,5923,2927,153,182,245,139,216,595,272,192,414,251,192,49,27,0,2996,218,206,107,233,334,506,196,168,464,255,154,98,45,12,133,19,0,0,0,0,0,0,0,0,0,0,7,12,0,0,114,0,13,0,0,15,0,14,0,22,50,0,0,0,0,6453,3785,512,268,374,246,231,435,352,382,476,320,162,11,6,10,2668,397,243,242,60,94,455,46,161,638,196,97,21,0,18,4947,2558,457,379,368,138,178,224,136,235,217,141,56,18,0,11,2389,509,355,348,240,139,117,66,91,198,146,12,111,21,36,232546,112068,6225,5848,6008,3915,4526,11508,7427,7229,12334,14429,14348,9413,6098,2760,120478,5850,5802,5541,3619,5237,11643,7139,6607,11654,14940,15148,11514,9022,6762,26233,13758,1691,1365,1485,736,849,1540,1010,1255,1914,1181,543,155,23,11,12475,1690,1399,1469,731,537,1463,776,920,1585,993,576,126,147,63,35.6,33.8,37.8,38.0,36.1,40.2,23.7,26.0,21.4,30.4,32.0,29.3,23.5,23.9,23.0,47.1,.,41.7,23.7,23.5,24.0,15.3,17.0,14.2,40.2,37.8,42.6,22.1,22.5,21.1,280874
40,MN,27,,,,,040E2US27,Minnesota -- In micropolitan statistical area -- not in principal city,377174,191313,11438,12810,13906,7935,3907,1846,1848,5706,9168,10556,9657,10964,12905,15555,15409,5896,8309,4824,6517,8621,6184,4187,3165,185861,11065,12517,12165,7403,3433,1553,1729,4938,8665,10429,9690,10593,12382,15106,14810,5728,7898,4668,6370,8266,6460,4915,5078,352842,179070,10000,11300,12268,7049,3556,8386,8461,9695,19376,27235,28749,19590,10255,3150,173772,9737,11059,10776,6784,2989,7346,7779,9611,18922,26322,27491,18788,11164,5004,2104,1189,121,134,179,146,47,156,39,47,127,126,61,6,0,0,915,89,171,178,15,49,71,56,51,126,62,29,10,8,0,12228,6298,780,723,701,402,185,583,448,382,589,672,543,214,69,7,5930,751,579,610,302,196,555,363,333,614,622,550,331,95,29,2761,1195,91,121,113,114,38,108,61,198,123,106,62,39,15,6,1566,69,128,159,93,38,76,149,172,294,205,101,60,13,9,71,32,0,12,1,4,0,3,0,3,3,4,0,0,2,0,39,0,0,6,0,0,0,22,0,5,0,2,4,0,0,2337,1208,93,163,161,52,20,84,97,138,170,156,55,9,10,0,1129,121,154,87,65,65,65,173,56,98,129,42,18,56,0,4831,2321,353,357,483,168,61,80,62,93,233,161,144,104,20,2,2510,298,426,349,144,96,107,123,206,224,148,221,93,39,36,345255,175229,9488,10776,11823,6829,3466,8128,8083,9387,18910,26832,28573,19540,10248,3146,170026,9164,10556,10354,6576,2881,7177,7505,9189,18516,26022,27273,18714,11095,5004,10783,5557,699,739,739,347,160,372,482,474,647,575,238,63,18,4,5226,786,736,544,290,183,292,450,484,540,429,270,97,125,0,43.8,43.2,44.4,45.3,44.8,45.9,18.4,18.6,18.2,24.1,23.6,24.8,31.0,28.0,32.7,29.4,17.5,29.6,25.8,26.4,25.2,16.5,14.2,18.5,45.9,45.3,46.5,21.2,20.8,21.7,377174
