SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MO,29,,,,,04000US29,Missouri,6045448,2964003,192851,200091,201273,122944,83438,47635,44709,124584,200511,197781,181485,183318,194538,218663,199513,74969,101067,59559,76046,99845,70734,48118,40331,3081445,183921,193196,190020,116383,79857,45188,44031,123027,200134,198735,180002,188038,199735,225083,216459,77158,110510,65900,84915,117802,88769,72085,80497,4995527,2458284,146889,155336,157270,96915,64679,169599,162184,162236,301060,353303,329348,212685,108925,37855,2537243,139486,147894,148506,91504,61420,166273,160338,159270,298539,358230,348237,238483,144904,74159,697022,328623,25380,25827,27366,16720,12300,30690,24333,22034,40414,43208,34054,16736,7610,1951,368399,25729,26056,25550,16937,11990,30864,26316,24876,46765,49512,42315,23348,12740,5401,24951,12856,611,599,797,509,358,1091,946,1059,1619,1921,1774,1189,326,57,12095,691,995,604,423,335,893,791,805,1616,2132,1722,654,317,117,106537,50425,3409,3597,3346,1753,1775,5608,4827,5079,8462,5673,3594,2148,1000,154,56112,2800,3762,3247,1785,1571,5026,5240,6031,10222,6600,5263,2875,1420,270,6161,3431,322,369,191,144,128,284,185,322,714,366,327,79,0,0,2730,212,332,235,117,135,238,250,283,471,207,199,10,33,8,67605,35560,3895,3856,3018,1555,1011,3353,3564,3292,5982,3276,1965,681,87,25,32045,3927,3563,2905,1608,1336,2694,2749,3204,4506,2823,1735,658,230,107,147645,74824,12345,10507,9285,5348,3187,6303,4472,3759,6552,5454,4487,1932,904,289,72821,11076,10594,8973,4009,3070,6258,4450,4266,5921,5314,4656,2589,1210,435,4849886,2382916,138979,147330,149275,92924,61976,162482,155931,155630,291166,346348,324837,210617,107946,37475,2466970,131634,140472,141430,88134,58945,159867,154719,153823,289483,351342,343657,236133,143752,73579,233046,120430,13038,13295,12192,6047,4285,11595,10226,10619,16923,10726,6923,3001,1132,428,112616,13499,12309,11514,5533,4177,9909,9020,9290,14328,10785,6648,3319,1545,740,38.2,36.8,39.6,40.2,38.8,41.6,32.4,30.3,34.2,37.9,37.7,38.4,32.3,30.6,33.7,28.5,31.2,27.3,25.9,26.5,25.0,18.5,18.0,18.9,40.8,39.4,42.2,24.8,24.9,24.6,6045448
40,MO,29,,,,,04001US29,Missouri -- Urban,4275395,2074794,141857,142289,139178,82151,62469,36755,34871,97370,157816,151307,133710,128842,131811,144277,130959,49007,63949,36983,46175,59823,43200,30982,29013,2200601,135872,137172,132295,79750,62013,35735,34386,96389,157764,151465,132046,133389,138097,152414,146216,51738,74204,42697,55068,78085,60298,52066,61442,3301613,1607425,99389,101028,99382,58548,44974,124295,121793,118163,202735,221196,201756,122358,65016,26792,1694188,94700,96118,94185,57008,44959,123010,120100,114300,200168,228271,220628,147743,97521,55477,675935,317148,24570,25243,26508,15990,11993,29659,23472,21065,38990,41517,32666,16235,7392,1848,358787,25023,25127,24936,16319,11750,29818,25727,24432,45804,48351,41238,22747,12315,5200,16075,8439,302,393,403,408,251,845,748,686,1208,1213,1211,584,141,46,7636,480,558,420,233,279,725,580,489,1043,1254,971,360,171,73,99514,47787,3165,3279,3099,1589,1606,5444,4613,4916,8161,5364,3391,2050,956,154,51727,2643,3474,2941,1566,1493,4903,4712,5545,9513,6055,4630,2698,1330,224,5039,2877,242,353,136,119,78,254,131,274,638,268,323,61,0,0,2162,174,284,196,48,121,116,233,220,403,165,155,8,31,8,60060,31640,3622,3398,2553,1284,866,3048,3111,2973,5521,2841,1719,609,70,25,28420,3496,3204,2558,1351,1152,2475,2462,3009,4000,2382,1441,613,183,94,117159,59478,10567,8595,7097,4213,2701,5451,3948,3230,5299,3689,2849,1084,607,148,57681,9356,8407,7059,3225,2259,5463,3950,3470,4504,4033,3095,1681,813,366,3183501,1546314,92892,94909,92906,55472,42897,118362,116352,112467,194846,215506,198065,120900,64243,26497,1637187,88272,90130,88753,54499,42903,117544,115297,109983,192576,222661,217217,145849,96566,54937,195174,100858,11138,10771,10043,4793,3438,9999,8940,9212,14295,8918,5812,2251,909,339,94316,11429,10294,9401,4352,3572,8627,7866,7808,12250,8867,5134,2741,1286,689,36.2,34.7,37.9,38.4,36.7,40.2,32.4,30.2,34.2,36.1,36.6,35.4,32.3,30.8,33.6,30.3,31.7,28.2,26.0,26.6,24.9,18.0,17.5,18.6,39.1,37.3,40.8,24.9,25.1,24.7,4275395
40,MO,29,,,,,04043US29,Missouri -- Rural,1770053,889209,50994,57802,62095,40793,20969,10880,9838,27214,42695,46474,47775,54476,62727,74386,68554,25962,37118,22576,29871,40022,27534,17136,11318,880844,48049,56024,57725,36633,17844,9453,9645,26638,42370,47270,47956,54649,61638,72669,70243,25420,36306,23203,29847,39717,28471,20019,19055,1693914,850859,47500,54308,57888,38367,19705,45304,40391,44073,98325,132107,127592,90327,43909,11063,843055,44786,51776,54321,34496,16461,43263,40238,44970,98371,129959,127609,90740,47383,18682,21087,11475,810,584,858,730,307,1031,861,969,1424,1691,1388,501,218,103,9612,706,929,614,618,240,1046,589,444,961,1161,1077,601,425,201,8876,4417,309,206,394,101,107,246,198,373,411,708,563,605,185,11,4459,211,437,184,190,56,168,211,316,573,878,751,294,146,44,7023,2638,244,318,247,164,169,164,214,163,301,309,203,98,44,0,4385,157,288,306,219,78,123,528,486,709,545,633,177,90,46,1122,554,80,16,55,25,50,30,54,48,76,98,4,18,0,0,568,38,48,39,69,14,122,17,63,68,42,44,2,2,0,7545,3920,273,458,465,271,145,305,453,319,461,435,246,72,17,0,3625,431,359,347,257,184,219,287,195,506,441,294,45,47,13,30486,15346,1778,1912,2188,1135,486,852,524,529,1253,1765,1638,848,297,141,15140,1720,2187,1914,784,811,795,500,796,1417,1281,1561,908,397,69,1666385,836602,46087,52421,56369,37452,19079,44120,39579,43163,96320,130842,126772,89717,43703,10978,829783,43362,50342,52677,33635,16042,42323,39422,43840,96907,128681,126440,90284,47186,18642,37872,19572,1900,2524,2149,1254,847,1596,1286,1407,2628,1808,1111,750,223,89,18300,2070,2015,2113,1181,605,1282,1154,1482,2078,1918,1514,578,259,51,43.1,42.5,43.7,43.7,43.1,44.3,32.6,33.3,31.4,43.4,42.8,43.8,32.1,25.3,35.1,23.6,27.4,23.3,25.4,25.6,25.3,20.7,20.5,21.2,44.1,43.5,44.6,23.9,23.4,24.5,1770053
40,MO,29,,,,,040A0US29,Missouri -- In metropolitan or micropolitan statistical area,5208911,2547808,167814,172607,173039,105444,73834,41955,40534,111278,178459,175116,158409,159512,167548,186738,168693,63229,84105,49316,61552,79783,56701,38856,33286,2661103,160184,166656,164029,100027,71188,40483,39330,110628,178720,175972,158184,164170,173194,193753,184900,64838,93430,54623,69878,96869,72624,60468,66955,4205898,2066954,124063,130154,131432,80919,55862,148378,141830,141202,256968,297588,272543,168965,86010,31040,2138944,117503,123747,124377,76232,53598,145791,140095,137919,255168,303142,290015,192559,117857,60941,676412,317316,24778,25113,26711,16181,11804,29551,23249,21157,38928,41402,32860,16316,7422,1844,359096,24923,25349,24768,16517,11615,30232,25739,24346,45834,48273,41182,22775,12391,5152,20460,10635,405,460,544,441,334,977,875,943,1366,1635,1414,914,283,44,9825,604,725,556,313,303,780,711,679,1457,1665,1280,416,228,108,103808,49258,3257,3495,3190,1692,1733,5510,4745,4995,8397,5544,3447,2102,997,154,54550,2733,3575,3187,1715,1564,5004,5042,5900,9965,6343,5084,2792,1397,249,5579,3115,322,290,178,112,117,270,185,286,638,328,323,66,0,0,2464,212,253,235,114,135,227,238,181,462,189,171,8,31,8,63081,33130,3594,3587,2732,1424,945,3176,3365,3126,5624,3009,1803,636,84,25,29951,3694,3301,2740,1465,1222,2580,2595,3080,4184,2606,1535,622,220,107,133673,67400,11395,9508,8252,4675,3039,5905,4210,3407,6000,4780,3637,1652,761,179,66273,10515,9706,8166,3671,2751,5827,4300,3867,5284,4729,3901,2198,968,390,4073412,1998388,116820,122969,124433,77247,53466,141737,136003,135041,248191,291132,268485,167100,85070,30694,2075024,110472,117078,118104,73256,51346,139801,134969,133066,246881,296670,285830,190383,116780,60388,214324,110654,12004,12116,10786,5550,3892,10937,9575,9972,15374,9916,6306,2746,1090,390,103670,12386,11227,10451,4928,3818,9354,8353,8537,13186,10097,6074,3084,1462,713,37.4,36.0,38.9,39.6,38.1,41.0,32.4,30.2,34.2,36.9,37.4,36.3,32.3,30.7,33.6,28.1,31.2,25.8,26.0,26.5,24.9,18.3,17.9,18.7,40.2,38.7,41.6,24.9,25.0,24.8,5208911
40,MO,29,,,,,040C0US29,Missouri -- In metropolitan statistical area,4490148,2186275,145210,149143,150511,91252,59500,32859,32124,93272,154165,152000,137610,139068,145564,162077,146866,54395,71490,41733,52560,66429,47088,33086,28273,2303873,138382,144001,142783,86948,59325,33735,33045,94392,157456,154286,139473,143322,151132,168901,160959,55958,80830,46471,59757,81788,61261,51793,57875,3556134,1742624,104413,109529,111297,68183,44213,118321,121108,121373,220003,254726,231866,140264,71184,26144,1813510,99136,103929,105534,64624,43413,120250,120787,118514,218684,259937,247421,160632,98581,52068,643982,299469,23835,24211,25707,15509,10301,26990,21332,19458,36622,39379,31456,15748,7154,1767,344513,23637,24262,23965,15767,10752,28376,24830,23364,44543,46132,39757,22106,12049,4973,16987,8769,328,418,398,366,253,747,707,837,1135,1315,1245,763,213,44,8218,504,639,512,301,261,626,627,561,1261,1339,1048,271,166,102,96517,45713,3089,3322,3135,1462,1513,4682,4394,4464,8067,5234,3328,1923,946,154,50804,2537,3441,2971,1634,1510,4526,4676,5451,9333,5932,4682,2613,1251,247,4518,2426,229,177,150,110,34,172,185,222,575,266,240,66,0,0,2092,123,213,223,87,135,165,217,154,388,180,166,8,25,8,56040,29062,3283,3233,2482,1312,682,2476,2895,2785,5040,2674,1564,561,70,5,26978,3290,2984,2509,1240,1009,2296,2394,2788,3837,2378,1386,577,183,107,115970,58212,10033,8253,7342,4310,2504,4867,3544,2861,5236,4047,3052,1397,607,159,57758,9155,8533,7069,3295,2245,4933,3925,3454,4749,4135,3287,1809,799,370,3439625,1682640,98140,103194,105082,65018,42235,113158,115911,116034,212081,248822,228312,138579,70271,25803,1756985,92816,98277,99987,61938,41499,115240,116149,114378,211060,254079,243750,158700,97561,51551,187827,96531,10431,10662,9637,4879,3129,8557,8412,8615,13857,8967,5513,2458,1049,365,91296,10872,9672,9285,4396,3198,7790,7579,7422,12051,8924,5365,2738,1327,677,37.5,36.1,38.8,39.7,38.3,41.1,32.6,30.4,34.4,36.6,38.0,35.4,32.5,31.2,33.6,30.4,33.3,27.8,26.3,26.7,25.5,18.0,17.5,18.6,40.3,38.9,41.7,25.4,25.5,25.3,4490148
40,MO,29,,,,,040C1US29,Missouri -- In metropolitan statistical area -- in principal city,1342697,651604,45106,39938,37914,21878,20282,12925,14074,37962,59683,52940,43646,40358,39376,44223,40003,15094,18714,10128,13310,16047,11566,8539,7898,691093,43359,38511,36041,21787,24022,15904,15000,38944,59690,52065,40026,40925,40095,45097,43951,15847,22029,11950,14895,21326,17444,14705,17480,895936,438674,25182,22385,20443,12288,12837,43695,42844,38343,57361,58045,53001,29820,15634,6796,457262,24590,21229,20125,11809,15987,47093,40830,34997,52515,57013,56865,35560,24495,14154,329960,154598,12908,12097,12621,6955,5390,14638,11250,9660,18278,20954,17157,7919,3807,964,175362,12343,11678,10996,7840,5663,16007,13414,11667,21061,23312,20848,10806,6681,3046,5453,2932,54,93,112,205,120,243,407,190,291,315,576,260,55,11,2521,138,206,82,90,116,238,208,162,369,358,356,115,59,24,36114,17264,909,922,1037,407,671,2648,2121,1970,2766,1510,1164,751,324,64,18850,599,1181,1003,597,748,2735,2051,2132,2937,1734,1771,821,465,76,1920,956,97,95,37,0,30,91,29,129,260,94,83,11,0,0,964,75,88,112,6,42,54,166,87,179,85,70,0,0,0,29467,15408,1951,1473,1024,583,318,1549,1616,1650,2796,1344,733,322,44,5,14059,1830,1437,1038,535,482,1371,1387,1430,1899,1384,803,299,126,38,43847,21772,4005,2873,2640,1440,916,2097,1416,998,2252,1337,1097,402,241,58,22075,3784,2692,2685,910,984,2350,1634,1590,1991,1306,1114,570,323,142,850621,415173,22867,20340,18329,11090,12175,41568,40570,35973,54014,55622,51628,29097,15184,6716,435448,22395,19280,18029,10900,15204,44920,38892,33208,49374,55138,55468,34713,23984,13943,81916,42692,4711,3996,3547,2023,1304,4192,3973,4130,6657,3975,2419,1147,533,85,39224,4449,3637,3604,1765,1473,3779,3559,3406,5373,3609,2381,1219,703,267,34.2,33.3,35.0,36.0,35.2,37.1,32.6,30.7,34.1,36.1,36.9,35.6,30.4,29.7,30.9,31.1,33.5,28.3,26.8,27.2,26.4,18.9,17.8,20.0,36.7,35.8,38.0,26.4,26.6,26.3,1342697
40,MO,29,,,,,040C2US29,Missouri -- In metropolitan statistical area -- not in principal city,3147451,1534671,100104,109205,112597,69374,39218,19934,18050,55310,94482,99060,93964,98710,106188,117854,106863,39301,52776,31605,39250,50382,35522,24547,20375,1612780,95023,105490,106742,65161,35303,17831,18045,55448,97766,102221,99447,102397,111037,123804,117008,40111,58801,34521,44862,60462,43817,37088,40395,2660198,1303950,79231,87144,90854,55895,31376,74626,78264,83030,162642,196681,178865,110444,55550,19348,1356248,74546,82700,85409,52815,27426,73157,79957,83517,166169,202924,190556,125072,74086,37914,314022,144871,10927,12114,13086,8554,4911,12352,10082,9798,18344,18425,14299,7829,3347,803,169151,11294,12584,12969,7927,5089,12369,11416,11697,23482,22820,18909,11300,5368,1927,11534,5837,274,325,286,161,133,504,300,647,844,1000,669,503,158,33,5697,366,433,430,211,145,388,419,399,892,981,692,156,107,78,60403,28449,2180,2400,2098,1055,842,2034,2273,2494,5301,3724,2164,1172,622,90,31954,1938,2260,1968,1037,762,1791,2625,3319,6396,4198,2911,1792,786,171,2598,1470,132,82,113,110,4,81,156,93,315,172,157,55,0,0,1128,48,125,111,81,93,111,51,67,209,95,96,8,25,8,26573,13654,1332,1760,1458,729,364,927,1279,1135,2244,1330,831,239,26,0,12919,1460,1547,1471,705,527,925,1007,1358,1938,994,583,278,57,69,72123,36440,6028,5380,4702,2870,1588,2770,2128,1863,2984,2710,1955,995,366,101,35683,5371,5841,4384,2385,1261,2583,2291,1864,2758,2829,2173,1239,476,228,2589004,1267467,75273,82854,86753,53928,30060,71590,75341,80061,158067,193200,176684,109482,55087,19087,1321537,70421,78997,81958,51038,26295,70320,77257,81170,161686,198941,188282,123987,73577,37608,105911,53839,5720,6666,6090,2856,1825,4365,4439,4485,7200,4992,3094,1311,516,280,52072,6423,6035,5681,2631,1725,4011,4020,4016,6678,5315,2984,1519,624,410,39.1,37.6,40.4,40.9,39.6,42.2,32.7,30.2,34.7,36.7,38.5,35.4,34.2,32.5,35.4,30.0,31.0,24.8,25.3,26.4,23.5,17.6,17.4,17.8,41.4,40.1,42.7,24.3,24.2,24.3,3147451
40,MO,29,,,,,040E0US29,Missouri -- In micropolitan statistical area,718763,361533,22604,23464,22528,14192,14334,9096,8410,18006,24294,23116,20799,20444,21984,24661,21827,8834,12615,7583,8992,13354,9613,5770,5013,357230,21802,22655,21246,13079,11863,6748,6285,16236,21264,21686,18711,20848,22062,24852,23941,8880,12600,8152,10121,15081,11363,8675,9080,649764,324330,19650,20625,20135,12736,11649,30057,20722,19829,36965,42862,40677,28701,14826,4896,325434,18367,19818,18843,11608,10185,25541,19308,19405,36484,43205,42594,31927,19276,8873,32430,17847,943,902,1004,672,1503,2561,1917,1699,2306,2023,1404,568,268,77,14583,1286,1087,803,750,863,1856,909,982,1291,2141,1425,669,342,179,3473,1866,77,42,146,75,81,230,168,106,231,320,169,151,70,0,1607,100,86,44,12,42,154,84,118,196,326,232,145,62,6,7291,3545,168,173,55,230,220,828,351,531,330,310,119,179,51,0,3746,196,134,216,81,54,478,366,449,632,411,402,179,146,2,1061,689,93,113,28,2,83,98,0,64,63,62,83,0,0,0,372,89,40,12,27,0,62,21,27,74,9,5,0,6,0,7041,4068,311,354,250,112,263,700,470,341,584,335,239,75,14,20,2973,404,317,231,225,213,284,201,292,347,228,149,45,37,0,17703,9188,1362,1255,910,365,535,1038,666,546,764,733,585,255,154,20,8515,1360,1173,1097,376,506,894,375,413,535,594,614,389,169,20,633787,315748,18680,19775,19351,12229,11231,28579,20092,19007,36110,42310,40173,28521,14799,4891,318039,17656,18801,18117,11318,9847,24561,18820,18688,35821,42591,42080,31683,19219,8837,26497,14123,1573,1454,1149,671,763,2380,1163,1357,1517,949,793,288,41,25,12374,1514,1555,1166,532,620,1564,774,1115,1135,1173,709,346,135,36,37.0,35.2,39.2,38.7,36.8,40.7,28.2,28.1,28.3,39.7,35.1,44.4,30.3,26.5,32.8,20.7,20.7,20.8,23.7,25.5,21.3,19.8,20.6,18.8,39.3,37.5,41.3,22.5,22.5,22.5,718763
40,MO,29,,,,,040E1US29,Missouri -- In micropolitan statistical area -- in principal city,262533,132551,8637,8173,7677,4439,8708,5682,5120,9659,10620,9443,7306,6649,6410,7695,5863,2215,3730,2148,2346,3510,2554,1784,2183,129982,7772,7944,6765,4223,7309,4136,3316,7978,8899,7674,6813,6977,6702,7510,7422,2758,3683,2631,3103,4560,4008,3521,4278,223515,111166,6930,6751,6334,3630,6721,16543,8545,7509,11858,12136,10601,7421,4081,2106,112349,5784,6402,5666,3549,6167,12756,7806,6463,11929,12387,12547,9557,7171,4165,21106,11190,705,503,684,359,1262,1761,1140,998,1162,1265,735,375,189,52,9916,1030,699,457,414,715,1438,588,674,919,1304,903,454,208,113,1232,746,52,42,81,28,35,160,65,65,95,26,67,30,0,0,486,54,0,16,0,24,85,0,0,113,85,47,50,12,0,4764,2665,164,99,39,204,220,759,291,286,150,251,90,107,5,0,2099,131,55,73,37,41,408,198,318,364,161,154,94,65,0,774,546,90,98,28,2,36,87,0,64,25,33,83,0,0,0,228,89,24,0,0,0,4,21,27,52,0,5,0,6,0,3828,2374,195,152,140,75,146,526,324,203,371,153,60,9,0,20,1454,176,197,158,88,65,171,133,131,227,78,12,18,0,0,7314,3864,501,528,371,141,288,625,255,318,294,241,172,62,63,5,3450,508,567,395,135,297,568,153,61,186,197,195,121,67,0,216095,107294,6531,6386,6011,3419,6527,15568,8285,7124,11566,11943,10385,7362,4081,2106,108801,5331,5939,5487,3445,5957,12031,7495,6179,11712,12099,12349,9493,7148,4136,12952,6869,700,574,510,328,408,1598,607,658,706,378,303,79,0,20,6083,842,746,460,192,343,1112,481,446,565,508,210,101,48,29,31.1,28.6,34.4,32.9,30.1,36.2,26.3,26.2,26.7,27.4,23.4,41.7,26.6,23.5,32.2,20.8,20.7,21.3,23.4,23.8,21.3,19.7,20.5,18.6,33.6,30.6,37.0,22.2,22.3,22.1,262533
40,MO,29,,,,,040E2US29,Missouri -- In micropolitan statistical area -- not in principal city,456230,228982,13967,15291,14851,9753,5626,3414,3290,8347,13674,13673,13493,13795,15574,16966,15964,6619,8885,5435,6646,9844,7059,3986,2830,227248,14030,14711,14481,8856,4554,2612,2969,8258,12365,14012,11898,13871,15360,17342,16519,6122,8917,5521,7018,10521,7355,5154,4802,426249,213164,12720,13874,13801,9106,4928,13514,12177,12320,25107,30726,30076,21280,10745,2790,213085,12583,13416,13177,8059,4018,12785,11502,12942,24555,30818,30047,22370,12105,4708,11324,6657,238,399,320,313,241,800,777,701,1144,758,669,193,79,25,4667,256,388,346,336,148,418,321,308,372,837,522,215,134,66,2241,1120,25,0,65,47,46,70,103,41,136,294,102,121,70,0,1121,46,86,28,12,18,69,84,118,83,241,185,95,50,6,2527,880,4,74,16,26,0,69,60,245,180,59,29,72,46,0,1647,65,79,143,44,13,70,168,131,268,250,248,85,81,2,287,143,3,15,0,0,47,11,0,0,38,29,0,0,0,0,144,0,16,12,27,0,58,0,0,22,9,0,0,0,0,3213,1694,116,202,110,37,117,174,146,138,213,182,179,66,14,0,1519,228,120,73,137,148,113,68,161,120,150,137,27,37,0,10389,5324,861,727,539,224,247,413,411,228,470,492,413,193,91,15,5065,852,606,702,241,209,326,222,352,349,397,419,268,102,20,417692,208454,12149,13389,13340,8810,4704,13011,11807,11883,24544,30367,29788,21159,10718,2785,209238,12325,12862,12630,7873,3890,12530,11325,12509,24109,30492,29731,22190,12071,4701,13545,7254,873,880,639,343,355,782,556,699,811,571,490,209,41,5,6291,672,809,706,340,277,452,293,669,570,665,499,245,87,7,40.8,39.7,42.0,41.8,40.9,42.7,32.1,31.8,33.0,45.9,45.5,49.0,36.3,34.3,39.7,20.7,20.6,20.8,25.6,28.0,21.3,19.9,20.9,19.1,42.3,41.4,43.1,23.3,23.1,23.6,456230
