SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MS,28,,,,,04000US28,Mississippi,2988081,1451723,100654,104911,107363,62923,44683,25129,24648,63870,96027,95533,88278,93579,92103,98578,94835,33662,47015,29130,35256,46712,32079,19966,14789,1536358,97079,100694,101958,60591,44924,24310,25070,58909,98023,98837,92876,97851,98871,106516,101616,37519,53813,31870,41070,56013,42598,32724,32626,1768174,872722,52482,55215,55832,33217,22995,61801,54002,55221,109826,122104,115658,82303,40582,11484,895452,49631,51344,53546,31688,23416,55761,52815,53613,107394,122646,121834,91929,55636,24199,1116457,525603,42718,44120,46827,27383,20082,46458,37285,35472,63928,63450,56447,27389,10871,3173,590854,41332,44006,43874,27003,20050,48571,41447,41796,76990,76969,66964,34956,18659,8237,12896,6193,404,645,422,353,205,443,448,460,847,1133,588,168,74,3,6703,533,672,497,221,275,702,436,554,768,1022,585,310,119,9,28900,13522,579,1131,1067,506,352,1725,1260,1153,2249,1586,1166,469,251,28,15378,673,811,1088,427,523,1344,1105,1384,2696,2310,1731,873,336,77,409,145,16,0,8,0,5,43,0,0,27,12,9,18,7,0,264,0,12,0,18,10,13,55,0,36,11,62,25,22,0,25911,16179,1393,1051,784,449,467,1912,2328,2224,3420,1330,553,180,72,16,9732,1292,838,660,453,254,760,1351,844,1691,800,549,171,69,0,35334,17359,3062,2749,2423,1015,577,1265,704,1003,1560,1066,1091,571,188,85,17975,3618,3011,2293,781,396,1138,814,646,1152,1629,1223,689,481,104,1714674,842893,49448,52009,53368,32082,22157,58888,50887,51910,105216,119379,114199,81629,40385,11336,871781,46606,48475,51495,30452,22368,54086,51185,51416,104075,120451,120591,91247,55267,24067,86507,49510,4618,4631,3837,1747,1484,5056,5540,5793,8568,4421,2261,1030,347,177,36997,4750,4465,2926,1860,1401,2708,3032,3320,5341,3353,2099,999,529,214,36.5,35.0,38.1,40.8,39.3,42.2,31.9,29.7,33.6,31.2,32.2,30.3,33.5,30.5,35.7,38.3,37.0,42.5,28.4,29.2,26.6,15.8,16.3,15.2,41.4,40.1,42.8,27.1,28.1,25.5,2988081
40,MS,28,,,,,04001US28,Mississippi -- Urban,1485280,705934,53859,55175,53673,30339,24955,12847,14172,36677,51601,50446,43177,43561,40827,44031,41473,14362,19201,12660,14313,19301,13020,8573,7691,779346,52586,51388,50960,30238,26923,14087,15496,34307,55189,53847,48662,48263,46661,50381,47171,16557,24825,14929,17493,25484,19472,16416,18011,742965,361235,21780,22887,20854,12420,11607,31434,26404,25464,44391,46723,43820,31418,16029,6004,381730,21222,20006,20628,12705,12522,28343,24769,24076,43363,48756,48351,38188,25402,13399,677927,311842,28419,29167,29921,16548,12360,28720,22431,22021,37226,35267,29041,13968,5165,1588,366085,27457,28439,27772,16331,13276,32716,27645,27637,49587,44671,37618,18517,9913,4506,3623,1703,38,98,58,100,43,75,155,153,272,382,201,97,28,3,1920,79,97,118,87,130,294,96,201,185,326,189,108,4,6,23572,11254,516,966,905,408,331,1457,1037,976,1805,1207,1013,385,232,16,12318,455,676,917,365,492,1102,1026,961,2072,1924,1317,656,295,60,171,36,0,0,8,0,5,0,0,0,5,0,0,18,0,0,135,0,0,0,0,10,3,36,0,11,11,45,10,9,0,16010,9263,919,517,607,317,200,1060,1170,1289,1929,704,368,103,64,16,6747,1042,546,375,297,246,619,1047,559,1062,472,333,128,21,0,21012,10601,2187,1540,1320,546,409,950,404,543,1110,575,593,285,75,64,10411,2331,1624,1150,453,247,813,570,413,645,882,700,299,244,40,707504,341562,19877,20759,19374,11721,11095,29190,24375,23061,41510,44810,42854,31090,15924,5922,365942,19100,18100,19352,11923,11774,27097,23555,22479,41116,47437,47674,37890,25111,13334,55690,30947,2950,2847,2400,1016,842,3490,3275,3904,5194,2793,1387,538,200,111,24743,3381,2850,1830,1178,1051,2101,2257,2349,3540,2081,1139,514,342,130,33.8,32.0,35.5,39.0,36.7,41.0,29.8,27.2,31.7,34.9,38.3,32.6,32.5,30.0,35.4,53.7,55.0,53.7,27.6,29.1,25.8,16.1,16.5,15.6,40.1,37.7,42.1,26.5,28.0,25.0,1485280
40,MS,28,,,,,04043US28,Mississippi -- Rural,1502801,745789,46795,49736,53690,32584,19728,12282,10476,27193,44426,45087,45101,50018,51276,54547,53362,19300,27814,16470,20943,27411,19059,11393,7098,757012,44493,49306,50998,30353,18001,10223,9574,24602,42834,44990,44214,49588,52210,56135,54445,20962,28988,16941,23577,30529,23126,16308,14615,1025209,511487,30702,32328,34978,20797,11388,30367,27598,29757,65435,75381,71838,50885,24553,5480,513722,28409,31338,32918,18983,10894,27418,28046,29537,64031,73890,73483,53741,30234,10800,438530,213761,14299,14953,16906,10835,7722,17738,14854,13451,26702,28183,27406,13421,5706,1585,224769,13875,15567,16102,10672,6774,15855,13802,14159,27403,32298,29346,16439,8746,3731,9273,4490,366,547,364,253,162,368,293,307,575,751,387,71,46,0,4783,454,575,379,134,145,408,340,353,583,696,396,202,115,3,5328,2268,63,165,162,98,21,268,223,177,444,379,153,84,19,12,3060,218,135,171,62,31,242,79,423,624,386,414,217,41,17,238,109,16,0,0,0,0,43,0,0,22,12,9,0,7,0,129,0,12,0,18,0,10,19,0,25,0,17,15,13,0,9901,6916,474,534,177,132,267,852,1158,935,1491,626,185,77,8,0,2985,250,292,285,156,8,141,304,285,629,328,216,43,48,0,14322,6758,875,1209,1103,469,168,315,300,460,450,491,498,286,113,21,7564,1287,1387,1143,328,149,325,244,233,507,747,523,390,237,64,1007170,501331,29571,31250,33994,20361,11062,29698,26512,28849,63706,74569,71345,50539,24461,5414,505839,27506,30375,32143,18529,10594,26989,27630,28937,62959,73014,72917,53357,30156,10733,30817,18563,1668,1784,1437,731,642,1566,2265,1889,3374,1628,874,492,147,66,12254,1369,1615,1096,682,350,607,775,971,1801,1272,960,485,187,84,39.7,38.3,40.9,42.0,41.0,43.0,35.3,33.6,37.1,29.0,28.5,29.4,36.1,34.2,36.9,37.1,24.7,42.2,29.7,29.3,30.8,15.5,16.0,14.8,42.4,41.5,43.2,28.1,28.2,27.8,1502801
40,MS,28,,,,,040A0US28,Mississippi -- In metropolitan or micropolitan statistical area,2318938,1124082,78273,82846,81559,48864,35542,19005,20241,50881,75678,75343,68482,72840,71041,76297,73156,25120,35765,22156,26287,34981,23575,14815,11335,1194856,74946,77994,79491,46874,36483,20155,20601,46732,78339,78862,72871,76182,76453,83002,78866,28446,41382,24264,30565,42228,31160,24467,24493,1364593,673560,40555,43773,41694,25385,18441,49207,42629,43345,85100,94375,88544,61723,29929,8860,691033,37775,39054,41440,24421,19003,44932,41542,42318,83380,95029,93815,69100,40953,18271,871355,408430,33409,34670,36265,21614,15822,36601,29489,28165,49804,48990,42777,20480,7975,2369,462925,32263,34812,34492,20827,16353,39248,33545,33667,60556,59587,51358,26279,13873,6065,4620,2048,31,175,60,92,52,123,138,180,368,458,253,90,28,0,2572,86,187,103,114,114,328,154,264,237,460,295,189,35,6,26997,12549,526,1050,960,501,337,1671,1078,1091,1962,1511,1142,464,236,20,14448,612,754,969,418,482,1336,1032,1350,2460,2142,1674,826,316,77,242,50,0,0,0,0,5,0,0,0,15,3,9,18,0,0,192,0,12,0,18,0,3,46,0,25,11,45,10,22,0,21696,12904,1237,933,647,411,409,1388,1701,1693,2747,1086,419,147,70,16,8792,1198,692,613,431,226,734,1327,689,1427,749,474,163,69,0,29435,14541,2515,2245,1933,861,476,1137,643,869,1326,915,897,502,152,70,14894,3012,2483,1874,645,305,907,693,574,968,1477,1033,490,359,74,1321926,649788,38207,41147,39831,24364,17754,46888,40404,40780,81398,92091,87256,61142,29779,8747,672138,35585,36709,39765,23374,18243,43420,40233,40535,80835,93299,92821,68502,40653,18164,69465,39239,3705,3909,2976,1500,1246,3866,3982,4448,6892,3625,1827,829,292,142,30226,3607,3564,2473,1602,1063,2439,2660,2717,4253,2753,1689,831,403,172,36.0,34.6,37.5,40.4,38.8,41.7,31.4,29.4,33.1,36.1,39.3,33.8,33.5,30.6,35.5,42.9,63.2,42.7,27.9,29.0,26.1,16.3,16.9,15.3,41.0,39.6,42.3,27.0,28.1,25.5,2318938
40,MS,28,,,,,040C0US28,Mississippi -- In metropolitan statistical area,1359313,659106,46122,49342,48704,29254,19201,10786,10243,28539,45308,45605,41943,44119,42888,45328,42427,14238,20419,12424,14996,19622,13287,7697,6614,700207,44154,45221,48616,28190,19142,10245,11113,27418,48311,48159,45315,45802,45865,49225,45159,16541,23911,14049,17423,23119,16948,13291,12990,820507,404642,24654,27028,25733,15818,9952,26581,26109,26991,52702,58633,52831,35665,16735,5210,415865,23253,23846,26090,15201,9557,25191,26139,26500,52245,58874,56160,39949,22824,10036,480925,225270,18385,18976,20409,12167,8439,20152,16733,15925,28872,26900,22519,10574,3885,1334,255655,17602,18546,19996,11771,8787,21421,19754,19564,35162,32812,26998,13481,6878,2883,2766,1404,0,51,60,55,6,88,108,147,236,362,202,61,28,0,1362,55,77,76,82,89,134,58,163,145,264,119,94,0,6,19947,9024,336,867,838,420,262,980,734,772,1444,1158,711,332,157,13,10923,379,616,772,356,401,971,805,940,1886,1600,1328,601,236,32,148,35,0,0,0,0,0,0,0,0,5,3,9,18,0,0,113,0,0,0,0,0,3,22,0,0,11,45,10,22,0,14473,8298,764,557,401,238,161,986,1266,1141,1795,535,277,91,70,16,6175,830,485,469,333,96,513,1042,474,994,490,268,112,69,0,20547,10433,1983,1863,1263,556,381,781,358,629,1008,625,535,301,109,41,10114,2035,1651,1213,447,212,543,491,518,685,1039,693,344,210,33,790923,388373,23090,25422,24298,15028,9521,25036,24539,25238,50249,56982,52004,35239,16608,5119,402550,21820,22125,24876,14502,9083,24030,25201,25241,50332,57788,55466,39541,22589,9956,47542,26284,2373,2503,2147,1095,672,2608,2854,3026,4654,2317,1076,611,257,91,21258,2440,2527,1826,1117,641,1766,1977,1893,3154,1779,1111,558,338,131,35.9,34.6,37.2,40.1,38.8,41.2,31.1,29.2,32.8,37.4,43.4,33.6,33.3,30.4,35.6,61.6,71.1,61.4,27.9,28.9,26.2,15.8,15.7,15.9,40.8,39.7,41.9,27.1,28.1,25.5,1359313
40,MS,28,,,,,040C1US28,Mississippi -- In metropolitan statistical area -- in principal city,357671,170538,13548,12369,11526,6694,6204,3550,3533,10044,14801,12287,10503,9434,9337,10844,10933,3357,4234,2913,3233,4209,2803,2003,2179,187133,12470,12611,11114,6797,7326,3577,5027,9395,15477,13508,10841,10860,10767,11784,11650,3908,5933,3168,3592,5443,4232,3803,3850,136062,68097,3911,3671,2727,1914,2309,6882,6167,4668,7857,8700,8606,5916,3193,1576,67965,3714,3319,2612,1756,2704,6108,5168,4368,7131,8277,8950,6325,5082,2451,205848,94380,8266,7961,8206,4590,3650,9398,7806,6930,11021,10852,9422,4226,1476,576,111468,7742,8535,8054,4833,4376,11043,9336,8559,13798,13607,11882,5523,2803,1377,866,495,0,45,0,6,0,29,46,29,93,173,60,10,4,0,371,9,0,0,7,0,90,0,108,9,80,25,37,0,6,4715,2004,161,130,117,54,72,203,223,142,428,141,170,83,72,8,2711,99,180,128,15,145,381,312,148,414,238,361,192,82,16,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,3,22,0,0,0,4,0,0,0,3889,2254,309,106,158,16,38,238,405,339,292,152,131,44,26,0,1635,268,110,58,25,22,194,422,106,192,66,141,10,21,0,6262,3308,901,456,318,114,135,377,154,179,246,163,135,76,35,19,2954,638,467,262,161,79,180,217,219,157,283,128,116,47,0,126832,62931,3376,3409,2553,1694,2103,6142,5510,3985,7267,8029,8289,5857,3175,1542,63901,3283,2816,2457,1631,2412,5596,4747,3920,6652,7928,8756,6287,5019,2397,13922,7595,702,437,386,242,249,1028,1050,1033,897,888,461,109,79,34,6327,744,669,327,214,315,813,720,668,761,462,369,69,108,88,32.4,31.0,33.6,38.6,36.8,40.8,29.7,28.0,31.0,37.7,43.9,33.6,31.8,30.7,33.6,27.5,.,27.5,27.9,28.4,27.0,15.6,14.4,16.4,40.2,37.8,42.5,27.5,28.5,25.7,357671
40,MS,28,,,,,040C2US28,Mississippi -- In metropolitan statistical area -- not in principal city,1001642,488568,32574,36973,37178,22560,12997,7236,6710,18495,30507,33318,31440,34685,33551,34484,31494,10881,16185,9511,11763,15413,10484,5694,4435,513074,31684,32610,37502,21393,11816,6668,6086,18023,32834,34651,34474,34942,35098,37441,33509,12633,17978,10881,13831,17676,12716,9488,9140,684445,336545,20743,23357,23006,13904,7643,19699,19942,22323,44845,49933,44225,29749,13542,3634,347900,19539,20527,23478,13445,6853,19083,20971,22132,45114,50597,47210,33624,17742,7585,275077,130890,10119,11015,12203,7577,4789,10754,8927,8995,17851,16048,13097,6348,2409,758,144187,9860,10011,11942,6938,4411,10378,10418,11005,21364,19205,15116,7958,4075,1506,1900,909,0,6,60,49,6,59,62,118,143,189,142,51,24,0,991,46,77,76,75,89,44,58,55,136,184,94,57,0,0,15232,7020,175,737,721,366,190,777,511,630,1016,1017,541,249,85,5,8212,280,436,644,341,256,590,493,792,1472,1362,967,409,154,16,119,35,0,0,0,0,0,0,0,0,5,3,9,18,0,0,84,0,0,0,0,0,0,0,0,0,11,41,10,22,0,10584,6044,455,451,243,222,123,748,861,802,1503,383,146,47,44,16,4540,562,375,411,308,74,319,620,368,802,424,127,102,48,0,14285,7125,1082,1407,945,442,246,404,204,450,762,462,400,225,74,22,7160,1397,1184,951,286,133,363,274,299,528,756,565,228,163,33,664091,325442,19714,22013,21745,13334,7418,18894,19029,21253,42982,48953,43715,29382,13433,3577,338649,18537,19309,22419,12871,6671,18434,20454,21321,43680,49860,46710,33254,17570,7559,33620,18689,1671,2066,1761,853,423,1580,1804,1993,3757,1429,615,502,178,57,14931,1696,1858,1499,903,326,953,1257,1225,2393,1317,742,489,230,43,37.2,35.9,38.4,40.4,39.3,41.3,32.4,30.0,33.8,36.1,43.1,33.9,33.7,30.3,36.0,62.0,71.1,61.8,28.0,29.4,25.8,15.9,16.1,15.6,40.9,40.0,41.8,26.6,27.7,25.5,1001642
40,MS,28,,,,,040E0US28,Mississippi -- In micropolitan statistical area,959625,464976,32151,33504,32855,19610,16341,8219,9998,22342,30370,29738,26539,28721,28153,30969,30729,10882,15346,9732,11291,15359,10288,7118,4721,494649,30792,32773,30875,18684,17341,9910,9488,19314,30028,30703,27556,30380,30588,33777,33707,11905,17471,10215,13142,19109,14212,11176,11503,544086,268918,15901,16745,15961,9567,8489,22626,16520,16354,32398,35742,35713,26058,13194,3650,275168,14522,15208,15350,9220,9446,19741,15403,15818,31135,36155,37655,29151,18129,8235,390430,183160,15024,15694,15856,9447,7383,16449,12756,12240,20932,22090,20258,9906,4090,1035,207270,14661,16266,14496,9056,7566,17827,13791,14103,25394,26775,24360,12798,6995,3182,1854,644,31,124,0,37,46,35,30,33,132,96,51,29,0,0,1210,31,110,27,32,25,194,96,101,92,196,176,95,35,0,7050,3525,190,183,122,81,75,691,344,319,518,353,431,132,79,7,3525,233,138,197,62,81,365,227,410,574,542,346,225,80,45,94,15,0,0,0,0,5,0,0,0,10,0,0,0,0,0,79,0,12,0,18,0,0,24,0,25,0,0,0,0,0,7223,4606,473,376,246,173,248,402,435,552,952,551,142,56,0,0,2617,368,207,144,98,130,221,285,215,433,259,206,51,0,0,8888,4108,532,382,670,305,95,356,285,240,318,290,362,201,43,29,4780,977,832,661,198,93,364,202,56,283,438,340,146,149,41,531003,261415,15117,15725,15533,9336,8233,21852,15865,15542,31149,35109,35252,25903,13171,3628,269588,13765,14584,14889,8872,9160,19390,15032,15294,30503,35511,37355,28961,18064,8208,21923,12955,1332,1406,829,405,574,1258,1128,1422,2238,1308,751,218,35,51,8968,1167,1037,647,485,422,673,683,824,1099,974,578,273,65,41,36.2,34.5,38.1,40.7,38.8,42.6,31.7,29.6,33.6,33.8,32.3,34.5,33.7,31.3,35.3,28.4,.,28.2,28.1,29.4,26.0,17.3,22.6,14.2,41.2,39.5,43.0,26.9,27.9,25.5,959625
40,MS,28,,,,,040E1US28,Mississippi -- In micropolitan statistical area -- in principal city,355140,167106,12576,12444,12048,7669,5387,2992,4760,9429,12179,11518,8863,9080,8791,10577,10158,3646,5121,3445,3623,4751,3289,2515,2245,188034,13226,12705,10931,6475,5580,3895,4400,9132,12497,11751,10355,11105,10789,12835,12294,4228,6270,3601,4336,6621,5046,4511,5451,145505,70823,3665,3514,3286,2103,1875,8612,5311,4812,7368,8301,8910,7113,4140,1813,74682,3573,3298,2882,1997,2177,7754,4348,3861,6987,9209,10286,8296,6242,3772,198800,91013,8472,8570,8373,5331,3342,7999,6409,6127,9712,10690,9452,4542,1591,403,107787,8880,8931,7507,4312,3235,9145,7752,7528,13841,13742,12008,6036,3220,1650,527,173,0,13,0,6,22,14,12,20,29,22,6,29,0,0,354,0,0,6,0,0,118,11,20,14,112,64,5,4,0,4406,2368,146,146,122,57,36,353,251,207,327,210,389,67,57,0,2038,105,90,192,16,16,89,182,218,365,372,198,134,51,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2227,1162,65,54,36,44,65,141,60,295,282,90,13,17,0,0,1065,151,43,87,71,110,129,67,109,109,73,74,42,0,0,3675,1567,228,147,231,128,47,62,136,57,225,55,155,51,16,29,2108,517,343,257,79,42,192,137,15,144,116,162,45,40,19,141361,68443,3379,3154,3121,2066,1840,8332,5022,4458,7086,8136,8841,7064,4140,1804,72918,3200,3123,2802,1922,2081,7625,4255,3672,6819,8961,10211,8264,6211,3772,7203,3922,424,419,272,49,153,432,370,670,585,305,129,76,0,38,3281,589,319,184,142,213,353,196,338,280,340,182,100,31,14,34.2,31.9,36.5,41.7,37.9,45.6,30.4,27.7,32.8,43.1,33.8,46.0,34.4,31.4,40.4,.,.,.,28.1,32.4,23.4,16.8,20.4,14.2,42.6,39.4,46.3,25.4,28.1,23.2,355140
40,MS,28,,,,,040E2US28,Mississippi -- In micropolitan statistical area -- not in principal city,604485,297870,19575,21060,20807,11941,10954,5227,5238,12913,18191,18220,17676,19641,19362,20392,20571,7236,10225,6287,7668,10608,6999,4603,2476,306615,17566,20068,19944,12209,11761,6015,5088,10182,17531,18952,17201,19275,19799,20942,21413,7677,11201,6614,8806,12488,9166,6665,6052,398581,198095,12236,13231,12675,7464,6614,14014,11209,11542,25030,27441,26803,18945,9054,1837,200486,10949,11910,12468,7223,7269,11987,11055,11957,24148,26946,27369,20855,11887,4463,191630,92147,6552,7124,7483,4116,4041,8450,6347,6113,11220,11400,10806,5364,2499,632,99483,5781,7335,6989,4744,4331,8682,6039,6575,11553,13033,12352,6762,3775,1532,1327,471,31,111,0,31,24,21,18,13,103,74,45,0,0,0,856,31,110,21,32,25,76,85,81,78,84,112,90,31,0,2644,1157,44,37,0,24,39,338,93,112,191,143,42,65,22,7,1487,128,48,5,46,65,276,45,192,209,170,148,91,29,35,94,15,0,0,0,0,5,0,0,0,10,0,0,0,0,0,79,0,12,0,18,0,0,24,0,25,0,0,0,0,0,4996,3444,408,322,210,129,183,261,375,257,670,461,129,39,0,0,1552,217,164,57,27,20,92,218,106,324,186,132,9,0,0,5213,2541,304,235,439,177,48,294,149,183,93,235,207,150,27,0,2672,460,489,404,119,51,172,65,41,139,322,178,101,109,22,389642,192972,11738,12571,12412,7270,6393,13520,10843,11084,24063,26973,26411,18839,9031,1824,196670,10565,11461,12087,6950,7079,11765,10777,11622,23684,26550,27144,20697,11853,4436,14720,9033,908,987,557,356,421,826,758,752,1653,1003,622,142,35,13,5687,578,718,463,343,209,320,487,486,819,634,396,173,34,27,37.6,36.3,38.9,40.4,39.0,41.7,33.1,31.7,34.5,31.7,29.0,32.0,33.3,30.3,34.0,28.4,.,28.2,28.1,28.0,29.3,17.8,23.0,14.3,40.8,39.6,42.2,27.7,27.9,27.1,604485
