SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,MT,30,,,,,04000US30,Montana,1014699,510163,31021,33641,30960,19558,14479,8335,8161,21419,32300,33167,29772,28538,30820,36761,38291,14706,20600,12534,15252,19708,13344,9435,7361,504536,29676,31763,29710,18061,12798,7397,7119,20153,30805,30964,28999,27311,30608,37476,40028,15028,19993,12262,14785,19938,14751,11392,13519,904977,455369,25273,27349,25990,16685,12383,32675,28072,29167,52436,61557,69198,45449,21920,7215,449608,24494,26098,24176,15375,10834,29673,26831,27239,50192,62071,69900,44466,25108,13151,4757,3326,139,195,268,247,58,460,345,521,286,512,227,53,15,0,1431,80,153,176,3,128,161,104,83,186,219,77,24,25,12,65693,32959,3667,3580,2859,1592,1069,3135,2475,2362,3480,3743,2925,1461,545,66,32734,3074,3159,3100,1535,1023,2993,2513,2130,3723,3851,3012,1679,740,202,7187,2985,106,161,136,185,359,282,287,211,442,285,300,178,39,14,4202,73,209,334,206,128,538,390,344,651,460,506,226,64,73,848,495,111,32,12,0,7,82,0,79,88,6,34,12,0,32,353,9,27,0,0,34,0,158,84,12,0,19,6,4,0,5460,2623,223,163,148,101,26,255,205,309,537,396,140,44,62,14,2837,206,281,357,176,99,283,154,226,252,319,297,135,28,24,25777,12406,1502,2161,1547,748,577,1026,916,518,1041,1082,773,297,198,20,13371,1740,1836,1567,766,552,1021,655,858,1294,1164,1238,449,174,57,882585,443665,24074,26164,24740,16034,11708,31495,27176,28154,51268,60444,68384,45058,21793,7173,438920,23554,24902,23227,14922,10299,28568,25962,26532,48994,60970,68954,44141,24869,13026,33622,17067,1909,1921,1556,941,914,1644,1362,1521,1888,1556,1054,501,212,88,16555,1653,1922,1760,808,795,1620,1206,1186,1633,1589,1376,544,290,173,39.7,38.6,40.9,41.7,40.6,43.0,29.1,29.7,26.8,26.7,25.8,27.5,32.2,29.0,33.2,29.1,31.5,29.0,30.8,33.3,25.5,19.8,18.7,21.1,42.3,41.1,43.5,24.0,23.9,24.1,1014699
40,MT,30,,,,,04001US30,Montana -- Urban,571981,284315,19080,18981,16816,10154,8892,5675,5843,15498,22174,21405,18055,16358,15848,18362,18757,6586,9427,5517,6819,8605,6418,4808,4237,287666,17272,18089,16173,9364,8186,5614,5316,14294,20944,19507,17632,15362,16297,19374,19930,7521,9739,5646,7405,10154,7889,6855,9103,512821,254884,15754,15707,14203,8768,7805,23637,19824,18959,31067,31224,32823,20157,10793,4163,257937,14491,15098,13103,8203,7025,22141,18595,17308,29569,32487,34635,22080,14297,8905,3710,2626,106,131,160,174,53,388,245,511,236,437,150,20,15,0,1084,60,65,119,0,93,147,76,70,186,185,44,18,21,0,30134,15044,1947,1597,1273,641,471,1634,1199,1182,1639,1618,1122,490,204,27,15090,1229,1441,1409,590,458,1477,1317,1156,1836,1833,1278,687,300,79,5140,2338,76,80,115,132,202,252,247,201,430,242,196,120,31,14,2802,36,87,219,54,75,420,314,269,442,362,276,148,47,53,448,271,88,10,12,0,7,63,0,7,34,0,6,12,0,32,177,0,10,0,0,34,0,91,31,0,0,11,0,0,0,3712,1739,197,137,113,46,3,194,79,210,413,177,87,26,57,0,1973,198,208,281,141,76,217,125,134,114,141,195,110,9,24,16016,7413,912,1319,940,393,351,848,580,335,594,512,386,116,126,1,8603,1258,1180,1042,376,425,822,426,539,847,663,751,162,70,42,497425,246568,14862,14883,13302,8365,7359,22710,19089,18129,30201,30553,32332,19919,10722,4142,250857,13915,14299,12516,7948,6702,21180,17870,16811,28795,31756,34117,21920,14175,8853,22943,11790,1440,1404,1110,556,539,1210,949,1205,1421,861,637,277,128,53,11153,1162,1332,1173,517,548,1327,1013,807,993,964,782,305,142,88,35.8,34.4,37.3,37.2,35.8,38.9,30.5,30.8,28.7,26.6,24.9,28.0,32.8,31.9,33.6,26.0,21.0,27.5,25.6,31.9,21.4,19.4,18.7,20.1,37.7,36.3,39.5,23.5,23.6,23.4,571981
40,MT,30,,,,,04043US30,Montana -- Rural,442718,225848,11941,14660,14144,9404,5587,2660,2318,5921,10126,11762,11717,12180,14972,18399,19534,8120,11173,7017,8433,11103,6926,4627,3124,216870,12404,13674,13537,8697,4612,1783,1803,5859,9861,11457,11367,11949,14311,18102,20098,7507,10254,6616,7380,9784,6862,4537,4416,392156,200485,9519,11642,11787,7917,4578,9038,8248,10208,21369,30333,36375,25292,11127,3052,191671,10003,11000,11073,7172,3809,7532,8236,9931,20623,29584,35265,22386,10811,4246,1047,700,33,64,108,73,5,72,100,10,50,75,77,33,0,0,347,20,88,57,3,35,14,28,13,0,34,33,6,4,12,35559,17915,1720,1983,1586,951,598,1501,1276,1180,1841,2125,1803,971,341,39,17644,1845,1718,1691,945,565,1516,1196,974,1887,2018,1734,992,440,123,2047,647,30,81,21,53,157,30,40,10,12,43,104,58,8,0,1400,37,122,115,152,53,118,76,75,209,98,230,78,17,20,400,224,23,22,0,0,0,19,0,72,54,6,28,0,0,0,176,9,17,0,0,0,0,67,53,12,0,8,6,4,0,1748,884,26,26,35,55,23,61,126,99,124,219,53,18,5,14,864,8,73,76,35,23,66,29,92,138,178,102,25,19,0,9761,4993,590,842,607,355,226,178,336,183,447,570,387,181,72,19,4768,482,656,525,390,127,199,229,319,447,501,487,287,104,15,385160,197097,9212,11281,11438,7669,4349,8785,8087,10025,21067,29891,36052,25139,11071,3031,188063,9639,10603,10711,6974,3597,7388,8092,9721,20199,29214,34837,22221,10694,4173,10679,5277,469,517,446,385,375,434,413,316,467,695,417,224,84,35,5402,491,590,587,291,247,293,193,379,640,625,594,239,148,85,45.4,45.2,45.5,47.5,47.3,47.6,22.8,24.0,18.2,26.9,26.9,26.9,27.8,19.8,31.7,33.0,33.7,29.9,35.5,34.8,37.1,20.8,18.8,25.1,47.7,47.6,47.9,26.6,25.1,30.1,442718
40,MT,30,,,,,040A0US30,Montana -- In metropolitan or micropolitan statistical area,658836,330084,20210,21355,20032,12099,9704,6127,6049,15492,23124,23364,20065,19286,19942,23168,24103,8714,12270,7564,8778,11337,7593,5414,4294,328752,19156,20195,19012,11335,8806,5685,5424,14724,22000,21784,20119,17808,20017,23928,25341,9109,12375,7336,8794,12008,8427,6887,8482,609903,305574,17712,18554,17840,10937,8637,25081,21195,21341,36524,40589,43361,26881,12685,4237,304329,17004,17944,16264,10202,7791,23285,20178,19927,35073,41436,44717,27089,15044,8375,3794,2694,132,112,170,235,46,372,235,448,286,424,182,41,11,0,1100,66,109,134,0,119,100,66,73,186,172,53,0,22,0,18281,9206,1050,952,775,367,277,885,730,809,1027,1084,726,386,127,11,9075,602,634,928,417,321,965,942,673,1177,1118,637,491,146,24,5660,2443,74,148,107,130,275,257,269,201,367,194,230,169,13,9,3217,63,153,220,131,80,456,367,283,442,368,388,193,46,27,397,271,35,32,12,0,0,65,0,7,60,6,10,12,0,32,126,0,27,0,0,34,0,2,29,12,0,12,6,4,0,3970,1939,214,143,126,55,19,173,114,226,400,277,107,32,53,0,2031,198,175,274,141,99,229,120,150,129,186,194,115,9,12,16831,7957,993,1414,1002,375,450,835,581,332,687,536,471,158,118,5,8874,1223,1153,1192,444,362,798,325,649,908,665,824,244,43,44,594152,297334,16911,17740,17005,10486,8190,24249,20425,20524,35771,39755,42821,26620,12625,4212,296818,16258,17098,15746,9909,7464,22282,19529,19444,34219,40660,44084,26916,14905,8304,23625,12011,1337,1429,1074,589,598,1139,1052,1146,1289,1141,709,338,113,57,11614,1283,1267,1087,568,563,1417,874,890,1118,1073,900,320,159,95,37.8,36.7,38.9,39.0,37.8,40.3,30.0,30.7,28.2,27.6,27.0,27.9,31.4,28.9,32.8,24.6,24.5,29.0,27.7,33.1,22.1,19.4,18.8,20.4,39.6,38.4,40.8,24.0,24.3,23.8,658836
40,MT,30,,,,,040C0US30,Montana -- In metropolitan statistical area,358772,178404,11126,12014,10604,6519,4844,2889,3188,8782,13472,12900,10799,10467,10479,12423,12634,4430,6427,4116,4680,5875,4016,3144,2576,180368,10783,11205,10479,6055,4647,3018,3241,8218,12819,12038,10884,9644,10854,12812,12964,4879,6689,3984,5036,6479,4528,4254,4858,326047,162401,9456,9929,9154,5797,4381,13356,11910,11550,19393,21382,22477,14118,6974,2524,163646,9040,9460,8719,5321,4050,12762,11499,10711,18642,22048,23266,14708,8605,4815,2603,1785,96,91,97,157,46,319,196,228,178,248,98,20,11,0,818,51,62,109,0,40,78,39,58,154,152,53,0,22,0,13458,6605,930,648,512,257,142,651,558,651,696,695,500,291,63,11,6853,583,576,716,247,223,721,801,530,884,735,366,407,64,0,3317,1455,54,75,79,89,110,111,202,114,253,133,99,114,13,9,1862,11,140,129,90,61,324,125,174,239,191,184,124,43,27,297,200,35,22,12,0,0,17,0,0,60,0,10,12,0,32,97,0,17,0,0,29,0,2,21,12,0,12,0,4,0,2503,1233,82,137,120,40,19,67,98,174,250,128,59,11,48,0,1270,147,51,127,70,67,123,89,145,59,135,121,115,9,12,10547,4725,473,1112,630,179,146,338,508,183,436,316,248,105,51,0,5822,951,899,679,327,177,469,264,399,538,405,530,145,35,4,316429,157275,8954,9507,8687,5507,4086,12867,11300,10963,18845,20983,22150,13948,6954,2524,159154,8600,8932,8312,5134,3837,12230,11042,10483,18080,21628,22939,14601,8546,4790,14810,7583,823,978,669,357,332,588,835,821,889,534,438,219,68,32,7227,907,764,739,359,384,808,620,474,707,637,451,249,79,49,37.3,36.2,38.4,38.9,37.6,40.3,29.0,26.8,32.3,26.8,26.7,26.9,31.4,31.0,32.0,34.5,42.2,33.1,30.4,31.4,28.4,18.1,17.5,18.5,39.6,38.3,41.0,24.0,25.2,23.3,358772
40,MT,30,,,,,040C1US30,Montana -- In metropolitan statistical area -- in principal city,236887,116115,7430,7789,6509,3979,3559,1961,2346,6419,9831,9087,7292,7043,6629,7620,7606,2424,3704,2171,2696,3545,2564,2008,1903,120772,7208,7250,6529,3725,3608,2485,2456,6487,9459,8127,7044,6102,7185,8118,7893,2855,4009,2598,3176,4213,3171,3222,3852,212533,104282,6121,6366,5336,3563,3193,9524,8732,8096,12879,13104,12981,8053,4482,1852,108251,5865,6066,5251,3258,3095,9999,8485,7037,11735,14141,13837,9418,6255,3809,1984,1382,81,42,71,137,37,245,159,190,65,237,87,20,11,0,602,29,41,48,0,31,48,24,16,154,146,44,0,21,0,9760,4725,694,375,436,94,115,522,408,439,545,465,416,173,33,10,5035,422,362,567,200,199,641,526,473,573,573,194,259,46,0,2653,1237,43,70,59,59,87,95,188,101,248,125,56,86,11,9,1416,0,138,100,1,29,229,109,173,220,93,144,114,39,27,172,125,12,0,12,0,0,17,0,0,34,0,6,12,0,32,47,0,0,0,0,22,0,0,14,0,0,11,0,0,0,1855,833,73,53,113,31,3,57,47,133,187,101,24,11,0,0,1022,121,27,127,70,57,111,73,95,43,49,118,110,9,12,7930,3531,406,883,482,95,124,266,297,128,377,217,164,57,35,0,4399,771,616,436,196,175,400,242,319,421,301,409,86,23,4,205318,100332,5825,6014,4996,3351,2949,9102,8185,7569,12406,12905,12753,7956,4469,1852,104986,5545,5756,4925,3104,2930,9578,8187,6858,11317,13844,13584,9346,6228,3784,11151,5672,515,783,517,256,265,467,684,688,731,298,304,119,13,32,5479,731,465,638,309,324,667,445,362,508,366,359,209,47,49,35.7,34.4,37.2,37.3,35.8,39.0,30.0,27.0,43.2,26.5,26.9,26.3,32.5,31.3,33.1,43.0,43.5,34.1,28.4,31.4,25.0,18.5,15.0,20.3,38.1,36.5,39.6,23.8,25.2,22.6,236887
40,MT,30,,,,,040C2US30,Montana -- In metropolitan statistical area -- not in principal city,121885,62289,3696,4225,4095,2540,1285,928,842,2363,3641,3813,3507,3424,3850,4803,5028,2006,2723,1945,1984,2330,1452,1136,673,59596,3575,3955,3950,2330,1039,533,785,1731,3360,3911,3840,3542,3669,4694,5071,2024,2680,1386,1860,2266,1357,1032,1006,113514,58119,3335,3563,3818,2234,1188,3832,3178,3454,6514,8278,9496,6065,2492,672,55395,3175,3394,3468,2063,955,2763,3014,3674,6907,7907,9429,5290,2350,1006,619,403,15,49,26,20,9,74,37,38,113,11,11,0,0,0,216,22,21,61,0,9,30,15,42,0,6,9,0,1,0,3698,1880,236,273,76,163,27,129,150,212,151,230,84,118,30,1,1818,161,214,149,47,24,80,275,57,311,162,172,148,18,0,664,218,11,5,20,30,23,16,14,13,5,8,43,28,2,0,446,11,2,29,89,32,95,16,1,19,98,40,10,4,0,125,75,23,22,0,0,0,0,0,0,26,0,4,0,0,0,50,0,17,0,0,7,0,2,7,12,0,1,0,4,0,648,400,9,84,7,9,16,10,51,41,63,27,35,0,48,0,248,26,24,0,0,10,12,16,50,16,86,3,5,0,0,2617,1194,67,229,148,84,22,72,211,55,59,99,84,48,16,0,1423,180,283,243,131,2,69,22,80,117,104,121,59,12,0,111111,56943,3129,3493,3691,2156,1137,3765,3115,3394,6439,8078,9397,5992,2485,672,54168,3055,3176,3387,2030,907,2652,2855,3625,6763,7784,9355,5255,2318,1006,3659,1911,308,195,152,101,67,121,151,133,158,236,134,100,55,0,1748,176,299,101,50,60,141,175,112,199,271,92,40,32,0,40.7,40.3,41.2,42.1,41.7,42.4,21.9,26.3,19.4,28.1,26.2,28.8,23.3,27.2,23.2,19.1,9.1,27.5,33.7,31.6,34.2,17.2,22.9,15.7,42.5,42.0,42.9,25.6,25.2,26.3,121885
40,MT,30,,,,,040E0US30,Montana -- In micropolitan statistical area,300064,151680,9084,9341,9428,5580,4860,3238,2861,6710,9652,10464,9266,8819,9463,10745,11469,4284,5843,3448,4098,5462,3577,2270,1718,148384,8373,8990,8533,5280,4159,2667,2183,6506,9181,9746,9235,8164,9163,11116,12377,4230,5686,3352,3758,5529,3899,2633,3624,283856,143173,8256,8625,8686,5140,4256,11725,9285,9791,17131,19207,20884,12763,5711,1713,140683,7964,8484,7545,4881,3741,10523,8679,9216,16431,19388,21451,12381,6439,3560,1191,909,36,21,73,78,0,53,39,220,108,176,84,21,0,0,282,15,47,25,0,79,22,27,15,32,20,0,0,0,0,4823,2601,120,304,263,110,135,234,172,158,331,389,226,95,64,0,2222,19,58,212,170,98,244,141,143,293,383,271,84,82,24,2343,988,20,73,28,41,165,146,67,87,114,61,131,55,0,0,1355,52,13,91,41,19,132,242,109,203,177,204,69,3,0,100,71,0,10,0,0,0,48,0,7,0,6,0,0,0,0,29,0,10,0,0,5,0,0,8,0,0,0,6,0,0,1467,706,132,6,6,15,0,106,16,52,150,149,48,21,5,0,761,51,124,147,71,32,106,31,5,70,51,73,0,0,0,6284,3232,520,302,372,196,304,497,73,149,251,220,223,53,67,5,3052,272,254,513,117,185,329,61,250,370,260,294,99,8,40,277723,140059,7957,8233,8318,4979,4104,11382,9125,9561,16926,18772,20671,12672,5671,1688,137664,7658,8166,7434,4775,3627,10052,8487,8961,16139,19032,21145,12315,6359,3514,8815,4428,514,451,405,232,266,551,217,325,400,607,271,119,45,25,4387,376,503,348,209,179,609,254,416,411,436,449,71,80,46,38.4,37.3,39.5,39.2,38.1,40.3,32.3,33.0,18.7,32.6,29.4,35.6,31.3,26.4,33.8,23.0,23.1,19.9,21.9,36.4,17.8,20.5,19.4,21.4,39.5,38.5,40.6,23.9,23.0,24.8,300064
40,MT,30,,,,,040E1US30,Montana -- In micropolitan statistical area -- in principal city,124732,62881,4085,3321,3293,1688,3012,1988,1687,4458,5295,5125,4440,3082,2982,3693,3874,1356,2175,1041,1183,2084,1289,914,816,61851,3194,3381,2750,1628,2579,1600,1413,3997,4466,4430,3891,3066,3384,3965,4401,1628,2003,1148,1242,2245,1767,1463,2210,116843,58541,3838,2967,2885,1598,2657,7397,5060,4586,6949,6317,7076,4234,2161,816,58302,2958,3171,2384,1523,2344,6643,4168,4155,6425,6967,7716,4493,3201,2154,740,568,10,8,16,0,0,53,33,220,84,103,41,0,0,0,172,12,21,15,0,51,21,0,15,32,5,0,0,0,0,2374,1398,80,137,164,59,95,191,86,108,186,142,110,13,27,0,976,8,24,77,27,29,90,92,92,202,131,100,61,22,21,1672,826,20,39,28,8,144,129,59,87,110,61,119,22,0,0,846,36,7,45,29,14,132,160,89,112,92,74,56,0,0,61,46,0,10,0,0,0,29,0,7,0,0,0,0,0,0,15,0,10,0,0,5,0,0,0,0,0,0,0,0,0,443,191,0,0,0,0,0,0,16,35,93,8,24,15,0,0,252,51,67,24,0,19,28,11,0,12,5,35,0,0,0,2599,1311,137,160,200,23,116,334,41,82,100,44,35,24,15,0,1288,129,81,205,49,117,96,35,79,174,149,107,25,7,35,113875,56940,3728,2795,2682,1527,2534,7177,4970,4418,6843,6150,6958,4194,2148,816,56935,2906,3019,2350,1503,2284,6311,4065,4071,6290,6796,7558,4480,3148,2154,3978,2148,168,211,221,92,161,273,144,256,226,186,142,55,13,0,1830,103,241,85,40,112,376,122,129,143,181,232,13,53,0,34.4,32.5,36.6,35.0,33.0,37.3,32.7,33.2,18.8,30.6,22.7,38.4,29.9,29.3,30.0,22.4,22.9,.,34.2,36.8,13.3,21.3,21.1,23.1,35.3,33.3,37.5,24.3,23.8,24.5,124732
40,MT,30,,,,,040E2US30,Montana -- In micropolitan statistical area -- not in principal city,175332,88799,4999,6020,6135,3892,1848,1250,1174,2252,4357,5339,4826,5737,6481,7052,7595,2928,3668,2407,2915,3378,2288,1356,902,86533,5179,5609,5783,3652,1580,1067,770,2509,4715,5316,5344,5098,5779,7151,7976,2602,3683,2204,2516,3284,2132,1170,1414,167013,84632,4418,5658,5801,3542,1599,4328,4225,5205,10182,12890,13808,8529,3550,897,82381,5006,5313,5161,3358,1397,3880,4511,5061,10006,12421,13735,7888,3238,1406,451,341,26,13,57,78,0,0,6,0,24,73,43,21,0,0,110,3,26,10,0,28,1,27,0,0,15,0,0,0,0,2449,1203,40,167,99,51,40,43,86,50,145,247,116,82,37,0,1246,11,34,135,143,69,154,49,51,91,252,171,23,60,3,671,162,0,34,0,33,21,17,8,0,4,0,12,33,0,0,509,16,6,46,12,5,0,82,20,91,85,130,13,3,0,39,25,0,0,0,0,0,19,0,0,0,6,0,0,0,0,14,0,0,0,0,0,0,0,8,0,0,0,6,0,0,1024,515,132,6,6,15,0,106,0,17,57,141,24,6,5,0,509,0,57,123,71,13,78,20,5,58,46,38,0,0,0,3685,1921,383,142,172,173,188,163,32,67,151,176,188,29,52,5,1764,143,173,308,68,68,233,26,171,196,111,187,74,1,5,163848,83119,4229,5438,5636,3452,1570,4205,4155,5143,10083,12622,13713,8478,3523,872,80729,4752,5147,5084,3272,1343,3741,4422,4890,9849,12236,13587,7835,3211,1360,4837,2280,346,240,184,140,105,278,73,69,174,421,129,64,32,25,2557,273,262,263,169,67,233,132,287,268,255,217,58,27,46,41.8,41.8,41.7,42.5,42.5,42.5,18.4,16.8,18.6,35.1,40.1,31.7,40.3,18.7,43.3,30.3,24.2,34.8,21.6,21.9,19.3,20.2,18.8,20.9,42.9,42.9,42.8,23.3,21.6,26.1,175332
