SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NC,37,,,,,04000US37,North Carolina,9845333,4795408,311288,325977,333622,194507,141360,79887,78259,207910,317709,311582,308195,334818,331086,334674,308840,114455,156053,99246,126751,154010,106165,68871,50143,5049925,299882,316564,316123,185872,133285,70899,71320,196277,324593,323483,319405,349484,345940,355791,341170,124702,179129,111725,142796,186677,139937,104839,110032,6839831,3359517,190971,202998,212847,124591,88605,239088,214950,208929,448228,488009,440666,308901,147523,43211,3480314,183025,195838,198032,117652,83174,216331,213151,212360,448237,498380,477005,348951,197607,90571,2115338,990851,70729,75749,78994,47703,36520,88106,67937,63302,126765,134597,112443,58714,23214,6078,1124487,68162,73239,75360,46461,35245,88402,77110,75118,153057,159621,137059,77344,40815,17494,116143,56605,3785,4139,4685,2879,1866,4529,3679,3956,7953,7733,6241,3698,1255,207,59538,3511,4064,4026,2473,1715,4860,4040,4056,8726,7530,7721,4375,1852,589,244076,116369,8263,8330,8432,4295,3512,9162,10491,11730,22065,14321,8972,4803,1655,338,127707,7782,8711,9144,4822,3921,8494,11451,13238,23043,16162,11851,5985,2505,598,6244,2834,337,114,183,15,39,412,525,282,339,295,113,69,83,28,3410,220,352,287,111,148,243,334,206,536,569,266,96,12,30,292310,156038,16578,16650,14752,7454,5802,14680,13243,17166,28252,13761,5781,1494,361,64,136272,16182,17234,14901,6949,4521,10801,11249,12554,23827,11089,4550,1549,650,216,231391,113194,20625,17997,13729,7570,5016,10079,6884,6217,9411,7044,5132,2328,945,217,118197,21000,17126,14373,7404,4561,9365,7258,5951,11463,8380,6549,2898,1335,534,6324373,3089239,159594,172379,186562,111353,79738,215381,192417,185127,403578,462271,428805,303762,145538,42734,3235134,152270,165605,174518,105822,75313,197335,194385,190368,410440,475791,465579,343404,194697,89607,869908,458569,53611,51788,44708,22176,15865,41448,38550,43483,75892,41990,18924,7098,2494,542,411339,52867,51388,41204,20338,13374,32516,32417,36955,64465,35800,17198,7773,3768,1276,38.0,36.5,39.5,41.0,39.6,42.4,34.6,32.3,36.5,34.9,33.7,36.1,33.1,32.5,33.7,28.0,27.6,30.2,24.9,25.7,23.9,17.1,16.6,17.6,42.6,41.3,43.9,24.5,25.0,24.0,9845333
40,NC,37,,,,,04001US37,North Carolina -- Urban,6559050,3159937,222493,225205,221734,126125,100885,56911,57216,148503,229817,221787,209282,222554,211805,205585,184736,68647,92227,56850,72924,87241,62862,41504,33044,3399113,214340,218079,211317,123584,98795,51664,53575,144505,240935,235109,222758,236439,226996,223285,212207,77361,109524,67607,86470,113698,86674,68050,76141,4267424,2079400,125980,129373,129677,73735,60365,164047,148806,141827,283372,288987,248928,169558,86310,28435,2188024,121387,123879,121078,71399,58318,149094,148307,144909,284549,297164,278423,203621,122903,62993,1639690,756716,59199,61986,62400,37047,28519,69924,53687,50033,97739,98387,78873,39406,15456,4060,882974,56492,59286,59698,36960,28960,74482,65313,62650,124235,121453,99598,54161,27752,11934,40810,19493,1352,1283,1602,1026,739,1344,1526,1620,2962,2651,1883,1074,377,54,21317,1350,1363,1143,775,711,2271,1550,1444,3296,2500,2646,1544,451,273,222038,106502,7456,7485,7685,3778,3279,8222,9987,10952,20474,12990,8173,4304,1426,291,115536,7208,7932,8331,4180,3658,7842,10666,12173,20858,14366,10327,5320,2148,527,5174,2392,323,62,136,2,39,383,511,225,259,166,108,67,83,28,2782,200,250,263,76,135,210,286,181,390,428,256,95,12,0,214645,113167,12422,12155,10466,5175,4212,10609,10059,12734,20098,9486,4198,1268,236,49,101478,11644,13170,10375,4926,3312,8505,8965,9141,17703,8376,3437,1175,586,163,169269,82267,15761,12861,9768,5362,3732,8101,5241,4396,6932,4723,3447,1338,478,127,87002,16059,12199,10429,5268,3701,7340,5848,4611,8166,5994,4405,1859,872,251,3869114,1871854,101411,106525,110110,64055,53583,145074,130516,122841,249422,269550,240177,165835,84749,28006,1997260,96865,101106,103809,62403,52079,134000,133008,126904,255260,279854,269700,199420,120626,62226,659701,345043,41352,38577,32746,16043,11752,31861,30489,33393,56332,30823,13923,5391,1896,465,314658,40556,38779,29616,15075,10332,25791,25977,29164,48985,27329,13075,5986,2990,1003,35.8,34.3,37.3,39.1,37.4,40.7,32.9,30.5,34.8,34.2,33.1,35.2,32.9,32.5,33.3,27.6,27.3,29.3,25.1,25.6,24.3,17.0,16.5,17.7,41.0,39.3,42.6,24.8,25.0,24.4,6559050
40,NC,37,,,,,04043US37,North Carolina -- Rural,3286283,1635471,88795,100772,111888,68382,40475,22976,21043,59407,87892,89795,98913,112264,119281,129089,124104,45808,63826,42396,53827,66769,43303,27367,17099,1650812,85542,98485,104806,62288,34490,19235,17745,51772,83658,88374,96647,113045,118944,132506,128963,47341,69605,44118,56326,72979,53263,36789,33891,2572407,1280117,64991,73625,83170,50856,28240,75041,66144,67102,164856,199022,191738,139343,61213,14776,1292290,61638,71959,76954,46253,24856,67237,64844,67451,163688,201216,198582,145330,74704,27578,475648,234135,11530,13763,16594,10656,8001,18182,14250,13269,29026,36210,33570,19308,7758,2018,241513,11670,13953,15662,9501,6285,13920,11797,12468,28822,38168,37461,23183,13063,5560,75333,37112,2433,2856,3083,1853,1127,3185,2153,2336,4991,5082,4358,2624,878,153,38221,2161,2701,2883,1698,1004,2589,2490,2612,5430,5030,5075,2831,1401,316,22038,9867,807,845,747,517,233,940,504,778,1591,1331,799,499,229,47,12171,574,779,813,642,263,652,785,1065,2185,1796,1524,665,357,71,1070,442,14,52,47,13,0,29,14,57,80,129,5,2,0,0,628,20,102,24,35,13,33,48,25,146,141,10,1,0,30,77665,42871,4156,4495,4286,2279,1590,4071,3184,4432,8154,4275,1583,226,125,15,34794,4538,4064,4526,2023,1209,2296,2284,3413,6124,2713,1113,374,64,53,62122,30927,4864,5136,3961,2208,1284,1978,1643,1821,2479,2321,1685,990,467,90,31195,4941,4927,3944,2136,860,2025,1410,1340,3297,2386,2144,1039,463,283,2455259,1217385,58183,65854,76452,47298,26155,70307,61901,62286,154156,192721,188628,137927,60789,14728,1237874,55405,64499,70709,43419,23234,63335,61377,63464,155180,195937,195879,143984,74071,27381,210207,113526,12259,13211,11962,6133,4113,9587,8061,10090,19560,11167,5001,1707,598,77,96681,12311,12609,11588,5263,3042,6725,6440,7791,15480,8471,4123,1787,778,273,42.5,41.2,43.7,44.1,43.1,45.1,41.4,38.8,43.9,35.4,34.1,36.9,35.2,33.1,38.1,35.7,31.9,38.1,24.5,26.0,22.2,17.2,16.9,17.5,45.1,44.2,46.0,23.8,24.7,22.5,3286283
40,NC,37,,,,,040A0US37,North Carolina -- In metropolitan or micropolitan statistical area,9206208,4479594,294222,307453,312601,182431,132902,75203,74618,195946,300169,293453,288844,314762,309635,311549,285165,105087,143996,90788,115481,140223,96768,62804,45494,4726614,282963,297358,297745,174115,126937,67301,67445,185869,308370,306810,302020,329887,325200,332192,316116,115590,164279,102342,130376,170687,127344,95146,100522,6407291,3146447,180853,191822,199862,116946,84015,227238,203971,197858,421981,456961,408081,282438,134955,39466,3260844,173339,184407,186029,110473,79341,205441,202937,201474,423273,467868,442217,319979,180501,83565,1956761,913768,66356,70702,73800,44546,33572,81979,63233,58443,117552,123666,101619,52416,20627,5257,1042993,63534,67888,70969,43322,33443,82930,72694,70856,144236,147928,124436,69523,36114,15120,104540,51036,3476,3675,4062,2638,1675,4158,3425,3481,7185,6981,5623,3358,1128,171,53504,3180,3544,3642,2210,1557,4469,3619,3695,7838,6837,7011,3810,1574,518,241307,115190,8203,8279,8410,4225,3477,9031,10393,11657,21854,14082,8899,4735,1638,307,126117,7722,8626,9059,4775,3872,8442,11262,13125,22851,15818,11658,5857,2484,566,6022,2665,337,114,138,15,39,403,430,279,339,283,109,68,83,28,3357,220,352,285,111,135,243,334,200,529,547,264,95,12,30,269547,142763,14911,15544,13283,6865,5327,13273,12190,15988,25615,12636,5281,1456,342,52,126784,14638,16241,13951,6316,4192,10011,10562,11700,22137,10413,4334,1489,600,200,220740,107725,20086,17317,13046,7196,4797,9685,6527,5747,9080,6575,4636,2021,799,213,113015,20330,16300,13810,6908,4397,9079,6962,5760,11043,7981,6065,2652,1205,523,5918539,2890667,150751,162775,175268,104599,75794,204615,182474,175112,379783,433091,396788,277591,133026,39000,3027872,143974,155692,164245,99179,71710,187394,184984,180415,387386,446257,431427,314745,177849,82615,817717,429464,50513,48830,41417,20657,14686,38799,36266,41084,70773,38883,17854,6778,2405,519,388253,49589,48598,38380,19042,12769,30661,30831,35137,60790,34057,16297,7400,3451,1251,37.7,36.2,39.1,40.7,39.3,42.0,34.2,31.9,36.1,34.9,33.8,35.9,33.1,32.5,33.6,29.0,27.9,30.0,25.0,25.8,24.1,16.9,16.4,17.6,42.3,40.9,43.6,24.6,25.0,24.1,9206208
40,NC,37,,,,,040C0US37,North Carolina -- In metropolitan statistical area,7639992,3715746,248305,257223,260914,151558,109660,60565,61892,166412,256368,248763,243999,265170,258090,257464,233028,84592,115694,72333,92508,109730,76095,48953,36430,3924246,238149,250407,247662,144720,104811,55447,55832,157266,264348,261979,257591,278003,271647,274978,258588,93840,132306,82397,103610,135434,99971,75811,79449,5324615,2616641,153754,161704,167674,97641,69461,190340,174515,168469,356651,380841,333032,224623,106136,31800,2707974,146635,155721,155559,92060,65052,171226,174136,171626,358144,390139,361622,255578,143531,66945,1629545,757850,56045,59403,61709,37168,27778,68267,53882,49167,99266,102351,81325,41345,16096,4048,871695,53682,57836,59080,36074,28208,70660,62536,61050,123789,123338,100451,55486,28218,11287,37099,18609,1252,1024,1467,1038,542,1635,1453,1306,2803,2728,1754,1168,391,48,18490,862,1103,1261,756,576,1843,1240,1381,2908,2251,2542,1260,337,170,228242,109413,7905,7777,7879,3904,3175,8550,10030,11131,20798,13371,8560,4478,1548,307,118829,7467,8009,8528,4508,3565,8042,10781,12504,21660,14628,11023,5435,2237,442,5378,2371,307,96,133,0,39,374,417,232,279,235,101,62,68,28,3007,206,305,214,101,120,235,314,187,480,476,257,70,12,30,229215,120319,12700,12498,11076,5754,4713,11244,10470,13423,21607,10631,4586,1267,301,49,108896,12129,13899,11789,5381,3591,8900,9226,10335,18800,9034,3775,1352,500,185,185898,90543,16342,14721,10976,6053,3952,8459,5601,5035,7765,5397,3956,1628,508,150,95355,17168,13534,11231,5840,3699,7639,6115,4896,9813,6759,5064,2260,947,390,4892594,2390264,126924,136025,145844,86821,62499,169939,155395,148236,319312,359802,323119,220397,104521,31430,2502330,120838,130544,136624,82258,58468,155241,157998,153082,326176,370736,352026,250902,141312,66125,711443,372902,44066,41726,35934,17806,12727,34004,31985,35607,61483,33703,15533,5903,2005,420,338541,42606,41819,32889,16457,11016,27046,27321,30876,53351,30182,14320,6624,2935,1099,37.1,35.7,38.5,40.1,38.7,41.4,33.7,31.4,35.5,34.7,33.6,35.9,33.0,32.5,33.4,28.4,27.7,30.1,25.2,25.9,24.3,17.2,16.6,17.9,41.8,40.5,43.1,24.8,25.0,24.5,7639992
40,NC,37,,,,,040C1US37,North Carolina -- In metropolitan statistical area -- in principal city,3110705,1485548,108608,103708,98019,54609,55011,30086,31998,84573,129339,115658,102732,101983,92636,89380,79888,29076,39082,22001,28623,33238,24469,16653,14178,1625157,104948,101620,95001,54894,55845,29853,31375,84359,137814,124965,110214,108424,100366,102486,95135,34337,46170,28619,35298,45866,35958,28451,33159,1734580,846450,52244,48677,45681,24698,29557,84983,76508,67483,117347,106760,92878,57106,30824,11704,888130,50525,46851,43205,24898,29312,78372,75554,67275,111958,111223,104669,72241,45880,26167,1030739,467082,37779,38679,38090,21940,18493,44692,35606,31023,61078,59745,46040,22792,8886,2239,563657,36012,38128,36774,22389,20016,51676,45216,42041,80413,75038,60338,32670,16490,6456,12000,5768,360,338,461,364,208,512,572,432,826,822,444,263,159,7,6232,178,341,321,190,216,826,534,539,1013,798,752,386,104,34,133993,65381,4738,4175,4123,2114,2243,6040,7160,7288,11448,7411,5098,2527,882,134,68612,4281,4219,4490,2464,2359,6221,7578,7315,11408,7930,5814,2986,1224,323,2690,1220,146,35,46,0,39,158,318,188,87,54,25,46,50,28,1470,155,83,147,63,120,177,116,94,199,154,122,32,8,0,111960,58146,6095,5712,4892,2751,2410,5633,6084,6552,10570,5021,1757,607,59,3,53814,6031,6492,5352,2483,1904,4453,5162,5079,9133,4731,2017,634,264,79,84743,41501,7246,6092,4726,2742,2061,4639,3091,2692,3359,2203,1804,521,262,63,43242,7766,5506,4712,2407,1918,3862,3654,2622,4514,2978,1930,834,439,100,1523098,734846,38542,36752,35781,20469,25805,73783,65774,57027,98674,96863,88269,55461,30101,11545,788252,37924,36073,34486,20360,25950,69844,66603,57314,96448,102278,100212,70179,44793,25788,348887,182522,21998,19306,16208,7652,6662,17950,18084,18032,30454,15732,7017,2428,837,162,166365,21042,18524,15536,7575,5833,14274,15285,16043,25941,14461,6842,3075,1483,451,33.3,31.9,34.7,35.8,34.5,37.4,32.0,29.7,33.8,32.9,30.5,34.8,31.5,31.3,31.7,27.4,27.7,24.9,25.6,26.0,25.2,18.6,17.9,19.4,38.0,36.2,39.8,25.3,25.4,25.1,3110705
40,NC,37,,,,,040C2US37,North Carolina -- In metropolitan statistical area -- not in principal city,4529287,2230198,139697,153515,162895,96949,54649,30479,29894,81839,127029,133105,141267,163187,165454,168084,153140,55516,76612,50332,63885,76492,51626,32300,22252,2299089,133201,148787,152661,89826,48966,25594,24457,72907,126534,137014,147377,169579,171281,172492,163453,59503,86136,53778,68312,89568,64013,47360,46290,3590035,1770191,101510,113027,121993,72943,39904,105357,98007,100986,239304,274081,240154,167517,75312,20096,1819844,96110,108870,112354,67162,35740,92854,98582,104351,246186,278916,256953,183337,97651,40778,598806,290768,18266,20724,23619,15228,9285,23575,18276,18144,38188,42606,35285,18553,7210,1809,308038,17670,19708,22306,13685,8192,18984,17320,19009,43376,48300,40113,22816,11728,4831,25099,12841,892,686,1006,674,334,1123,881,874,1977,1906,1310,905,232,41,12258,684,762,940,566,360,1017,706,842,1895,1453,1790,874,233,136,94249,44032,3167,3602,3756,1790,932,2510,2870,3843,9350,5960,3462,1951,666,173,50217,3186,3790,4038,2044,1206,1821,3203,5189,10252,6698,5209,2449,1013,119,2688,1151,161,61,87,0,0,216,99,44,192,181,76,16,18,0,1537,51,222,67,38,0,58,198,93,281,322,135,38,4,30,117255,62173,6605,6786,6184,3003,2303,5611,4386,6871,11037,5610,2829,660,242,46,55082,6098,7407,6437,2898,1687,4447,4064,5256,9667,4303,1758,718,236,106,101155,49042,9096,8629,6250,3311,1891,3820,2510,2343,4406,3194,2152,1107,246,87,52113,9402,8028,6519,3433,1781,3777,2461,2274,5299,3781,3134,1426,508,290,3369496,1655418,88382,99273,110063,66352,36694,96156,89621,91209,220638,262939,234850,164936,74420,19885,1714078,82914,94471,102138,61898,32518,85397,91395,95768,229728,268458,251814,180723,96519,40337,362556,190380,22068,22420,19726,10154,6065,16054,13901,17575,31029,17971,8516,3475,1168,258,172176,21564,23295,17353,8882,5183,12772,12036,14833,27410,15721,7478,3549,1452,648,40.1,38.7,41.3,42.0,40.8,43.1,37.0,34.5,39.1,36.0,34.8,36.8,35.1,34.6,35.9,31.5,27.8,35.9,24.6,25.8,23.5,16.2,15.5,16.7,43.2,42.1,44.3,24.2,24.6,23.8,4529287
40,NC,37,,,,,040E0US37,North Carolina -- In micropolitan statistical area,1566216,763848,45917,50230,51687,30873,23242,14638,12726,29534,43801,44690,44845,49592,51545,54085,52137,20495,28302,18455,22973,30493,20673,13851,9064,802368,44814,46951,50083,29395,22126,11854,11613,28603,44022,44831,44429,51884,53553,57214,57528,21750,31973,19945,26766,35253,27373,19335,21073,1082676,529806,27099,30118,32188,19305,14554,36898,29456,29389,65330,76120,75049,57815,28819,7666,552870,26704,28686,30470,18413,14289,34215,28801,29848,65129,77729,80595,64401,36970,16620,327216,155918,10311,11299,12091,7378,5794,13712,9351,9276,18286,21315,20294,11071,4531,1209,171298,9852,10052,11889,7248,5235,12270,10158,9806,20447,24590,23985,14037,7896,3833,67441,32427,2224,2651,2595,1600,1133,2523,1972,2175,4382,4253,3869,2190,737,123,35014,2318,2441,2381,1454,981,2626,2379,2314,4930,4586,4469,2550,1237,348,13065,5777,298,502,531,321,302,481,363,526,1056,711,339,257,90,0,7288,255,617,531,267,307,400,481,621,1191,1190,635,422,247,124,644,294,30,18,5,15,0,29,13,47,60,48,8,6,15,0,350,14,47,71,10,15,8,20,13,49,71,7,25,0,0,40332,22444,2211,3046,2207,1111,614,2029,1720,2565,4008,2005,695,189,41,3,17888,2509,2342,2162,935,601,1111,1336,1365,3337,1379,559,137,100,15,34842,17182,3744,2596,2070,1143,845,1226,926,712,1315,1178,680,393,291,63,17660,3162,2766,2579,1068,698,1440,847,864,1230,1222,1001,392,258,133,1025945,500403,23827,26750,29424,17778,13295,34676,27079,26876,60471,73289,73669,57194,28505,7570,525542,23136,25148,27621,16921,13242,32153,26986,27333,61210,75521,79401,63843,36537,16490,106274,56562,6447,7104,5483,2851,1959,4795,4281,5477,9290,5180,2321,875,400,99,49712,6983,6779,5491,2585,1753,3615,3510,4261,7439,3875,1977,776,516,152,40.6,38.9,42.1,43.6,42.3,45.0,37.0,34.4,39.6,35.0,33.9,36.0,34.1,30.8,36.6,31.4,31.7,26.9,23.9,25.0,22.5,15.6,15.4,16.1,44.9,43.5,46.4,23.3,24.5,21.8,1566216
40,NC,37,,,,,040E1US37,North Carolina -- In micropolitan statistical area -- in principal city,365515,171345,12457,11805,11324,6347,7501,5030,3936,7265,10835,9887,9148,9788,9748,11278,9999,4395,6347,3385,4482,5688,4325,3309,3066,194170,11417,10668,10728,6666,7825,4156,4296,7985,11628,10628,10116,10718,11685,11759,12057,5134,7476,4309,6261,7966,6926,5819,7947,214176,101095,4987,5351,5393,3208,4675,9518,6385,5654,11445,12974,12953,9927,6055,2570,113081,5137,5127,5024,3100,5004,9603,5952,5381,11547,13170,15105,13071,9607,6253,121080,54815,5237,4550,4635,2420,2221,5055,3270,2723,5725,6740,6979,3400,1408,452,66265,4232,4173,4193,2933,2165,5418,4604,4274,7500,8889,8528,5001,2799,1556,4924,2276,168,194,114,88,107,240,163,236,272,293,223,103,38,37,2648,294,115,79,102,59,364,150,146,393,310,318,157,67,94,4136,1608,86,120,105,64,79,149,134,205,183,242,178,63,0,0,2528,85,120,312,89,226,166,223,187,274,319,269,132,103,23,362,182,30,18,5,2,0,29,5,0,40,26,8,4,15,0,180,0,5,18,0,15,8,8,4,29,61,7,25,0,0,12541,7192,1014,967,675,234,172,737,577,950,1057,525,218,25,41,0,5349,724,687,534,262,130,525,510,406,856,459,131,29,81,15,8296,4177,935,605,397,331,247,503,301,119,214,226,182,33,77,7,4119,945,441,568,180,226,353,181,230,235,236,309,121,88,6,199918,93797,4184,4637,4799,2871,4352,9081,5604,4981,10213,12311,12573,9788,5907,2496,106121,4061,4443,4384,2852,4717,9036,5479,4654,10503,12662,14807,12889,9440,6194,29103,15713,1999,1812,1418,579,533,1410,1418,1709,2330,1348,692,197,194,74,13390,1971,1479,1258,534,461,1293,992,1295,1927,1086,569,254,197,74,37.7,34.7,40.4,42.6,39.5,45.6,34.0,30.0,36.6,32.8,30.9,35.4,31.2,31.0,31.4,39.5,39.1,46.3,23.4,23.3,23.6,16.1,15.9,16.9,44.6,41.3,47.8,24.6,25.3,23.6,365515
40,NC,37,,,,,040E2US37,North Carolina -- In micropolitan statistical area -- not in principal city,1200701,592503,33460,38425,40363,24526,15741,9608,8790,22269,32966,34803,35697,39804,41797,42807,42138,16100,21955,15070,18491,24805,16348,10542,5998,608198,33397,36283,39355,22729,14301,7698,7317,20618,32394,34203,34313,41166,41868,45455,45471,16616,24497,15636,20505,27287,20447,13516,13126,868500,428711,22112,24767,26795,16097,9879,27380,23071,23735,53885,63146,62096,47888,22764,5096,439789,21567,23559,25446,15313,9285,24612,22849,24467,53582,64559,65490,51330,27363,10367,206136,101103,5074,6749,7456,4958,3573,8657,6081,6553,12561,14575,13315,7671,3123,757,105033,5620,5879,7696,4315,3070,6852,5554,5532,12947,15701,15457,9036,5097,2277,62517,30151,2056,2457,2481,1512,1026,2283,1809,1939,4110,3960,3646,2087,699,86,32366,2024,2326,2302,1352,922,2262,2229,2168,4537,4276,4151,2393,1170,254,8929,4169,212,382,426,257,223,332,229,321,873,469,161,194,90,0,4760,170,497,219,178,81,234,258,434,917,871,366,290,144,101,282,112,0,0,0,13,0,0,8,47,20,22,0,2,0,0,170,14,42,53,10,0,0,12,9,20,10,0,0,0,0,27791,15252,1197,2079,1532,877,442,1292,1143,1615,2951,1480,477,164,0,3,12539,1785,1655,1628,673,471,586,826,959,2481,920,428,108,19,0,26546,13005,2809,1991,1673,812,598,723,625,593,1101,952,498,360,214,56,13541,2217,2325,2011,888,472,1087,666,634,995,986,692,271,170,127,826027,406606,19643,22113,24625,14907,8943,25595,21475,21895,50258,60978,61096,47406,22598,5074,419421,19075,20705,23237,14069,8525,23117,21507,22679,50707,62859,64594,50954,27097,10296,77171,40849,4448,5292,4065,2272,1426,3385,2863,3768,6960,3832,1629,678,206,25,36322,5012,5300,4233,2051,1292,2322,2518,2966,5512,2789,1408,522,319,78,41.3,39.9,42.6,43.8,42.8,44.9,38.9,36.1,41.1,35.1,34.1,36.0,35.1,30.5,38.1,27.4,31.7,14.0,24.2,26.1,20.7,15.5,15.1,16.0,45.0,44.0,46.1,22.8,24.1,20.5,1200701
