SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,ND,38,,,,,04000US38,North Dakota,721640,367963,24524,24336,20939,13197,11886,7931,7622,21413,29543,26425,21846,20123,21386,25126,24412,9287,12311,6725,8143,10729,8086,6222,5751,353677,24340,22721,20728,12227,10722,5729,5996,19299,24602,22798,19046,19010,20572,24631,24022,8715,11535,6438,8195,11878,9626,9241,11606,640208,325914,20110,19806,17230,11040,10208,31577,25187,23053,37145,42655,43689,24548,13966,5700,314294,19656,18418,17048,10553,9204,26840,21238,19901,33666,41019,41604,25270,18426,11451,11872,7153,425,567,515,165,358,1397,1052,696,979,537,313,120,29,0,4719,569,412,371,311,317,687,569,327,455,403,172,122,4,0,38286,18800,2213,2237,1844,1048,696,1737,1243,1280,2134,2092,1361,654,240,21,19486,2224,2089,1644,852,703,1933,1284,1276,2418,2228,1703,738,285,109,8979,4425,186,224,146,130,181,843,731,644,569,404,188,149,11,19,4554,278,231,295,85,108,543,606,545,610,647,333,214,28,31,304,155,15,0,12,8,4,48,12,13,23,18,2,0,0,0,149,2,2,62,2,4,31,8,8,15,0,15,0,0,0,5859,3390,314,344,305,185,57,457,426,270,632,216,121,20,34,9,2469,132,346,289,75,94,288,150,261,326,265,186,27,30,0,16132,8126,1261,1158,887,621,382,907,892,469,487,590,336,106,28,2,8006,1479,1223,1019,349,292,702,747,480,566,641,259,140,94,15,628158,319763,19425,19249,16792,10795,9943,30544,24605,22421,36352,42163,43409,24435,13954,5676,308395,18738,17560,16623,10363,8880,26004,20736,19626,32995,40615,41244,25210,18364,11437,20569,10789,1233,1124,894,516,391,1653,1129,1032,1519,701,392,126,46,33,9780,1470,1382,905,321,476,1246,791,572,1098,731,574,93,107,14,35.4,34.2,36.9,37.5,36.1,39.1,24.6,26.1,23.1,24.9,24.1,25.9,29.7,28.8,31.3,20.9,23.4,20.1,25.5,25.4,26.1,18.2,19.0,17.0,38.0,36.5,39.7,22.9,23.7,21.5,721640
40,ND,38,,,,,04001US38,North Dakota -- Urban,437334,220776,14827,14009,11192,6834,8569,6322,6021,16313,21397,17870,13673,11797,12088,13438,12871,4747,6352,3337,3972,4866,3921,3273,3087,216558,15263,13307,11761,6575,7865,4645,4860,15056,17629,15292,11915,10857,11534,13646,13665,4739,6509,3359,4131,6461,5130,5276,7083,392017,197185,12622,11592,9220,5794,7563,24777,18487,15634,22782,23724,23051,11808,7075,3056,194832,12485,11045,9832,5781,6873,21684,15572,13571,20369,23094,23730,13488,10250,7058,10648,6289,399,544,466,129,312,1202,1007,637,800,458,212,98,25,0,4359,553,353,356,298,299,643,479,305,415,374,165,119,0,0,11022,5386,575,601,508,298,195,712,404,478,606,558,306,97,45,3,5636,737,487,328,169,289,893,307,324,761,665,484,115,56,21,7875,3958,184,217,123,119,175,777,557,610,492,378,166,130,11,19,3917,264,209,236,79,98,517,555,504,495,503,281,155,21,0,238,110,11,0,12,0,4,25,12,9,19,18,0,0,0,0,128,0,0,62,0,4,23,8,4,12,0,15,0,0,0,3874,2142,112,204,191,129,15,385,221,152,469,138,80,12,25,9,1732,103,285,172,45,45,197,105,203,245,183,119,10,20,0,11660,5706,924,851,672,365,305,778,709,350,302,252,155,30,13,0,5954,1121,928,775,203,257,604,603,381,475,361,119,64,59,4,383904,193073,12134,11279,8956,5682,7366,23953,18032,15196,22319,23404,22909,11728,7075,3040,190831,11811,10444,9584,5734,6618,20957,15196,13398,19995,22888,23475,13453,10234,7044,13649,6993,724,626,529,271,267,1345,774,705,969,452,201,80,25,25,6656,1095,966,492,108,365,1012,583,384,718,423,398,47,51,14,32.4,31.4,33.7,33.8,32.6,35.2,24.4,26.0,22.9,24.0,24.0,24.1,29.4,28.9,30.0,21.6,27.3,18.5,25.7,25.5,28.1,17.9,18.5,15.9,34.2,32.9,35.7,23.1,23.9,21.6,437334
40,ND,38,,,,,04043US38,North Dakota -- Rural,284306,147187,9697,10327,9747,6363,3317,1609,1601,5100,8146,8555,8173,8326,9298,11688,11541,4540,5959,3388,4171,5863,4165,2949,2664,137119,9077,9414,8967,5652,2857,1084,1136,4243,6973,7506,7131,8153,9038,10985,10357,3976,5026,3079,4064,5417,4496,3965,4523,248191,128729,7488,8214,8010,5246,2645,6800,6700,7419,14363,18931,20638,12740,6891,2644,119462,7171,7373,7216,4772,2331,5156,5666,6330,13297,17925,17874,11782,8176,4393,1224,864,26,23,49,36,46,195,45,59,179,79,101,22,4,0,360,16,59,15,13,18,44,90,22,40,29,7,3,4,0,27264,13414,1638,1636,1336,750,501,1025,839,802,1528,1534,1055,557,195,18,13850,1487,1602,1316,683,414,1040,977,952,1657,1563,1219,623,229,88,1104,467,2,7,23,11,6,66,174,34,77,26,22,19,0,0,637,14,22,59,6,10,26,51,41,115,144,52,59,7,31,66,45,4,0,0,8,0,23,0,4,4,0,2,0,0,0,21,2,2,0,2,0,8,0,4,3,0,0,0,0,0,1985,1248,202,140,114,56,42,72,205,118,163,78,41,8,9,0,737,29,61,117,30,49,91,45,58,81,82,67,17,10,0,4472,2420,337,307,215,256,77,129,183,119,185,338,181,76,15,2,2052,358,295,244,146,35,98,144,99,91,280,140,76,35,11,244254,126690,7291,7970,7836,5113,2577,6591,6573,7225,14033,18759,20500,12707,6879,2636,117564,6927,7116,7039,4629,2262,5047,5540,6228,13000,17727,17769,11757,8130,4393,6920,3796,509,498,365,245,124,308,355,327,550,249,191,46,21,8,3124,375,416,413,213,111,234,208,188,380,308,176,46,56,0,41.7,40.6,42.9,44.3,43.4,45.3,29.1,30.6,26.7,25.5,24.1,26.7,34.5,28.7,40.9,20.6,20.6,20.6,23.9,23.5,23.9,19.3,20.6,17.6,44.7,43.8,45.7,22.0,22.4,21.0,284306
40,ND,38,,,,,040A0US38,North Dakota -- In metropolitan or micropolitan statistical area,526641,268501,18169,17796,14757,9189,9520,6660,6472,17758,24130,20674,16757,14974,15303,17296,16446,6187,8149,4428,5177,6524,4855,3919,3361,258140,18295,16581,14730,8521,8737,5013,5226,15974,19838,17829,14739,13778,14712,17322,16666,5906,7902,4238,5251,7660,5959,5825,7438,474683,241331,15492,15053,12515,7866,8410,26808,20740,18290,28564,30379,29589,15619,8675,3331,233352,15284,13922,12340,7564,7663,23099,17433,15995,25848,29583,29087,16531,11604,7399,11067,6531,404,553,479,146,315,1254,1011,621,864,464,283,108,29,0,4536,563,384,366,309,307,661,546,305,424,377,171,119,4,0,14967,7363,855,819,708,362,245,842,562,620,879,785,464,197,25,0,7604,873,756,615,269,336,1012,479,470,954,864,618,224,102,32,8145,4071,168,213,135,122,175,826,665,515,542,373,160,147,11,19,4074,278,212,281,83,101,526,577,415,507,601,313,159,21,0,249,122,11,0,12,8,4,25,12,9,23,18,0,0,0,0,127,2,2,62,0,4,15,8,6,13,0,15,0,0,0,4464,2560,214,242,197,147,30,351,389,225,511,140,81,15,9,9,1904,103,289,224,53,51,258,124,203,276,180,122,21,0,0,13066,6523,1025,916,711,538,341,784,751,394,348,440,205,43,25,2,6543,1192,1016,842,243,275,642,671,435,495,429,148,95,53,7,465562,236605,14969,14657,12189,7754,8180,25886,20215,17858,27936,30065,29367,15550,8663,3316,228957,14545,13298,12079,7484,7376,22404,16997,15813,25375,29324,28814,16485,11578,7385,15515,8147,911,767,592,303,320,1434,1017,772,1182,447,285,72,21,24,7368,1168,1011,633,168,378,1043,676,409,853,487,418,69,41,14,33.3,32.3,34.5,34.8,33.7,36.1,24.5,26.1,23.0,24.4,24.4,24.5,29.2,28.1,29.9,21.8,27.1,14.9,25.9,26.3,24.0,18.2,18.7,17.2,35.2,34.0,36.6,23.3,24.1,21.9,526641
40,ND,38,,,,,040C0US38,North Dakota -- In metropolitan statistical area,354886,179049,12000,11831,9899,6098,6620,4363,4911,11987,15767,13961,11480,10082,10369,11124,10717,3687,5761,3027,3637,4151,3054,2384,2139,175837,12207,11115,9400,5669,6465,3894,3749,11538,13688,12472,10420,9257,10058,11456,11185,4053,5484,2960,3464,5117,3861,3511,4814,318385,160092,10061,9808,8283,5137,5849,18645,13587,12366,19263,19924,19321,10381,5356,2111,158293,9869,9326,7839,4950,5626,16987,12096,11098,17801,19822,19764,11064,7259,4792,7883,4325,316,388,344,110,175,642,636,501,607,337,136,108,25,0,3558,497,287,329,282,282,496,240,279,317,284,146,119,0,0,11746,5950,741,702,574,301,238,640,499,499,662,527,410,137,20,0,5796,813,662,397,164,219,799,372,372,761,538,452,146,83,18,6635,3386,127,194,121,77,175,687,496,344,497,353,143,142,11,19,3249,227,165,263,72,82,451,474,288,440,409,246,126,6,0,81,49,0,0,0,0,4,19,12,0,0,14,0,0,0,0,32,0,0,0,0,4,11,0,2,0,0,15,0,0,0,1886,962,3,53,93,77,29,42,127,70,318,77,40,15,9,9,924,85,180,96,17,28,65,17,185,59,141,41,10,0,0,8270,4285,752,686,484,396,150,586,410,181,215,261,115,32,17,0,3985,716,495,476,184,224,372,489,248,299,320,58,76,24,4,312938,157278,9780,9521,8106,5075,5724,18128,13258,12056,18982,19664,19206,10331,5344,2103,155660,9425,8962,7719,4930,5378,16683,11722,10976,17607,19673,19541,11033,7233,4778,8745,4367,360,474,334,172,185,701,508,435,642,328,137,53,21,17,4378,765,624,353,53,308,423,498,316,354,328,273,43,26,14,32.9,32.1,34.1,34.5,33.3,35.6,24.0,26.7,21.7,23.4,23.6,23.2,28.6,28.0,29.1,27.2,27.1,33.5,30.8,33.7,24.3,17.7,16.8,19.0,34.8,33.6,36.0,23.5,24.8,21.1,354886
40,ND,38,,,,,040C1US38,North Dakota -- In metropolitan statistical area -- in principal city,235388,116833,7052,6893,5644,3531,5054,3715,3900,9632,11540,9448,7114,6065,6347,6796,6590,2401,3562,1844,2045,2380,1988,1710,1582,118555,7758,7119,5721,3357,5082,3180,2980,9636,9954,8224,6540,5395,6311,6937,7338,2707,3561,1799,2179,3543,2832,2569,3833,209802,103997,5913,5638,4644,2912,4576,15225,9815,8223,11720,12137,12024,5967,3649,1554,105805,5991,5896,4543,2906,4449,14097,8722,7129,10739,12086,12902,7188,5335,3822,6296,3492,273,250,262,90,117,498,533,471,505,265,119,84,25,0,2804,420,202,291,192,244,385,167,249,214,217,121,102,0,0,5967,2868,363,345,186,140,132,364,363,218,330,199,166,62,0,0,3099,434,351,176,54,141,557,204,204,367,237,275,47,45,7,5763,2891,127,151,78,44,91,609,489,333,378,283,136,142,11,19,2872,190,143,250,22,71,447,463,254,347,325,230,124,6,0,53,41,0,0,0,0,4,11,12,0,0,14,0,0,0,0,12,0,0,0,0,4,8,0,0,0,0,0,0,0,0,1378,587,0,34,77,59,5,42,69,55,114,73,38,12,0,9,791,85,174,42,17,22,59,0,172,45,134,31,10,0,0,6129,2957,376,475,397,286,129,498,259,148,132,172,70,2,13,0,3172,638,353,419,166,151,243,398,216,223,249,47,50,15,4,205928,102073,5722,5418,4531,2865,4503,14941,9497,8009,11595,11951,11922,5924,3649,1546,103855,5572,5568,4462,2898,4318,13838,8491,7041,10624,12024,12735,7167,5309,3808,6439,2974,224,360,235,135,109,447,436,324,276,249,119,43,0,17,3465,732,567,213,40,185,376,326,253,263,230,207,33,26,14,31.7,30.8,32.7,32.9,31.9,34.4,24.6,27.8,21.2,23.1,24.1,22.8,28.6,28.6,28.6,24.0,27.5,.,30.1,31.7,24.7,17.6,17.4,18.2,33.3,32.1,34.8,22.2,24.8,20.0,235388
40,ND,38,,,,,040C2US38,North Dakota -- In metropolitan statistical area -- not in principal city,119498,62216,4948,4938,4255,2567,1566,648,1011,2355,4227,4513,4366,4017,4022,4328,4127,1286,2199,1183,1592,1771,1066,674,557,57282,4449,3996,3679,2312,1383,714,769,1902,3734,4248,3880,3862,3747,4519,3847,1346,1923,1161,1285,1574,1029,942,981,108583,56095,4148,4170,3639,2225,1273,3420,3772,4143,7543,7787,7297,4414,1707,557,52488,3878,3430,3296,2044,1177,2890,3374,3969,7062,7736,6862,3876,1924,970,1587,833,43,138,82,20,58,144,103,30,102,72,17,24,0,0,754,77,85,38,90,38,111,73,30,103,67,25,17,0,0,5779,3082,378,357,388,161,106,276,136,281,332,328,244,75,20,0,2697,379,311,221,110,78,242,168,168,394,301,177,99,38,11,872,495,0,43,43,33,84,78,7,11,119,70,7,0,0,0,377,37,22,13,50,11,4,11,34,93,84,16,2,0,0,28,8,0,0,0,0,0,8,0,0,0,0,0,0,0,0,20,0,0,0,0,0,3,0,2,0,0,15,0,0,0,508,375,3,19,16,18,24,0,58,15,204,4,2,3,9,0,133,0,6,54,0,6,6,17,13,14,7,10,0,0,0,2141,1328,376,211,87,110,21,88,151,33,83,89,45,30,4,0,813,78,142,57,18,73,129,91,32,76,71,11,26,9,0,107010,55205,4058,4103,3575,2210,1221,3187,3761,4047,7387,7713,7284,4407,1695,557,51805,3853,3394,3257,2032,1060,2845,3231,3935,6983,7649,6806,3866,1924,970,2306,1393,136,114,99,37,76,254,72,111,366,79,18,10,21,0,913,33,57,140,13,123,47,172,63,91,98,66,10,0,0,35.7,35.1,36.6,37.0,36.2,37.9,22.2,21.8,22.4,23.8,23.3,25.3,30.5,21.4,38.3,62.1,.,62.3,34.9,38.9,22.1,17.8,13.0,22.1,37.3,36.6,38.1,25.6,24.8,26.1,119498
40,ND,38,,,,,040E0US38,North Dakota -- In micropolitan statistical area,171755,89452,6169,5965,4858,3091,2900,2297,1561,5771,8363,6713,5277,4892,4934,6172,5729,2500,2388,1401,1540,2373,1801,1535,1222,82303,6088,5466,5330,2852,2272,1119,1477,4436,6150,5357,4319,4521,4654,5866,5481,1853,2418,1278,1787,2543,2098,2314,2624,156298,81239,5431,5245,4232,2729,2561,8163,7153,5924,9301,10455,10268,5238,3319,1220,75059,5415,4596,4501,2614,2037,6112,5337,4897,8047,9761,9323,5467,4345,2607,3184,2206,88,165,135,36,140,612,375,120,257,127,147,0,4,0,978,66,97,37,27,25,165,306,26,107,93,25,0,4,0,3221,1413,114,117,134,61,7,202,63,121,217,258,54,60,5,0,1808,60,94,218,105,117,213,107,98,193,326,166,78,19,14,1510,685,41,19,14,45,0,139,169,171,45,20,17,5,0,0,825,51,47,18,11,19,75,103,127,67,192,67,33,15,0,168,73,11,0,12,8,0,6,0,9,23,4,0,0,0,0,95,2,2,62,0,0,4,8,4,13,0,0,0,0,0,2578,1598,211,189,104,70,1,309,262,155,193,63,41,0,0,0,980,18,109,128,36,23,193,107,18,217,39,81,11,0,0,4796,2238,273,230,227,142,191,198,341,213,133,179,90,11,8,2,2558,476,521,366,59,51,270,182,187,196,109,90,19,29,3,152624,79327,5189,5136,4083,2679,2456,7758,6957,5802,8954,10401,10161,5219,3319,1213,73297,5120,4336,4360,2554,1998,5721,5275,4837,7768,9651,9273,5452,4345,2607,6770,3780,551,293,258,131,135,733,509,337,540,119,148,19,0,7,2990,403,387,280,115,70,620,178,93,499,159,145,26,15,0,34.0,32.7,35.6,35.6,34.3,37.3,25.0,24.5,25.5,29.9,30.2,27.8,30.0,29.1,33.8,14.9,20.9,14.5,23.4,22.8,23.9,19.2,21.2,14.4,36.1,34.7,38.0,23.1,23.3,23.0,171755
40,ND,38,,,,,040E1US38,North Dakota -- In micropolitan statistical area -- in principal city,112595,58032,3998,3659,2749,1875,2068,1559,990,4127,6184,4840,3457,3241,3146,3727,3604,1533,1322,758,884,1339,1125,999,848,54563,4047,3450,3326,1673,1725,862,1177,3360,4455,3639,2604,2919,2766,3780,3600,1078,1579,810,1081,1592,1351,1702,1987,101456,51929,3430,3185,2287,1608,1780,5607,5190,4197,6082,6377,6253,2965,2120,848,49527,3535,2800,2793,1541,1528,4739,3873,3395,5024,5955,5919,3444,3002,1979,2371,1676,78,155,103,20,111,441,358,55,146,123,86,0,0,0,695,42,67,16,12,25,97,239,12,69,93,23,0,0,0,2003,940,64,30,101,54,2,178,30,112,148,183,22,12,4,0,1063,19,14,106,55,79,156,34,62,96,285,134,4,11,8,1100,441,41,18,0,43,0,43,66,162,39,19,10,0,0,0,659,51,20,18,11,19,52,101,94,59,130,58,31,15,0,58,23,0,0,0,0,0,0,0,0,19,4,0,0,0,0,35,0,0,23,0,0,0,0,0,12,0,0,0,0,0,1943,1334,188,134,75,70,1,245,235,130,170,49,37,0,0,0,609,12,109,67,18,23,119,97,18,73,1,72,0,0,0,3664,1689,197,137,183,80,174,162,305,184,94,118,51,4,0,0,1975,388,440,303,36,51,236,111,58,190,82,51,4,25,0,99051,50771,3284,3111,2198,1577,1723,5406,5091,4133,5783,6334,6219,2951,2120,841,48280,3386,2554,2715,1513,1494,4424,3842,3376,4780,5894,5891,3430,3002,1979,4633,2677,407,200,164,102,75,446,376,254,469,92,71,14,0,7,1956,203,370,145,46,65,444,128,37,313,62,114,14,15,0,32.9,32.0,34.4,34.5,33.5,36.1,25.1,24.4,25.7,30.9,30.3,35.2,31.1,30.1,33.5,35.5,43.4,.,23.3,23.2,23.4,19.1,22.5,12.4,34.8,33.7,36.7,23.3,23.7,23.1,112595
40,ND,38,,,,,040E2US38,North Dakota -- In micropolitan statistical area -- not in principal city,59160,31420,2171,2306,2109,1216,832,738,571,1644,2179,1873,1820,1651,1788,2445,2125,967,1066,643,656,1034,676,536,374,27740,2041,2016,2004,1179,547,257,300,1076,1695,1718,1715,1602,1888,2086,1881,775,839,468,706,951,747,612,637,54842,29310,2001,2060,1945,1121,781,2556,1963,1727,3219,4078,4015,2273,1199,372,25532,1880,1796,1708,1073,509,1373,1464,1502,3023,3806,3404,2023,1343,628,813,530,10,10,32,16,29,171,17,65,111,4,61,0,4,0,283,24,30,21,15,0,68,67,14,38,0,2,0,4,0,1218,473,50,87,33,7,5,24,33,9,69,75,32,48,1,0,745,41,80,112,50,38,57,73,36,97,41,32,74,8,6,410,244,0,1,14,2,0,96,103,9,6,1,7,5,0,0,166,0,27,0,0,0,23,2,33,8,62,9,2,0,0,110,50,11,0,12,8,0,6,0,9,4,0,0,0,0,0,60,2,2,39,0,0,4,8,4,1,0,0,0,0,0,635,264,23,55,29,0,0,64,27,25,23,14,4,0,0,0,371,6,0,61,18,0,74,10,0,144,38,9,11,0,0,1132,549,76,93,44,62,17,36,36,29,39,61,39,7,8,2,583,88,81,63,23,0,34,71,129,6,27,39,15,4,3,53573,28556,1905,2025,1885,1102,733,2352,1866,1669,3171,4067,3942,2268,1199,372,25017,1734,1782,1645,1041,504,1297,1433,1461,2988,3757,3382,2022,1343,628,2137,1103,144,93,94,29,60,287,133,83,71,27,77,5,0,0,1034,200,17,135,69,5,176,50,56,186,97,31,12,0,0,36.4,35.2,37.6,37.7,36.2,39.9,24.3,24.9,23.0,25.3,26.9,23.6,26.7,26.1,34.5,14.0,16.3,11.9,24.3,21.2,36.3,20.9,18.0,26.1,38.4,36.9,40.4,22.4,21.8,22.8,59160
