SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NE,31,,,,,04000US31,Nebraska,1869365,929606,67062,68079,64843,38679,27187,14160,14796,40531,64277,64230,57741,56139,57526,64444,61285,23191,29369,17727,21645,27091,20472,15625,13507,939759,62974,64509,62695,36116,26746,13793,13656,38139,61028,62423,55950,54518,57077,65106,62057,23325,31652,18209,22798,31903,26808,21401,26876,1647551,818354,55184,56178,54538,32450,22822,59037,55199,55626,99631,110222,106335,63143,34840,13149,829197,51577,52844,52488,30158,22871,55975,52454,53894,96410,110524,108868,68513,46470,26151,88195,44774,3982,4234,3567,2495,1818,4419,3699,3400,5614,5329,3659,1616,734,208,43421,4018,4315,3347,2056,1605,3900,3239,3303,5278,5003,3820,2160,1042,335,16319,8035,800,811,1034,499,366,725,546,453,938,905,577,291,80,10,8284,736,679,864,498,316,539,466,528,1173,1062,821,456,74,72,38066,18319,1277,1408,1156,734,727,2039,1993,1706,3039,2057,1273,709,120,81,19747,1120,1491,1243,694,660,1983,1928,1828,3371,2377,1757,880,299,116,1280,577,64,44,6,6,24,40,59,55,87,93,71,21,7,0,703,44,95,80,0,66,20,135,48,72,55,38,46,4,0,36359,19341,1866,2049,1671,900,670,1807,1523,1815,3098,2264,1147,352,136,43,17018,2163,1601,1800,1075,499,1470,1192,1348,2599,1710,1004,389,112,56,41595,20206,3889,3355,2871,1595,760,1420,1258,1175,1473,1100,783,331,180,16,21389,3316,3484,2873,1635,729,1701,1614,1474,1565,1452,726,466,208,146,1509631,746074,45825,47673,46991,28403,20240,52678,49061,49870,89467,104022,102878,61706,34348,12912,763557,43496,44337,45558,26903,20226,50370,47118,48724,87636,104757,105733,67182,45494,26023,186268,97553,12033,11614,10063,5441,3610,8578,7972,7838,13883,8781,4872,1922,652,294,88715,10883,11293,9507,4817,3319,7546,6808,6988,12012,7951,4365,1872,1143,211,36.2,35.1,37.5,38.0,36.7,39.3,27.7,27.1,28.7,26.2,22.9,30.4,30.8,29.7,31.6,28.4,34.5,25.5,26.0,27.4,24.5,15.8,15.0,16.9,39.9,38.6,41.3,23.1,23.3,22.9,1869365
40,NE,31,,,,,04001US31,Nebraska -- Urban,1378346,681882,52659,51379,47548,27280,21168,11861,12441,33030,53004,51661,45259,41591,41802,43885,40121,15263,19443,11555,13800,16412,12478,9514,8728,696464,49181,48320,46169,25777,21527,11854,11548,31565,50709,50701,43286,41070,40836,44656,42937,15951,21724,12177,15219,21158,17073,14473,18553,1177934,581334,41937,40699,38548,21768,17293,47741,44595,43788,73747,74919,68128,38855,20918,8398,596600,38777,37853,37315,20649,18021,45978,42766,42713,71374,75174,73337,44698,30029,17916,85481,43151,3880,4020,3376,2396,1755,4240,3567,3247,5406,5158,3591,1591,716,208,42330,3904,4149,3141,1965,1569,3807,3189,3251,5219,4866,3775,2142,1023,330,9491,4697,434,457,583,270,250,439,329,222,613,603,349,120,21,7,4794,358,321,449,314,192,297,275,318,731,683,486,301,22,47,36198,17664,1246,1380,1101,695,681,1969,1964,1639,2951,2000,1194,687,92,65,18534,1080,1394,1144,620,626,1917,1856,1770,3207,2181,1603,808,235,93,1114,495,62,42,5,6,21,31,57,44,79,70,53,21,4,0,619,40,93,80,0,61,18,133,47,69,38,25,11,4,0,32989,17576,1752,1888,1468,801,576,1700,1427,1688,2846,2100,945,248,97,40,15413,2104,1383,1643,949,450,1428,1104,1235,2382,1458,855,293,86,43,35139,16965,3348,2893,2467,1344,592,1212,1065,1033,1208,837,567,245,144,10,18174,2918,3127,2397,1280,608,1522,1386,1367,1374,1092,531,301,147,124,1055301,517023,33493,33100,31842,18076,15037,42050,39184,38553,64669,69503,65131,37696,20506,8183,538278,31630,30455,31264,17823,15644,40908,37937,37998,63436,70093,70550,43566,29148,17826,166328,87137,10909,10431,8924,4903,3151,7716,7118,7132,12506,7824,4205,1529,524,265,79191,9809,9878,8331,4181,2972,6907,6185,6411,10956,6944,3864,1569,1022,162,33.9,32.9,35.1,35.5,34.3,36.9,28.0,27.2,29.1,28.1,23.5,31.9,30.6,29.6,31.4,26.0,31.9,25.2,25.6,27.2,23.6,15.4,14.4,16.4,37.5,36.1,38.9,23.2,23.3,23.1,1378346
40,NE,31,,,,,04043US31,Nebraska -- Rural,491019,247724,14403,16700,17295,11399,6019,2299,2355,7501,11273,12569,12482,14548,15724,20559,21164,7928,9926,6172,7845,10679,7994,6111,4779,243295,13793,16189,16526,10339,5219,1939,2108,6574,10319,11722,12664,13448,16241,20450,19120,7374,9928,6032,7579,10745,9735,6928,8323,469617,237020,13247,15479,15990,10682,5529,11296,10604,11838,25884,35303,38207,24288,13922,4751,232597,12800,14991,15173,9509,4850,9997,9688,11181,25036,35350,35531,23815,16441,8235,2714,1623,102,214,191,99,63,179,132,153,208,171,68,25,18,0,1091,114,166,206,91,36,93,50,52,59,137,45,18,19,5,6828,3338,366,354,451,229,116,286,217,231,325,302,228,171,59,3,3490,378,358,415,184,124,242,191,210,442,379,335,155,52,25,1868,655,31,28,55,39,46,70,29,67,88,57,79,22,28,16,1213,40,97,99,74,34,66,72,58,164,196,154,72,64,23,166,82,2,2,1,0,3,9,2,11,8,23,18,0,3,0,84,4,2,0,0,5,2,2,1,3,17,13,35,0,0,3370,1765,114,161,203,99,94,107,96,127,252,164,202,104,39,3,1605,59,218,157,126,49,42,88,113,217,252,149,96,26,13,6456,3241,541,462,404,251,168,208,193,142,265,263,216,86,36,6,3215,398,357,476,355,121,179,228,107,191,360,195,165,61,22,454330,229051,12332,14573,15149,10327,5203,10628,9877,11317,24798,34519,37747,24010,13842,4729,225279,11866,13882,14294,9080,4582,9462,9181,10726,24200,34664,35183,23616,16346,8197,19940,10416,1124,1183,1139,538,459,862,854,706,1377,957,667,393,128,29,9524,1074,1415,1176,636,347,639,623,577,1056,1007,501,303,121,49,44.2,43.3,45.3,45.2,44.3,46.1,21.5,24.1,17.1,24.3,22.2,25.8,36.1,33.0,40.4,51.9,51.1,62.5,31.0,30.2,32.7,17.9,17.4,18.5,46.0,45.1,47.0,22.7,24.3,20.9,491019
40,NE,31,,,,,040A0US31,Nebraska -- In metropolitan or micropolitan statistical area,1526622,758216,56575,56690,53246,31273,22626,11985,12621,34009,55739,54909,49303,46577,47633,51434,47585,18032,22709,13781,16403,20025,14671,10895,9495,768406,53196,54056,51390,29524,22239,11751,11804,33026,52930,53574,47853,45490,46765,52136,49683,18378,24910,14010,17838,23978,19309,15479,19087,1323943,656814,45770,45679,44043,25744,18660,49488,47280,46955,82602,88174,81539,47246,24485,9149,667129,42556,43285,42291,24121,18752,47589,45098,45629,80341,88489,85438,51908,33211,18421,86073,43189,3916,4154,3439,2427,1760,3899,3562,3220,5495,5178,3637,1598,696,208,42884,4003,4290,3230,2015,1550,3815,3212,3275,5244,4927,3802,2157,1030,334,8969,4407,292,394,537,236,238,415,327,244,649,568,327,151,22,7,4562,358,269,444,280,188,290,223,211,693,729,522,271,29,55,36427,17715,1267,1384,1130,710,708,1916,1950,1681,2998,1985,1125,679,105,77,18712,1107,1467,1153,640,625,1932,1851,1792,3185,2036,1704,836,268,116,953,428,64,42,5,6,7,31,59,43,29,46,71,21,4,0,525,26,58,62,0,66,18,83,47,72,38,5,46,4,0,33891,17932,1781,1940,1536,818,630,1646,1463,1710,2831,2160,995,261,119,42,15959,2131,1505,1705,1016,430,1421,1128,1267,2448,1556,909,283,104,56,36366,17731,3485,3097,2556,1332,623,1220,1098,1056,1276,956,632,253,135,12,18635,3015,3182,2505,1452,628,1516,1335,1353,1360,1126,591,325,142,105,1204127,593941,37396,38415,37579,22286,16466,44010,41748,41905,73920,82656,78581,45996,24046,8937,610186,35535,35764,36443,21289,16475,42747,40352,41199,72656,83706,82643,50744,32308,18325,164052,85842,10878,10169,8713,4622,3117,7473,7247,6982,12078,7937,4167,1619,574,266,78210,9736,10113,8139,4249,2858,6675,6142,6119,10726,6731,3890,1591,1062,179,35.0,33.9,36.1,36.7,35.5,37.9,27.9,27.3,28.9,29.8,26.5,35.6,30.5,29.6,31.3,28.2,30.0,25.7,25.7,27.2,23.8,15.3,14.1,16.1,38.5,37.3,39.8,23.2,23.4,22.9,1526622
40,NE,31,,,,,040C0US31,Nebraska -- In metropolitan statistical area,1199134,595700,45089,45302,41711,24474,17751,9435,10065,27657,45510,44624,40344,36963,37839,39735,36218,13842,17048,10431,12310,14680,10577,7538,6557,603434,42764,42670,40677,23263,17235,9403,9565,26767,43418,43788,38277,36597,37232,40451,38158,14399,19139,10527,13602,17661,13786,10876,13179,1015011,504283,35181,35230,33712,19524,14283,38895,37940,37436,65165,67910,60918,34677,17171,6241,510728,32795,32699,32508,18449,14143,37552,36253,36412,63070,68121,64689,38121,23295,12621,82623,41254,3823,4085,3302,2279,1629,3675,3167,3038,5283,4955,3539,1593,678,208,41369,3834,4093,3057,1872,1504,3651,3134,3143,5047,4811,3759,2142,988,334,7254,3389,238,268,351,186,172,347,239,202,564,394,322,79,20,7,3865,349,236,361,262,142,233,121,172,599,615,441,257,22,55,34177,16752,1251,1364,1063,693,618,1794,1819,1585,2894,1796,1033,679,98,65,17425,1092,1416,1090,593,522,1730,1751,1679,2855,1934,1661,780,236,86,755,317,62,42,5,0,3,23,7,43,29,46,53,0,4,0,438,22,58,62,0,51,18,83,47,44,38,0,11,4,0,28569,14954,1568,1651,1226,647,535,1401,1320,1485,2353,1707,779,194,64,24,13615,1949,1358,1391,818,350,1274,1069,1140,2061,1240,706,182,44,33,30745,14751,2966,2662,2052,1145,511,1022,1018,835,1019,766,464,199,80,12,15994,2723,2810,2208,1269,523,1277,1007,1195,1198,924,440,297,73,50,928936,458818,29240,29959,29051,17035,12742,34897,33838,33698,58809,63888,58839,33904,16858,6060,470118,27725,27556,28248,16402,12570,34070,32781,33114,57637,64672,62736,37369,22674,12564,122959,64347,8066,7724,6453,3396,2305,5651,5566,5423,9138,5909,3047,1059,393,217,58612,7557,7406,6182,3213,2022,5088,4706,4780,7973,4981,2822,1078,687,117,34.3,33.4,35.3,36.0,35.0,37.2,28.2,27.3,29.2,31.5,26.9,37.2,30.5,29.5,31.3,25.7,31.5,25.2,25.2,26.8,23.1,14.9,13.9,15.5,37.7,36.5,38.9,23.1,23.6,22.7,1199134
40,NE,31,,,,,040C1US31,Nebraska -- In metropolitan statistical area -- in principal city,760342,376504,27873,26848,24615,14558,11940,7050,7188,20160,31585,29127,26058,22294,22921,23792,22486,8416,10764,6370,7818,8844,6414,4889,4494,383838,27138,25918,24456,13785,12459,7312,7143,19498,29503,27990,23383,21687,22210,24717,23837,8867,12392,6580,8467,11166,8762,7271,9297,617172,305552,20221,19352,18649,10914,9199,27607,25653,23441,39136,39122,36828,20708,10517,4205,311620,19364,18237,18321,10193,9850,27135,23787,22419,36074,39449,39769,23356,14871,8795,69476,34377,3272,3336,2779,1785,1403,3171,2537,2462,4316,4173,2968,1376,599,200,35099,3242,3390,2606,1678,1266,3087,2740,2463,4178,4122,3278,1821,906,322,5010,2363,133,156,205,111,138,252,171,153,423,293,248,58,15,7,2647,259,161,262,92,93,207,121,144,411,467,194,179,12,45,25846,13078,927,1127,652,543,537,1560,1561,1283,2025,1402,765,557,74,65,12768,868,945,742,429,478,1560,1381,1169,1932,1359,1096,577,169,63,398,165,22,42,5,0,0,23,5,34,15,13,2,0,4,0,233,22,22,35,0,40,18,43,19,26,4,0,0,4,0,21179,10969,1336,1095,906,509,354,1069,986,1157,1635,1201,512,168,34,7,10210,1627,976,929,597,314,995,808,926,1488,898,451,143,36,22,21261,10000,1962,1740,1419,696,309,716,672,597,802,509,343,165,60,10,11261,1756,2187,1561,796,418,951,623,850,961,628,308,137,35,50,551009,270271,15625,15234,15084,9049,8005,24558,22508,20462,34098,36068,35179,20118,10243,4040,280738,15421,14176,15031,8683,8583,24637,21164,19805,31973,36993,38350,22764,14398,8760,93332,49021,6296,5721,4879,2612,1713,4275,4211,4249,7086,4349,2310,815,323,182,44311,5936,5730,4607,2346,1642,3774,3561,3749,5985,3568,1968,837,522,86,33.5,32.7,34.4,35.5,34.5,36.6,28.0,27.1,28.9,32.2,31.2,32.9,29.3,28.9,29.9,21.2,21.4,19.8,24.6,26.3,22.4,15.0,14.3,15.4,37.5,36.2,38.9,23.0,23.7,22.3,760342
40,NE,31,,,,,040C2US31,Nebraska -- In metropolitan statistical area -- not in principal city,438792,219196,17216,18454,17096,9916,5811,2385,2877,7497,13925,15497,14286,14669,14918,15943,13732,5426,6284,4061,4492,5836,4163,2649,2063,219596,15626,16752,16221,9478,4776,2091,2422,7269,13915,15798,14894,14910,15022,15734,14321,5532,6747,3947,5135,6495,5024,3605,3882,397839,198731,14960,15878,15063,8610,5084,11288,12287,13995,26029,28788,24090,13969,6654,2036,199108,13431,14462,14187,8256,4293,10417,12466,13993,26996,28672,24920,14765,8424,3826,13147,6877,551,749,523,494,226,504,630,576,967,782,571,217,79,8,6270,592,703,451,194,238,564,394,680,869,689,481,321,82,12,2244,1026,105,112,146,75,34,95,68,49,141,101,74,21,5,0,1218,90,75,99,170,49,26,0,28,188,148,247,78,10,10,8331,3674,324,237,411,150,81,234,258,302,869,394,268,122,24,0,4657,224,471,348,164,44,170,370,510,923,575,565,203,67,23,357,152,40,0,0,0,3,0,2,9,14,33,51,0,0,0,205,0,36,27,0,11,0,40,28,18,34,0,11,0,0,7390,3985,232,556,320,138,181,332,334,328,718,506,267,26,30,17,3405,322,382,462,221,36,279,261,214,573,342,255,39,8,11,9484,4751,1004,922,633,449,202,306,346,238,217,257,121,34,20,2,4733,967,623,647,473,105,326,384,345,237,296,132,160,38,0,377927,188547,13615,14725,13967,7986,4737,10339,11330,13236,24711,27820,23660,13786,6615,2020,189380,12304,13380,13217,7719,3987,9433,11617,13309,25664,27679,24386,14605,8276,3804,29627,15326,1770,2003,1574,784,592,1376,1355,1174,2052,1560,737,244,70,35,14301,1621,1676,1575,867,380,1314,1145,1031,1988,1413,854,241,165,31,35.8,34.7,37.0,37.0,35.9,38.1,29.2,28.1,30.0,26.7,20.6,38.6,34.4,32.4,35.4,32.4,48.7,25.7,26.9,27.9,25.1,14.8,13.4,15.6,37.9,36.8,38.8,23.5,22.9,23.9,438792
40,NE,31,,,,,040E0US31,Nebraska -- In micropolitan statistical area,327488,162516,11486,11388,11535,6799,4875,2550,2556,6352,10229,10285,8959,9614,9794,11699,11367,4190,5661,3350,4093,5345,4094,3357,2938,164972,10432,11386,10713,6261,5004,2348,2239,6259,9512,9786,9576,8893,9533,11685,11525,3979,5771,3483,4236,6317,5523,4603,5908,308932,152531,10589,10449,10331,6220,4377,10593,9340,9519,17437,20264,20621,12569,7314,2908,156401,9761,10586,9783,5672,4609,10037,8845,9217,17271,20368,20749,13787,9916,5800,3450,1935,93,69,137,148,131,224,395,182,212,223,98,5,18,0,1515,169,197,173,143,46,164,78,132,197,116,43,15,42,0,1715,1018,54,126,186,50,66,68,88,42,85,174,5,72,2,0,697,9,33,83,18,46,57,102,39,94,114,81,14,7,0,2250,963,16,20,67,17,90,122,131,96,104,189,92,0,7,12,1287,15,51,63,47,103,202,100,113,330,102,43,56,32,30,198,111,2,0,0,6,4,8,52,0,0,0,18,21,0,0,87,4,0,0,0,15,0,0,0,28,0,5,35,0,0,5322,2978,213,289,310,171,95,245,143,225,478,453,216,67,55,18,2344,182,147,314,198,80,147,59,127,387,316,203,101,60,23,5621,2980,519,435,504,187,112,198,80,221,257,190,168,54,55,0,2641,292,372,297,183,105,239,328,158,162,202,151,28,69,55,275191,135123,8156,8456,8528,5251,3724,9113,7910,8207,15111,18768,19742,12092,7188,2877,140068,7810,8208,8195,4887,3905,8677,7571,8085,15019,19034,19907,13375,9634,5761,41093,21495,2812,2445,2260,1226,812,1822,1681,1559,2940,2028,1120,560,181,49,19598,2179,2707,1957,1036,836,1587,1436,1339,2753,1750,1068,513,375,62,38.1,36.7,39.5,39.2,37.8,40.4,26.1,27.2,21.6,26.3,20.8,31.0,31.4,31.2,32.2,43.3,26.9,43.9,31.1,31.1,31.2,18.1,15.9,22.2,41.9,40.6,43.5,23.3,23.1,23.7,327488
40,NE,31,,,,,040E1US31,Nebraska -- In micropolitan statistical area -- in principal city,192532,94798,7675,6591,6801,3447,3330,1876,1859,4462,6757,6578,5225,5680,5506,6140,5575,2106,2965,1592,2071,2722,2291,1808,1741,97734,6354,6768,5871,3488,3538,1753,1701,4626,6346,6226,5550,5172,5198,6192,6416,2104,3139,1955,2095,3589,3156,2697,3800,179270,87569,7037,5902,5942,3100,2994,7489,6056,5985,10028,10694,10341,6256,4020,1725,91701,5886,6144,5378,3091,3233,7403,5894,5779,9739,10807,11334,7514,5770,3729,2872,1582,78,53,106,62,107,185,362,164,186,173,83,5,18,0,1290,157,153,107,123,41,149,42,132,189,100,40,15,42,0,1231,770,33,119,176,29,60,42,14,29,74,155,5,34,0,0,461,4,31,11,16,37,45,90,39,45,77,66,0,0,0,1852,838,10,18,58,12,81,121,126,73,93,184,62,0,0,0,1014,0,27,30,41,100,189,93,99,302,64,17,45,0,7,117,82,0,0,0,0,4,8,38,0,0,0,11,21,0,0,35,0,0,0,0,7,0,0,0,28,0,0,0,0,0,3638,2043,157,189,189,121,53,193,112,181,381,336,65,27,23,16,1595,136,130,233,143,61,111,43,44,300,223,91,52,16,12,3552,1914,360,310,330,123,31,159,49,146,143,104,79,42,38,0,1638,171,283,112,74,59,183,184,133,119,119,111,13,25,52,153899,74704,5053,4510,4648,2340,2478,6288,5061,4964,8321,9620,9814,5927,3970,1710,79195,4479,4290,4119,2463,2683,6304,4894,4954,8051,9798,10703,7232,5529,3696,30502,15718,2269,1724,1594,936,618,1488,1116,1221,2178,1474,624,372,73,31,14784,1564,2147,1514,800,648,1272,1126,945,2082,1309,746,334,252,45,35.1,33.3,37.1,36.2,34.2,37.9,26.8,27.7,23.1,25.2,19.2,29.7,30.3,29.9,30.5,43.1,26.8,.,27.7,30.4,23.9,18.2,13.6,23.6,39.5,37.6,41.2,22.6,22.2,23.1,192532
40,NE,31,,,,,040E2US31,Nebraska -- In micropolitan statistical area -- not in principal city,134956,67718,3811,4797,4734,3352,1545,674,697,1890,3472,3707,3734,3934,4288,5559,5792,2084,2696,1758,2022,2623,1803,1549,1197,67238,4078,4618,4842,2773,1466,595,538,1633,3166,3560,4026,3721,4335,5493,5109,1875,2632,1528,2141,2728,2367,1906,2108,129662,64962,3552,4547,4389,3120,1383,3104,3284,3534,7409,9570,10280,6313,3294,1183,64700,3875,4442,4405,2581,1376,2634,2951,3438,7532,9561,9415,6273,4146,2071,578,353,15,16,31,86,24,39,33,18,26,50,15,0,0,0,225,12,44,66,20,5,15,36,0,8,16,3,0,0,0,484,248,21,7,10,21,6,26,74,13,11,19,0,38,2,0,236,5,2,72,2,9,12,12,0,49,37,15,14,7,0,398,125,6,2,9,5,9,1,5,23,11,5,30,0,7,12,273,15,24,33,6,3,13,7,14,28,38,26,11,32,23,81,29,2,0,0,6,0,0,14,0,0,0,7,0,0,0,52,4,0,0,0,8,0,0,0,0,0,5,35,0,0,1684,935,56,100,121,50,42,52,31,44,97,117,151,40,32,2,749,46,17,81,55,19,36,16,83,87,93,112,49,44,11,2069,1066,159,125,174,64,81,39,31,75,114,86,89,12,17,0,1003,121,89,185,109,46,56,144,25,43,83,40,15,44,3,121292,60419,3103,3946,3880,2911,1246,2825,2849,3243,6790,9148,9928,6165,3218,1167,60873,3331,3918,4076,2424,1222,2373,2677,3131,6968,9236,9204,6143,4105,2065,10591,5777,543,721,666,290,194,334,565,338,762,554,496,188,108,18,4814,615,560,443,236,188,315,310,394,671,441,322,179,123,17,42.6,41.9,43.4,43.3,42.6,44.0,18.0,20.2,12.7,28.6,28.5,37.1,41.3,43.1,41.3,61.9,29.5,68.3,34.7,33.1,36.5,18.1,18.1,18.0,44.8,44.1,45.4,25.9,26.4,25.4,134956
