SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NH,33,,,,,04000US33,New Hampshire,1324201,653484,33531,37873,40472,26632,19781,9900,9919,25067,39514,37282,37177,43571,50559,55573,50802,18655,26279,15130,18192,22786,14988,10661,9140,670717,32061,36382,39574,25155,20136,9756,9378,23439,37529,37104,38432,43894,51423,57097,52906,19474,25910,15670,19103,25421,18865,14921,17087,1241313,611970,29905,34262,37041,24776,17961,41180,36093,34234,74082,101142,92447,54756,25133,8958,629343,28630,32334,35521,23150,18304,39273,34586,34191,76134,103610,95076,58511,33223,16800,17439,9540,609,553,765,381,391,985,960,681,1574,1371,784,353,72,61,7899,383,708,972,512,417,766,529,595,906,1105,587,307,100,12,2238,1086,18,91,46,43,13,119,101,46,120,163,286,15,15,10,1152,95,82,76,6,22,84,54,62,147,223,195,68,10,28,31364,14644,999,1152,854,613,483,1261,1084,1344,2947,1939,1213,494,190,71,16720,985,1155,1157,598,572,1402,1305,1529,3340,1943,1607,767,258,102,228,118,0,0,0,0,4,22,0,22,60,0,5,5,0,0,110,0,10,0,0,18,11,0,0,9,14,35,13,0,0,7273,3988,341,253,307,176,221,496,364,319,793,386,182,150,0,0,3285,320,355,262,166,167,211,274,321,450,514,155,54,16,20,24346,12138,1659,1562,1459,643,708,823,912,636,1172,1131,819,335,239,40,12208,1648,1738,1586,723,636,826,781,406,1340,1111,635,474,179,125,1210369,596296,28237,32578,35706,23860,17268,39619,34856,32961,71941,99451,91568,54353,25024,8874,614073,27103,30821,34255,22410,17737,37815,33320,33071,73993,102034,93821,57957,33022,16714,42141,21288,2057,2191,1904,1220,938,2221,1738,1672,3012,2327,1181,580,154,93,20853,2134,1967,2083,1043,813,1852,1694,1569,2858,2297,1533,664,210,136,42.2,41.2,43.1,43.2,42.2,44.2,29.4,30.9,26.4,40.1,38.8,41.2,33.5,32.7,34.0,36.9,36.4,49.5,28.1,27.5,28.5,19.7,20.2,19.2,43.7,42.8,44.6,25.9,25.3,26.6,1324201
40,NH,33,,,,,04001US33,New Hampshire -- Urban,796402,389468,20583,22782,23280,15693,12972,6750,6780,17291,27428,24548,23306,25891,29795,31332,27572,9870,14385,8004,9133,12004,8072,6074,5923,406934,20200,21801,22972,14889,13716,7212,6414,16742,25627,24605,24309,25495,30144,32715,29078,10654,14700,8916,10648,14010,11455,9332,11300,731042,356398,17620,20000,20846,14287,11499,27635,24413,21933,43859,57314,49321,28073,13807,5791,374644,17418,18649,20110,13355,12271,27567,23179,22042,44937,59255,51952,32464,20375,11070,14746,7947,593,497,613,331,262,843,852,562,1188,1188,596,305,56,61,6799,373,636,680,441,344,711,498,572,772,898,505,272,97,0,1497,749,13,88,21,12,9,115,101,40,60,101,189,0,0,0,748,89,58,51,6,22,76,50,29,73,107,136,18,10,23,26691,12736,946,939,698,509,448,1127,980,1173,2625,1654,1022,438,133,44,13955,878,983,881,464,474,1284,1201,1387,2736,1568,1282,521,201,95,150,83,0,0,0,0,4,22,0,22,30,0,5,0,0,0,67,0,10,0,0,18,0,0,0,0,14,25,0,0,0,6032,3298,331,203,231,134,217,378,334,253,652,296,135,134,0,0,2734,301,280,256,125,130,171,213,313,416,411,57,45,16,0,16244,8257,1080,1055,871,420,533,701,748,565,783,574,559,191,150,27,7987,1141,1185,994,498,457,559,486,262,870,606,475,254,88,112,706101,343533,16271,18547,19816,13579,10953,26363,23365,20838,41988,55926,48629,27839,13712,5707,362568,16111,17532,19090,12752,11859,26397,22042,21203,43152,58151,51068,31976,20251,10984,34372,17500,1704,1884,1441,956,779,1782,1529,1412,2559,1896,963,384,127,84,16872,1869,1529,1779,856,627,1510,1448,1270,2417,1675,1081,562,133,116,39.8,38.6,41.1,41.2,39.8,42.5,29.2,29.9,26.6,31.6,31.3,33.2,32.8,32.6,33.1,35.0,34.7,49.4,27.4,27.0,28.0,19.7,20.8,18.6,41.9,40.5,43.2,25.8,25.6,26.0,796402
40,NH,33,,,,,04043US33,New Hampshire -- Rural,527799,264016,12948,15091,17192,10939,6809,3150,3139,7776,12086,12734,13871,17680,20764,24241,23230,8785,11894,7126,9059,10782,6916,4587,3217,263783,11861,14581,16602,10266,6420,2544,2964,6697,11902,12499,14123,18399,21279,24382,23828,8820,11210,6754,8455,11411,7410,5589,5787,510271,255572,12285,14262,16195,10489,6462,13545,11680,12301,30223,43828,43126,26683,11326,3167,254699,11212,13685,15411,9795,6033,11706,11407,12149,31197,44355,43124,26047,12848,5730,2693,1593,16,56,152,50,129,142,108,119,386,183,188,48,16,0,1100,10,72,292,71,73,55,31,23,134,207,82,35,3,12,741,337,5,3,25,31,4,4,0,6,60,62,97,15,15,10,404,6,24,25,0,0,8,4,33,74,116,59,50,0,5,4673,1908,53,213,156,104,35,134,104,171,322,285,191,56,57,27,2765,107,172,276,134,98,118,104,142,604,375,325,246,57,7,78,35,0,0,0,0,0,0,0,0,30,0,0,5,0,0,43,0,0,0,0,0,11,0,0,9,0,10,13,0,0,1241,690,10,50,76,42,4,118,30,66,141,90,47,16,0,0,551,19,75,6,41,37,40,61,8,34,103,98,9,0,20,8102,3881,579,507,588,223,175,122,164,71,389,557,260,144,89,13,4221,507,553,592,225,179,267,295,144,470,505,160,220,91,13,504268,252763,11966,14031,15890,10281,6315,13256,11491,12123,29953,43525,42939,26514,11312,3167,251505,10992,13289,15165,9658,5878,11418,11278,11868,30841,43883,42753,25981,12771,5730,7769,3788,353,307,463,264,159,439,209,260,453,431,218,196,27,9,3981,265,438,304,187,186,342,246,299,441,622,452,102,77,20,45.2,44.7,45.8,45.7,45.1,46.3,33.3,35.4,21.5,49.2,51.1,46.4,36.7,34.3,37.7,42.9,42.8,59.2,31.5,31.7,29.9,19.5,18.3,20.9,45.9,45.3,46.4,26.6,23.6,30.2,527799
40,NH,33,,,,,040A0US33,New Hampshire -- In metropolitan or micropolitan statistical area,1276688,629772,32577,36644,39275,25697,19318,9649,9466,24594,38545,36263,36044,42267,48854,53559,48803,17638,25058,14406,16877,21508,13976,10191,8563,646916,31211,35472,38297,24370,19732,9641,9152,22767,36562,36109,37502,42301,49678,54919,50692,18388,24808,14931,17916,24135,17987,14084,16262,1195037,588953,29010,33061,35899,23894,17511,40038,35140,33270,71758,97620,88250,51452,23669,8381,606084,27821,31470,34268,22380,17913,38285,33630,33196,73714,99808,90735,55376,31513,15975,17268,9438,609,553,754,354,378,985,946,681,1553,1355,784,353,72,61,7830,383,701,970,500,417,764,529,595,883,1089,580,307,100,12,2187,1074,18,91,43,43,13,119,101,46,120,154,286,15,15,10,1113,95,82,76,6,22,84,54,62,147,184,195,68,10,28,31079,14482,999,1152,846,600,483,1261,1084,1289,2947,1875,1201,484,190,71,16597,985,1148,1138,595,568,1391,1305,1529,3281,1936,1594,767,258,102,219,118,0,0,0,0,4,22,0,22,60,0,5,5,0,0,101,0,10,0,0,18,11,0,0,0,14,35,13,0,0,7260,3981,341,253,307,176,221,496,364,319,786,386,182,150,0,0,3279,320,355,262,166,167,211,274,321,450,514,155,48,16,20,23638,11726,1600,1534,1426,630,708,788,910,636,1087,1023,791,332,221,40,11912,1607,1706,1583,723,627,814,770,406,1328,1052,594,403,174,125,1164668,573618,27369,31412,34595,23020,16818,38587,33903,31999,69647,95929,87382,51100,23560,8297,591050,26294,29982,33006,21640,17346,36840,32378,32097,71610,98299,89526,54831,31312,15889,41498,20915,2030,2155,1873,1178,938,2111,1738,1670,2980,2300,1170,529,150,93,20583,2102,1942,2079,1043,813,1837,1680,1548,2821,2230,1487,655,210,136,41.8,40.8,42.7,42.9,41.9,43.9,29.4,31.0,26.3,38.4,38.5,38.0,33.4,32.6,33.9,36.8,36.4,49.8,28.1,27.5,28.5,19.4,19.9,19.0,43.4,42.4,44.3,25.9,25.4,26.4,1276688
40,NH,33,,,,,040C0US33,New Hampshire -- In metropolitan statistical area,828251,409142,22000,25085,26106,17244,11923,5607,5984,16194,25773,24292,23735,28868,32726,35654,31579,10761,14955,8830,9945,12647,8412,5737,5085,419109,21015,24241,25234,16432,11628,6090,5602,15423,24333,24036,25184,28550,33520,36250,31727,11009,15439,9293,10949,14292,11073,8495,9294,768475,379143,19140,22227,23633,15859,10848,25598,23132,22071,47738,64798,54960,30433,13746,4960,389332,18493,21361,22294,14965,10534,25021,22194,21741,48988,66115,56009,33330,19166,9121,13086,6855,477,496,586,263,170,581,779,451,1013,1000,631,301,56,51,6231,348,595,720,402,331,487,415,473,785,870,408,294,97,6,940,500,13,53,21,18,4,53,5,40,78,110,105,0,0,0,440,52,10,51,0,7,23,54,29,30,100,37,37,10,0,23743,11223,832,996,680,471,294,732,816,980,2428,1454,909,418,147,66,12520,772,897,827,405,284,874,1047,1235,2563,1566,1191,561,216,82,84,58,0,0,0,0,4,22,0,22,10,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,16,0,0,0,5736,3053,331,194,207,151,182,237,321,264,600,279,153,134,0,0,2683,206,260,238,126,134,188,211,311,370,467,111,45,16,0,16187,8310,1207,1119,979,482,421,562,720,464,736,739,537,136,200,8,7877,1144,1108,1104,534,338,522,412,247,998,652,403,267,63,85,743857,366384,17745,20879,22475,15146,10278,24432,22065,20989,46019,63425,54273,30145,13637,4876,377473,17148,20178,21307,14341,10232,24023,21091,20877,47282,64846,55217,32871,19025,9035,33618,17089,1726,1789,1520,962,772,1591,1507,1405,2386,1834,934,438,141,84,16529,1762,1538,1685,854,541,1365,1415,1281,2330,1895,1028,569,150,116,41.0,40.1,41.9,42.1,41.1,43.0,29.7,30.8,27.4,36.5,36.8,33.3,34.5,34.2,34.7,34.3,34.1,.,28.8,28.7,28.9,19.0,19.6,18.3,42.7,41.8,43.6,26.2,25.5,26.8,828251
40,NH,33,,,,,040C1US33,New Hampshire -- In metropolitan statistical area -- in principal city,197249,97943,5956,6271,5025,3425,2384,1364,1653,4644,8551,7779,6634,6679,7077,7603,6709,2166,3270,1541,2114,2640,1793,1240,1425,99306,5931,5517,5144,3648,2409,1360,1167,4573,7998,6939,6720,5961,7456,7108,6873,2365,3319,1942,2201,3332,2516,2088,2739,168397,83543,4732,4831,3987,2708,2094,6254,7282,6465,11029,12906,11124,5929,2835,1367,84854,4612,4151,3842,2791,1925,6072,6932,5771,10399,12850,11543,6909,4371,2686,8343,4174,336,316,355,180,86,456,312,391,524,704,299,150,14,51,4169,302,437,436,309,236,328,287,243,636,493,241,149,72,0,261,158,5,0,12,7,0,35,5,0,28,46,20,0,0,0,103,0,0,4,0,2,0,7,0,3,70,7,0,10,0,11688,5639,373,519,280,234,111,489,574,573,1109,709,407,141,116,4,6049,390,476,372,195,84,456,590,712,1092,681,593,280,128,0,30,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,26,0,10,0,0,0,0,0,0,0,0,16,0,0,0,2819,1445,77,75,92,124,50,185,172,113,288,157,53,59,0,0,1374,140,87,112,106,70,105,100,93,185,295,38,27,16,0,5711,2980,433,530,299,172,39,242,206,237,335,158,242,16,68,3,2731,487,356,378,247,92,139,82,120,366,175,119,110,7,53,153937,75904,3814,3884,3301,2361,1848,5495,6625,5771,10043,12104,10788,5800,2787,1283,78033,3779,3485,3300,2485,1767,5368,6222,5141,9559,12231,11048,6710,4291,2647,19648,10096,1105,1181,839,509,311,1057,927,907,1365,1051,492,188,80,84,9552,1155,854,956,508,329,822,834,781,1247,1032,621,255,89,69,37.4,36.2,38.6,39.4,37.9,41.0,28.5,30.5,25.6,47.5,35.5,53.5,31.8,31.7,31.9,56.1,.,.,28.0,28.0,28.1,17.8,20.2,16.3,41.3,39.8,42.9,25.6,25.2,26.1,197249
40,NH,33,,,,,040C2US33,New Hampshire -- In metropolitan statistical area -- not in principal city,631002,311199,16044,18814,21081,13819,9539,4243,4331,11550,17222,16513,17101,22189,25649,28051,24870,8595,11685,7289,7831,10007,6619,4497,3660,319803,15084,18724,20090,12784,9219,4730,4435,10850,16335,17097,18464,22589,26064,29142,24854,8644,12120,7351,8748,10960,8557,6407,6555,600078,295600,14408,17396,19646,13151,8754,19344,15850,15606,36709,51892,43836,24504,10911,3593,304478,13881,17210,18452,12174,8609,18949,15262,15970,38589,53265,44466,26421,14795,6435,4743,2681,141,180,231,83,84,125,467,60,489,296,332,151,42,0,2062,46,158,284,93,95,159,128,230,149,377,167,145,25,6,679,342,8,53,9,11,4,18,0,40,50,64,85,0,0,0,337,52,10,47,0,5,23,47,29,27,30,30,37,0,0,12055,5584,459,477,400,237,183,243,242,407,1319,745,502,277,31,62,6471,382,421,455,210,200,418,457,523,1471,885,598,281,88,82,54,54,0,0,0,0,0,22,0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2917,1608,254,119,115,27,132,52,149,151,312,122,100,75,0,0,1309,66,173,126,20,64,83,111,218,185,172,73,18,0,0,10476,5330,774,589,680,310,382,320,514,227,401,581,295,120,132,5,5146,657,752,726,287,246,383,330,127,632,477,284,157,56,32,589920,290480,13931,16995,19174,12785,8430,18937,15440,15218,35976,51321,43485,24345,10850,3593,299440,13369,16693,18007,11856,8465,18655,14869,15736,37723,52615,44169,26161,14734,6388,13970,6993,621,608,681,453,461,534,580,498,1021,783,442,250,61,0,6977,607,684,729,346,212,543,581,500,1083,863,407,314,61,47,42.0,41.2,42.8,42.7,41.9,43.5,32.9,34.3,32.5,31.9,40.5,27.6,35.9,36.1,35.8,34.2,34.2,.,29.4,29.1,31.0,19.4,19.5,19.2,43.0,42.2,43.8,27.3,26.0,28.1,631002
40,NH,33,,,,,040E0US33,New Hampshire -- In micropolitan statistical area,448437,220630,10577,11559,13169,8453,7395,4042,3482,8400,12772,11971,12309,13399,16128,17905,17224,6877,10103,5576,6932,8861,5564,4454,3478,227807,10196,11231,13063,7938,8104,3551,3550,7344,12229,12073,12318,13751,16158,18669,18965,7379,9369,5638,6967,9843,6914,5589,6968,426562,209810,9870,10834,12266,8035,6663,14440,12008,11199,24020,32822,33290,21019,9923,3421,216752,9328,10109,11974,7415,7379,13264,11436,11455,24726,33693,34726,22046,12347,6854,4182,2583,132,57,168,91,208,404,167,230,540,355,153,52,16,10,1599,35,106,250,98,86,277,114,122,98,219,172,13,3,6,1247,574,5,38,22,25,9,66,96,6,42,44,181,15,15,10,673,43,72,25,6,15,61,0,33,117,84,158,31,0,28,7336,3259,167,156,166,129,189,529,268,309,519,421,292,66,43,5,4077,213,251,311,190,284,517,258,294,718,370,403,206,42,20,135,60,0,0,0,0,0,0,0,0,50,0,5,5,0,0,75,0,0,0,0,18,11,0,0,0,14,19,13,0,0,1524,928,10,59,100,25,39,259,43,55,186,107,29,16,0,0,596,114,95,24,40,33,23,63,10,80,47,44,3,0,20,7451,3416,393,415,447,148,287,226,190,172,351,284,254,196,21,32,4035,463,598,479,189,289,292,358,159,330,400,191,136,111,40,420811,207234,9624,10533,12120,7874,6540,14155,11838,11010,23628,32504,33109,20955,9923,3421,213577,9146,9804,11699,7299,7114,12817,11287,11220,24328,33453,34309,21960,12287,6854,7880,3826,304,366,353,216,166,520,231,265,594,466,236,91,9,9,4054,340,404,394,189,272,472,265,267,491,335,459,86,60,20,43.5,42.5,44.5,44.4,43.5,45.5,26.7,32.1,23.3,40.6,38.8,41.4,30.4,30.4,30.4,42.2,37.0,49.6,23.7,24.1,18.8,20.1,20.5,20.0,44.7,43.7,45.8,24.7,24.9,24.5,448437
40,NH,33,,,,,040E1US33,New Hampshire -- In micropolitan statistical area -- in principal city,118206,57012,2958,3062,3101,2127,1643,1038,855,2689,4469,3728,3648,3429,4337,4234,4246,1544,2352,1114,1478,1742,1167,1083,968,61194,2918,2982,3307,2038,2575,895,1227,2445,4062,3947,3364,3554,4021,4624,4177,1813,2199,1410,1526,2031,1848,1865,2366,109697,52514,2585,2791,2732,1975,1521,4191,4095,3304,6106,8022,7760,4232,2242,958,57183,2462,2440,3027,1876,2433,4213,3739,3647,6310,8221,7905,4922,3667,2321,2131,1365,122,37,96,34,16,91,109,171,377,221,56,17,8,10,766,6,70,75,31,16,129,52,91,40,138,109,9,0,0,330,216,0,35,0,0,9,3,91,0,4,10,64,0,0,0,114,0,72,0,6,0,15,0,0,6,0,10,0,0,5,2923,1394,136,47,77,52,1,128,112,202,260,237,142,0,0,0,1529,154,59,93,68,34,133,125,154,406,177,102,11,0,13,49,35,0,0,0,0,0,0,0,0,30,0,5,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,0,458,279,0,26,15,1,0,69,14,0,131,9,0,14,0,0,179,95,27,0,12,0,0,2,5,38,0,0,0,0,0,2618,1209,115,126,181,65,96,100,48,51,169,72,115,71,0,0,1409,201,314,112,45,92,77,144,50,118,95,63,25,46,27,107834,51619,2514,2674,2661,1906,1507,4121,4021,3176,6027,7887,7705,4220,2242,958,56215,2431,2389,2935,1876,2345,4113,3684,3525,6107,8163,7760,4914,3652,2321,2692,1293,95,151,140,94,14,96,91,145,203,159,79,26,0,0,1399,160,90,158,28,88,106,102,139,254,106,145,8,15,0,40.0,38.8,41.3,41.5,39.9,42.9,33.4,35.1,31.7,29.1,29.6,8.7,33.3,33.3,33.3,36.8,.,.,23.7,36.2,1.9,19.4,21.7,18.4,41.8,40.3,43.2,27.6,27.8,27.4,118206
40,NH,33,,,,,040E2US33,New Hampshire -- In micropolitan statistical area -- not in principal city,330231,163618,7619,8497,10068,6326,5752,3004,2627,5711,8303,8243,8661,9970,11791,13671,12978,5333,7751,4462,5454,7119,4397,3371,2510,166613,7278,8249,9756,5900,5529,2656,2323,4899,8167,8126,8954,10197,12137,14045,14788,5566,7170,4228,5441,7812,5066,3724,4602,316865,157296,7285,8043,9534,6060,5142,10249,7913,7895,17914,24800,25530,16787,7681,2463,159569,6866,7669,8947,5539,4946,9051,7697,7808,18416,25472,26821,17124,8680,4533,2051,1218,10,20,72,57,192,313,58,59,163,134,97,35,8,0,833,29,36,175,67,70,148,62,31,58,81,63,4,3,6,917,358,5,3,22,25,0,63,5,6,38,34,117,15,15,10,559,43,0,25,0,15,46,0,33,111,84,148,31,0,23,4413,1865,31,109,89,77,188,401,156,107,259,184,150,66,43,5,2548,59,192,218,122,250,384,133,140,312,193,301,195,42,7,86,25,0,0,0,0,0,0,0,0,20,0,0,5,0,0,61,0,0,0,0,18,11,0,0,0,0,19,13,0,0,1066,649,10,33,85,24,39,190,29,55,55,98,29,2,0,0,417,19,68,24,28,33,23,61,5,42,47,44,3,0,20,4833,2207,278,289,266,83,191,126,142,121,182,212,139,125,21,32,2626,262,284,367,144,197,215,214,109,212,305,128,111,65,13,312977,155615,7110,7859,9459,5968,5033,10034,7817,7834,17601,24617,25404,16735,7681,2463,157362,6715,7415,8764,5423,4769,8704,7603,7695,18221,25290,26549,17046,8635,4533,5188,2533,209,215,213,122,152,424,140,120,391,307,157,65,9,9,2655,180,314,236,161,184,366,163,128,237,229,314,78,45,20,44.6,43.7,45.6,45.4,44.4,46.4,21.7,22.9,20.8,49.3,50.4,49.0,25.8,25.8,25.8,42.6,42.5,59.2,22.0,21.7,29.1,20.5,19.9,20.8,45.6,44.6,46.6,23.4,22.9,23.4,330231
