SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NJ,34,,,,,04000US34,New Jersey,8904413,4343027,272239,280348,296798,183608,116855,60405,59146,171414,288078,286242,278323,306371,324604,335379,297889,104045,139864,84100,103828,130458,92629,68009,62395,4561386,261405,272618,281395,174902,108255,56907,54072,162551,278395,288661,286407,315976,340805,351753,316509,115598,157373,96148,120085,162862,121544,107002,130163,6083940,2971412,165117,176140,191135,120332,75773,181088,180556,176649,373855,473823,416053,252585,132755,55551,3112528,156908,169936,181049,114253,69517,171647,171331,174500,379004,487569,441942,293630,186687,114555,1202300,564885,39037,38614,43891,27869,18930,49350,41099,38233,77957,82410,58515,30930,14470,3580,637415,38954,38950,41758,27628,18137,47748,43251,43214,88921,96158,73953,44926,23976,9841,18335,9321,804,758,777,472,221,502,354,579,1497,1427,1036,558,322,14,9014,785,745,646,300,231,610,631,621,1176,1268,938,581,385,97,804989,391575,26012,26573,25754,14880,8834,22837,29750,35497,70972,55013,40792,23471,9111,2079,413414,25043,26742,24994,14285,8553,22986,31875,38561,74812,59294,45314,26192,11154,3609,2808,1238,82,55,133,28,104,116,149,122,138,149,71,65,26,0,1570,60,100,69,99,80,158,87,178,316,219,165,31,8,0,568215,294057,23399,23417,22538,13455,9485,27587,28333,28912,49986,37221,18883,7602,2397,842,274158,22577,23028,20242,11924,7951,21453,23851,24797,46030,37078,19517,9910,4502,1298,223826,110539,17788,14791,12570,6572,3508,9485,7837,6250,10289,9940,6448,3175,1557,329,113287,17078,13117,12637,6413,3786,8928,7369,6790,12124,10972,7651,3825,1834,763,5093430,2480160,120874,135958,154264,98160,60268,142489,140992,135808,298593,409607,375955,231355,123330,52507,2613270,114768,131290,143808,92807,55096,135479,135341,135355,304259,421432,395192,267096,172253,109094,1688008,848781,76725,70361,65842,39316,26787,72214,72553,73877,132683,107373,63166,30851,12962,4071,839227,74029,67874,63189,37086,24571,63825,64450,68475,128254,109863,71294,39046,20003,7268,39.4,37.8,40.9,42.7,41.1,44.3,35.3,33.1,37.1,35.4,36.1,34.6,36.2,35.7,36.7,31.1,29.2,33.8,30.4,29.8,31.1,20.9,20.0,21.9,45.1,43.6,46.5,30.8,30.0,31.7,8904413
40,NJ,34,,,,,04001US34,New Jersey -- Urban,8430988,4101943,261077,266832,279812,172337,110788,57206,56408,161874,276140,274164,266158,290720,303804,312905,277358,97265,130044,78283,96257,122286,86806,64238,59181,4329045,250887,260224,265662,163716,102590,54107,51609,155252,269379,278726,274476,300193,320292,329972,296038,108310,147676,90434,112951,154443,115330,102197,124581,5663974,2760218,155568,164344,176238,110596,70708,168731,171127,167104,350608,434942,381496,232355,123895,52506,2903756,147754,159391,167800,104453,64563,160465,163196,165596,354829,448940,407112,273647,176650,109360,1177800,549617,38751,38083,43016,27052,18350,47578,39732,36666,75464,80038,57109,30201,14066,3511,628183,38512,38408,40994,27214,17873,47172,42899,42751,87825,94681,72600,44251,23378,9625,17455,8831,802,719,757,470,199,469,324,552,1419,1375,934,511,287,13,8624,776,731,612,281,229,570,625,608,1149,1202,836,561,363,81,792419,385955,25699,26167,25172,14541,8758,22636,29465,35381,70063,53982,40065,23156,8830,2040,406464,24733,26281,24222,13876,8383,22700,31620,38309,73343,58254,44552,25836,10851,3504,2770,1235,82,55,130,28,104,116,149,122,138,149,71,65,26,0,1535,60,96,69,86,80,158,87,178,316,208,165,24,8,0,561343,289839,23103,23114,22403,13343,9309,27111,27818,28318,49199,36609,18753,7571,2395,793,271504,22419,22727,19929,11795,7879,21326,23724,24597,45494,36546,19414,9887,4488,1279,215227,106248,17072,14350,12096,6307,3360,8847,7525,6021,9987,9614,6239,2967,1545,318,108979,16633,12590,12036,6011,3583,8577,7228,6687,11713,10433,7345,3622,1789,732,4692137,2278582,112161,125074,140376,89110,55404,130861,131949,126917,276688,372101,342217,211712,114542,49470,2413555,106351,121666,131241,83559,50601,125031,127550,126917,281452,384033,361136,247602,162416,104000,1660126,833668,75478,69123,64582,38419,26359,70675,71469,72594,130359,105290,62202,30218,12886,4014,826458,72957,66569,62145,36270,23930,62809,63961,67800,126240,108042,70312,38492,19783,7148,39.1,37.5,40.6,42.5,40.9,44.1,35.2,33.0,37.0,35.0,35.7,34.3,36.1,35.6,36.7,31.1,29.2,33.8,30.4,29.8,31.1,21.0,20.0,22.0,45.0,43.4,46.5,30.8,30.0,31.8,8430988
40,NJ,34,,,,,04043US34,New Jersey -- Rural,473425,241084,11162,13516,16986,11271,6067,3199,2738,9540,11938,12078,12165,15651,20800,22474,20531,6780,9820,5817,7571,8172,5823,3771,3214,232341,10518,12394,15733,11186,5665,2800,2463,7299,9016,9935,11931,15783,20513,21781,20471,7288,9697,5714,7134,8419,6214,4805,5582,419966,211194,9549,11796,14897,9736,5065,12357,9429,9545,23247,38881,34557,20230,8860,3045,208772,9154,10545,13249,9800,4954,11182,8135,8904,24175,38629,34830,19983,10037,5195,24500,15268,286,531,875,817,580,1772,1367,1567,2493,2372,1406,729,404,69,9232,442,542,764,414,264,576,352,463,1096,1477,1353,675,598,216,880,490,2,39,20,2,22,33,30,27,78,52,102,47,35,1,390,9,14,34,19,2,40,6,13,27,66,102,20,22,16,12570,5620,313,406,582,339,76,201,285,116,909,1031,727,315,281,39,6950,310,461,772,409,170,286,255,252,1469,1040,762,356,303,105,38,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,35,0,4,0,13,0,0,0,0,0,11,0,7,0,0,6872,4218,296,303,135,112,176,476,515,594,787,612,130,31,2,49,2654,158,301,313,129,72,127,127,200,536,532,103,23,14,19,8599,4291,716,441,474,265,148,638,312,229,302,326,209,208,12,11,4308,445,527,601,402,203,351,141,103,411,539,306,203,45,31,401293,201578,8713,10884,13888,9050,4864,11628,9043,8891,21905,37506,33738,19643,8788,3037,199715,8417,9624,12567,9248,4495,10448,7791,8438,22807,37399,34056,19494,9837,5094,27882,15113,1247,1238,1260,897,428,1539,1084,1283,2324,2083,964,633,76,57,12769,1072,1305,1044,816,641,1016,489,675,2014,1821,982,554,220,120,44.4,43.2,45.4,45.7,45.0,46.3,37.1,34.4,41.8,48.1,44.7,49.3,40.1,41.1,39.5,17.9,.,49.0,30.7,30.5,31.3,20.4,20.8,19.7,46.3,45.7,46.9,29.6,29.4,30.0,473425
40,NJ,34,,,,,040A0US34,New Jersey -- In metropolitan or micropolitan statistical area,8904413,4343027,272239,280348,296798,183608,116855,60405,59146,171414,288078,286242,278323,306371,324604,335379,297889,104045,139864,84100,103828,130458,92629,68009,62395,4561386,261405,272618,281395,174902,108255,56907,54072,162551,278395,288661,286407,315976,340805,351753,316509,115598,157373,96148,120085,162862,121544,107002,130163,6083940,2971412,165117,176140,191135,120332,75773,181088,180556,176649,373855,473823,416053,252585,132755,55551,3112528,156908,169936,181049,114253,69517,171647,171331,174500,379004,487569,441942,293630,186687,114555,1202300,564885,39037,38614,43891,27869,18930,49350,41099,38233,77957,82410,58515,30930,14470,3580,637415,38954,38950,41758,27628,18137,47748,43251,43214,88921,96158,73953,44926,23976,9841,18335,9321,804,758,777,472,221,502,354,579,1497,1427,1036,558,322,14,9014,785,745,646,300,231,610,631,621,1176,1268,938,581,385,97,804989,391575,26012,26573,25754,14880,8834,22837,29750,35497,70972,55013,40792,23471,9111,2079,413414,25043,26742,24994,14285,8553,22986,31875,38561,74812,59294,45314,26192,11154,3609,2808,1238,82,55,133,28,104,116,149,122,138,149,71,65,26,0,1570,60,100,69,99,80,158,87,178,316,219,165,31,8,0,568215,294057,23399,23417,22538,13455,9485,27587,28333,28912,49986,37221,18883,7602,2397,842,274158,22577,23028,20242,11924,7951,21453,23851,24797,46030,37078,19517,9910,4502,1298,223826,110539,17788,14791,12570,6572,3508,9485,7837,6250,10289,9940,6448,3175,1557,329,113287,17078,13117,12637,6413,3786,8928,7369,6790,12124,10972,7651,3825,1834,763,5093430,2480160,120874,135958,154264,98160,60268,142489,140992,135808,298593,409607,375955,231355,123330,52507,2613270,114768,131290,143808,92807,55096,135479,135341,135355,304259,421432,395192,267096,172253,109094,1688008,848781,76725,70361,65842,39316,26787,72214,72553,73877,132683,107373,63166,30851,12962,4071,839227,74029,67874,63189,37086,24571,63825,64450,68475,128254,109863,71294,39046,20003,7268,39.4,37.8,40.9,42.7,41.1,44.3,35.3,33.1,37.1,35.4,36.1,34.6,36.2,35.7,36.7,31.1,29.2,33.8,30.4,29.8,31.1,20.9,20.0,21.9,45.1,43.6,46.5,30.8,30.0,31.7,8904413
40,NJ,34,,,,,040C0US34,New Jersey -- In metropolitan statistical area,8904413,4343027,272239,280348,296798,183608,116855,60405,59146,171414,288078,286242,278323,306371,324604,335379,297889,104045,139864,84100,103828,130458,92629,68009,62395,4561386,261405,272618,281395,174902,108255,56907,54072,162551,278395,288661,286407,315976,340805,351753,316509,115598,157373,96148,120085,162862,121544,107002,130163,6083940,2971412,165117,176140,191135,120332,75773,181088,180556,176649,373855,473823,416053,252585,132755,55551,3112528,156908,169936,181049,114253,69517,171647,171331,174500,379004,487569,441942,293630,186687,114555,1202300,564885,39037,38614,43891,27869,18930,49350,41099,38233,77957,82410,58515,30930,14470,3580,637415,38954,38950,41758,27628,18137,47748,43251,43214,88921,96158,73953,44926,23976,9841,18335,9321,804,758,777,472,221,502,354,579,1497,1427,1036,558,322,14,9014,785,745,646,300,231,610,631,621,1176,1268,938,581,385,97,804989,391575,26012,26573,25754,14880,8834,22837,29750,35497,70972,55013,40792,23471,9111,2079,413414,25043,26742,24994,14285,8553,22986,31875,38561,74812,59294,45314,26192,11154,3609,2808,1238,82,55,133,28,104,116,149,122,138,149,71,65,26,0,1570,60,100,69,99,80,158,87,178,316,219,165,31,8,0,568215,294057,23399,23417,22538,13455,9485,27587,28333,28912,49986,37221,18883,7602,2397,842,274158,22577,23028,20242,11924,7951,21453,23851,24797,46030,37078,19517,9910,4502,1298,223826,110539,17788,14791,12570,6572,3508,9485,7837,6250,10289,9940,6448,3175,1557,329,113287,17078,13117,12637,6413,3786,8928,7369,6790,12124,10972,7651,3825,1834,763,5093430,2480160,120874,135958,154264,98160,60268,142489,140992,135808,298593,409607,375955,231355,123330,52507,2613270,114768,131290,143808,92807,55096,135479,135341,135355,304259,421432,395192,267096,172253,109094,1688008,848781,76725,70361,65842,39316,26787,72214,72553,73877,132683,107373,63166,30851,12962,4071,839227,74029,67874,63189,37086,24571,63825,64450,68475,128254,109863,71294,39046,20003,7268,39.4,37.8,40.9,42.7,41.1,44.3,35.3,33.1,37.1,35.4,36.1,34.6,36.2,35.7,36.7,31.1,29.2,33.8,30.4,29.8,31.1,20.9,20.0,21.9,45.1,43.6,46.5,30.8,30.0,31.7,8904413
40,NJ,34,,,,,040C1US34,New Jersey -- In metropolitan statistical area -- in principal city,962849,476920,39540,34603,31096,18541,14955,8704,8343,25011,45249,42558,35588,33228,30689,28694,23568,8405,11463,6682,7488,9159,6145,4051,3160,485929,39291,33745,31221,18608,14247,8455,8162,24028,41187,41082,34017,31338,30026,29924,25029,9147,12072,7533,9112,13535,9265,7310,7595,375793,191945,15698,13583,10926,6482,5969,15900,17209,16943,27179,24655,18439,11445,5523,1994,183848,15575,12393,11625,6561,5159,14793,13854,15083,23493,21436,18299,12908,7848,4821,328558,153376,12327,11230,11982,7317,5191,14181,12819,10753,20474,21009,14705,7469,3195,724,175182,12708,11826,11838,7542,5461,14480,13352,13576,23063,23733,17619,11299,6491,2194,3991,1803,225,42,162,94,74,85,118,140,255,243,250,56,59,0,2188,296,242,121,45,51,174,180,158,117,331,239,193,34,7,86346,43594,2895,1937,1464,1038,1204,3942,6680,6836,7078,3833,4022,1900,499,266,42752,2701,1721,1466,983,1252,4209,6104,5584,6472,4380,4376,2457,874,173,438,234,0,14,36,11,0,35,36,20,29,27,0,0,26,0,204,15,6,0,6,0,58,6,13,53,11,15,21,0,0,139333,72336,6174,6163,5109,3021,1987,6766,7147,6977,12412,8682,5040,2100,640,118,66997,5749,6234,4859,2774,1679,5626,6541,5548,10690,8525,4678,2843,945,306,28390,13632,2221,1634,1417,578,530,1149,1240,889,1389,934,980,359,254,58,14758,2247,1323,1312,697,645,1305,1150,1120,1467,1534,1022,459,383,94,215241,110284,8083,6792,5509,3220,3174,9301,9487,9367,14146,14966,12690,7882,4021,1646,104957,8126,6234,5329,3025,2895,8431,7691,8015,12132,12336,11952,8912,5979,3900,329011,167273,16019,14621,12010,6939,5294,14653,16160,15123,26662,19319,11539,6042,2417,475,161738,16005,13995,12769,7212,4666,13490,13473,13752,23650,18786,12138,7322,3199,1281,32.1,31.4,32.9,33.4,32.9,33.9,32.4,30.7,33.7,30.5,32.5,29.0,32.0,31.7,32.5,28.9,28.6,34.8,29.9,29.9,30.0,23.1,21.6,24.3,36.0,35.1,37.0,29.5,29.3,29.7,962849
40,NJ,34,,,,,040C2US34,New Jersey -- In metropolitan statistical area -- not in principal city,7941564,3866107,232699,245745,265702,165067,101900,51701,50803,146403,242829,243684,242735,273143,293915,306685,274321,95640,128401,77418,96340,121299,86484,63958,59235,4075457,222114,238873,250174,156294,94008,48452,45910,138523,237208,247579,252390,284638,310779,321829,291480,106451,145301,88615,110973,149327,112279,99692,122568,5708147,2779467,149419,162557,180209,113850,69804,165188,163347,159706,346676,449168,397614,241140,127232,53557,2928680,141333,157543,169424,107692,64358,156854,157477,159417,355511,466133,423643,280722,178839,109734,873742,411509,26710,27384,31909,20552,13739,35169,28280,27480,57483,61401,43810,23461,11275,2856,462233,26246,27124,29920,20086,12676,33268,29899,29638,65858,72425,56334,33627,17485,7647,14344,7518,579,716,615,378,147,417,236,439,1242,1184,786,502,263,14,6826,489,503,525,255,180,436,451,463,1059,937,699,388,351,90,718643,347981,23117,24636,24290,13842,7630,18895,23070,28661,63894,51180,36770,21571,8612,1813,370662,22342,25021,23528,13302,7301,18777,25771,32977,68340,54914,40938,23735,10280,3436,2370,1004,82,41,97,17,104,81,113,102,109,122,71,65,0,0,1366,45,94,69,93,80,100,81,165,263,208,150,10,8,0,428882,221721,17225,17254,17429,10434,7498,20821,21186,21935,37574,28539,13843,5502,1757,724,207161,16828,16794,15383,9150,6272,15827,17310,19249,35340,28553,14839,7067,3557,992,195436,96907,15567,13157,11153,5994,2978,8336,6597,5361,8900,9006,5468,2816,1303,271,98529,14831,11794,11325,5716,3141,7623,6219,5670,10657,9438,6629,3366,1451,669,4878189,2369876,112791,129166,148755,94940,57094,133188,131505,126441,284447,394641,363265,223473,119309,50861,2508313,106642,125056,138479,89782,52201,127048,127650,127340,292127,409096,383240,258184,166274,105194,1358997,681508,60706,55740,53832,32377,21493,57561,56393,58754,106021,88054,51627,24809,10545,3596,677489,58024,53879,50420,29874,19905,50335,50977,54723,104604,91077,59156,31724,16804,5987,40.4,38.9,41.9,43.4,41.8,44.9,36.4,34.0,38.5,36.1,37.0,35.7,36.9,36.5,37.4,31.1,29.4,33.5,30.5,29.7,31.5,20.6,19.7,21.6,45.5,44.0,46.8,31.1,30.2,32.2,7941564
50,NJ,34,001,,,,05000US34001,"Atlantic County, New Jersey",275376,133217,8381,8113,9308,5661,3744,2031,1783,5726,8281,7650,7442,8537,9605,10636,9223,3800,4901,2832,3544,4711,3123,2495,1690,142159,8173,7924,8677,5424,3663,1989,2187,5178,8355,8119,7694,9856,10375,11325,9878,3879,5576,2984,4222,5622,3951,3177,3931,184901,89904,4621,4406,5804,3415,2288,6005,5258,5037,10543,14150,13526,8749,4694,1408,94997,4747,4638,5023,3252,2327,5859,5233,5035,10699,15002,14245,9884,5818,3235,42859,19677,1688,1583,1504,937,763,1626,1164,1096,2334,2944,2195,1144,538,161,23182,1445,1494,1335,1042,691,1955,1571,1299,3036,3430,2775,1715,912,482,705,369,85,27,23,0,0,35,22,7,27,6,111,26,0,0,336,55,22,24,5,8,0,48,0,12,43,89,30,0,0,22819,11003,723,713,943,570,256,599,733,685,1508,1758,1399,773,232,111,11816,623,636,882,473,251,747,808,749,2027,1784,1631,794,316,95,71,28,0,0,3,0,0,25,0,0,0,0,0,0,0,0,43,0,4,0,0,0,21,0,0,0,18,0,0,0,0,14063,7079,428,795,479,367,303,699,662,560,1257,998,316,169,36,10,6984,571,379,694,304,221,512,386,720,1348,1024,368,318,59,80,9958,5157,836,589,552,372,134,551,442,265,310,385,377,226,118,0,4801,732,751,719,348,165,260,309,316,428,399,225,87,23,39,157071,75920,3298,3208,4523,2780,1875,4669,4163,3905,8499,12525,12441,8248,4399,1387,81151,3229,3458,3812,2647,1872,4773,4121,3971,8913,13184,13089,9399,5531,3152,49845,24859,2652,2449,2215,1230,817,2250,2031,1931,3506,2990,1663,726,368,31,24986,2631,2049,2416,1198,788,2010,1890,2029,3629,3041,1841,906,374,184,40.6,38.9,42.0,44.3,43.0,45.6,35.9,32.5,38.0,28.9,25.7,37.3,38.2,36.7,39.5,23.3,.,22.8,31.1,28.3,32.8,18.4,20.4,16.6,47.3,46.0,48.2,27.9,27.3,28.5,275376
50,NJ,34,003,,,,05000US34003,"Bergen County, New Jersey",926330,448049,25145,28716,30338,19418,11310,4947,5733,15587,26000,27721,28849,32710,34704,35957,32485,11618,14677,8982,11866,14212,11330,7658,8086,478281,24069,27397,29279,18325,10619,5067,5202,14656,25776,28938,31089,33979,37454,38023,35912,12454,16123,10417,13178,17900,14131,12842,15451,652390,316362,16213,18539,21197,13325,7854,17625,17134,16710,39878,51313,45722,27630,15919,7303,336028,15054,18254,20141,12447,7300,16409,16307,17782,40610,53479,48960,32663,22680,13942,54041,25312,1510,1603,1794,1296,861,1884,1614,1760,3629,4047,2732,1611,803,168,28729,1253,1587,1809,1301,774,1813,1608,1923,4252,4805,3516,2292,1274,522,1762,842,44,116,22,113,42,83,20,41,68,122,70,73,28,0,920,36,76,80,14,28,21,58,85,164,126,110,48,51,23,144708,68887,4217,4893,4023,2743,1522,3542,4393,5578,12421,10670,8072,4549,1944,320,75821,4148,4438,4237,2741,1439,3724,5057,6375,13826,12423,9174,5206,2177,856,212,33,6,0,0,0,8,0,0,0,0,19,0,0,0,0,179,0,0,0,0,27,2,0,10,16,64,49,3,8,0,52649,26415,1664,2081,2069,1301,719,2209,2248,3097,4659,3476,1542,903,181,266,26234,1926,1760,1810,1362,763,2239,2030,2208,4829,3664,2021,904,650,68,20568,10198,1491,1484,1233,640,304,924,591,535,904,1014,642,294,113,29,10370,1652,1282,1202,460,288,717,716,555,1371,916,659,379,133,40,549828,266887,12172,15029,17277,11093,6151,13870,13222,13155,31738,44249,41385,25632,14886,7028,282941,11657,14353,16547,10374,5775,13246,12643,13400,32393,45165,43598,29596,20893,13301,166161,81220,6259,6035,6408,3947,2609,6565,6550,6988,13358,11233,6352,3096,1264,556,84941,5933,6193,6015,3784,2425,5906,6092,7013,13809,12586,7772,4233,2471,709,41.5,40.0,42.9,44.3,42.7,45.7,38.6,36.4,40.2,35.0,26.1,40.6,38.6,37.7,39.3,51.5,49.2,51.8,31.9,31.2,32.9,20.8,19.7,22.3,46.3,44.9,47.6,33.0,31.4,34.3,926330
50,NJ,34,005,,,,05000US34005,"Burlington County, New Jersey",450556,221673,12257,13865,14850,9426,5766,3027,3180,10113,14185,13305,13043,15381,17097,18338,16138,5380,7336,4371,5321,7233,5018,3996,3047,228883,11825,13748,14277,9092,4847,2571,1994,8073,12961,13359,13333,15934,17993,19062,17060,6277,7533,4964,6395,8685,6609,5978,6313,328004,160862,7950,9490,10067,6483,3735,10374,9623,9010,20120,26871,23278,13784,7306,2771,167142,7748,9088,9465,6417,3255,8635,9091,8760,20495,28106,24182,15947,10358,5595,72631,36147,1958,2247,2544,1807,1142,3491,2721,2152,4866,5661,3881,2163,1300,214,36484,1926,2444,2462,1630,915,2397,2117,2341,4947,5785,4493,2799,1689,539,452,218,3,10,0,10,0,7,4,5,47,50,33,32,17,0,234,6,9,7,0,9,51,7,38,15,34,28,26,4,0,20974,10061,715,701,827,344,164,496,665,820,1794,1379,1145,672,306,33,10913,686,703,733,395,195,437,730,970,1894,1540,1307,827,414,82,166,100,0,0,0,0,36,10,0,0,10,13,0,31,0,0,66,0,0,0,0,0,0,0,0,66,0,0,0,0,0,11724,6337,616,392,410,235,258,829,684,933,888,811,170,75,36,0,5387,241,559,728,111,160,422,440,744,891,608,274,163,25,21,16605,7948,1015,1025,1002,547,431,1113,488,385,699,650,347,168,49,29,8657,1218,945,882,539,313,696,576,506,959,982,586,282,97,76,310668,151932,7277,8703,9464,6100,3533,9388,8837,8428,18760,25750,22378,13410,7166,2738,158736,6902,8186,8911,5837,3055,8047,8390,8341,19353,27097,23399,15587,10131,5500,32991,17438,1525,1495,1344,813,606,2048,1659,1492,2503,1986,1206,480,238,43,15553,1456,1704,1177,781,445,1180,1245,1328,2264,1835,1148,562,316,112,41.0,39.2,42.6,43.8,42.2,45.2,37.2,35.0,39.1,43.3,46.7,33.7,37.8,37.3,38.3,40.1,40.4,40.0,28.4,27.4,30.2,21.1,19.8,23.4,44.5,43.0,46.0,27.8,27.2,29.1,450556
