SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NM,35,,,,,04000US35,New Mexico,2084117,1032414,70556,72877,72070,42831,30412,15975,15284,47139,73009,69394,62108,61075,62327,69856,66381,26280,35439,22181,26476,35942,24922,16894,12986,1051703,67433,69675,69774,41474,28279,15502,15508,41506,67866,66383,60810,61508,64988,73683,73952,27717,38568,23400,30775,39668,29968,21049,22217,1524911,753189,47578,48972,48872,29497,20174,53931,49930,48476,87997,98746,101065,71243,35846,10862,771722,45426,46873,47259,27942,19187,49339,46964,47530,86478,103144,112286,77511,42496,19287,43738,24704,1752,1733,1537,923,1284,2728,1760,1739,3171,3196,2813,1330,655,83,19034,1413,1466,1860,818,690,1942,1093,1201,2068,2310,2087,1304,520,262,190528,92179,7339,8331,7734,4841,3062,8141,7741,6423,11846,11158,8542,4568,1891,562,98349,7180,7766,7664,4649,2966,8428,7865,7041,12343,12654,9918,5815,3057,1003,28761,12332,598,652,947,363,490,1075,1347,951,2028,1485,1281,787,204,124,16429,640,809,911,513,373,1057,995,1337,3067,2469,2243,1299,570,146,1276,555,114,66,8,22,4,56,60,66,39,43,25,21,31,0,721,47,14,26,0,18,186,84,67,76,62,83,24,34,0,226850,114530,8348,8653,9256,5136,4202,9169,9481,9445,15189,14682,11905,5271,2595,1198,112320,7632,9080,8126,5892,3694,8746,8604,7327,15629,15412,10846,6389,3677,1266,68053,34925,4827,4470,3716,2049,1196,3298,2690,2294,2913,2873,2469,1379,594,157,33128,5095,3667,3928,1660,1351,2818,2261,1880,2657,2620,2774,1501,663,253,817048,404053,17699,17991,18907,11672,8231,25209,24664,24255,44171,57414,69025,51061,25739,8015,412995,16594,16913,17891,11484,7609,21028,22434,22258,43137,59791,75418,54611,29342,14485,986972,490065,41937,43361,42344,24491,16916,40474,36502,34828,61274,58153,45909,26547,13124,4205,496907,40693,42338,40601,23680,16246,39353,34683,34060,61075,60785,49390,30313,17419,6271,37.0,35.5,38.5,39.9,38.2,41.4,31.7,32.1,31.0,30.5,29.1,31.7,37.8,34.1,40.6,29.0,25.2,29.8,32.3,31.7,33.0,21.7,22.1,21.4,48.6,47.0,50.2,30.7,29.9,31.6,2084117
40,NM,35,,,,,04001US35,New Mexico -- Urban,1626871,800198,58092,58016,56422,32893,23707,12612,12039,38805,59495,56065,49861,47380,47642,52270,48569,18774,26115,15422,19152,25633,18037,12547,10650,826673,55492,55538,55409,31732,22508,12645,12894,33833,55776,54656,49382,49094,50240,55667,54946,20067,28953,17074,22593,29809,23430,16902,18033,1214901,595639,40034,40055,39651,23206,16174,44472,42287,39795,71776,76293,74685,51446,26731,9034,619262,38109,38459,38580,21803,15795,41831,39655,39915,71262,80153,84864,58390,34501,15945,39418,21991,1669,1443,1249,844,1202,2482,1548,1571,2660,2848,2587,1211,594,83,17427,1315,1146,1617,768,649,1744,1039,1075,2000,2237,1883,1213,484,257,96312,46187,3905,4396,3787,2695,1626,4395,4025,3453,6031,5180,3904,1866,641,283,50125,3724,3875,3898,2305,1593,4549,4443,4047,6659,6375,4461,2482,1311,403,26378,11548,589,609,869,328,422,1012,1301,896,1899,1370,1213,723,193,124,14830,612,773,830,501,336,1009,960,1241,2613,2274,1883,1148,504,146,1192,513,112,62,8,16,4,56,44,66,35,37,25,17,31,0,679,47,14,26,0,17,178,80,67,73,45,83,15,34,0,190489,95184,7417,7592,7966,4325,3340,8079,8055,8273,12410,11703,9233,3863,1876,1052,95305,6890,8003,6938,4980,3125,7575,7531,6557,13469,12557,8537,5126,2966,1051,58181,29136,4366,3859,2892,1479,939,2960,2235,2011,2430,2481,1811,1081,518,74,29045,4795,3268,3520,1375,993,2486,2068,1754,2400,2266,2255,1102,532,231,630424,311003,14357,14045,14344,8716,6723,20667,21314,19823,35918,43852,49731,35658,19002,6853,319421,13124,12763,13873,8405,6091,17699,18493,18181,35015,45010,54693,40151,23857,12066,818922,401350,36394,36619,35658,20034,13451,34133,30454,29194,50039,45884,35716,20467,9969,3338,417572,35748,36392,34202,19511,13631,33722,30136,29607,51621,49511,40003,24221,14148,5119,35.7,34.2,37.3,38.3,36.6,40.0,32.2,32.2,32.3,29.2,27.9,30.7,36.8,34.1,39.4,29.0,24.9,29.6,31.2,30.6,32.1,21.5,22.0,21.2,47.1,44.9,49.0,29.9,28.9,30.8,1626871
40,NM,35,,,,,04043US35,New Mexico -- Rural,457246,232216,12464,14861,15648,9938,6705,3363,3245,8334,13514,13329,12247,13695,14685,17586,17812,7506,9324,6759,7324,10309,6885,4347,2336,225030,11941,14137,14365,9742,5771,2857,2614,7673,12090,11727,11428,12414,14748,18016,19006,7650,9615,6326,8182,9859,6538,4147,4184,310010,157550,7544,8917,9221,6291,4000,9459,7643,8681,16221,22453,26380,19797,9115,1828,152460,7317,8414,8679,6139,3392,7508,7309,7615,15216,22991,27422,19121,7995,3342,4320,2713,83,290,288,79,82,246,212,168,511,348,226,119,61,0,1607,98,320,243,50,41,198,54,126,68,73,204,91,36,5,94216,45992,3434,3935,3947,2146,1436,3746,3716,2970,5815,5978,4638,2702,1250,279,48224,3456,3891,3766,2344,1373,3879,3422,2994,5684,6279,5457,3333,1746,600,2383,784,9,43,78,35,68,63,46,55,129,115,68,64,11,0,1599,28,36,81,12,37,48,35,96,454,195,360,151,66,0,84,42,2,4,0,6,0,0,16,0,4,6,0,4,0,0,42,0,0,0,0,1,8,4,0,3,17,0,9,0,0,36361,19346,931,1061,1290,811,862,1090,1426,1172,2779,2979,2672,1408,719,146,17015,742,1077,1188,912,569,1171,1073,770,2160,2855,2309,1263,711,215,9872,5789,461,611,824,570,257,338,455,283,483,392,658,298,76,83,4083,300,399,408,285,358,332,193,126,257,354,519,399,131,22,186624,93050,3342,3946,4563,2956,1508,4542,3350,4432,8253,13562,19294,15403,6737,1162,93574,3470,4150,4018,3079,1518,3329,3941,4077,8122,14781,20725,14460,5485,2419,168050,88715,5543,6742,6686,4457,3465,6341,6048,5634,11235,12269,10193,6080,3155,867,79335,4945,5946,6399,4169,2615,5631,4547,4453,9454,11274,9387,6092,3271,1152,42.0,40.8,43.3,46.6,45.5,47.6,28.0,31.7,21.0,32.0,30.9,33.0,43.5,33.5,44.2,37.3,25.8,52.3,39.7,38.8,40.7,24.0,23.3,24.5,52.9,52.7,53.1,35.2,34.3,36.1,457246
40,NM,35,,,,,040A0US35,New Mexico -- In metropolitan or micropolitan statistical area,1989046,984169,67998,69736,69433,41176,28956,15285,14730,45597,70516,66652,59969,58803,59662,66481,62341,24941,33323,20832,24594,32697,22786,15502,12159,1004877,65306,66849,67539,39488,27270,15010,14907,40137,65821,64192,58788,59220,61984,70084,70116,26219,36114,21985,28455,37012,27698,19868,20815,1444067,712909,45711,46582,46615,28130,18977,51646,48057,46307,84475,93410,94759,65554,32576,10110,731158,43550,44526,45414,26255,18309,47313,45386,45736,82872,97349,105155,71839,39429,18025,42948,24143,1703,1714,1480,907,1214,2637,1703,1699,3092,3157,2801,1298,655,83,18805,1397,1466,1843,818,690,1863,1093,1194,2048,2293,2084,1260,520,236,187492,90653,7159,8268,7638,4828,3050,8063,7641,6315,11700,11064,8171,4325,1873,558,96839,7108,7640,7646,4568,2954,8359,7791,6853,12117,12529,9671,5683,2963,957,28348,12182,598,615,939,337,465,1072,1337,951,2022,1452,1279,787,204,124,16166,625,809,886,513,361,1030,986,1337,3018,2428,2223,1234,570,146,1276,555,114,66,8,22,4,56,60,66,39,43,25,21,31,0,721,47,14,26,0,18,186,84,67,76,62,83,24,34,0,218937,110142,8031,8184,9086,5079,4071,8893,9150,9047,14686,14208,11259,4920,2394,1134,108795,7545,8785,7872,5719,3605,8510,8227,7172,15245,14818,10551,6080,3468,1198,65978,33585,4682,4307,3667,1873,1175,3245,2568,2267,2758,2809,2311,1218,555,150,32393,5034,3609,3852,1615,1333,2793,2254,1833,2632,2589,2682,1332,582,253,768834,380026,16801,17001,17836,10976,7715,23976,23802,23324,42234,54319,64596,46661,23241,7544,388808,15885,15958,17118,10600,7209,20133,21539,21351,41099,56426,70389,50427,27233,13441,945133,468590,40598,41375,40958,23630,16100,39106,35138,33181,59040,55441,43274,24747,12145,3857,476543,39378,40621,39236,22690,15669,37973,33623,32989,59099,57763,46901,28423,16203,5975,36.6,35.2,38.1,39.4,37.8,40.9,31.9,32.4,31.0,30.3,28.9,31.6,37.9,34.2,40.5,29.0,25.2,29.8,32.2,31.5,32.9,21.6,22.0,21.3,48.2,46.5,49.8,30.5,29.6,31.3,1989046
40,NM,35,,,,,040C0US35,New Mexico -- In metropolitan statistical area,1388935,683281,45688,47728,47445,28173,19356,10684,10062,31450,49373,47215,42745,41119,42380,46552,44068,16905,23932,14464,17164,22665,15271,10852,7990,705654,43719,45444,46688,27031,18882,10653,10376,28823,46919,45906,42733,41722,44256,49846,50435,18288,25458,15463,20116,25903,19288,13340,14365,1030420,505677,31582,32144,32525,19828,13411,36431,34048,32943,60528,67497,68543,46586,22660,6951,524743,29539,30847,31761,18093,12938,34876,32673,32920,60497,71226,77448,51615,27665,12645,30234,16830,1094,1351,1048,595,594,1732,1210,1195,2268,2259,2101,889,433,61,13404,818,1029,1405,604,476,1235,842,907,1480,1702,1545,828,381,152,104558,50796,3988,4894,4132,2546,1647,4581,4485,3754,6775,5982,4468,2270,1005,269,53762,3886,4328,4151,2582,1616,4619,4586,4065,7076,6790,5034,3075,1479,475,22721,9698,506,366,866,274,297,767,919,760,1664,1225,1087,661,193,113,13023,437,690,784,417,284,814,871,1050,2458,1954,1640,976,513,135,896,450,72,62,8,16,0,52,42,61,19,41,25,21,31,0,446,23,14,26,0,8,101,67,42,63,36,31,18,17,0,151340,75540,5238,5926,6426,3593,2609,6011,6560,6790,10500,9905,7088,2975,1425,494,75800,5222,6053,5704,4172,2500,6007,6089,5447,10794,10408,6538,3976,2136,754,48766,24290,3208,2985,2440,1321,798,2622,2109,1712,2110,2023,1593,891,376,102,24476,3794,2483,2857,1163,1060,2200,1791,1475,2087,1986,1945,994,437,204,546367,268677,11292,11644,12029,7703,5212,16341,16672,16367,30509,39540,46905,33291,16175,4997,277690,10423,10609,11684,7220,4886,14617,15397,15312,29791,41345,51672,36391,18712,9631,672219,330572,28129,28917,29252,16622,11268,28146,25179,24270,41966,39250,29929,16846,8218,2580,341647,27189,28620,28046,16159,11248,27870,24630,24196,43201,41801,33373,19921,11474,3919,36.9,35.5,38.3,39.8,38.2,41.3,33.0,34.0,31.9,30.1,28.7,31.1,38.3,35.5,40.2,29.2,25.5,29.7,31.5,31.2,32.0,22.3,22.9,21.8,48.7,47.0,50.2,30.5,29.5,31.4,1388935
40,NM,35,,,,,040C1US35,New Mexico -- In metropolitan statistical area -- in principal city,785129,381853,26471,26076,25836,14548,10733,5907,5184,19130,32356,28709,25590,23420,23656,24580,22202,9249,11888,7308,8517,11464,8108,6256,4665,403276,25674,25323,25616,14039,10638,5995,6667,17893,30168,28401,25427,23542,24207,27007,26658,9983,13923,8219,11155,14080,11187,8000,9474,585664,284797,18169,17882,17807,10341,7468,21115,23002,20453,35967,36991,35260,23725,12537,4080,300867,17465,17068,17490,9331,7050,21472,21436,20266,34991,38418,42307,28540,16436,8597,22188,11930,871,1035,506,359,368,1164,973,834,1524,1741,1520,707,298,30,10258,651,698,992,507,358,789,734,716,1178,1400,1199,641,307,88,37580,17658,1401,1503,1402,917,563,2018,1813,1504,2715,1800,1214,391,319,98,19922,1370,1389,1515,915,610,1941,2027,2030,2940,2455,1404,798,420,108,17811,7809,453,234,679,237,254,596,806,687,1296,907,920,468,159,113,10002,373,460,550,312,225,678,760,989,1832,1511,1086,703,388,135,688,335,49,51,7,16,0,52,26,31,19,28,25,0,31,0,353,23,14,18,0,0,78,47,26,60,34,31,5,17,0,89073,43324,3369,3524,3907,1831,1562,3427,4328,3934,6046,5426,3563,1360,747,300,45749,3182,3992,3236,2286,1583,4057,3955,3346,6487,6198,3480,2207,1329,411,32125,16000,2159,1847,1528,847,518,1849,1408,1266,1443,1343,837,638,273,44,16125,2610,1702,1815,688,812,1540,1209,1028,1481,1198,1057,560,290,135,319622,155340,6620,6489,6472,4130,3263,10009,12079,10779,18869,22423,24501,17199,9375,3132,164282,6456,5805,6701,3878,2778,9819,10751,9624,18078,22846,28625,20548,11558,6815,378236,183609,16747,16400,16467,8528,6021,15848,16020,14185,24005,20859,14881,8215,4143,1290,194627,16201,16742,15306,8345,6328,16743,15507,14903,24643,22748,17742,10647,6467,2305,35.7,34.2,37.1,38.3,36.5,40.2,33.8,34.4,33.0,29.0,27.4,30.4,36.8,34.8,38.9,29.3,24.7,29.9,30.2,29.7,30.8,22.2,23.2,21.2,46.8,44.6,49.0,29.7,28.7,30.6,785129
40,NM,35,,,,,040C2US35,New Mexico -- In metropolitan statistical area -- not in principal city,603806,301428,19217,21652,21609,13625,8623,4777,4878,12320,17017,18506,17155,17699,18724,21972,21866,7656,12044,7156,8647,11201,7163,4596,3325,302378,18045,20121,21072,12992,8244,4658,3709,10930,16751,17505,17306,18180,20049,22839,23777,8305,11535,7244,8961,11823,8101,5340,4891,444756,220880,13413,14262,14718,9487,5943,15316,11046,12490,24561,30506,33283,22861,10123,2871,223876,12074,13779,14271,8762,5888,13404,11237,12654,25506,32808,35141,23075,11229,4048,8046,4900,223,316,542,236,226,568,237,361,744,518,581,182,135,31,3146,167,331,413,97,118,446,108,191,302,302,346,187,74,64,66978,33138,2587,3391,2730,1629,1084,2563,2672,2250,4060,4182,3254,1879,686,171,33840,2516,2939,2636,1667,1006,2678,2559,2035,4136,4335,3630,2277,1059,367,4910,1889,53,132,187,37,43,171,113,73,368,318,167,193,34,0,3021,64,230,234,105,59,136,111,61,626,443,554,273,125,0,208,115,23,11,1,0,0,0,16,30,0,13,0,21,0,0,93,0,0,8,0,8,23,20,16,3,2,0,13,0,0,62267,32216,1869,2402,2519,1762,1047,2584,2232,2856,4454,4479,3525,1615,678,194,30051,2040,2061,2468,1886,917,1950,2134,2101,4307,4210,3058,1769,807,343,16641,8290,1049,1138,912,474,280,773,701,446,667,680,756,253,103,58,8351,1184,781,1042,475,248,660,582,447,606,788,888,434,147,69,226745,113337,4672,5155,5557,3573,1949,6332,4593,5588,11640,17117,22404,16092,6800,1865,113408,3967,4804,4983,3342,2108,4798,4646,5688,11713,18499,23047,15843,7154,2816,293983,146963,11382,12517,12785,8094,5247,12298,9159,10085,17961,18391,15048,8631,4075,1290,147020,10988,11878,12740,7814,4920,11127,9123,9293,18558,19053,15631,9274,5007,1614,38.8,37.5,40.0,41.8,40.7,42.8,30.0,32.4,25.0,30.8,29.8,32.3,41.6,39.0,43.5,27.6,30.2,27.2,33.1,33.2,33.1,22.6,22.2,23.0,50.7,50.2,51.2,31.8,31.0,32.5,603806
40,NM,35,,,,,040E0US35,New Mexico -- In micropolitan statistical area,600111,300888,22310,22008,21988,13003,9600,4601,4668,14147,21143,19437,17224,17684,17282,19929,18273,8036,9391,6368,7430,10032,7515,4650,4169,299223,21587,21405,20851,12457,8388,4357,4531,11314,18902,18286,16055,17498,17728,20238,19681,7931,10656,6522,8339,11109,8410,6528,6450,413647,207232,14129,14438,14090,8302,5566,15215,14009,13364,23947,25913,26216,18968,9916,3159,206415,14011,13679,13653,8162,5371,12437,12713,12816,22375,26123,27707,20224,11764,5380,12714,7313,609,363,432,312,620,905,493,504,824,898,700,409,222,22,5401,579,437,438,214,214,628,251,287,568,591,539,432,139,84,82934,39857,3171,3374,3506,2282,1403,3482,3156,2561,4925,5082,3703,2055,868,289,43077,3222,3312,3495,1986,1338,3740,3205,2788,5041,5739,4637,2608,1484,482,5627,2484,92,249,73,63,168,305,418,191,358,227,192,126,11,11,3143,188,119,102,96,77,216,115,287,560,474,583,258,57,11,380,105,42,4,0,6,4,4,18,5,20,2,0,0,0,0,275,24,0,0,0,10,85,17,25,13,26,52,6,17,0,67597,34602,2793,2258,2660,1486,1462,2882,2590,2257,4186,4303,4171,1945,969,640,32995,2323,2732,2168,1547,1105,2503,2138,1725,4451,4410,4013,2104,1332,444,17212,9295,1474,1322,1227,552,377,623,459,555,648,786,718,327,179,48,7917,1240,1126,995,452,273,593,463,358,545,603,737,338,145,49,222467,111349,5509,5357,5807,3273,2503,7635,7130,6957,11725,14779,17691,13370,7066,2547,111118,5462,5349,5434,3380,2323,5516,6142,6039,11308,15081,18717,14036,8521,3810,272914,138018,12469,12458,11706,7008,4832,10960,9959,8911,17074,16191,13345,7901,3927,1277,134896,12189,12001,11190,6531,4421,10103,8993,8793,15898,15962,13528,8502,4729,2056,35.7,34.2,37.4,38.4,37.0,39.9,29.2,29.1,29.2,30.7,29.2,32.2,35.5,29.1,42.4,27.6,19.1,33.2,34.1,32.7,35.8,18.6,18.3,19.2,46.8,44.8,48.4,30.4,29.8,31.1,600111
40,NM,35,,,,,040E1US35,New Mexico -- In micropolitan statistical area -- in principal city,301739,149715,12473,11135,10707,6447,5116,2252,2411,7436,11511,10257,9021,8606,8015,9426,8102,3561,4386,2940,3434,4339,3283,2331,2526,152024,11898,11613,10257,5926,4494,2232,2559,5839,9868,10022,8498,8791,8477,9641,9198,3459,5247,2975,3971,5301,4403,3653,3702,227141,111447,8449,8166,7696,4536,3132,8433,8388,7713,13257,13293,12488,8914,4878,2104,115694,8464,8392,7145,4241,3306,7463,7602,7742,12854,13874,14170,10309,6866,3266,10028,5673,486,229,358,206,589,679,273,439,651,684,556,341,160,22,4355,457,308,374,185,172,521,229,202,488,503,441,279,112,84,14023,6568,460,601,743,656,395,446,607,380,697,593,578,327,77,8,7455,599,610,863,420,293,582,517,521,950,872,833,189,180,26,4278,1923,76,153,57,57,101,208,383,152,305,206,139,75,0,11,2355,151,74,91,77,58,170,78,242,353,409,378,206,57,11,288,87,40,0,0,0,4,4,18,5,16,0,0,0,0,0,201,24,0,0,0,9,77,17,18,7,7,19,6,17,0,35881,18564,1897,1176,1349,790,624,1891,1560,1305,2217,2116,1984,908,396,351,17317,1377,1440,1234,800,518,1479,1103,1064,2345,2125,1724,1089,738,281,10100,5453,1065,810,504,202,271,438,282,263,484,549,304,148,103,30,4647,826,789,550,203,138,338,322,233,292,328,339,169,86,34,122573,60787,3303,2980,2903,1861,1508,4561,4578,4025,6933,7745,8568,6389,3672,1761,61786,3251,3232,2887,1476,1545,3363,3517,3715,6717,7625,9276,7420,5220,2542,148630,73435,7710,7025,6529,3784,2455,6029,5764,5124,8914,7964,6197,3577,1656,707,75195,7451,7179,6053,3657,2409,6023,5370,5244,8734,8614,6854,4093,2482,1032,34.0,32.4,35.7,36.0,34.2,38.0,29.6,30.1,29.1,26.9,24.8,28.6,35.1,29.4,39.8,24.2,19.9,24.4,31.5,30.0,33.5,18.5,18.8,17.3,44.2,41.7,46.8,28.6,27.8,29.5,301739
40,NM,35,,,,,040E2US35,New Mexico -- In micropolitan statistical area -- not in principal city,298372,151173,9837,10873,11281,6556,4484,2349,2257,6711,9632,9180,8203,9078,9267,10503,10171,4475,5005,3428,3996,5693,4232,2319,1643,147199,9689,9792,10594,6531,3894,2125,1972,5475,9034,8264,7557,8707,9251,10597,10483,4472,5409,3547,4368,5808,4007,2875,2748,186506,95785,5680,6272,6394,3766,2434,6782,5621,5651,10690,12620,13728,10054,5038,1055,90721,5547,5287,6508,3921,2065,4974,5111,5074,9521,12249,13537,9915,4898,2114,2686,1640,123,134,74,106,31,226,220,65,173,214,144,68,62,0,1046,122,129,64,29,42,107,22,85,80,88,98,153,27,0,68911,33289,2711,2773,2763,1626,1008,3036,2549,2181,4228,4489,3125,1728,791,281,35622,2623,2702,2632,1566,1045,3158,2688,2267,4091,4867,3804,2419,1304,456,1349,561,16,96,16,6,67,97,35,39,53,21,53,51,11,0,788,37,45,11,19,19,46,37,45,207,65,205,52,0,0,92,18,2,4,0,6,0,0,0,0,4,2,0,0,0,0,74,0,0,0,0,1,8,0,7,6,19,33,0,0,0,31716,16038,896,1082,1311,696,838,991,1030,952,1969,2187,2187,1037,573,289,15678,946,1292,934,747,587,1024,1035,661,2106,2285,2289,1015,594,163,7112,3842,409,512,723,350,106,185,177,292,164,237,414,179,76,18,3270,414,337,445,249,135,255,141,125,253,275,398,169,59,15,99894,50562,2206,2377,2904,1412,995,3074,2552,2932,4792,7034,9123,6981,3394,786,49332,2211,2117,2547,1904,778,2153,2625,2324,4591,7456,9441,6616,3301,1268,124284,64583,4759,5433,5177,3224,2377,4931,4195,3787,8160,8227,7148,4324,2271,570,59701,4738,4822,5137,2874,2012,4080,3623,3549,7164,7348,6674,4409,2247,1024,37.6,36.4,39.2,41.3,40.4,42.4,27.5,27.1,31.0,31.7,30.3,33.1,36.7,23.7,43.3,52.4,16.5,52.9,37.6,36.2,39.3,18.8,17.6,21.5,49.2,48.5,50.0,33.3,32.7,33.7,298372
