SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NV,32,,,,,04000US32,Nevada,2798636,1407735,91556,97639,92376,56635,34007,18582,19596,57429,103079,101626,95952,98405,98297,96647,86430,33321,46330,29154,36819,48879,31798,19722,13456,1390901,87252,92019,90127,53976,31132,18724,18714,54635,98260,97574,91752,96018,92880,93838,90916,33809,48397,30242,40340,50485,33652,23399,22760,1929661,982014,57283,61164,57456,34883,20907,60426,68101,68778,132381,141755,129581,94547,43062,11690,947647,53843,58560,56222,33044,18881,56391,64734,63042,123220,129826,130125,94603,45969,19187,235721,117942,8651,9582,7836,5365,3240,10359,9561,8765,16575,16090,11597,6558,3035,728,117779,8173,8360,8601,4922,3400,9426,9559,8760,16605,15240,12102,7862,3577,1192,31393,15311,1235,993,1114,738,417,1192,1106,1212,1826,2432,1613,942,396,95,16082,997,944,1184,559,466,1132,1265,1152,2342,2257,1969,1165,422,228,214846,97035,4373,5560,5862,3691,2402,7254,7704,7518,14807,14230,11855,7859,3193,727,117811,3885,4915,5650,3565,2002,7057,8619,8960,19096,18923,17474,11329,5055,1281,17942,8932,529,597,750,368,174,808,837,825,1511,1133,780,511,94,15,9010,532,743,627,389,256,804,830,853,1521,1016,726,559,120,34,246138,126148,10238,11244,12108,7360,4878,10758,11503,10844,20844,14877,7686,2620,1082,106,119990,10141,10181,10610,7446,4233,11704,9308,10727,18599,14770,7063,3489,1110,609,122935,60353,9247,8499,7250,4230,1989,4810,4267,3684,6413,4427,2969,1815,658,95,62582,9681,8316,7233,4051,1894,5559,3945,4080,6387,4686,3663,2060,798,229,1455277,741056,33788,37121,34897,22499,13132,39891,48255,48553,96890,114251,114581,86792,39578,10828,714221,31920,34191,33934,21477,11626,38518,45607,45203,87872,105329,113311,85871,41407,17955,770553,392151,37557,39032,37728,21441,13431,33535,32864,32441,59026,44492,23869,10948,4788,999,378402,35999,38365,35769,20564,12553,31726,29980,29897,56684,41079,25024,12820,6010,1932,37.2,36.5,37.8,40.2,39.8,40.6,33.0,32.6,33.4,35.0,33.7,36.7,40.5,37.9,42.5,32.2,32.1,32.3,27.9,28.0,27.9,19.5,18.8,20.1,45.1,44.6,45.6,27.2,27.0,27.4,2798636
40,NV,32,,,,,04001US32,Nevada -- Urban,2637318,1320837,87552,93162,87910,53145,32095,17715,18657,54151,97574,96391,90370,93270,92177,89949,79620,30869,42311,26375,33369,44566,28929,18140,12540,1316481,83501,87206,85626,51217,29654,17973,18149,52724,94832,93409,87796,92184,88261,87424,84832,31170,44480,27821,37015,46444,31276,21943,21544,1793983,910703,54144,57427,54029,32088,19519,56972,64103,64985,124114,131175,117676,84725,38844,10902,883280,50751,54779,52707,30735,17602,53886,61851,59679,116652,120035,118626,85518,42406,18053,230574,113850,8621,9442,7807,5302,3167,9580,8959,8325,15790,15404,11287,6458,2987,721,116724,8054,8235,8514,4841,3355,9327,9548,8729,16456,15131,11968,7827,3547,1192,23705,11282,868,697,808,531,236,892,864,902,1480,1785,1260,675,265,19,12423,786,661,838,426,381,785,1070,899,1982,1726,1558,858,263,190,212131,95755,4325,5498,5852,3630,2347,7202,7613,7444,14584,14011,11627,7726,3171,725,116376,3820,4846,5570,3560,1993,6990,8508,8817,18857,18760,17200,11166,5038,1251,17422,8632,529,581,744,341,155,765,814,790,1477,1110,715,502,94,15,8790,532,743,601,366,256,787,807,828,1464,991,719,542,120,34,239836,122183,9975,11088,11655,7158,4759,10503,11081,10466,20047,14407,7388,2501,1075,80,117653,10011,9796,10354,7268,4212,11606,9145,10434,18263,14572,6909,3411,1075,597,119667,58432,9090,8429,7015,4095,1912,4609,4140,3479,6148,4234,2847,1723,633,78,61235,9547,8146,7042,4021,1855,5465,3903,4023,6306,4470,3502,1958,770,227,1332992,677267,31172,33981,32056,20201,12080,37013,44994,45390,89838,104440,103265,77255,35476,10106,655725,29368,31298,31021,19408,10493,36345,43233,42182,82001,96182,102319,77065,37927,16883,749678,379791,36627,38230,36583,20698,12925,32594,31711,31369,56908,43148,22922,10502,4667,907,369887,35276,37080,34870,20134,12376,31253,29302,29252,55658,40133,24332,12474,5891,1856,36.8,36.1,37.5,39.8,39.3,40.2,33.0,32.5,33.5,35.8,34.4,37.1,40.5,37.9,42.5,32.2,32.1,32.3,27.9,27.8,27.9,19.2,18.5,20.0,44.7,44.1,45.3,27.1,26.9,27.4,2637318
40,NV,32,,,,,04043US32,Nevada -- Rural,161318,86898,4004,4477,4466,3490,1912,867,939,3278,5505,5235,5582,5135,6120,6698,6810,2452,4019,2779,3450,4313,2869,1582,916,74420,3751,4813,4501,2759,1478,751,565,1911,3428,4165,3956,3834,4619,6414,6084,2639,3917,2421,3325,4041,2376,1456,1216,135678,71311,3139,3737,3427,2795,1388,3454,3998,3793,8267,10580,11905,9822,4218,788,64367,3092,3781,3515,2309,1279,2505,2883,3363,6568,9791,11499,9085,3563,1134,5147,4092,30,140,29,63,73,779,602,440,785,686,310,100,48,7,1055,119,125,87,81,45,99,11,31,149,109,134,35,30,0,7688,4029,367,296,306,207,181,300,242,310,346,647,353,267,131,76,3659,211,283,346,133,85,347,195,253,360,531,411,307,159,38,2715,1280,48,62,10,61,55,52,91,74,223,219,228,133,22,2,1435,65,69,80,5,9,67,111,143,239,163,274,163,17,30,520,300,0,16,6,27,19,43,23,35,34,23,65,9,0,0,220,0,0,26,23,0,17,23,25,57,25,7,17,0,0,6302,3965,263,156,453,202,119,255,422,378,797,470,298,119,7,26,2337,130,385,256,178,21,98,163,293,336,198,154,78,35,12,3268,1921,157,70,235,135,77,201,127,205,265,193,122,92,25,17,1347,134,170,191,30,39,94,42,57,81,216,161,102,28,2,122285,63789,2616,3140,2841,2298,1052,2878,3261,3163,7052,9811,11316,9537,4102,722,58496,2552,2893,2913,2069,1133,2173,2374,3021,5871,9147,10992,8806,3480,1072,20875,12360,930,802,1145,743,506,941,1153,1072,2118,1344,947,446,121,92,8515,723,1285,899,430,177,473,678,645,1026,946,692,346,119,76,44.9,43.9,46.5,47.6,46.8,48.8,32.9,33.7,20.9,32.8,31.7,34.6,44.0,41.8,44.3,31.7,32.1,30.8,30.3,31.5,27.6,27.8,28.9,26.5,49.9,49.1,50.5,28.5,29.8,27.2,161318
40,NV,32,,,,,040A0US32,Nevada -- In metropolitan or micropolitan statistical area,2765093,1388585,90544,96661,91254,55891,33545,18376,19365,56785,101499,100211,94631,97215,96942,95170,85016,32986,45573,28672,36237,48137,31253,19379,13243,1376508,86382,91140,89068,53409,30712,18584,18530,54160,97540,96780,90880,95319,91875,92867,89929,33336,47819,29970,39733,49815,33224,22884,22552,1901213,965995,56473,60337,56544,34270,20507,59613,66857,67695,130354,139447,127287,92852,42279,11480,935218,53053,57749,55427,32595,18542,55758,64060,62379,121918,128088,128333,93187,45132,18997,234761,117018,8640,9582,7836,5350,3236,10230,9399,8604,16433,15875,11538,6539,3028,728,117743,8173,8360,8601,4918,3394,9425,9559,8760,16605,15240,12085,7857,3577,1189,29099,14141,1158,877,1034,689,363,1140,1029,1112,1659,2251,1486,879,372,92,14958,919,900,1042,520,408,1022,1223,1072,2230,2100,1830,1080,397,215,214522,96877,4373,5560,5862,3690,2400,7246,7682,7482,14730,14226,11850,7859,3190,727,117645,3885,4915,5650,3565,2002,7046,8619,8960,19050,18901,17447,11299,5027,1279,17857,8869,529,597,750,368,174,801,813,825,1491,1128,780,511,87,15,8988,532,743,627,389,256,802,830,853,1503,1014,726,559,120,34,245372,125745,10202,11214,12075,7316,4878,10737,11464,10816,20800,14817,7676,2610,1034,106,119627,10141,10175,10525,7441,4216,11674,9307,10691,18508,14726,7029,3485,1100,609,122269,59940,9169,8494,7153,4208,1987,4759,4255,3677,6379,4368,2958,1796,642,95,62329,9679,8298,7196,3981,1894,5547,3942,4065,6385,4673,3634,2051,755,229,1431403,727833,33181,36424,34199,22046,12814,39345,47307,47732,95332,112261,112498,85196,38852,10646,703570,31357,33563,33335,21089,11337,38015,45049,44598,86806,103768,111635,84579,40656,17783,764816,388636,37302,38848,37424,21234,13349,33234,32495,32111,58450,44075,23609,10831,4703,971,376180,35766,38175,35518,20476,12479,31565,29861,29776,56364,40811,24869,12692,5914,1914,37.1,36.5,37.8,40.2,39.8,40.6,33.0,32.5,33.4,35.2,33.6,37.0,40.5,37.9,42.5,32.2,32.1,32.2,27.9,28.0,27.9,19.5,18.8,20.1,45.1,44.6,45.6,27.2,27.0,27.3,2765093
40,NV,32,,,,,040C0US32,Nevada -- In metropolitan statistical area,2529002,1268563,83364,88706,83664,50735,30617,17069,18287,52465,94632,93232,88191,90714,88995,86243,76277,29359,40392,25278,32019,42244,27267,17031,11782,1260439,79865,83478,81634,48847,28390,17458,17244,50382,91245,90393,84479,88412,84436,84079,81046,30026,42417,27059,35212,44183,29275,20448,20431,1696527,861551,50725,53754,50463,30043,18182,53990,61017,61754,119298,124850,111097,80019,36220,10139,834976,47701,51734,49255,28824,16561,50688,58780,56995,110838,113626,112403,81150,39340,17081,231603,115055,8363,9470,7781,5256,3220,9914,9284,8524,16133,15555,11353,6533,2956,713,116548,8115,8127,8589,4914,3375,9289,9513,8729,16306,15104,12006,7807,3528,1146,20977,10246,889,646,729,452,227,829,769,789,1340,1574,1132,592,258,20,10731,617,648,762,329,267,697,979,791,1754,1470,1302,703,239,173,211441,95743,4349,5514,5778,3677,2360,7205,7608,7448,14558,13901,11681,7780,3159,725,115698,3865,4898,5532,3521,1990,6989,8494,8874,18644,18680,17061,11086,4842,1222,17397,8625,478,592,750,356,163,787,799,786,1475,1075,771,491,87,15,8772,512,726,623,370,245,793,804,853,1468,995,684,553,112,34,235741,120556,9716,10676,11593,7026,4603,10513,11034,10415,19967,14160,7323,2454,999,77,115185,9749,9670,10245,7099,4123,11348,8883,10249,17847,14332,6757,3309,999,575,115316,56787,8844,8054,6570,3925,1862,4583,4121,3516,6134,4123,2671,1672,619,93,58529,9306,7675,6628,3790,1829,5280,3792,3902,6034,4308,3276,1846,663,200,1254208,637659,28894,31325,29524,18762,11034,34892,42517,42952,85833,99030,97497,72825,33190,9384,616549,27315,29105,28389,18040,9908,33951,40568,40070,77508,90737,96791,73062,35147,15958,725155,367785,35223,36703,35299,19841,12466,31711,31027,30424,55977,41836,21985,10164,4266,863,357370,33994,35815,33826,19358,11774,30200,28561,28434,53868,38837,23435,11962,5519,1787,36.7,36.1,37.4,39.8,39.4,40.2,33.0,32.5,33.4,35.3,34.1,36.7,40.3,37.8,42.4,32.2,32.2,32.2,27.9,27.9,27.9,19.5,18.9,20.0,44.8,44.2,45.4,27.2,27.0,27.4,2529002
40,NV,32,,,,,040C1US32,Nevada -- In metropolitan statistical area -- in principal city,1392422,697922,43449,47276,45996,26300,17081,9362,9890,28338,50886,51516,47050,50338,49435,48508,43028,16936,22062,14075,17732,24421,16474,10593,7176,694500,41840,43824,43634,26157,15777,9185,9939,28117,49893,49891,44131,48172,46967,45725,45416,16469,23645,15338,20244,25722,18241,12638,13535,980777,496130,27720,30053,28608,17219,11245,31010,34694,35765,68596,72727,63513,46223,22367,6390,484647,26716,29263,28094,16731,9738,30656,33599,33285,62532,65317,64387,48002,24830,11497,111796,55746,3453,4258,4106,2342,1414,4770,3929,4336,7396,7641,6453,3585,1686,377,56050,3628,3263,3992,2000,1796,4242,4450,4071,7176,7724,6213,4588,2186,721,10460,5196,388,172,401,229,101,510,318,377,751,859,596,324,155,15,5264,196,214,360,91,122,340,415,479,939,893,750,323,67,75,99200,43962,1794,2462,2946,1570,1048,3531,3275,3322,6650,6291,5450,3645,1706,272,55238,1734,2213,2575,1704,996,3377,3918,4092,8660,8752,8428,5324,2697,768,8854,4220,240,249,504,196,94,399,395,348,777,499,314,146,44,15,4634,289,295,364,113,166,500,406,415,810,666,295,191,90,34,120738,62848,5352,5794,5925,2737,2173,5145,6154,5723,10050,7620,4073,1366,716,20,57890,4343,4868,4543,3444,1978,5550,5032,5511,8987,7137,3549,1931,674,343,60597,29820,4502,4288,3506,2007,1006,2225,2121,1645,3168,2306,1627,939,393,87,30777,4934,3708,3706,2074,981,2576,2073,2038,3199,2203,1908,945,335,97,744038,375988,16963,18145,17274,11366,7221,20767,24812,25313,50415,59502,55700,42289,20303,5918,368050,15820,17328,17439,11136,6448,21269,23689,24059,45254,53304,55666,43469,22383,10786,382063,194933,17998,19540,18986,9562,6551,16314,16542,16796,29359,21781,12503,5549,2929,523,187130,17235,18691,16682,9816,5696,16022,15585,15322,27931,20023,12913,6786,3331,1097,37.6,36.9,38.3,40.2,39.9,40.6,34.9,34.4,36.1,39.0,36.9,40.5,41.3,38.3,43.3,31.7,30.7,33.0,28.8,28.7,29.1,19.6,19.1,20.0,44.7,44.2,45.3,27.8,27.6,27.9,1392422
40,NV,32,,,,,040C2US32,Nevada -- In metropolitan statistical area -- not in principal city,1136580,570641,39915,41430,37668,24435,13536,7707,8397,24127,43746,41716,41141,40376,39560,37735,33249,12423,18330,11203,14287,17823,10793,6438,4606,565939,38025,39654,38000,22690,12613,8273,7305,22265,41352,40502,40348,40240,37469,38354,35630,13557,18772,11721,14968,18461,11034,7810,6896,715750,365421,23005,23701,21855,12824,6937,22980,26323,25989,50702,52123,47584,33796,13853,3749,350329,20985,22471,21161,12093,6823,20032,25181,23710,48306,48309,48016,33148,14510,5584,119807,59309,4910,5212,3675,2914,1806,5144,5355,4188,8737,7914,4900,2948,1270,336,60498,4487,4864,4597,2914,1579,5047,5063,4658,9130,7380,5793,3219,1342,425,10517,5050,501,474,328,223,126,319,451,412,589,715,536,268,103,5,5467,421,434,402,238,145,357,564,312,815,577,552,380,172,98,112241,51781,2555,3052,2832,2107,1312,3674,4333,4126,7908,7610,6231,4135,1453,453,60460,2131,2685,2957,1817,994,3612,4576,4782,9984,9928,8633,5762,2145,454,8543,4405,238,343,246,160,69,388,404,438,698,576,457,345,43,0,4138,223,431,259,257,79,293,398,438,658,329,389,362,22,0,115003,57708,4364,4882,5668,4289,2430,5368,4880,4692,9917,6540,3250,1088,283,57,57295,5406,4802,5702,3655,2145,5798,3851,4738,8860,7195,3208,1378,325,232,54719,26967,4342,3766,3064,1918,856,2358,2000,1871,2966,1817,1044,733,226,6,27752,4372,3967,2922,1716,848,2704,1719,1864,2835,2105,1368,901,328,103,510170,261671,11931,13180,12250,7396,3813,14125,17705,17639,35418,39528,41797,30536,12887,3466,248499,11495,11777,10950,6904,3460,12682,16879,16011,32254,37433,41125,29593,12764,5172,343092,172852,17225,17163,16313,10279,5915,15397,14485,13628,26618,20055,9482,4615,1337,340,170240,16759,17124,17144,9542,6078,14178,12976,13112,25937,18814,10522,5176,2188,690,35.9,35.3,36.5,39.2,38.6,39.7,31.0,30.6,31.6,32.0,31.7,32.4,39.5,37.4,41.5,32.9,33.7,31.4,26.8,26.9,26.6,19.4,18.8,20.1,44.9,44.2,45.5,26.6,26.4,26.7,1136580
40,NV,32,,,,,040E0US32,Nevada -- In micropolitan statistical area,236091,120022,7180,7955,7590,5156,2928,1307,1078,4320,6867,6979,6440,6501,7947,8927,8739,3627,5181,3394,4218,5893,3986,2348,1461,116069,6517,7662,7434,4562,2322,1126,1286,3778,6295,6387,6401,6907,7439,8788,8883,3310,5402,2911,4521,5632,3949,2436,2121,204686,104444,5748,6583,6081,4227,2325,5623,5840,5941,11056,14597,16190,12833,6059,1341,100242,5352,6015,6172,3771,1981,5070,5280,5384,11080,14462,15930,12037,5792,1916,3158,1963,277,112,55,94,16,316,115,80,300,320,185,6,72,15,1195,58,233,12,4,19,136,46,31,299,136,79,50,49,43,8122,3895,269,231,305,237,136,311,260,323,319,677,354,287,114,72,4227,302,252,280,191,141,325,244,281,476,630,528,377,158,42,3081,1134,24,46,84,13,40,41,74,34,172,325,169,79,31,2,1947,20,17,118,44,12,57,125,86,406,221,386,213,185,57,460,244,51,5,0,12,11,14,14,39,16,53,9,20,0,0,216,20,17,4,19,11,9,26,0,35,19,42,6,8,0,9631,5189,486,538,482,290,275,224,430,401,833,657,353,156,35,29,4442,392,505,280,342,93,326,424,442,661,394,272,176,101,34,6953,3153,325,440,583,283,125,176,134,161,245,245,287,124,23,2,3800,373,623,568,191,65,267,150,163,351,365,358,205,92,29,177195,90174,4287,5099,4675,3284,1780,4453,4790,4780,9499,13231,15001,12371,5662,1262,87021,4042,4458,4946,3049,1429,4064,4481,4528,9298,13031,14844,11517,5509,1825,39661,20851,2079,2145,2125,1393,883,1523,1468,1687,2473,2239,1624,667,437,108,18810,1772,2360,1692,1118,705,1365,1300,1342,2496,1974,1434,730,395,127,42.6,42.1,43.2,44.6,44.1,45.0,33.0,29.8,35.8,34.8,32.9,37.6,47.9,46.4,50.1,30.7,30.6,37.2,28.6,29.2,27.8,18.7,16.9,20.5,47.8,47.4,48.1,26.2,26.0,26.4,236091
40,NV,32,,,,,040E1US32,Nevada -- In micropolitan statistical area -- in principal city,101071,50633,3372,3430,2964,1950,1084,702,506,2079,3029,3181,2335,2947,3428,3522,3848,1329,1826,1449,1598,2536,1840,1090,588,50438,3230,3448,3046,1967,877,631,745,2091,3033,2528,2558,3228,2876,3401,3600,1124,2521,1091,2058,2604,1802,957,1022,87216,44356,2691,2868,2509,1617,874,2825,2659,2810,4571,5839,6397,5316,2799,581,42860,2709,2705,2416,1476,784,2854,2618,2132,4715,5418,6499,5142,2487,905,2150,1323,253,67,47,60,6,155,63,58,132,228,182,0,72,0,827,23,218,12,0,11,112,28,0,143,103,62,35,37,43,2007,744,61,40,15,12,4,74,101,38,36,212,94,50,5,2,1263,92,30,88,76,6,114,48,91,160,304,91,134,20,9,1577,505,10,46,28,0,0,3,23,28,79,145,65,47,31,0,1072,2,0,87,39,12,3,74,47,236,105,156,154,128,29,242,124,0,0,0,12,11,2,11,24,1,43,0,20,0,0,118,0,2,4,16,11,9,0,0,12,9,41,6,8,0,4417,2162,162,206,118,139,172,138,124,94,408,370,154,49,23,5,2255,162,154,132,265,40,183,210,149,393,215,162,122,46,22,3462,1419,195,203,247,110,17,90,48,129,55,113,111,101,0,0,2043,242,339,307,95,13,192,55,109,127,123,234,160,33,14,74756,37977,2083,2203,1783,1256,769,2094,2156,2304,3865,5287,5940,5132,2572,533,36779,1972,1884,1875,1143,521,2189,2310,1768,4063,4775,6106,4926,2377,870,18269,9180,821,946,969,524,289,896,657,686,1168,987,639,292,253,53,9089,939,1188,843,600,315,867,590,547,1065,917,624,371,166,57,41.6,41.6,41.5,43.1,43.0,43.3,31.7,31.3,35.3,40.9,44.3,40.1,48.2,47.5,49.6,50.4,46.5,50.6,30.1,33.2,28.3,17.8,16.6,20.2,46.5,46.2,46.7,24.8,26.2,23.7,101071
40,NV,32,,,,,040E2US32,Nevada -- In micropolitan statistical area -- not in principal city,135020,69389,3808,4525,4626,3206,1844,605,572,2241,3838,3798,4105,3554,4519,5405,4891,2298,3355,1945,2620,3357,2146,1258,873,65631,3287,4214,4388,2595,1445,495,541,1687,3262,3859,3843,3679,4563,5387,5283,2186,2881,1820,2463,3028,2147,1479,1099,117470,60088,3057,3715,3572,2610,1451,2798,3181,3131,6485,8758,9793,7517,3260,760,57382,2643,3310,3756,2295,1197,2216,2662,3252,6365,9044,9431,6895,3305,1011,1008,640,24,45,8,34,10,161,52,22,168,92,3,6,0,15,368,35,15,0,4,8,24,18,31,156,33,17,15,12,0,6115,3151,208,191,290,225,132,237,159,285,283,465,260,237,109,70,2964,210,222,192,115,135,211,196,190,316,326,437,243,138,33,1504,629,14,0,56,13,40,38,51,6,93,180,104,32,0,2,875,18,17,31,5,0,54,51,39,170,116,230,59,57,28,218,120,51,5,0,0,0,12,3,15,15,10,9,0,0,0,98,20,15,0,3,0,0,26,0,23,10,1,0,0,0,5214,3027,324,332,364,151,103,86,306,307,425,287,199,107,12,24,2187,230,351,148,77,53,143,214,293,268,179,110,54,55,12,3491,1734,130,237,336,173,108,86,86,32,190,132,176,23,23,2,1757,131,284,261,96,52,75,95,54,224,242,124,45,59,15,102439,52197,2204,2896,2892,2028,1011,2359,2634,2476,5634,7944,9061,7239,3090,729,50242,2070,2574,3071,1906,908,1875,2171,2760,5235,8256,8738,6591,3132,955,21392,11671,1258,1199,1156,869,594,627,811,1001,1305,1252,985,375,184,55,9721,833,1172,849,518,390,498,710,795,1431,1057,810,359,229,70,43.4,42.4,44.4,45.7,45.1,46.4,35.1,29.3,36.5,33.4,32.5,35.6,46.8,45.3,50.8,25.2,20.4,25.8,27.6,28.2,26.9,19.0,17.6,22.4,48.5,48.1,48.9,27.0,25.8,29.4,135020
