SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,NY,36,,,,,04000US36,New York,19673174,9541801,601900,588624,602877,381224,278383,153656,147237,423461,722290,668918,607495,632186,674516,695357,633602,229882,311019,184538,224861,287440,207495,150642,134198,10131373,574532,561622,576846,364149,270038,149262,144217,419351,728064,684340,628810,660306,708960,740342,685163,255043,349067,215495,267663,357971,274626,231063,284443,12704637,6217813,341759,347900,362113,228945,169593,425781,436167,407282,784176,932606,854528,529386,284524,113053,6486824,324749,331238,341667,218325,163315,414617,433685,405199,772853,945419,901447,613173,386958,234179,3070392,1420800,100557,97983,102806,68371,47076,129414,112852,97979,180220,201560,152099,81749,36642,11492,1649592,97518,94262,104924,65702,46981,131378,120442,112242,217546,242861,195626,122653,67220,30237,74793,37234,2397,2903,2765,1849,1320,3477,2671,2613,4837,5713,3720,2106,680,183,37559,2621,2010,2645,1562,1488,2990,2425,2473,4944,5670,4567,2522,1270,372,1570223,751965,45824,42945,42178,26632,20310,61572,67677,63719,114237,105663,87808,46175,21823,5402,818258,43223,40058,40924,25496,19728,64972,76327,74200,133112,117286,94413,52525,26030,9964,6485,3111,147,219,148,140,134,383,473,216,507,398,195,51,65,35,3374,151,122,277,79,134,352,423,275,520,519,282,170,70,0,1685765,835130,69557,63945,64659,39792,29567,79799,80028,79290,127236,99647,59154,28698,10659,3099,850635,66811,61709,59487,37397,27696,74907,73654,70034,129573,110980,73186,38324,19325,7552,560879,275748,41659,32729,28208,15495,10383,23928,22422,17819,28468,24286,16999,8674,3744,934,285131,39459,32223,26922,15588,10696,23614,21108,19917,30568,26567,19752,11762,4816,2139,11170518,5457644,279894,291290,308449,197395,145768,360840,373191,346021,667838,833668,787503,491850,266193,107744,5712874,265759,277192,291417,186470,140531,356371,375301,345202,665157,843704,823265,562091,357429,222985,3619658,1787411,155733,139872,134825,82343,60378,163602,160327,153321,264467,217379,140136,73183,32633,9212,1832247,148995,134831,128197,78612,57774,151485,147459,144715,261464,233990,169175,100229,54356,20965,38.1,36.5,39.7,41.6,40.1,43.0,35.1,32.4,37.3,34.2,32.4,36.9,36.1,35.4,36.8,31.0,29.4,32.4,30.4,29.3,31.6,22.7,21.8,23.6,43.0,41.6,44.4,31.0,29.9,32.3,19673174
40,NY,36,,,,,04001US36,New York -- Urban,17326601,8353236,544357,520419,526148,329887,250064,138040,133467,381299,660412,607821,547086,555416,581445,590532,535113,193046,259851,154154,185994,237954,173809,129455,117467,8973365,517890,496570,505973,316548,244833,136426,131949,383325,675076,626620,568771,584602,617125,636623,589264,219847,298875,184989,228818,308082,239244,204823,257092,10488113,5102872,289266,284944,291474,181927,143975,361303,380400,351596,657617,744847,674111,414064,230675,96673,5385241,272417,271395,276106,174288,140134,357931,383155,351048,644089,757120,725761,497445,326986,207366,3030898,1393924,99706,97068,101563,67087,46134,126099,110135,95401,175655,197287,149695,80489,36338,11267,1636974,97114,93551,103806,64955,46315,130050,119892,111484,216088,241026,194274,121790,66605,30024,61428,30779,2008,2325,2276,1480,1111,2988,2323,2175,4062,4794,3000,1578,521,138,30649,2105,1656,2247,1260,1326,2582,2109,1915,4152,4522,3567,1964,962,282,1548065,742628,45307,42199,41456,25988,19911,61081,67227,63196,112872,104198,86774,45394,21658,5367,805437,42571,39088,39916,24859,19397,64339,75689,73422,130893,115294,92879,51456,25744,9890,6040,2900,144,184,115,134,116,378,451,209,480,368,170,51,65,35,3140,144,119,236,72,134,314,420,249,488,496,269,130,69,0,1667277,823796,68848,63378,63780,39232,29242,78674,78789,78103,125009,98026,58545,28500,10579,3091,843481,66378,61190,58924,36885,27495,74219,73279,69338,128517,110169,72456,37986,19112,7533,524780,256337,39078,30321,25484,14039,9575,22283,21087,17141,26807,22457,15715,8026,3428,896,268443,37161,29571,24738,14229,10032,22265,20532,19164,29146,25121,18780,11118,4589,1997,9000647,4367000,229557,230391,240224,151656,121015,298605,319395,291901,544530,648984,608869,377697,212684,91492,4633647,215589,219526,227812,143704,118253,301058,326035,292819,539163,658849,649410,447202,297957,196270,3546880,1747173,152438,136855,131281,80215,58922,159593,156640,150169,258449,212131,137491,71735,32200,9054,1799707,146037,131748,125226,76567,56519,149153,145580,142161,257455,229421,166448,98959,53603,20830,37.3,35.7,38.9,40.7,39.1,42.3,35.1,32.4,37.3,33.6,32.1,35.5,36.0,35.4,36.8,31.1,29.5,32.2,30.4,29.3,31.6,23.0,22.0,24.1,42.3,40.6,43.8,31.0,29.9,32.4,17326601
40,NY,36,,,,,04043US36,New York -- Rural,2346573,1188565,57543,68205,76729,51337,28319,15616,13770,42162,61878,61097,60409,76770,93071,104825,98489,36836,51168,30384,38867,49486,33686,21187,16731,1158008,56642,65052,70873,47601,25205,12836,12268,36026,52988,57720,60039,75704,91835,103719,95899,35196,50192,30506,38845,49889,35382,26240,27351,2216524,1114941,52493,62956,70639,47018,25618,64478,55767,55686,126559,187759,180417,115322,53849,16380,1101583,52332,59843,65561,44037,23181,56686,50530,54151,128764,188299,175686,115728,59972,26813,39494,26876,851,915,1243,1284,942,3315,2717,2578,4565,4273,2404,1260,304,225,12618,404,711,1118,747,666,1328,550,758,1458,1835,1352,863,615,213,13365,6455,389,578,489,369,209,489,348,438,775,919,720,528,159,45,6910,516,354,398,302,162,408,316,558,792,1148,1000,558,308,90,22158,9337,517,746,722,644,399,491,450,523,1365,1465,1034,781,165,35,12821,652,970,1008,637,331,633,638,778,2219,1992,1534,1069,286,74,445,211,3,35,33,6,18,5,22,7,27,30,25,0,0,0,234,7,3,41,7,0,38,3,26,32,23,13,40,1,0,18488,11334,709,567,879,560,325,1125,1239,1187,2227,1621,609,198,80,8,7154,433,519,563,512,201,688,375,696,1056,811,730,338,213,19,36099,19411,2581,2408,2724,1456,808,1645,1335,678,1661,1829,1284,648,316,38,16688,2298,2652,2184,1359,664,1349,576,753,1422,1446,972,644,227,142,2169871,1090644,50337,60899,68225,45739,24753,62235,53796,54120,123308,184684,178634,114153,53509,16252,1079227,50170,57666,63605,42766,22278,55313,49266,52383,125994,184855,173855,114889,59472,26715,72778,40238,3295,3017,3544,2128,1456,4009,3687,3152,6018,5248,2645,1448,433,158,32540,2958,3083,2971,2045,1255,2332,1879,2554,4009,4569,2727,1270,753,135,44.6,43.8,45.4,45.4,44.8,46.0,34.3,34.1,35.1,38.7,34.3,41.1,37.7,36.4,39.3,30.3,27.4,32.6,31.6,31.1,32.2,18.5,19.3,17.7,45.7,45.1,46.3,28.7,28.5,29.2,2346573
40,NY,36,,,,,040A0US36,New York -- In metropolitan or micropolitan statistical area,19273360,9337199,591783,577757,590678,373274,271519,150236,144023,415632,710189,657290,595579,620644,659973,678881,617621,224028,302706,179489,218160,278617,201466,146622,131032,9936161,564528,551214,565618,356590,264513,146349,141948,412920,718197,674299,618107,649112,694998,724691,669237,249513,341108,210317,261226,348927,267933,226271,278545,12338218,6033241,332700,338157,351176,221907,163964,413904,426152,397511,763592,904229,825635,509579,274808,109927,6304977,315867,321985,331270,211513,158801,404193,424526,395904,752495,917515,873398,593319,375777,228414,3054700,1409829,100252,97501,102431,68041,46282,127811,111602,96641,178474,200054,151373,81374,36527,11466,1644871,97237,94003,104665,65459,46560,130987,120084,112007,217056,242174,195113,122319,67061,30146,73890,36738,2395,2887,2760,1832,1317,3424,2615,2567,4760,5632,3629,2078,662,180,37152,2607,1990,2636,1562,1488,2927,2389,2459,4930,5599,4454,2487,1257,367,1566755,750443,45738,42907,42034,26507,20151,61466,67524,63688,114084,105469,87636,46048,21789,5402,816312,43202,39963,40843,25424,19604,64811,76223,74026,132755,117011,94129,52351,26009,9961,6447,3094,147,219,148,140,134,383,473,216,491,398,194,51,65,35,3353,149,122,277,72,134,352,420,271,516,519,282,170,69,0,1680226,832168,69375,63812,64371,39625,29424,79470,79582,79073,126752,99329,59063,28590,10603,3099,848058,66658,61556,59343,37218,27477,74585,73562,69901,129167,110653,72982,38165,19262,7529,553124,271686,41176,32274,27758,15222,10247,23433,22241,17594,28070,23743,16825,8546,3634,923,281438,38808,31595,26584,15342,10449,23362,20993,19731,30300,26218,19500,11659,4769,2128,10815515,5279632,271271,282016,298115,190604,140486,349557,363791,336901,648146,806061,759123,472302,256630,104629,5535883,257380,268302,281605,179963,136160,346312,366425,336166,645419,816439,795700,542445,346335,217232,3599216,1775571,154847,139109,133786,81806,59758,162322,159175,152279,262765,215934,139439,72768,32385,9198,1823645,148189,134214,127363,78043,57299,150693,146941,144245,260390,232869,168443,99820,54206,20930,38.1,36.4,39.6,41.5,40.0,42.9,35.1,32.5,37.3,34.1,32.2,36.7,36.1,35.4,36.8,31.0,29.4,32.5,30.4,29.3,31.6,22.7,21.8,23.7,42.9,41.5,44.3,31.0,29.9,32.3,19273360
40,NY,36,,,,,040C0US36,New York -- In metropolitan statistical area,18267314,8830601,564392,548858,559585,353215,254158,141125,135134,393278,678359,627939,568069,588930,624286,639628,579784,210317,283235,168159,203665,260004,187796,137470,123215,9436713,539102,522952,537282,338070,247082,136998,133003,394557,691541,647213,592665,619187,660884,685843,632493,235513,321333,198501,246140,328509,251914,213279,262652,11410342,5573325,308637,312303,323411,204090,148886,379287,399050,372101,711184,834967,757972,466677,252508,102252,5837017,293057,296709,305721,194687,143621,371198,399472,370955,700451,847867,805340,547519,347624,212796,3026346,1390075,99624,96961,101843,67458,45398,124656,109130,94641,174860,197189,149823,80745,36355,11392,1636271,96877,93355,103748,65054,45694,129697,119752,111513,216055,241412,194469,121965,66673,30007,64532,32103,2118,2492,2324,1557,1170,3072,2308,2264,4234,5018,3083,1800,514,149,32429,2262,1637,2370,1389,1365,2613,2163,2034,4475,4784,3843,2148,1049,297,1557239,746111,45463,42658,41760,26283,19830,61069,67150,63377,113544,104889,87231,45772,21683,5402,811128,42992,39602,40580,25253,19184,64179,75853,73774,132061,116241,93664,51937,25882,9926,6159,2947,130,219,148,140,134,363,434,209,457,380,194,51,53,35,3212,142,119,277,72,134,308,408,271,507,492,262,151,69,0,1668895,825154,69017,63578,63915,39276,28887,78656,78873,78164,125509,98500,58637,28468,10591,3083,843741,66288,61296,58991,36927,26978,74162,73308,69509,128612,110251,72685,38019,19186,7529,533801,260886,39403,30647,26184,14411,9853,22434,21414,17183,27211,22971,16396,8315,3562,902,272915,37484,30234,25595,14688,10106,22401,20585,19157,29691,25680,19076,11411,4710,2097,9908490,4830853,248250,257253,271296,173341,125942,316029,337662,312486,597255,737950,692215,429721,234475,96978,5077637,235510,244121,256955,163637,121615,314074,342079,311909,594413,747835,728347,497059,318436,201647,3562235,1754564,153001,137404,132162,80743,58564,160087,157198,150288,259615,213680,138159,72308,32203,9152,1807671,146635,132555,125855,77101,56046,149264,145809,143058,258663,231314,167376,99226,53876,20893,37.9,36.3,39.4,41.4,39.9,42.9,35.2,32.5,37.4,34.0,32.3,36.5,36.1,35.4,36.8,30.9,29.4,32.3,30.4,29.3,31.6,23.0,22.1,24.0,42.9,41.4,44.3,31.0,29.9,32.4,18267314
40,NY,36,,,,,040C1US36,New York -- In metropolitan statistical area -- in principal city,9717612,4638996,326966,285765,273981,168553,128728,77835,75338,225987,428173,390018,330489,311927,306918,302874,274487,99996,133560,77466,93347,121846,87981,61532,55229,5078616,313137,272496,266961,163068,128207,76947,77227,240996,457531,410634,347093,331527,329357,334686,312574,118861,162047,98889,121224,163753,123908,102659,124834,4423046,2155349,131836,110822,100427,58897,52205,157452,208355,192836,306706,282833,259596,163653,91743,37988,2267697,125629,105028,95459,56666,52613,165244,219558,189806,283307,274235,283836,202541,130530,83245,2401928,1088024,80633,76884,79084,51679,34083,96428,86456,75318,134800,152180,118633,63613,28740,9493,1313904,78539,73489,81407,50250,34510,103246,99286,91088,172509,191771,158827,99168,54579,25235,40402,19772,1307,1549,1555,964,661,1721,1584,1426,2658,3207,1777,991,342,30,20630,1691,1047,1570,724,797,1945,1426,1209,2668,2930,2419,1315,689,200,1202576,576359,35638,30797,29897,18681,13803,46926,55556,51234,87815,81096,68862,34536,17055,4463,626217,33148,28035,28612,17950,13701,50838,63196,59901,100672,88876,73152,39279,20677,8180,4105,1962,119,106,91,109,83,229,259,143,349,275,108,40,34,17,2143,109,83,199,33,71,239,235,168,349,308,195,85,69,0,1319457,641620,54132,49112,48972,30423,22507,62678,62135,57796,92939,76140,48916,24161,9074,2635,677837,51076,48143,46463,29217,21090,59659,59588,55080,99817,89623,61524,33255,16695,6607,326098,155910,23301,16495,13955,7800,5386,13726,13828,11265,17149,14061,10151,5665,2525,603,170188,22945,16671,13251,8228,5425,13999,14242,13382,19298,16300,13529,8223,3328,1367,3445662,1677297,95365,77833,70031,40639,38755,116696,167151,152387,234046,220603,214793,136723,77915,34360,1768365,89732,73372,68003,38636,39092,126910,179655,149915,216144,209419,229371,165097,108422,74597,2583923,1254337,107270,94986,90736,56292,40751,116475,115927,106937,179004,151856,104359,56852,25893,6999,1329586,102693,92367,86114,53838,39083,111677,111112,105645,184695,170350,130957,79944,43782,17329,35.4,34.1,36.8,37.9,36.8,39.1,35.2,32.4,37.6,33.1,32.0,34.8,36.1,35.5,36.7,31.7,29.8,33.2,30.6,29.2,32.1,25.3,24.0,26.4,39.1,38.1,40.3,31.6,30.2,33.1,9717612
40,NY,36,,,,,040C2US36,New York -- In metropolitan statistical area -- not in principal city,8549702,4191605,237426,263093,285604,184662,125430,63290,59796,167291,250186,237921,237580,277003,317368,336754,305297,110321,149675,90693,110318,138158,99815,75938,67986,4358097,225965,250456,270321,175002,118875,60051,55776,153561,234010,236579,245572,287660,331527,351157,319919,116652,159286,99612,124916,164756,128006,110620,137818,6987296,3417976,176801,201481,222984,145193,96681,221835,190695,179265,404478,552134,498376,303024,160765,64264,3569320,167428,191681,210262,138021,91008,205954,179914,181149,417144,573632,521504,344978,217094,129551,624418,302051,18991,20077,22759,15779,11315,28228,22674,19323,40060,45009,31190,17132,7615,1899,322367,18338,19866,22341,14804,11184,26451,20466,20425,43546,49641,35642,22797,12094,4772,24130,12331,811,943,769,593,509,1351,724,838,1576,1811,1306,809,172,119,11799,571,590,800,665,568,668,737,825,1807,1854,1424,833,360,97,354663,169752,9825,11861,11863,7602,6027,14143,11594,12143,25729,23793,18369,11236,4628,939,184911,9844,11567,11968,7303,5483,13341,12657,13873,31389,27365,20512,12658,5205,1746,2054,985,11,113,57,31,51,134,175,66,108,105,86,11,19,18,1069,33,36,78,39,63,69,173,103,158,184,67,66,0,0,349438,183534,14885,14466,14943,8853,6380,15978,16738,20368,32570,22360,9721,4307,1517,448,165904,15212,13153,12528,7710,5888,14503,13720,14429,28795,20628,11161,4764,2491,922,207703,104976,16102,14152,12229,6611,4467,8708,7586,5918,10062,8910,6245,2650,1037,299,102727,14539,13563,12344,6460,4681,8402,6343,5775,10393,9380,5547,3188,1382,730,6462828,3153556,152885,179420,201265,132702,87187,199333,170511,160099,363209,517347,477422,292998,156560,62618,3309272,145778,170749,188952,125001,82523,187164,162424,161994,378269,538416,498976,331962,210014,127050,978312,500227,45731,42418,41426,24451,17813,43612,41271,43351,80611,61824,33800,15456,6310,2153,478085,43942,40188,39741,23263,16963,37587,34697,37413,73968,60964,36419,19282,10094,3564,41.2,39.6,42.7,43.7,42.2,45.0,34.9,32.8,36.7,35.5,33.0,38.6,36.1,34.9,37.2,29.6,29.1,31.3,30.0,29.8,30.1,19.7,19.5,19.9,44.8,43.4,46.1,29.7,29.1,30.3,8549702
40,NY,36,,,,,040E0US36,New York -- In micropolitan statistical area,1006046,506598,27391,28899,31093,20059,17361,9111,8889,22354,31830,29351,27510,31714,35687,39253,37837,13711,19471,11330,14495,18613,13670,9152,7817,499448,25426,28262,28336,18520,17431,9351,8945,18363,26656,27086,25442,29925,34114,38848,36744,14000,19775,11816,15086,20418,16019,12992,15893,927876,459916,24063,25854,27765,17817,15078,34617,27102,25410,52408,69262,67663,42902,22300,7675,467960,22810,25276,25549,16826,15180,32995,25054,24949,52044,69648,68058,45800,28153,15618,28354,19754,628,540,588,583,884,3155,2472,2000,3614,2865,1550,629,172,74,8600,360,648,917,405,866,1290,332,494,1001,762,644,354,388,139,9358,4635,277,395,436,275,147,352,307,303,526,614,546,278,148,31,4723,345,353,266,173,123,314,226,425,455,815,611,339,208,70,9516,4332,275,249,274,224,321,397,374,311,540,580,405,276,106,0,5184,210,361,263,171,420,632,370,252,694,770,465,414,127,35,288,147,17,0,0,0,0,20,39,7,34,18,0,0,12,0,141,7,3,0,0,0,44,12,0,9,27,20,19,0,0,11331,7014,358,234,456,349,537,814,709,909,1243,829,426,122,12,16,4317,370,260,352,291,499,423,254,392,555,402,297,146,76,0,19323,10800,1773,1627,1574,811,394,999,827,411,859,772,429,231,72,21,8523,1324,1361,989,654,343,961,408,574,609,538,424,248,59,31,907025,448779,23021,24763,26819,17263,14544,33528,26129,24415,50891,68111,66908,42581,22155,7651,458246,21870,24181,24650,16326,14545,32238,24346,24257,51006,68604,67353,45386,27899,15585,36981,21007,1846,1705,1624,1063,1194,2235,1977,1991,3150,2254,1280,460,182,46,15974,1554,1659,1508,942,1253,1429,1132,1187,1727,1555,1067,594,330,37,41.3,39.9,42.6,42.7,41.6,43.8,31.0,32.5,23.4,34.8,32.0,39.6,31.8,31.1,32.6,34.3,28.9,41.5,28.6,30.2,24.6,17.0,16.4,17.8,43.2,42.1,44.2,25.7,26.9,23.4,1006046
40,NY,36,,,,,040E1US36,New York -- In micropolitan statistical area -- in principal city,248613,121555,7469,7334,7302,4293,5716,3106,3148,6780,8885,8033,7219,7215,7486,7986,8109,2790,3669,2116,2572,3423,2727,1932,2245,127058,6313,6806,6449,3781,7389,4299,3784,5896,8147,7530,6885,7038,7164,8346,7780,3057,4187,2592,3105,4578,3491,3382,5059,218468,104177,5906,5936,6031,3402,4706,10635,7557,6697,12259,13323,13412,7634,4480,2199,114291,5272,5515,5170,3266,6374,12127,7478,6599,12514,14342,14265,9797,6608,4964,12564,7693,459,356,304,243,436,1267,643,621,1229,1134,635,259,69,38,4871,217,444,562,166,330,823,195,312,634,396,317,219,182,74,1121,624,14,0,59,71,0,89,52,50,118,59,73,7,32,0,497,8,67,0,10,0,33,51,69,39,117,59,15,18,11,3267,1638,35,107,98,74,123,272,145,100,149,257,163,57,58,0,1629,69,33,31,24,277,383,109,78,184,230,94,98,9,10,105,49,0,0,0,0,0,15,0,0,22,0,0,0,12,0,56,0,0,0,0,0,18,0,0,9,13,8,8,0,0,5677,3057,194,161,235,185,327,351,137,380,394,415,166,96,8,8,2620,229,129,245,134,249,210,148,298,424,279,143,76,56,0,7411,4317,861,774,575,318,124,405,351,185,263,284,119,58,0,0,3094,518,618,441,181,159,385,166,174,119,133,138,62,0,0,208530,99259,5470,5441,5534,3143,4444,10095,7147,6213,11629,12930,13063,7502,4449,2199,109271,4824,4995,4608,3045,5971,11666,7058,6243,11903,13924,13988,9592,6509,4945,18014,9244,930,856,860,492,631,1039,636,873,1191,889,556,223,60,8,8770,812,809,971,457,716,863,684,677,1081,744,476,306,155,19,35.6,34.0,37.2,37.5,35.9,39.3,28.9,30.9,23.1,34.7,34.3,35.7,27.0,28.9,25.0,38.9,38.4,45.1,27.9,27.4,29.2,14.5,14.6,14.3,38.5,36.6,40.5,23.6,24.0,22.9,248613
40,NY,36,,,,,040E2US36,New York -- In micropolitan statistical area -- not in principal city,757433,385043,19922,21565,23791,15766,11645,6005,5741,15574,22945,21318,20291,24499,28201,31267,29728,10921,15802,9214,11923,15190,10943,7220,5572,372390,19113,21456,21887,14739,10042,5052,5161,12467,18509,19556,18557,22887,26950,30502,28964,10943,15588,9224,11981,15840,12528,9610,10834,709408,355739,18157,19918,21734,14415,10372,23982,19545,18713,40149,55939,54251,35268,17820,5476,353669,17538,19761,20379,13560,8806,20868,17576,18350,39530,55306,53793,36003,21545,10654,15790,12061,169,184,284,340,448,1888,1829,1379,2385,1731,915,370,103,36,3729,143,204,355,239,536,467,137,182,367,366,327,135,206,65,8237,4011,263,395,377,204,147,263,255,253,408,555,473,271,116,31,4226,337,286,266,163,123,281,175,356,416,698,552,324,190,59,6249,2694,240,142,176,150,198,125,229,211,391,323,242,219,48,0,3555,141,328,232,147,143,249,261,174,510,540,371,316,118,25,183,98,17,0,0,0,0,5,39,7,12,18,0,0,0,0,85,7,3,0,0,0,26,12,0,0,14,12,11,0,0,5654,3957,164,73,221,164,210,463,572,529,849,414,260,26,4,8,1697,141,131,107,157,250,213,106,94,131,123,154,70,20,0,11912,6483,912,853,999,493,270,594,476,226,596,488,310,173,72,21,5429,806,743,548,473,184,576,242,400,490,405,286,186,59,31,698495,349520,17551,19322,21285,14120,10100,23433,18982,18202,39262,55181,53845,35079,17706,5452,348975,17046,19186,20042,13281,8574,20572,17288,18014,39103,54680,53365,35794,21390,10640,18967,11763,916,849,764,571,563,1196,1341,1118,1959,1365,724,237,122,38,7204,742,850,537,485,537,566,448,510,646,811,591,288,175,18,43.0,41.8,44.3,44.0,43.1,45.1,32.2,33.1,23.8,34.8,31.9,39.7,34.8,32.4,36.4,28.7,28.7,28.5,28.8,30.8,20.8,18.5,17.9,19.4,44.3,43.4,45.3,27.6,28.7,23.7,757433
