SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,OH,39,,,,,04000US39,Ohio,11575977,5662893,356598,376976,385542,239825,162499,86119,82497,227916,369646,356757,338273,368578,385388,420561,403067,147999,202564,117998,144846,183419,131940,93267,80618,5913084,339398,358242,371142,228296,155024,82617,80378,225400,367475,359375,340410,375476,394341,438290,427137,156083,218807,130120,162625,222552,173303,140079,166514,9538328,4679245,266340,288471,300418,188643,126507,310536,297932,290211,583478,689504,659463,399862,203661,74219,4859083,252726,270150,288863,179231,119424,303217,291633,288423,584030,704448,691762,453986,279533,151657,1412045,672371,53141,54249,53533,33551,24138,59351,47064,43083,83263,87939,73892,35899,17794,5474,739674,51419,52843,51891,32525,23727,59367,51748,48112,92083,98107,86942,48892,28923,13095,21646,11087,621,648,602,450,339,670,603,563,1961,1867,1615,842,213,93,10559,261,509,761,435,362,681,568,582,1655,1692,1945,689,295,124,216170,102528,6248,6748,6200,3690,3268,8849,10433,10001,18415,12245,8563,5375,2069,424,113642,6583,7207,7562,4051,3799,8424,10953,10744,19451,14215,10758,6514,2590,791,3060,1486,124,150,130,81,40,73,105,191,279,141,116,43,13,0,1574,48,130,90,26,81,114,167,144,269,130,235,76,28,36,97516,52311,4502,4763,4679,2593,1930,4425,4803,5637,8256,5577,3685,981,443,37,45205,4277,4573,4370,2282,1590,4153,3784,4188,6575,4603,3011,1256,371,172,287212,143865,25622,21947,19980,10817,6277,12628,8706,7071,11199,8676,6296,3261,1014,371,143347,24084,22830,17605,9746,6041,12439,8622,7182,11823,9436,7374,3884,1642,639,9291303,4553233,253029,274654,288260,181800,121820,299722,287213,280065,565702,677697,651711,396090,201858,73612,4738070,239560,256501,277243,173077,115805,293758,282028,278804,568061,692523,683333,449820,276887,150670,390970,201278,22103,21621,19841,10923,7385,17603,17336,16880,27980,19033,12128,5299,2411,735,189692,21303,21931,18364,9833,6499,15882,15426,14784,24782,18016,12345,5981,3352,1194,39.2,37.7,40.7,41.3,39.9,42.6,33.1,31.2,34.8,41.2,40.8,41.7,33.3,32.9,33.7,33.2,30.6,34.8,27.7,28.5,26.9,16.6,16.2,17.1,41.8,40.4,43.1,25.3,25.3,25.3,11575977
40,OH,39,,,,,04001US39,Ohio -- Urban,9038214,4378062,287515,290841,294667,180908,131622,70757,67167,187483,308457,291006,266289,285594,291161,312279,297704,108732,149151,86414,105846,131217,97237,71475,64540,4660152,273264,281570,285941,172912,127499,69263,67739,187864,309632,295173,271273,293440,300835,333297,323751,119156,166515,98992,123562,170374,135330,113039,139731,7078843,3436405,200650,205853,213910,132896,97217,242729,239291,227085,433772,491745,465488,279457,147912,58400,3642438,189749,196824,207517,125813,93654,242105,235509,226239,437066,510402,503193,333640,215455,125272,1389290,659026,52532,53792,52700,32885,23534,57714,45985,42147,81431,86220,72247,35009,17460,5370,730264,51020,52299,51218,32122,22703,58444,51565,47686,91188,96856,85694,48081,28538,12850,18037,9179,538,604,482,345,295,553,533,455,1751,1523,1256,636,140,68,8858,207,414,660,341,334,609,441,507,1532,1361,1545,568,226,113,206658,98765,6096,6522,5954,3453,3141,8602,10220,9774,17833,11772,8039,5026,1956,377,107893,6259,6841,6891,3831,3631,8215,10549,10351,18449,13519,9997,6154,2482,724,2538,1201,124,135,121,34,40,68,72,162,222,96,80,34,13,0,1337,32,121,61,24,60,111,135,137,217,114,203,58,28,36,88710,47253,4181,4386,4089,2386,1729,4007,4373,5128,7507,4920,3355,761,397,34,41457,4010,4184,3947,2117,1477,3927,3596,3782,6080,4091,2638,1148,316,144,254138,126233,23394,19549,17411,8909,5666,11734,7983,6255,9367,7164,5122,2554,834,291,127905,21987,20887,15647,8664,5640,11455,7837,6471,10181,7789,6152,3279,1324,592,6856584,3323180,188615,193470,203262,127036,93138,232775,229196,217673,417719,481060,458818,276113,146428,57877,3533404,177688,184819,197073,120383,90416,233435,226784,217353,422358,499865,495713,329947,213156,124414,353819,181385,20037,19564,17428,9492,6561,16196,16269,15478,25251,17130,10713,4578,2040,648,172434,19599,19746,16581,8786,5963,14758,14126,13594,22953,15973,11002,5387,2921,1045,38.1,36.4,39.8,40.5,38.8,42.1,33.1,31.1,34.8,40.3,39.9,40.9,33.1,32.7,33.6,32.4,30.1,34.8,27.5,28.4,26.6,16.4,15.9,16.8,41.1,39.4,42.7,25.3,25.4,25.2,9038214
40,OH,39,,,,,04043US39,Ohio -- Rural,2537763,1284831,69083,86135,90875,58917,30877,15362,15330,40433,61189,65751,71984,82984,94227,108282,105363,39267,53413,31584,39000,52202,34703,21792,16078,1252932,66134,76672,85201,55384,27525,13354,12639,37536,57843,64202,69137,82036,93506,104993,103386,36927,52292,31128,39063,52178,37973,27040,26783,2459485,1242840,65690,82618,86508,55747,29290,67807,58641,63126,149706,197759,193975,120405,55749,15819,1216645,62977,73326,81346,53418,25770,61112,56124,62184,146964,194046,188569,120346,64078,26385,22755,13345,609,457,833,666,604,1637,1079,936,1832,1719,1645,890,334,104,9410,399,544,673,403,1024,923,183,426,895,1251,1248,811,385,245,3609,1908,83,44,120,105,44,117,70,108,210,344,359,206,73,25,1701,54,95,101,94,28,72,127,75,123,331,400,121,69,11,9512,3763,152,226,246,237,127,247,213,227,582,473,524,349,113,47,5749,324,366,671,220,168,209,404,393,1002,696,761,360,108,67,522,285,0,15,9,47,0,5,33,29,57,45,36,9,0,0,237,16,9,29,2,21,3,32,7,52,16,32,18,0,0,8806,5058,321,377,590,207,201,418,430,509,749,657,330,220,46,3,3748,267,389,423,165,113,226,188,406,495,512,373,108,55,28,33074,17632,2228,2398,2569,1908,611,894,723,816,1832,1512,1174,707,180,80,15442,2097,1943,1958,1082,401,984,785,711,1642,1647,1222,605,318,47,2434719,1230053,64414,81184,84998,54764,28682,66947,58017,62392,147983,196637,192893,119977,55430,15735,1204666,61872,71682,80170,52694,25389,60323,55244,61451,145703,192658,187620,119873,63731,26256,37151,19893,2066,2057,2413,1431,824,1407,1067,1402,2729,1903,1415,721,371,87,17258,1704,2185,1783,1047,536,1124,1300,1190,1829,2043,1343,594,431,149,43.1,42.3,43.8,43.4,42.7,44.2,34.9,34.3,36.2,48.0,47.5,48.4,37.5,38.6,36.4,35.5,35.6,32.9,30.4,29.9,31.1,18.5,17.5,20.9,43.6,42.9,44.3,25.0,23.8,26.0,2537763
40,OH,39,,,,,040A0US39,Ohio -- In metropolitan or micropolitan statistical area,11121803,5436152,342035,360543,369747,229921,156642,82990,79350,219973,357009,343743,325443,354146,370660,403706,386407,141456,193721,112727,138431,174881,125634,89349,77638,5685651,325604,343078,356063,218826,149819,79617,77936,217393,355169,346579,328038,361150,379438,421591,411046,149909,210287,124721,156264,213185,165381,134400,160157,9100501,4461867,252815,272893,285371,179253,120981,297136,286009,277865,557494,658859,628300,380013,193598,71280,4638634,239639,255594,274358,170207,114545,290305,279678,276058,558108,673695,661706,433225,266124,145392,1407460,669331,53016,54184,53459,33427,24009,59034,46743,42728,82713,87519,73530,35783,17721,5465,738129,51355,52748,51796,32417,23670,59267,51634,47995,91925,97920,86751,48781,28856,13014,20987,10696,590,648,596,431,332,659,559,558,1899,1835,1525,791,193,80,10291,261,490,750,417,362,638,556,582,1636,1658,1869,674,274,124,214886,102014,6220,6685,6150,3639,3251,8805,10414,9997,18344,12190,8482,5364,2065,408,112872,6550,7153,7506,4010,3750,8358,10908,10715,19277,14123,10705,6462,2571,784,2840,1312,124,138,109,28,40,73,91,191,205,141,116,43,13,0,1528,32,130,88,24,81,114,167,140,260,128,230,70,28,36,94427,50593,4305,4625,4514,2589,1855,4297,4615,5458,8037,5412,3503,939,410,34,43834,4127,4467,4200,2200,1554,4089,3721,4047,6428,4434,2841,1210,348,168,280702,140339,24965,21370,19548,10554,6174,12309,8578,6946,10897,8410,6128,3106,983,371,140363,23640,22496,17365,9551,5857,12175,8505,7042,11554,9071,7140,3748,1580,639,8858743,4338566,239780,259403,273459,172575,116455,286521,275489,267845,540111,647300,620746,376336,191856,70690,4520177,226724,242234,263021,164204,110961,281088,270391,266543,542350,662063,653446,429212,263531,144409,381497,196188,21534,20988,19359,10728,7146,17150,16921,16546,27327,18535,11756,5160,2323,715,185309,20790,21486,17867,9562,6436,15531,15000,14463,24396,17545,11990,5779,3274,1190,39.2,37.7,40.6,41.3,39.9,42.7,33.1,31.2,34.8,41.0,40.5,41.5,33.3,32.9,33.7,33.3,30.8,34.8,27.7,28.5,26.8,16.6,16.2,17.0,41.8,40.4,43.2,25.3,25.3,25.3,11121803
40,OH,39,,,,,040C0US39,Ohio -- In metropolitan statistical area,9198923,4480883,284306,297275,305398,188849,129109,69243,65119,183023,301186,287221,269400,293037,306320,332452,315466,115399,158294,91479,111573,140175,100668,72411,63480,4718040,271554,282735,296025,180543,123585,65289,64627,183093,302140,292949,273539,302854,316383,349660,338580,124112,173055,101365,127545,173103,135158,109139,131007,7288948,3568059,200345,214914,226418,141363,96262,238265,234788,226060,448857,530168,501163,299505,152632,57319,3720889,189870,200256,219393,134623,90790,232804,229465,225114,450643,544048,530980,343926,211984,116993,1362397,641777,51782,52930,51845,32412,22961,55766,44434,40249,78051,83737,70513,34644,17132,5321,720620,50344,51620,50602,31697,22576,57679,50861,47144,89869,95424,84772,47382,28135,12515,17469,8946,537,553,449,360,274,556,468,522,1736,1474,1206,615,128,68,8523,205,407,584,356,323,590,510,493,1408,1331,1429,545,241,101,203278,97056,5993,6436,5902,3507,3016,7908,9824,9596,17614,11698,8072,5091,2002,397,106222,6326,6867,7066,3759,3434,7618,10184,10208,18351,13321,9993,5997,2379,719,2345,1130,77,124,109,13,40,68,70,171,188,117,97,43,13,0,1215,18,103,58,19,81,50,132,123,208,93,230,54,28,18,81798,43552,3858,4147,3886,2255,1522,3803,3966,4701,6841,4478,2894,807,360,34,38246,3809,3919,3494,1830,1403,3650,3447,3425,5622,3945,2290,998,313,101,242688,120363,21714,18171,16789,8939,5034,11019,7636,5922,9150,7100,5214,2522,812,341,122325,20982,19563,14828,8259,4978,10618,7541,6442,10292,7881,6053,3111,1217,560,7078418,3461311,188890,203101,216429,135892,92292,229220,225391,217171,433880,519885,494751,296378,151161,56870,3617107,178761,188792,209276,129438,87745,224872,221333,216411,436644,533817,523695,340348,209883,116092,332561,169952,19063,18332,16378,8954,6245,14898,15013,14517,23373,16179,9996,4441,1989,574,162609,18215,18686,15459,8339,5701,13515,13296,12968,21543,15517,10442,5140,2746,1042,38.9,37.4,40.4,41.3,39.8,42.7,33.1,31.0,34.8,40.0,39.8,40.6,33.4,33.1,33.7,33.8,31.1,37.2,27.3,28.0,26.6,16.6,16.2,17.0,41.8,40.4,43.2,25.4,25.3,25.5,9198923
40,OH,39,,,,,040C1US39,Ohio -- In metropolitan statistical area -- in principal city,2598034,1255274,92746,83684,77113,44847,44641,25094,22748,64914,111749,96923,79701,76913,77588,84251,79634,28670,37439,20856,24278,28839,21765,16292,14589,1342760,91413,81865,74068,44542,42848,24670,23641,69232,117125,99120,78348,80279,77917,89634,87413,30814,44253,24498,29849,39972,31533,26236,33490,1525281,748302,45079,37951,35717,20289,26781,66571,72444,61642,97399,101363,95209,50702,26174,10981,776979,42001,35947,34250,20466,23693,68330,71856,60104,92524,100582,102417,61612,38310,24887,853665,397035,33917,34155,31781,18942,13464,33984,27776,25772,45989,52378,43872,20846,10779,3380,456630,35186,34171,30912,19062,14396,38074,34160,29931,54428,58284,52878,29218,17878,8052,7332,3603,149,269,185,73,172,283,286,200,666,641,455,181,17,26,3729,113,200,204,75,180,282,146,237,596,602,598,310,128,58,65252,32643,1833,1638,1108,1039,1306,4529,5282,4005,4883,2687,2451,1307,514,61,32609,1905,1233,1400,1022,1811,3720,4989,3720,4147,3097,3091,1567,746,161,731,403,31,15,42,0,17,17,12,55,118,45,4,34,13,0,328,7,40,14,0,29,0,51,39,15,67,38,4,6,18,42096,22468,1949,2159,1891,1094,772,1864,2243,2532,3798,2077,1573,222,280,14,19628,2039,2053,1632,719,572,1798,2177,2092,2802,1874,1094,521,186,69,103677,50820,9788,7497,6389,3410,2129,5508,3706,2717,3761,2648,2179,681,280,127,52857,10162,8221,5656,3198,2167,5339,3746,2997,4115,3045,2364,1087,515,245,1440541,705561,40303,33677,32047,18501,25302,62874,68050,57739,91001,97142,92883,49525,25713,10804,734980,37024,31413,30490,18364,22473,64839,68386,56380,86810,96668,99679,60308,37623,24523,148413,75733,8455,7726,6782,3516,2666,6878,7697,6963,11115,7062,4316,1568,784,205,72680,8921,8614,6150,3488,2470,6391,6618,6184,9576,6604,4254,1963,1011,436,34.1,33.0,35.2,36.9,35.7,38.3,32.4,30.9,33.8,39.8,38.3,42.2,29.9,29.6,30.2,34.9,38.8,34.5,27.8,28.2,27.5,16.7,16.5,17.0,37.8,36.4,39.3,25.7,26.0,25.2,2598034
40,OH,39,,,,,040C2US39,Ohio -- In metropolitan statistical area -- not in principal city,6600889,3225609,191560,213591,228285,144002,84468,44149,42371,118109,189437,190298,189699,216124,228732,248201,235832,86729,120855,70623,87295,111336,78903,56119,48891,3375280,180141,200870,221957,136001,80737,40619,40986,113861,185015,193829,195191,222575,238466,260026,251167,93298,128802,76867,97696,133131,103625,82903,97517,5763667,2819757,155266,176963,190701,121074,69481,171694,162344,164418,351458,428805,405954,248803,126458,46338,2943910,147869,164309,185143,114157,67097,164474,157609,165010,358119,443466,428563,282314,173674,92106,508732,244742,17865,18775,20064,13470,9497,21782,16658,14477,32062,31359,26641,13798,6353,1941,263990,15158,17449,19690,12635,8180,19605,16701,17213,35441,37140,31894,18164,10257,4463,10137,5343,388,284,264,287,102,273,182,322,1070,833,751,434,111,42,4794,92,207,380,281,143,308,364,256,812,729,831,235,113,43,138026,64413,4160,4798,4794,2468,1710,3379,4542,5591,12731,9011,5621,3784,1488,336,73613,4421,5634,5666,2737,1623,3898,5195,6488,14204,10224,6902,4430,1633,558,1614,727,46,109,67,13,23,51,58,116,70,72,93,9,0,0,887,11,63,44,19,52,50,81,84,193,26,192,50,22,0,39702,21084,1909,1988,1995,1161,750,1939,1723,2169,3043,2401,1321,585,80,20,18618,1770,1866,1862,1111,831,1852,1270,1333,2820,2071,1196,477,127,32,139011,69543,11926,10674,10400,5529,2905,5511,3930,3205,5389,4452,3035,1841,532,214,69468,10820,11342,9172,5061,2811,5279,3795,3445,6177,4836,3689,2024,702,315,5637877,2755750,148587,169424,184382,117391,66990,166346,157341,159432,342879,422743,401868,246853,125448,46066,2882127,141737,157379,178786,111074,65272,160033,152947,160031,349834,437149,424016,280040,172260,91569,184148,94219,10608,10606,9596,5438,3579,8020,7316,7554,12258,9117,5680,2873,1205,369,89929,9294,10072,9309,4851,3231,7124,6678,6784,11967,8913,6188,3177,1735,606,40.9,39.4,42.3,42.4,40.9,43.7,34.2,31.2,36.5,40.2,40.5,39.9,35.7,35.6,35.8,33.5,28.8,37.8,26.4,27.6,25.1,16.5,16.0,17.0,42.8,41.4,44.1,25.1,24.5,25.7,6600889
40,OH,39,,,,,040E0US39,Ohio -- In micropolitan statistical area,1922880,955269,57729,63268,64349,41072,27533,13747,14231,36950,55823,56522,56043,61109,64340,71254,70941,26057,35427,21248,26858,34706,24966,16938,14158,967611,54050,60343,60038,38283,26234,14328,13309,34300,53029,53630,54499,58296,63055,71931,72466,25797,37232,23356,28719,40082,30223,25261,29150,1811553,893808,52470,57979,58953,37890,24719,58871,51221,51805,108637,128691,127137,80508,40966,13961,917745,49769,55338,54965,35584,23755,57501,50213,50944,107465,129647,130726,89299,54140,28399,45063,27554,1234,1254,1614,1015,1048,3268,2309,2479,4662,3782,3017,1139,589,144,17509,1011,1128,1194,720,1094,1588,773,851,2056,2496,1979,1399,721,499,3518,1750,53,95,147,71,58,103,91,36,163,361,319,176,65,12,1768,56,83,166,61,39,48,46,89,228,327,440,129,33,23,11608,4958,227,249,248,132,235,897,590,401,730,492,410,273,63,11,6650,224,286,440,251,316,740,724,507,926,802,712,465,192,65,495,182,47,14,0,15,0,5,21,20,17,24,19,0,0,0,313,14,27,30,5,0,64,35,17,52,35,0,16,0,18,12629,7041,447,478,628,334,333,494,649,757,1196,934,609,132,50,0,5588,318,548,706,370,151,439,274,622,806,489,551,212,35,67,38014,19976,3251,3199,2759,1615,1140,1290,942,1024,1747,1310,914,584,171,30,18038,2658,2933,2537,1292,879,1557,964,600,1262,1190,1087,637,363,79,1780325,877255,50890,56302,57030,36683,24163,57301,50098,50674,106231,127415,125995,79958,40695,13820,903070,47963,53442,53745,34766,23216,56216,49058,50132,105706,128246,129751,88864,53648,28317,48936,26236,2471,2656,2981,1774,901,2252,1908,2029,3954,2356,1760,719,334,141,22700,2575,2800,2408,1223,735,2016,1704,1495,2853,2028,1548,639,528,148,40.5,39.1,41.9,41.4,40.1,42.7,34.9,34.4,36.2,47.8,47.3,48.4,31.1,29.1,33.3,29.3,29.4,29.3,30.6,31.2,29.8,16.7,16.4,17.0,41.7,40.4,43.0,24.6,25.2,23.9,1922880
40,OH,39,,,,,040E1US39,Ohio -- In micropolitan statistical area -- in principal city,564323,272353,17970,17482,16808,10629,10907,5269,5618,14127,19396,18381,14976,16365,16379,17692,17971,6616,8981,5418,6846,8468,6408,5017,4629,291970,16572,17334,16044,9310,11414,7052,5913,13354,18278,17180,15441,15661,16187,19255,19242,7010,10247,6875,8117,11700,9283,8906,11595,505725,240754,15250,14704,14157,9077,9309,21421,16888,16112,27524,30494,30763,19600,10933,4522,264971,14478,14672,13406,7930,10032,23520,16717,15682,28157,32698,34017,25086,17446,11130,28173,16083,710,843,1028,668,695,2029,1233,1393,2201,2337,1813,661,381,91,12090,627,721,940,414,753,1071,585,635,1517,1689,1331,1022,479,306,1220,594,4,74,20,4,33,27,30,9,85,146,114,30,18,0,626,0,40,70,56,0,18,21,48,16,91,174,59,19,14,6359,2949,134,115,156,39,126,739,414,198,416,263,141,161,41,6,3410,82,150,139,106,163,650,441,287,472,331,260,193,86,50,300,67,33,0,0,0,0,0,17,0,17,0,0,0,0,0,233,0,27,27,5,0,64,15,9,47,21,0,0,0,18,6090,3228,204,282,279,146,109,147,333,378,518,434,345,42,11,0,2862,173,229,350,220,77,219,62,334,464,268,285,120,18,43,16456,8678,1635,1464,1168,695,635,651,481,291,580,397,392,238,41,10,7778,1212,1495,1112,579,389,777,437,185,429,344,432,212,141,34,490961,233027,14463,13977,13317,8531,9081,20597,16294,15506,26323,29939,30346,19330,10842,4481,257934,13480,13787,12912,7589,9755,22744,16146,15175,27281,32087,33657,24912,17314,11095,23525,12337,1233,1313,1338,776,354,1077,1024,1023,1835,1081,778,359,105,41,11188,1359,1318,1147,561,402,1228,724,849,1461,923,673,308,150,85,37.1,34.9,39.3,38.6,36.4,40.8,34.6,33.4,36.9,47.9,47.2,50.6,28.4,27.0,29.0,24.8,29.0,24.7,31.0,31.1,30.9,15.4,15.3,15.6,39.3,36.9,41.5,24.1,25.3,22.7,564323
40,OH,39,,,,,040E2US39,Ohio -- In micropolitan statistical area -- not in principal city,1358557,682916,39759,45786,47541,30443,16626,8478,8613,22823,36427,38141,41067,44744,47961,53562,52970,19441,26446,15830,20012,26238,18558,11921,9529,675641,37478,43009,43994,28973,14820,7276,7396,20946,34751,36450,39058,42635,46868,52676,53224,18787,26985,16481,20602,28382,20940,16355,17555,1305828,653054,37220,43275,44796,28813,15410,37450,34333,35693,81113,98197,96374,60908,30033,9439,652774,35291,40666,41559,27654,13723,33981,33496,35262,79308,96949,96709,64213,36694,17269,16890,11471,524,411,586,347,353,1239,1076,1086,2461,1445,1204,478,208,53,5419,384,407,254,306,341,517,188,216,539,807,648,377,242,193,2298,1156,49,21,127,67,25,76,61,27,78,215,205,146,47,12,1142,56,43,96,5,39,30,25,41,212,236,266,70,14,9,5249,2009,93,134,92,93,109,158,176,203,314,229,269,112,22,5,3240,142,136,301,145,153,90,283,220,454,471,452,272,106,15,195,115,14,14,0,15,0,5,4,20,0,24,19,0,0,0,80,14,0,3,0,0,0,20,8,5,14,0,16,0,0,6539,3813,243,196,349,188,224,347,316,379,678,500,264,90,39,0,2726,145,319,356,150,74,220,212,288,342,221,266,92,17,24,21558,11298,1616,1735,1591,920,505,639,461,733,1167,913,522,346,130,20,10260,1446,1438,1425,713,490,780,527,415,833,846,655,425,222,45,1289364,644228,36427,42325,43713,28152,15082,36704,33804,35168,79908,97476,95649,60628,29853,9339,645136,34483,39655,40833,27177,13461,33472,32912,34957,78425,96159,96094,63952,36334,17222,25411,13899,1238,1343,1643,998,547,1175,884,1006,2119,1275,982,360,229,100,11512,1216,1482,1261,662,333,788,980,646,1392,1105,875,331,378,63,41.8,40.7,42.9,42.3,41.3,43.3,35.4,35.4,35.6,47.6,47.5,48.0,36.4,33.6,39.7,31.4,31.3,32.4,29.5,31.6,26.5,17.7,17.1,18.3,42.6,41.6,43.5,25.0,25.0,25.0,1358557
