SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,OK,40,,,,,04000US40,Oklahoma,3849733,1906944,135423,137212,133539,79207,55142,30626,29655,85610,135217,132683,118240,118534,117065,129964,121988,44275,60743,36362,46456,62979,43899,29237,22888,1942789,130297,130040,128110,74080,50498,28976,28177,80749,130966,128496,116104,117501,118300,132941,129033,46651,66493,40340,53574,71856,54848,42044,42715,2813794,1390222,86004,87287,86433,51345,35727,97929,95524,94750,172960,190365,183605,123371,64563,20359,1423572,81927,81990,82504,48346,32647,94049,92892,91077,169373,192864,194155,138999,84616,38133,278571,139469,10521,10718,10686,6737,5650,13779,10739,10829,17987,17114,14385,6718,2757,849,139102,9993,9950,9784,6312,4688,12605,10807,9876,17314,17987,15550,8239,4267,1730,279276,137182,11230,12206,13053,8041,5050,11488,9603,9423,16369,16571,13267,7592,2633,656,142094,11713,12362,12163,6790,4590,11718,10105,9590,17509,17228,14879,8370,3644,1433,74570,35195,2558,2416,2102,1385,1172,3907,3695,3091,5648,4152,2887,1533,504,145,39375,2056,2474,2274,1273,1147,3732,3541,3844,6565,5012,4169,2304,724,260,4701,2501,329,384,117,108,79,223,290,278,175,279,161,70,8,0,2200,213,185,81,105,118,228,290,221,297,160,221,55,26,0,98885,53800,4802,5142,4488,2874,1704,5295,5308,5028,8070,6210,3146,1229,400,104,45085,4895,4805,4493,2387,1845,3568,3232,4115,7177,4627,2465,957,472,47,299936,148575,19979,19059,16660,8717,5760,13270,10058,9284,15565,12338,9555,5284,2271,775,151361,19500,18274,16811,8867,5463,12002,10099,9773,15370,13363,10738,6846,3143,1112,2591292,1274629,72198,73859,74932,45712,31436,88159,84697,84438,156756,179838,177880,121097,63486,20141,1316663,68523,69009,71644,42867,28677,84744,83637,82873,155540,183312,188670,136159,83331,37677,371459,195462,23678,22716,19277,10265,7112,18111,17567,17212,26176,17916,9756,3735,1573,368,175997,23027,22053,18540,9191,6461,14935,14485,13701,23060,15431,8696,4015,1878,524,36.2,35.0,37.6,39.9,38.5,41.3,31.5,30.4,32.6,29.9,28.9,30.8,32.4,30.5,34.2,26.2,25.1,27.6,26.8,27.5,25.7,22.0,21.3,22.7,41.7,40.4,43.1,23.5,24.0,22.7,3849733
40,OK,40,,,,,04001US40,Oklahoma -- Urban,2565803,1258553,97532,93899,86795,49517,39798,22818,22448,63929,101011,95041,81725,77415,73231,78860,74240,26787,35605,21203,26001,33626,24418,17541,15113,1307250,93067,89481,84548,47516,36187,21658,21607,61374,98285,92221,80226,77489,75726,83961,81406,28722,41435,24519,31947,43044,34320,27522,30989,1823875,892662,60325,58323,54489,30671,25657,72831,70713,66929,113279,113980,108114,67202,36593,13556,931213,56821,54350,52448,29921,23099,70782,68634,63947,110407,118509,118499,82352,53705,27739,248903,122748,9952,9605,9635,5902,5024,12260,9468,9345,15618,14836,12496,5692,2267,648,126155,9518,9206,8769,5725,4188,11534,10085,8973,15879,16135,13940,7062,3620,1521,143584,69287,5916,5860,6251,3824,2702,6889,5417,5393,8647,7630,6178,3197,1138,245,74297,6258,6345,6087,3202,2530,6918,5760,5140,9374,8775,7410,3940,1832,726,68029,32385,2332,2146,1894,1242,1057,3761,3515,2878,5181,3736,2607,1431,469,136,35644,1898,2269,2029,1147,1060,3530,3368,3506,5845,4468,3725,1971,622,206,3828,2069,314,360,72,85,72,187,245,238,124,233,90,49,0,0,1759,187,145,68,69,112,212,271,160,216,105,157,31,26,0,80930,44041,4094,4369,3542,2437,1452,4412,4736,4158,6504,4798,2344,784,318,93,36889,4193,4069,3722,1823,1352,3022,2848,3487,5749,3724,1805,719,359,17,196654,95361,14599,13236,10912,5356,3834,8855,6917,6100,9787,6878,4803,2475,1174,435,101293,14192,13097,11425,5629,3846,8641,7319,7008,10245,7971,6027,3435,1678,780,1633617,793749,48282,46879,44831,25855,21918,64216,61100,58099,99232,105249,103487,65467,35782,13352,839868,45238,43280,43394,25476,19672,62466,60414,56839,98495,110566,113973,80016,52680,27359,310113,163244,20256,18995,15707,8466,6091,15559,15493,14475,22079,14367,7568,2662,1199,327,146869,19446,18371,15237,7182,5205,13063,12659,11664,19449,12634,6875,3197,1477,410,34.0,32.6,35.5,37.2,35.5,39.0,31.0,29.7,32.2,28.9,27.7,30.0,32.0,30.4,33.6,25.2,23.5,26.6,26.3,26.9,25.4,20.6,19.9,21.3,39.5,37.5,41.4,23.4,23.8,22.9,2565803
40,OK,40,,,,,04043US40,Oklahoma -- Rural,1283930,648391,37891,43313,46744,29690,15344,7808,7207,21681,34206,37642,36515,41119,43834,51104,47748,17488,25138,15159,20455,29353,19481,11696,7775,635539,37230,40559,43562,26564,14311,7318,6570,19375,32681,36275,35878,40012,42574,48980,47627,17929,25058,15821,21627,28812,20528,14522,11726,989919,497560,25679,28964,31944,20674,10070,25098,24811,27821,59681,76385,75491,56169,27970,6803,492359,25106,27640,30056,18425,9548,23267,24258,27130,58966,74355,75656,56647,30911,10394,29668,16721,569,1113,1051,835,626,1519,1271,1484,2369,2278,1889,1026,490,201,12947,475,744,1015,587,500,1071,722,903,1435,1852,1610,1177,647,209,135692,67895,5314,6346,6802,4217,2348,4599,4186,4030,7722,8941,7089,4395,1495,411,67797,5455,6017,6076,3588,2060,4800,4345,4450,8135,8453,7469,4430,1812,707,6541,2810,226,270,208,143,115,146,180,213,467,416,280,102,35,9,3731,158,205,245,126,87,202,173,338,720,544,444,333,102,54,873,432,15,24,45,23,7,36,45,40,51,46,71,21,8,0,441,26,40,13,36,6,16,19,61,81,55,64,24,0,0,17955,9759,708,773,946,437,252,883,572,870,1566,1412,802,445,82,11,8196,702,736,771,564,493,546,384,628,1428,903,660,238,113,30,103282,53214,5380,5823,5748,3361,1926,4415,3141,3184,5778,5460,4752,2809,1097,340,50068,5308,5177,5386,3238,1617,3361,2780,2765,5125,5392,4711,3411,1465,332,957675,480880,23916,26980,30101,19857,9518,23943,23597,26339,57524,74589,74393,55630,27704,6789,476795,23285,25729,28250,17391,9005,22278,23223,26034,57045,72746,74697,56143,30651,10318,61346,32218,3422,3721,3570,1799,1021,2552,2074,2737,4097,3549,2188,1073,374,41,29128,3581,3682,3303,2009,1256,1872,1826,2037,3611,2797,1821,818,401,114,41.4,40.7,42.2,44.7,44.1,45.3,36.0,34.6,38.6,31.0,30.2,31.7,37.4,32.9,40.2,32.7,32.0,37.2,30.8,31.9,28.6,25.8,24.9,26.5,45.4,44.8,45.9,23.8,25.0,21.7,1283930
40,OK,40,,,,,040A0US40,Oklahoma -- In metropolitan or micropolitan statistical area,3305769,1633154,117919,118452,114371,67516,48293,26986,26365,75878,119605,115935,102884,101604,99838,110054,103143,37087,50736,29974,37932,50714,35205,23684,18979,1672615,113665,112672,109624,63465,44420,25936,25299,71737,116489,113499,101847,101513,101516,113696,109630,39231,56363,33688,44078,58863,44711,34593,36080,2421120,1194211,75517,75927,74628,43879,31557,87598,84928,83423,150260,162410,154660,100552,51923,16949,1226909,72068,71571,71042,41632,28915,84323,82883,80551,147628,165298,164743,114584,69347,32324,263044,130419,10154,10309,10163,6451,5362,12721,10161,9874,16549,15819,13356,6236,2475,789,132625,9572,9539,9294,6023,4482,12106,10479,9486,16596,17233,14588,7757,3891,1579,210079,103176,8488,9228,9619,6041,3900,8893,7534,7366,12529,12136,9731,5412,1906,393,106903,8891,9218,9161,5090,3499,9035,7934,7431,13281,12886,10992,5933,2560,992,72442,34154,2433,2344,2013,1325,1142,3830,3562,3002,5497,4064,2827,1479,491,145,38288,1967,2398,2236,1222,1116,3655,3491,3770,6329,4894,4067,2200,702,241,4269,2307,325,380,116,103,78,190,262,233,169,265,109,69,8,0,1962,200,178,75,105,105,199,244,214,260,128,190,38,26,0,86935,47062,4302,4518,3999,2529,1460,4784,4752,4378,7005,5304,2708,851,375,97,39873,4443,4266,4029,2116,1607,3211,2894,3689,6332,3972,2136,789,369,20,247880,121825,16700,15746,13833,7188,4794,11213,8406,7659,12479,9894,7575,4021,1711,606,126055,16524,15502,13787,7277,4696,10443,8564,8358,12934,10801,8508,5328,2409,924,2215930,1087698,62766,63539,64025,38880,27603,78545,74908,73910,135189,152691,149444,98453,51000,16745,1128232,59746,59570,61121,36608,25216,75728,74148,72920,134862,156540,159687,112035,68157,31894,334924,175908,21358,20463,17324,9041,6304,16544,16063,15580,23712,15988,8657,3148,1379,347,159016,20820,19857,16619,8272,5849,13616,13362,12572,20893,13805,7759,3482,1647,463,35.6,34.3,36.9,39.1,37.6,40.4,31.2,29.9,32.4,29.5,28.4,30.4,32.4,30.7,34.1,25.7,23.8,26.9,26.4,27.1,25.4,21.7,21.0,22.4,40.9,39.5,42.4,23.5,24.0,22.8,3305769
40,OK,40,,,,,040C0US40,Oklahoma -- In metropolitan statistical area,2504090,1235766,90416,91155,87600,51456,34865,19772,19048,54958,91304,90006,79530,78443,76978,83600,78089,27969,37830,22358,28045,36810,25260,16782,13492,1268324,86378,86503,83634,48662,31832,18241,17873,53615,90889,88652,79089,78643,78206,87003,82910,30073,42495,24757,32950,42919,32329,24898,25773,1823528,900117,57956,58283,57233,33281,22863,62852,65196,64852,115841,123684,115875,73438,36712,12051,923411,54673,55216,53914,31765,20484,60746,64419,62668,113633,125801,123908,83699,49566,22919,233229,114298,9126,9471,9195,5703,4373,10730,8653,8580,14383,14066,11783,5415,2210,610,118931,8558,8625,8274,5446,3773,10708,9456,8802,15026,15586,13139,6914,3291,1333,132844,64764,5094,5523,5900,3879,2158,5357,4813,4782,8226,7977,6155,3515,1165,220,68080,5471,5628,5713,3220,2125,5508,5162,4844,8762,8419,7014,3963,1619,632,62715,29317,2065,2066,1857,1151,982,3040,2567,2568,4811,3727,2527,1377,434,145,33398,1747,2172,1958,1102,877,2903,3006,3196,5537,4390,3602,1988,684,236,2349,1205,140,176,69,76,57,110,60,212,94,150,20,38,3,0,1144,127,51,33,50,61,92,136,152,194,89,112,21,26,0,64488,34940,3279,3378,2876,1937,1119,3476,3720,3140,5394,3729,1848,654,309,81,29548,3318,3019,3045,1646,1202,2355,2236,2686,4859,2901,1476,499,290,16,184937,91125,12756,12258,10470,5429,3313,8213,6295,5872,9224,7245,5680,2776,1209,385,93812,12484,11792,10697,5433,3310,7417,6474,6304,9721,8023,6227,3542,1751,637,1652438,811486,47298,47540,48446,29098,19635,55376,57034,56680,103495,115544,111819,71679,35986,11856,840952,44677,45084,45662,27495,17529,53671,56967,55902,103030,118484,119649,81646,48614,22542,268292,140327,17186,16874,13642,7204,4958,12757,12868,12654,19018,12672,6538,2571,1063,322,127965,16618,15776,13475,6821,4526,10862,10935,10407,16873,11149,6171,2626,1320,406,35.4,34.2,36.7,38.7,37.3,40.1,31.3,29.9,32.5,30.5,29.6,31.3,33.3,31.7,34.6,28.3,23.7,31.0,26.4,26.9,25.4,21.3,20.7,22.1,40.8,39.4,42.1,23.6,23.9,22.9,2504090
40,OK,40,,,,,040C1US40,Oklahoma -- In metropolitan statistical area -- in principal city,1106278,544775,43670,40488,37284,20446,14424,8893,8492,26266,46839,43720,36165,33821,32344,35253,33725,12218,15681,8619,10422,13879,8921,7192,6013,561503,41828,39365,35968,19978,13059,7491,8440,26793,46716,41856,35068,33693,33144,35535,36221,12369,18142,10201,13042,16742,12914,10720,12218,731347,361748,25160,23146,21506,11609,8730,26989,31076,29004,46799,47158,45962,26166,13260,5183,369599,23333,22280,20468,11446,7336,26284,30915,26445,43737,47071,49121,31039,19595,10529,167729,80772,6848,6867,6782,3648,2723,7097,6312,6161,9990,10024,8537,3767,1607,409,86957,6445,6868,5865,3925,2687,7492,6825,6961,11085,10837,9526,5035,2381,1025,39521,18679,1442,1163,1308,838,502,2003,1679,1618,2509,2188,2131,868,345,85,20842,1642,1449,1376,815,533,2062,1918,1642,2558,2789,2274,1096,446,242,40010,18694,1173,1378,1222,794,430,1585,1655,1911,2947,2650,1592,934,342,81,21316,1211,1187,1389,765,564,1654,1932,1865,3546,2827,2455,1313,488,120,1243,606,85,111,16,13,31,77,18,149,33,39,13,21,0,0,637,79,33,14,12,33,44,135,109,95,9,53,5,16,0,45567,24673,2631,2403,2077,1365,720,2353,2742,2347,3710,2513,1207,360,178,67,20894,2651,2201,2206,1064,656,1685,1741,1996,3469,1767,927,325,206,0,80861,39603,6331,5420,4373,2179,1288,3547,3357,2530,3998,3025,2182,804,381,188,41258,6467,5347,4650,1951,1250,3503,3250,2838,4271,3379,2376,1172,502,302,612351,299729,17258,15426,15300,9022,6506,21832,25312,23258,37738,41699,43337,25105,12849,5087,312622,16163,15052,14798,8567,5334,21383,25522,21798,36188,42340,46393,29786,19079,10219,185332,97667,12700,11831,9493,4652,3280,8739,9196,9001,13667,8516,4281,1509,609,193,87665,11939,10886,9187,4415,2873,7656,7851,7290,11918,7018,3909,1650,750,323,33.8,32.8,34.9,37.0,35.6,38.6,31.3,30.1,32.3,31.6,31.4,31.8,34.1,33.0,35.2,26.9,23.3,28.8,25.9,26.5,25.0,20.7,20.3,21.3,40.9,39.2,42.7,23.5,23.9,22.9,1106278
40,OK,40,,,,,040C2US40,Oklahoma -- In metropolitan statistical area -- not in principal city,1397812,690991,46746,50667,50316,31010,20441,10879,10556,28692,44465,46286,43365,44622,44634,48347,44364,15751,22149,13739,17623,22931,16339,9590,7479,706821,44550,47138,47666,28684,18773,10750,9433,26822,44173,46796,44021,44950,45062,51468,46689,17704,24353,14556,19908,26177,19415,14178,13555,1092181,538369,32796,35137,35727,21672,14133,35863,34120,35848,69042,76526,69913,47272,23452,6868,553812,31340,32936,33446,20319,13148,34462,33504,36223,69896,78730,74787,52660,29971,12390,65500,33526,2278,2604,2413,2055,1650,3633,2341,2419,4393,4042,3246,1648,603,201,31974,2113,1757,2409,1521,1086,3216,2631,1841,3941,4749,3613,1879,910,308,93323,46085,3652,4360,4592,3041,1656,3354,3134,3164,5717,5789,4024,2647,820,135,47238,3829,4179,4337,2405,1592,3446,3244,3202,6204,5630,4740,2867,1173,390,22705,10623,892,688,635,357,552,1455,912,657,1864,1077,935,443,92,64,12082,536,985,569,337,313,1249,1074,1331,1991,1563,1147,675,196,116,1106,599,55,65,53,63,26,33,42,63,61,111,7,17,3,0,507,48,18,19,38,28,48,1,43,99,80,59,16,10,0,18921,10267,648,975,799,572,399,1123,978,793,1684,1216,641,294,131,14,8654,667,818,839,582,546,670,495,690,1390,1134,549,174,84,16,104076,51522,6425,6838,6097,3250,2025,4666,2938,3342,5226,4220,3498,1972,828,197,52554,6017,6445,6047,3482,2060,3914,3224,3466,5450,4644,3851,2370,1249,335,1040087,511757,30040,32114,33146,20076,13129,33544,31722,33422,65757,73845,68482,46574,23137,6769,528330,28514,30032,30864,18928,12195,32288,31445,34104,66842,76144,73256,51860,29535,12323,82960,42660,4486,5043,4149,2552,1678,4018,3672,3653,5351,4156,2257,1062,454,129,40300,4679,4890,4288,2406,1653,3206,3084,3117,4955,4131,2262,976,570,83,37.0,35.6,38.2,39.8,38.5,41.0,31.2,29.4,33.4,29.9,28.7,31.0,31.6,28.7,33.8,30.5,25.4,37.7,27.7,27.9,26.8,21.8,21.0,22.7,40.7,39.5,41.8,23.8,24.1,23.2,1397812
40,OK,40,,,,,040E0US40,Oklahoma -- In micropolitan statistical area,801679,397388,27503,27297,26771,16060,13428,7214,7317,20920,28301,25929,23354,23161,22860,26454,25054,9118,12906,7616,9887,13904,9945,6902,5487,404291,27287,26169,25990,14803,12588,7695,7426,18122,25600,24847,22758,22870,23310,26693,26720,9158,13868,8931,11128,15944,12382,9695,10307,597592,294094,17561,17644,17395,10598,8694,24746,19732,18571,34419,38726,38785,27114,15211,4898,303498,17395,16355,17128,9867,8431,23577,18464,17883,33995,39497,40835,30885,19781,9405,29815,16121,1028,838,968,748,989,1991,1508,1294,2166,1753,1573,821,265,179,13694,1014,914,1020,577,709,1398,1023,684,1570,1647,1449,843,600,246,77235,38412,3394,3705,3719,2162,1742,3536,2721,2584,4303,4159,3576,1897,741,173,38823,3420,3590,3448,1870,1374,3527,2772,2587,4519,4467,3978,1970,941,360,9727,4837,368,278,156,174,160,790,995,434,686,337,300,102,57,0,4890,220,226,278,120,239,752,485,574,792,504,465,212,18,5,1920,1102,185,204,47,27,21,80,202,21,75,115,89,31,5,0,818,73,127,42,55,44,107,108,62,66,39,78,17,0,0,22447,12122,1023,1140,1123,592,341,1308,1032,1238,1611,1575,860,197,66,16,10325,1125,1247,984,470,405,856,658,1003,1473,1071,660,290,79,4,62943,30700,3944,3488,3363,1759,1481,3000,2111,1787,3255,2649,1895,1245,502,221,32243,4040,3710,3090,1844,1386,3026,2090,2054,3213,2778,2281,1786,658,287,563492,276212,15468,15999,15579,9782,7968,23169,17874,17230,31694,37147,37625,26774,15014,4889,287280,15069,14486,15459,9113,7687,22057,17181,17018,31832,38056,40038,30389,19543,9352,66632,35581,4172,3589,3682,1837,1346,3787,3195,2926,4694,3316,2119,577,316,25,31051,4202,4081,3144,1451,1323,2754,2427,2165,4020,2656,1588,856,327,57,36.0,34.6,37.6,40.2,38.6,41.6,30.8,30.0,31.6,27.8,26.7,28.8,28.7,27.5,31.0,21.9,23.8,21.2,26.8,27.9,25.4,22.6,22.1,23.4,41.4,39.9,43.1,23.3,24.1,22.1,801679
40,OK,40,,,,,040E1US40,Oklahoma -- In micropolitan statistical area -- in principal city,427793,210079,15929,14700,13242,7736,8761,4964,5019,13811,16972,14556,12585,11435,10838,12289,12091,4249,6012,3304,4484,6134,4460,3387,3121,217714,15520,14230,13380,7310,8433,5167,5163,11756,15418,13827,12175,10963,11248,12923,13112,4344,6558,4699,5472,7541,6088,5709,6678,313596,152842,9885,9364,8401,4861,5687,16845,11845,10441,17579,17856,18242,11873,7154,2809,160754,9695,8563,8651,4789,5659,15719,11100,9675,16733,19004,19294,15200,10581,6091,23231,12173,820,643,759,565,814,1597,1109,964,1516,1345,1150,619,182,90,11058,907,735,821,495,619,1165,803,539,1251,1252,1171,618,463,219,33074,16432,1493,1491,1500,821,835,1949,1296,1155,1836,1512,1505,699,251,89,16642,1428,1493,1374,652,736,1932,1315,1198,1839,1649,1659,794,388,185,7642,3789,283,209,96,104,82,758,931,329,509,164,195,80,49,0,3853,202,174,179,81,174,710,421,522,557,364,342,120,7,0,1603,931,182,195,23,13,21,49,188,21,49,96,66,28,0,0,672,70,112,42,40,42,104,99,40,21,21,64,17,0,0,15615,8233,794,837,768,483,270,834,662,868,1021,1061,494,104,23,14,7382,836,974,727,272,292,651,429,755,1071,710,401,207,53,4,33032,15679,2472,1961,1695,889,1052,1762,941,778,1510,1093,700,519,188,119,17353,2382,2179,1586,981,911,1805,1251,1098,1666,1171,1083,756,305,179,290993,141016,8366,8344,7209,4402,5217,15636,10433,9588,15732,16911,17689,11657,7023,2809,149977,8124,7304,7652,4412,5101,14640,10065,9125,15237,18109,18812,14912,10424,6060,44708,23582,3095,2395,2427,1105,914,2713,2212,1904,3083,2062,1112,342,204,14,21126,2837,2919,1972,745,965,1955,1870,1522,2868,1675,993,550,220,35,32.9,31.3,34.5,36.5,34.5,38.8,29.1,28.9,29.8,26.5,25.5,27.5,27.9,27.2,29.9,20.9,23.6,20.5,25.4,26.6,24.4,20.5,19.6,21.6,38.1,35.9,40.4,23.0,23.3,22.5,427793
40,OK,40,,,,,040E2US40,Oklahoma -- In micropolitan statistical area -- not in principal city,373886,187309,11574,12597,13529,8324,4667,2250,2298,7109,11329,11373,10769,11726,12022,14165,12963,4869,6894,4312,5403,7770,5485,3515,2366,186577,11767,11939,12610,7493,4155,2528,2263,6366,10182,11020,10583,11907,12062,13770,13608,4814,7310,4232,5656,8403,6294,3986,3629,283996,141252,7676,8280,8994,5737,3007,7901,7887,8130,16840,20870,20543,15241,8057,2089,142744,7700,7792,8477,5078,2772,7858,7364,8208,17262,20493,21541,15685,9200,3314,6584,3948,208,195,209,183,175,394,399,330,650,408,423,202,83,89,2636,107,179,199,82,90,233,220,145,319,395,278,225,137,27,44161,21980,1901,2214,2219,1341,907,1587,1425,1429,2467,2647,2071,1198,490,84,22181,1992,2097,2074,1218,638,1595,1457,1389,2680,2818,2319,1176,553,175,2085,1048,85,69,60,70,78,32,64,105,177,173,105,22,8,0,1037,18,52,99,39,65,42,64,52,235,140,123,92,11,5,317,171,3,9,24,14,0,31,14,0,26,19,23,3,5,0,146,3,15,0,15,2,3,9,22,45,18,14,0,0,0,6832,3889,229,303,355,109,71,474,370,370,590,514,366,93,43,2,2943,289,273,257,198,113,205,229,248,402,361,259,83,26,0,29911,15021,1472,1527,1668,870,429,1238,1170,1009,1745,1556,1195,726,314,102,14890,1658,1531,1504,863,475,1221,839,956,1547,1607,1198,1030,353,108,272499,135196,7102,7655,8370,5380,2751,7533,7441,7642,15962,20236,19936,15117,7991,2080,137303,6945,7182,7807,4701,2586,7417,7116,7893,16595,19947,21226,15477,9119,3292,21924,11999,1077,1194,1255,732,432,1074,983,1022,1611,1254,1007,235,112,11,9925,1365,1162,1172,706,358,799,557,643,1152,981,595,306,107,22,40.0,39.0,40.9,43.7,42.9,44.3,34.2,33.0,37.6,28.9,27.8,30.1,35.7,33.8,40.8,32.9,29.3,37.1,29.4,30.7,28.1,26.4,26.6,26.2,44.5,43.8,45.2,24.0,26.0,20.7,373886
