SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,OR,41,,,,,04000US41,Oregon,3939233,1948453,118561,122920,123223,75620,50508,27589,28024,79106,134241,137090,128812,131405,125373,131932,130434,54411,74652,44467,55110,69028,46055,30900,28992,1990780,112841,119049,116373,71764,48209,27336,27499,75639,131539,135734,126071,126875,125074,137021,141380,55280,80771,46243,59965,77428,53682,41853,53154,3352941,1654475,93299,96391,97631,60714,39548,107254,110638,113504,217110,223756,236881,157271,72741,27737,1698466,88693,92785,92243,57069,37685,106375,108354,112820,210504,227921,252571,170651,90101,50694,72837,39383,2686,2989,2913,1377,1485,3462,3594,3034,5702,5397,4061,1853,657,173,33454,2499,2795,2563,1622,1042,2825,2656,2694,4298,4135,3415,1732,750,428,46258,22953,1517,1487,1585,1035,991,2081,1652,1628,3187,3034,2843,1369,487,57,23305,1452,1994,1619,1065,551,1753,1530,1710,3134,3137,2890,1706,541,223,156695,71478,3616,4552,4210,2913,2236,7250,5993,5568,11997,9972,7025,3843,1717,586,85217,3949,4504,4819,2977,2163,6915,6806,6986,15148,12747,9503,5082,2437,1181,15042,7484,445,829,542,369,244,888,763,879,1161,566,502,216,52,28,7558,595,734,649,228,243,554,1081,795,954,907,405,294,72,47,132667,70990,6708,6264,7042,3647,2369,6828,6059,6816,12112,7815,3482,1331,389,128,61677,5624,6846,6071,4021,2487,5121,4944,4868,10444,6201,3236,1237,480,97,162793,81690,10290,10408,9300,5565,3635,6956,5542,5661,8948,6765,4703,2722,912,283,81103,10029,9391,8409,4782,4038,6931,6168,5861,8464,7047,5411,2934,1154,484,3043010,1495658,75676,78930,80505,51380,34004,93828,97604,100765,193384,208909,228413,153469,71387,27404,1547352,71600,75119,76353,48693,32213,93027,96994,100947,189110,214235,244377,166303,88269,50112,485646,252268,26895,26844,26862,14230,9205,22730,21050,21287,37998,24434,12865,5437,1919,512,233378,25744,27082,24173,13760,9017,20277,18040,18567,33739,21557,12137,5986,2509,790,39.1,38.0,40.1,41.2,40.1,42.3,31.6,31.9,31.4,34.1,33.4,34.9,35.9,34.5,37.1,28.0,27.7,28.1,26.4,27.3,25.5,21.7,21.1,22.5,43.3,42.1,44.5,24.5,24.9,24.1,3939233
40,OR,41,,,,,04001US41,Oregon -- Urban,3204677,1573666,102262,103605,102115,60924,42703,24129,24273,68357,118431,119475,110331,110774,101786,102574,97435,39063,53401,31041,38303,46156,32043,22257,22228,1631011,97830,101117,96075,58183,40937,23789,24662,67674,117210,119715,108909,107302,100605,107048,107160,40947,59812,33493,43879,56591,40589,32768,44716,2676274,1309381,79130,79418,78633,47654,32879,91758,96814,98020,181636,174427,170565,106460,50821,21166,1366893,75747,77270,74337,45217,31352,93990,95594,98304,176949,177153,186752,123045,68733,42450,70024,37612,2651,2828,2820,1337,1399,3327,3442,2931,5441,5149,3863,1650,601,173,32412,2433,2618,2461,1549,998,2733,2634,2626,4211,4017,3321,1649,734,428,31083,15602,1092,1018,1089,724,701,1345,1137,1293,2282,2036,1847,703,296,39,15481,1047,1364,930,641,355,1150,1022,1363,2201,1933,1746,1214,334,181,150200,68640,3449,4360,4069,2668,2156,7038,5823,5445,11651,9604,6694,3570,1607,506,81560,3886,4324,4596,2811,2105,6708,6596,6731,14665,12314,8693,4725,2272,1134,14042,6937,383,796,518,325,230,810,676,849,1101,516,481,174,52,26,7105,539,665,610,203,243,539,1036,767,929,857,347,266,57,47,121633,64345,6256,5769,6580,3420,2088,6154,5586,6021,11233,6985,2796,1024,348,85,57288,5311,6449,5746,3668,2319,4774,4665,4618,9785,5616,2894,1023,365,55,141421,71149,9301,9416,8406,4796,3250,6327,4953,4916,7761,5643,3653,1919,575,233,70272,8867,8427,7395,4094,3565,6231,5663,5306,7471,5763,4166,2041,862,421,2402377,1169518,63176,63655,63833,39644,27830,80148,85037,86722,160465,161613,163421,103429,49643,20902,1232859,60236,61458,60405,37723,26655,81783,84924,87462,157928,165436,179953,119636,67288,41972,434781,224776,24533,24426,23956,12571,8320,19933,19138,18949,34297,21447,10780,4326,1700,400,210005,23653,24447,21644,12397,7994,18584,16936,17158,30565,18856,10336,4801,1990,644,37.0,35.9,38.1,39.0,37.7,40.2,31.5,31.6,31.5,33.3,32.5,34.3,35.8,34.4,37.0,28.1,28.0,28.2,26.0,26.9,25.3,21.2,20.3,22.1,41.0,39.7,42.4,24.3,24.7,23.9,3204677
40,OR,41,,,,,04043US41,Oregon -- Rural,734556,374787,16299,19315,21108,14696,7805,3460,3751,10749,15810,17615,18481,20631,23587,29358,32999,15348,21251,13426,16807,22872,14012,8643,6764,359769,15011,17932,20298,13581,7272,3547,2837,7965,14329,16019,17162,19573,24469,29973,34220,14333,20959,12750,16086,20837,13093,9085,8438,676667,345094,14169,16973,18998,13060,6669,15496,13824,15484,35474,49329,66316,50811,21920,6571,331573,12946,15515,17906,11852,6333,12385,12760,14516,33555,50768,65819,47606,21368,8244,2813,1771,35,161,93,40,86,135,152,103,261,248,198,203,56,0,1042,66,177,102,73,44,92,22,68,87,118,94,83,16,0,15175,7351,425,469,496,311,290,736,515,335,905,998,996,666,191,18,7824,405,630,689,424,196,603,508,347,933,1204,1144,492,207,42,6495,2838,167,192,141,245,80,212,170,123,346,368,331,273,110,80,3657,63,180,223,166,58,207,210,255,483,433,810,357,165,47,1000,547,62,33,24,44,14,78,87,30,60,50,21,42,0,2,453,56,69,39,25,0,15,45,28,25,50,58,28,15,0,11034,6645,452,495,462,227,281,674,473,795,879,830,686,307,41,43,4389,313,397,325,353,168,347,279,250,659,585,342,214,115,42,21372,10541,989,992,894,769,385,629,589,745,1187,1122,1050,803,337,50,10831,1162,964,1014,688,473,700,505,555,993,1284,1245,893,292,63,640633,326140,12500,15275,16672,11736,6174,13680,12567,14043,32919,47296,64992,50040,21744,6502,314493,11364,13661,15948,10970,5558,11244,12070,13485,31182,48799,64424,46667,20981,8140,50865,27492,2362,2418,2906,1659,885,2797,1912,2338,3701,2987,2085,1111,219,112,23373,2091,2635,2529,1363,1023,1693,1104,1409,3174,2701,1801,1185,519,146,49.4,48.8,50.0,50.6,50.1,51.0,33.6,37.5,23.5,36.4,36.1,37.0,41.1,37.0,44.5,27.0,25.8,27.7,31.1,31.2,30.6,29.7,30.2,29.3,51.7,51.3,52.0,26.9,27.0,26.8,734556
40,OR,41,,,,,040A0US41,Oregon -- In metropolitan or micropolitan statistical area,3841460,1898810,115792,120261,120259,73699,49463,27126,27534,77442,131594,134436,126169,128693,122461,128427,126513,52601,72274,43026,52893,66377,44090,29746,27934,1942650,110396,116357,113597,70048,47275,26914,27094,74332,129256,133263,123816,124322,122234,133365,137502,53395,78227,44794,57798,74697,51657,40387,51924,3266755,1610777,91046,94122,95242,59228,38766,105026,108492,111189,212673,218025,229353,151203,69707,26705,1655978,86652,90650,90066,55699,36974,104630,106402,110693,206378,222115,244808,164645,86755,49511,72354,39109,2683,2985,2875,1377,1469,3424,3568,3018,5632,5355,4046,1853,651,173,33245,2495,2756,2531,1601,1041,2804,2647,2680,4290,4112,3389,1721,750,428,41359,20542,1284,1343,1275,856,928,1866,1423,1519,2865,2759,2662,1262,443,57,20817,1254,1760,1393,954,429,1578,1348,1537,2862,2861,2629,1534,466,212,156037,71236,3614,4546,4204,2900,2222,7227,5970,5534,11988,9937,6970,3837,1705,582,84801,3918,4478,4783,2945,2163,6883,6791,6944,15097,12686,9482,5063,2393,1175,14764,7317,408,807,529,362,244,855,749,876,1143,561,496,216,52,19,7447,590,734,630,228,243,545,1044,795,925,900,401,293,72,47,129883,69528,6568,6212,6919,3485,2239,6794,5990,6748,11746,7692,3331,1287,389,128,60355,5566,6686,5887,3877,2419,5023,4894,4833,10177,6057,3176,1186,477,97,160308,80301,10189,10246,9215,5491,3595,6910,5402,5552,8815,6559,4530,2638,889,270,80007,9921,9293,8307,4744,4006,6877,6130,5781,8409,6868,5239,2847,1131,454,2962518,1454899,73856,77088,78464,50024,33310,91920,95663,98753,189181,203396,221013,147479,68380,26372,1507619,69888,73333,74444,47475,31658,91455,95192,99100,185310,208637,236870,160364,84951,48942,476513,247582,26276,26307,26369,13936,8984,22368,20724,20915,37322,24061,12595,5326,1887,512,228931,25273,26529,23670,13452,8751,19981,17805,18216,33140,21198,11821,5852,2466,777,38.9,37.8,40.0,41.0,39.9,42.1,31.6,31.9,31.4,34.9,34.1,35.7,36.0,34.5,37.1,28.1,28.0,28.1,26.4,27.3,25.5,21.6,21.0,22.4,43.1,41.9,44.2,24.5,24.9,24.1,3841460
40,OR,41,,,,,040C0US41,Oregon -- In metropolitan statistical area,3286017,1620803,99676,103929,103032,63254,42376,23403,24061,67474,115254,118430,111246,112591,105813,109114,106398,43631,59311,34835,42786,53170,34570,23776,22673,1665214,94856,100252,97401,60034,41802,24277,23306,65258,114123,118508,109488,108904,105636,113594,116118,43945,65046,37061,47220,60504,41776,32911,43194,2771858,1363783,77579,80705,80613,50270,33063,90858,94459,97087,185414,185781,190158,121318,54888,21590,1408075,73591,77315,76246,47225,32530,91300,93403,97604,180531,189237,203831,133922,70128,41212,68618,36893,2574,2814,2682,1332,1308,3129,3431,2846,5277,5092,3861,1754,620,173,31725,2363,2611,2346,1571,1009,2562,2607,2558,4107,3889,3302,1653,728,419,29454,14672,889,828,893,588,577,1473,940,1270,2156,1982,1803,967,257,49,14782,779,1224,1024,724,319,1162,967,1235,2099,1974,1761,1075,306,133,150339,69032,3515,4390,4043,2836,2169,7011,5844,5387,11679,9653,6717,3628,1624,536,81307,3855,4211,4654,2837,2100,6659,6491,6800,14605,12194,8961,4732,2190,1018,13738,6754,396,799,479,332,211,834,667,816,1075,483,439,157,52,14,6984,551,671,592,203,243,545,999,761,895,798,355,272,52,47,113226,60262,5812,5453,5960,2939,1977,5646,5333,6010,10528,6446,2756,1028,292,82,52964,4984,5983,5282,3455,1997,4410,4395,4405,8820,5140,2686,959,402,46,138784,69407,8911,8940,8362,4957,3071,5987,4580,5014,7708,5490,3606,1939,613,229,69377,8733,8237,7257,4019,3604,6203,5261,5145,7335,5998,4213,2172,881,319,2516680,1233479,63283,65974,66902,42545,28650,79785,83748,86730,165340,173739,183254,118369,53843,21317,1283201,59682,62581,63456,40436,27861,80047,83958,87516,162393,178072,197304,130574,68571,40750,404241,209417,22133,22740,22034,11751,7411,18876,17557,17980,32528,20003,10294,4204,1500,406,194824,21300,22821,19809,11358,7644,17057,15282,16007,28598,17773,9846,4605,2130,594,38.2,37.1,39.2,40.3,39.2,41.4,31.8,32.0,31.5,34.6,34.4,34.8,35.8,34.5,36.9,27.9,27.5,28.0,26.3,27.3,25.3,21.2,20.4,22.1,42.3,41.1,43.4,24.6,24.9,24.1,3286017
40,OR,41,,,,,040C1US41,Oregon -- In metropolitan statistical area -- in principal city,1446258,712249,45480,42990,40465,23437,19665,12221,12305,35267,61972,62074,55758,51922,46282,44225,41984,17125,22945,12544,15530,18254,11936,8607,9261,734009,43073,42861,38982,24006,20088,12462,12682,34232,61721,61003,54106,48443,44448,45272,45671,17288,25107,13957,17131,22952,15582,13349,19593,1171532,574302,33631,31441,29065,17444,14545,45248,49596,49577,87365,75724,71902,41369,18688,8707,597230,31771,31356,28714,17570,15080,46201,49432,48988,82802,74546,77152,48605,26602,18411,46579,24691,1809,1861,1656,888,797,2181,2354,2100,3249,3357,2641,1250,422,126,21888,1446,1739,1613,1109,544,1676,1780,1833,2896,2757,2467,1240,487,301,12141,6038,514,394,327,103,301,665,508,705,629,754,679,385,74,0,6103,450,518,403,239,89,602,499,714,852,685,534,350,82,86,87382,40737,2135,2183,2012,1379,1461,4947,4238,3590,6620,5065,3743,2143,983,238,46645,2156,1884,2372,1497,1493,4739,4426,4170,7946,6678,4937,2414,1234,699,7568,3663,138,538,274,183,161,524,340,341,666,220,187,57,34,0,3905,341,427,372,124,116,339,533,487,495,384,132,150,0,5,52399,27867,2797,2461,2781,1095,833,2637,2601,3056,5266,2610,1163,351,188,28,24532,2479,2947,2301,1474,792,2222,2430,2136,3674,2319,1069,472,191,26,68657,34951,4456,4112,4350,2345,1567,3591,2335,2705,3885,2777,1739,773,154,162,33706,4430,3990,3207,1993,1974,3597,2621,2675,3884,2351,1775,809,335,65,1060122,518024,26763,25684,23856,14643,12598,40558,44639,44891,78249,70479,68696,40179,18157,8632,542098,25882,25236,23480,14529,12882,40761,44731,44381,74888,69366,74442,47187,26049,18284,181477,92896,10609,9403,9103,4295,3242,8252,8228,8637,15284,8550,4640,1718,784,151,88581,9781,10172,8540,5132,3514,8470,7813,7522,12568,7992,4090,1970,832,185,35.7,35.0,36.4,37.5,36.7,38.3,32.4,32.0,32.9,31.0,30.9,31.0,34.4,33.0,35.6,26.6,25.3,27.4,26.5,28.0,25.1,21.2,20.7,21.7,39.1,38.1,40.0,25.1,26.1,24.2,1446258
40,OR,41,,,,,040C2US41,Oregon -- In metropolitan statistical area -- not in principal city,1839759,908554,54196,60939,62567,39817,22711,11182,11756,32207,53282,56356,55488,60669,59531,64889,64414,26506,36366,22291,27256,34916,22634,15169,13412,931205,51783,57391,58419,36028,21714,11815,10624,31026,52402,57505,55382,60461,61188,68322,70447,26657,39939,23104,30089,37552,26194,19562,23601,1600326,789481,43948,49264,51548,32826,18518,45610,44863,47510,98049,110057,118256,79949,36200,12883,810845,41820,45959,47532,29655,17450,45099,43971,48616,97729,114691,126679,85317,43526,22801,22039,12202,765,953,1026,444,511,948,1077,746,2028,1735,1220,504,198,47,9837,917,872,733,462,465,886,827,725,1211,1132,835,413,241,118,17313,8634,375,434,566,485,276,808,432,565,1527,1228,1124,582,183,49,8679,329,706,621,485,230,560,468,521,1247,1289,1227,725,224,47,62957,28295,1380,2207,2031,1457,708,2064,1606,1797,5059,4588,2974,1485,641,298,34662,1699,2327,2282,1340,607,1920,2065,2630,6659,5516,4024,2318,956,319,6170,3091,258,261,205,149,50,310,327,475,409,263,252,100,18,14,3079,210,244,220,79,127,206,466,274,400,414,223,122,52,42,60827,32395,3015,2992,3179,1844,1144,3009,2732,2954,5262,3836,1593,677,104,54,28432,2505,3036,2981,1981,1205,2188,1965,2269,5146,2821,1617,487,211,20,70127,34456,4455,4828,4012,2612,1504,2396,2245,2309,3823,2713,1867,1166,459,67,35671,4303,4247,4050,2026,1630,2606,2640,2470,3451,3647,2438,1363,546,254,1456558,715455,36520,40290,43046,27902,16052,39227,39109,41839,87091,103260,114558,78190,35686,12685,741103,33800,37345,39976,25907,14979,39286,39227,43135,87505,108706,122862,83387,42522,22466,222764,116521,11524,13337,12931,7456,4169,10624,9329,9343,17244,11453,5654,2486,716,255,106243,11519,12649,11269,6226,4130,8587,7469,8485,16030,9781,5756,2635,1298,409,40.6,39.5,41.9,42.7,41.4,43.8,30.4,32.1,27.9,38.5,37.8,38.9,37.8,37.0,38.4,28.9,28.9,28.9,26.1,26.6,25.6,21.2,19.8,22.6,44.8,43.6,46.0,24.1,24.1,24.0,1839759
40,OR,41,,,,,040E0US41,Oregon -- In micropolitan statistical area,555443,278007,16116,16332,17227,10445,7087,3723,3473,9968,16340,16006,14923,16102,16648,19313,20115,8970,12963,8191,10107,13207,9520,5970,5261,277436,15540,16105,16196,10014,5473,2637,3788,9074,15133,14755,14328,15418,16598,19771,21384,9450,13181,7733,10578,14193,9881,7476,8730,494897,246994,13467,13417,14629,8958,5703,14168,14033,14102,27259,32244,39195,29885,14819,5115,247903,13061,13335,13820,8474,4444,13330,12999,13089,25847,32878,40977,30723,16627,8299,3736,2216,109,171,193,45,161,295,137,172,355,263,185,99,31,0,1520,132,145,185,30,32,242,40,122,183,223,87,68,22,9,11905,5870,395,515,382,268,351,393,483,249,709,777,859,295,186,8,6035,475,536,369,230,110,416,381,302,763,887,868,459,160,79,5698,2204,99,156,161,64,53,216,126,147,309,284,253,209,81,46,3494,63,267,129,108,63,224,300,144,492,492,521,331,203,157,1026,563,12,8,50,30,33,21,82,60,68,78,57,59,0,5,463,39,63,38,25,0,0,45,34,30,102,46,21,20,0,16657,9266,756,759,959,546,262,1148,657,738,1218,1246,575,259,97,46,7391,582,703,605,422,422,613,499,428,1357,917,490,227,75,51,21524,10894,1278,1306,853,534,524,923,822,538,1107,1069,924,699,276,41,10630,1188,1056,1050,725,402,674,869,636,1074,870,1026,675,250,135,445838,221420,10573,11114,11562,7479,4660,12135,11915,12023,23841,29657,37759,29110,14537,5055,224418,10206,10752,10988,7039,3797,11408,11234,11584,22917,30565,39566,29790,16380,8192,72272,38165,4143,3567,4335,2185,1573,3492,3167,2935,4794,4058,2301,1122,387,106,34107,3973,3708,3861,2094,1107,2924,2523,2209,4542,3425,1975,1247,336,183,43.6,42.3,45.1,45.6,44.2,46.9,28.0,29.9,24.9,35.5,32.5,37.5,41.4,38.3,44.2,32.0,31.8,32.5,27.6,27.0,29.2,25.7,25.2,26.1,48.3,47.2,49.6,24.4,24.7,24.0,555443
40,OR,41,,,,,040E1US41,Oregon -- In micropolitan statistical area -- in principal city,175268,85229,6037,5348,4932,3307,2452,1562,1146,3638,6504,5537,5225,4963,4894,5626,5265,2403,3505,2054,2454,2822,2176,1511,1868,90039,6065,5588,5033,3356,2133,869,1279,3729,6181,5731,5211,4366,5158,5502,6313,2498,3649,1916,2748,3967,2927,2261,3559,153699,74398,4899,4490,3844,2822,2010,5401,5530,4884,8667,9425,10157,6908,3545,1816,79301,4990,4350,4370,2920,1820,5203,5177,5031,8025,9552,11378,8140,4953,3392,2098,1115,66,59,166,21,122,208,36,98,189,70,43,27,10,0,983,99,95,116,8,12,164,28,45,120,143,67,55,22,9,2729,1415,155,40,146,70,17,49,167,51,187,199,242,24,64,4,1314,124,89,42,10,42,37,84,132,133,174,270,102,52,23,2207,849,60,18,35,21,17,101,61,69,138,100,144,50,10,25,1358,14,156,0,33,30,61,161,98,194,166,246,59,100,40,550,338,11,8,40,18,19,0,52,40,50,33,31,31,0,5,212,17,24,15,3,0,0,24,27,20,58,13,11,0,0,5821,2989,251,228,435,179,56,285,193,226,471,415,121,126,0,3,2832,200,392,152,168,97,158,223,137,648,325,218,84,25,5,8164,4125,595,505,266,176,211,302,465,169,486,278,435,164,58,15,4039,621,482,338,214,132,254,484,261,437,242,268,180,36,90,136727,65463,3702,3685,3057,2407,1623,4440,4603,4186,7658,8629,9682,6585,3408,1798,71264,3767,3447,3478,2383,1617,4718,4445,4400,7280,8766,10865,7849,4886,3363,25903,13553,1752,1208,1400,676,570,1370,1297,974,1532,1297,825,477,154,21,12350,1780,1466,1177,778,343,882,1104,882,1464,1139,759,425,92,59,38.4,37.1,39.8,40.2,38.8,42.0,24.3,22.7,25.0,37.4,35.7,40.9,38.6,37.7,39.6,31.8,31.5,32.7,29.1,27.4,32.4,24.8,25.2,24.7,43.3,41.6,45.1,24.3,24.4,24.1,175268
40,OR,41,,,,,040E2US41,Oregon -- In micropolitan statistical area -- not in principal city,380175,192778,10079,10984,12295,7138,4635,2161,2327,6330,9836,10469,9698,11139,11754,13687,14850,6567,9458,6137,7653,10385,7344,4459,3393,187397,9475,10517,11163,6658,3340,1768,2509,5345,8952,9024,9117,11052,11440,14269,15071,6952,9532,5817,7830,10226,6954,5215,5171,341198,172596,8568,8927,10785,6136,3693,8767,8503,9218,18592,22819,29038,22977,11274,3299,168602,8071,8985,9450,5554,2624,8127,7822,8058,17822,23326,29599,22583,11674,4907,1638,1101,43,112,27,24,39,87,101,74,166,193,142,72,21,0,537,33,50,69,22,20,78,12,77,63,80,20,13,0,0,9176,4455,240,475,236,198,334,344,316,198,522,578,617,271,122,4,4721,351,447,327,220,68,379,297,170,630,713,598,357,108,56,3491,1355,39,138,126,43,36,115,65,78,171,184,109,159,71,21,2136,49,111,129,75,33,163,139,46,298,326,275,272,103,117,476,225,1,0,10,12,14,21,30,20,18,45,26,28,0,0,251,22,39,23,22,0,0,21,7,10,44,33,10,20,0,10836,6277,505,531,524,367,206,863,464,512,747,831,454,133,97,43,4559,382,311,453,254,325,455,276,291,709,592,272,143,50,46,13360,6769,683,801,587,358,313,621,357,369,621,791,489,535,218,26,6591,567,574,712,511,270,420,385,375,637,628,758,495,214,45,309111,155957,6871,7429,8505,5072,3037,7695,7312,7837,16183,21028,28077,22525,11129,3257,153154,6439,7305,7510,4656,2180,6690,6789,7184,15637,21799,28701,21941,11494,4829,46369,24612,2391,2359,2935,1509,1003,2122,1870,1961,3262,2761,1476,645,233,85,21757,2193,2242,2684,1316,764,2042,1419,1327,3078,2286,1216,822,244,124,45.9,44.7,47.1,47.7,46.7,48.9,32.7,36.2,24.9,34.8,31.6,36.5,42.9,39.3,45.3,33.6,36.8,27.9,26.8,26.8,26.9,26.2,25.2,27.6,50.3,49.3,51.1,24.5,25.0,23.9,380175
