SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,PA,42,,,,,04000US42,Pennsylvania,12779559,6245344,367290,381910,393719,250754,186467,98386,94087,251063,420247,391190,365742,399152,435250,472070,456215,166744,223851,133356,168254,212200,156335,117050,104012,6534215,350371,366854,374666,236670,183220,94454,92145,243391,410193,387225,365646,405848,446328,489057,475044,177147,242777,147323,187804,256188,205974,178358,217532,10430142,5101038,267004,285172,299031,192605,141983,337227,328667,308828,615403,769618,744533,462737,250748,97482,5329104,253818,273452,284109,181165,139162,328074,317598,302914,613164,785942,776049,524141,348068,201448,1403143,675702,51674,48700,54253,34776,25986,64127,51459,44972,85627,89272,69389,34550,16066,4851,727441,49266,48623,49301,32151,24645,62065,53070,47235,90461,98246,83083,48122,27965,13208,23641,12169,786,828,840,409,280,1174,1000,929,1797,1765,1414,682,196,69,11472,744,781,774,516,433,559,705,685,1651,1887,1480,777,241,239,392595,188133,11506,13174,11496,7044,6843,16265,17649,17477,31067,23579,17080,9718,4231,1004,204462,12063,12345,13285,7294,7403,15829,19684,19252,34421,25841,19678,11081,4960,1326,4279,1973,38,172,90,52,246,310,214,251,128,281,158,33,0,0,2306,139,150,189,66,167,328,129,84,193,345,257,190,54,15,253070,130632,11848,12910,11792,6908,5067,12944,12224,11389,19287,14006,7856,3133,1084,184,122438,11621,10682,11033,6669,5346,11299,10534,9705,18893,13348,7709,3339,1658,602,272689,135697,24434,20954,16217,8960,6062,11489,9034,7344,11585,8799,6380,2957,1060,422,136992,22720,20821,15975,8809,6064,11836,8473,7350,12711,9776,6712,3665,1386,694,9979754,4873686,242608,263644,278416,180355,132999,315939,308827,289699,584053,746147,730799,455708,247680,96812,5106068,230882,251152,264194,169833,130987,308747,299521,285001,583892,761492,760579,515536,344429,199823,815538,416588,45178,41682,38571,22664,16228,40088,36359,34421,57173,42538,24694,11361,4708,923,398950,42560,39506,36461,20841,15658,35817,32241,31424,54507,42436,25799,13516,5668,2516,40.5,38.9,42.0,43.1,41.6,44.6,32.8,30.7,34.7,35.8,33.9,37.7,33.2,32.8,33.6,27.7,27.6,29.4,26.7,26.5,27.0,17.5,17.1,18.0,44.0,42.5,45.4,25.8,25.5,26.2,12779559
40,PA,42,,,,,04001US42,Pennsylvania -- Urban,10063815,4872878,297337,301686,306533,193469,154593,83017,79494,207553,350210,322126,293058,310641,331163,354325,340846,122529,164026,97844,121935,152729,114486,89250,84028,5190937,283130,290964,292502,184429,156784,81238,78735,203691,349081,320611,294643,318735,344349,374381,361329,135462,184528,112247,142163,195040,160827,143997,182071,7804710,3778994,200630,209233,216095,138292,111866,267587,262074,243970,462236,554101,529395,323748,181930,77837,4025716,189896,201721,206504,131386,113802,264107,258698,238325,460089,574203,566412,384340,269704,166529,1370361,654185,50969,47814,53116,33422,25226,62223,49856,42692,81337,86174,67399,33562,15696,4699,716176,48540,47810,48093,31402,24291,61365,52452,46723,89344,96614,81786,47405,27471,12880,20949,10772,754,714,765,378,239,1143,905,836,1532,1527,1160,566,187,66,10177,710,739,697,475,419,493,632,619,1487,1586,1279,655,182,204,376574,181365,11006,12558,10919,6728,6642,15864,17324,17107,29928,22591,16433,9284,4056,925,195209,11816,11534,12361,6891,7183,15560,19116,18695,32427,24733,18499,10503,4619,1272,3976,1795,32,165,90,36,226,276,214,217,119,240,147,33,0,0,2181,129,142,178,65,167,313,129,62,186,337,229,186,43,15,242515,124488,11554,12559,11115,6620,4880,12319,11557,10727,18339,13251,7431,2983,1009,144,118027,11358,10256,10506,6328,5266,10882,10245,9440,18145,12853,7327,3283,1571,567,244730,121279,22392,18643,14433,7993,5514,10652,8280,6577,10208,7604,5436,2332,858,357,123451,20681,18762,14163,7882,5656,10944,7809,6747,11700,8404,5787,3078,1234,604,7390884,3570179,178377,189721,197209,127320,103608,247732,243672,226061,432934,532462,517242,317433,179179,77229,3820705,168416,180999,188795,121219,106042,245798,241507,221541,433182,552227,552521,376815,266485,165158,762688,388639,42301,39056,35943,20814,15153,37766,33897,32337,53658,39586,22543,10427,4297,861,374049,40372,37338,33425,19245,15075,33983,30906,29868,51083,39279,23818,12280,5182,2195,39.2,37.3,40.9,42.2,40.4,43.9,32.7,30.5,34.7,34.8,32.6,36.7,33.0,32.8,33.3,27.4,27.5,26.9,26.6,26.2,27.0,17.5,17.0,18.1,43.3,41.5,45.1,25.7,25.4,26.1,10063815
40,PA,42,,,,,04043US42,Pennsylvania -- Rural,2715744,1372466,69953,80224,87186,57285,31874,15369,14593,43510,70037,69064,72684,88511,104087,117745,115369,44215,59825,35512,46319,59471,41849,27800,19984,1343278,67241,75890,82164,52241,26436,13216,13410,39700,61112,66614,71003,87113,101979,114676,113715,41685,58249,35076,45641,61148,45147,34361,35461,2625432,1322044,66374,75939,82936,54313,30117,69640,66593,64858,153167,215517,215138,138989,68818,19645,1303388,63922,71731,77605,49779,25360,63967,58900,64589,153075,211739,209637,139801,78364,34919,32782,21517,705,886,1137,1354,760,1904,1603,2280,4290,3098,1990,988,370,152,11265,726,813,1208,749,354,700,618,512,1117,1632,1297,717,494,328,2692,1397,32,114,75,31,41,31,95,93,265,238,254,116,9,3,1295,34,42,77,41,14,66,73,66,164,301,201,122,59,35,16021,6768,500,616,577,316,201,401,325,370,1139,988,647,434,175,79,9253,247,811,924,403,220,269,568,557,1994,1108,1179,578,341,54,303,178,6,7,0,16,20,34,0,34,9,41,11,0,0,0,125,10,8,11,1,0,15,0,22,7,8,28,4,11,0,10555,6144,294,351,677,288,187,625,667,662,948,755,425,150,75,40,4411,263,426,527,341,80,417,289,265,748,495,382,56,87,35,27959,14418,2042,2311,1784,967,548,837,754,767,1377,1195,944,625,202,65,13541,2039,2059,1812,927,408,892,664,603,1011,1372,925,587,152,90,2588870,1303507,64231,73923,81207,53035,29391,68207,65155,63638,151119,213685,213557,138275,68501,19583,1285363,62466,70153,75399,48614,24945,62949,58014,63460,150710,209265,208058,138721,77944,34665,52850,27949,2877,2626,2628,1850,1075,2322,2462,2084,3515,2952,2151,934,411,62,24901,2188,2168,3036,1596,583,1834,1335,1556,3424,3157,1981,1236,486,321,45.0,44.2,45.8,45.5,44.8,46.2,35.1,35.2,34.0,44.5,39.4,47.7,37.5,36.0,38.4,31.9,31.4,34.6,29.2,29.9,27.0,18.1,18.5,17.8,45.7,45.1,46.4,27.2,25.9,28.9,2715744
40,PA,42,,,,,040A0US42,Pennsylvania -- In metropolitan or micropolitan statistical area,12364929,6034666,356480,370457,381806,242557,180913,95606,91231,243265,408144,379339,354025,385208,420369,455301,439441,160794,215249,128005,161259,202664,149653,112539,100361,6330263,340506,355420,363639,229252,178051,91640,89723,236613,400232,377141,355398,393383,432197,473130,458739,171277,234103,141819,181220,245782,198176,172279,210543,10032215,4901885,256792,274110,287542,184875,136893,324947,317846,298476,592373,739352,713987,441165,239651,93876,5130330,244314,262652,273488,174020,134281,316523,307865,293120,591014,756382,745717,501972,334435,194547,1394975,668863,51533,48603,54153,34610,25644,63288,50552,43963,83885,88401,68942,34424,16017,4848,726112,49247,48549,49201,32095,24501,61879,53024,47185,90405,98092,82967,48006,27815,13146,22852,11765,786,818,829,400,263,1155,996,909,1676,1679,1351,644,193,66,11087,724,775,747,500,419,554,671,649,1584,1827,1437,742,235,223,391024,187508,11458,13156,11482,7022,6837,16195,17603,17401,30957,23509,17023,9674,4220,971,203516,12042,12269,13204,7287,7386,15716,19657,19146,34240,25773,19548,10993,4934,1321,4142,1902,32,167,90,52,226,300,210,251,123,271,147,33,0,0,2240,131,147,174,66,167,328,129,81,180,337,241,190,54,15,251361,129533,11799,12871,11731,6854,5040,12845,12090,11203,19030,13867,7815,3120,1084,184,121828,11584,10570,11003,6623,5304,11210,10522,9669,18829,13308,7633,3334,1637,602,268360,133210,24080,20732,15979,8744,6010,11372,8847,7136,11189,8591,6219,2868,1027,416,135150,22464,20458,15822,8661,5993,11766,8364,7291,12529,9608,6576,3584,1345,689,9586328,4677119,232647,252831,267086,172745,128042,303890,298286,279514,561382,716119,700453,434266,236634,93224,4909209,221514,240490,253785,162763,126205,297287,289932,275343,561970,732180,730453,493476,330835,192976,808284,412107,44751,41385,38350,22425,16023,39688,35847,33983,56355,42097,24424,11217,4657,905,396177,42365,39245,36178,20705,15499,35603,32076,31255,54187,42127,25537,13343,5629,2428,40.4,38.8,41.9,43.0,41.5,44.5,32.7,30.6,34.7,35.6,33.2,37.7,33.2,32.8,33.6,27.7,27.6,29.2,26.7,26.4,27.0,17.5,17.0,18.0,43.9,42.4,45.4,25.8,25.4,26.2,12364929
40,PA,42,,,,,040C0US42,Pennsylvania -- In metropolitan statistical area,11285024,5489817,328049,339660,350029,222090,164995,86425,83397,222376,375845,347088,322178,348862,381805,413416,398046,145333,193635,115457,144576,180948,133485,101092,91030,5795207,313694,325248,334250,210498,162541,83872,82368,218342,372813,349507,327245,360719,396424,433039,418830,155624,212088,128158,163781,221440,178746,155737,190243,9006578,4393214,230261,245192,257333,165529,122986,291365,289207,270431,531237,663556,638177,391028,212303,84609,4613364,219215,234261,245726,156200,120234,284926,281622,266397,532428,682367,669423,447363,298781,174421,1368051,647700,51000,48288,53635,34107,24562,60187,48136,41246,78981,85581,67201,34030,15920,4826,720351,48869,48226,48756,31823,23832,61121,52624,46849,89789,97408,82563,47745,27691,13055,21341,10985,770,779,795,390,231,1111,845,791,1553,1561,1289,616,188,66,10356,709,769,721,491,394,507,627,620,1503,1614,1355,618,210,218,385033,184773,11346,12998,11313,6915,6579,15789,17326,17264,30662,23071,16852,9590,4121,947,200260,11969,12008,13068,7155,7164,15447,19424,19003,33616,25349,19192,10743,4845,1277,3914,1752,32,159,69,18,226,295,210,200,121,257,132,33,0,0,2162,131,122,164,66,167,328,129,61,180,328,234,183,54,15,246259,126037,11675,12663,11577,6770,4801,12595,11718,10569,18326,13355,7640,3080,1084,184,120222,11431,10385,10930,6482,5171,11025,10354,9580,18594,13182,7575,3318,1602,593,253848,125356,22965,19581,15307,8361,5610,10856,8403,6587,10160,7840,5723,2604,961,398,128492,21370,19477,14885,8281,5579,11228,8033,6997,11854,9215,6200,3409,1300,664,8574243,4176268,206945,224703,237442,153741,114391,271106,270346,252146,501702,640945,625106,384277,209437,83981,4397975,197046,212894,226564,145151,112405,266200,264070,248941,504065,658726,654547,439120,295276,172970,786103,398164,43540,40239,37581,21910,15372,38319,34525,32356,53592,40727,23594,11024,4504,881,387939,41480,38215,35411,20313,14969,34857,31456,30745,53171,41417,25057,13049,5514,2285,40.1,38.5,41.6,42.9,41.3,44.4,32.7,30.4,34.8,35.3,33.4,37.0,33.2,32.9,33.5,27.6,27.6,28.0,26.6,26.1,27.1,17.4,16.7,18.1,43.9,42.3,45.4,25.7,25.3,26.2,11285024
40,PA,42,,,,,040C1US42,Pennsylvania -- In metropolitan statistical area -- in principal city,2810033,1347280,96758,83526,83330,49688,55109,32270,30470,75801,126720,104418,84344,76073,79800,83469,78776,28469,37387,21120,26598,33429,24007,18461,17257,1462753,91131,81216,78256,48933,58468,32833,31580,76521,131696,106884,85810,82543,84812,90513,88518,32774,45496,27770,33639,44994,36429,32134,39803,1518338,738868,41459,33678,32950,20222,31619,77158,74775,62679,88288,91716,87938,53410,29556,13420,779470,38152,32479,31663,19976,33500,78640,74167,58016,83751,91095,96180,66217,45900,29734,867125,399653,33980,30431,33723,19627,14274,37543,30496,24462,46548,51771,41982,21281,10220,3315,467472,32074,30701,29764,19427,14555,40247,36033,31353,56116,62376,54676,32064,19229,8857,10605,5482,536,389,454,187,106,622,496,412,811,638,481,225,107,18,5123,307,517,426,169,288,232,341,284,753,796,559,271,91,89,146432,71374,3794,3883,3431,2327,3779,9600,9304,7145,9507,7449,6375,3070,1474,236,75058,4164,3356,3630,2194,4068,9008,9734,7708,10091,8192,7197,3611,1695,410,2501,1036,17,126,0,9,149,240,91,97,79,169,51,8,0,0,1465,120,95,118,41,125,218,129,31,125,209,112,92,35,15,167479,83373,8263,8316,7822,4701,3288,8340,7694,6956,11086,8499,5485,2109,691,123,84106,8218,6971,7867,4636,3522,7650,7442,6546,12457,9248,5413,2591,1105,440,97553,47494,8709,6703,4950,2615,1894,5038,3864,2667,4098,3027,2320,1044,420,145,50059,8096,7097,4788,2490,2410,4939,3850,2946,5060,3409,2651,1557,508,258,1307676,634756,29372,24080,23726,14874,27303,66860,65365,53907,74765,81273,81970,49960,28186,13115,672920,27077,23215,22690,14336,29437,67720,64565,49174,70461,80146,88904,61800,44272,29123,448604,223106,25854,22264,20945,12089,8830,22226,19444,17782,28463,22160,13529,6447,2563,510,225498,24424,20539,19917,11928,8894,21681,19808,17908,29614,23478,14892,8199,3030,1186,33.2,31.7,34.7,35.9,34.5,37.5,32.7,30.0,34.9,31.9,29.5,35.0,30.3,29.7,30.6,24.9,23.4,25.9,26.2,25.5,26.9,19.5,18.8,20.1,38.2,36.4,40.3,25.5,24.8,26.2,2810033
40,PA,42,,,,,040C2US42,Pennsylvania -- In metropolitan statistical area -- not in principal city,8474991,4142537,231291,256134,266699,172402,109886,54155,52927,146575,249125,242670,237834,272789,302005,329947,319270,116864,156248,94337,117978,147519,109478,82631,73773,4332454,222563,244032,255994,161565,104073,51039,50788,141821,241117,242623,241435,278176,311612,342526,330312,122850,166592,100388,130142,176446,142317,123603,150440,7488240,3654346,188802,211514,224383,145307,91367,214207,214432,207752,442949,571840,550239,337618,182747,71189,3833894,181063,201782,214063,136224,86734,206286,207455,208381,448677,591272,573243,381146,252881,144687,500926,248047,17020,17857,19912,14480,10288,22644,17640,16784,32433,33810,25219,12749,5700,1511,252879,16795,17525,18992,12396,9277,20874,16591,15496,33673,35032,27887,15681,8462,4198,10736,5503,234,390,341,203,125,489,349,379,742,923,808,391,81,48,5233,402,252,295,322,106,275,286,336,750,818,796,347,119,129,238601,113399,7552,9115,7882,4588,2800,6189,8022,10119,21155,15622,10477,6520,2647,711,125202,7805,8652,9438,4961,3096,6439,9690,11295,23525,17157,11995,7132,3150,867,1413,716,15,33,69,9,77,55,119,103,42,88,81,25,0,0,697,11,27,46,25,42,110,0,30,55,119,122,91,19,0,78780,42664,3412,4347,3755,2069,1513,4255,4024,3613,7240,4856,2155,971,393,61,36116,3213,3414,3063,1846,1649,3375,2912,3034,6137,3934,2162,727,497,153,156295,77862,14256,12878,10357,5746,3716,5818,4539,3920,6062,4813,3403,1560,541,253,78433,13274,12380,10097,5791,3169,6289,4183,4051,6794,5806,3549,1852,792,406,7266567,3541512,177573,200623,213716,138867,87088,204246,204981,198239,426937,559672,543136,334317,181251,70866,3725055,169969,189679,203874,130815,82968,198480,199505,199767,433604,578580,565643,377320,251004,143847,337499,175058,17686,17975,16636,9821,6542,16093,15081,14574,25129,18567,10065,4577,1941,371,162441,17056,17676,15494,8385,6075,13176,11648,12837,23557,17939,10165,4850,2484,1099,42.4,41.0,43.8,44.1,42.7,45.5,32.8,31.2,34.5,38.8,37.6,40.3,35.4,35.2,35.5,32.7,28.3,46.2,27.5,27.6,27.5,16.2,15.7,16.7,44.7,43.3,46.0,26.1,25.9,26.3,8474991
40,PA,42,,,,,040E0US42,Pennsylvania -- In micropolitan statistical area,1079905,544849,28431,30797,31777,20467,15918,9181,7834,20889,32299,32251,31847,36346,38564,41885,41395,15461,21614,12548,16683,21716,16168,11447,9331,535056,26812,30172,29389,18754,15510,7768,7355,18271,27419,27634,28153,32664,35773,40091,39909,15653,22015,13661,17439,24342,19430,16542,20300,1025637,508671,26531,28918,30209,19346,13907,33582,28639,28045,61136,75796,75810,50137,27348,9267,516966,25099,28391,27762,17820,14047,31597,26243,26723,58586,74015,76294,54609,35654,20126,26924,21163,533,315,518,503,1082,3101,2416,2717,4904,2820,1741,394,97,22,5761,378,323,445,272,669,758,400,336,616,684,404,261,124,91,1511,780,16,39,34,10,32,44,151,118,123,118,62,28,5,0,731,15,6,26,9,25,47,44,29,81,213,82,124,25,5,5991,2735,112,158,169,107,258,406,277,137,295,438,171,84,99,24,3256,73,261,136,132,222,269,233,143,624,424,356,250,89,44,228,150,0,8,21,34,0,5,0,51,2,14,15,0,0,0,78,0,25,10,0,0,0,0,20,0,9,7,7,0,0,5102,3496,124,208,154,84,239,250,372,634,704,512,175,40,0,0,1606,153,185,73,141,133,185,168,89,235,126,58,16,35,9,14512,7854,1115,1151,672,383,400,516,444,549,1029,751,496,264,66,18,6658,1094,981,937,380,414,538,331,294,675,393,376,175,45,25,1012085,500851,25702,28128,29644,19004,13651,32784,27940,27368,59680,75174,75347,49989,27197,9243,511234,24468,27596,27221,17612,13800,31087,25862,26402,57905,73454,75906,54356,35559,20006,22181,13943,1211,1146,769,515,651,1369,1322,1627,2763,1370,830,193,153,24,8238,885,1030,767,392,530,746,620,510,1016,710,480,294,115,143,43.0,41.4,44.6,44.0,42.6,45.3,32.9,34.0,25.3,41.1,31.6,48.5,32.9,28.2,38.2,31.9,31.6,34.2,30.5,33.1,21.8,19.2,21.8,17.4,44.3,43.0,45.5,27.9,30.0,23.7,1079905
40,PA,42,,,,,040E1US42,Pennsylvania -- In micropolitan statistical area -- in principal city,158110,75465,4552,4508,4030,2918,4743,2879,2272,4346,4968,4411,4348,4211,4263,4758,4608,1665,2578,1369,1903,2113,1724,1153,1145,82645,3958,4278,3987,2430,5717,2590,2602,4122,5511,4283,4322,4356,4702,4879,4714,2099,3007,1814,2121,2814,2273,2394,3672,145315,68919,4128,3989,3575,2536,3797,8220,4636,4129,7938,8501,8336,5180,2833,1121,76396,3496,3896,3484,2121,4785,8386,5153,4061,7935,8885,9455,6520,4557,3662,6805,3893,144,134,273,182,572,853,196,211,406,328,404,142,29,19,2912,157,86,199,117,534,435,212,114,295,316,227,134,76,10,137,27,4,8,0,0,0,0,0,0,9,0,6,0,0,0,110,0,0,4,0,0,3,0,12,5,76,5,5,0,0,1461,589,0,9,4,24,138,232,36,27,63,8,19,12,12,5,872,7,50,11,47,101,149,60,13,180,150,59,31,14,0,51,37,0,0,0,0,0,0,0,20,0,9,8,0,0,0,14,0,7,0,0,0,0,0,0,0,0,7,0,0,0,859,396,27,5,56,17,88,50,55,3,17,57,21,0,0,0,463,38,45,5,45,96,74,0,0,55,89,16,0,0,0,3482,1604,249,363,122,159,148,142,45,21,126,118,57,51,3,0,1878,260,194,284,100,201,267,86,83,208,65,51,59,20,0,142546,67670,3875,3876,3492,2475,3737,8037,4510,4025,7824,8443,8295,5152,2808,1121,74876,3358,3732,3396,2103,4611,8144,4995,4005,7796,8758,9299,6491,4526,3662,4187,1952,339,161,104,97,218,300,164,123,174,115,104,28,25,0,2235,195,177,163,63,357,313,188,117,217,206,179,29,31,0,35.0,32.9,37.1,36.4,34.3,38.6,23.2,23.0,23.3,49.2,43.2,49.3,22.8,21.1,33.8,34.6,34.6,.,20.2,20.5,20.1,18.0,15.9,18.7,36.9,34.8,39.0,21.2,20.7,21.8,158110
40,PA,42,,,,,040E2US42,Pennsylvania -- In micropolitan statistical area -- not in principal city,921795,469384,23879,26289,27747,17549,11175,6302,5562,16543,27331,27840,27499,32135,34301,37127,36787,13796,19036,11179,14780,19603,14444,10294,8186,452411,22854,25894,25402,16324,9793,5178,4753,14149,21908,23351,23831,28308,31071,35212,35195,13554,19008,11847,15318,21528,17157,14148,16628,880322,439752,22403,24929,26634,16810,10110,25362,24003,23916,53198,67295,67474,44957,24515,8146,440570,21603,24495,24278,15699,9262,23211,21090,22662,50651,65130,66839,48089,31097,16464,20119,17270,389,181,245,321,510,2248,2220,2506,4498,2492,1337,252,68,3,2849,221,237,246,155,135,323,188,222,321,368,177,127,48,81,1374,753,12,31,34,10,32,44,151,118,114,118,56,28,5,0,621,15,6,22,9,25,44,44,17,76,137,77,119,25,5,4530,2146,112,149,165,83,120,174,241,110,232,430,152,72,87,19,2384,66,211,125,85,121,120,173,130,444,274,297,219,75,44,177,113,0,8,21,34,0,5,0,31,2,5,7,0,0,0,64,0,18,10,0,0,0,0,20,0,9,0,7,0,0,4243,3100,97,203,98,67,151,200,317,631,687,455,154,40,0,0,1143,115,140,68,96,37,111,168,89,180,37,42,16,35,9,11030,6250,866,788,550,224,252,374,399,528,903,633,439,213,63,18,4780,834,787,653,280,213,271,245,211,467,328,325,116,25,25,869539,433181,21827,24252,26152,16529,9914,24747,23430,23343,51856,66731,67052,44837,24389,8122,436358,21110,23864,23825,15509,9189,22943,20867,22397,50109,64696,66607,47865,31033,16344,17994,11991,872,985,665,418,433,1069,1158,1504,2589,1255,726,165,128,24,6003,690,853,604,329,173,433,432,393,799,504,301,265,84,143,44.1,42.6,45.7,45.0,43.8,46.2,34.5,35.0,27.8,40.2,31.5,48.0,36.2,31.1,40.2,17.7,17.2,34.2,31.8,34.2,25.3,20.5,25.6,16.1,45.2,44.1,46.4,29.7,31.5,24.1,921795
