SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,PR,72,,,,,04000US72,Puerto Rico,3583073,1713860,100365,111258,122582,78958,53469,28860,28431,73877,111447,109227,107026,111552,110583,109011,99663,40091,58370,35811,51876,66944,47045,31314,26100,1869213,94971,103136,117519,75102,51219,27363,27934,73198,115017,118763,118098,121126,125096,126601,118698,46716,71466,43503,61754,82450,62240,42720,44523,2495997,1182621,70731,76376,84023,53261,34858,87802,74591,73986,146651,148939,138108,112699,60032,20564,1313376,66928,70623,79546,51073,35480,87144,79305,80132,162971,174756,170686,139699,80720,34313,301519,148168,6511,7953,9142,6406,4576,10278,9851,9284,20079,21232,20000,14215,6610,2031,153351,6431,7350,8717,5916,4264,10273,8825,10002,20451,21963,21660,16049,8046,3404,11775,5365,392,439,389,207,333,317,383,365,681,568,650,370,204,67,6410,258,385,537,358,109,589,418,465,1048,1085,570,334,137,117,10159,2906,77,156,260,97,56,123,213,236,527,421,423,241,47,29,7253,456,506,399,386,106,479,709,502,1258,1005,608,424,208,207,129,61,0,0,7,0,0,12,0,0,0,24,18,0,0,0,68,0,0,0,0,0,11,0,0,12,12,24,9,0,0,431443,213726,11744,14590,15252,10099,8153,19500,15129,13296,29045,28884,23428,16096,6567,1943,217717,10680,12689,15908,9817,6416,16830,13953,15068,29820,30090,25287,18612,8927,3620,332051,161013,10910,11744,13509,8888,5493,13136,11280,12060,21595,19526,15497,11010,4899,1466,171038,10218,11583,12412,7552,4844,13169,11807,12594,23664,22786,18045,12580,6922,2862,24900,12581,513,660,720,337,198,882,607,919,2058,1799,1586,1356,687,259,12319,525,471,532,406,203,769,1005,622,1722,2216,1821,1367,509,151,3547288,1695860,99699,110311,121627,78423,53077,129746,110414,107915,215632,216800,195984,152895,77515,25822,1851428,94129,102477,116666,74571,50916,127244,113684,117766,236483,248461,234533,185909,104287,44302,38.7,36.7,40.5,39.6,37.3,41.6,41.4,40.3,42.4,34.6,32.6,35.9,36.1,40.4,35.3,54.4,54.5,46.9,36.1,34.7,37.3,34.0,32.3,35.5,43.1,42.2,44.5,38.6,36.7,40.5,3583073
40,PR,72,,,,,04001US72,Puerto Rico -- Urban,3375043,1608948,94240,105777,115261,74326,50174,27097,26723,69635,104842,103245,100928,104667,103305,101311,92974,37465,54377,33892,48179,62784,43735,29285,24726,1766095,89593,97778,111141,69948,48167,25863,26354,69139,109380,112952,111826,114411,117749,118817,111918,44020,67478,41086,58446,77959,59046,40761,42263,2334132,1101851,65925,72046,78320,49848,32373,82030,69641,69580,136464,137219,128316,105036,55614,19439,1232281,62565,66357,74685,47125,33088,81617,74821,75762,152775,162859,160205,131527,76432,32463,290889,142703,6254,7687,8853,6110,4496,9882,9515,8946,19315,20596,19011,13752,6345,1941,148186,6249,7118,8379,5635,4097,9966,8453,9814,19850,21132,20890,15518,7763,3322,11673,5296,392,439,389,207,310,317,366,365,681,554,646,359,204,67,6377,258,385,537,345,109,589,418,465,1048,1070,565,334,137,117,9737,2809,77,156,260,97,56,123,213,236,512,366,407,241,36,29,6928,415,482,373,334,106,444,693,490,1236,948,580,412,208,207,129,61,0,0,7,0,0,12,0,0,0,24,18,0,0,0,68,0,0,0,0,0,11,0,0,12,12,24,9,0,0,405819,200113,11022,13945,14281,9483,7628,18336,14196,12451,27555,26995,21522,14812,6069,1818,205706,10227,12014,15070,9231,6067,15794,13425,14154,28306,28309,23663,17487,8514,3445,322664,156115,10570,11504,13151,8581,5311,12755,10911,11667,21068,18862,14896,10655,4752,1432,166549,9879,11422,12097,7278,4700,12935,11570,12267,23010,22236,17489,12204,6753,2709,23964,12112,513,660,643,329,175,858,607,919,1997,1757,1492,1272,631,259,11852,507,471,532,388,189,760,914,622,1692,2165,1725,1247,489,151,3340445,1591514,93574,104830,114383,73840,49805,122078,103809,101933,202710,201864,182781,143209,72250,24448,1748931,88769,97119,110288,69468,47878,120147,108138,111955,223526,233409,221178,175852,99161,42043,38.6,36.6,40.5,39.5,37.2,41.6,41.3,40.2,42.3,34.6,32.7,35.8,36.2,40.0,35.5,54.4,54.5,46.9,36.0,34.5,37.2,33.9,32.2,35.4,42.8,41.9,44.2,38.5,36.5,40.5,3375043
40,PR,72,,,,,04043US72,Puerto Rico -- Rural,208030,104912,6125,5481,7321,4632,3295,1763,1708,4242,6605,5982,6098,6885,7278,7700,6689,2626,3993,1919,3697,4160,3310,2029,1374,103118,5378,5358,6378,5154,3052,1500,1580,4059,5637,5811,6272,6715,7347,7784,6780,2696,3988,2417,3308,4491,3194,1959,2260,161865,80770,4806,4330,5703,3413,2485,5772,4950,4406,10187,11720,9792,7663,4418,1125,81095,4363,4266,4861,3948,2392,5527,4484,4370,10196,11897,10481,8172,4288,1850,10630,5465,257,266,289,296,80,396,336,338,764,636,989,463,265,90,5165,182,232,338,281,167,307,372,188,601,831,770,531,283,82,102,69,0,0,0,0,23,0,17,0,0,14,4,11,0,0,33,0,0,0,13,0,0,0,0,0,15,5,0,0,0,422,97,0,0,0,0,0,0,0,0,15,55,16,0,11,0,325,41,24,26,52,0,35,16,12,22,57,28,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25624,13613,722,645,971,616,525,1164,933,845,1490,1889,1906,1284,498,125,12011,453,675,838,586,349,1036,528,914,1514,1781,1624,1125,413,175,9387,4898,340,240,358,307,182,381,369,393,527,664,601,355,147,34,4489,339,161,315,274,144,234,237,327,654,550,556,376,169,153,936,469,0,0,77,8,23,24,0,0,61,42,94,84,56,0,467,18,0,0,18,14,9,91,0,30,51,96,120,20,0,206843,104346,6125,5481,7244,4583,3272,7668,6605,5982,12922,14936,13203,9686,5265,1374,102497,5360,5358,6378,5103,3038,7097,5546,5811,12957,15052,13355,10057,5126,2259,40.2,39.3,40.9,40.4,39.6,41.2,43.1,42.0,44.0,25.9,25.7,51.7,35.2,48.6,24.2,.,.,.,37.9,37.4,38.6,35.9,33.6,38.5,55.1,51.0,55.2,40.2,39.3,40.9,208030
40,PR,72,,,,,040A0US72,Puerto Rico -- In metropolitan or micropolitan statistical area,3556765,1700641,99450,110339,121866,78364,53081,28664,28290,73320,110627,108453,106496,110388,109852,108097,99002,39683,57736,35539,51451,66346,46732,30947,25918,1856124,94262,102426,116659,74617,50873,27242,27688,72602,114242,117998,117394,120313,124220,125693,117777,46309,70977,43249,61292,81800,61776,42465,44250,2478912,1174402,70183,76000,83543,52848,34672,87363,74143,73512,145644,147662,137166,111761,59489,20416,1304510,66562,70074,79083,50715,35285,86591,78707,79605,162094,173417,169366,138735,80151,34125,300203,147637,6511,7902,9126,6376,4576,10193,9815,9262,19949,21177,19938,14207,6587,2018,152566,6314,7350,8648,5882,4264,10197,8800,9984,20265,21936,21552,15959,8041,3374,11698,5301,392,439,389,207,333,317,368,353,681,568,613,370,204,67,6397,258,385,537,358,109,589,418,465,1048,1085,557,334,137,117,10028,2828,77,95,247,97,56,123,209,236,527,421,423,241,47,29,7200,456,491,384,386,106,479,709,479,1258,1005,608,424,208,207,129,61,0,0,7,0,0,12,0,0,0,24,18,0,0,0,68,0,0,0,0,0,11,0,0,12,12,24,9,0,0,424017,209526,11407,14159,15045,10002,7951,19145,14812,13030,28498,28588,22767,15747,6453,1922,214491,10454,12543,15595,9740,6265,16499,13816,14876,29385,29683,24919,18309,8798,3609,331778,160886,10880,11744,13509,8834,5493,13121,11280,12060,21585,19509,15496,11010,4899,1466,170892,10218,11583,12412,7536,4844,13166,11792,12589,23645,22775,18037,12571,6906,2818,24481,12393,513,660,720,337,191,882,607,919,2043,1743,1535,1318,666,259,12088,525,471,532,406,203,760,1005,622,1722,2177,1743,1262,509,151,3521454,1682864,98784,109392,120911,77862,52696,128854,109594,107141,213953,215211,194332,151638,76856,25640,1838590,93420,101767,115806,74094,50570,126290,112909,117001,234966,246716,232799,184648,103575,44029,38.7,36.7,40.5,39.6,37.3,41.6,41.4,40.3,42.5,34.6,32.5,35.8,36.5,40.8,35.4,54.4,54.5,46.9,36.1,34.7,37.4,34.0,32.3,35.5,42.6,41.7,43.8,38.6,36.6,40.5,3556765
40,PR,72,,,,,040C0US72,Puerto Rico -- In metropolitan statistical area,3428593,1638124,95534,106526,116412,75128,51046,27450,27141,71027,106816,104479,102715,106070,105920,104217,95356,38452,55353,34327,49387,64280,45386,30064,25038,1790469,90572,98565,111798,71705,49033,26378,26565,70205,110141,113513,112819,115958,119886,121464,113890,44334,68974,41827,59132,79382,59877,41339,43112,2389124,1131722,67458,73104,79651,50524,33206,84255,71379,70506,140227,142759,132714,108295,57799,19845,1257402,63712,67037,75791,48623,33993,83718,75831,76372,155710,167242,163481,134669,77943,33280,288801,141395,6260,7619,8768,6048,4375,9798,9565,9149,19262,20062,18948,13272,6404,1865,147406,6187,7149,8363,5681,4144,9901,8470,9825,19641,21253,20731,15213,7651,3197,11604,5250,392,439,389,207,333,304,368,353,665,568,591,370,204,67,6354,258,385,537,338,109,589,418,465,1039,1076,557,329,137,117,9889,2766,77,95,247,97,56,123,209,226,509,421,423,207,47,29,7123,456,491,384,386,106,464,705,479,1258,1005,550,424,208,207,129,61,0,0,7,0,0,12,0,0,0,24,18,0,0,0,68,0,0,0,0,0,11,0,0,12,12,24,9,0,0,399613,197271,10498,13622,13939,9558,7614,18102,14031,12253,26789,26890,21111,14970,6123,1771,202342,9783,11933,14412,9161,5837,15422,12958,13950,27572,28079,23961,17322,8453,3499,329433,159659,10849,11647,13411,8694,5462,13024,11264,11992,21333,19413,15356,10880,4873,1461,169774,10176,11570,12311,7516,4844,13043,11759,12422,23545,22683,17894,12375,6824,2812,24207,12295,513,650,720,308,175,882,598,919,2043,1743,1509,1318,666,251,11912,525,467,527,406,176,760,1005,582,1722,2150,1717,1240,492,143,3393696,1620519,94868,105589,115457,74663,50677,124217,105792,103167,205872,207399,187098,146325,74627,24768,1773177,89730,97910,110950,71182,48757,121906,108808,112556,226036,238180,225018,178670,100574,42900,38.7,36.7,40.6,39.7,37.4,41.7,41.1,40.0,42.3,34.5,32.3,35.8,36.3,40.6,35.4,54.4,54.5,46.9,36.2,34.6,37.6,33.9,32.3,35.5,42.6,41.8,43.8,38.7,36.7,40.6,3428593
40,PR,72,,,,,040C1US72,Puerto Rico -- In metropolitan statistical area -- in principal city,956903,441269,26304,28355,29730,19425,14283,7839,7972,20012,29384,28214,27279,26043,27505,27415,24509,10763,15021,9041,13558,17191,13356,9795,8275,515634,25480,26569,28765,19022,14514,7792,7878,20312,31989,31956,30862,30672,32602,33684,32734,13659,19986,12155,17809,25006,20954,14861,16373,665002,303880,18245,19423,19968,13106,9186,22932,19357,18694,35798,37680,35628,29243,18037,6583,361122,17549,17915,19215,12830,9720,23940,21830,20997,41326,45869,47589,41413,28113,12816,110192,51190,2409,2864,3499,2063,1573,3740,3662,3407,6915,7313,6585,4293,2167,700,59002,2498,3003,3212,2147,1764,3856,3349,4387,7344,8206,8319,6134,3249,1534,6277,2844,297,243,187,141,161,146,246,263,400,236,293,140,63,28,3433,119,189,346,152,81,407,240,214,533,579,234,167,69,103,4513,1379,56,42,84,87,24,77,91,92,288,188,228,106,0,16,3134,290,174,160,186,74,209,278,210,621,351,298,164,82,37,30,30,0,0,0,0,0,12,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95846,46807,2933,3213,3303,2155,2335,5658,3532,2952,5413,5589,4243,3327,1594,560,49039,2630,2763,3405,2173,1681,4020,3321,3345,6604,5764,5712,4131,2303,1187,75043,35139,2364,2570,2689,1873,1004,3258,2496,2806,4508,3914,3298,2681,1290,388,39904,2394,2525,2427,1534,1194,3550,2971,2803,5106,5517,4227,2961,1999,696,8906,4537,56,128,241,78,47,260,225,284,752,618,659,678,360,151,4369,227,200,111,52,73,250,320,295,656,785,547,545,211,97,944269,434750,26184,28163,29405,19279,14211,35393,29012,27738,52244,53913,49430,38970,22696,8112,509519,25216,26308,28584,18938,14423,35619,31509,31559,60583,65169,65625,54208,35518,16260,39.5,36.6,42.0,41.1,37.8,43.9,40.4,38.3,42.1,32.0,30.0,34.4,36.2,40.9,34.5,.,.,.,33.8,30.4,36.6,34.2,32.3,35.8,47.4,49.8,45.0,39.4,36.4,42.0,956903
40,PR,72,,,,,040C2US72,Puerto Rico -- In metropolitan statistical area -- not in principal city,2471690,1196855,69230,78171,86682,55703,36763,19611,19169,51015,77432,76265,75436,80027,78415,76802,70847,27689,40332,25286,35829,47089,32030,20269,16763,1274835,65092,71996,83033,52683,34519,18586,18687,49893,78152,81557,81957,85286,87284,87780,81156,30675,48988,29672,41323,54376,38923,26478,26739,1724122,827842,49213,53681,59683,37418,24020,61323,52022,51812,104429,105079,97086,79052,39762,13262,896280,46163,49122,56576,35793,24273,59778,54001,55375,114384,121373,115892,93256,49830,20464,178609,90205,3851,4755,5269,3985,2802,6058,5903,5742,12347,12749,12363,8979,4237,1165,88404,3689,4146,5151,3534,2380,6045,5121,5438,12297,13047,12412,9079,4402,1663,5327,2406,95,196,202,66,172,158,122,90,265,332,298,230,141,39,2921,139,196,191,186,28,182,178,251,506,497,323,162,68,14,5376,1387,21,53,163,10,32,46,118,134,221,233,195,101,47,13,3989,166,317,224,200,32,255,427,269,637,654,252,260,126,170,99,31,0,0,7,0,0,0,0,0,0,24,0,0,0,0,68,0,0,0,0,0,11,0,0,12,12,24,9,0,0,303767,150464,7565,10409,10636,7403,5279,12444,10499,9301,21376,21301,16868,11643,4529,1211,153303,7153,9170,11007,6988,4156,11402,9637,10605,20968,22315,18249,13191,6150,2312,254390,124520,8485,9077,10722,6821,4458,9766,8768,9186,16825,15499,12058,8199,3583,1073,129870,7782,9045,9884,5982,3650,9493,8788,9619,18439,17166,13667,9414,4825,2116,15301,7758,457,522,479,230,128,622,373,635,1291,1125,850,640,306,100,7543,298,267,416,354,103,510,685,287,1066,1365,1170,695,281,46,2449427,1185769,68684,77426,86052,55384,36466,88824,76780,75429,153628,153486,137668,107355,51931,16656,1263658,64514,71602,82366,52244,34334,86287,77299,80997,165453,173011,159393,124462,65056,26640,38.5,36.8,40.1,39.2,37.3,40.9,41.6,40.8,42.4,38.2,39.9,37.4,36.4,40.0,35.6,54.3,.,46.9,36.9,35.8,38.0,33.9,32.2,35.3,40.1,38.3,42.8,38.5,36.8,40.1,2471690
40,PR,72,,,,,040E0US72,Puerto Rico -- In micropolitan statistical area,128172,62517,3916,3813,5454,3236,2035,1214,1149,2293,3811,3974,3781,4318,3932,3880,3646,1231,2383,1212,2064,2066,1346,883,880,65655,3690,3861,4861,2912,1840,864,1123,2397,4101,4485,4575,4355,4334,4229,3887,1975,2003,1422,2160,2418,1899,1126,1138,89788,42680,2725,2896,3892,2324,1466,3108,2764,3006,5417,4903,4452,3466,1690,571,47108,2850,3037,3292,2092,1292,2873,2876,3233,6384,6175,5885,4066,2208,845,11402,6242,251,283,358,328,201,395,250,113,687,1115,990,935,183,153,5160,127,201,285,201,120,296,330,159,624,683,821,746,390,177,94,51,0,0,0,0,0,13,0,0,16,0,22,0,0,0,43,0,0,0,20,0,0,0,0,9,9,0,5,0,0,139,62,0,0,0,0,0,0,0,10,18,0,0,34,0,0,77,0,0,0,0,0,15,4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24404,12255,909,537,1106,444,337,1043,781,777,1709,1698,1656,777,330,151,12149,671,610,1183,579,428,1077,858,926,1813,1604,958,987,345,110,2345,1227,31,97,98,140,31,97,16,68,252,96,140,130,26,5,1118,42,13,101,20,0,123,33,167,100,92,143,196,82,6,274,98,0,10,0,29,16,0,9,0,0,0,26,0,0,8,176,0,4,5,0,27,0,0,40,0,27,26,22,17,8,127758,62345,3916,3803,5454,3199,2019,4637,3802,3974,8081,7812,7234,5313,2229,872,65413,3690,3857,4856,2912,1813,4384,4101,4445,8930,8536,7781,5978,3001,1129,36.7,35.4,37.9,35.8,33.7,38.0,46.7,46.6,46.8,41.3,41.8,37.2,58.0,66.1,57.8,.,.,.,34.8,36.7,33.6,39.2,38.4,42.8,33.9,19.6,54.4,36.7,35.4,37.8,128172
40,PR,72,,,,,040E1US72,Puerto Rico -- In micropolitan statistical area -- in principal city,31057,15027,966,906,1292,982,604,360,284,548,821,849,805,911,847,1007,768,216,567,302,620,569,434,184,185,16030,955,954,1186,862,425,245,292,511,853,1143,1321,1003,940,881,791,523,526,251,603,673,505,320,267,20908,9866,664,658,997,741,412,583,508,629,961,1146,923,1002,514,128,11042,650,804,736,607,196,646,542,837,1524,1181,1353,1078,682,206,3411,1781,120,101,87,16,109,180,37,25,251,286,214,283,32,40,1630,55,74,38,101,42,142,110,41,261,161,307,227,53,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6070,2985,182,94,190,185,83,398,276,149,436,357,372,180,66,17,3085,250,76,373,147,187,207,168,254,512,457,168,184,65,37,663,395,0,53,18,40,0,31,0,46,68,65,42,26,6,0,268,0,0,39,7,0,53,33,11,27,22,12,33,25,6,10,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,8,0,31047,15025,966,906,1292,982,604,1192,821,849,1716,1854,1549,1491,618,185,16022,955,954,1186,862,425,1048,853,1143,2324,1821,1840,1527,817,267,35.7,34.0,36.8,35.7,31.9,37.8,43.2,43.6,42.9,.,.,.,.,.,.,.,.,.,32.7,33.1,32.4,35.0,35.7,33.2,77.4,.,.,35.7,34.0,36.8,31057
40,PR,72,,,,,040E2US72,Puerto Rico -- In micropolitan statistical area -- not in principal city,97115,47490,2950,2907,4162,2254,1431,854,865,1745,2990,3125,2976,3407,3085,2873,2878,1015,1816,910,1444,1497,912,699,695,49625,2735,2907,3675,2050,1415,619,831,1886,3248,3342,3254,3352,3394,3348,3096,1452,1477,1171,1557,1745,1394,806,871,68880,32814,2061,2238,2895,1583,1054,2525,2256,2377,4456,3757,3529,2464,1176,443,36066,2200,2233,2556,1485,1096,2227,2334,2396,4860,4994,4532,2988,1526,639,7991,4461,131,182,271,312,92,215,213,88,436,829,776,652,151,113,3530,72,127,247,100,78,154,220,118,363,522,514,519,337,159,89,51,0,0,0,0,0,13,0,0,16,0,22,0,0,0,38,0,0,0,20,0,0,0,0,9,9,0,0,0,0,139,62,0,0,0,0,0,0,0,10,18,0,0,34,0,0,77,0,0,0,0,0,15,4,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18334,9270,727,443,916,259,254,645,505,628,1273,1341,1284,597,264,134,9064,421,534,810,432,241,870,690,672,1301,1147,790,803,280,73,1682,832,31,44,80,100,31,66,16,22,184,31,98,104,20,5,850,42,13,62,13,0,70,0,156,73,70,131,163,57,0,264,96,0,10,0,29,16,0,9,0,0,0,24,0,0,8,168,0,4,5,0,27,0,0,40,0,27,26,22,9,8,96711,47320,2950,2897,4162,2217,1415,3445,2981,3125,6365,5958,5685,3822,1611,687,49391,2735,2903,3670,2050,1388,3336,3248,3302,6606,6715,5941,4451,2184,862,37.0,35.7,38.2,35.9,33.9,38.1,48.4,47.9,50.1,41.2,41.8,17.0,58.0,66.1,57.8,.,.,.,35.7,37.6,34.1,39.7,39.2,44.6,33.8,19.6,54.3,37.0,35.7,38.2,97115
