SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,RI,44,,,,,04000US44,Rhode Island,1053661,510388,28289,30462,31383,20093,17574,9211,8591,23397,35958,32410,30325,32542,36151,38419,36706,12277,18072,10964,12498,16385,10978,9224,8479,543273,26941,27878,30724,19249,18660,9475,9735,21358,34710,32567,31145,34087,38462,41642,39127,14671,19081,11596,14715,19335,14833,13439,19843,854859,411436,19521,21636,22668,15453,13214,31565,26852,24279,49717,63774,59532,36569,18645,8011,443423,19381,20572,22072,14104,14064,30724,26283,24860,51582,68213,64706,42023,25983,18856,68243,34057,2911,3045,2860,1515,1459,3141,2925,2636,4503,4013,3042,1250,526,231,34186,2583,2609,2680,1566,1561,2926,2850,2900,4467,4203,3230,1402,930,279,5106,2443,73,179,227,68,119,100,210,315,286,373,298,145,44,6,2663,244,163,222,112,90,209,128,122,452,295,261,159,161,45,34213,15879,1055,1019,1013,615,827,1740,1683,1603,2290,1806,1223,611,359,35,18334,1056,812,1314,644,1096,2334,2016,1758,2607,1967,1365,795,369,201,373,224,0,41,35,0,0,89,0,14,0,0,25,0,0,20,149,0,0,0,0,14,36,0,0,79,0,0,20,0,0,61085,30781,2590,2436,2705,1391,1182,2967,2915,2821,4731,3605,2228,777,343,90,30304,1879,2175,2862,1807,1071,2779,2491,2422,4608,4122,2337,834,630,287,29782,15568,2139,2106,1875,1051,773,1597,1373,742,1340,999,707,495,285,86,14214,1798,1547,1574,1016,764,1560,942,505,1437,1304,980,413,199,175,785245,377730,15996,18640,19565,13235,11776,27784,24055,22002,44984,60373,57685,35459,18222,7954,407515,15308,17393,19022,12506,12524,26973,23615,22249,46704,64344,62253,40562,25439,18623,143788,71570,7235,6786,6726,4164,3005,7319,6411,5662,10027,7197,4194,1923,756,165,72218,7056,6063,6639,3693,3105,6880,5866,5539,10205,8263,5032,2327,1140,410,39.7,37.9,41.3,43.1,41.3,44.7,29.5,28.4,30.4,34.8,34.3,36.7,29.8,30.0,29.7,22.0,20.6,38.4,29.2,28.4,30.2,20.4,19.6,21.0,44.8,43.2,46.3,26.1,25.4,27.4,1053661
40,RI,44,,,,,04001US44,Rhode Island -- Urban,955468,460830,26194,28008,27952,17991,16406,8485,8031,21682,33549,30489,28171,29151,31908,33213,32202,10761,15761,9435,10682,14276,10032,8577,7874,494638,25350,25483,27605,17284,17676,8928,8957,19672,33064,30436,28988,30650,33726,36765,34898,12899,16746,9940,13375,17588,13497,12605,18506,761040,364444,17596,19400,19672,13499,12147,28760,24521,22494,44645,54519,51461,31217,17104,7409,396596,17894,18371,19156,12290,13109,27835,24675,22846,46268,58891,56558,37333,23825,17545,67164,33317,2892,3043,2704,1490,1430,3121,2897,2606,4328,3958,2878,1230,509,231,33847,2577,2557,2659,1519,1561,2923,2839,2885,4409,4143,3180,1389,930,276,4724,2295,68,176,224,68,119,100,197,315,264,312,288,125,33,6,2429,242,69,222,112,90,177,128,119,417,289,236,136,159,33,33239,15407,1032,965,977,596,810,1653,1679,1597,2176,1756,1185,611,335,35,17832,1030,812,1217,611,1096,2334,1994,1726,2471,1827,1365,789,359,201,358,224,0,41,35,0,0,89,0,14,0,0,25,0,0,20,134,0,0,0,0,14,21,0,0,79,0,0,20,0,0,60676,30514,2538,2436,2698,1368,1157,2966,2901,2788,4643,3604,2213,769,343,90,30162,1879,2175,2846,1807,1042,2767,2488,2392,4594,4112,2315,828,630,287,28267,14629,2068,1947,1642,970,743,1509,1354,675,1266,972,674,441,285,83,13638,1728,1499,1505,945,764,1500,940,468,1400,1229,889,408,199,164,692347,331315,14084,16478,16580,11302,10714,25013,21766,20224,40037,51189,49731,30152,16693,7352,361032,13843,15224,16137,10701,11569,24114,22078,20241,41423,55103,54121,35876,23290,17312,142418,70667,7137,6712,6697,4120,2975,7283,6355,5619,9814,7111,4065,1870,744,165,71751,7034,6031,6592,3684,3076,6831,5795,5503,10158,8182,5001,2323,1131,410,38.9,37.0,40.6,42.4,40.5,44.2,29.4,28.3,30.4,34.5,33.8,38.5,29.7,30.0,29.5,21.7,20.6,38.6,29.2,28.3,30.1,20.5,19.9,21.0,44.4,42.5,46.0,26.1,25.3,27.4,955468
40,RI,44,,,,,04043US44,Rhode Island -- Rural,98193,49558,2095,2454,3431,2102,1168,726,560,1715,2409,1921,2154,3391,4243,5206,4504,1516,2311,1529,1816,2109,946,647,605,48635,1591,2395,3119,1965,984,547,778,1686,1646,2131,2157,3437,4736,4877,4229,1772,2335,1656,1340,1747,1336,834,1337,93819,46992,1925,2236,2996,1954,1067,2805,2331,1785,5072,9255,8071,5352,1541,602,46827,1487,2201,2916,1814,955,2889,1608,2014,5314,9322,8148,4690,2158,1311,1079,740,19,2,156,25,29,20,28,30,175,55,164,20,17,0,339,6,52,21,47,0,3,11,15,58,60,50,13,0,3,382,148,5,3,3,0,0,0,13,0,22,61,10,20,11,0,234,2,94,0,0,0,32,0,3,35,6,25,23,2,12,974,472,23,54,36,19,17,87,4,6,114,50,38,0,24,0,502,26,0,97,33,0,0,22,32,136,140,0,6,10,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,15,0,0,0,0,0,0,0,0,409,267,52,0,7,23,25,1,14,33,88,1,15,8,0,0,142,0,0,16,0,29,12,3,30,14,10,22,6,0,0,1515,939,71,159,233,81,30,88,19,67,74,27,33,54,0,3,576,70,48,69,71,0,60,2,37,37,75,91,5,0,11,92898,46415,1912,2162,2985,1933,1062,2771,2289,1778,4947,9184,7954,5307,1529,602,46483,1465,2169,2885,1805,955,2859,1537,2008,5281,9241,8132,4686,2149,1311,1370,903,98,74,29,44,30,36,56,43,213,86,129,53,12,0,467,22,32,47,9,29,49,71,36,47,81,31,4,9,0,46.8,45.9,47.5,47.4,46.9,48.0,38.0,37.9,44.1,37.2,50.8,21.7,38.3,24.5,38.4,.,.,.,34.3,34.3,34.4,16.5,15.1,21.4,47.5,46.9,48.0,34.7,36.6,28.3,98193
40,RI,44,,,,,040A0US44,Rhode Island -- In metropolitan or micropolitan statistical area,1053661,510388,28289,30462,31383,20093,17574,9211,8591,23397,35958,32410,30325,32542,36151,38419,36706,12277,18072,10964,12498,16385,10978,9224,8479,543273,26941,27878,30724,19249,18660,9475,9735,21358,34710,32567,31145,34087,38462,41642,39127,14671,19081,11596,14715,19335,14833,13439,19843,854859,411436,19521,21636,22668,15453,13214,31565,26852,24279,49717,63774,59532,36569,18645,8011,443423,19381,20572,22072,14104,14064,30724,26283,24860,51582,68213,64706,42023,25983,18856,68243,34057,2911,3045,2860,1515,1459,3141,2925,2636,4503,4013,3042,1250,526,231,34186,2583,2609,2680,1566,1561,2926,2850,2900,4467,4203,3230,1402,930,279,5106,2443,73,179,227,68,119,100,210,315,286,373,298,145,44,6,2663,244,163,222,112,90,209,128,122,452,295,261,159,161,45,34213,15879,1055,1019,1013,615,827,1740,1683,1603,2290,1806,1223,611,359,35,18334,1056,812,1314,644,1096,2334,2016,1758,2607,1967,1365,795,369,201,373,224,0,41,35,0,0,89,0,14,0,0,25,0,0,20,149,0,0,0,0,14,36,0,0,79,0,0,20,0,0,61085,30781,2590,2436,2705,1391,1182,2967,2915,2821,4731,3605,2228,777,343,90,30304,1879,2175,2862,1807,1071,2779,2491,2422,4608,4122,2337,834,630,287,29782,15568,2139,2106,1875,1051,773,1597,1373,742,1340,999,707,495,285,86,14214,1798,1547,1574,1016,764,1560,942,505,1437,1304,980,413,199,175,785245,377730,15996,18640,19565,13235,11776,27784,24055,22002,44984,60373,57685,35459,18222,7954,407515,15308,17393,19022,12506,12524,26973,23615,22249,46704,64344,62253,40562,25439,18623,143788,71570,7235,6786,6726,4164,3005,7319,6411,5662,10027,7197,4194,1923,756,165,72218,7056,6063,6639,3693,3105,6880,5866,5539,10205,8263,5032,2327,1140,410,39.7,37.9,41.3,43.1,41.3,44.7,29.5,28.4,30.4,34.8,34.3,36.7,29.8,30.0,29.7,22.0,20.6,38.4,29.2,28.4,30.2,20.4,19.6,21.0,44.8,43.2,46.3,26.1,25.4,27.4,1053661
40,RI,44,,,,,040C0US44,Rhode Island -- In metropolitan statistical area,1053661,510388,28289,30462,31383,20093,17574,9211,8591,23397,35958,32410,30325,32542,36151,38419,36706,12277,18072,10964,12498,16385,10978,9224,8479,543273,26941,27878,30724,19249,18660,9475,9735,21358,34710,32567,31145,34087,38462,41642,39127,14671,19081,11596,14715,19335,14833,13439,19843,854859,411436,19521,21636,22668,15453,13214,31565,26852,24279,49717,63774,59532,36569,18645,8011,443423,19381,20572,22072,14104,14064,30724,26283,24860,51582,68213,64706,42023,25983,18856,68243,34057,2911,3045,2860,1515,1459,3141,2925,2636,4503,4013,3042,1250,526,231,34186,2583,2609,2680,1566,1561,2926,2850,2900,4467,4203,3230,1402,930,279,5106,2443,73,179,227,68,119,100,210,315,286,373,298,145,44,6,2663,244,163,222,112,90,209,128,122,452,295,261,159,161,45,34213,15879,1055,1019,1013,615,827,1740,1683,1603,2290,1806,1223,611,359,35,18334,1056,812,1314,644,1096,2334,2016,1758,2607,1967,1365,795,369,201,373,224,0,41,35,0,0,89,0,14,0,0,25,0,0,20,149,0,0,0,0,14,36,0,0,79,0,0,20,0,0,61085,30781,2590,2436,2705,1391,1182,2967,2915,2821,4731,3605,2228,777,343,90,30304,1879,2175,2862,1807,1071,2779,2491,2422,4608,4122,2337,834,630,287,29782,15568,2139,2106,1875,1051,773,1597,1373,742,1340,999,707,495,285,86,14214,1798,1547,1574,1016,764,1560,942,505,1437,1304,980,413,199,175,785245,377730,15996,18640,19565,13235,11776,27784,24055,22002,44984,60373,57685,35459,18222,7954,407515,15308,17393,19022,12506,12524,26973,23615,22249,46704,64344,62253,40562,25439,18623,143788,71570,7235,6786,6726,4164,3005,7319,6411,5662,10027,7197,4194,1923,756,165,72218,7056,6063,6639,3693,3105,6880,5866,5539,10205,8263,5032,2327,1140,410,39.7,37.9,41.3,43.1,41.3,44.7,29.5,28.4,30.4,34.8,34.3,36.7,29.8,30.0,29.7,22.0,20.6,38.4,29.2,28.4,30.2,20.4,19.6,21.0,44.8,43.2,46.3,26.1,25.4,27.4,1053661
40,RI,44,,,,,040C1US44,Rhode Island -- In metropolitan statistical area -- in principal city,260535,125915,7884,7739,7414,5092,5757,3389,2889,6946,11079,9382,8254,7881,7902,7654,7431,2361,3653,2215,2230,3167,2095,1600,1901,134620,7441,7215,7780,5079,6380,3769,3053,7149,11184,9663,8050,7864,7401,9340,8029,2888,3793,2211,3121,3710,3171,2596,3733,166498,80141,3928,3622,3731,2925,3591,8157,6934,5637,10043,10682,10177,6087,2924,1703,86357,4032,3879,3934,2744,4113,8537,6627,5755,9665,11176,10798,7264,4392,3441,30278,15049,1421,1495,1021,467,614,1848,1192,1148,1828,1650,1292,661,330,82,15229,1053,1146,1052,573,644,1490,1357,1337,1768,1805,1532,749,636,87,2286,985,20,84,134,31,57,52,83,214,168,45,60,11,26,0,1301,153,46,119,35,55,150,33,92,142,113,157,75,125,6,14198,6532,389,399,306,235,363,1021,838,684,865,594,458,248,132,0,7666,495,253,379,256,666,1503,948,696,777,726,469,308,162,28,189,89,0,0,15,0,0,74,0,0,0,0,0,0,0,0,100,0,0,0,0,14,21,0,0,65,0,0,0,0,0,38325,18764,1527,1726,1740,1031,839,1637,1686,1530,2808,2185,1314,460,221,60,19561,1236,1589,1855,1182,587,1743,1769,1651,3062,2392,1424,514,412,145,8761,4355,599,413,467,403,293,435,346,169,423,400,144,145,62,56,4406,472,302,441,289,301,527,450,132,435,529,330,132,40,26,137280,66661,2617,2547,2658,1919,2850,6432,5681,4764,8248,9389,9430,5643,2800,1683,70619,2488,2615,2447,2053,3311,6791,5288,4638,7578,9560,9646,6728,4124,3352,75892,36931,3564,3566,3171,2224,1824,3821,3424,2791,5086,3690,2278,1029,349,114,38961,3190,3200,3723,2109,1650,3747,3465,3038,5469,4330,2903,1214,685,238,33.3,32.2,34.4,37.6,36.4,38.9,29.5,27.5,30.9,31.7,31.9,31.6,27.4,27.9,26.6,21.0,20.5,38.5,28.4,27.5,29.3,21.8,20.0,23.8,41.3,39.7,42.7,26.3,25.4,27.7,260535
40,RI,44,,,,,040C2US44,Rhode Island -- In metropolitan statistical area -- not in principal city,793126,384473,20405,22723,23969,15001,11817,5822,5702,16451,24879,23028,22071,24661,28249,30765,29275,9916,14419,8749,10268,13218,8883,7624,6578,408653,19500,20663,22944,14170,12280,5706,6682,14209,23526,22904,23095,26223,31061,32302,31098,11783,15288,9385,11594,15625,11662,10843,16110,688361,331295,15593,18014,18937,12528,9623,23408,19918,18642,39674,53092,49355,30482,15721,6308,357066,15349,16693,18138,11360,9951,22187,19656,19105,41917,57037,53908,34759,21591,15415,37965,19008,1490,1550,1839,1048,845,1293,1733,1488,2675,2363,1750,589,196,149,18957,1530,1463,1628,993,917,1436,1493,1563,2699,2398,1698,653,294,192,2820,1458,53,95,93,37,62,48,127,101,118,328,238,134,18,6,1362,91,117,103,77,35,59,95,30,310,182,104,84,36,39,20015,9347,666,620,707,380,464,719,845,919,1425,1212,765,363,227,35,10668,561,559,935,388,430,831,1068,1062,1830,1241,896,487,207,173,184,135,0,41,20,0,0,15,0,14,0,0,25,0,0,20,49,0,0,0,0,0,15,0,0,14,0,0,20,0,0,22760,12017,1063,710,965,360,343,1330,1229,1291,1923,1420,914,317,122,30,10743,643,586,1007,625,484,1036,722,771,1546,1730,913,320,218,142,21021,11213,1540,1693,1408,648,480,1162,1027,573,917,599,563,350,223,30,9808,1326,1245,1133,727,463,1033,492,373,1002,775,650,281,159,149,647965,311069,13379,16093,16907,11316,8926,21352,18374,17238,36736,50984,48255,29816,15422,6271,336896,12820,14778,16575,10453,9213,20182,18327,17611,39126,54784,52607,33834,21315,15271,67896,34639,3671,3220,3555,1940,1181,3498,2987,2871,4941,3507,1916,894,407,51,33257,3866,2863,2916,1584,1455,3133,2401,2501,4736,3933,2129,1113,455,172,41.9,40.1,43.7,44.3,42.5,45.8,29.5,28.8,30.0,40.3,43.6,39.5,31.9,31.4,32.2,31.1,23.3,36.7,30.7,30.0,31.7,19.7,19.3,20.0,45.5,43.9,46.9,25.9,25.4,27.0,793126
50,RI,44,001,,,,05000US44001,"Bristol County, Rhode Island",49176,23646,1020,1549,1410,993,1001,567,417,783,1340,1070,1202,1340,1689,1911,2039,608,777,643,577,870,673,618,549,25530,948,1466,1411,936,1031,424,468,784,1191,1113,1193,1649,1879,2226,2222,628,848,691,730,1004,944,758,986,46863,22527,961,1397,1245,908,920,1710,1230,1016,2410,3516,3368,2075,1251,520,24336,904,1378,1286,865,892,1560,1128,1065,2700,3969,3608,2341,1676,964,622,377,12,24,47,24,28,1,84,25,30,21,37,15,0,29,245,0,37,6,38,34,1,14,17,2,21,46,15,0,14,13,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,806,315,4,29,54,34,41,9,0,2,49,57,11,0,25,0,491,0,19,45,25,76,72,4,20,111,52,9,24,26,8,12,12,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,71,0,0,0,1,1,25,10,27,1,5,1,0,0,0,51,0,0,6,0,0,0,45,0,0,0,0,0,0,0,738,331,43,86,64,26,11,10,16,0,52,1,7,0,15,0,407,44,32,68,8,29,43,0,11,29,63,35,45,0,0,45959,22064,935,1299,1235,870,880,1705,1171,1002,2362,3464,3368,2061,1200,512,23895,852,1295,1267,865,881,1523,1113,1004,2616,3930,3576,2341,1668,964,1164,589,26,111,23,46,42,29,69,43,64,62,1,14,51,8,575,52,83,37,8,21,76,74,61,84,39,32,0,8,0,43.9,41.9,45.5,44.8,43.1,46.3,29.1,29.3,27.5,.,.,.,24.8,19.4,32.4,.,.,.,29.4,26.9,.,17.8,13.5,22.4,45.2,43.4,46.6,26.3,26.2,26.7,49176
50,RI,44,003,,,,05000US44003,"Kent County, Rhode Island",164958,79650,4231,4660,4811,3079,1656,907,726,3124,5129,4994,5054,5329,5947,6739,6471,2000,3094,1929,2084,2845,1807,1380,1654,85308,3830,4296,4569,2965,1577,929,866,2641,4902,5205,4698,5881,6524,7389,6651,2682,3426,2060,2601,3348,2457,2279,3532,152660,73309,3567,4130,4096,2920,1499,4423,4495,4428,9417,11940,11114,6605,3062,1613,79351,3376,3806,3982,2660,1475,4033,4523,4587,9735,13039,12262,7797,4591,3485,2308,1295,42,56,67,1,40,95,166,95,275,177,180,76,6,19,1013,17,48,42,1,0,53,32,231,68,273,166,27,46,9,211,104,0,0,0,0,0,0,0,26,0,41,17,0,20,0,107,0,18,0,0,0,0,0,0,21,9,0,49,10,0,3971,1839,162,135,103,32,35,120,119,212,388,255,153,55,70,0,2132,155,137,194,96,9,106,187,233,349,311,170,86,61,38,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2375,1267,125,87,177,1,26,27,164,220,254,124,25,23,14,0,1108,102,131,19,52,74,69,107,89,229,123,55,30,28,0,3424,1827,335,252,368,125,56,92,185,13,49,149,67,99,15,22,1597,180,156,332,156,19,175,53,65,177,158,106,20,0,0,148775,71403,3382,4062,3822,2716,1490,4091,4385,4366,9087,11825,10977,6537,3062,1601,77372,3136,3616,3753,2572,1370,3890,4405,4428,9459,12884,12120,7747,4543,3449,6549,3344,352,194,506,234,56,360,283,292,582,192,179,82,20,12,3205,340,358,259,142,190,181,247,263,563,264,211,88,63,36,43.5,41.4,45.2,44.6,42.6,46.2,37.7,37.1,47.4,54.8,54.6,65.3,33.9,35.0,33.6,.,.,.,30.2,30.2,30.0,15.6,14.5,16.9,45.2,43.2,46.8,25.5,24.3,27.7,164958
50,RI,44,005,,,,05000US44005,"Newport County, Rhode Island",82663,40559,1724,2286,2352,1522,1200,601,599,1621,2691,2282,2419,2554,2787,3159,3178,1184,1548,1005,1426,1698,1100,949,674,42104,1892,1993,2223,1497,1317,493,653,1536,2221,2187,2202,2522,3055,3309,3397,1470,1552,1147,1502,1807,1268,1063,1798,74070,36035,1409,1922,1964,1314,1011,2360,2324,1897,4250,5548,5565,3895,1946,630,38035,1519,1658,1865,1229,1078,2344,2000,1935,4200,5872,6107,4286,2205,1737,2907,1524,89,134,74,78,59,77,163,150,271,169,97,87,32,44,1383,87,107,98,93,91,85,92,123,171,149,95,84,56,52,166,127,0,19,0,0,17,0,0,0,0,20,18,53,0,0,39,0,0,0,0,0,0,0,0,0,20,19,0,0,0,1438,750,13,73,41,58,22,58,75,132,76,52,46,79,25,0,688,0,0,11,33,83,48,42,23,192,82,78,43,53,0,13,13,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1250,640,34,0,15,0,10,131,67,68,148,65,93,9,0,0,610,38,31,57,39,15,79,40,39,87,138,34,13,0,0,2819,1470,179,138,245,72,81,195,62,35,228,92,91,6,46,0,1349,248,197,192,103,50,126,47,67,74,103,86,30,17,9,71438,34731,1298,1805,1754,1223,937,2209,2133,1828,4108,5445,5535,3880,1946,630,36707,1352,1475,1771,1169,1048,2123,1936,1818,4086,5746,6028,4230,2188,1737,4261,2184,152,173,249,124,93,281,253,139,390,178,114,28,10,0,2077,296,233,141,140,76,302,101,174,214,222,91,70,17,0,43.9,42.0,45.6,45.7,44.2,47.2,33.4,33.4,33.3,56.7,59.8,54.0,36.2,31.9,41.0,.,.,.,32.4,34.2,30.3,18.7,20.3,15.8,46.6,45.1,48.0,24.3,25.2,23.3,82663
