SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,SC,45,,,,,04000US45,South Carolina,4777576,2322409,148363,156323,153051,92781,70293,40957,39214,99237,156273,148237,139949,151524,153110,161003,150770,57509,83759,51572,69046,85197,55278,33979,24984,2455167,144218,150943,148064,88090,65099,35818,35940,99178,156982,153197,146281,157192,163562,173752,169238,65141,95749,59552,77602,97581,69067,50585,52336,3210708,1578216,88043,92705,94252,57238,43285,111461,101448,98351,200411,222022,212561,162804,72814,20821,1632492,84884,90289,89213,53712,39113,104046,100417,97875,199284,228157,233044,178595,92643,41220,1315058,615598,45213,49135,47074,29561,22169,55890,43472,40010,73593,80097,71436,38996,15061,3891,699460,45005,46613,47039,28723,21531,57516,47851,46194,87693,96509,88008,50909,25260,10609,14966,7451,445,497,608,361,163,677,672,582,705,1134,881,449,227,50,7515,300,502,606,405,299,389,366,501,1136,1073,1053,640,187,58,66982,31319,1951,2226,1872,1117,1051,3221,2603,2722,5246,4129,2813,1776,483,109,35663,1769,2320,2087,1138,1206,2429,2543,3232,6079,5082,4074,2563,956,185,2588,1216,39,213,131,16,47,174,115,87,230,97,6,49,12,0,1372,111,377,43,84,42,75,155,80,252,47,37,65,0,4,73324,42243,3785,3422,3441,1702,1286,4067,5368,4421,7773,3965,2145,692,176,0,31081,3717,3508,3083,1336,780,2660,3048,3148,4818,2894,1401,462,177,49,93950,46366,8887,8125,5673,2786,2292,3918,2595,2064,3515,2669,2196,1049,484,113,47584,8432,7334,5993,2692,2128,3821,2602,2167,4211,3552,2511,1501,429,211,3051116,1493816,79253,84162,87473,53831,39806,103483,93917,89248,186702,213831,208532,160956,72020,20602,1557300,75777,81240,82768,50191,36499,98139,94412,91178,188629,220904,228813,176423,91369,40958,254092,137652,14571,13991,11557,5604,5381,12621,13773,14030,22605,12835,6680,2804,975,225,116440,14544,14031,10789,5203,3952,9177,9659,10417,16752,11036,6021,3021,1514,324,38.6,37.0,40.1,41.7,40.3,43.0,34.0,31.7,36.0,35.5,32.8,39.4,35.0,33.1,37.1,23.6,24.3,23.0,27.2,28.3,25.5,16.5,15.6,17.4,42.7,41.5,44.0,26.2,27.0,25.3,4777576
40,SC,45,,,,,04001US45,South Carolina -- Urban,3200009,1545492,104398,108951,100886,61366,51124,29661,27882,71064,111673,104038,95650,100900,98240,101399,92084,35548,50643,30475,42049,52107,35063,22600,17691,1654517,100463,102380,97969,57416,48180,26012,26523,71764,115682,109413,100555,105778,107652,110868,106572,40766,59917,37042,48744,62506,45641,34816,37858,2122149,1037792,59455,62343,60432,36804,31721,79922,72521,69670,133564,139487,129702,99171,47615,15385,1084357,57350,58890,56771,34759,28413,75252,72308,68464,131554,145499,146161,114049,63820,31067,883424,408517,33346,35328,32143,20095,15340,39135,30162,26708,49444,50913,42453,22288,9058,2104,474907,32279,33252,32399,18516,16131,41358,36039,33445,61523,63372,54220,30521,15404,6448,9292,4534,269,236,419,224,149,466,388,408,406,605,505,298,127,34,4758,214,305,352,377,199,235,252,383,846,533,605,277,127,53,58913,27899,1601,1928,1464,956,931,3094,2331,2439,4795,3641,2577,1631,425,86,31014,1443,1853,1944,974,1050,2152,2307,2886,5315,4482,3499,2238,740,131,2170,1011,27,159,118,16,47,154,90,87,195,80,3,23,12,0,1159,111,326,43,65,42,26,118,59,244,39,32,54,0,0,54609,31345,3018,2799,2279,1221,1054,2842,4138,3284,5485,3032,1640,442,111,0,23264,2835,2444,2198,839,581,2148,2542,2495,3569,2148,1030,276,110,49,69452,34394,6682,6158,4031,2050,1882,2994,2043,1442,2661,1881,1395,778,315,82,35058,6231,5310,4262,1886,1764,3128,2116,1681,3282,2447,1708,877,256,110,1989374,967389,52299,55420,55020,33923,28662,73108,65836,62000,122022,132662,126428,97782,47003,15224,1021985,49908,51695,51630,31871,26036,70180,67084,62637,122709,139497,142814,112332,62747,30845,204199,110315,11717,11332,8705,4375,4661,10107,11545,11221,18033,10367,5345,2010,736,161,93884,11852,10730,8200,3953,3414,7770,8320,8749,13495,8890,4669,2319,1252,271,36.8,35.1,38.5,40.3,38.5,42.0,32.1,29.8,34.1,33.7,31.9,35.5,35.1,33.6,37.1,23.2,23.9,19.6,27.2,28.1,25.7,16.8,15.6,17.8,41.6,39.9,43.3,26.3,26.9,25.6,3200009
40,SC,45,,,,,04043US45,South Carolina -- Rural,1577567,776917,43965,47372,52165,31415,19169,11296,11332,28173,44600,44199,44299,50624,54870,59604,58686,21961,33116,21097,26997,33090,20215,11379,7293,800650,43755,48563,50095,30674,16919,9806,9417,27414,41300,43784,45726,51414,55910,62884,62666,24375,35832,22510,28858,35075,23426,15769,14478,1088559,540424,28588,30362,33820,20434,11564,31539,28927,28681,66847,82535,82859,63633,25199,5436,548135,27534,31399,32442,18953,10700,28794,28109,29411,67730,82658,86883,64546,28823,10153,431634,207081,11867,13807,14931,9466,6829,16755,13310,13302,24149,29184,28983,16708,6003,1787,224553,12726,13361,14640,10207,5400,16158,11812,12749,26170,33137,33788,20388,9856,4161,5674,2917,176,261,189,137,14,211,284,174,299,529,376,151,100,16,2757,86,197,254,28,100,154,114,118,290,540,448,363,60,5,8069,3420,350,298,408,161,120,127,272,283,451,488,236,145,58,23,4649,326,467,143,164,156,277,236,346,764,600,575,325,216,54,418,205,12,54,13,0,0,20,25,0,35,17,3,26,0,0,213,0,51,0,19,0,49,37,21,8,8,5,11,0,4,18715,10898,767,623,1162,481,232,1225,1230,1137,2288,933,505,250,65,0,7817,882,1064,885,497,199,512,506,653,1249,746,371,186,67,0,24498,11972,2205,1967,1642,736,410,924,552,622,854,788,801,271,169,31,12526,2201,2024,1731,806,364,693,486,486,929,1105,803,624,173,101,1061742,526427,26954,28742,32453,19908,11144,30375,28081,27248,64680,81169,82104,63174,25017,5378,535315,25869,29545,31138,18320,10463,27959,27328,28541,65920,81407,85999,64091,28622,10113,49893,27337,2854,2659,2852,1229,720,2514,2228,2809,4572,2468,1335,794,239,64,22556,2692,3301,2589,1250,538,1407,1339,1668,3257,2146,1352,702,262,53,42.1,41.1,43.1,44.2,43.6,44.9,38.6,36.2,40.9,40.9,35.3,45.5,33.9,29.5,37.6,24.0,28.1,23.7,27.3,29.0,23.9,15.8,15.6,15.9,44.7,44.1,45.4,25.4,27.2,23.4,1577567
40,SC,45,,,,,040A0US45,South Carolina -- In metropolitan or micropolitan statistical area,4466165,2170549,139458,146466,142738,86027,66120,38113,36564,93149,147232,139221,130978,142679,143327,150107,139974,53000,78098,47777,63931,79185,51682,31394,23329,2295616,134837,141439,137607,82402,61448,34253,33882,92956,148655,144571,137450,147523,152981,162191,157317,60198,88887,55255,71712,90676,63856,46968,48552,3064988,1505825,84648,89000,89875,54428,41787,107051,97753,94420,191651,211501,201442,153760,68734,19775,1559163,81243,86483,85059,51661,37889,100265,96901,94256,190849,217572,221402,168918,87534,39131,1159214,541565,40271,43580,41521,26101,19687,49204,38729,35306,65173,70530,61815,33327,13032,3289,617649,39762,41586,41345,25350,19167,51779,43240,41511,78235,85217,76132,43811,21596,8918,13274,6704,428,466,607,337,154,603,518,482,606,1007,841,431,174,50,6570,271,422,426,385,297,327,308,432,981,965,1032,500,166,58,66072,30897,1951,2220,1814,1072,1039,3207,2546,2688,5165,4057,2791,1755,483,109,35175,1738,2254,2065,1062,1202,2405,2535,3181,6004,5027,4036,2525,956,185,2156,1029,39,96,131,16,47,174,115,60,223,88,3,25,12,0,1127,111,245,34,84,42,36,102,71,252,47,34,65,0,4,70263,40264,3639,3376,3330,1501,1182,3811,5074,4320,7418,3700,2085,652,176,0,29999,3596,3401,2997,1287,748,2533,2979,3020,4520,2853,1384,455,177,49,90198,44265,8482,7728,5460,2572,2224,3776,2497,1945,3421,2551,2095,943,465,106,45933,8116,7048,5681,2573,2103,3746,2590,2100,4132,3491,2382,1369,395,207,2909095,1423401,76010,80646,83185,51033,38354,99342,90374,85578,178370,203445,197560,151983,67965,19556,1485694,72444,77798,78689,48148,35317,94500,90967,87645,180428,210472,217231,166856,86324,38875,245480,132509,14094,13533,11211,5323,5181,12025,13208,13570,21786,12367,6421,2627,938,225,112971,13983,13417,10561,5130,3853,8855,9466,10159,16201,10778,5938,2888,1430,312,38.4,36.8,39.9,41.4,40.2,42.7,33.7,31.5,35.6,36.3,32.7,40.5,35.0,33.1,37.2,25.4,25.3,26.0,27.3,28.4,25.5,16.6,15.6,17.6,42.6,41.3,43.8,26.2,27.0,25.3,4466165
40,SC,45,,,,,040C0US45,South Carolina -- In metropolitan statistical area,4023755,1956813,126038,133151,128058,77530,60117,34430,33433,84691,134750,127068,119168,129561,129514,135179,125132,47327,69394,42164,56611,69768,45521,27682,20526,2066942,122190,128016,124165,74500,55437,30126,30906,84776,135991,132083,125005,133643,138011,146076,140905,53887,78774,48977,63407,80012,56381,41135,42539,2789858,1371229,77377,81673,81747,49606,38612,98985,90756,87422,175923,192839,181250,136631,60917,17491,1418629,74553,79097,77560,47144,34990,92317,89973,87121,174941,198318,199731,150498,77514,34872,1012265,472864,35310,38811,36303,22726,17090,42838,34058,31125,57426,61461,53470,28422,11021,2803,539401,34959,36711,36311,22359,16322,45222,38261,36884,69085,74539,65740,37334,18453,7221,11330,5772,337,422,568,279,149,508,431,441,494,858,760,338,160,27,5558,220,300,385,383,228,250,277,333,854,827,897,399,149,56,63270,29634,1879,2200,1654,1064,1033,3174,2397,2573,5003,3796,2628,1641,483,109,33636,1711,2200,2003,1034,1185,2303,2430,3035,5664,4852,3807,2356,912,144,1955,1011,39,94,131,16,47,160,115,60,223,88,3,23,12,0,944,111,169,34,84,42,29,28,71,228,47,32,65,0,4,62673,35968,3448,2977,2793,1363,1065,3439,4656,3734,6525,3335,1850,607,176,0,26705,3217,3014,2654,1214,676,2185,2661,2731,4133,2311,1247,441,172,49,82404,40335,7648,6974,4862,2476,2121,3450,2337,1713,3135,2316,1892,881,434,96,42069,7419,6525,5218,2282,1994,3502,2361,1908,3743,3193,2112,1303,316,193,2642576,1293530,69631,73596,75549,46295,35391,91693,83620,79147,163359,185189,177568,134971,60205,17316,1349046,66199,71197,71587,43731,32517,86867,84252,80921,164973,191468,195693,148603,76382,34656,227997,122736,12900,12649,10142,5041,4796,11150,12506,12373,20104,11589,5985,2445,881,175,105261,13053,12264,9679,4927,3639,8145,8934,9428,15313,9942,5654,2697,1321,265,38.1,36.6,39.6,41.1,39.8,42.4,33.5,31.3,35.3,36.5,32.3,41.3,34.8,32.9,37.0,25.4,25.4,25.3,27.2,28.3,25.5,16.7,15.9,17.6,42.2,40.9,43.4,26.3,27.0,25.5,4023755
40,SC,45,,,,,040C1US45,South Carolina -- In metropolitan statistical area -- in principal city,812687,392785,26392,24399,21250,13544,17389,10144,8831,21967,35692,28971,24242,24163,22970,22930,22011,8213,12173,7120,9787,12268,8608,4818,4903,419902,25055,23387,21328,12334,18105,8464,8706,23771,35537,28979,24267,23779,24597,25882,25692,10068,14494,8768,11778,15448,10912,7894,10657,491704,242618,13108,12345,10524,6846,10590,24795,22783,18611,30919,27826,28186,21612,10431,4042,249086,12264,11718,9866,6457,10703,23194,21481,16734,27412,29808,31990,25588,13473,8398,273593,125831,10657,9624,9005,5685,5480,13129,10219,8608,14256,15811,12841,6935,2738,843,147762,10950,9640,9415,4978,5967,15418,12040,10093,17334,18535,16726,9440,4991,2235,1489,695,78,16,68,7,3,117,63,73,42,108,84,32,0,4,794,23,25,14,60,24,39,106,64,191,69,101,62,13,3,14551,6762,444,412,129,160,397,881,664,678,1168,778,564,334,148,5,7789,274,406,451,216,509,553,704,996,1286,841,882,491,180,0,862,451,27,79,110,16,34,63,17,0,93,8,0,4,0,0,411,46,93,13,23,35,15,18,13,116,18,9,8,0,4,13150,7756,705,637,388,326,213,869,1362,624,1289,816,427,87,13,0,5394,438,500,453,150,159,692,545,627,823,650,170,132,55,0,17338,8672,1373,1286,1026,504,672,1088,584,377,638,553,295,171,96,9,8666,1060,1005,1116,450,708,1030,643,452,884,558,376,273,94,17,459755,225882,11460,10924,9560,6159,9285,23134,20737,16629,28209,26627,27500,21364,10308,3986,233873,10556,10441,8822,5766,9720,21579,20314,15177,25305,28363,31069,25085,13344,8332,49232,26463,2643,2312,1477,1019,1650,2645,3686,2677,4364,2201,1179,409,145,56,22769,2350,1886,1814,854,1314,2520,1903,2343,3304,2248,1233,737,197,66,34.3,32.8,35.8,37.3,35.5,39.2,31.2,29.6,32.7,33.3,29.3,35.8,33.4,32.3,33.9,18.5,17.2,19.8,28.1,28.1,28.1,19.2,18.4,20.0,38.6,36.7,40.7,26.8,26.9,26.7,812687
40,SC,45,,,,,040C2US45,South Carolina -- In metropolitan statistical area -- not in principal city,3211068,1564028,99646,108752,106808,63986,42728,24286,24602,62724,99058,98097,94926,105398,106544,112249,103121,39114,57221,35044,46824,57500,36913,22864,15623,1647040,97135,104629,102837,62166,37332,21662,22200,61005,100454,103104,100738,109864,113414,120194,115213,43819,64280,40209,51629,64564,45469,33241,31882,2298154,1128611,64269,69328,71223,42760,28022,74190,67973,68811,145004,165013,153064,115019,50486,13449,1169543,62289,67379,67694,40687,24287,69123,68492,70387,147529,168510,167741,124910,64041,26474,738672,347033,24653,29187,27298,17041,11610,29709,23839,22517,43170,45650,40629,21487,8283,1960,391639,24009,27071,26896,17381,10355,29804,26221,26791,51751,56004,49014,27894,13462,4986,9841,5077,259,406,500,272,146,391,368,368,452,750,676,306,160,23,4764,197,275,371,323,204,211,171,269,663,758,796,337,136,53,48719,22872,1435,1788,1525,904,636,2293,1733,1895,3835,3018,2064,1307,335,104,25847,1437,1794,1552,818,676,1750,1726,2039,4378,4011,2925,1865,732,144,1093,560,12,15,21,0,13,97,98,60,130,80,3,19,12,0,533,65,76,21,61,7,14,10,58,112,29,23,57,0,0,49523,28212,2743,2340,2405,1037,852,2570,3294,3110,5236,2519,1423,520,163,0,21311,2779,2514,2201,1064,517,1493,2116,2104,3310,1661,1077,309,117,49,65066,31663,6275,5688,3836,1972,1449,2362,1753,1336,2497,1763,1597,710,338,87,33403,6359,5520,4102,1832,1286,2472,1718,1456,2859,2635,1736,1030,222,176,2182821,1067648,58171,62672,65989,40136,26106,68559,62883,62518,135150,158562,150068,113607,49897,13330,1115173,55643,60756,62765,37965,22797,65288,63938,65744,139668,163105,164624,123518,63038,26324,178765,96273,10257,10337,8665,4022,3146,8505,8820,9696,15740,9388,4806,2036,736,119,82492,10703,10378,7865,4073,2325,5625,7031,7085,12009,7694,4421,1960,1124,199,39.1,37.6,40.4,41.8,40.6,42.9,34.4,32.1,36.3,37.3,33.2,41.9,35.5,33.0,37.8,32.0,30.9,32.2,26.9,28.4,25.1,15.7,15.1,16.4,42.8,41.7,43.9,26.2,27.1,25.2,3211068
40,SC,45,,,,,040E0US45,South Carolina -- In micropolitan statistical area,442410,213736,13420,13315,14680,8497,6003,3683,3131,8458,12482,12153,11810,13118,13813,14928,14842,5673,8704,5613,7320,9417,6161,3712,2803,228674,12647,13423,13442,7902,6011,4127,2976,8180,12664,12488,12445,13880,14970,16115,16412,6311,10113,6278,8305,10664,7475,5833,6013,275130,134596,7271,7327,8128,4822,3175,8066,6997,6998,15728,18662,20192,17129,7817,2284,140534,6690,7386,7499,4517,2899,7948,6928,7135,15908,19254,21671,18420,10020,4259,146949,68701,4961,4769,5218,3375,2597,6366,4671,4181,7747,9069,8345,4905,2011,486,78248,4803,4875,5034,2991,2845,6557,4979,4627,9150,10678,10392,6477,3143,1697,1944,932,91,44,39,58,5,95,87,41,112,149,81,93,14,23,1012,51,122,41,2,69,77,31,99,127,138,135,101,17,2,2802,1263,72,20,160,8,6,33,149,115,162,261,163,114,0,0,1539,27,54,62,28,17,102,105,146,340,175,229,169,44,41,201,18,0,2,0,0,0,14,0,0,0,0,0,2,0,0,183,0,76,0,0,0,7,74,0,24,0,2,0,0,0,7590,4296,191,399,537,138,117,372,418,586,893,365,235,45,0,0,3294,379,387,343,73,72,348,318,289,387,542,137,14,5,0,7794,3930,834,754,598,96,103,326,160,232,286,235,203,62,31,10,3864,697,523,463,291,109,244,229,192,389,298,270,66,79,14,266519,129871,6379,7050,7636,4738,2963,7649,6754,6431,15011,18256,19992,17012,7760,2240,136648,6245,6601,7102,4417,2800,7633,6715,6724,15455,19004,21538,18253,9942,4219,17483,9773,1194,884,1069,282,385,875,702,1197,1682,778,436,182,57,50,7710,930,1153,882,203,214,710,532,731,888,836,284,191,109,47,41.3,39.7,42.9,45.6,44.2,46.8,35.3,32.7,37.8,35.6,35.6,35.6,40.7,40.0,41.8,26.1,22.5,26.4,27.8,29.6,25.4,15.3,12.7,17.6,46.5,45.2,47.5,24.8,25.9,23.0,442410
40,SC,45,,,,,040E1US45,South Carolina -- In micropolitan statistical area -- in principal city,85877,40202,3055,2767,2682,1663,1509,1092,610,2070,3076,2508,2604,2402,2124,2453,2319,875,1341,814,1074,1216,692,572,684,45675,3035,2652,2654,1371,1842,1375,915,2333,2971,2737,2380,2265,2540,2691,2693,1030,1550,953,1199,1744,1425,1402,1918,35554,16774,1172,973,845,502,478,957,1309,988,2239,1889,2244,1782,847,549,18780,708,970,789,407,569,1551,1072,1024,1597,2173,2276,2223,2020,1401,44712,20623,1485,1438,1506,1118,962,2632,1504,1149,2423,2528,2068,1281,417,112,24089,1922,1447,1678,841,1184,2822,1730,1399,2647,2774,2744,1603,781,517,351,160,26,0,26,0,0,59,0,8,0,10,8,0,0,23,191,0,25,0,0,41,18,0,44,30,0,33,0,0,0,1006,447,14,8,8,0,6,25,83,51,59,86,81,26,0,0,559,24,17,0,0,0,97,45,76,83,71,88,58,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,13,0,0,0,0,0,2241,1137,40,171,112,23,54,62,170,193,175,13,112,12,0,0,1104,114,103,106,46,39,119,92,64,180,161,80,0,0,0,2000,1061,318,177,185,20,9,37,10,119,110,51,22,3,0,0,939,267,90,81,77,9,16,32,130,95,52,52,12,26,0,33173,15400,773,906,764,479,452,793,1205,934,1946,1763,2214,1775,847,549,17773,645,782,747,391,523,1342,1011,947,1459,2090,2253,2210,1972,1401,5047,2748,456,345,198,54,98,280,291,253,480,139,135,19,0,0,2299,238,271,148,62,108,371,197,156,327,231,103,13,74,0,35.0,33.1,37.1,43.6,40.2,49.2,30.2,28.9,31.7,21.9,20.7,33.3,39.2,39.5,39.0,.,.,.,26.9,27.8,25.4,12.2,10.9,16.7,46.6,41.6,50.5,23.5,23.7,23.3,85877
40,SC,45,,,,,040E2US45,South Carolina -- In micropolitan statistical area -- not in principal city,356533,173534,10365,10548,11998,6834,4494,2591,2521,6388,9406,9645,9206,10716,11689,12475,12523,4798,7363,4799,6246,8201,5469,3140,2119,182999,9612,10771,10788,6531,4169,2752,2061,5847,9693,9751,10065,11615,12430,13424,13719,5281,8563,5325,7106,8920,6050,4431,4095,239576,117822,6099,6354,7283,4320,2697,7109,5688,6010,13489,16773,17948,15347,6970,1735,121754,5982,6416,6710,4110,2330,6397,5856,6111,14311,17081,19395,16197,8000,2858,102237,48078,3476,3331,3712,2257,1635,3734,3167,3032,5324,6541,6277,3624,1594,374,54159,2881,3428,3356,2150,1661,3735,3249,3228,6503,7904,7648,4874,2362,1180,1593,772,65,44,13,58,5,36,87,33,112,139,73,93,14,0,821,51,97,41,2,28,59,31,55,97,138,102,101,17,2,1796,816,58,12,152,8,0,8,66,64,103,175,82,88,0,0,980,3,37,62,28,17,5,60,70,257,104,141,111,44,41,188,18,0,2,0,0,0,14,0,0,0,0,0,2,0,0,170,0,76,0,0,0,7,74,0,11,0,2,0,0,0,5349,3159,151,228,425,115,63,310,248,393,718,352,123,33,0,0,2190,265,284,237,27,33,229,226,225,207,381,57,14,5,0,5794,2869,516,577,413,76,94,289,150,113,176,184,181,59,31,10,2925,430,433,382,214,100,228,197,62,294,246,218,54,53,14,233346,114471,5606,6144,6872,4259,2511,6856,5549,5497,13065,16493,17778,15237,6913,1691,118875,5600,5819,6355,4026,2277,6291,5704,5777,13996,16914,19285,16043,7970,2818,12436,7025,738,539,871,228,287,595,411,944,1202,639,301,163,57,50,5411,692,882,734,141,106,339,335,575,561,605,181,178,35,47,42.8,41.3,44.1,45.8,44.9,46.6,37.7,34.3,40.5,39.0,39.5,39.0,42.5,40.6,43.4,24.3,22.5,26.1,28.6,31.4,25.6,16.8,13.7,18.1,46.5,45.6,47.2,25.3,28.1,22.6,356533
