SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,SD,46,,,,,04000US46,South Dakota,843190,423477,30615,30399,28360,17193,12242,6452,6820,18413,29131,28133,24971,24234,25555,29754,29075,10852,14781,9218,10102,12964,9646,7669,6898,419713,29377,28980,26492,16250,11719,6183,6332,16324,26757,26710,23347,23231,24867,29530,28968,10820,14710,8333,10156,14702,12077,10566,13282,716691,359218,23078,23032,22045,13414,9988,25371,23483,23675,41393,49023,50887,30483,16577,6769,357473,21801,21740,20425,12524,9505,23386,21785,22483,39340,48554,49980,31239,21720,12991,13133,7920,906,787,475,335,290,832,926,694,1292,766,437,137,43,0,5213,587,806,464,259,219,467,672,467,659,253,305,33,7,15,72619,36085,4303,3984,3766,2322,1281,3373,2717,2343,3996,3840,2343,1262,465,90,36534,4018,3936,3689,2182,1196,3035,2750,2409,4295,3760,2950,1394,685,235,10152,4888,289,373,337,283,232,663,614,257,765,541,303,156,75,0,5264,381,516,409,223,222,417,558,353,785,655,565,139,41,0,332,136,10,10,6,6,29,24,9,20,20,2,0,0,0,0,196,21,9,16,0,3,9,51,0,18,42,27,0,0,0,7940,4324,475,447,296,110,70,417,637,538,576,396,273,39,21,29,3616,392,369,331,199,127,500,299,255,637,275,159,47,26,0,22323,10906,1554,1766,1435,723,352,1005,745,606,1163,741,465,207,134,10,11417,2177,1604,1158,863,447,1025,642,743,844,858,512,339,164,41,701699,350944,22016,22123,21437,13155,9676,24216,22753,22891,40219,48360,50538,30313,16489,6758,350755,20780,21166,19790,12206,9273,22791,21305,21735,38582,47949,49647,30974,21606,12951,27914,15137,2044,1636,1277,603,453,1836,1494,1445,2071,1134,688,277,139,40,12777,2031,1277,1342,772,361,1326,881,1109,1576,1010,576,322,152,42,36.8,35.7,38.1,40.0,38.6,41.4,25.6,27.4,22.4,24.3,23.4,25.3,27.7,27.1,28.9,27.4,20.7,27.9,25.9,27.6,22.9,17.8,17.9,17.7,40.5,39.2,41.8,22.9,23.7,21.8,843190
40,SD,46,,,,,04001US46,South Dakota -- Urban,481272,239656,18203,17195,15391,8942,7988,4632,4887,12717,19564,18072,15065,14342,14037,15185,14017,5654,7197,4392,4634,5849,4395,3752,3546,241616,17585,15896,14187,8454,8026,4699,4702,10826,18160,16995,14230,13614,13353,15153,15445,5706,7890,4232,5005,7617,6486,5839,7516,414304,205137,13958,13118,12398,7152,6805,18663,16200,15426,24702,26167,25100,14135,7795,3518,209167,13276,12266,11159,6587,6789,17151,15287,14705,23635,25831,26884,16199,12006,7392,11563,6889,828,664,425,297,271,652,854,657,1145,590,337,126,43,0,4674,544,681,402,245,219,408,609,434,604,215,260,33,5,15,25595,12611,1679,1484,1048,726,402,1266,973,974,1494,1247,735,427,144,12,12984,1554,1315,1268,716,441,1070,948,891,1904,1239,963,396,182,97,8790,4424,279,351,279,224,198,613,571,250,734,456,275,127,67,0,4366,355,459,381,158,164,334,543,302,602,469,492,66,41,0,212,86,3,5,0,0,29,21,9,19,0,0,0,0,0,0,126,5,0,0,0,0,0,37,0,15,42,27,0,0,0,6227,3284,405,369,229,72,52,269,427,396,504,318,195,21,21,6,2943,338,244,270,173,95,481,263,128,586,229,100,10,26,0,14581,7225,1051,1204,1012,471,231,752,530,350,828,444,226,39,77,10,7356,1513,931,707,575,318,783,473,535,498,481,315,150,65,12,403352,198958,13320,12385,11899,6951,6509,17785,15567,14840,23788,25701,24879,14048,7768,3518,204394,12508,11905,10791,6383,6601,16675,14902,14065,23140,25413,26698,16013,11932,7368,20228,11047,1430,1220,990,452,377,1317,1127,1029,1600,841,463,117,78,6,9181,1509,786,848,470,268,1139,719,863,1167,740,346,202,100,24,34.0,32.7,35.4,36.0,34.6,37.9,25.7,27.3,22.3,24.6,23.9,25.8,27.3,27.1,27.8,29.7,20.9,51.3,25.6,28.1,22.8,17.5,17.0,17.8,36.5,35.1,38.5,22.9,23.3,22.5,481272
40,SD,46,,,,,04043US46,South Dakota -- Rural,361918,183821,12412,13204,12969,8251,4254,1820,1933,5696,9567,10061,9906,9892,11518,14569,15058,5198,7584,4826,5468,7115,5251,3917,3352,178097,11792,13084,12305,7796,3693,1484,1630,5498,8597,9715,9117,9617,11514,14377,13523,5114,6820,4101,5151,7085,5591,4727,5766,302387,154081,9120,9914,9647,6262,3183,6708,7283,8249,16691,22856,25787,16348,8782,3251,148306,8525,9474,9266,5937,2716,6235,6498,7778,15705,22723,23096,15040,9714,5599,1570,1031,78,123,50,38,19,180,72,37,147,176,100,11,0,0,539,43,125,62,14,0,59,63,33,55,38,45,0,2,0,47024,23474,2624,2500,2718,1596,879,2107,1744,1369,2502,2593,1608,835,321,78,23550,2464,2621,2421,1466,755,1965,1802,1518,2391,2521,1987,998,503,138,1362,464,10,22,58,59,34,50,43,7,31,85,28,29,8,0,898,26,57,28,65,58,83,15,51,183,186,73,73,0,0,120,50,7,5,6,6,0,3,0,1,20,2,0,0,0,0,70,16,9,16,0,3,9,14,0,3,0,0,0,0,0,1713,1040,70,78,67,38,18,148,210,142,72,78,78,18,0,23,673,54,125,61,26,32,19,36,127,51,46,59,37,0,0,7742,3681,503,562,423,252,121,253,215,256,335,297,239,168,57,0,4061,664,673,451,288,129,242,169,208,346,377,197,189,99,29,298347,151986,8696,9738,9538,6204,3167,6431,7186,8051,16431,22659,25659,16265,8721,3240,146361,8272,9261,8999,5823,2672,6116,6403,7670,15442,22536,22949,14961,9674,5583,7686,4090,614,416,287,151,76,519,367,416,471,293,225,160,61,34,3596,522,491,494,302,93,187,162,246,409,270,230,120,52,18,41.6,41.0,42.3,45.6,45.0,46.1,24.0,29.1,22.8,24.2,23.1,25.2,35.9,24.8,38.0,15.2,20.3,13.5,26.9,26.9,26.7,18.4,19.6,17.4,45.9,45.3,46.3,22.7,24.7,17.9,361918
40,SD,46,,,,,040A0US46,South Dakota -- In metropolitan or micropolitan statistical area,625837,314015,22574,22646,20246,12107,9548,5033,5269,14297,23140,22031,19201,18905,19314,21579,20949,7769,10730,6482,7089,8983,6306,5231,4586,311822,21271,20870,19129,11553,9205,5138,5156,12692,21305,21061,18110,17848,18577,21800,21272,8160,10778,5892,7296,10388,8066,7321,8934,558519,279092,18476,18359,17234,10178,8325,20986,19684,19440,33463,37710,37709,21800,11207,4521,279427,17243,17020,16059,9684,7997,19961,18429,18667,31921,37634,38000,22853,15103,8856,12343,7401,869,752,438,318,280,662,891,666,1218,724,413,127,43,0,4942,576,775,430,248,165,399,661,467,630,237,301,31,7,15,22264,11189,1368,1341,841,710,398,1247,957,803,1284,1132,559,416,107,26,11075,1183,1146,1074,645,413,919,904,804,1532,1050,888,321,151,45,9221,4490,280,336,315,249,200,637,571,257,691,487,279,117,71,0,4731,328,460,389,177,217,391,527,315,669,582,518,117,41,0,223,84,3,10,0,0,13,24,9,20,3,2,0,0,0,0,139,5,4,6,0,3,9,37,0,18,42,15,0,0,0,6927,3664,417,405,284,94,69,306,462,433,521,352,238,33,21,29,3263,315,327,328,159,117,469,269,208,617,254,137,37,26,0,16340,8095,1161,1443,1134,558,263,737,566,412,926,486,250,61,88,10,8245,1621,1138,843,640,293,838,478,600,571,578,351,217,59,18,545968,272233,17558,17522,16678,9946,8034,20220,19021,18823,32490,37127,37475,21677,11144,4518,273735,16471,16542,15526,9399,7767,19432,17991,18032,31262,37086,37761,22601,15033,8832,22800,12257,1700,1434,1124,483,429,1238,1203,1091,1692,998,519,208,106,32,10543,1496,995,1092,571,328,1187,783,916,1435,895,433,289,99,24,36.0,35.0,37.2,38.2,36.8,39.6,26.1,27.6,23.0,24.6,23.7,25.9,27.5,26.5,28.6,27.9,22.4,41.2,25.7,27.7,23.1,17.0,16.7,17.3,38.7,37.4,40.0,23.1,23.4,22.8,625837
40,SD,46,,,,,040C0US46,South Dakota -- In metropolitan statistical area,398433,200065,15306,15273,13237,8043,4939,2669,2789,7889,14981,14757,12938,12463,12504,13895,13435,4643,6756,4270,4315,5494,3675,2943,2851,198368,14152,13835,12831,7341,4561,2480,2530,7357,14436,14265,12303,11792,12023,14009,13800,5167,6579,3759,4697,6451,4460,4427,5113,349819,174812,12019,12072,10959,6522,4203,11100,12692,12873,22116,24102,23467,13538,6343,2806,175007,11200,11033,10334,6023,3774,10299,12433,12498,21317,24012,24055,14287,8691,5051,10013,5886,792,557,398,267,206,461,586,543,960,609,337,127,43,0,4127,571,583,380,177,130,337,514,391,549,202,242,31,5,15,15093,7525,1015,881,572,506,159,759,681,565,806,792,413,282,84,10,7568,817,693,923,445,200,623,651,575,993,736,537,250,96,29,5322,2488,123,209,152,183,80,277,260,150,389,340,204,71,50,0,2834,167,261,208,107,153,181,248,171,411,452,344,117,14,0,143,55,3,5,0,0,0,24,9,12,0,2,0,0,0,0,88,0,4,0,0,3,9,0,0,15,42,15,0,0,0,5461,2836,377,366,274,80,51,180,340,256,360,239,238,33,17,25,2625,268,290,298,151,95,247,213,193,483,187,137,37,26,0,12582,6463,977,1183,882,485,240,546,413,358,770,315,175,28,81,10,6119,1129,971,688,438,206,671,377,437,327,401,216,185,55,18,341764,170457,11395,11560,10633,6336,4058,10639,12314,12583,21331,23677,23321,13469,6338,2803,171307,10707,10733,9919,5900,3615,10063,12113,12162,20801,23676,23902,14064,8625,5027,16132,8536,1328,1013,799,390,232,790,756,580,1333,662,427,154,44,28,7596,1085,760,897,379,235,651,622,585,1125,572,309,260,92,24,35.9,35.0,36.9,38.1,37.0,39.5,25.8,27.5,22.9,24.8,24.4,25.7,31.1,29.1,33.6,41.2,22.7,51.7,25.3,26.2,23.4,16.5,16.4,16.6,38.6,37.4,39.9,22.7,22.7,22.6,398433
40,SD,46,,,,,040C1US46,South Dakota -- In metropolitan statistical area -- in principal city,236033,117430,9243,8882,7286,4115,2745,2022,1950,5244,10210,9433,7641,7106,7322,7573,7579,2621,3630,2231,2167,2963,2093,1655,1719,118603,9235,7935,6784,4075,2678,1834,1791,4796,9787,9148,7168,6493,6749,7533,8159,2903,4073,2284,2578,3849,2713,2756,3282,197865,97724,6612,6303,5577,3128,2229,7313,8374,7865,12233,13049,12806,7048,3481,1706,100141,6610,5842,4751,3044,2103,6638,8155,7768,11436,12884,14014,8335,5316,3245,8669,4963,755,506,369,219,161,325,536,455,770,498,265,61,43,0,3706,533,532,347,174,130,276,400,370,485,185,223,31,5,15,12099,5858,786,663,399,336,124,714,496,518,611,630,291,203,84,3,6241,744,545,806,355,165,518,555,530,852,462,424,189,74,22,4382,2198,117,183,146,126,77,239,260,150,328,294,200,32,46,0,2184,167,153,192,78,106,152,187,117,319,338,277,84,14,0,46,31,0,0,0,0,0,10,9,12,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15,0,0,0,4171,2260,304,324,222,64,47,144,285,163,324,221,145,0,17,0,1911,219,180,243,98,78,197,172,96,336,159,97,10,26,0,8801,4396,669,903,573,242,107,471,250,270,481,203,123,17,77,10,4405,962,683,445,326,96,640,318,267,233,254,85,62,34,0,192107,94542,6264,5894,5341,2967,2148,6912,8118,7675,11594,12747,12679,7016,3481,1706,97565,6269,5603,4426,2948,1968,6465,7944,7490,11084,12728,13929,8212,5275,3224,11712,6246,831,801,565,342,141,645,570,390,1051,515,315,41,39,0,5466,843,554,676,267,195,500,450,434,755,361,210,133,67,21,34.6,33.6,35.7,37.2,35.9,39.2,25.1,27.2,22.5,24.6,24.6,24.8,30.2,28.9,33.3,31.3,29.6,.,23.9,25.6,22.8,16.1,16.0,16.1,37.9,36.3,40.0,22.1,22.7,21.4,236033
40,SD,46,,,,,040C2US46,South Dakota -- In metropolitan statistical area -- not in principal city,162400,82635,6063,6391,5951,3928,2194,647,839,2645,4771,5324,5297,5357,5182,6322,5856,2022,3126,2039,2148,2531,1582,1288,1132,79765,4917,5900,6047,3266,1883,646,739,2561,4649,5117,5135,5299,5274,6476,5641,2264,2506,1475,2119,2602,1747,1671,1831,151954,77088,5407,5769,5382,3394,1974,3787,4318,5008,9883,11053,10661,6490,2862,1100,74866,4590,5191,5583,2979,1671,3661,4278,4730,9881,11128,10041,5952,3375,1806,1344,923,37,51,29,48,45,136,50,88,190,111,72,66,0,0,421,38,51,33,3,0,61,114,21,64,17,19,0,0,0,2994,1667,229,218,173,170,35,45,185,47,195,162,122,79,0,7,1327,73,148,117,90,35,105,96,45,141,274,113,61,22,7,940,290,6,26,6,57,3,38,0,0,61,46,4,39,4,0,650,0,108,16,29,47,29,61,54,92,114,67,33,0,0,97,24,3,5,0,0,0,14,0,0,0,2,0,0,0,0,73,0,4,0,0,3,9,0,0,15,42,0,0,0,0,1290,576,73,42,52,16,4,36,55,93,36,18,93,33,0,25,714,49,110,55,53,17,50,41,97,147,28,40,27,0,0,3781,2067,308,280,309,243,133,75,163,88,289,112,52,11,4,0,1714,167,288,243,112,110,31,59,170,94,147,131,123,21,18,149657,75915,5131,5666,5292,3369,1910,3727,4196,4908,9737,10930,10642,6453,2857,1097,73742,4438,5130,5493,2952,1647,3598,4169,4672,9717,10948,9973,5852,3350,1803,4420,2290,497,212,234,48,91,145,186,190,282,147,112,113,5,28,2130,242,206,221,112,40,151,172,151,370,211,99,127,25,3,38.2,37.4,39.2,39.2,38.4,39.9,29.1,33.3,26.1,25.7,20.7,28.9,34.7,36.5,34.4,41.7,22.3,51.3,29.4,30.1,25.7,17.4,16.6,19.0,39.4,38.7,39.9,25.1,23.1,26.7,162400
40,SD,46,,,,,040E0US46,South Dakota -- In micropolitan statistical area,227404,113950,7268,7373,7009,4064,4609,2364,2480,6408,8159,7274,6263,6442,6810,7684,7514,3126,3974,2212,2774,3489,2631,2288,1735,113454,7119,7035,6298,4212,4644,2658,2626,5335,6869,6796,5807,6056,6554,7791,7472,2993,4199,2133,2599,3937,3606,2894,3821,208700,104280,6457,6287,6275,3656,4122,9886,6992,6567,11347,13608,14242,8262,4864,1715,104420,6043,5987,5725,3661,4223,9662,5996,6169,10604,13622,13945,8566,6412,3805,2330,1515,77,195,40,51,74,201,305,123,258,115,76,0,0,0,815,5,192,50,71,35,62,147,76,81,35,59,0,2,0,7171,3664,353,460,269,204,239,488,276,238,478,340,146,134,23,16,3507,366,453,151,200,213,296,253,229,539,314,351,71,55,16,3899,2002,157,127,163,66,120,360,311,107,302,147,75,46,21,0,1897,161,199,181,70,64,210,279,144,258,130,174,0,27,0,80,29,0,5,0,0,13,0,0,8,3,0,0,0,0,0,51,5,0,6,0,0,0,37,0,3,0,0,0,0,0,1466,828,40,39,10,14,18,126,122,177,161,113,0,0,4,4,638,47,37,30,8,22,222,56,15,134,67,0,0,0,0,3758,1632,184,260,252,73,23,191,153,54,156,171,75,33,7,0,2126,492,167,155,202,87,167,101,163,244,177,135,32,4,0,204204,101776,6163,5962,6045,3610,3976,9581,6707,6240,11159,13450,14154,8208,4806,1715,102428,5764,5809,5607,3499,4152,9369,5878,5870,10461,13410,13859,8537,6408,3805,6668,3721,372,421,325,93,197,448,447,511,359,336,92,54,62,4,2947,411,235,195,192,93,536,161,331,310,323,124,29,7,0,36.1,35.0,37.9,38.3,36.6,39.6,27.2,28.1,23.5,24.0,22.8,27.1,25.3,25.0,25.9,27.3,19.7,27.4,27.6,32.0,22.9,19.8,20.3,19.0,38.9,37.4,40.2,24.2,25.0,22.9,227404
40,SD,46,,,,,040E1US46,South Dakota -- In micropolitan statistical area -- in principal city,151208,74695,4856,4729,4542,2553,3903,1894,2005,5204,6153,5272,4022,4187,3990,4327,4043,1858,2257,1199,1519,1909,1577,1557,1139,76513,4955,4403,3808,2560,3978,2318,2335,4267,5388,4667,3976,3985,3898,4493,4427,1829,2461,1036,1578,2519,2476,2117,3039,136122,67000,4220,3934,3946,2228,3481,8039,5131,4652,7150,7615,7927,4451,3091,1135,69122,4111,3595,3398,2069,3629,8097,4569,4131,6857,7921,8121,5050,4551,3023,1777,1188,49,130,23,48,56,161,255,117,196,115,38,0,0,0,589,0,130,19,67,35,27,147,46,72,9,37,0,0,0,5553,2767,275,380,227,140,207,295,244,212,348,250,62,109,18,0,2786,267,363,114,172,148,259,213,225,456,198,282,59,14,16,3647,1920,156,108,148,66,118,337,311,100,288,147,75,45,21,0,1727,155,175,178,70,62,175,274,130,205,113,163,0,27,0,68,26,0,5,0,0,13,0,0,8,0,0,0,0,0,0,42,5,0,0,0,0,0,37,0,0,0,0,0,0,0,1215,630,40,30,10,8,5,100,64,147,127,91,0,0,4,4,585,43,33,9,8,17,222,52,13,128,60,0,0,0,0,2826,1164,116,142,188,63,23,171,148,36,100,99,56,22,0,0,1662,374,107,90,174,87,140,96,122,243,90,114,24,1,0,132680,64994,3999,3648,3786,2194,3338,7787,4860,4355,7003,7532,7876,4417,3064,1135,67686,3887,3496,3361,2008,3567,7821,4463,3880,6779,7732,8095,5023,4551,3023,5147,2886,275,344,222,57,163,363,375,451,273,239,55,34,31,4,2261,347,149,81,79,79,510,149,281,215,288,56,27,0,0,32.8,31.4,34.5,34.2,32.6,36.3,27.5,28.3,27.1,23.8,22.5,27.3,25.3,25.2,25.7,27.3,19.6,.,28.1,32.2,22.9,20.6,20.7,20.0,34.9,33.3,37.1,24.5,25.1,24.3,151208
40,SD,46,,,,,040E2US46,South Dakota -- In micropolitan statistical area -- not in principal city,76196,39255,2412,2644,2467,1511,706,470,475,1204,2006,2002,2241,2255,2820,3357,3471,1268,1717,1013,1255,1580,1054,731,596,36941,2164,2632,2490,1652,666,340,291,1068,1481,2129,1831,2071,2656,3298,3045,1164,1738,1097,1021,1418,1130,777,782,72578,37280,2237,2353,2329,1428,641,1847,1861,1915,4197,5993,6315,3811,1773,580,35298,1932,2392,2327,1592,594,1565,1427,2038,3747,5701,5824,3516,1861,782,553,327,28,65,17,3,18,40,50,6,62,0,38,0,0,0,226,5,62,31,4,0,35,0,30,9,26,22,0,2,0,1618,897,78,80,42,64,32,193,32,26,130,90,84,25,5,16,721,99,90,37,28,65,37,40,4,83,116,69,12,41,0,252,82,1,19,15,0,2,23,0,7,14,0,0,1,0,0,170,6,24,3,0,2,35,5,14,53,17,11,0,0,0,12,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,9,0,0,6,0,0,0,0,0,3,0,0,0,0,0,251,198,0,9,0,6,13,26,58,30,34,22,0,0,0,0,53,4,4,21,0,5,0,4,2,6,7,0,0,0,0,932,468,68,118,64,10,0,20,5,18,56,72,19,11,7,0,464,118,60,65,28,0,27,5,41,1,87,21,8,3,0,71524,36782,2164,2314,2259,1416,638,1794,1847,1885,4156,5918,6278,3791,1742,580,34742,1877,2313,2246,1491,585,1548,1415,1990,3682,5678,5764,3514,1857,782,1521,835,97,77,103,36,34,85,72,60,86,97,37,20,31,0,686,64,86,114,113,14,26,12,50,95,35,68,2,7,0,43.9,43.6,44.2,44.9,44.7,45.1,22.4,22.5,22.2,24.3,23.3,26.4,24.9,21.3,30.7,26.0,.,14.5,26.7,27.5,14.6,13.5,13.8,12.7,45.1,44.9,45.6,21.9,23.9,17.1,76196
