SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,TN,47,,,,,04000US47,Tennessee,6499615,3167756,204457,210365,217061,129690,86054,49905,47951,132501,210618,209305,200270,216542,217059,223663,210228,78107,108632,65940,87797,108743,72813,46556,33499,3331859,196347,204494,206350,124122,82245,46393,46739,134905,214944,214151,207520,219178,224473,238025,229974,85083,121939,75632,95725,125362,94077,71212,72969,5059894,2478766,142883,151842,159733,95551,61492,167911,157607,158354,326206,357379,331011,230937,107692,30168,2581128,136889,145511,148697,90133,58178,165441,159609,159497,326911,367716,357062,255914,145119,64451,1091070,515770,40544,40836,41634,26039,19142,47783,38552,36005,65972,66561,54879,25323,9547,2953,575300,39656,39345,40834,25368,18776,49457,41876,40484,75761,77358,67288,33938,17531,7628,17802,8854,785,516,326,377,213,611,439,652,1360,1446,1166,708,213,42,8948,414,374,568,272,276,764,382,962,1173,1370,1509,577,281,26,102027,46876,2988,3701,2945,1983,1051,3910,3910,4296,8551,6228,4052,2276,857,128,55151,3320,3626,3597,2101,1640,3396,4726,5229,10084,7390,5391,3138,1244,269,3323,1502,118,96,67,49,53,168,178,133,134,282,120,38,49,17,1821,150,112,211,83,39,210,159,41,373,245,108,84,6,0,96739,52180,6448,4663,4530,1836,1261,4623,6379,6816,8761,4133,1792,766,142,30,44559,6260,5700,3871,2124,1118,3785,4789,4500,6725,3429,1408,719,91,40,128760,63808,10691,8711,7826,3855,2842,5351,3553,3049,5828,4693,3947,2432,869,161,64952,9658,9826,8572,4041,2218,4984,3403,3438,5671,4990,4230,2349,1017,555,4856869,2369716,130190,139092,148930,90481,58364,159009,147838,147828,308596,348231,325918,228744,106612,29883,2487153,124328,134444,139470,85704,55173,157798,152245,151177,312962,360449,351880,253800,143802,63921,320090,171440,21096,18620,16595,7575,4844,15013,16411,17690,27272,14237,7360,3077,1334,316,148650,20578,18447,14299,6956,4563,12386,12383,13543,21737,11520,7086,2965,1530,657,38.4,37.1,39.7,40.8,39.6,42.1,32.2,30.4,34.0,39.0,39.4,38.5,34.1,33.2,34.9,29.4,30.3,28.5,25.8,27.0,24.1,18.4,18.5,18.3,41.7,40.5,42.9,24.8,25.5,23.9,6499615
40,TN,47,,,,,04001US47,Tennessee -- Urban,4346878,2088783,147793,144763,144289,84462,62242,35914,35653,95284,154110,149570,137026,142781,137125,137984,127614,46791,64005,37551,50473,60970,40907,28807,22669,2258095,142699,142249,138594,82052,61598,34432,35130,100672,162172,155593,144596,148135,145853,151602,143540,53589,76632,46588,57068,76666,59416,47633,51586,3052705,1476075,90869,92025,93010,54068,39816,110497,106251,103579,200127,202281,181586,122047,59982,19937,1576630,87646,88583,87109,51220,39319,111792,110348,104804,201319,212561,203151,145011,89490,44277,1005700,469372,38857,38514,38660,23813,17817,43677,34859,33053,58923,59637,48570,22279,8230,2483,536328,38092,36807,38330,23983,17872,47111,39983,38396,70690,71269,61006,30501,15552,6736,12492,6117,623,372,228,266,187,501,369,553,804,862,745,462,108,37,6375,289,338,366,210,232,592,262,863,845,888,1013,275,189,13,93248,43611,2734,3403,2722,1800,1020,3670,3736,3989,8055,5754,3718,2093,811,106,49637,3043,3272,3234,1932,1469,3095,4335,4582,9282,6456,4848,2775,1109,205,2784,1242,34,96,62,49,53,124,156,104,134,225,109,35,49,12,1542,139,111,211,80,39,196,153,40,294,182,65,30,2,0,85892,46080,5929,3951,4014,1580,1129,4097,5816,6047,7909,3507,1348,681,72,0,39812,5873,5236,3367,1845,946,3292,4267,4136,6045,2992,1122,591,81,19,94057,46286,8747,6402,5593,2886,2220,4285,2923,2245,3855,2843,2334,1397,462,94,47771,7617,7902,5977,2782,1721,4156,2824,2772,4256,3107,2556,1139,626,336,2881236,1384090,80212,81057,84158,49851,37267,102810,97649,94602,184694,194765,177482,120523,59325,19695,1497146,76734,79035,79397,47889,36699,105350,103987,97409,189137,206550,199099,143405,88520,43935,274632,146731,18305,15748,14029,6342,4100,13043,14567,15335,24061,11867,5954,2321,817,242,127901,18335,16297,11960,5575,3974,10459,10754,12215,19194,9678,5535,2317,1148,460,36.1,34.7,37.5,39.0,37.4,40.4,31.6,29.8,33.3,35.0,33.9,35.2,34.1,33.1,34.9,28.1,30.6,24.9,25.7,26.8,23.9,17.3,17.3,17.3,40.1,38.6,41.6,24.8,25.5,23.8,4346878
40,TN,47,,,,,04043US47,Tennessee -- Rural,2152737,1078973,56664,65602,72772,45228,23812,13991,12298,37217,56508,59735,63244,73761,79934,85679,82614,31316,44627,28389,37324,47773,31906,17749,10830,1073764,53648,62245,67756,42070,20647,11961,11609,34233,52772,58558,62924,71043,78620,86423,86434,31494,45307,29044,38657,48696,34661,23579,21383,2007189,1002691,52014,59817,66723,41483,21676,57414,51356,54775,126079,155098,149425,108890,47710,10231,1004498,49243,56928,61588,38913,18859,53649,49261,54693,125592,155155,153911,110903,55629,20174,85370,46398,1687,2322,2974,2226,1325,4106,3693,2952,7049,6924,6309,3044,1317,470,38972,1564,2538,2504,1385,904,2346,1893,2088,5071,6089,6282,3437,1979,892,5310,2737,162,144,98,111,26,110,70,99,556,584,421,246,105,5,2573,125,36,202,62,44,172,120,99,328,482,496,302,92,13,8779,3265,254,298,223,183,31,240,174,307,496,474,334,183,46,22,5514,277,354,363,169,171,301,391,647,802,934,543,363,135,64,539,260,84,0,5,0,0,44,22,29,0,57,11,3,0,5,279,11,1,0,3,0,14,6,1,79,63,43,54,4,0,10847,6100,519,712,516,256,132,526,563,769,852,626,444,85,70,30,4747,387,464,504,279,172,493,522,364,680,437,286,128,10,21,34703,17522,1944,2309,2233,969,622,1066,630,804,1973,1850,1613,1035,407,67,17181,2041,1924,2595,1259,497,828,579,666,1415,1883,1674,1210,391,219,1975633,985626,49978,58035,64772,40630,21097,56199,50189,53226,123902,153466,148436,108221,47287,10188,990007,47594,55409,60073,37815,18474,52448,48258,53768,123825,153899,152781,110395,55282,19986,45458,24709,2791,2872,2566,1233,744,1970,1844,2355,3211,2370,1406,756,517,74,20749,2243,2150,2339,1381,589,1927,1629,1328,2543,1842,1551,648,382,197,43.2,42.3,44.2,43.7,42.9,44.6,40.5,37.6,43.3,45.8,44.9,47.4,35.2,33.8,36.4,43.2,24.9,50.5,27.0,28.4,25.7,22.0,22.6,21.5,44.0,43.2,44.8,24.9,25.5,24.4,2152737
40,TN,47,,,,,040A0US47,Tennessee -- In metropolitan or micropolitan statistical area,5850729,2843837,186347,190980,195573,116538,78315,45351,43711,120712,192076,189635,180290,195202,193924,199638,187856,69328,95775,57808,76899,94215,63298,40543,29823,3006892,178970,185412,185880,111784,75765,42724,43193,123876,197905,196553,189292,198525,202083,214650,205901,75656,108726,66866,83842,109579,82859,62476,64375,4492051,2197271,127646,135344,141113,84336,55089,151170,142209,142030,290734,315987,291717,199954,93153,26789,2294780,122211,129467,131736,79693,52623,149660,144784,144045,292317,327116,315304,222468,126798,56558,1030828,484048,38846,39134,39652,24722,18051,44982,36011,33280,61116,62014,51220,23417,8879,2724,546780,37963,37485,38592,24107,18084,47661,40195,38843,72349,73285,63262,31695,16177,7082,15772,7718,727,483,300,373,210,523,336,620,1194,1207,906,628,174,37,8054,336,346,546,248,232,707,375,881,1092,1218,1349,438,260,26,99975,45979,2922,3678,2907,1974,1051,3766,3789,4223,8530,6024,4020,2186,781,128,53996,3313,3565,3562,2099,1640,3350,4593,5145,9938,7194,5301,2931,1135,230,3138,1458,118,96,67,49,53,161,157,133,134,271,120,38,49,12,1680,150,99,211,50,39,196,153,41,348,244,95,52,2,0,93294,50091,6258,4389,4431,1732,1176,4365,6220,6540,8505,3894,1715,713,132,21,43203,6176,5577,3599,2023,1118,3705,4637,4382,6585,3247,1324,701,89,40,115671,57272,9830,7856,7103,3352,2685,4807,3354,2809,5279,4165,3261,1986,673,112,58399,8821,8873,7634,3564,2029,4514,3168,3216,5188,4429,3648,2002,874,439,4299255,2093961,115480,123119,130948,79669,52231,142808,132767,132055,273847,307353,286946,197863,92342,26533,2205294,110430,118769,123035,75447,49867,142435,137711,135965,278822,320229,310451,220501,125586,56046,305289,163155,20297,17724,15848,7026,4484,14174,15886,16874,26239,13431,6961,2918,1015,278,142134,19607,17871,13409,6626,4292,11734,11918,13184,21133,10894,6614,2799,1414,639,38.0,36.7,39.3,40.5,39.3,41.7,32.0,30.1,33.7,38.2,38.3,38.1,34.0,33.2,34.7,29.4,30.4,28.4,25.9,27.1,24.1,18.3,18.3,18.3,41.5,40.3,42.6,24.9,25.5,24.0,5850729
40,TN,47,,,,,040C0US47,Tennessee -- In metropolitan statistical area,5007264,2431239,162040,164750,167206,99870,67208,38254,38052,104969,169366,165946,156109,168352,166247,170136,159318,58678,80373,47418,63186,75436,50825,32880,24620,2576025,156080,160945,159070,95686,65390,36277,36882,108720,175119,172377,164338,171606,173018,183987,174745,64924,90695,56007,68022,88884,68239,51338,53676,3715101,1818098,106377,112163,115697,69175,45448,125373,121679,120811,244061,262724,240309,158926,73585,21770,1897003,102066,107865,108217,65148,43435,124501,123910,121930,244336,271211,258828,177132,102023,46401,999174,468179,37717,38125,38621,24130,17153,43529,34906,32189,59063,59928,49221,22448,8548,2601,530995,36906,36565,37633,23444,17412,45930,39358,38022,70315,71402,61284,30556,15519,6649,13238,6660,649,454,247,345,189,410,308,508,1118,939,814,489,167,23,6578,290,300,444,210,232,531,256,737,941,993,1116,335,167,26,94959,43981,2876,3498,2786,1886,1015,3567,3634,4072,8189,5604,3869,2089,781,115,50978,3174,3336,3343,1937,1483,3116,4380,4793,9647,6728,4969,2769,1073,230,3012,1402,110,96,67,49,53,155,157,120,126,265,120,35,49,0,1610,150,98,211,47,39,196,153,41,327,237,69,40,2,0,83419,44797,5721,3979,4111,1546,1027,3908,5715,5902,7287,3467,1379,625,115,15,38622,5624,4725,3039,1845,978,3402,4299,4048,5874,2858,1179,630,81,40,98361,48122,8590,6435,5677,2739,2323,4333,2967,2344,4617,3456,2657,1428,460,96,50239,7870,8056,6183,3055,1811,4203,2763,2806,4504,3576,2919,1451,712,330,3544816,1726804,95772,101391,107304,64982,42851,118017,113041,112113,228862,255024,236008,157081,72826,21532,1818012,91706,98299,100497,61596,41005,118206,117467,114964,232102,265114,254596,175509,100976,45975,270304,144492,17971,15583,13527,6328,4054,12535,14490,14940,23242,11963,6118,2550,937,254,125812,17501,15761,11686,5654,3764,10305,10870,11679,19066,9632,5736,2364,1241,553,37.5,36.2,38.7,40.2,39.0,41.3,31.9,30.0,33.7,37.8,37.8,37.8,34.1,33.1,34.9,28.6,30.2,27.9,25.8,26.7,24.5,18.3,18.5,17.9,41.1,40.0,42.3,25.1,25.6,24.2,5007264
40,TN,47,,,,,040C1US47,Tennessee -- In metropolitan statistical area -- in principal city,2263015,1086124,80604,73637,69027,39580,34295,20681,21835,57484,96563,86912,72763,70482,68242,67485,64363,23685,30658,16673,23072,26090,17999,13037,10957,1176891,79128,72571,65207,38916,36301,20894,21941,62396,100600,87343,75619,72480,70181,75712,72321,27783,37567,22198,26631,34586,28042,23216,25258,1302979,632156,38716,35620,32590,18276,17556,55265,58458,52841,86329,82712,75525,45908,23416,8944,670823,37884,34434,30253,17627,19196,59271,59818,49224,82720,83279,83674,56440,37221,19782,783467,364752,30866,29607,29455,17748,13508,35876,28773,25201,44059,45417,38231,17327,6805,1879,418715,30173,28187,28124,17510,14526,38258,32746,30215,52887,54959,48471,24345,13164,5150,5835,3037,259,205,162,64,134,337,269,250,325,376,347,231,73,5,2798,116,104,85,62,137,374,52,258,413,398,584,164,51,0,54679,26022,1435,1908,1380,944,818,2718,2902,2672,4381,2862,2211,1229,482,80,28657,1739,1655,1462,1086,857,2295,2877,2795,5371,3564,2795,1555,457,149,1771,895,34,34,17,49,11,94,121,120,89,162,88,35,41,0,876,48,29,72,47,39,115,131,26,147,146,46,30,0,0,60437,32742,4376,2868,2625,1178,876,2822,4042,4312,5621,2544,963,460,55,0,27695,4536,3689,2202,1118,588,2230,3105,3085,3994,1889,774,407,59,19,53847,26520,4918,3395,2798,1321,1392,2888,1998,1516,2441,1654,1341,645,164,49,27327,4632,4473,3009,1466,958,2688,1871,1740,2567,1658,1327,474,306,158,1203387,578430,32484,29784,27916,15907,16038,50775,52421,47301,77109,78292,73435,44996,23130,8842,624957,31512,28924,26344,15657,17681,55236,55537,45180,75666,79787,81437,55701,36760,19535,170997,92332,11598,9379,8035,3917,2619,8192,10174,10110,15445,7507,3442,1429,383,102,78665,11874,10207,6570,3222,2356,6779,7428,7485,11784,5744,3132,1156,588,340,33.9,32.7,35.2,36.9,35.7,38.2,31.3,29.3,33.2,35.6,31.7,39.5,32.9,31.6,34.1,30.7,32.7,28.7,25.6,26.9,23.8,18.7,18.9,18.2,38.3,36.9,39.7,25.2,25.9,23.8,2263015
40,TN,47,,,,,040C2US47,Tennessee -- In metropolitan statistical area -- not in principal city,2744249,1345115,81436,91113,98179,60290,32913,17573,16217,47485,72803,79034,83346,97870,98005,102651,94955,34993,49715,30745,40114,49346,32826,19843,13663,1399134,76952,88374,93863,56770,29089,15383,14941,46324,74519,85034,88719,99126,102837,108275,102424,37141,53128,33809,41391,54298,40197,28122,28418,2412122,1185942,67661,76543,83107,50899,27892,70108,63221,67970,157732,180012,164784,113018,50169,12826,1226180,64182,73431,77964,47521,24239,65230,64092,72706,161616,187932,175154,120692,64802,26619,215707,103427,6851,8518,9166,6382,3645,7653,6133,6988,15004,14511,10990,5121,1743,722,112280,6733,8378,9509,5934,2886,7672,6612,7807,17428,16443,12813,6211,2355,1499,7403,3623,390,249,85,281,55,73,39,258,793,563,467,258,94,18,3780,174,196,359,148,95,157,204,479,528,595,532,171,116,26,40280,17959,1441,1590,1406,942,197,849,732,1400,3808,2742,1658,860,299,35,22321,1435,1681,1881,851,626,821,1503,1998,4276,3164,2174,1214,616,81,1241,507,76,62,50,0,42,61,36,0,37,103,32,0,8,0,734,102,69,139,0,0,81,22,15,180,91,23,10,2,0,22982,12055,1345,1111,1486,368,151,1086,1673,1590,1666,923,416,165,60,15,10927,1088,1036,837,727,390,1172,1194,963,1880,969,405,223,22,21,44514,21602,3672,3040,2879,1418,931,1445,969,828,2176,1802,1316,783,296,47,22912,3238,3583,3174,1589,853,1515,892,1066,1937,1918,1592,977,406,172,2341429,1148374,63288,71607,79388,49075,26813,67242,60620,64812,151753,176732,162573,112085,49696,12690,1193055,60194,69375,74153,45939,23324,62970,61930,69784,156436,185327,173159,119808,64216,26440,99307,52160,6373,6204,5492,2411,1435,4343,4316,4830,7797,4456,2676,1121,554,152,47147,5627,5554,5116,2432,1408,3526,3442,4194,7282,3888,2604,1208,653,213,40.5,39.5,41.5,41.8,40.8,42.8,33.8,32.3,35.4,38.9,41.0,36.3,35.8,36.1,35.6,24.3,21.6,24.6,26.3,26.5,26.1,17.4,17.0,17.6,42.4,41.4,43.4,24.8,24.8,24.9,2744249
40,TN,47,,,,,040E0US47,Tennessee -- In micropolitan statistical area,843465,412598,24307,26230,28367,16668,11107,7097,5659,15743,22710,23689,24181,26850,27677,29502,28538,10650,15402,10390,13713,18779,12473,7663,5203,430867,22890,24467,26810,16098,10375,6447,6311,15156,22786,24176,24954,26919,29065,30663,31156,10732,18031,10859,15820,20695,14620,11138,10699,776950,379173,21269,23181,25416,15161,9641,25797,20530,21219,46673,53263,51408,41028,19568,5019,397777,20145,21602,23519,14545,9188,25159,20874,22115,47981,55905,56476,45336,24775,10157,31654,15869,1129,1009,1031,592,898,1453,1105,1091,2053,2086,1999,969,331,123,15785,1057,920,959,663,672,1731,837,821,2034,1883,1978,1139,658,433,2534,1058,78,29,53,28,21,113,28,112,76,268,92,139,7,14,1476,46,46,102,38,0,176,119,144,151,225,233,103,93,0,5016,1998,46,180,121,88,36,199,155,151,341,420,151,97,0,13,3018,139,229,219,162,157,234,213,352,291,466,332,162,62,0,126,56,8,0,0,0,0,6,0,13,8,6,0,3,0,12,70,0,1,0,3,0,0,0,0,21,7,26,12,0,0,9875,5294,537,410,320,186,149,457,505,638,1218,427,336,88,17,6,4581,552,852,560,178,140,303,338,334,711,389,145,71,8,0,17310,9150,1240,1421,1426,613,362,474,387,465,662,709,604,558,213,16,8160,951,817,1451,509,218,311,405,410,684,853,729,551,162,109,754439,367157,19708,21728,23644,14687,9380,24791,19726,19942,44985,52329,50938,40782,19516,5001,387282,18724,20470,22538,13851,8862,24229,20244,21001,46720,55115,55855,44992,24610,10071,34985,18663,2326,2141,2321,698,430,1639,1396,1934,2997,1468,843,368,78,24,16322,2106,2110,1723,972,528,1429,1048,1505,2067,1262,878,435,173,86,41.4,40.1,42.7,42.4,41.1,43.7,34.7,33.5,35.9,40.9,44.3,38.9,33.2,36.7,32.5,45.5,39.1,58.1,26.2,31.2,20.1,18.7,17.1,22.8,43.1,41.9,44.4,23.6,24.4,22.6,843465
40,TN,47,,,,,040E1US47,Tennessee -- In micropolitan statistical area -- in principal city,236450,112444,7688,7302,7245,4307,4302,2574,2059,6199,8206,7314,6459,6998,6828,7056,6819,2196,3356,2370,2918,3999,3045,1594,1610,124006,7512,7296,7679,4578,4274,2629,2750,5496,7584,6894,6941,6720,8065,7561,7354,2435,4531,2586,3609,5829,4069,3404,4210,198187,93478,5634,5734,5591,3359,3337,9114,6912,5870,10920,11861,10749,8474,4422,1501,104709,5894,5575,5827,3542,3510,8921,6386,5660,11363,13453,12533,11140,6925,3980,21467,10289,915,716,679,452,675,936,682,708,1302,1352,1228,422,138,84,11178,825,683,706,493,509,1398,617,670,1427,1358,1273,631,423,165,1048,540,70,5,16,0,17,111,14,62,14,98,49,70,0,14,508,7,28,46,0,0,123,27,43,40,108,52,34,0,0,2892,1220,27,135,117,71,30,93,103,85,219,230,77,33,0,0,1672,56,130,179,152,36,117,167,162,187,223,136,89,38,0,47,32,0,0,0,0,0,6,0,13,8,0,0,0,0,5,15,0,0,0,0,0,0,0,0,8,7,0,0,0,0,5866,3044,298,219,225,99,112,305,306,370,782,175,127,9,17,0,2822,322,601,394,140,106,183,134,198,448,205,68,23,0,0,6943,3841,744,493,617,326,131,267,189,206,212,168,141,279,62,6,3102,408,279,527,251,113,133,253,161,188,272,258,107,87,65,187393,87504,4908,4961,4830,3162,3195,8413,6354,5322,10129,11437,10538,8345,4422,1488,99889,5071,5110,5439,3350,3298,8429,6060,5113,10788,13052,12321,10966,6913,3979,18065,9763,1215,1034,1067,317,271,1153,891,945,1593,689,374,175,26,13,8302,1189,1089,858,382,380,837,478,778,1060,667,354,217,12,1,36.5,34.4,38.8,38.7,36.3,40.9,31.8,30.8,32.6,31.9,31.8,32.3,30.7,30.9,30.0,39.6,30.8,.,24.6,29.5,16.9,16.5,15.4,18.8,40.3,37.8,42.2,23.4,24.4,21.8,236450
40,TN,47,,,,,040E2US47,Tennessee -- In micropolitan statistical area -- not in principal city,607015,300154,16619,18928,21122,12361,6805,4523,3600,9544,14504,16375,17722,19852,20849,22446,21719,8454,12046,8020,10795,14780,9428,6069,3593,306861,15378,17171,19131,11520,6101,3818,3561,9660,15202,17282,18013,20199,21000,23102,23802,8297,13500,8273,12211,14866,10551,7734,6489,578763,285695,15635,17447,19825,11802,6304,16683,13618,15349,35753,41402,40659,32554,15146,3518,293068,14251,16027,17692,11003,5678,16238,14488,16455,36618,42452,43943,34196,17850,6177,10187,5580,214,293,352,140,223,517,423,383,751,734,771,547,193,39,4607,232,237,253,170,163,333,220,151,607,525,705,508,235,268,1486,518,8,24,37,28,4,2,14,50,62,170,43,69,7,0,968,39,18,56,38,0,53,92,101,111,117,181,69,93,0,2124,778,19,45,4,17,6,106,52,66,122,190,74,64,0,13,1346,83,99,40,10,121,117,46,190,104,243,196,73,24,0,79,24,8,0,0,0,0,0,0,0,0,6,0,3,0,7,55,0,1,0,3,0,0,0,0,13,0,26,12,0,0,4009,2250,239,191,95,87,37,152,199,268,436,252,209,79,0,6,1759,230,251,166,38,34,120,204,136,263,184,77,48,8,0,10367,5309,496,928,809,287,231,207,198,259,450,541,463,279,151,10,5058,543,538,924,258,105,178,152,249,496,581,471,444,75,44,567046,279653,14800,16767,18814,11525,6185,16378,13372,14620,34856,40892,40400,32437,15094,3513,287393,13653,15360,17099,10501,5564,15800,14184,15888,35932,42063,43534,34026,17697,6092,16920,8900,1111,1107,1254,381,159,486,505,989,1404,779,469,193,52,11,8020,917,1021,865,590,148,592,570,727,1007,595,524,218,161,85,43.0,42.0,44.0,43.5,42.4,44.5,42.2,37.6,44.4,45.7,52.1,44.1,36.7,41.4,33.5,58.3,45.7,58.4,29.4,33.3,25.6,20.6,19.2,23.9,44.0,43.0,44.9,23.9,24.0,23.8,607015
