SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,TX,48,,,,,04000US48,Texas,26538614,13171316,996070,1021123,998209,587712,393694,215402,209494,582570,982673,961403,897542,897922,857621,861849,761410,270475,364990,217253,266183,330457,228243,153391,115630,13367298,955235,979891,959762,561008,366054,197969,192428,556850,948564,947710,898907,908091,865642,880746,799294,290888,401184,233233,300135,389996,289446,219572,224693,19874610,9879886,721921,740597,723699,427419,283283,723355,712711,703760,1318911,1306357,1108747,679526,326556,103044,9994724,686807,705091,698223,406616,263686,683561,689874,686446,1308749,1315831,1167700,756926,430592,194622,3152917,1526847,116041,122100,123139,75200,52630,132921,118839,113190,212626,202853,152077,69496,28757,6978,1626070,111724,118421,116026,71042,50136,129213,121992,123416,229776,222387,178219,90119,44617,18982,126493,64775,3511,4435,5205,3666,2584,5188,4860,3970,9320,9913,7178,3338,1339,268,61718,3885,4040,4789,3763,1931,4663,4035,4332,9411,8765,6358,3859,1464,423,1124011,546888,37149,38442,38147,20819,13403,41382,46608,47954,96820,74487,51055,27834,10797,1991,577123,34855,39128,35557,20290,13168,37884,49233,53543,105480,77366,60568,32892,13251,3908,21655,11017,1102,868,803,578,487,1020,1063,925,1948,848,1014,327,29,5,10638,585,539,1055,433,343,856,950,1225,1861,1339,941,314,197,0,1585866,818645,67857,70035,67788,39969,28766,76176,76495,72993,124451,99667,57977,23917,10171,2383,767221,68486,68015,65666,39112,24433,66356,61223,59056,118140,92308,57756,27747,13822,5101,653062,323258,48489,44646,39428,20061,12541,27424,22097,18611,31388,25345,18827,9455,3985,961,329804,48893,44657,38446,19752,12357,24714,21257,19692,33581,28392,19824,11507,5075,1657,11635757,5758681,315527,333175,333378,207088,141338,373921,386337,380744,740970,855256,816165,530186,260297,84299,5877076,299700,308846,322699,196393,127853,355266,379942,374695,729389,857949,850627,578813,335392,159512,10196367,5128099,501850,504448,479903,272244,178188,441490,415859,406310,722555,566230,361207,177740,78398,21677,5068268,483072,488372,463527,261252,167821,408479,381994,383018,717446,564535,385134,211282,111454,40882,34.1,33.0,35.1,35.3,34.3,36.3,32.4,31.0,33.8,34.0,33.6,34.4,34.7,33.9,35.5,30.3,28.6,32.2,29.0,28.8,29.2,19.8,19.3,20.2,41.8,40.7,42.9,27.7,27.2,28.4,26538614
40,TX,48,,,,,04001US48,Texas -- Urban,22547056,11125455,876592,887079,853626,496906,342274,188953,184416,512240,871100,839916,773775,767093,715954,706017,610722,214594,286121,167288,200775,247338,172682,117257,92737,11421601,840609,854115,823163,478224,323011,176775,172233,498657,849425,838707,786771,783805,731150,728889,652861,233833,324418,185047,235027,306777,229915,179148,189041,16363120,8093861,617731,624793,599245,349132,240463,622995,619260,600964,1103685,1045682,851185,496213,240912,81601,8269259,588833,596965,580746,335077,227251,597757,602081,590238,1099753,1060383,914176,575285,338496,162218,2936326,1403092,111683,115603,115366,70281,48760,122544,109934,103644,192430,183068,137094,61422,25348,5915,1533234,106323,113123,109465,67129,47332,123572,117718,118094,219013,208035,164399,82236,39946,16849,104550,53500,2978,3870,4503,3049,2225,4298,4228,3363,7881,7962,5474,2408,1052,209,51050,3260,3534,3933,2921,1622,4135,3502,3909,7863,7011,4828,3042,1163,327,1091357,532075,35964,37368,37052,20349,12973,40590,45632,47086,93689,72448,49387,27024,10542,1971,559282,33702,37686,34256,19864,12828,37167,48121,52167,102237,74835,58031,31865,12770,3753,20153,10234,1082,824,775,571,435,873,1005,904,1786,765,870,310,29,5,9919,565,522,984,347,319,807,920,1199,1729,1222,892,245,168,0,1452907,746912,63030,64241,62263,36154,26283,69827,70941,67194,113966,90210,51287,20513,8777,2226,705995,64115,62186,59718,35786,22501,61707,57597,54999,109528,83903,52255,24852,12260,4588,578643,285781,44124,40380,34422,17370,11135,24482,20100,16761,27431,21836,16140,7511,3279,810,292862,43811,40099,34061,17100,11158,22520,19486,18101,30453,24650,16531,9326,4260,1306,8894826,4379126,247340,255579,247354,151781,111489,306904,322423,309243,581996,642193,591814,364486,181879,64645,4515700,235901,238268,241428,144979,102846,294215,316354,303647,570021,645142,627548,414325,251725,129301,9258936,4632167,459123,458391,433819,244118,162156,400234,379653,368257,653321,507338,320433,156120,69562,19642,4626769,442054,443214,419323,236486,153869,377869,353389,353122,657341,511976,348137,190650,101185,38154,33.0,32.0,34.1,34.1,33.0,35.1,32.0,30.3,33.4,33.0,32.3,33.5,34.6,33.8,35.4,30.1,28.3,32.0,28.8,28.6,29.1,19.6,19.0,20.0,40.5,39.2,41.8,27.6,27.0,28.3,22547056
40,TX,48,,,,,04043US48,Texas -- Rural,3991558,2045861,119478,134044,144583,90806,51420,26449,25078,70330,111573,121487,123767,130829,141667,155832,150688,55881,78869,49965,65408,83119,55561,36134,22893,1945697,114626,125776,136599,82784,43043,21194,20195,58193,99139,109003,112136,124286,134492,151857,146433,57055,76766,48186,65108,83219,59531,40424,35652,3511490,1786025,104190,115804,124454,78287,42820,100360,93451,102796,215226,260675,257562,183313,85644,21443,1725465,97974,108126,117477,71539,36435,85804,87793,96208,208996,255448,253524,181641,92096,32404,216591,123755,4358,6497,7773,4919,3870,10377,8905,9546,20196,19785,14983,8074,3409,1063,92836,5401,5298,6561,3913,2804,5641,4274,5322,10763,14352,13820,7883,4671,2133,21943,11275,533,565,702,617,359,890,632,607,1439,1951,1704,930,287,59,10668,625,506,856,842,309,528,533,423,1548,1754,1530,817,301,96,32654,14813,1185,1074,1095,470,430,792,976,868,3131,2039,1668,810,255,20,17841,1153,1442,1301,426,340,717,1112,1376,3243,2531,2537,1027,481,155,1502,783,20,44,28,7,52,147,58,21,162,83,144,17,0,0,719,20,17,71,86,24,49,30,26,132,117,49,69,29,0,132959,71733,4827,5794,5525,3815,2483,6349,5554,5799,10485,9457,6690,3404,1394,157,61226,4371,5829,5948,3326,1932,4649,3626,4057,8612,8405,5501,2895,1562,513,74419,37477,4365,4266,5006,2691,1406,2942,1997,1850,3957,3509,2687,1944,706,151,36942,5082,4558,4385,2652,1199,2194,1771,1591,3128,3742,3293,2181,815,351,2740931,1379555,68187,77596,86024,55307,29849,67017,63914,71501,158974,213063,224351,165700,78418,19654,1361376,63799,70578,81271,51414,25007,61051,63588,71048,159368,212807,223079,164488,83667,30211,937431,495932,42727,46057,46084,28126,16032,41256,36206,38053,69234,58892,40774,21620,8836,2035,441499,41018,45158,44204,24766,13952,30610,28605,29896,60105,52559,36997,20632,10269,2728,41.1,40.2,42.1,42.0,41.2,42.9,39.3,37.6,42.2,39.3,40.3,38.5,37.6,36.9,38.3,36.5,36.1,40.9,31.2,31.2,31.3,21.4,21.4,21.3,46.2,45.6,46.9,28.7,28.8,28.6,3991558
40,TX,48,,,,,040A0US48,Texas -- In metropolitan or micropolitan statistical area,25132539,12453163,952164,974220,950322,558814,374343,205936,200627,554602,939188,917828,854106,855744,812685,811749,712240,251470,338863,200164,242635,298118,205329,137745,104271,12679376,912507,935441,913077,533567,349636,189933,185389,536048,914333,911472,861341,870095,823413,832677,750768,271227,373930,215480,275356,355872,262952,200192,204670,18681479,9276513,685914,702469,684398,403846,268219,687321,678366,668323,1248883,1226182,1026024,612985,291107,92476,9404966,652108,668412,660489,383539,250532,654447,660368,655777,1244666,1238825,1083259,687266,388844,176434,3047094,1468906,113279,118649,119242,72811,50689,127500,113885,108849,204325,194707,145946,65811,26884,6329,1578188,108554,115634,112044,69139,48717,125773,120203,120901,224572,215400,171588,85904,42105,17654,119437,60870,3358,4197,5079,3482,2410,4957,4755,3811,8676,9222,6444,2944,1275,260,58567,3553,3893,4650,3630,1830,4534,3773,4128,8940,8287,6018,3579,1350,402,1118410,544259,37033,38210,37960,20685,13331,41227,46463,47733,96344,74101,50715,27746,10720,1991,574151,34542,38900,35377,20194,13080,37775,49101,53312,104967,76984,60176,32704,13143,3896,20960,10704,1102,849,791,578,446,999,1018,855,1875,848,995,319,29,0,10256,487,529,1019,433,341,790,946,1209,1780,1302,917,314,189,0,1516175,781298,64760,66718,64808,38194,27218,72809,73353,70322,119479,95093,54545,22203,9487,2309,734877,65733,65240,62668,37523,23156,64176,59064,56845,113606,88177,55012,26135,12817,4725,628984,310613,46718,43128,38044,19218,12030,26352,21348,17935,30268,24281,17904,8909,3572,906,318371,47530,42833,36830,19109,11980,23875,20878,19300,32905,27115,18955,10806,4696,1559,10741596,5315082,294055,309175,307961,191060,132270,351747,364301,358460,692673,792875,746506,471096,228171,74732,5426514,278803,286229,298686,180737,119355,336293,359019,352951,682630,795929,778154,517012,297923,142793,9814481,4923310,483174,485914,462425,262443,170267,423692,399819,390108,694904,543233,344192,168301,74268,20570,4891171,465694,470643,446224,251949,161693,395621,371047,371636,695051,544834,370172,201547,106052,39008,33.7,32.7,34.8,34.9,33.9,35.9,32.3,30.8,33.7,33.6,32.8,34.3,34.7,33.9,35.4,30.3,28.4,32.4,29.0,28.8,29.1,19.7,19.2,20.2,41.3,40.2,42.5,27.7,27.1,28.4,25132539
40,TX,48,,,,,040C0US48,Texas -- In metropolitan statistical area,23510680,11627475,894921,915589,893215,523605,347506,189374,186878,517676,883942,864410,802325,804717,760763,756738,661759,232926,312870,183491,221648,270505,185291,123152,94174,11883205,857916,880085,858382,500664,323570,176221,172043,504440,867396,865586,817148,823016,775991,781925,701345,251795,345912,198642,251855,324471,238514,181103,185185,17310079,8584125,637997,653441,636874,374758,246713,633314,633363,624473,1165438,1136673,944349,554179,259417,83136,8725954,607192,622426,614799,356185,229408,605923,620572,616529,1167762,1154322,999255,623108,349735,158738,2908701,1393064,109052,113965,114715,69782,47688,119794,108030,103103,192434,183668,137849,61999,25133,5852,1515637,104361,111306,108122,66756,45464,120035,116352,117338,217244,207324,164139,81485,39263,16448,109578,56012,3108,3953,4691,3155,2280,4526,4378,3557,8003,8450,5931,2557,1189,234,53566,3099,3620,4334,3149,1651,4212,3270,3790,8545,7620,5533,3241,1227,275,1104561,537338,36404,37741,37511,20295,13075,40456,45953,47095,95283,73232,50176,27532,10611,1974,567223,33970,38282,34906,20053,12880,37405,48481,52688,103720,76375,59297,32385,12974,3807,19722,10063,1057,827,734,578,411,979,1018,798,1620,756,942,319,24,0,9659,468,529,943,415,301,773,946,1198,1668,1149,883,226,160,0,1460156,752300,62761,64458,62658,36718,26068,69938,70787,68334,115300,91817,51660,20883,8776,2142,707856,63547,63007,60354,36021,22432,61673,57484,55304,109709,85146,52167,24586,11956,4470,597883,294573,44542,41204,36032,18319,11271,24921,20413,17050,28964,22905,16648,8175,3293,836,303310,45279,40915,34924,18085,11434,22683,20291,18739,31516,25980,17778,9937,4302,1447,9909308,4900710,273242,286588,285677,176398,120833,323530,340091,334946,645281,734452,685901,424364,202614,66793,5008598,259292,265880,276588,167045,107797,309740,337001,331190,638149,739715,715239,466457,266732,127773,9199193,4606148,452880,456138,433633,245809,158552,394249,375747,367208,653474,508053,319586,154544,67294,18981,4593045,436536,441540,419063,235987,150871,370467,351259,352089,657713,512629,345684,186081,97088,36038,33.6,32.6,34.6,34.7,33.7,35.7,32.2,30.6,33.6,33.7,32.6,34.6,34.8,33.9,35.5,29.8,27.7,31.8,28.9,28.8,29.0,19.7,19.1,20.2,41.0,40.0,42.2,27.7,27.1,28.4,23510680
40,TX,48,,,,,040C1US48,Texas -- In metropolitan statistical area -- in principal city,12010968,5927702,470910,450896,424212,247388,182509,106316,106626,301057,522823,479856,416198,392965,370533,362286,314781,112897,148968,86040,101735,126050,88754,62552,51350,6083266,451943,433821,408734,237115,178645,103032,103035,299834,505751,466864,407883,400779,371946,375820,340999,123395,168250,97169,120645,159901,123195,97347,107163,8490857,4202038,321231,310609,292793,170785,127212,355381,362928,334903,567084,520440,428863,243970,121818,44021,4288819,307847,295498,282154,162058,124553,350136,348367,320246,556387,527722,462270,286646,175219,89716,1700672,807325,65434,63821,60600,35393,26345,72938,68641,61957,103906,105909,81485,39198,17358,4340,893347,62604,63574,58718,35372,25876,76731,75425,70457,116912,118003,98130,52523,27745,11277,55599,28257,1743,1792,2493,1716,1219,2331,2192,1808,4322,3926,2694,1262,643,116,27342,1486,2131,2062,1132,762,2494,2093,2243,4479,3697,2571,1352,687,153,578433,284381,18832,17735,17375,9745,7356,25410,30244,29159,50057,35358,24019,13166,4854,1071,294052,17793,17668,16360,9442,8075,23667,30257,30766,50087,35990,28612,16253,7015,2067,10943,5472,606,458,221,294,254,598,652,382,1001,433,411,142,20,0,5471,266,312,549,159,111,441,521,767,973,593,602,143,34,0,871942,450300,39243,37014,34714,20908,14890,43329,45708,41849,68277,55312,30537,12243,4932,1344,421642,38878,36328,33032,20662,13523,38946,36306,32560,64074,49531,31378,15664,7563,3197,302522,149929,23821,19467,16016,8547,5233,14012,12458,9798,14516,11441,8637,3844,1681,458,152593,23069,18310,15859,8290,5745,13486,12782,9825,15750,12230,9081,5134,2279,753,4100846,2028720,108696,100442,96078,59306,53066,165836,179825,159528,264339,283646,273972,164920,85683,33383,2072126,104604,94549,92192,55519,50963,163951,172996,148507,246009,280938,286676,187463,119812,67947,5451247,2719634,266565,260279,241845,138094,92471,241615,236216,222926,380480,299963,191076,93508,42317,12279,2731613,256030,248618,233347,132969,90523,233120,218209,210623,384397,303650,212664,117761,64426,25276,32.4,31.4,33.3,33.2,32.2,34.2,32.1,30.8,33.3,32.8,31.7,33.8,33.2,32.5,33.9,30.1,28.1,31.9,28.9,28.8,29.0,21.2,20.7,21.8,39.8,38.5,41.2,28.1,27.4,28.9,12010968
40,TX,48,,,,,040C2US48,Texas -- In metropolitan statistical area -- not in principal city,11499712,5699773,424011,464693,469003,276217,164997,83058,80252,216619,361119,384554,386127,411752,390230,394452,346978,120029,163902,97451,119913,144455,96537,60600,42824,5799939,405973,446264,449648,263549,144925,73189,69008,204606,361645,398722,409265,422237,404045,406105,360346,128400,177662,101473,131210,164570,115319,83756,78022,8819222,4382087,316766,342832,344081,203973,119501,277933,270435,289570,598354,616233,515486,310209,137599,39115,4437135,299345,326928,332645,194127,104855,255787,272205,296283,611375,626600,536985,336462,174516,69022,1208029,585739,43618,50144,54115,34389,21343,46856,39389,41146,88528,77759,56364,22801,7775,1512,622290,41757,47732,49404,31384,19588,43304,40927,46881,100332,89321,66009,28962,11518,5171,53979,27755,1365,2161,2198,1439,1061,2195,2186,1749,3681,4524,3237,1295,546,118,26224,1613,1489,2272,2017,889,1718,1177,1547,4066,3923,2962,1889,540,122,526128,252957,17572,20006,20136,10550,5719,15046,15709,17936,45226,37874,26157,14366,5757,903,273171,16177,20614,18546,10611,4805,13738,18224,21922,53633,40385,30685,16132,5959,1740,8779,4591,451,369,513,284,157,381,366,416,619,323,531,177,4,0,4188,202,217,394,256,190,332,425,431,695,556,281,83,126,0,588214,302000,23518,27444,27944,15810,11178,26609,25079,26485,47023,36505,21123,8640,3844,798,286214,24669,26679,27322,15359,8909,22727,21178,22744,45635,35615,20789,8922,4393,1273,295361,144644,20721,21737,20016,9772,6038,10909,7955,7252,14448,11464,8011,4331,1612,378,150717,22210,22605,19065,9795,5689,9197,7509,8914,15766,13750,8697,4803,2023,694,5808462,2871990,164546,186146,189599,117092,67767,157694,160266,175418,380942,450806,411929,259444,116931,33410,2936472,154688,171331,184396,111526,56834,145789,164005,182683,392140,458777,428563,278994,146920,59826,3747946,1886514,186315,195859,191788,107715,66081,152634,139531,144282,272994,208090,128510,61036,24977,6702,1861432,180506,192922,185716,103018,60348,137347,133050,141466,273316,208979,133020,68320,32662,10762,35.0,34.0,35.9,36.3,35.4,37.2,32.3,30.4,34.0,34.8,33.5,36.1,36.7,35.9,37.3,29.2,27.4,31.5,28.9,28.8,29.1,18.3,18.0,18.6,41.9,41.0,42.8,27.0,26.4,27.6,11499712
40,TX,48,,,,,040E0US48,Texas -- In micropolitan statistical area,1621859,825688,57243,58631,57107,35209,26837,16562,13749,36926,55246,53418,51781,51027,51922,55011,50481,18544,25993,16673,20987,27613,20038,14593,10097,796171,54591,55356,54695,32903,26066,13712,13346,31608,46937,45886,44193,47079,47422,50752,49423,19432,28018,16838,23501,31401,24438,19089,19485,1371400,692388,47917,49028,47524,29088,21506,54007,45003,43850,83445,89509,81675,58806,31690,9340,679012,44916,45986,45690,27354,21124,48524,39796,39248,76904,84503,84004,64158,39109,17696,138393,75842,4227,4684,4527,3029,3001,7706,5855,5746,11891,11039,8097,3812,1751,477,62551,4193,4328,3922,2383,3253,5738,3851,3563,7328,8076,7449,4419,2842,1206,9859,4858,250,244,388,327,130,431,377,254,673,772,513,387,86,26,5001,454,273,316,481,179,322,503,338,395,667,485,338,123,127,13849,6921,629,469,449,390,256,771,510,638,1061,869,539,214,109,17,6928,572,618,471,141,200,370,620,624,1247,609,879,319,169,89,1238,641,45,22,57,0,35,20,0,57,255,92,53,0,5,0,597,19,0,76,18,40,17,0,11,112,153,34,88,29,0,56019,28998,1999,2260,2150,1476,1150,2871,2566,1988,4179,3276,2885,1320,711,167,27021,2186,2233,2314,1502,724,2503,1580,1541,3897,3031,2845,1549,861,255,31101,16040,2176,1924,2012,899,759,1431,935,885,1304,1376,1256,734,279,70,15061,2251,1918,1906,1024,546,1192,587,561,1389,1135,1177,869,394,112,832288,414372,20813,22587,22284,14662,11437,28217,24210,23514,47392,58423,60605,46732,25557,7939,417916,19511,20349,22098,13692,11558,26553,22018,21761,44481,56214,62915,50555,31191,15020,615288,317162,30294,29776,28792,16634,11715,29443,24072,22900,41430,35180,24606,13757,6974,1589,298126,29158,29103,27161,15962,10822,25154,19788,19547,37338,32205,24488,15466,8964,2970,36.2,35.2,37.5,37.2,36.0,38.6,34.6,34.3,35.0,32.1,35.3,29.8,31.8,29.9,34.2,40.0,38.1,46.1,30.6,30.1,31.4,20.2,20.5,19.4,44.9,43.4,46.4,27.6,27.4,27.9,1621859
40,TX,48,,,,,040E1US48,Texas -- In micropolitan statistical area -- in principal city,778355,387812,31357,29454,27398,16864,15149,9612,8056,19688,28642,25850,23805,23480,22503,23698,20308,7083,10097,6451,7754,10614,8483,6513,4953,390543,28996,28517,26690,14652,16015,8692,7894,18470,25242,23133,22247,22212,21154,22152,20681,8347,11671,6907,9643,13993,11688,9932,11615,624116,310296,25030,23337,21210,12643,11539,28998,22672,20894,37317,37089,30294,21267,13482,4524,313820,22450,22457,20967,11063,12305,27548,20188,18587,34341,34928,33348,25985,19094,10559,87480,43733,3343,3328,3050,2251,2235,5034,3295,2588,5596,5602,4197,2188,821,205,43747,3246,3089,2573,1874,2546,4767,2883,2709,5363,5189,4531,2735,1474,768,5374,2415,139,188,241,167,56,171,178,122,424,248,274,171,36,0,2959,334,175,201,226,135,237,397,182,238,327,201,170,72,64,9605,4987,531,352,308,325,160,514,384,494,729,586,370,125,92,17,4618,409,417,345,59,173,259,417,454,808,379,508,192,146,52,943,437,21,22,57,0,33,6,0,57,158,78,0,0,5,0,506,19,0,76,11,33,14,0,0,112,150,34,43,14,0,32738,16749,1030,1084,1362,914,664,1748,1674,1145,2324,1880,1640,709,415,160,15989,1280,1220,1192,846,458,1535,984,798,2682,1707,1512,1042,614,119,18099,9195,1263,1143,1170,564,462,885,439,550,737,718,713,359,145,47,8904,1258,1159,1336,573,365,696,373,403,915,626,565,376,206,53,323741,156062,8474,7709,7173,4566,5664,15343,11177,9311,17720,20451,19839,14839,10043,3753,167679,8333,7613,7690,4559,6711,14707,10025,8394,16467,19472,22274,18463,14181,8790,346158,177346,18361,17453,16310,9447,6857,15843,13605,13079,22634,18980,12478,7432,3915,952,168812,16288,16921,15341,7940,6405,14820,11479,11304,21293,17672,12972,8781,5669,1927,32.7,31.3,34.3,33.7,32.1,35.4,30.2,29.1,31.3,29.1,32.6,28.3,30.7,29.2,33.4,40.0,38.5,42.6,31.0,29.7,33.0,19.3,20.0,18.5,42.3,39.7,44.7,27.1,26.5,27.8,778355
40,TX,48,,,,,040E2US48,Texas -- In micropolitan statistical area -- not in principal city,843504,437876,25886,29177,29709,18345,11688,6950,5693,17238,26604,27568,27976,27547,29419,31313,30173,11461,15896,10222,13233,16999,11555,8080,5144,405628,25595,26839,28005,18251,10051,5020,5452,13138,21695,22753,21946,24867,26268,28600,28742,11085,16347,9931,13858,17408,12750,9157,7870,747284,382092,22887,25691,26314,16445,9967,25009,22331,22956,46128,52420,51381,37539,18208,4816,365192,22466,23529,24723,16291,8819,20976,19608,20661,42563,49575,50656,38173,20015,7137,50913,32109,884,1356,1477,778,766,2672,2560,3158,6295,5437,3900,1624,930,272,18804,947,1239,1349,509,707,971,968,854,1965,2887,2918,1684,1368,438,4485,2443,111,56,147,160,74,260,199,132,249,524,239,216,50,26,2042,120,98,115,255,44,85,106,156,157,340,284,168,51,63,4244,1934,98,117,141,65,96,257,126,144,332,283,169,89,17,0,2310,163,201,126,82,27,111,203,170,439,230,371,127,23,37,295,204,24,0,0,0,2,14,0,0,97,14,53,0,0,0,91,0,0,0,7,7,3,0,11,0,3,0,45,15,0,23281,12249,969,1176,788,562,486,1123,892,843,1855,1396,1245,611,296,7,11032,906,1013,1122,656,266,968,596,743,1215,1324,1333,507,247,136,13002,6845,913,781,842,335,297,546,496,335,567,658,543,375,134,23,6157,993,759,570,451,181,496,214,158,474,509,612,493,188,59,508547,258310,12339,14878,15111,10096,5773,12874,13033,14203,29672,37972,40766,31893,15514,4186,250237,11178,12736,14408,9133,4847,11846,11993,13367,28014,36742,40641,32092,17010,6230,269130,139816,11933,12323,12482,7187,4858,13600,10467,9821,18796,16200,12128,6325,3059,637,129314,12870,12182,11820,8022,4417,10334,8309,8243,16045,14533,11516,6685,3295,1043,39.6,38.6,40.8,40.2,39.2,41.2,40.4,38.8,44.5,38.5,38.4,39.3,34.9,32.2,36.6,39.7,36.8,66.3,30.3,30.6,29.9,21.5,22.0,21.4,46.3,45.3,47.4,28.3,28.5,28.0,843504
