SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,UT,49,,,,,04000US49,Utah,2903379,1459229,130873,131094,128076,70832,43237,20045,24595,79431,109125,115198,102771,88181,76552,76913,71490,25473,35523,19864,25627,32191,23112,15827,13199,1444150,124371,125110,120364,66798,43802,24120,25028,71405,106576,110546,99664,83229,74993,78113,73221,26745,37090,22143,27130,35931,27761,20155,19855,2544735,1277139,111302,111640,109321,60545,36316,105944,93141,100216,166176,136858,121911,73716,37315,12738,1267596,104791,106584,102483,56786,37698,102752,92234,97045,159304,136420,126343,80233,45815,19108,31909,17807,1325,1807,1685,1016,793,1662,1505,1373,2871,1815,1358,352,212,33,14102,1394,1483,1636,1049,593,1364,1319,1189,1244,1193,978,391,178,91,31824,15432,1425,1234,1531,833,761,1458,1304,1228,2012,1695,1233,452,253,13,16392,1396,1143,1323,924,527,1780,1324,952,2256,2351,1531,521,292,72,64102,29523,1931,1890,1901,1196,1133,3227,2918,2839,4565,3321,2678,1185,532,207,34579,1804,2272,1937,1208,949,3261,3533,3196,5962,4299,3308,1713,783,354,26147,13486,1362,1205,1523,728,530,1327,1374,1226,1764,1096,870,340,102,39,12661,1187,1369,1469,581,580,1452,1299,852,1442,975,828,406,206,15,129907,67674,7214,7904,6262,3170,2325,6654,6223,5989,10704,6503,3294,914,407,111,62233,6974,6729,6695,3322,1842,5757,4942,5269,10016,5825,3041,1368,286,167,74755,38168,6314,5414,5853,3344,1379,3799,2660,2327,2860,2177,1142,723,118,58,36587,6825,5530,4821,2928,1613,4187,1925,2043,2669,2043,1027,572,356,48,2308090,1155542,97046,97801,96639,53603,32117,95005,83197,90444,148743,125674,115851,70873,36059,12490,1152548,91366,94307,90104,50644,32980,92895,83267,87918,143804,125710,119852,77010,44225,18466,389856,200478,23298,22891,20678,11192,7147,18193,16723,16522,29215,18472,9892,4110,1744,401,189378,22542,20626,20705,10569,7151,16839,14444,14804,26511,17401,10155,4763,2045,823,30.1,29.6,30.6,31.0,30.5,31.5,25.3,27.3,22.9,28.0,26.4,29.0,32.5,30.7,33.9,24.6,25.2,24.2,25.0,25.3,24.8,16.2,16.3,16.1,31.7,31.2,32.3,24.0,24.1,23.8,2903379
40,UT,49,,,,,04001US49,Utah -- Urban,2629431,1320228,120061,119618,115252,63274,39673,18325,22657,74584,102864,106530,94083,80648,69130,68180,61877,21903,30363,17041,21806,27203,19638,13843,11675,1309203,113859,113765,108298,60324,40478,22539,23427,67110,99303,102155,90764,76113,67926,68888,63683,23325,32530,19381,23570,31317,24534,18079,17835,2292765,1148954,101468,101283,97784,53893,33087,98321,87483,92226,151258,121925,104494,62426,32036,11270,1143811,95365,96403,91513,51019,34810,96200,85708,89209,144673,121316,109822,69892,40703,17178,30747,17080,1251,1736,1578,891,780,1586,1498,1349,2799,1714,1332,349,184,33,13667,1353,1427,1562,989,566,1322,1278,1185,1184,1193,975,364,178,91,21351,10442,1000,834,1048,507,565,994,953,897,1442,1075,755,216,152,4,10909,865,713,856,645,293,1278,975,719,1560,1588,1049,183,163,22,61998,28706,1903,1848,1845,1156,1078,3173,2881,2784,4442,3200,2560,1148,524,164,33292,1705,2207,1855,1194,949,3248,3451,3059,5717,4135,3082,1603,749,338,25655,13193,1358,1162,1474,697,527,1290,1366,1151,1732,1086,870,339,102,39,12462,1187,1334,1456,559,560,1409,1299,839,1439,975,780,406,204,15,126264,65743,7015,7725,6061,3060,2287,6512,6049,5899,10413,6233,3133,859,386,111,60521,6824,6488,6498,3186,1787,5602,4830,5156,9807,5702,2896,1339,263,143,70651,36110,6066,5030,5462,3070,1349,3690,2634,2224,2645,2077,999,713,97,54,34541,6560,5193,4558,2732,1513,4017,1762,1988,2497,1905,934,481,353,48,2067597,1033370,87934,88117,85844,47351,29078,87747,78022,82810,134724,111240,98842,59746,30886,11029,1034227,82504,84669,79787,45222,30349,86870,77105,80449,129856,110998,103716,66941,39193,16568,373175,191828,22238,21920,19609,10622,6913,17637,16066,16003,27945,17660,9326,3892,1603,394,181347,21726,19659,19703,10069,6804,16119,13879,14331,25524,16796,9609,4413,1942,773,29.7,29.2,30.3,30.6,30.1,31.1,25.6,27.5,23.1,27.8,25.9,28.9,32.2,30.5,33.6,24.7,25.2,24.3,25.0,25.2,24.9,16.2,16.5,16.0,31.2,30.7,31.8,24.0,24.1,23.9,2629431
40,UT,49,,,,,04043US49,Utah -- Rural,273948,139001,10812,11476,12824,7558,3564,1720,1938,4847,6261,8668,8688,7533,7422,8733,9613,3570,5160,2823,3821,4988,3474,1984,1524,134947,10512,11345,12066,6474,3324,1581,1601,4295,7273,8391,8900,7116,7067,9225,9538,3420,4560,2762,3560,4614,3227,2076,2020,251970,128185,9834,10357,11537,6652,3229,7623,5658,7990,14918,14933,17417,11290,5279,1468,123785,9426,10181,10970,5767,2888,6552,6526,7836,14631,15104,16521,10341,5112,1930,1162,727,74,71,107,125,13,76,7,24,72,101,26,3,28,0,435,41,56,74,60,27,42,41,4,60,0,3,27,0,0,10473,4990,425,400,483,326,196,464,351,331,570,620,478,236,101,9,5483,531,430,467,279,234,502,349,233,696,763,482,338,129,50,2104,817,28,42,56,40,55,54,37,55,123,121,118,37,8,43,1287,99,65,82,14,0,13,82,137,245,164,226,110,34,16,492,293,4,43,49,31,3,37,8,75,32,10,0,1,0,0,199,0,35,13,22,20,43,0,13,3,0,48,0,2,0,3643,1931,199,179,201,110,38,142,174,90,291,270,161,55,21,0,1712,150,241,197,136,55,155,112,113,209,123,145,29,23,24,4104,2058,248,384,391,274,30,109,26,103,215,100,143,10,21,4,2046,265,337,263,196,100,170,163,55,172,138,93,91,3,0,240493,122172,9112,9684,10795,6252,3039,7258,5175,7634,14019,14434,17009,11127,5173,1461,118321,8862,9638,10317,5422,2631,6025,6162,7469,13948,14712,16136,10069,5032,1898,16681,8650,1060,971,1069,570,234,556,657,519,1270,812,566,218,141,7,8031,816,967,1002,500,347,720,565,473,987,605,546,350,103,50,35.1,34.9,35.3,35.9,35.8,36.0,17.3,17.0,17.5,28.5,27.5,29.5,38.5,38.6,38.4,21.3,21.4,21.2,25.2,27.4,22.0,15.9,15.1,17.4,36.6,36.6,36.6,23.4,23.7,23.1,273948
40,UT,49,,,,,040A0US49,Utah -- In metropolitan or micropolitan statistical area,2760193,1386117,125381,124802,121547,66972,40885,19286,23621,76081,105281,110215,98185,84279,72827,72569,67145,23835,33113,18526,23741,29537,21217,14739,12333,1374076,118900,119332,114514,63381,41409,23287,24017,68949,102500,106105,95347,79906,71421,73796,68793,24971,34887,20671,25263,33298,25913,18828,18588,2418196,1212632,106585,106264,103647,57212,34463,101790,89853,95929,158679,129728,114096,68061,34432,11893,1205564,100149,101672,97369,53820,35690,99085,88724,93041,152533,129501,118658,74628,42778,17916,31348,17357,1304,1754,1672,979,765,1567,1457,1328,2833,1765,1339,349,212,33,13991,1394,1477,1618,1018,567,1352,1309,1189,1242,1193,975,388,178,91,22718,10961,1043,738,1126,594,586,962,994,955,1491,1171,872,269,159,1,11757,932,840,903,673,339,1412,1044,713,1655,1746,1047,273,165,15,63317,29167,1924,1876,1884,1171,987,3215,2898,2820,4539,3303,2626,1185,532,207,34150,1781,2199,1929,1189,949,3244,3527,3156,5920,4204,3245,1670,783,354,25726,13263,1347,1182,1502,713,506,1293,1374,1169,1743,1084,870,339,102,39,12463,1177,1360,1455,576,575,1415,1236,846,1416,975,807,406,204,15,126209,65583,6967,7700,6090,3052,2237,6389,6056,5801,10438,6260,3190,890,407,106,60626,6774,6451,6531,3251,1776,5635,4809,5137,9846,5687,2965,1329,286,149,72679,37154,6211,5288,5626,3251,1341,3772,2649,2213,2741,2085,1100,711,112,54,35525,6693,5333,4709,2854,1513,4110,1851,2023,2641,1911,954,538,347,48,2188026,1094505,92660,93008,91375,50441,30339,91174,80117,86465,141739,118835,108236,65284,33187,11645,1093521,87133,89738,85250,47846,31105,89585,80000,84166,137333,119036,112352,71499,41189,17289,378987,194561,22668,22068,20073,10877,6963,17581,16323,15943,28419,17906,9593,4025,1726,396,184426,21893,19932,20233,10334,6932,16338,14028,14418,26038,16966,9868,4612,2044,790,30.0,29.5,30.5,30.8,30.3,31.4,25.4,27.3,23.1,28.0,27.1,28.7,32.5,30.7,33.8,24.6,25.2,24.2,25.1,25.3,24.9,16.1,16.3,16.0,31.5,31.0,32.1,24.0,24.1,23.9,2760193
40,UT,49,,,,,040C0US49,Utah -- In metropolitan statistical area,2591224,1300895,118530,117619,114022,62755,38302,18091,22320,72079,99618,104264,92590,79012,68157,67350,61978,22094,30570,17219,21982,27157,19754,13788,11644,1290329,111972,112244,107496,59527,38622,21830,22742,65400,97198,100500,89106,75493,66769,68532,63626,23454,32248,19274,23523,30982,24236,17759,17796,2262302,1133916,100302,99794,96887,53519,32251,95884,84556,90421,148565,120516,105086,62843,32077,11215,1128386,94086,95117,91131,50360,33142,93396,83904,87713,142855,120196,109821,69430,40106,17129,30466,16881,1291,1718,1643,854,710,1529,1457,1306,2787,1688,1316,337,212,33,13585,1320,1452,1549,962,564,1317,1271,1185,1195,1193,947,361,178,91,18485,9045,914,574,911,440,418,842,807,840,1306,991,722,151,128,1,9440,662,700,583,607,281,1129,853,596,1370,1466,865,179,134,15,61551,28393,1856,1761,1820,1137,961,3147,2874,2808,4407,3192,2543,1155,525,207,33158,1736,2094,1837,1170,949,3177,3413,3142,5730,4026,3169,1597,769,349,25327,13035,1347,1162,1458,691,487,1263,1327,1150,1731,1081,858,339,102,39,12292,1177,1340,1455,576,490,1402,1236,839,1413,975,791,406,177,15,123600,64303,6891,7542,5915,3004,2236,6291,6011,5684,10158,6082,3122,866,406,95,59297,6541,6371,6405,3149,1727,5517,4748,5077,9554,5600,2873,1300,286,149,69493,35322,5929,5068,5388,3110,1239,3534,2586,2055,2648,1957,995,667,92,54,34171,6450,5170,4536,2703,1469,4034,1773,1948,2482,1845,862,506,345,48,2045259,1022380,87030,87063,85456,47098,28371,85755,75472,81600,132705,110184,99544,60158,30971,10973,1022879,81899,83883,79790,44698,29014,84395,75499,79380,128639,110250,103833,66473,38604,16522,361609,185746,21745,21229,18943,10449,6656,16888,15605,15139,26990,17127,9166,3858,1572,379,175863,20711,19057,19239,9839,6402,15651,13636,13806,24651,16351,9413,4407,1930,770,29.9,29.3,30.4,30.7,30.2,31.3,25.6,27.5,23.2,28.5,27.4,29.3,32.4,30.7,33.7,24.7,25.3,24.2,25.1,25.2,24.9,16.0,16.1,16.0,31.4,30.8,32.0,24.0,24.1,24.0,2591224
40,UT,49,,,,,040C1US49,Utah -- In metropolitan statistical area -- in principal city,638608,321708,27490,23895,19915,11841,11351,5972,8691,32408,34110,26976,19633,16831,14125,14257,14058,5249,6923,4061,4928,6685,4831,3812,3666,316900,26309,20759,20357,11380,15002,9310,9860,27146,29514,24586,18266,14773,14157,13876,13789,5259,7599,4307,5922,7882,6376,4797,5674,529155,265748,22154,18509,15355,9526,8795,39668,27795,22426,29150,23493,22876,14533,7984,3484,263407,20823,16010,15346,8727,12783,39013,24531,19995,26470,23332,23837,16558,10544,5438,10567,5876,220,486,477,217,292,776,619,572,877,503,559,144,101,33,4691,329,409,432,306,318,569,465,448,383,433,338,167,61,33,6098,3106,290,215,333,84,190,235,314,186,523,229,393,44,70,0,2992,164,268,147,125,54,412,259,234,500,438,332,50,9,0,19390,9263,501,518,336,306,422,1767,1289,1062,1073,735,617,326,228,83,10127,414,462,420,277,362,1931,1335,1046,1439,1028,634,460,212,107,8419,4119,470,308,328,140,256,465,549,302,469,316,339,95,57,25,4300,349,371,591,191,282,422,477,230,464,377,159,261,126,0,45741,23733,2367,2808,1970,985,896,2540,2431,1871,3702,2501,1121,335,165,41,22008,2485,2412,2474,1047,665,2197,1837,2030,3162,1908,1055,536,119,81,19238,9863,1488,1051,1116,583,500,1620,1113,557,670,605,325,197,38,0,9375,1745,827,947,707,538,1772,610,603,621,517,292,79,102,15,457663,228969,17457,13991,12101,7543,7485,35475,24812,19394,24317,20566,21138,13715,7537,3438,228694,16820,12784,11946,6942,11257,35350,21126,17179,22168,20352,21897,15654,9971,5248,122730,63165,7440,7618,5596,3078,2369,6861,5589,5085,8782,5719,3044,1249,648,87,59565,6849,5868,6296,3087,2401,6286,5316,5055,7741,5057,3178,1468,692,271,27.7,27.5,28.0,28.4,28.1,28.8,27.3,28.8,24.8,29.6,27.7,30.8,28.4,27.8,29.1,25.2,25.8,24.6,25.0,25.6,24.0,20.2,20.7,19.7,29.2,28.9,29.5,24.0,24.0,24.0,638608
40,UT,49,,,,,040C2US49,Utah -- In metropolitan statistical area -- not in principal city,1952616,979187,91040,93724,94107,50914,26951,12119,13629,39671,65508,77288,72957,62181,54032,53093,47920,16845,23647,13158,17054,20472,14923,9976,7978,973429,85663,91485,87139,48147,23620,12520,12882,38254,67684,75914,70840,60720,52612,54656,49837,18195,24649,14967,17601,23100,17860,12962,12122,1733147,868168,78148,81285,81532,43993,23456,56216,56761,67995,119415,97023,82210,48310,24093,7731,864979,73263,79107,75785,41633,20359,54383,59373,67718,116385,96864,85984,52872,29562,11691,19899,11005,1071,1232,1166,637,418,753,838,734,1910,1185,757,193,111,0,8894,991,1043,1117,656,246,748,806,737,812,760,609,194,117,58,12387,5939,624,359,578,356,228,607,493,654,783,762,329,107,58,1,6448,498,432,436,482,227,717,594,362,870,1028,533,129,125,15,42161,19130,1355,1243,1484,831,539,1380,1585,1746,3334,2457,1926,829,297,124,23031,1322,1632,1417,893,587,1246,2078,2096,4291,2998,2535,1137,557,242,16908,8916,877,854,1130,551,231,798,778,848,1262,765,519,244,45,14,7992,828,969,864,385,208,980,759,609,949,598,632,145,51,15,77859,40570,4524,4734,3945,2019,1340,3751,3580,3813,6456,3581,2001,531,241,54,37289,4056,3959,3931,2102,1062,3320,2911,3047,6392,3692,1818,764,167,68,50255,25459,4441,4017,4272,2527,739,1914,1473,1498,1978,1352,670,470,54,54,24796,4705,4343,3589,1996,931,2262,1163,1345,1861,1328,570,427,243,33,1587596,793411,69573,73072,73355,39555,20886,50280,50660,62206,108388,89618,78406,46443,23434,7535,794185,65079,71099,67844,37756,17757,49045,54373,62201,106471,89898,81936,50819,28633,11274,238879,122581,14305,13611,13347,7371,4287,10027,10016,10054,18208,11408,6122,2609,924,292,116298,13862,13189,12943,6752,4001,9365,8320,8751,16910,11294,6235,2939,1238,499,30.7,30.1,31.3,31.5,30.9,32.1,24.5,26.8,22.1,28.0,27.3,28.5,34.6,32.9,35.8,24.3,25.1,24.0,25.2,25.0,25.4,14.8,15.0,14.6,32.1,31.6,32.7,24.0,24.1,23.9,1952616
40,UT,49,,,,,040E0US49,Utah -- In micropolitan statistical area,168969,85222,6851,7183,7525,4217,2583,1195,1301,4002,5663,5951,5595,5267,4670,5219,5167,1741,2543,1307,1759,2380,1463,951,689,83747,6928,7088,7018,3854,2787,1457,1275,3549,5302,5605,6241,4413,4652,5264,5167,1517,2639,1397,1740,2316,1677,1069,792,155894,78716,6283,6470,6760,3693,2212,5906,5297,5508,10114,9212,9010,5218,2355,678,77178,6063,6555,6238,3460,2548,5689,4820,5328,9678,9305,8837,5198,2672,787,882,476,13,36,29,125,55,38,0,22,46,77,23,12,0,0,406,74,25,69,56,3,35,38,4,47,0,28,27,0,0,4233,1916,129,164,215,154,168,120,187,115,185,180,150,118,31,0,2317,270,140,320,66,58,283,191,117,285,280,182,94,31,0,1766,774,68,115,64,34,26,68,24,12,132,111,83,30,7,0,992,45,105,92,19,0,67,114,14,190,178,76,73,14,5,399,228,0,20,44,22,19,30,47,19,12,3,12,0,0,0,171,0,20,0,0,85,13,0,7,3,0,16,0,27,0,2609,1280,76,158,175,48,1,98,45,117,280,178,68,24,1,11,1329,233,80,126,102,49,118,61,60,292,87,92,29,0,0,3186,1832,282,220,238,141,102,238,63,158,93,128,105,44,20,0,1354,243,163,173,151,44,76,78,75,159,66,92,32,2,0,142767,72125,5630,5945,5919,3343,1968,5419,4645,4865,9034,8651,8692,5126,2216,672,70642,5234,5855,5460,3148,2091,5190,4501,4786,8694,8786,8519,5026,2585,767,17378,8815,923,839,1130,428,307,693,718,804,1429,779,427,167,154,17,8563,1182,875,994,495,530,687,392,612,1387,615,455,205,114,20,32.1,31.8,32.5,32.8,32.4,33.2,18.3,18.8,16.6,25.4,25.3,25.5,36.5,29.1,38.1,19.4,21.9,18.8,27.1,32.3,23.1,17.8,18.6,16.5,33.7,33.3,34.0,23.4,25.6,21.1,168969
40,UT,49,,,,,040E1US49,Utah -- In micropolitan statistical area -- in principal city,69281,35193,3406,3237,2943,1579,1098,568,629,2346,2921,2701,2250,1920,1741,1931,1768,508,651,375,553,816,517,421,314,34088,3084,2630,2404,1832,1458,976,858,2009,2283,2251,2743,1545,1772,1882,1632,448,880,459,620,728,679,527,388,63729,32264,3182,2916,2600,1475,918,3192,2700,2488,3872,3333,2711,1660,914,303,31465,2595,2463,2211,1635,1340,3478,2131,2192,3947,3387,2773,1764,1161,388,323,217,13,8,20,46,49,0,0,22,14,31,14,0,0,0,106,3,8,5,24,3,8,3,4,20,0,28,0,0,0,1083,517,0,12,61,6,46,52,109,6,44,54,36,67,24,0,566,109,12,59,0,4,124,68,11,23,59,59,20,18,0,837,396,55,31,55,0,0,53,0,0,57,77,57,11,0,0,441,0,51,52,14,0,67,8,0,84,117,48,0,0,0,163,58,0,0,19,0,0,0,39,0,0,0,0,0,0,0,105,0,0,0,0,65,13,0,0,0,0,0,0,27,0,1410,670,11,104,96,15,1,56,16,68,176,63,53,0,0,11,740,216,15,58,64,14,77,18,18,178,64,0,18,0,0,1736,1071,145,166,92,37,84,190,57,117,7,114,56,6,0,0,665,161,81,19,95,32,76,55,26,36,27,52,5,0,0,57927,29306,2812,2734,2206,1334,858,2936,2357,2088,3534,3099,2563,1609,873,303,28621,2256,2244,1913,1452,1064,3181,2027,2019,3473,3115,2647,1716,1129,385,8183,4217,474,404,528,173,68,429,380,483,556,326,242,102,41,11,3966,653,254,360,316,290,440,122,201,686,348,166,68,59,3,28.5,28.0,29.1,29.0,28.3,29.8,18.8,18.5,25.7,26.8,28.3,24.6,38.1,37.7,39.2,19.0,.,18.8,23.9,32.3,20.8,19.4,21.2,17.2,29.6,28.6,30.2,23.1,25.7,20.8,69281
40,UT,49,,,,,040E2US49,Utah -- In micropolitan statistical area -- not in principal city,99688,50029,3445,3946,4582,2638,1485,627,672,1656,2742,3250,3345,3347,2929,3288,3399,1233,1892,932,1206,1564,946,530,375,49659,3844,4458,4614,2022,1329,481,417,1540,3019,3354,3498,2868,2880,3382,3535,1069,1759,938,1120,1588,998,542,404,92165,46452,3101,3554,4160,2218,1294,2714,2597,3020,6242,5879,6299,3558,1441,375,45713,3468,4092,4027,1825,1208,2211,2689,3136,5731,5918,6064,3434,1511,399,559,259,0,28,9,79,6,38,0,0,32,46,9,12,0,0,300,71,17,64,32,0,27,35,0,27,0,0,27,0,0,3150,1399,129,152,154,148,122,68,78,109,141,126,114,51,7,0,1751,161,128,261,66,54,159,123,106,262,221,123,74,13,0,929,378,13,84,9,34,26,15,24,12,75,34,26,19,7,0,551,45,54,40,5,0,0,106,14,106,61,28,73,14,5,236,170,0,20,25,22,19,30,8,19,12,3,12,0,0,0,66,0,20,0,0,20,0,0,7,3,0,16,0,0,0,1199,610,65,54,79,33,0,42,29,49,104,115,15,24,1,0,589,17,65,68,38,35,41,43,42,114,23,92,11,0,0,1450,761,137,54,146,104,18,48,6,41,86,14,49,38,20,0,689,82,82,154,56,12,0,23,49,123,39,40,27,2,0,84840,42819,2818,3211,3713,2009,1110,2483,2288,2777,5500,5552,6129,3517,1343,369,42021,2978,3611,3547,1696,1027,2009,2474,2767,5221,5671,5872,3310,1456,382,9195,4598,449,435,602,255,239,264,338,321,873,453,185,65,113,6,4597,529,621,634,179,240,247,270,411,701,267,289,137,55,17,34.8,35.0,34.6,35.5,35.7,35.3,17.4,23.2,14.9,24.6,19.9,26.4,30.9,27.5,38.0,19.6,19.9,18.7,28.8,32.2,28.5,16.5,16.9,15.6,36.7,36.7,36.6,23.7,25.6,22.1,99688
