SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,VA,51,,,,,04000US51,Virginia,8256630,4060948,262278,264413,266247,160174,119511,64073,64700,175833,296682,286536,264490,278474,286793,296096,262954,96890,131831,79478,99020,123597,82281,55037,43560,4195682,250000,256891,251516,153149,114449,58668,60679,167676,287052,283804,265951,286095,297558,309898,283219,105370,145019,86105,110928,146376,103044,80081,92154,5695147,2824402,162992,167507,169597,104409,77113,199501,199493,192569,370593,419008,371826,240953,112327,36514,2870745,154590,158747,159356,98452,72316,186596,188073,185187,364888,424631,391662,266249,145241,74757,1589345,760302,52570,53010,56614,34602,26748,65615,57505,52567,99493,109035,85482,43240,18608,5213,829043,50299,54558,52914,33385,27342,65791,59003,56501,107210,123247,100518,55278,28704,14293,22570,11825,454,812,657,346,651,1378,1034,733,1471,2096,1170,796,202,25,10745,495,527,641,427,474,841,765,493,1602,2000,1319,741,269,151,492973,231231,14230,16659,15397,8671,5688,17580,18319,20307,41297,32512,21902,12498,4846,1325,261742,14511,16133,16055,8518,6190,15653,21217,24048,49418,37268,28247,15620,6821,2043,5304,2395,111,82,242,134,192,185,184,256,491,252,135,103,28,0,2909,138,111,92,72,184,333,302,207,502,462,337,148,11,10,183124,96122,8695,7483,7472,3613,3471,8808,10355,11382,17513,10483,4740,1689,256,162,87002,8039,8810,6858,3749,2731,7153,8435,8621,15655,9652,4677,1828,591,203,268167,134671,23226,18860,16268,8399,5648,11539,9792,8722,12106,9503,6420,2816,1051,321,133496,21928,18005,15600,8546,5212,10656,9257,8747,12771,10196,6848,3545,1488,697,5237848,2587000,139911,144649,151505,93709,69904,178733,176845,168242,330423,392941,358376,235538,110330,35894,2650848,132953,138016,142608,88655,65074,168305,169972,164486,329933,399525,376804,258923,142042,73552,709156,368396,37195,34732,29271,16338,12316,32384,35885,38489,61260,40457,19472,7364,2437,796,340760,34573,33198,27042,15686,11474,28554,28810,31512,55212,38164,21129,9834,4039,1533,37.6,36.3,39.0,40.3,38.9,41.5,34.8,33.1,36.3,36.9,34.3,40.0,35.8,34.7,36.7,33.7,32.5,36.2,28.8,29.1,28.5,18.6,18.2,19.0,41.7,40.4,42.9,28.2,28.0,28.4,8256630
40,VA,51,,,,,04001US51,Virginia -- Urban,6266907,3058815,212126,206638,203297,121386,95183,51330,52735,142696,244430,233545,206989,212572,209892,212782,182499,66459,89138,53034,63885,78466,52113,36145,31475,3208092,202789,203003,190615,116195,93740,47990,50798,138805,240866,234634,213468,220421,223688,225868,202848,75219,100585,58923,75467,98230,69396,55736,68808,4042743,1996742,122746,120597,118736,72550,58298,155306,158441,150748,269729,285402,240341,148167,69670,26011,2046001,116246,115120,109732,68903,56177,146630,149745,143696,265416,291875,259943,171136,96251,55131,1324240,622982,46575,46219,48867,29760,22851,54560,48666,43854,81480,86772,66168,30743,12699,3768,701258,44881,48081,45599,28551,23664,58288,52922,50465,93353,102561,80437,41216,20306,10934,17998,9332,421,703,529,262,540,1246,894,616,1189,1517,805,484,118,8,8666,479,428,532,349,460,685,699,447,1324,1546,912,525,174,106,475773,223786,13826,16017,14718,8282,5413,17141,17906,19944,40006,31344,21049,12124,4717,1299,251987,13989,15496,15233,8125,6049,15379,20746,23337,47401,35402,27165,15063,6631,1971,4624,2152,111,68,242,134,180,185,150,216,407,216,112,103,28,0,2472,113,106,75,61,159,309,302,181,420,376,264,96,0,10,168951,87930,7952,6894,6807,3364,3127,7974,9474,10414,15866,9741,4390,1572,232,123,81021,7486,8131,6312,3249,2548,6793,7902,8338,14411,8977,4385,1750,583,156,232578,115891,20495,16140,13398,7034,4774,10349,8899,7753,10884,7682,5231,2192,794,266,116687,19595,15641,13132,6957,4683,9509,8550,8170,11564,8819,5546,2834,1187,500,3624785,1780286,102116,99965,102668,63051,52087,135837,137219,128154,232526,261677,228203,143365,67972,25446,1844499,96291,96440,94750,60085,49739,129738,132829,124539,233250,268509,246145,164684,93414,54086,651504,336936,33681,31767,26266,14780,10843,29928,33447,35688,56401,36990,17725,6605,2115,700,314568,32031,30343,24498,14119,10277,26639,27058,29602,50994,35575,19647,8795,3640,1350,35.5,34.2,36.9,38.0,36.5,39.5,33.2,31.5,34.8,34.0,30.5,36.7,35.7,34.7,36.6,32.3,30.4,34.0,28.9,29.2,28.6,18.8,18.4,19.2,39.6,38.1,41.0,28.3,28.1,28.5,6266907
40,VA,51,,,,,04043US51,Virginia -- Rural,1989723,1002133,50152,57775,62950,38788,24328,12743,11965,33137,52252,52991,57501,65902,76901,83314,80455,30431,42693,26444,35135,45131,30168,18892,12085,987590,47211,53888,60901,36954,20709,10678,9881,28871,46186,49170,52483,65674,73870,84030,80371,30151,44434,27182,35461,48146,33648,24345,23346,1652404,827660,40246,46910,50861,31859,18815,44195,41052,41821,100864,133606,131485,92786,42657,10503,824744,38344,43627,49624,29549,16139,39966,38328,41491,99472,132756,131719,95113,48990,19626,265105,137320,5995,6791,7747,4842,3897,11055,8839,8713,18013,22263,19314,12497,5909,1445,127785,5418,6477,7315,4834,3678,7503,6081,6036,13857,20686,20081,14062,8398,3359,4572,2493,33,109,128,84,111,132,140,117,282,579,365,312,84,17,2079,16,99,109,78,14,156,66,46,278,454,407,216,95,45,17200,7445,404,642,679,389,275,439,413,363,1291,1168,853,374,129,26,9755,522,637,822,393,141,274,471,711,2017,1866,1082,557,190,72,680,243,0,14,0,0,12,0,34,40,84,36,23,0,0,0,437,25,5,17,11,25,24,0,26,82,86,73,52,11,0,14173,8192,743,589,665,249,344,834,881,968,1647,742,350,117,24,39,5981,553,679,546,500,183,360,533,283,1244,675,292,78,8,47,35589,18780,2731,2720,2870,1365,874,1190,893,969,1222,1821,1189,624,257,55,16809,2333,2364,2468,1589,529,1147,707,577,1207,1377,1302,711,301,197,1613063,806714,37795,44684,48837,30658,17817,42896,39626,40088,97897,131264,130173,92173,42358,10448,806349,36662,41576,47858,28570,15335,38567,37143,39947,96683,131016,130659,94239,48628,19466,57652,31460,3514,2965,3005,1558,1473,2456,2438,2801,4859,3467,1747,759,322,96,26192,2542,2855,2544,1567,1197,1915,1752,1910,4218,2589,1482,1039,399,183,44.7,43.6,45.9,45.6,44.8,46.4,43.6,40.9,46.5,48.1,47.2,49.0,38.4,35.8,40.3,41.2,39.2,47.1,28.1,28.7,27.0,17.3,17.1,17.4,46.1,45.3,46.9,26.8,26.8,26.6,1989723
40,VA,51,,,,,040A0US51,Virginia -- In metropolitan or micropolitan statistical area,7470671,3669685,242217,242646,242381,145781,108444,58191,58611,161869,275659,264870,242092,254137,258801,266225,233429,85290,115996,68960,84523,105697,69506,46951,37409,3800986,230409,236780,229350,139405,105468,53575,55726,155228,267196,264080,245857,261702,270657,279832,253182,93247,127292,74861,95932,125427,88032,68256,79492,5080567,2519544,148160,151268,152005,93374,68772,181098,183918,176436,334401,373795,325962,204512,94493,31350,2561023,140348,143749,142906,88433,65862,169593,172999,169713,329339,380033,343772,226846,123069,64361,1442715,686559,48682,48601,51743,31852,24743,59261,52873,48035,90318,97889,75333,37180,15762,4287,756156,46371,50559,48615,30504,25199,61178,55163,52743,99500,112389,89537,48007,24240,12151,21161,11052,439,786,616,301,641,1317,1015,649,1453,1925,1005,678,202,25,10109,486,517,641,376,474,750,740,493,1549,1831,1166,700,243,143,488263,229273,14187,16509,15310,8568,5515,17162,18171,20247,41150,32256,21592,12464,4822,1320,258990,14480,15989,15835,8346,6082,15453,20932,23912,49037,36739,27916,15519,6738,2012,5193,2305,96,82,242,134,192,185,184,256,471,222,127,103,11,0,2888,138,111,92,72,182,333,302,207,502,449,331,148,11,10,177144,92782,8554,7274,7225,3518,3352,8473,9992,10924,16804,10001,4601,1678,243,143,84362,7823,8495,6499,3579,2619,6986,8193,8479,15238,9246,4655,1788,583,179,255628,128170,22099,18126,15240,8034,5229,11175,9506,8323,11632,8938,6095,2565,924,284,127458,20763,17360,14762,8095,5050,10236,8867,8533,12394,9802,6344,3212,1404,636,4639141,2291152,126122,129372,134833,83136,62150,160832,161866,153019,295535,348747,312943,199270,92597,30730,2347989,119468,123666,126743,78983,58797,152129,155340,149612,295615,355426,329259,219739,119999,63213,685387,354911,35867,33450,28061,15707,11576,31423,34869,36997,59103,38736,18846,7168,2331,777,330476,33493,32152,26119,15134,11163,27495,28009,30712,53520,37132,20642,9552,3901,1452,37.0,35.7,38.3,39.6,38.3,40.8,34.2,32.5,35.7,36.1,33.5,38.9,35.8,34.7,36.7,33.3,32.2,36.0,28.8,29.0,28.6,18.6,18.2,19.0,41.0,39.8,42.3,28.2,28.0,28.4,7470671
40,VA,51,,,,,040C0US51,Virginia -- In metropolitan statistical area,7195353,3535809,234785,234649,234447,140737,105130,56326,57073,156798,267528,256882,234225,245664,249780,256087,223005,81514,110394,65466,80162,99923,65573,44121,35540,3659544,222816,228618,221964,134534,102510,51850,53944,150510,259793,256680,238277,253024,261003,269090,242399,89332,120756,71416,91244,117886,82615,63947,75336,4870798,2417703,142961,145565,146234,89710,66610,175113,178252,170707,321939,358694,310272,193158,88760,29728,2453095,135169,138092,137371,84918,63756,163689,167611,164162,316809,364526,327185,213946,114894,60967,1386882,659531,47078,46695,50194,30662,23853,57059,50745,46421,87103,94164,71645,35087,14763,4062,727351,44616,48706,47139,29512,24489,59132,53423,51244,96220,107993,85244,45413,22776,11444,20939,10923,439,786,616,301,641,1312,1015,643,1440,1889,994,624,198,25,10016,486,517,641,376,468,734,740,492,1549,1804,1145,695,226,143,486624,228490,14124,16454,15257,8546,5507,17105,18126,20174,40983,32161,21485,12439,4812,1317,258134,14440,15968,15777,8308,6074,15444,20867,23768,48891,36639,27791,15454,6701,2012,5171,2305,96,82,242,134,192,185,184,256,471,222,127,103,11,0,2866,138,111,92,72,182,333,302,196,502,449,331,148,0,10,173747,90925,8358,7066,7038,3484,3301,8358,9819,10656,16396,9913,4472,1678,243,143,82822,7639,8322,6353,3401,2571,6888,8023,8377,14981,9126,4591,1788,583,179,251192,125932,21729,18001,14866,7900,5026,11065,9387,8025,11557,8824,5918,2462,907,265,125260,20328,16902,14591,7947,4970,10084,8827,8441,12349,9556,6200,3102,1382,581,4432625,2190959,121085,123836,129294,79529,60003,155057,156311,147434,283283,333868,297312,187945,86891,29111,2241666,114432,118305,121363,75514,56715,146337,150126,144148,283313,340061,312712,206943,111868,59829,678066,351025,35432,33081,27556,15612,11496,30997,34526,36568,58478,38408,18654,7139,2304,774,327041,33065,31630,25836,14908,11085,27240,27674,30531,53023,36814,20530,9418,3845,1442,36.7,35.5,38.0,39.3,38.0,40.6,34.1,32.4,35.5,35.9,32.8,38.7,35.8,34.7,36.7,33.3,32.2,36.0,28.9,29.0,28.7,18.6,18.2,19.1,40.8,39.6,42.1,28.2,28.0,28.5,7195353
40,VA,51,,,,,040C1US51,Virginia -- In metropolitan statistical area -- in principal city,2200999,1078334,73795,63327,57979,33517,39578,24433,27449,65059,110028,92676,71895,67170,65658,67833,60825,22483,29768,17093,21156,25529,17429,12218,11436,1122665,69682,61870,54293,32559,39958,23543,24223,61559,107520,90884,69846,69259,69460,73034,68845,25274,34132,19891,25268,32540,24384,19818,24823,1339057,669065,39343,32805,28421,16427,23595,72068,71895,60315,88223,84949,75235,45195,21741,8853,669992,36917,30361,27058,15872,23178,66041,66783,55121,81122,85169,80709,52217,31163,18281,619566,290707,22784,20936,20961,12607,11324,29702,24779,20887,35061,37797,30739,14542,6560,2028,328859,21542,21757,19543,12439,11971,31310,27426,24146,39804,44606,37850,20053,10721,5691,7750,3952,127,312,198,72,387,635,424,275,450,560,219,242,51,0,3798,243,194,226,66,255,300,391,269,485,678,395,152,98,46,106809,49822,2574,2408,2358,1368,1671,6479,5851,5598,7614,5635,4183,2723,948,412,56987,2406,2400,2148,1439,2278,5095,6340,6038,9721,6909,6228,3747,1648,590,1990,1017,23,27,153,52,138,100,29,145,178,116,42,14,0,0,973,27,0,32,0,96,218,159,88,84,152,77,30,0,10,44421,22903,2025,1575,1622,930,753,2936,2857,2649,3786,2210,1019,357,89,95,21518,1892,1833,1293,755,683,2092,2625,2144,3790,2241,1265,598,237,70,81406,40868,6919,5264,4266,2061,1710,5021,4193,2807,3753,2224,1639,705,258,48,40538,6655,5325,3993,1988,1497,4269,3796,3078,4099,2739,1727,902,335,135,1219996,606266,33576,27678,24623,14572,21442,64769,64444,52992,77892,78922,71754,43605,21317,8680,613730,31580,26053,23357,13862,20983,59985,60841,49232,73010,79150,77088,50334,30346,17909,187597,98320,9620,8286,6686,3423,3632,11351,11899,11063,15292,9355,4870,1979,586,278,89277,8959,7612,6123,3429,3364,9575,9525,8756,13386,9038,5276,2613,1105,516,33.4,32.2,34.7,35.2,34.0,36.5,32.2,30.5,33.7,30.3,27.8,34.4,33.6,31.8,35.3,28.6,25.6,29.1,28.4,27.9,28.9,20.5,20.2,21.0,36.2,34.9,37.7,27.7,27.5,27.8,2200999
40,VA,51,,,,,040C2US51,Virginia -- In metropolitan statistical area -- not in principal city,4994354,2457475,160990,171322,176468,107220,65552,31893,29624,91739,157500,164206,162330,178494,184122,188254,162180,59031,80626,48373,59006,74394,48144,31903,24104,2536879,153134,166748,167671,101975,62552,28307,29721,88951,152273,165796,168431,183765,191543,196056,173554,64058,86624,51525,65976,85346,58231,44129,50513,3531741,1748638,103618,112760,117813,73283,43015,103045,106357,110392,233716,273745,235037,147963,67019,20875,1783103,98252,107731,110313,69046,40578,97648,100828,109041,235687,279357,246476,161729,83731,42686,767316,368824,24294,25759,29233,18055,12529,27357,25966,25534,52042,56367,40906,20545,8203,2034,398492,23074,26949,27596,17073,12518,27822,25997,27098,56416,63387,47394,25360,12055,5753,13189,6971,312,474,418,229,254,677,591,368,990,1329,775,382,147,25,6218,243,323,415,310,213,434,349,223,1064,1126,750,543,128,97,379815,178668,11550,14046,12899,7178,3836,10626,12275,14576,33369,26526,17302,9716,3864,905,201147,12034,13568,13629,6869,3796,10349,14527,17730,39170,29730,21563,11707,5053,1422,3181,1288,73,55,89,82,54,85,155,111,293,106,85,89,11,0,1893,111,111,60,72,86,115,143,108,418,297,254,118,0,0,129326,68022,6333,5491,5416,2554,2548,5422,6962,8007,12610,7703,3453,1321,154,48,61304,5747,6489,5060,2646,1888,4796,5398,6233,11191,6885,3326,1190,346,109,169786,85064,14810,12737,10600,5839,3316,6044,5194,5218,7804,6600,4279,1757,649,217,84722,13673,11577,10598,5959,3473,5815,5031,5363,8250,6817,4473,2200,1047,446,3212629,1584693,87509,96158,104671,64957,38561,90288,91867,94442,205391,254946,225558,144340,65574,20431,1627936,82852,92252,98006,61652,35732,86352,89285,94916,210303,260911,235624,156609,81522,41920,490469,252705,25812,24795,20870,12189,7864,19646,22627,25505,43186,29053,13784,5160,1718,496,237764,24106,24018,19713,11479,7721,17665,18149,21775,39637,27776,15254,6805,2740,926,38.4,37.2,39.5,40.8,39.8,41.9,35.6,34.2,36.9,39.4,37.2,40.8,36.4,35.7,37.1,37.0,32.6,40.2,29.1,29.5,28.6,17.8,17.2,18.3,42.4,41.4,43.3,28.6,28.3,28.8,4994354
40,VA,51,,,,,040E0US51,Virginia -- In micropolitan statistical area,275318,133876,7432,7997,7934,5044,3314,1865,1538,5071,8131,7988,7867,8473,9021,10138,10424,3776,5602,3494,4361,5774,3933,2830,1869,141442,7593,8162,7386,4871,2958,1725,1782,4718,7403,7400,7580,8678,9654,10742,10783,3915,6536,3445,4688,7541,5417,4309,4156,209769,101841,5199,5703,5771,3664,2162,5985,5666,5729,12462,15101,15690,11354,5733,1622,107928,5179,5657,5535,3515,2106,5904,5388,5551,12530,15507,16587,12900,8175,3394,55833,27028,1604,1906,1549,1190,890,2202,2128,1614,3215,3725,3688,2093,999,225,28805,1755,1853,1476,992,710,2046,1740,1499,3280,4396,4293,2594,1464,707,222,129,0,0,0,0,0,5,0,6,13,36,11,54,4,0,93,0,0,0,0,6,16,0,1,0,27,21,5,17,0,1639,783,63,55,53,22,8,57,45,73,167,95,107,25,10,3,856,40,21,58,38,8,9,65,144,146,100,125,65,37,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,0,11,0,3397,1857,196,208,187,34,51,115,173,268,408,88,129,0,0,0,1540,184,173,146,178,48,98,170,102,257,120,64,0,0,0,4436,2238,370,125,374,134,203,110,119,298,75,114,177,103,17,19,2198,435,458,171,148,80,152,40,92,45,246,144,110,22,55,206516,100193,5037,5536,5539,3607,2147,5775,5555,5585,12252,14879,15631,11325,5706,1619,106323,5036,5361,5380,3469,2082,5792,5214,5464,12302,15365,16547,12796,8131,3384,7321,3886,435,369,505,95,80,426,343,429,625,328,192,29,27,3,3435,428,522,283,226,78,255,335,181,497,318,112,134,56,10,43.4,41.6,45.4,45.4,43.8,47.1,39.3,35.9,42.3,55.3,60.1,46.6,35.8,35.3,37.5,.,.,.,26.9,28.6,21.3,18.0,19.5,15.5,45.8,44.2,47.4,24.6,25.3,23.0,275318
40,VA,51,,,,,040E1US51,Virginia -- In micropolitan statistical area -- in principal city,61582,28650,1862,1832,1754,1114,775,471,465,1140,2083,1782,1683,1704,1730,1863,2090,754,1133,731,777,945,726,665,571,32932,2074,1972,1577,1040,642,412,412,1276,2106,1733,1603,1787,2117,2272,2344,855,1474,707,1217,1442,1378,979,1513,30613,14129,650,740,623,407,270,886,885,750,1639,1954,2187,1651,971,516,16484,789,793,569,439,246,805,934,736,1483,2072,2537,2202,1727,1152,28031,13128,999,959,979,657,442,1153,1100,772,1590,1557,1671,792,409,48,14903,1028,989,830,514,355,1221,1032,879,1752,2202,2023,1108,618,352,70,15,0,0,0,0,0,0,0,6,6,3,0,0,0,0,55,0,0,0,0,0,16,0,0,0,27,12,0,0,0,570,262,22,23,10,7,5,0,16,63,34,41,41,0,0,0,308,6,0,32,31,8,0,41,34,59,22,52,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1068,571,85,74,11,19,27,30,45,117,100,29,34,0,0,0,497,69,40,59,39,0,24,84,72,83,27,0,0,0,0,1230,545,106,36,131,24,31,7,37,74,18,9,44,10,11,7,685,182,150,87,17,33,34,15,12,13,39,49,39,6,9,29730,13645,600,643,521,381,264,858,846,734,1588,1892,2180,1651,971,516,16085,764,658,524,439,240,800,909,710,1420,2027,2520,2195,1727,1152,2161,1136,135,146,142,47,33,83,96,139,157,101,57,0,0,0,1025,135,202,109,39,6,33,124,89,152,86,34,7,9,0,41.4,38.0,44.4,49.4,45.9,52.0,35.3,31.6,38.2,45.4,42.3,45.6,33.9,33.3,36.2,.,.,.,26.5,27.7,26.3,12.8,14.0,10.3,50.3,46.9,52.7,23.4,23.8,21.9,61582
40,VA,51,,,,,040E2US51,Virginia -- In micropolitan statistical area -- not in principal city,213736,105226,5570,6165,6180,3930,2539,1394,1073,3931,6048,6206,6184,6769,7291,8275,8334,3022,4469,2763,3584,4829,3207,2165,1298,108510,5519,6190,5809,3831,2316,1313,1370,3442,5297,5667,5977,6891,7537,8470,8439,3060,5062,2738,3471,6099,4039,3330,2643,179156,87712,4549,4963,5148,3257,1892,5099,4781,4979,10823,13147,13503,9703,4762,1106,91444,4390,4864,4966,3076,1860,5099,4454,4815,11047,13435,14050,10698,6448,2242,27802,13900,605,947,570,533,448,1049,1028,842,1625,2168,2017,1301,590,177,13902,727,864,646,478,355,825,708,620,1528,2194,2270,1486,846,355,152,114,0,0,0,0,0,5,0,0,7,33,11,54,4,0,38,0,0,0,0,6,0,0,1,0,0,9,5,17,0,1069,521,41,32,43,15,3,57,29,10,133,54,66,25,10,3,548,34,21,26,7,0,9,24,110,87,78,73,48,31,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,11,0,0,0,0,11,0,2329,1286,111,134,176,15,24,85,128,151,308,59,95,0,0,0,1043,115,133,87,139,48,74,86,30,174,93,64,0,0,0,3206,1693,264,89,243,110,172,103,82,224,57,105,133,93,6,12,1513,253,308,84,131,47,118,25,80,32,207,95,71,16,46,176786,86548,4437,4893,5018,3226,1883,4917,4709,4851,10664,12987,13451,9674,4735,1103,90238,4272,4703,4856,3030,1842,4992,4305,4754,10882,13338,14027,10601,6404,2232,5160,2750,300,223,363,48,47,343,247,290,468,227,135,29,27,3,2410,293,320,174,187,72,222,211,92,345,232,78,127,47,10,44.0,42.4,45.7,44.8,43.4,46.3,43.2,40.5,46.6,65.3,65.1,73.6,36.1,35.5,37.7,.,.,.,27.4,28.7,19.9,19.4,19.8,17.4,45.1,43.7,46.5,24.9,26.0,23.1,213736
