SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,VT,50,,,,,04000US50,Vermont,626604,308573,15766,17073,18674,11909,11033,5420,5233,12648,18005,17565,16856,19431,21315,24629,24925,8908,12861,7768,9074,11855,7639,5291,4695,318031,14629,16338,17317,11565,10518,5023,4961,11840,17548,18161,17454,19600,22377,26080,25588,9883,13198,7755,10170,12331,9192,8001,8502,594443,292932,14546,15703,16979,10998,10148,21764,16755,16576,34130,44469,45539,28038,12687,4600,301511,13435,14964,15924,10448,9528,20233,16469,16888,34974,46549,47064,29659,16970,8406,6949,3769,157,278,484,184,232,493,365,301,464,430,284,84,9,4,3180,262,251,288,268,234,395,213,222,403,343,186,56,32,27,2018,949,0,56,102,16,73,59,9,34,280,69,100,82,21,48,1069,20,77,65,76,26,54,88,63,99,241,151,64,28,17,8774,3892,230,188,304,181,224,424,434,316,644,458,244,202,27,16,4882,148,283,252,286,302,516,389,424,928,535,479,285,32,23,249,93,0,0,8,0,0,18,25,0,18,0,0,0,24,0,156,0,5,41,12,7,31,0,36,0,4,0,0,17,3,2002,965,28,110,51,20,61,174,118,101,128,77,77,20,0,0,1037,104,90,45,57,57,100,108,114,59,109,151,33,10,0,12169,5973,805,738,746,510,295,369,299,237,623,441,450,271,162,27,6196,660,668,702,418,364,495,281,414,591,676,638,159,104,26,586547,288880,14297,15382,16700,10849,9857,21204,16412,16245,33622,44067,45204,27919,12539,4583,297667,13123,14590,15669,10227,9322,19835,16184,16630,34522,46137,46745,29513,16817,8353,10691,5413,318,523,356,221,401,847,480,429,616,479,422,143,161,17,5278,380,448,399,350,390,522,434,416,561,536,439,187,163,53,42.4,41.2,43.6,43.4,42.1,44.5,24.5,25.7,22.7,40.2,38.9,43.6,32.5,29.4,33.5,26.1,26.8,24.3,28.5,26.7,29.2,20.6,19.0,22.7,43.6,42.3,44.7,26.0,25.4,26.9,626604
40,VT,50,,,,,04001US50,Vermont -- Urban,242494,117302,6774,6464,6693,3888,6144,3090,3167,6928,8679,7855,6544,6984,7498,8194,7807,2541,3582,2362,2634,3355,2373,1974,1772,125192,5655,5599,6073,4284,6309,3442,3195,6675,8512,8078,6566,7740,7628,8383,8273,3524,4168,2633,3396,3618,3699,3522,4220,224185,108106,5998,5718,5678,3545,5546,12198,7786,7146,12249,14848,13442,7967,4276,1709,116079,5003,4960,5432,3695,5642,12084,7790,7295,13114,15087,15355,9334,7137,4151,4750,2640,112,206,297,118,173,407,266,196,359,343,127,36,0,0,2110,172,151,198,163,140,319,110,142,369,179,99,42,18,8,596,344,0,0,10,10,57,41,0,32,69,8,32,41,7,37,252,7,0,12,28,8,21,42,9,16,45,28,6,14,16,6366,2898,211,94,218,76,188,255,397,296,483,346,147,155,22,10,3468,99,203,135,212,265,434,349,265,597,427,238,206,15,23,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,5,0,0,7,6,0,5,0,0,0,0,0,3,976,403,8,96,26,9,17,53,40,82,22,24,8,18,0,0,573,91,36,32,13,40,71,43,95,22,61,52,17,0,0,5595,2911,445,350,464,130,163,231,190,103,346,123,174,134,42,16,2684,283,244,264,173,207,377,178,267,188,212,193,42,37,19,220304,106147,5868,5559,5539,3492,5387,11842,7635,6995,12026,14668,13313,7922,4205,1696,114157,4840,4739,5339,3605,5479,11835,7629,7124,12955,14940,15235,9280,7052,4105,5201,2525,141,253,187,62,222,505,196,243,231,185,148,63,76,13,2676,208,248,120,175,301,335,245,285,218,207,132,71,85,46,36.3,34.3,38.7,37.7,35.3,40.1,23.8,25.1,22.4,38.4,38.4,34.9,30.5,30.3,30.7,21.2,.,21.2,24.9,24.6,28.2,20.4,18.8,22.2,38.1,35.6,40.5,23.8,24.1,23.4,242494
40,VT,50,,,,,04043US50,Vermont -- Rural,384110,191271,8992,10609,11981,8021,4889,2330,2066,5720,9326,9710,10312,12447,13817,16435,17118,6367,9279,5406,6440,8500,5266,3317,2923,192839,8974,10739,11244,7281,4209,1581,1766,5165,9036,10083,10888,11860,14749,17697,17315,6359,9030,5122,6774,8713,5493,4479,4282,370258,184826,8548,9985,11301,7453,4602,9566,8969,9430,21881,29621,32097,20071,8411,2891,185432,8432,10004,10492,6753,3886,8149,8679,9593,21860,31462,31709,20325,9833,4255,2199,1129,45,72,187,66,59,86,99,105,105,87,157,48,9,4,1070,90,100,90,105,94,76,103,80,34,164,87,14,14,19,1422,605,0,56,92,6,16,18,9,2,211,61,68,41,14,11,817,13,77,53,48,18,33,46,54,83,196,123,58,14,1,2408,994,19,94,86,105,36,169,37,20,161,112,97,47,5,6,1414,49,80,117,74,37,82,40,159,331,108,241,79,17,0,223,93,0,0,8,0,0,18,25,0,18,0,0,0,24,0,130,0,0,41,12,0,25,0,31,0,4,0,0,17,0,1026,562,20,14,25,11,44,121,78,19,106,53,69,2,0,0,464,13,54,13,44,17,29,65,19,37,48,99,16,10,0,6574,3062,360,388,282,380,132,138,109,134,277,318,276,137,120,11,3512,377,424,438,245,157,118,103,147,403,464,445,117,67,7,366243,182733,8429,9823,11161,7357,4470,9362,8777,9250,21596,29399,31891,19997,8334,2887,183510,8283,9851,10330,6622,3843,8000,8555,9506,21567,31197,31510,20233,9765,4248,5490,2888,177,270,169,159,179,342,284,186,385,294,274,80,85,4,2602,172,200,279,175,89,187,189,131,343,329,307,116,78,7,45.5,44.7,46.3,46.1,45.3,46.8,25.8,26.8,24.3,41.4,40.4,43.6,35.0,24.7,37.3,26.3,26.8,24.5,28.9,28.2,29.9,21.1,19.6,24.8,46.2,45.5,47.0,28.5,27.0,30.4,384110
40,VT,50,,,,,040A0US50,Vermont -- In metropolitan or micropolitan statistical area,462618,227165,11795,12662,13540,8628,8306,3924,4032,9735,13572,13111,12609,14239,15799,18228,18074,6358,9415,5542,6634,8264,5455,3777,3466,235453,10750,12210,12513,8509,8013,3691,3776,9352,13428,13628,12844,14658,16630,19380,18827,7087,9414,5497,7447,8916,6650,5909,6324,437623,214963,10782,11674,12071,7947,7629,16480,12682,12335,25100,32858,33029,19938,9051,3387,222660,9832,11115,11468,7622,7329,15577,12591,12662,25792,34465,34154,21438,12384,6231,5665,3096,137,226,465,124,147,434,283,226,373,378,229,66,4,4,2569,219,206,247,235,180,303,153,189,328,279,133,44,26,27,1384,684,0,33,82,16,73,48,5,34,208,25,51,59,10,40,700,13,49,52,76,19,29,23,47,66,127,116,38,28,17,7131,3205,198,139,267,147,177,379,307,282,557,327,210,172,27,16,3926,117,228,213,238,188,374,331,323,804,477,376,216,18,23,153,50,0,0,8,0,0,0,0,0,18,0,0,0,24,0,103,0,0,36,12,3,31,0,0,0,4,0,0,17,0,1528,677,22,104,47,19,53,74,57,94,89,74,26,18,0,0,851,99,76,42,20,22,91,108,95,47,105,104,32,10,0,9134,4490,656,486,600,375,227,276,238,140,503,365,302,187,116,19,4644,470,536,455,306,272,414,222,312,465,553,445,92,76,26,431690,211981,10608,11429,11873,7864,7441,16101,12424,12124,24708,32525,32751,19841,8916,3376,219709,9595,10802,11237,7459,7164,15268,12368,12458,25462,34175,33883,21345,12299,6194,7843,3898,224,387,269,137,288,542,323,304,463,383,309,115,143,11,3945,285,364,313,229,274,401,347,305,411,402,353,129,95,37,42.0,40.6,43.2,43.0,41.7,44.1,23.9,25.2,22.4,38.5,38.1,43.7,33.2,29.8,34.4,24.5,35.9,21.1,29.1,26.2,29.4,20.9,18.8,23.3,43.2,41.9,44.3,26.3,26.2,26.5,462618
40,VT,50,,,,,040C0US50,Vermont -- In metropolitan statistical area,215081,105399,5736,5961,6366,4057,4532,2111,2372,5734,7113,6770,6287,6817,7217,8151,7643,2535,3723,2219,2571,2855,1942,1339,1348,109682,5228,5892,5768,4017,4901,2395,2217,5407,7049,7041,6076,7230,7581,8601,7817,2950,3837,2159,2750,3473,2327,2497,2469,199083,97610,5047,5364,5456,3661,4098,9352,6516,6170,11966,14685,13442,7375,3192,1286,101473,4593,5167,5096,3436,4448,9209,6519,6262,12252,15191,13975,8140,4775,2410,4023,2182,127,160,355,100,81,332,186,181,240,237,155,28,0,0,1841,197,165,172,146,126,218,96,144,187,237,92,42,19,0,701,358,0,15,9,0,49,41,0,24,114,3,32,28,3,40,343,7,4,11,60,19,0,5,21,27,80,63,17,14,15,5361,2443,136,111,188,103,154,328,224,235,400,267,160,105,22,10,2918,102,211,173,168,139,295,263,277,538,330,255,136,8,23,78,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,60,0,0,36,0,3,17,0,0,0,4,0,0,0,0,821,382,8,103,26,3,5,4,33,83,73,17,9,18,0,0,439,91,36,22,0,13,33,43,91,24,56,13,17,0,0,5014,2406,418,208,332,190,145,160,154,77,293,159,103,91,64,12,2608,238,309,258,207,153,247,123,246,278,284,206,30,8,21,195974,96071,4930,5219,5351,3595,4036,9115,6422,6082,11712,14502,13326,7356,3139,1286,99903,4468,5066,4967,3377,4288,9034,6358,6168,12023,15088,13839,8071,4753,2403,4107,2001,148,213,120,76,90,327,127,181,313,188,128,37,53,0,2106,157,121,186,80,227,214,220,172,289,176,149,86,22,7,37.7,36.5,39.0,39.0,37.6,40.4,22.9,23.6,22.0,41.5,37.9,46.4,31.6,29.6,32.6,20.0,.,14.7,29.8,31.5,29.4,20.4,18.5,23.1,39.3,37.7,40.7,25.8,25.5,26.1,215081
40,VT,50,,,,,040C1US50,Vermont -- In metropolitan statistical area -- in principal city,61106,29729,1309,1313,1262,701,2251,1048,1431,2869,2692,2237,1615,1711,1597,1678,1310,610,896,513,684,671,423,383,525,31377,1042,1215,1047,804,2835,1518,1228,2536,2563,2234,1431,1589,1534,1698,1833,758,867,600,656,866,715,723,1085,53354,26115,1037,1086,811,517,2000,4940,2391,1920,2849,2893,2679,1721,791,480,27239,828,851,753,623,2531,4723,2246,1856,2455,2772,3128,2021,1424,1028,2382,1211,54,105,140,87,37,207,126,51,134,175,81,14,0,0,1171,98,106,118,34,83,176,77,31,172,130,90,42,14,0,246,151,0,0,0,0,32,32,0,14,14,0,12,18,0,29,95,0,0,0,11,8,0,0,0,0,38,23,0,0,15,3296,1515,118,64,136,28,110,134,145,173,291,185,44,62,15,10,1781,22,175,82,118,109,190,186,184,305,179,178,30,0,23,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,363,106,0,0,0,0,2,0,23,46,8,9,0,18,0,0,257,72,0,22,0,13,13,20,49,8,43,0,17,0,0,1460,631,100,58,175,69,70,35,7,33,30,13,0,35,0,6,829,22,83,72,18,88,178,34,114,80,70,39,12,0,19,51909,25395,1007,995,783,500,1961,4805,2319,1890,2723,2782,2638,1721,791,480,26514,777,781,692,602,2420,4589,2187,1789,2427,2722,3099,1977,1424,1028,1907,944,33,91,34,17,59,214,95,90,134,116,43,18,0,0,963,79,70,61,22,144,166,95,116,36,84,29,61,0,0,31.1,30.0,32.0,31.8,30.8,32.9,23.5,24.1,23.1,47.2,31.8,51.2,30.5,33.0,30.2,.,.,.,32.2,32.6,29.4,19.7,14.6,23.3,32.1,30.9,33.3,24.4,25.5,23.0,61106
40,VT,50,,,,,040C2US50,Vermont -- In metropolitan statistical area -- not in principal city,153975,75670,4427,4648,5104,3356,2281,1063,941,2865,4421,4533,4672,5106,5620,6473,6333,1925,2827,1706,1887,2184,1519,956,823,78305,4186,4677,4721,3213,2066,877,989,2871,4486,4807,4645,5641,6047,6903,5984,2192,2970,1559,2094,2607,1612,1774,1384,145729,71495,4010,4278,4645,3144,2098,4412,4125,4250,9117,11792,10763,5654,2401,806,74234,3765,4316,4343,2813,1917,4486,4273,4406,9797,12419,10847,6119,3351,1382,1641,971,73,55,215,13,44,125,60,130,106,62,74,14,0,0,670,99,59,54,112,43,42,19,113,15,107,2,0,5,0,455,207,0,15,9,0,17,9,0,10,100,3,20,10,3,11,248,7,4,11,49,11,0,5,21,27,42,40,17,14,0,2065,928,18,47,52,75,44,194,79,62,109,82,116,43,7,0,1137,80,36,91,50,30,105,77,93,233,151,77,106,8,0,73,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,55,0,0,36,0,0,15,0,0,0,4,0,0,0,0,458,276,8,103,26,3,3,4,10,37,65,8,9,0,0,0,182,19,36,0,0,0,20,23,42,16,13,13,0,0,0,3554,1775,318,150,157,121,75,125,147,44,263,146,103,56,64,6,1779,216,226,186,189,65,69,89,132,198,214,167,18,8,2,144065,70676,3923,4224,4568,3095,2075,4310,4103,4192,8989,11720,10688,5635,2348,806,73389,3691,4285,4275,2775,1868,4445,4171,4379,9596,12366,10740,6094,3329,1375,2200,1057,115,122,86,59,31,113,32,91,179,72,85,19,53,0,1143,78,51,125,58,83,48,125,56,253,92,120,25,22,7,40.6,39.5,41.7,41.6,40.6,42.6,21.4,23.5,19.0,40.9,38.0,44.3,32.9,29.0,35.4,21.1,.,14.5,26.7,15.3,29.3,20.9,20.8,21.5,41.8,40.7,42.8,28.7,25.8,30.4,153975
40,VT,50,,,,,040E0US50,Vermont -- In micropolitan statistical area,247537,121766,6059,6701,7174,4571,3774,1813,1660,4001,6459,6341,6322,7422,8582,10077,10431,3823,5692,3323,4063,5409,3513,2438,2118,125771,5522,6318,6745,4492,3112,1296,1559,3945,6379,6587,6768,7428,9049,10779,11010,4137,5577,3338,4697,5443,4323,3412,3855,238540,117353,5735,6310,6615,4286,3531,7128,6166,6165,13134,18173,19587,12563,5859,2101,121187,5239,5948,6372,4186,2881,6368,6072,6400,13540,19274,20179,13298,7609,3821,1642,914,10,66,110,24,66,102,97,45,133,141,74,38,4,4,728,22,41,75,89,54,85,57,45,141,42,41,2,7,27,683,326,0,18,73,16,24,7,5,10,94,22,19,31,7,0,357,6,45,41,16,0,29,18,26,39,47,53,21,14,2,1770,762,62,28,79,44,23,51,83,47,157,60,50,67,5,6,1008,15,17,40,70,49,79,68,46,266,147,121,80,10,0,75,32,0,0,8,0,0,0,0,0,0,0,0,0,24,0,43,0,0,0,12,0,14,0,0,0,0,0,0,17,0,707,295,14,1,21,16,48,70,24,11,16,57,17,0,0,0,412,8,40,20,20,9,58,65,4,23,49,91,15,10,0,4120,2084,238,278,268,185,82,116,84,63,210,206,199,96,52,7,2036,232,227,197,99,119,167,99,66,187,269,239,62,68,5,235716,115910,5678,6210,6522,4269,3405,6986,6002,6042,12996,18023,19425,12485,5777,2090,119806,5127,5736,6270,4082,2876,6234,6010,6290,13439,19087,20044,13274,7546,3791,3736,1897,76,174,149,61,198,215,196,123,150,195,181,78,90,11,1839,128,243,127,149,47,187,127,133,122,226,204,43,73,30,45.4,44.1,46.6,46.0,44.7,47.1,27.1,29.2,24.8,38.0,38.1,34.5,39.3,33.0,41.3,78.5,83.1,24.7,28.0,23.7,29.4,21.7,19.7,23.7,46.2,44.9,47.3,26.6,26.5,27.8,247537
40,VT,50,,,,,040E1US50,Vermont -- In micropolitan statistical area -- in principal city,33841,16015,1016,1015,948,703,227,236,100,692,1018,1064,1047,999,1108,1266,1297,227,550,379,355,650,478,348,292,17826,790,772,1013,636,446,242,231,560,1124,1012,1017,1129,1125,1455,1358,565,748,327,684,555,662,548,827,32360,15174,910,919,877,687,213,963,951,1043,1890,2258,2027,1343,801,292,17186,770,768,942,587,427,947,1105,984,1992,2457,2641,1557,1188,821,456,264,0,48,7,0,1,8,53,5,58,64,12,8,0,0,192,0,0,59,18,0,17,0,0,73,5,11,0,4,5,102,96,0,0,10,10,0,0,0,0,53,0,0,16,7,0,6,0,0,0,0,0,0,0,5,0,0,0,0,0,1,329,124,12,12,10,6,11,0,0,16,17,40,0,0,0,0,205,0,0,5,17,19,0,0,0,81,64,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,51,0,0,0,0,0,38,4,0,0,9,0,0,0,0,14,0,0,0,0,0,14,0,0,0,0,0,0,0,0,529,306,94,36,44,0,2,19,10,0,28,3,35,17,18,0,223,20,4,7,14,0,55,19,23,0,54,0,9,18,0,31920,15035,894,903,858,686,213,963,936,1043,1890,2250,1998,1343,766,292,16885,721,714,910,571,427,937,1067,984,1979,2432,2621,1557,1166,799,470,169,16,16,19,1,0,26,19,0,0,8,29,0,35,0,301,49,54,32,16,0,10,38,0,13,25,20,0,22,22,42.0,39.6,44.7,42.7,40.4,45.3,35.4,41.1,35.1,38.5,38.5,.,41.9,33.7,42.0,.,.,.,22.9,24.3,.,23.4,13.5,29.6,42.9,40.4,45.6,24.8,27.3,18.0,33841
40,VT,50,,,,,040E2US50,Vermont -- In micropolitan statistical area -- not in principal city,213696,105751,5043,5686,6226,3868,3547,1577,1560,3309,5441,5277,5275,6423,7474,8811,9134,3596,5142,2944,3708,4759,3035,2090,1826,107945,4732,5546,5732,3856,2666,1054,1328,3385,5255,5575,5751,6299,7924,9324,9652,3572,4829,3011,4013,4888,3661,2864,3028,206180,102179,4825,5391,5738,3599,3318,6165,5215,5122,11244,15915,17560,11220,5058,1809,104001,4469,5180,5430,3599,2454,5421,4967,5416,11548,16817,17538,11741,6421,3000,1186,650,10,18,103,24,65,94,44,40,75,77,62,30,4,4,536,22,41,16,71,54,68,57,45,68,37,30,2,3,22,581,230,0,18,63,6,24,7,5,10,41,22,19,15,0,0,351,6,45,41,16,0,29,18,21,39,47,53,21,14,1,1441,638,50,16,69,38,12,51,83,31,140,20,50,67,5,6,803,15,17,35,53,30,79,68,46,185,83,102,80,10,0,75,32,0,0,8,0,0,0,0,0,0,0,0,0,24,0,43,0,0,0,12,0,14,0,0,0,0,0,0,17,0,642,244,14,1,21,16,48,32,20,11,16,48,17,0,0,0,398,8,40,20,20,9,44,65,4,23,49,91,15,10,0,3591,1778,144,242,224,185,80,97,74,63,182,203,164,79,34,7,1813,212,223,190,85,119,112,80,43,187,215,239,53,50,5,203796,100875,4784,5307,5664,3583,3192,6023,5066,4999,11106,15773,17427,11142,5011,1798,102921,4406,5022,5360,3511,2449,5297,4943,5306,11460,16655,17423,11717,6380,2992,3266,1728,60,158,130,60,198,189,177,123,150,187,152,78,55,11,1538,79,189,95,133,47,177,89,133,109,201,184,43,51,8,45.9,44.7,46.9,46.4,45.4,47.3,25.4,26.0,24.7,31.6,21.8,33.8,36.9,31.0,40.3,78.5,83.1,24.7,28.6,23.4,29.7,21.1,20.4,22.3,46.6,45.6,47.5,26.7,26.4,28.5,213696
