SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WA,53,,,,,04000US53,Washington,6985464,3487725,228403,227824,224142,136967,90638,52458,51905,151577,260873,252612,230325,234066,233107,245685,231612,86566,119667,71801,86896,107931,70497,48802,43371,3497739,217400,214378,217269,130193,84864,47073,48059,140876,244497,243147,223596,228073,230232,247691,241813,92535,127025,76102,94576,118093,83476,66167,80604,5434177,2714755,158138,159887,160393,99501,65348,185848,193523,188732,353069,389169,376782,236625,107271,40469,2719422,150099,149934,153854,93775,60789,171617,180894,180263,340120,387141,391717,252888,132676,73655,253224,137785,10044,9017,9137,5494,4009,12569,11867,11597,21075,20237,13886,6108,2204,541,115439,8792,7858,8671,5102,3356,10255,10203,9126,15829,15068,11677,5532,2770,1200,93266,45991,3659,3423,3399,2612,1532,4066,3755,3219,6063,5797,5171,2407,776,112,47275,3290,3524,3389,2023,1527,3938,3773,3301,5941,6449,5773,2751,1258,338,535501,247414,14440,14755,14852,9404,6713,20749,22337,22464,41043,32754,25103,14300,6689,1811,288087,13467,15130,15105,8898,6548,20228,24099,25983,49284,40928,34345,19755,9884,4433,44159,22173,1693,2141,1790,1065,740,2298,2151,1891,3242,2494,1721,743,181,23,21986,1395,1754,1703,1402,700,2293,1993,1934,3397,2251,2071,796,247,50,264432,139678,13644,12824,13001,7140,5025,13943,13322,13002,22763,14935,6703,2509,768,99,124754,14010,12631,13017,6827,4820,11421,11032,9739,19287,12124,5949,2386,1110,401,360705,179929,26785,25777,21570,11751,7271,16467,13918,11707,17136,13406,8479,3936,1410,316,180776,26347,23547,21530,12166,7124,16256,12503,12801,17811,13962,9841,4663,1698,527,4943228,2461880,128115,131692,134597,85798,55922,163470,171907,167314,317957,366514,363316,230436,104967,39875,2481348,121517,122828,129636,81280,52392,150733,161520,160395,307845,365763,378242,246680,130009,72508,835488,434109,50717,46990,43812,23811,15778,40295,38296,37327,61639,40571,21544,9277,3305,747,401379,48487,45790,41687,22246,14679,35417,33033,32835,55479,35643,20984,9508,3915,1676,37.4,36.4,38.5,40.3,39.2,41.5,32.5,33.0,31.7,31.8,30.7,32.9,36.4,34.5,38.0,28.3,27.6,29.2,25.9,26.8,24.9,19.5,19.1,19.9,42.4,41.2,43.6,24.2,24.4,23.9,6985464
40,WA,53,,,,,04001US53,Washington -- Urban,5896145,2935723,199809,195183,187955,113517,78045,45797,46085,136394,235518,225038,202484,201425,196637,199220,182422,67241,91957,54368,65413,81464,54200,39520,36031,2960422,190875,182205,182325,107905,73482,41087,42862,127329,221654,216757,196830,194763,191770,201454,191938,73444,100487,59077,74584,93934,69085,55433,71142,4468670,2225126,135353,132961,130399,79791,55099,163125,172184,165030,300473,313879,286541,174283,82699,33309,2243544,128457,123735,124921,75089,51720,151175,161664,157532,287780,310756,302564,194640,108872,64639,245589,133219,9718,8756,8928,5278,3919,12233,11521,11190,20329,19552,13249,5883,2130,533,112370,8494,7584,8489,4939,3231,9985,10044,8926,15265,14682,11395,5432,2753,1151,60458,29356,2232,2111,2050,1681,889,2770,2566,2282,3982,3701,3219,1336,496,41,31102,2183,2272,2150,1223,919,2775,2572,2443,3961,4169,3768,1746,745,176,522695,242715,14267,14381,14485,9213,6612,20360,22095,22314,40331,31985,24469,13916,6508,1779,279980,13305,14750,14538,8662,6362,19877,23856,25446,48191,39212,32932,18964,9535,4350,42452,21162,1673,2085,1700,1039,699,2154,2070,1783,3120,2348,1596,708,164,23,21290,1382,1711,1689,1359,655,2265,1957,1870,3294,2144,1886,785,243,50,231033,121487,11671,11136,11023,6089,4178,12538,12119,11722,19967,12723,5464,2129,643,85,109546,12591,10918,11150,5859,4079,10261,10001,8727,16852,10516,5176,2096,947,373,325248,162658,24895,23753,19370,10426,6649,15096,12963,10717,15707,11669,7082,2990,1080,261,162590,24463,21235,19388,10774,6516,14940,11560,11813,16250,11745,8148,3932,1423,403,4036697,2003604,108763,108430,107905,68046,46772,143357,152672,145810,269573,294333,275296,169122,80732,32793,2033093,102598,99834,103708,64351,44499,132317,143782,139692,259301,292286,291476,189110,106543,63596,734994,380401,44735,41124,37959,20399,13626,35861,34745,33623,54232,35047,17886,7701,2839,624,354593,43878,40350,36355,19202,12504,31769,30345,29529,48955,30773,17589,8408,3413,1523,36.1,35.1,37.3,38.8,37.5,40.1,32.4,32.9,31.7,31.7,30.7,32.5,36.2,34.4,37.7,28.0,27.5,28.9,26.0,26.9,25.0,19.2,18.8,19.6,40.8,39.5,42.2,24.2,24.5,23.9,5896145
40,WA,53,,,,,04043US53,Washington -- Rural,1089319,552002,28594,32641,36187,23450,12593,6661,5820,15183,25355,27574,27841,32641,36470,46465,49190,19325,27710,17433,21483,26467,16297,9282,7340,537317,26525,32173,34944,22288,11382,5986,5197,13547,22843,26390,26766,33310,38462,46237,49875,19091,26538,17025,19992,24159,14391,10734,9462,965507,489629,22785,26926,29994,19710,10249,22723,21339,23702,52596,75290,90241,62342,24572,7160,475878,21642,26199,28933,18686,9069,20442,19230,22731,52340,76385,89153,58248,23804,9016,7635,4566,326,261,209,216,90,336,346,407,746,685,637,225,74,8,3069,298,274,182,163,125,270,159,200,564,386,282,100,17,49,32808,16635,1427,1312,1349,931,643,1296,1189,937,2081,2096,1952,1071,280,71,16173,1107,1252,1239,800,608,1163,1201,858,1980,2280,2005,1005,513,162,12806,4699,173,374,367,191,101,389,242,150,712,769,634,384,181,32,8107,162,380,567,236,186,351,243,537,1093,1716,1413,791,349,83,1707,1011,20,56,90,26,41,144,81,108,122,146,125,35,17,0,696,13,43,14,43,45,28,36,64,103,107,185,11,4,0,33399,18191,1973,1688,1978,1051,847,1405,1203,1280,2796,2212,1239,380,125,14,15208,1419,1713,1867,968,741,1160,1031,1012,2435,1608,773,290,163,28,35457,17271,1890,2024,2200,1325,622,1371,955,990,1429,1737,1397,946,330,55,18186,1884,2312,2142,1392,608,1316,943,988,1561,2217,1693,731,275,124,906531,458276,19352,23262,26692,17752,9150,20113,19235,21504,48384,72181,88020,61314,24235,7082,448255,18919,22994,25928,16929,7893,18416,17738,20703,48544,73477,86766,57570,23466,8912,100494,53708,5982,5866,5853,3412,2152,4434,3551,3704,7407,5524,3658,1576,466,123,46786,4609,5440,5332,3044,2175,3648,2688,3306,6524,4870,3395,1100,502,153,45.6,45.2,46.0,47.6,47.3,47.9,34.7,36.2,31.2,32.2,30.7,34.1,44.8,41.3,46.8,35.0,32.6,40.6,24.8,25.9,23.6,22.0,21.6,22.4,49.1,48.9,49.2,23.9,24.1,23.5,1089319
40,WA,53,,,,,040A0US53,Washington -- In metropolitan or micropolitan statistical area,6832348,3411402,224428,223781,219977,134280,89049,51608,51100,149446,257286,248864,226595,230208,228857,240360,225231,83622,115531,68839,83189,103029,67132,47057,41933,3420946,213777,210201,213406,127717,83588,46326,47445,138816,241239,239549,220133,223895,225956,242010,234399,89616,122528,73295,90673,113617,80552,63944,78264,5302286,2649175,155227,156786,157230,97343,64184,182972,190687,185735,346862,380715,364248,225768,102350,39068,2653111,147398,146729,150983,91774,59784,169165,178266,177370,333681,378292,378147,242375,127739,71408,252336,137333,9994,8987,9109,5478,3978,12531,11812,11551,21005,20196,13873,6083,2195,541,115003,8724,7798,8650,5099,3351,10138,10179,9102,15794,15018,11668,5520,2762,1200,86110,42403,3312,3160,3202,2462,1392,3871,3538,2921,5623,5374,4713,2064,671,100,43707,3055,3253,3121,1876,1452,3620,3536,3032,5599,5994,5194,2550,1145,280,533787,246769,14414,14699,14819,9376,6702,20625,22322,22433,40955,32654,25030,14268,6670,1802,287018,13442,15037,15055,8889,6537,20180,24029,25873,49128,40801,34152,19630,9841,4424,43855,21987,1687,2091,1781,1065,736,2251,2116,1882,3234,2485,1717,742,177,23,21868,1384,1744,1699,1402,700,2273,1977,1934,3386,2229,2055,792,243,50,259300,136723,13423,12603,12689,7007,4843,13618,13099,12768,22186,14655,6567,2412,754,99,122577,13787,12430,12795,6718,4737,11261,10894,9529,18937,11877,5822,2320,1088,382,354674,177012,26371,25455,21147,11549,7214,16286,13712,11574,16938,13138,8236,3720,1372,300,177662,25987,23210,21103,11959,7027,15950,12358,12709,17503,13755,9505,4398,1678,520,4819492,2400429,125842,129144,131757,83864,54879,160983,169479,164595,312118,358417,351085,219713,100069,38484,2419063,119332,120247,127038,79476,51491,148590,159156,157792,301979,357207,365105,236234,125135,70281,820570,426193,49585,46077,43068,23393,15457,39561,37609,36768,60675,39874,21062,9059,3268,737,394377,47624,44866,41125,21909,14447,34770,32566,32287,54524,35070,20359,9363,3830,1637,37.2,36.2,38.3,40.1,38.9,41.2,32.5,33.0,31.7,31.6,30.4,32.8,36.4,34.5,38.0,28.4,27.8,29.3,25.9,26.7,24.8,19.4,19.1,19.9,42.1,40.9,43.3,24.2,24.4,23.9,6832348
40,WA,53,,,,,040C0US53,Washington -- In metropolitan statistical area,6272805,3128804,207015,206720,202952,123525,79179,45997,45425,135078,238666,232309,211679,214479,212798,222050,205804,76098,104856,61247,74231,90870,58978,41613,37235,3144001,197194,194310,196877,117709,74471,40981,42041,127286,225206,224317,205883,209139,210394,223566,214571,81198,110793,65723,81637,100654,72499,57285,70267,4832585,2412734,142718,143812,144103,89296,56969,162183,175788,172283,322130,351328,329521,198761,89365,34477,2419851,135191,134832,138274,84011,53138,151319,165487,165055,310110,348665,341557,214582,113890,63740,244741,132515,9710,8779,8938,5270,3603,11995,11128,11143,20165,19480,13645,5980,2143,536,112226,8542,7499,8494,5024,3146,9891,9834,8800,15499,14849,11391,5411,2663,1183,74635,36569,2883,2686,2772,2132,1112,3356,3114,2585,4851,4615,4091,1698,602,72,38066,2692,2899,2686,1651,1351,3141,3038,2711,4796,5206,4575,2105,952,263,520462,240792,14068,14409,14362,9251,6291,19626,21585,22013,40276,32136,24510,13935,6557,1773,279670,13248,14810,14696,8506,6151,19364,23479,25321,48157,39824,33198,19003,9632,4281,42793,21488,1647,2070,1750,1037,723,2229,2082,1812,3207,2384,1623,724,177,23,21305,1357,1732,1662,1381,659,2134,1949,1890,3344,2164,1965,775,243,50,225044,118431,11125,10898,11003,5647,4011,11899,11822,11377,19520,12661,5734,2037,610,87,106613,11847,10687,11169,5754,3841,9768,9724,8413,16462,10471,5225,2043,944,265,332545,166275,24864,24066,20024,10892,6470,15212,13147,11096,16009,12244,7634,3213,1137,267,166270,24317,21851,19896,11382,6185,14691,11695,12127,16654,12781,8651,4095,1460,485,4391995,2186006,115805,118805,121074,76795,48705,142641,156549,152844,289991,330794,317592,193179,87302,33930,2205989,109728,110678,116599,72909,45641,132736,147838,146913,280797,329183,329830,208870,111547,62720,737505,382518,44329,41286,38485,20827,13478,35022,34030,33520,55118,35803,18942,8106,2902,670,354987,42409,40147,36759,19650,12594,30973,29762,29559,49475,31924,18334,8581,3407,1413,37.0,36.1,38.1,39.9,38.7,41.0,32.6,33.1,31.9,31.5,30.4,32.5,36.4,34.7,38.0,28.3,27.6,29.3,26.3,27.1,25.1,19.4,19.0,19.8,41.8,40.6,43.0,24.4,24.7,24.2,6272805
40,WA,53,,,,,040C1US53,Washington -- In metropolitan statistical area -- in principal city,2563412,1276843,83274,77879,71301,43051,31612,20051,20537,64801,120787,111895,92644,88881,82702,83246,76588,28617,39814,22862,26637,33044,21976,17234,17410,1286569,79892,72642,66950,41185,32207,18338,21230,64196,111546,103680,88868,81834,79517,82253,80079,31070,43320,25942,31645,39343,30087,26022,34723,1858867,924570,52606,48486,46811,28312,20767,71881,84829,78612,130186,126963,117204,68735,33370,15808,934297,50481,46211,42324,26574,21283,70592,78316,72485,121200,122631,123601,79841,47783,30975,131736,70823,5399,4986,4577,2262,1820,5998,5970,6314,10545,10202,7488,3604,1302,356,60913,4324,4353,4454,2407,1529,5398,5633,5076,8022,7926,6045,3404,1561,781,26713,13085,993,942,826,752,353,1365,1337,1120,1839,1461,1233,625,222,17,13628,952,733,680,487,534,1403,1200,1117,1999,1634,1688,762,389,50,274193,129303,7276,6518,6254,4373,3593,12457,14237,14076,20646,15844,12270,7173,3551,1035,144890,6730,6830,6425,3955,4166,12190,14794,14291,22532,19155,16247,9796,5175,2604,19239,9534,798,1084,617,347,265,940,1190,945,1169,1027,810,292,43,7,9705,755,818,686,527,306,939,1011,866,1498,990,885,270,137,17,103395,55113,4944,5206,4545,2583,1868,5583,6153,5748,9568,5134,2628,822,272,59,48282,5630,4397,4563,2470,1755,4960,4596,4120,7782,4270,2328,984,346,81,149269,74415,11258,10657,7671,4422,2946,7165,7071,5080,7572,5317,3386,1292,450,128,74854,11020,9300,7818,4765,2634,8282,5996,5725,7669,5164,3675,1873,718,215,1691520,838539,43249,39650,38529,23904,17733,63901,76509,70472,117231,119422,113026,66669,32651,15593,852981,40345,37136,35182,22589,18152,63206,70688,64912,110376,115818,119180,78187,46796,30414,303626,158455,17310,16760,14772,7944,5392,15470,16067,15127,23891,13878,7352,3077,1141,274,145171,18225,15707,13149,7782,5292,13767,13302,13053,20345,11994,7412,3077,1367,699,35.6,34.7,36.7,38.4,37.2,39.7,32.9,33.5,32.2,31.4,29.8,33.2,34.8,33.5,36.2,27.8,27.3,28.6,26.6,27.6,25.5,20.7,20.2,21.2,40.2,38.8,41.7,25.0,25.5,24.5,2563412
40,WA,53,,,,,040C2US53,Washington -- In metropolitan statistical area -- not in principal city,3709393,1851961,123741,128841,131651,80474,47567,25946,24888,70277,117879,120414,119035,125598,130096,138804,129216,47481,65042,38385,47594,57826,37002,24379,19825,1857432,117302,121668,129927,76524,42264,22643,20811,63090,113660,120637,117015,127305,130877,141313,134492,50128,67473,39781,49992,61311,42412,31263,35544,2973718,1488164,90112,95326,97292,60984,36202,90302,90959,93671,191944,224365,212317,130026,55995,18669,1485554,84710,88621,95950,57437,31855,80727,87171,92570,188910,226034,217956,134741,66107,32765,113005,61692,4311,3793,4361,3008,1783,5997,5158,4829,9620,9278,6157,2376,841,180,51313,4218,3146,4040,2617,1617,4493,4201,3724,7477,6923,5346,2007,1102,402,47922,23484,1890,1744,1946,1380,759,1991,1777,1465,3012,3154,2858,1073,380,55,24438,1740,2166,2006,1164,817,1738,1838,1594,2797,3572,2887,1343,563,213,246269,111489,6792,7891,8108,4878,2698,7169,7348,7937,19630,16292,12240,6762,3006,738,134780,6518,7980,8271,4551,1985,7174,8685,11030,25625,20669,16951,9207,4457,1677,23554,11954,849,986,1133,690,458,1289,892,867,2038,1357,813,432,134,16,11600,602,914,976,854,353,1195,938,1024,1846,1174,1080,505,106,33,121649,63318,6181,5692,6458,3064,2143,6316,5669,5629,9952,7527,3106,1215,338,28,58331,6217,6290,6606,3284,2086,4808,5128,4293,8680,6201,2897,1059,598,184,183276,91860,13606,13409,12353,6470,3524,8047,6076,6016,8437,6927,4248,1921,687,139,91416,13297,12551,12078,6617,3551,6409,5699,6402,8985,7617,4976,2222,742,270,2700475,1347467,72556,79155,82545,52891,30972,78740,80040,82372,172760,211372,204566,126510,54651,18337,1353008,69383,73542,81417,50320,27489,69530,77150,82001,170421,213365,210650,130683,64751,32306,433879,224063,27019,24526,23713,12883,8086,19552,17963,18393,31227,21925,11590,5029,1761,396,209816,24184,24440,23610,11868,7302,17206,16460,16506,29130,19930,10922,5504,2040,714,38.2,37.2,39.3,40.8,39.8,41.7,32.1,32.5,31.4,31.6,30.9,32.0,38.4,36.7,39.7,28.9,28.2,29.9,25.8,26.7,24.9,18.3,18.0,18.6,42.8,41.8,43.7,23.9,23.9,23.8,3709393
40,WA,53,,,,,040E0US53,Washington -- In micropolitan statistical area,559543,282598,17413,17061,17025,10755,9870,5611,5675,14368,18620,16555,14916,15729,16059,18310,19427,7524,10675,7592,8958,12159,8154,5444,4698,276945,16583,15891,16529,10008,9117,5345,5404,11530,16033,15232,14250,14756,15562,18444,19828,8418,11735,7572,9036,12963,8053,6659,7997,469701,236441,12509,12974,13127,8047,7215,20789,14899,13452,24732,29387,34727,27007,12985,4591,233260,12207,11897,12709,7763,6646,17846,12779,12315,23571,29627,36590,27793,13849,7668,7595,4818,284,208,171,208,375,536,684,408,840,716,228,103,52,5,2777,182,299,156,75,205,247,345,302,295,169,277,109,99,17,11475,5834,429,474,430,330,280,515,424,336,772,759,622,366,69,28,5641,363,354,435,225,101,479,498,321,803,788,619,445,193,17,13325,5977,346,290,457,125,411,999,737,420,679,518,520,333,113,29,7348,194,227,359,383,386,816,550,552,971,977,954,627,209,143,1062,499,40,21,31,28,13,22,34,70,27,101,94,18,0,0,563,27,12,37,21,41,139,28,44,42,65,90,17,0,0,34256,18292,2298,1705,1686,1360,832,1719,1277,1391,2666,1994,833,375,144,12,15964,1940,1743,1626,964,896,1493,1170,1116,2475,1406,597,277,144,117,22129,10737,1507,1389,1123,657,744,1074,565,478,929,894,602,507,235,33,11392,1670,1359,1207,577,842,1259,663,582,849,974,854,303,218,35,427497,214423,10037,10339,10683,7069,6174,18342,12930,11751,22127,27623,33493,26534,12767,4554,213074,9604,9569,10439,6567,5850,15854,11318,10879,21182,28024,35275,27364,13588,7561,83065,43675,5256,4791,4583,2566,1979,4539,3579,3248,5557,4071,2120,953,366,67,39390,5215,4719,4366,2259,1853,3797,2804,2728,5049,3146,2025,782,423,224,39.3,37.8,40.8,42.9,41.3,44.5,28.2,28.7,27.8,32.8,30.4,35.6,31.8,27.6,37.4,31.4,33.8,26.5,22.9,23.5,22.3,20.0,19.7,20.1,45.7,44.0,47.4,22.1,22.9,21.5,559543
40,WA,53,,,,,040E1US53,Washington -- In micropolitan statistical area -- in principal city,163795,81007,5735,5090,5078,2492,5365,2855,3084,6950,7361,5679,4479,4154,3556,4241,3712,1375,1756,1152,1527,2031,1362,968,1005,82788,5553,4688,4975,2790,5414,3080,3051,5847,6413,5409,4427,4129,3672,4373,3664,1591,2454,1388,1582,2328,1727,1684,2549,131369,64820,3917,3787,3836,1752,3856,10671,5705,4600,6634,6482,6097,4301,2195,987,66549,3919,3321,3674,2120,4013,9703,4778,4126,6837,6749,6927,4842,3165,2375,3599,2056,135,82,59,71,290,251,393,89,300,222,79,74,6,5,1543,75,101,115,37,201,154,243,157,193,39,118,28,71,11,2097,886,33,66,36,39,96,75,69,70,120,164,51,67,0,0,1211,136,77,109,42,15,52,261,76,105,168,79,86,5,0,8103,3877,229,256,246,78,372,778,545,296,498,186,251,71,58,13,4226,121,106,207,145,269,694,438,354,662,433,389,242,99,67,540,188,31,15,27,0,7,12,25,6,6,20,39,0,0,0,352,27,10,20,17,41,134,18,29,27,8,21,0,0,0,9616,5283,747,356,462,364,277,615,378,460,763,510,234,85,32,0,4333,448,497,389,279,261,477,332,421,551,401,88,54,39,96,8471,3897,643,528,412,188,467,487,246,158,312,213,92,112,39,0,4574,827,576,461,150,614,764,343,246,181,247,87,46,32,0,115536,56943,3023,2777,2990,1550,3190,9727,4976,4015,5779,5832,5787,4190,2144,963,58593,2916,2558,2747,1587,3601,8769,4219,3562,5897,6248,6399,4701,3028,2361,28353,14428,1908,1514,1575,625,933,1615,1266,1084,1731,1286,574,210,83,24,13925,1915,1566,1575,845,751,1533,949,1070,1617,960,626,226,182,110,28.4,27.5,29.6,30.3,28.9,31.8,26.5,26.4,26.8,29.4,31.6,29.1,27.9,24.9,31.7,23.9,25.1,23.8,22.7,23.0,22.2,18.8,18.5,19.1,32.0,30.3,33.9,21.0,21.5,20.8,163795
40,WA,53,,,,,040E2US53,Washington -- In micropolitan statistical area -- not in principal city,395748,201591,11678,11971,11947,8263,4505,2756,2591,7418,11259,10876,10437,11575,12503,14069,15715,6149,8919,6440,7431,10128,6792,4476,3693,194157,11030,11203,11554,7218,3703,2265,2353,5683,9620,9823,9823,10627,11890,14071,16164,6827,9281,6184,7454,10635,6326,4975,5448,338332,171621,8592,9187,9291,6295,3359,10118,9194,8852,18098,22905,28630,22706,10790,3604,166711,8288,8576,9035,5643,2633,8143,8001,8189,16734,22878,29663,22951,10684,5293,3996,2762,149,126,112,137,85,285,291,319,540,494,149,29,46,0,1234,107,198,41,38,4,93,102,145,102,130,159,81,28,6,9378,4948,396,408,394,291,184,440,355,266,652,595,571,299,69,28,4430,227,277,326,183,86,427,237,245,698,620,540,359,188,17,5222,2100,117,34,211,47,39,221,192,124,181,332,269,262,55,16,3122,73,121,152,238,117,122,112,198,309,544,565,385,110,76,522,311,9,6,4,28,6,10,9,64,21,81,55,18,0,0,211,0,2,17,4,0,5,10,15,15,57,69,17,0,0,24640,13009,1551,1349,1224,996,555,1104,899,931,1903,1484,599,290,112,12,11631,1492,1246,1237,685,635,1016,838,695,1924,1005,509,223,105,21,13658,6840,864,861,711,469,277,587,319,320,617,681,510,395,196,33,6818,843,783,746,427,228,495,320,336,668,727,767,257,186,35,311961,157480,7014,7562,7693,5519,2984,8615,7954,7736,16348,21791,27706,22344,10623,3591,154481,6688,7011,7692,4980,2249,7085,7099,7317,15285,21776,28876,22663,10560,5200,54712,29247,3348,3277,3008,1941,1046,2924,2313,2164,3826,2785,1546,743,283,43,25465,3300,3153,2791,1414,1102,2264,1855,1658,3432,2186,1399,556,241,114,44.4,43.2,46.1,47.9,46.4,49.0,32.7,33.6,31.6,34.3,30.1,37.2,45.0,41.2,47.7,49.1,44.6,49.8,23.0,23.8,22.3,23.2,22.5,24.0,49.9,48.9,51.0,22.8,23.6,21.9,395748
