SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WI,55,,,,,04000US55,Wisconsin,5742117,2851385,176217,186006,191911,115730,82519,42497,42047,117861,183464,187494,172689,179862,198114,217886,204370,74651,101510,59057,71292,90955,65738,48337,41178,2890732,168178,180034,180587,110660,78908,42076,40374,113393,176718,181605,168116,176322,197462,219813,206108,74762,103976,59781,76771,103217,81341,67614,82916,4967124,2466611,136177,147867,152943,94320,67294,165126,152410,157753,303140,376699,353850,209603,109468,39961,2500513,129949,141645,143873,89694,65412,160263,145502,152037,294073,375006,355324,225178,142037,80520,360792,176667,15520,16260,17040,9949,6482,17035,13476,13202,21901,20668,15366,6527,2615,626,184125,15445,15322,16074,9725,5870,16515,14011,13527,23626,22503,17525,8485,3998,1499,50449,24979,1958,1893,2246,1246,1014,1950,1662,1711,3225,3657,2691,1163,439,124,25470,1910,1916,2088,1166,621,2128,1673,1791,3347,3746,2871,1463,574,176,143732,69946,6001,6122,5123,3423,2910,8342,7187,6967,10270,6559,3874,2027,917,224,73786,6199,6459,5776,3347,2543,8022,7771,6911,10525,7325,4759,2509,1260,380,1233,536,28,15,30,15,23,143,95,7,51,55,59,9,6,0,697,15,35,50,15,9,81,62,8,136,110,78,63,24,11,96057,51069,4580,4686,5702,2589,1768,4388,4826,4536,9521,4799,2417,890,238,129,44988,4737,4780,4393,2628,1497,3644,3465,4145,7819,4733,1728,922,383,114,122730,61577,11953,9163,8827,4188,3028,5421,3808,3318,4443,3563,2274,1085,392,114,61153,9923,9877,8333,4085,2956,5190,4234,3186,4912,3852,2561,1149,679,216,4729911,2344158,122642,133221,140293,87843,62764,154853,142758,146767,285675,365299,347025,207126,108218,39674,2385753,116494,128087,131352,83497,61348,150703,136643,142586,278687,365060,348547,222390,140665,79694,364558,189748,21303,22089,20638,10201,6967,15766,15686,16517,28065,17171,9751,3546,1610,438,174810,20767,20886,19235,9816,6252,14553,13425,14283,24359,15604,9029,3827,1785,989,39.0,37.8,40.1,41.5,40.4,42.7,28.5,27.2,29.7,32.6,31.1,33.7,27.7,27.2,28.1,30.0,25.2,41.1,26.8,27.0,26.4,16.0,15.5,16.6,42.7,41.5,43.8,23.9,24.3,23.4,5742117
40,WI,55,,,,,04001US55,Wisconsin -- Urban,4026506,1971128,129995,132663,134221,78304,61873,33880,33492,92391,144419,142446,125209,124225,131168,138598,128364,46535,62384,36316,42091,53118,38940,31611,28885,2055378,124597,128739,125983,75865,61834,34748,32991,90754,141634,139352,124026,123508,133029,144351,136178,49210,67620,38788,48908,66272,55004,48296,63691,3331569,1628482,94236,98864,99701,59278,48115,125723,116418,115881,205563,235122,213834,121305,66621,27821,1703087,90070,94860,93580,57190,49570,125261,112806,112055,201775,239536,226684,141046,97146,61508,350633,169540,15159,15858,16620,9558,6312,16292,12614,12217,20543,20060,14800,6341,2546,620,181093,15100,14983,15658,9427,5775,16340,13913,13415,23266,22195,17172,8391,3980,1478,23873,11935,862,771,1103,441,509,983,890,940,1726,1679,1404,462,99,66,11938,854,792,872,491,304,1091,795,926,1857,1771,1324,634,157,70,132663,65011,5509,5550,4568,3196,2693,8042,6842,6664,9553,6021,3494,1827,852,200,67652,5871,5985,5145,3019,2351,7667,7338,6498,9470,6478,4162,2184,1133,351,901,425,27,11,25,8,3,132,90,6,26,42,48,7,0,0,476,8,26,16,8,9,71,39,0,106,69,54,52,7,11,86422,45728,4089,4151,5118,2427,1641,3876,4251,4045,8500,4322,2158,815,225,110,40694,4156,4149,3951,2445,1297,3375,3126,3690,7242,4371,1590,837,351,114,100445,50007,10113,7458,7086,3396,2600,4715,3314,2693,3523,2520,1545,768,208,68,50438,8538,7944,6761,3285,2528,4688,3617,2768,3818,2960,2022,824,526,159,3121842,1521061,82133,85839,88586,53656,44073,116846,107865,106134,190493,225096,207866,119220,65651,27603,1600781,78129,82996,82453,51698,45948,116461,104652,103295,187988,231062,220767,138661,95943,60728,323631,167131,18928,19557,18178,9004,6284,13748,13886,14658,24488,15151,8575,3060,1255,359,156500,18398,18261,17074,8802,5544,13435,12305,13080,22076,13699,7974,3330,1588,934,36.4,35.1,37.8,39.2,37.6,40.8,28.4,26.9,29.8,33.2,31.7,34.2,27.5,27.1,27.8,28.5,25.1,41.1,26.9,27.0,26.7,15.9,15.3,16.5,40.6,38.9,42.3,23.9,24.2,23.6,4026506
40,WI,55,,,,,04043US55,Wisconsin -- Rural,1715611,880257,46222,53343,57690,37426,20646,8617,8555,25470,39045,45048,47480,55637,66946,79288,76006,28116,39126,22741,29201,37837,26798,16726,12293,835354,43581,51295,54604,34795,17074,7328,7383,22639,35084,42253,44090,52814,64433,75462,69930,25552,36356,20993,27863,36945,26337,19318,19225,1635555,838129,41941,49003,53242,35042,19179,39403,35992,41872,97577,141577,140016,88298,42847,12140,797426,39879,46785,50293,32504,15842,35002,32696,39982,92298,135470,128640,84132,44891,19012,10159,7127,361,402,420,391,170,743,862,985,1358,608,566,186,69,6,3032,345,339,416,298,95,175,98,112,360,308,353,94,18,21,26576,13044,1096,1122,1143,805,505,967,772,771,1499,1978,1287,701,340,58,13532,1056,1124,1216,675,317,1037,878,865,1490,1975,1547,829,417,106,11069,4935,492,572,555,227,217,300,345,303,717,538,380,200,65,24,6134,328,474,631,328,192,355,433,413,1055,847,597,325,127,29,332,111,1,4,5,7,20,11,5,1,25,13,11,2,6,0,221,7,9,34,7,0,10,23,8,30,41,24,11,17,0,9635,5341,491,535,584,162,127,512,575,491,1021,477,259,75,13,19,4294,581,631,442,183,200,269,339,455,577,362,138,85,32,0,22285,11570,1840,1705,1741,792,428,706,494,625,920,1043,729,317,184,46,10715,1385,1933,1572,800,428,502,617,418,1094,892,539,325,153,57,1608069,823097,40509,47382,51707,34187,18691,38007,34893,40633,95182,140203,139159,87906,42567,12071,784972,38365,45091,48899,31799,15400,34242,31991,39291,90699,133998,127780,83729,44722,18966,40927,22617,2375,2532,2460,1197,683,2018,1800,1859,3577,2020,1176,486,355,79,18310,2369,2625,2161,1014,708,1118,1120,1203,2283,1905,1055,497,197,55,45.0,44.6,45.4,45.8,45.5,46.2,29.9,31.4,20.6,31.9,30.5,33.0,30.6,27.4,33.7,38.9,38.3,40.3,25.6,27.3,21.9,16.8,17.0,16.7,46.2,45.9,46.5,23.8,25.1,21.1,1715611
40,WI,55,,,,,040A0US55,Wisconsin -- In metropolitan or micropolitan statistical area,5016948,2483166,156051,163666,168742,101307,74358,38998,38487,106445,165371,167387,153253,158360,172952,187524,174910,63088,84737,49222,58492,73170,52925,39683,34038,2533782,148759,158738,158837,97129,71946,39093,37422,103260,160353,163219,150111,156410,173493,190851,177414,63946,88229,50398,64078,85192,67701,56623,70580,4282834,2120783,118200,127665,131691,80976,59886,148620,136248,139722,265182,323651,297607,170019,88378,32938,2162051,112566,122309,124026,77165,58914,145336,130293,134967,258500,324113,301735,185906,117876,68345,354562,171867,15354,16000,16766,9840,6388,16446,12877,12506,21071,19959,15045,6424,2573,618,182695,15316,15142,15855,9631,5842,16446,13932,13456,23474,22332,17413,8406,3990,1460,35384,17428,1329,1228,1751,799,760,1296,1179,1200,2248,2635,1962,702,281,58,17956,1321,1308,1478,736,442,1567,1210,1327,2354,2762,1929,1048,371,103,140469,68657,5869,5997,5003,3362,2870,8261,7001,6861,10066,6488,3799,1983,882,215,71812,6118,6376,5627,3259,2520,7924,7609,6674,10217,7070,4526,2396,1139,357,1060,468,27,14,27,14,11,141,94,6,35,37,55,7,0,0,592,8,30,50,15,9,78,43,3,114,94,54,61,22,11,90307,47913,4208,4335,5440,2535,1685,4090,4444,4139,8918,4550,2344,874,233,118,42394,4268,4432,4148,2528,1428,3530,3281,3809,7431,4540,1682,858,351,108,112332,56050,11064,8427,8064,3781,2758,5076,3528,2953,4093,3156,1923,875,261,91,56282,9162,9141,7653,3795,2791,4894,3985,2983,4431,3433,2250,993,575,196,4057715,2004903,105278,113834,119848,74921,55566,138837,127037,129257,248698,312806,291141,167740,87257,32683,2052812,99729,109627,112093,71304,55000,136100,121838,125897,243788,314746,295313,183263,116570,67544,344765,178946,20112,20718,19394,9646,6633,14937,14798,15529,26388,16305,9297,3307,1476,406,165819,19483,19500,18277,9294,5991,14069,12808,13528,23230,14784,8594,3611,1692,958,38.1,36.9,39.3,40.7,39.5,42.0,28.4,26.9,29.7,32.8,31.2,33.8,27.5,27.1,27.9,28.4,25.0,40.8,26.8,27.0,26.6,15.9,15.3,16.5,41.9,40.7,43.2,23.9,24.3,23.5,5016948
40,WI,55,,,,,040C0US55,Wisconsin -- In metropolitan statistical area,4237349,2090673,134586,140113,143284,85652,61160,31637,31574,90354,142540,143713,131058,134559,145801,156635,145126,52605,70281,40600,47747,58859,42287,32634,27868,2146676,128563,135592,135376,82326,59773,32785,31542,88482,140261,141792,129349,133708,146977,160267,148680,53725,73748,41706,52795,69508,55464,46644,57613,3550061,1753115,99202,106392,108682,66576,47982,121008,115595,118306,222215,267795,244495,137110,70959,26798,1796946,94728,101680,102837,63704,47848,120332,111724,115093,217371,269350,249813,150998,95939,55529,348041,167376,15178,15729,16614,9695,6200,15753,12319,11864,20321,19523,14708,6322,2534,616,180665,15030,14929,15709,9497,5685,16158,13813,13361,23305,22172,17224,8381,3974,1427,24598,11976,814,848,1219,478,427,858,808,949,1621,1863,1457,440,144,50,12622,869,815,1078,557,282,1129,830,935,1784,1988,1374,687,241,53,130547,63919,5489,5590,4548,3122,2567,7650,6512,6374,9523,6147,3551,1788,858,200,66628,5580,5835,5245,2960,2315,7385,7247,6121,9637,6476,4167,2261,1083,316,845,367,0,14,0,14,11,132,72,6,29,36,51,2,0,0,478,8,21,50,13,9,73,4,3,104,67,52,54,9,11,83151,43971,3920,3964,5051,2307,1510,3573,4145,3777,8164,4247,2187,786,222,118,39180,3912,4069,3723,2316,1300,3241,3075,3505,6980,4243,1565,804,339,108,100106,49949,9983,7576,7170,3460,2463,4591,3089,2437,3744,2825,1563,758,204,86,50157,8436,8243,6734,3279,2334,4491,3568,2774,3876,2948,1958,824,523,169,3349221,1650283,87629,94249,98332,61274,44144,112346,107493,108846,207587,258114,238740,135021,69950,26558,1698938,83285,90527,92049,58507,44501,112037,103983,106694,204113,261064,244030,148604,94752,54792,310262,160265,18062,18461,17265,8572,5837,13200,13236,14044,23729,14748,8387,3028,1307,389,149997,17444,17472,16470,8358,5256,12722,11721,12532,21225,13290,7764,3302,1556,885,37.6,36.5,38.7,40.4,39.2,41.6,28.4,26.8,29.8,33.4,32.5,34.2,27.6,27.3,27.9,30.3,25.3,41.1,27.0,27.2,26.9,15.7,15.2,16.3,41.7,40.4,42.9,24.1,24.5,23.8,4237349
40,WI,55,,,,,040C1US55,Wisconsin -- In metropolitan statistical area -- in principal city,1691371,824167,59525,57065,54318,31231,29691,17813,18502,47908,71018,64499,53057,50105,49797,52095,47630,17384,23478,12849,15017,17284,13144,10663,10094,867204,57010,53995,50557,31194,32626,19619,18956,48986,71237,66328,51705,50025,51370,54479,50994,19004,24726,14422,17044,23913,20220,16877,21917,1191366,582711,33630,32908,29992,17300,20271,60016,51056,47040,72956,77515,72013,37882,20758,9374,608655,31658,30178,27745,17734,23382,61872,49619,46267,69026,77612,75404,45696,32030,20432,292099,136774,13046,13304,14124,8032,5114,12318,9786,9010,16039,15783,12108,5318,2270,522,155325,13068,12808,13108,8117,4852,13991,12104,11427,19868,19350,14613,7277,3591,1151,11580,5435,435,416,527,240,128,502,484,493,751,637,659,114,44,5,6145,465,359,437,291,201,621,415,531,946,903,549,320,85,22,77762,38666,3366,3311,2666,2026,1702,5706,4543,3940,5088,3343,1546,887,477,65,39096,3624,3241,2828,1904,1660,5322,4578,3776,4923,3366,2025,1002,718,129,396,201,0,6,0,0,0,93,40,6,0,25,31,0,0,0,195,0,12,8,0,0,51,0,0,67,20,16,10,0,11,62473,32598,3149,3000,3555,1856,951,2935,3170,2566,6115,3172,1316,572,170,71,29875,3158,3088,2984,1555,1052,2635,2389,2653,5051,3036,1147,735,302,90,55695,27782,5899,4120,3454,1777,1525,2653,1939,1444,2213,1417,819,377,88,57,27913,5037,4309,3447,1593,1479,3069,2132,1674,1849,1562,970,339,371,82,1068118,518730,26130,25222,23847,14172,17888,54249,45924,40967,64445,71602,68319,36607,20105,9253,549388,25020,23645,21685,14715,21222,56372,44597,40783,61053,72725,71894,44351,31319,20007,203000,105076,12282,12258,10686,5496,3660,9279,8916,9242,15241,9637,5369,1946,847,217,97924,11180,11125,10398,5131,3648,9001,8146,8615,13539,8454,4936,2174,1031,546,32.8,31.9,33.7,35.9,34.9,37.2,28.2,26.1,29.9,31.0,29.9,33.1,25.9,25.6,26.2,25.8,25.0,40.0,26.3,26.4,26.2,16.2,15.6,17.0,37.9,36.5,39.3,24.2,24.4,23.9,1691371
40,WI,55,,,,,040C2US55,Wisconsin -- In metropolitan statistical area -- not in principal city,2545978,1266506,75061,83048,88966,54421,31469,13824,13072,42446,71522,79214,78001,84454,96004,104540,97496,35221,46803,27751,32730,41575,29143,21971,17774,1279472,71553,81597,84819,51132,27147,13166,12586,39496,69024,75464,77644,83683,95607,105788,97686,34721,49022,27284,35751,45595,35244,29767,35696,2358695,1170404,65572,73484,78690,49276,27711,60992,64539,71266,149259,190280,172482,99228,50201,17424,1188291,63070,71502,75092,45970,24466,58460,62105,68826,148345,191738,174409,105302,63909,35097,55942,30602,2132,2425,2490,1663,1086,3435,2533,2854,4282,3740,2600,1004,264,94,25340,1962,2121,2601,1380,833,2167,1709,1934,3437,2822,2611,1104,383,276,13018,6541,379,432,692,238,299,356,324,456,870,1226,798,326,100,45,6477,404,456,641,266,81,508,415,404,838,1085,825,367,156,31,52785,25253,2123,2279,1882,1096,865,1944,1969,2434,4435,2804,2005,901,381,135,27532,1956,2594,2417,1056,655,2063,2669,2345,4714,3110,2142,1259,365,187,449,166,0,8,0,14,11,39,32,0,29,11,20,2,0,0,283,8,9,42,13,9,22,4,3,37,47,36,44,9,0,20678,11373,771,964,1496,451,559,638,975,1211,2049,1075,871,214,52,47,9305,754,981,739,761,248,606,686,852,1929,1207,418,69,37,18,44411,22167,4084,3456,3716,1683,938,1938,1150,993,1531,1408,744,381,116,29,22244,3399,3934,3287,1686,855,1422,1436,1100,2027,1386,988,485,152,87,2281103,1131553,61499,69027,74485,47102,26256,58097,61569,67879,143142,186512,170421,98414,49845,17305,1149550,58265,66882,70364,43792,23279,55665,59386,65911,143060,188339,172136,104253,63433,34785,107262,55189,5780,6203,6579,3076,2177,3921,4320,4802,8488,5111,3018,1082,460,172,52073,6264,6347,6072,3227,1608,3721,3575,3917,7686,4836,2828,1128,525,339,41.2,40.1,42.2,42.5,41.5,43.5,29.4,29.2,29.7,36.4,36.3,36.5,30.9,31.2,30.7,40.3,27.4,41.7,29.1,29.3,28.4,15.3,14.8,15.7,43.2,42.2,44.2,24.0,24.8,23.4,2545978
40,WI,55,,,,,040E0US55,Wisconsin -- In micropolitan statistical area,779599,392493,21465,23553,25458,15655,13198,7361,6913,16091,22831,23674,22195,23801,27151,30889,29784,10483,14456,8622,10745,14311,10638,7049,6170,387106,20196,23146,23461,14803,12173,6308,5880,14778,20092,21427,20762,22702,26516,30584,28734,10221,14481,8692,11283,15684,12237,9979,12967,732773,367668,18998,21273,23009,14400,11904,27612,20653,21416,42967,55856,53112,32909,17419,6140,365105,17838,20629,21189,13461,11066,25004,18569,19874,41129,54763,51922,34908,21937,12816,6521,4491,176,271,152,145,188,693,558,642,750,436,337,102,39,2,2030,286,213,146,134,157,288,119,95,169,160,189,25,16,33,10786,5452,515,380,532,321,333,438,371,251,627,772,505,262,137,8,5334,452,493,400,179,160,438,380,392,570,774,555,361,130,50,9922,4738,380,407,455,240,303,611,489,487,543,341,248,195,24,15,5184,538,541,382,299,205,539,362,553,580,594,359,135,56,41,215,101,27,0,27,0,0,9,22,0,6,1,4,5,0,0,114,0,9,0,2,0,5,39,0,10,27,2,7,13,0,7156,3942,288,371,389,228,175,517,299,362,754,303,157,88,11,0,3214,356,363,425,212,128,289,206,304,451,297,117,54,12,0,12226,6101,1081,851,894,321,295,485,439,516,349,331,360,117,57,5,6125,726,898,919,516,457,403,417,209,555,485,292,169,52,27,708494,354620,17649,19585,21516,13647,11422,26491,19544,20411,41111,54692,52401,32719,17307,6125,353874,16444,19100,20044,12797,10499,24063,17855,19203,39675,53682,51283,34659,21818,12752,34503,18681,2050,2257,2129,1074,796,1737,1562,1485,2659,1557,910,279,169,17,15822,2039,2028,1807,936,735,1347,1087,996,2005,1494,830,309,136,73,41.0,39.5,42.5,42.3,40.9,43.6,27.7,30.6,21.8,30.0,27.7,32.7,25.6,24.8,26.6,28.2,14.8,38.2,23.2,25.1,21.6,17.7,17.4,18.0,43.1,41.8,44.3,21.8,22.7,20.9,779599
40,WI,55,,,,,040E1US55,Wisconsin -- In micropolitan statistical area -- in principal city,231514,113236,6145,6708,7090,4281,6140,3784,3872,7245,7915,7721,5788,6348,6385,7111,7075,2384,3354,1804,2257,3066,2525,1980,2258,118278,6246,6910,6185,3803,5936,3661,3395,6371,7308,6651,5733,6268,6675,7637,7857,2485,3422,2235,2787,4354,3670,3347,5342,213749,103894,5144,5792,6161,3871,5388,13499,7155,6810,11310,12893,12265,6849,4499,2258,109855,5215,5993,5388,3235,5272,12321,6790,5929,11219,13727,13290,9210,6966,5300,2298,1308,105,139,44,27,105,265,126,95,99,149,124,26,4,0,990,116,143,68,25,123,203,59,54,47,56,55,5,7,29,2217,1108,98,55,141,27,125,133,64,29,137,117,82,100,0,0,1109,114,118,56,47,47,136,95,102,96,97,133,68,0,0,5800,3003,229,293,281,154,199,498,274,331,345,202,128,67,2,0,2797,310,277,178,173,164,429,191,369,260,205,164,33,31,13,65,28,0,0,23,0,0,0,0,0,0,0,0,5,0,0,37,0,0,0,0,0,5,0,0,10,22,0,0,0,0,2420,1376,59,98,103,111,136,258,37,167,198,90,88,31,0,0,1044,172,101,106,77,29,119,35,125,156,81,23,20,0,0,4965,2519,510,331,337,91,187,248,259,289,47,45,126,49,0,0,2446,319,278,389,246,301,214,138,72,213,124,99,40,13,0,206265,99999,4827,5196,5650,3657,5195,13087,6907,6554,10816,12525,12067,6797,4463,2258,106266,4803,5448,5083,3067,5091,11846,6527,5765,10799,13373,13098,9138,6949,5279,11074,5969,576,756,740,335,422,697,341,510,697,490,286,83,36,0,5105,755,684,480,265,215,630,394,266,598,445,243,92,17,21,34.4,32.1,37.2,36.3,33.5,39.3,23.1,23.9,20.8,25.4,24.6,26.4,22.9,23.0,22.4,38.5,.,49.2,21.5,21.9,20.5,17.9,17.9,17.9,37.0,34.0,40.3,20.8,21.1,20.6,231514
40,WI,55,,,,,040E2US55,Wisconsin -- In micropolitan statistical area -- not in principal city,548085,279257,15320,16845,18368,11374,7058,3577,3041,8846,14916,15953,16407,17453,20766,23778,22709,8099,11102,6818,8488,11245,8113,5069,3912,268828,13950,16236,17276,11000,6237,2647,2485,8407,12784,14776,15029,16434,19841,22947,20877,7736,11059,6457,8496,11330,8567,6632,7625,519024,263774,13854,15481,16848,10529,6516,14113,13498,14606,31657,42963,40847,26060,12920,3882,255250,12623,14636,15801,10226,5794,12683,11779,13945,29910,41036,38632,25698,14971,7516,4223,3183,71,132,108,118,83,428,432,547,651,287,213,76,35,2,1040,170,70,78,109,34,85,60,41,122,104,134,20,9,4,8569,4344,417,325,391,294,208,305,307,222,490,655,423,162,137,8,4225,338,375,344,132,113,302,285,290,474,677,422,293,130,50,4122,1735,151,114,174,86,104,113,215,156,198,139,120,128,22,15,2387,228,264,204,126,41,110,171,184,320,389,195,102,25,28,150,73,27,0,4,0,0,9,22,0,6,1,4,0,0,0,77,0,9,0,2,0,0,39,0,0,5,2,7,13,0,4736,2566,229,273,286,117,39,259,262,195,556,213,69,57,11,0,2170,184,262,319,135,99,170,171,179,295,216,94,34,12,0,7261,3582,571,520,557,230,108,237,180,227,302,286,234,68,57,5,3679,407,620,530,270,156,189,279,137,342,361,193,129,39,27,502229,254621,12822,14389,15866,9990,6227,13404,12637,13857,30295,42167,40334,25922,12844,3867,247608,11641,13652,14961,9730,5408,12217,11328,13438,28876,40309,38185,25521,14869,7473,23429,12712,1474,1501,1389,739,374,1040,1221,975,1962,1067,624,196,133,17,10717,1284,1344,1327,671,520,717,693,730,1407,1049,587,217,119,52,43.2,42.3,44.1,44.2,43.4,45.1,31.4,32.0,22.4,31.9,28.2,34.3,29.1,28.5,30.9,28.1,21.6,28.7,24.9,26.5,22.6,17.6,16.9,18.1,45.1,44.3,45.8,23.0,24.3,21.3,548085
