SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WV,54,,,,,04000US54,West Virginia,1851420,913631,52472,53707,55269,34100,24799,13455,13547,35920,54564,56430,55764,60662,61771,66156,66936,27509,38208,22577,28708,36504,25738,16397,12438,937789,50287,51490,52689,32359,22247,13814,12906,34241,52255,55121,55399,59373,61257,68671,71680,28150,38906,25010,29797,39946,31619,24351,26221,1732235,851047,47280,48603,50947,31236,21863,56437,49934,51732,108224,120829,126381,84530,40889,12162,881188,45679,46863,47923,29637,19982,56163,48713,51754,108333,123643,132172,91238,53818,25270,61367,33363,1857,1778,1823,1421,1717,3436,2399,2510,5330,4335,4043,1774,788,152,28004,1541,1878,1702,1182,1133,2329,1669,1735,3359,3559,3755,1902,1558,702,2953,1500,17,28,51,106,11,53,115,155,185,304,273,178,24,0,1453,57,143,65,17,11,43,61,69,188,323,313,104,59,0,13485,6275,441,321,336,128,198,933,802,737,741,652,507,291,153,35,7210,265,218,457,245,203,805,702,551,1165,927,933,560,103,76,625,307,36,17,40,0,0,10,30,33,66,32,24,19,0,0,318,1,33,14,16,0,33,22,32,77,59,24,7,0,0,4566,2716,204,177,149,88,49,394,299,329,503,291,129,77,27,0,1850,325,171,219,57,84,216,213,96,171,131,107,37,10,13,36189,18423,2637,2783,1923,1121,961,1659,985,934,1377,1484,1296,920,254,89,17766,2419,2184,2309,1205,834,1372,875,884,1479,1286,1432,905,422,160,1713434,841572,46495,48038,49931,30850,21428,55658,49231,50811,107044,119787,125377,84132,40672,12118,871862,44705,45955,47047,29274,19599,55307,48060,51109,107223,122748,131303,90833,53512,25187,25408,13265,1277,690,1299,508,551,1438,1087,1368,1742,1446,1159,429,217,54,12143,1324,1188,1188,484,484,1256,951,929,1375,1128,963,473,317,83,41.8,40.6,43.0,42.6,41.4,43.7,35.6,34.4,37.7,46.6,45.8,48.3,32.4,29.9,36.9,32.9,32.6,40.3,26.1,30.0,23.1,19.7,19.6,19.8,42.7,41.6,43.8,26.8,28.8,25.5,1851420
40,WV,54,,,,,04001US54,West Virginia -- Urban,909391,439261,26646,26246,26500,15533,14531,8515,7292,21023,28835,30006,27327,28095,27987,28933,29993,12250,16549,9505,12666,14896,11350,7754,6829,470130,25759,24915,25275,15136,13097,7353,7512,20682,29974,29519,27848,28047,28267,31604,34139,12571,17972,11680,13956,19189,16302,13797,15536,819325,393143,22483,22266,23098,13340,12211,31597,25575,26661,49638,52100,54292,35035,18244,6603,426182,21826,21260,21595,13199,11276,31751,27078,26731,50828,55000,59952,42334,28510,14842,49885,25994,1598,1604,1566,1106,1506,2851,1716,1778,3884,3201,3097,1347,613,127,23891,1453,1642,1534,940,1010,1970,1480,1492,2977,3028,3027,1552,1266,520,1642,777,17,0,10,68,11,7,106,76,85,133,172,71,21,0,865,22,104,31,0,11,16,22,49,84,225,216,68,17,0,11432,5509,402,261,280,117,175,905,757,620,664,535,410,212,138,33,5923,259,179,379,190,183,703,625,493,930,740,708,371,87,76,328,142,36,0,40,0,0,10,0,0,14,0,23,19,0,0,186,0,22,14,16,0,12,0,22,73,16,4,7,0,0,3219,1770,126,131,138,63,49,307,185,194,332,92,76,77,0,0,1449,265,112,219,57,84,202,144,82,84,87,85,18,10,0,23560,11926,1984,1984,1368,839,579,1153,496,677,805,859,722,306,88,66,11634,1934,1596,1503,734,533,893,625,650,919,775,690,475,209,98,807413,387643,21938,22043,22413,13102,11923,31089,25086,26214,48999,51437,53768,34900,18145,6586,419770,21207,20650,21014,12913,11035,31009,26682,26271,49916,54432,59434,42137,28286,14784,16720,8130,912,282,933,343,375,1110,682,702,1004,867,636,158,99,27,8590,902,800,846,370,335,1069,602,699,1076,753,603,243,234,58,39.5,37.6,41.4,40.8,39.0,42.6,34.5,32.7,36.6,48.1,45.2,49.6,31.1,29.1,33.8,30.6,14.9,40.2,23.8,26.5,19.7,17.7,17.4,18.1,41.0,39.2,42.9,25.2,25.6,24.9,909391
40,WV,54,,,,,04043US54,West Virginia -- Rural,942029,474370,25826,27461,28769,18567,10268,4940,6255,14897,25729,26424,28437,32567,33784,37223,36943,15259,21659,13072,16042,21608,14388,8643,5609,467659,24528,26575,27414,17223,9150,6461,5394,13559,22281,25602,27551,31326,32990,37067,37541,15579,20934,13330,15841,20757,15317,10554,10685,912910,457904,24797,26337,27849,17896,9652,24840,24359,25071,58586,68729,72089,49495,22645,5559,455006,23853,25603,26328,16438,8706,24412,21635,25023,57505,68643,72220,48904,25308,10428,11482,7369,259,174,257,315,211,585,683,732,1446,1134,946,427,175,25,4113,88,236,168,242,123,359,189,243,382,531,728,350,292,182,1311,723,0,28,41,38,0,46,9,79,100,171,101,107,3,0,588,35,39,34,17,0,27,39,20,104,98,97,36,42,0,2053,766,39,60,56,11,23,28,45,117,77,117,97,79,15,2,1287,6,39,78,55,20,102,77,58,235,187,225,189,16,0,297,165,0,17,0,0,0,0,30,33,52,32,1,0,0,0,132,1,11,0,0,0,21,22,10,4,43,20,0,0,0,1347,946,78,46,11,25,0,87,114,135,171,199,53,0,27,0,401,60,59,0,0,0,14,69,14,87,44,22,19,0,13,12629,6497,653,799,555,282,382,506,489,257,572,625,574,614,166,23,6132,485,588,806,471,301,479,250,234,560,511,742,430,213,62,906021,453929,24557,25995,27518,17748,9505,24569,24145,24597,58045,68350,71609,49232,22527,5532,452092,23498,25305,26033,16361,8564,24298,21378,24838,57307,68316,71869,48696,25226,10403,8688,5135,365,408,366,165,176,328,405,666,738,579,523,271,118,27,3553,422,388,342,114,149,187,349,230,299,375,360,230,83,25,43.7,43.0,44.5,44.0,43.4,44.6,38.8,38.0,45.8,45.0,46.2,44.5,43.3,36.0,44.6,36.3,36.2,41.3,33.5,33.7,29.0,25.0,25.5,24.7,44.1,43.5,44.7,31.6,32.9,26.9,942029
40,WV,54,,,,,040A0US54,West Virginia -- In metropolitan or micropolitan statistical area,1442682,710597,41469,42088,43246,26411,20259,10965,10876,29275,43943,44847,43443,47734,47582,50887,51291,21073,29007,16721,21885,26798,19142,12136,9519,732085,39562,40123,41505,25222,18240,10972,10415,27984,42071,44027,43372,46686,47222,52927,55950,21732,29121,19182,22634,29980,24086,18875,20197,1338544,656199,36917,37451,39335,23929,17626,45282,39845,40942,84126,92493,95925,62715,30318,9295,682345,35396,35968,37192,22757,16229,45052,38785,41014,84334,94836,101187,68897,41258,19440,54225,29211,1664,1704,1739,1187,1561,3135,2084,2076,4619,3633,3512,1615,552,130,25014,1467,1808,1607,1052,1082,2171,1527,1587,2911,3055,3280,1658,1246,563,2484,1261,13,23,51,106,11,27,115,135,163,284,205,107,21,0,1223,57,143,64,17,11,43,61,69,188,202,272,76,20,0,12601,5989,431,321,332,128,198,864,802,721,675,604,471,254,153,35,6612,238,163,437,245,179,743,631,506,1138,862,843,448,103,76,548,248,36,17,40,0,0,10,30,33,26,14,23,19,0,0,300,0,33,14,16,0,33,22,22,77,59,24,0,0,0,3914,2228,173,144,149,65,49,337,220,253,422,204,108,77,27,0,1686,311,166,219,50,84,204,205,73,137,111,87,29,10,0,30366,15461,2235,2428,1600,996,814,1461,847,687,1146,1237,1127,617,207,59,14905,2093,1842,1972,1085,655,1125,840,756,1273,1024,1110,688,324,118,1322649,648165,36239,36951,38454,23599,17202,44587,39214,40232,83210,91600,95038,62436,30152,9251,674484,34654,35185,36446,22452,15908,44311,38279,40469,83346,94043,100420,68607,41007,19357,21585,11241,1139,593,1143,435,533,1284,927,1051,1380,1195,1031,310,166,54,10344,1074,1043,1038,409,422,1100,760,789,1187,987,841,350,261,83,41.1,39.8,42.4,42.0,40.8,43.2,34.6,33.4,35.7,44.4,44.0,44.5,32.1,29.5,37.0,32.0,25.7,40.3,25.1,29.4,20.4,19.2,19.3,19.0,42.2,41.0,43.4,26.2,26.8,25.3,1442682
40,WV,54,,,,,040C0US54,West Virginia -- In metropolitan statistical area,1137523,560744,32545,33291,34358,20793,16545,9163,8714,23581,35231,35505,34065,37874,37461,40246,39797,16346,22964,13209,16752,20709,14885,9484,7226,576779,30976,31496,33185,19859,14735,8692,8548,22872,33682,34829,34383,36792,37299,41740,43817,16670,22900,14655,17624,23289,18648,14509,15579,1048783,514137,28757,29449,30995,18682,14227,36357,31661,32116,65802,72503,74513,48476,23574,7025,534646,27521,28108,29514,17830,13040,36265,30851,32333,66161,74347,78792,53204,31718,14962,45491,24849,1554,1386,1456,952,1397,2633,1731,1700,4017,3143,2959,1302,489,130,20642,1222,1341,1296,839,856,1897,1287,1321,2420,2654,2671,1349,1026,463,1924,1028,13,23,39,71,0,27,106,93,110,225,205,100,16,0,896,22,109,29,4,5,43,47,45,171,161,164,76,20,0,11172,5395,346,260,307,128,177,792,734,697,593,554,425,228,141,13,5777,162,160,398,176,161,671,570,417,1072,751,724,398,81,36,396,158,12,17,0,0,0,10,30,33,14,0,23,19,0,0,238,0,33,14,16,0,12,22,0,62,59,20,0,0,0,3579,2044,170,140,137,65,49,324,220,249,356,158,99,77,0,0,1535,271,142,210,50,84,194,184,73,104,111,87,15,10,0,26178,13133,1693,2016,1424,895,695,1315,749,617,1047,1124,883,468,149,58,13045,1778,1603,1724,944,589,1030,721,640,1185,956,929,526,302,118,1035421,507248,28217,29018,30198,18383,13844,35763,31180,31523,64954,71677,73820,48262,23419,6990,528173,26922,27387,28876,17555,12790,35621,30417,31861,65300,73759,78239,52974,31572,14900,18311,9714,933,514,1033,381,458,1151,773,903,1211,1092,828,237,155,45,8597,895,940,841,371,337,968,633,688,1036,777,627,266,156,62,40.8,39.5,42.1,41.7,40.6,43.0,34.8,33.7,36.0,45.2,46.2,44.7,32.3,29.7,37.2,33.0,32.3,40.7,24.4,27.4,20.3,19.6,19.7,19.3,42.0,40.8,43.2,25.7,26.5,24.8,1137523
40,WV,54,,,,,040C1US54,West Virginia -- In metropolitan statistical area -- in principal city,253695,124094,7438,6877,6325,4205,5945,3173,2432,7405,9052,8217,7029,7627,7475,8039,8310,3366,4429,2507,3284,3890,2715,2424,1930,129601,6235,6070,6441,4103,5245,2465,2799,6876,9061,7838,7222,6906,7451,8357,9457,3368,4902,2981,3684,4851,4566,3962,4761,218447,106322,5785,5298,5039,3443,4990,11051,7404,7186,12339,13952,14256,8897,4869,1813,112125,4842,4649,4938,3266,4441,10365,7818,6844,12195,13869,15912,10607,7941,4438,20382,10494,839,715,527,340,685,1121,866,590,1714,1048,1255,510,199,85,9888,497,706,769,460,416,925,641,619,1106,1100,1240,658,495,256,563,301,13,0,0,0,0,0,18,27,18,77,79,56,13,0,262,16,15,0,0,0,0,0,25,60,99,29,18,0,0,4324,2061,7,79,82,81,112,351,412,153,246,193,203,84,48,10,2263,54,49,112,64,105,468,349,83,329,343,171,96,31,9,174,45,12,0,0,0,0,0,0,0,14,0,0,19,0,0,129,0,22,14,16,0,12,0,0,58,7,0,0,0,0,1123,638,28,43,100,9,23,65,74,65,83,42,60,46,0,0,485,100,50,133,8,30,15,14,0,51,46,28,0,10,0,8682,4233,754,742,577,332,135,422,278,196,242,202,252,69,10,22,4449,726,579,475,289,253,355,239,267,329,344,347,137,51,58,215305,104742,5654,5219,4960,3374,4864,10756,7322,7051,12172,13742,14115,8864,4836,1813,110563,4756,4516,4833,3203,4329,10085,7712,6729,12124,13738,15691,10562,7869,4416,4531,2331,274,92,187,69,146,408,150,200,237,265,237,33,33,0,2200,149,197,180,72,174,350,112,201,155,215,233,58,82,22,38.0,35.6,40.3,39.8,37.4,42.3,33.1,31.0,34.3,49.8,53.8,48.2,29.2,29.0,29.4,39.8,39.8,40.0,20.8,29.3,12.8,17.6,15.7,18.7,40.0,37.6,42.6,24.8,24.9,24.8,253695
40,WV,54,,,,,040C2US54,West Virginia -- In metropolitan statistical area -- not in principal city,883828,436650,25107,26414,28033,16588,10600,5990,6282,16176,26179,27288,27036,30247,29986,32207,31487,12980,18535,10702,13468,16819,12170,7060,5296,447178,24741,25426,26744,15756,9490,6227,5749,15996,24621,26991,27161,29886,29848,33383,34360,13302,17998,11674,13940,18438,14082,10547,10818,830336,407815,22972,24151,25956,15239,9237,25306,24257,24930,53463,58551,60257,39579,18705,5212,422521,22679,23459,24576,14564,8599,25900,23033,25489,53966,60478,62880,42597,23777,10524,25109,14355,715,671,929,612,712,1512,865,1110,2303,2095,1704,792,290,45,10754,725,635,527,379,440,972,646,702,1314,1554,1431,691,531,207,1361,727,0,23,39,71,0,27,88,66,92,148,126,44,3,0,634,6,94,29,4,5,43,47,20,111,62,135,58,20,0,6848,3334,339,181,225,47,65,441,322,544,347,361,222,144,93,3,3514,108,111,286,112,56,203,221,334,743,408,553,302,50,27,222,113,0,17,0,0,0,10,30,33,0,0,23,0,0,0,109,0,11,0,0,0,0,22,0,4,52,20,0,0,0,2456,1406,142,97,37,56,26,259,146,184,273,116,39,31,0,0,1050,171,92,77,42,54,179,170,73,53,65,59,15,0,0,17496,8900,939,1274,847,563,560,893,471,421,805,922,631,399,139,36,8596,1052,1024,1249,655,336,675,482,373,856,612,582,389,251,60,820116,402506,22563,23799,25238,15009,8980,25007,23858,24472,52782,57935,59705,39398,18583,5177,417610,22166,22871,24043,14352,8461,25536,22705,25132,53176,60021,62548,42412,23703,10484,13780,7383,659,422,846,312,312,743,623,703,974,827,591,204,122,45,6397,746,743,661,299,163,618,521,487,881,562,394,208,74,40,41.4,40.4,42.5,42.2,41.3,43.1,36.1,35.2,37.7,43.4,43.4,44.0,34.0,30.4,40.0,32.6,26.0,50.8,25.0,26.9,23.5,20.7,21.1,19.9,42.4,41.4,43.3,25.9,26.8,24.8,883828
40,WV,54,,,,,040E0US54,West Virginia -- In micropolitan statistical area,305159,149853,8924,8797,8888,5618,3714,1802,2162,5694,8712,9342,9378,9860,10121,10641,11494,4727,6043,3512,5133,6089,4257,2652,2293,155306,8586,8627,8320,5363,3505,2280,1867,5112,8389,9198,8989,9894,9923,11187,12133,5062,6221,4527,5010,6691,5438,4366,4618,289761,142062,8160,8002,8340,5247,3399,8925,8184,8826,18324,19990,21412,14239,6744,2270,147699,7875,7860,7678,4927,3189,8787,7934,8681,18173,20489,22395,15693,9540,4478,8734,4362,110,318,283,235,164,502,353,376,602,490,553,313,63,0,4372,245,467,311,213,226,274,240,266,491,401,609,309,220,100,560,233,0,0,12,35,11,0,9,42,53,59,0,7,5,0,327,35,34,35,13,6,0,14,24,17,41,108,0,0,0,1429,594,85,61,25,0,21,72,68,24,82,50,46,26,12,22,835,76,3,39,69,18,72,61,89,66,111,119,50,22,40,152,90,24,0,40,0,0,0,0,0,12,14,0,0,0,0,62,0,0,0,0,0,21,0,22,15,0,4,0,0,0,335,184,3,4,12,0,0,13,0,4,66,46,9,0,27,0,151,40,24,9,0,0,10,21,0,33,0,0,14,0,0,4188,2328,542,412,176,101,119,146,98,70,99,113,244,149,58,1,1860,315,239,248,141,66,95,119,116,88,68,181,162,22,0,287228,140917,8022,7933,8256,5216,3358,8824,8034,8709,18256,19923,21218,14174,6733,2261,146311,7732,7798,7570,4897,3118,8690,7862,8608,18046,20284,22181,15633,9435,4457,3274,1527,206,79,110,54,75,133,154,148,169,103,203,73,11,9,1747,179,103,197,38,85,132,127,101,151,210,214,84,105,21,42.3,40.9,43.7,42.8,41.6,44.3,32.7,32.3,34.3,37.0,35.9,38.4,30.8,29.1,32.6,21.6,14.5,30.5,36.9,44.5,22.3,17.0,16.3,17.7,42.9,41.7,44.4,28.9,28.7,30.4,305159
40,WV,54,,,,,040E1US54,West Virginia -- In micropolitan statistical area -- in principal city,58920,27665,1837,1764,1693,834,812,341,362,1117,1966,2086,1593,1568,1751,1699,2100,838,1012,746,726,895,768,520,637,31255,1932,1717,1427,1048,1023,623,596,1240,2099,2121,1521,1732,1780,1753,2570,808,1031,707,765,1134,1176,1119,1333,52162,24467,1590,1549,1421,743,675,1490,1765,1790,2817,3075,3593,2114,1209,636,27695,1637,1415,1218,779,797,2217,1810,1852,2941,3257,3984,2348,2181,1259,5428,2581,83,177,227,72,110,292,181,219,296,342,308,229,45,0,2847,190,234,148,198,201,220,176,220,286,210,369,207,114,74,97,51,0,0,0,10,0,0,9,18,0,14,0,0,0,0,46,0,0,0,0,0,0,0,0,0,28,18,0,0,0,238,88,0,0,0,0,21,1,11,7,39,0,9,0,0,0,150,20,0,0,20,15,10,38,14,0,30,0,3,0,0,40,40,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,31,0,0,5,0,0,10,0,4,0,12,0,0,0,0,53,0,17,5,0,0,3,21,0,0,0,0,7,0,0,871,407,164,38,0,9,6,27,0,48,9,7,40,24,34,1,464,85,51,56,51,10,9,54,35,26,8,38,41,0,0,51602,24255,1587,1546,1418,743,675,1465,1721,1790,2817,3070,3470,2111,1209,633,27347,1596,1412,1214,760,782,2205,1794,1827,2915,3157,3954,2339,2133,1259,779,317,9,9,13,0,0,35,44,26,31,21,123,3,0,3,462,43,34,9,19,22,19,71,25,26,100,30,16,48,0,39.6,38.2,40.7,40.6,39.3,42.3,31.9,32.6,30.7,47.4,32.4,.,28.6,38.8,27.4,.,.,.,25.1,30.1,25.1,17.6,16.2,17.8,40.5,39.2,42.3,35.4,35.7,32.6,58920
40,WV,54,,,,,040E2US54,West Virginia -- In micropolitan statistical area -- not in principal city,246239,122188,7087,7033,7195,4784,2902,1461,1800,4577,6746,7256,7785,8292,8370,8942,9394,3889,5031,2766,4407,5194,3489,2132,1656,124051,6654,6910,6893,4315,2482,1657,1271,3872,6290,7077,7468,8162,8143,9434,9563,4254,5190,3820,4245,5557,4262,3247,3285,237599,117595,6570,6453,6919,4504,2724,7435,6419,7036,15507,16915,17819,12125,5535,1634,120004,6238,6445,6460,4148,2392,6570,6124,6829,15232,17232,18411,13345,7359,3219,3306,1781,27,141,56,163,54,210,172,157,306,148,245,84,18,0,1525,55,233,163,15,25,54,64,46,205,191,240,102,106,26,463,182,0,0,12,25,11,0,0,24,53,45,0,7,5,0,281,35,34,35,13,6,0,14,24,17,13,90,0,0,0,1191,506,85,61,25,0,0,71,57,17,43,50,37,26,12,22,685,56,3,39,49,3,62,23,75,66,81,119,47,22,40,112,50,24,0,0,0,0,0,0,0,12,14,0,0,0,0,62,0,0,0,0,0,21,0,22,15,0,4,0,0,0,251,153,3,4,7,0,0,3,0,0,66,34,9,0,27,0,98,40,7,4,0,0,7,0,0,33,0,0,7,0,0,3317,1921,378,374,176,92,113,119,98,22,90,106,204,125,24,0,1396,230,188,192,90,56,86,65,81,62,60,143,121,22,0,235626,116662,6435,6387,6838,4473,2683,7359,6313,6919,15439,16853,17748,12063,5524,1628,118964,6136,6386,6356,4137,2336,6485,6068,6781,15131,17127,18227,13294,7302,3198,2495,1210,197,70,97,54,75,98,110,122,138,82,80,70,11,6,1285,136,69,188,19,63,113,56,76,125,110,184,68,57,21,42.8,41.5,44.4,43.3,42.0,44.7,35.3,31.8,38.8,34.9,37.2,33.1,31.9,26.5,38.1,30.5,36.1,30.5,44.0,44.7,10.5,16.6,16.3,17.5,43.4,42.2,44.8,27.9,25.9,28.9,246239
