SummaryLevel,State,StateFIPS,CountyFIPS,PlaceFIPS,CBSACode,CongressDistrict,GEOID,AreaName,B01001_001,B01001_002,B01001_003,B01001_004,B01001_005,B01001_006,B01001_007,B01001_008,B01001_009,B01001_010,B01001_011,B01001_012,B01001_013,B01001_014,B01001_015,B01001_016,B01001_017,B01001_018,B01001_019,B01001_020,B01001_021,B01001_022,B01001_023,B01001_024,B01001_025,B01001_026,B01001_027,B01001_028,B01001_029,B01001_030,B01001_031,B01001_032,B01001_033,B01001_034,B01001_035,B01001_036,B01001_037,B01001_038,B01001_039,B01001_040,B01001_041,B01001_042,B01001_043,B01001_044,B01001_045,B01001_046,B01001_047,B01001_048,B01001_049,B01001A_001,B01001A_002,B01001A_003,B01001A_004,B01001A_005,B01001A_006,B01001A_007,B01001A_008,B01001A_009,B01001A_010,B01001A_011,B01001A_012,B01001A_013,B01001A_014,B01001A_015,B01001A_016,B01001A_017,B01001A_018,B01001A_019,B01001A_020,B01001A_021,B01001A_022,B01001A_023,B01001A_024,B01001A_025,B01001A_026,B01001A_027,B01001A_028,B01001A_029,B01001A_030,B01001A_031,B01001B_001,B01001B_002,B01001B_003,B01001B_004,B01001B_005,B01001B_006,B01001B_007,B01001B_008,B01001B_009,B01001B_010,B01001B_011,B01001B_012,B01001B_013,B01001B_014,B01001B_015,B01001B_016,B01001B_017,B01001B_018,B01001B_019,B01001B_020,B01001B_021,B01001B_022,B01001B_023,B01001B_024,B01001B_025,B01001B_026,B01001B_027,B01001B_028,B01001B_029,B01001B_030,B01001B_031,B01001C_001,B01001C_002,B01001C_003,B01001C_004,B01001C_005,B01001C_006,B01001C_007,B01001C_008,B01001C_009,B01001C_010,B01001C_011,B01001C_012,B01001C_013,B01001C_014,B01001C_015,B01001C_016,B01001C_017,B01001C_018,B01001C_019,B01001C_020,B01001C_021,B01001C_022,B01001C_023,B01001C_024,B01001C_025,B01001C_026,B01001C_027,B01001C_028,B01001C_029,B01001C_030,B01001C_031,B01001D_001,B01001D_002,B01001D_003,B01001D_004,B01001D_005,B01001D_006,B01001D_007,B01001D_008,B01001D_009,B01001D_010,B01001D_011,B01001D_012,B01001D_013,B01001D_014,B01001D_015,B01001D_016,B01001D_017,B01001D_018,B01001D_019,B01001D_020,B01001D_021,B01001D_022,B01001D_023,B01001D_024,B01001D_025,B01001D_026,B01001D_027,B01001D_028,B01001D_029,B01001D_030,B01001D_031,B01001E_001,B01001E_002,B01001E_003,B01001E_004,B01001E_005,B01001E_006,B01001E_007,B01001E_008,B01001E_009,B01001E_010,B01001E_011,B01001E_012,B01001E_013,B01001E_014,B01001E_015,B01001E_016,B01001E_017,B01001E_018,B01001E_019,B01001E_020,B01001E_021,B01001E_022,B01001E_023,B01001E_024,B01001E_025,B01001E_026,B01001E_027,B01001E_028,B01001E_029,B01001E_030,B01001E_031,B01001F_001,B01001F_002,B01001F_003,B01001F_004,B01001F_005,B01001F_006,B01001F_007,B01001F_008,B01001F_009,B01001F_010,B01001F_011,B01001F_012,B01001F_013,B01001F_014,B01001F_015,B01001F_016,B01001F_017,B01001F_018,B01001F_019,B01001F_020,B01001F_021,B01001F_022,B01001F_023,B01001F_024,B01001F_025,B01001F_026,B01001F_027,B01001F_028,B01001F_029,B01001F_030,B01001F_031,B01001G_001,B01001G_002,B01001G_003,B01001G_004,B01001G_005,B01001G_006,B01001G_007,B01001G_008,B01001G_009,B01001G_010,B01001G_011,B01001G_012,B01001G_013,B01001G_014,B01001G_015,B01001G_016,B01001G_017,B01001G_018,B01001G_019,B01001G_020,B01001G_021,B01001G_022,B01001G_023,B01001G_024,B01001G_025,B01001G_026,B01001G_027,B01001G_028,B01001G_029,B01001G_030,B01001G_031,B01001H_001,B01001H_002,B01001H_003,B01001H_004,B01001H_005,B01001H_006,B01001H_007,B01001H_008,B01001H_009,B01001H_010,B01001H_011,B01001H_012,B01001H_013,B01001H_014,B01001H_015,B01001H_016,B01001H_017,B01001H_018,B01001H_019,B01001H_020,B01001H_021,B01001H_022,B01001H_023,B01001H_024,B01001H_025,B01001H_026,B01001H_027,B01001H_028,B01001H_029,B01001H_030,B01001H_031,B01001I_001,B01001I_002,B01001I_003,B01001I_004,B01001I_005,B01001I_006,B01001I_007,B01001I_008,B01001I_009,B01001I_010,B01001I_011,B01001I_012,B01001I_013,B01001I_014,B01001I_015,B01001I_016,B01001I_017,B01001I_018,B01001I_019,B01001I_020,B01001I_021,B01001I_022,B01001I_023,B01001I_024,B01001I_025,B01001I_026,B01001I_027,B01001I_028,B01001I_029,B01001I_030,B01001I_031,B01002_001,B01002_002,B01002_003,B01002A_001,B01002A_002,B01002A_003,B01002B_001,B01002B_002,B01002B_003,B01002C_001,B01002C_002,B01002C_003,B01002D_001,B01002D_002,B01002D_003,B01002E_001,B01002E_002,B01002E_003,B01002F_001,B01002F_002,B01002F_003,B01002G_001,B01002G_002,B01002G_003,B01002H_001,B01002H_002,B01002H_003,B01002I_001,B01002I_002,B01002I_003,B01003_001
40,WY,56,,,,,04000US56,Wyoming,579679,295561,19649,19198,20703,11500,8105,5054,4849,12727,21459,21008,18573,17553,17580,20337,21523,8199,10849,6434,7565,8710,6149,4442,3395,284118,18996,19519,17785,10383,6947,4497,4090,11405,19350,19465,17022,16402,16702,20958,21000,7795,10497,6184,6946,9880,6938,5560,5797,527763,268565,17220,16394,18250,10219,7042,19785,18708,18829,32915,35651,38295,21758,10200,3299,259198,16406,17246,15497,9334,6114,17813,17477,17427,30258,34919,37199,21808,11999,5701,6142,3553,98,255,153,158,244,428,321,405,373,353,505,122,138,0,2589,310,168,227,88,73,382,63,149,248,341,435,82,14,9,12658,6483,635,652,649,305,194,665,528,529,821,603,564,267,61,10,6175,555,605,515,269,144,432,445,612,791,791,553,340,103,20,5319,2383,93,142,93,57,90,240,372,398,359,220,166,90,26,37,2936,122,97,191,93,90,210,314,263,461,416,374,143,126,36,423,309,5,0,4,6,2,165,87,0,12,14,14,0,0,0,114,0,0,0,14,17,44,0,0,18,7,8,6,0,0,11885,6026,438,465,539,295,207,534,668,516,963,457,511,255,139,39,5859,499,755,422,254,211,468,550,416,1085,544,277,256,112,10,15489,8242,1160,1290,1015,460,326,813,775,331,683,619,516,217,27,10,7247,1104,648,933,331,298,643,501,598,563,642,446,375,144,21,489665,248919,15120,14671,16371,9139,6327,18001,17232,17168,30277,33541,36985,21148,9815,3124,240746,14338,15384,13825,8447,5513,16416,16085,16105,27857,33031,35611,20971,11672,5491,55698,28960,3080,2603,2737,1593,1019,2680,2492,2438,3938,2775,1976,890,525,214,26738,3010,2871,2366,1257,876,2102,2038,1962,3630,2673,2023,1239,464,227,36.8,35.9,37.9,38.1,37.3,39.0,31.2,32.1,28.2,28.3,26.6,31.5,32.9,32.2,38.7,23.8,23.8,24.1,28.1,28.4,27.7,21.2,19.0,22.7,39.2,38.4,40.0,26.7,26.4,26.9,579679
40,WY,56,,,,,04001US56,Wyoming -- Urban,376272,190425,13199,12411,13187,7080,5815,3736,3735,10075,16596,15216,12103,11221,10707,11652,12784,4406,6248,3153,4376,4335,3397,2553,2440,185847,13602,12451,11335,6679,5016,3380,3247,8942,14523,13624,11079,10448,9937,12152,12575,4495,5963,3621,3891,6086,4360,4112,4329,339380,170971,11485,10500,11496,6287,4954,15152,14264,13457,21058,21017,21807,11422,5711,2361,168409,11634,10854,9790,5956,4418,13845,13024,12014,19333,20429,21818,12910,8106,4278,5622,3289,91,245,141,142,236,399,286,393,349,322,495,68,122,0,2333,305,92,183,82,73,380,51,149,215,290,408,82,14,9,4667,2448,177,180,252,88,72,412,262,300,294,145,210,47,2,7,2219,183,203,124,78,36,129,213,352,326,319,119,118,11,8,4519,2076,59,103,74,26,90,230,372,398,310,165,127,85,0,37,2443,122,97,170,50,90,192,293,251,322,319,281,126,115,15,332,266,5,0,4,0,2,165,84,0,4,0,2,0,0,0,66,0,0,0,0,14,44,0,0,0,0,8,0,0,0,10415,5333,415,440,512,240,167,503,637,427,896,344,433,178,106,35,5082,460,695,378,246,184,424,537,355,939,370,215,169,100,10,11337,6042,967,943,708,297,294,685,691,241,413,366,364,64,9,0,5295,898,510,690,267,201,555,405,503,392,362,184,193,126,9,308935,155236,9885,9114,9994,5474,4391,13586,12954,12220,18999,19396,20737,10901,5383,2202,153699,9860,9340,8514,5277,3905,12609,11994,11008,17387,19007,20584,12297,7844,4073,45372,23672,2499,2103,2266,1210,815,2401,2238,1889,3185,2112,1627,699,434,194,21700,2565,2399,1885,1033,752,1847,1645,1534,2989,1996,1551,899,383,222,33.9,32.9,35.1,35.1,34.2,36.4,31.2,32.0,30.0,28.7,26.2,32.5,32.3,32.1,33.4,23.7,23.7,22.9,27.0,27.5,26.3,19.5,18.6,21.3,36.2,35.0,37.5,26.1,26.0,26.2,376272
40,WY,56,,,,,04043US56,Wyoming -- Rural,203407,105136,6450,6787,7516,4420,2290,1318,1114,2652,4863,5792,6470,6332,6873,8685,8739,3793,4601,3281,3189,4375,2752,1889,955,98271,5394,7068,6450,3704,1931,1117,843,2463,4827,5841,5943,5954,6765,8806,8425,3300,4534,2563,3055,3794,2578,1448,1468,188383,97594,5735,5894,6754,3932,2088,4633,4444,5372,11857,14634,16488,10336,4489,938,90789,4772,6392,5707,3378,1696,3968,4453,5413,10925,14490,15381,8898,3893,1423,520,264,7,10,12,16,8,29,35,12,24,31,10,54,16,0,256,5,76,44,6,0,2,12,0,33,51,27,0,0,0,7991,4035,458,472,397,217,122,253,266,229,527,458,354,220,59,3,3956,372,402,391,191,108,303,232,260,465,472,434,222,92,12,800,307,34,39,19,31,0,10,0,0,49,55,39,5,26,0,493,0,0,21,43,0,18,21,12,139,97,93,17,11,21,91,43,0,0,0,6,0,0,3,0,8,14,12,0,0,0,48,0,0,0,14,3,0,0,0,18,7,0,6,0,0,1470,693,23,25,27,55,40,31,31,89,67,113,78,77,33,4,777,39,60,44,8,27,44,13,61,146,174,62,87,12,0,4152,2200,193,347,307,163,32,128,84,90,270,253,152,153,18,10,1952,206,138,243,64,97,88,96,95,171,280,262,182,18,12,180730,93683,5235,5557,6377,3665,1936,4415,4278,4948,11278,14145,16248,10247,4432,922,87047,4478,6044,5311,3170,1608,3807,4091,5097,10470,14024,15027,8674,3828,1418,10326,5288,581,500,471,383,204,279,254,549,753,663,349,191,91,20,5038,445,472,481,224,124,255,393,428,641,677,472,340,81,5,42.5,42.2,42.9,43.5,43.3,43.7,29.3,36.0,16.6,27.8,26.7,29.7,43.0,39.2,44.7,41.5,46.3,38.4,39.6,37.8,39.9,27.4,22.7,31.8,44.3,44.2,44.4,30.5,29.5,31.0,203407
40,WY,56,,,,,040A0US56,Wyoming -- In metropolitan or micropolitan statistical area,419526,213597,14460,14105,15073,8079,6075,3877,4027,10106,16892,16169,13750,12863,12403,14375,15137,5365,7473,4316,4782,5534,3916,2724,2096,205929,14346,14099,13026,7456,5362,3515,3187,9281,15126,14624,12974,12015,11912,14769,14751,5375,7211,4107,4704,6086,4430,3669,3904,376151,190987,12339,11693,13003,7130,5088,15595,14494,14275,23888,25044,26170,13897,6322,2049,185164,12109,12110,11236,6558,4668,14121,13451,12977,22219,24576,25640,13970,7706,3823,5469,3218,98,245,150,144,234,406,304,390,351,229,433,100,134,0,2251,310,127,198,87,71,246,63,148,244,263,389,82,14,9,11719,6049,615,630,638,289,192,625,490,494,729,558,492,231,56,10,5670,550,594,489,255,112,424,421,486,743,710,486,278,102,20,4631,2123,75,138,69,36,86,238,359,380,313,204,104,84,0,37,2508,122,86,163,67,68,206,284,203,393,367,280,118,115,36,361,278,5,0,2,0,2,165,87,0,4,0,13,0,0,0,83,0,0,0,0,15,44,0,0,18,0,0,6,0,0,9498,4698,314,389,499,199,191,436,516,342,803,333,390,173,113,0,4800,374,692,259,241,177,337,519,329,942,358,250,231,84,7,11697,6244,1014,1010,712,281,282,545,642,288,525,410,373,147,15,0,5453,881,490,681,248,251,605,388,481,430,407,292,212,78,9,347141,176024,10851,10445,11532,6282,4554,14172,13315,12886,21823,23552,25233,13371,6082,1926,171117,10513,10664,10000,5917,4222,12975,12354,11984,20242,23262,24415,13424,7498,3647,43322,22448,2321,1996,2270,1154,785,2162,1972,1978,3152,2006,1458,717,354,123,20874,2384,2329,1730,983,659,1714,1697,1494,3038,1875,1583,883,315,190,35.2,34.3,36.1,36.5,35.8,37.3,30.6,30.7,30.5,27.4,25.4,29.9,32.5,32.0,38.6,23.8,23.8,24.1,27.8,27.8,27.7,20.0,18.7,21.8,37.5,36.8,38.4,26.6,26.3,26.8,419526
40,WY,56,,,,,040C0US56,Wyoming -- In metropolitan statistical area,175442,88406,5801,6166,5930,3387,2247,1701,1310,3724,6972,6660,5649,5323,5275,6187,6244,2267,3165,1760,2144,2398,1894,1173,1029,87036,5975,5675,5737,3037,1957,1254,1228,3517,6237,6037,5533,4895,5150,6221,6259,2232,3274,1798,2032,2919,2245,1734,2090,157896,79110,5189,5083,5131,3016,1924,5639,5930,5721,9912,10768,10819,6017,2932,1029,78786,4987,4913,5024,2710,1649,5250,5564,5438,9482,10599,11044,6289,3788,2049,3669,2146,28,136,61,123,80,228,175,381,272,173,335,96,58,0,1523,253,105,85,79,10,217,24,128,60,164,332,43,14,9,1723,996,81,49,89,17,5,257,171,88,78,64,83,14,0,0,727,40,77,5,52,6,66,64,3,259,74,32,49,0,0,1870,785,12,94,42,20,28,34,99,176,136,54,50,40,0,0,1085,69,7,86,6,50,69,158,77,103,176,121,78,64,21,80,37,5,0,1,0,2,23,0,0,4,0,2,0,0,0,43,0,0,0,0,3,40,0,0,0,0,0,0,0,0,4811,2334,150,137,231,38,99,247,271,204,371,226,194,94,72,0,2477,261,273,127,129,125,143,301,162,361,224,133,171,63,4,5393,2998,336,667,375,173,109,307,326,90,199,177,193,41,5,0,2395,365,300,410,61,114,214,126,229,163,134,103,119,50,7,145316,72810,4451,4548,4648,2608,1634,5155,5442,5241,9116,10210,10331,5674,2829,923,72506,4370,4301,4397,2476,1536,4665,5100,4934,8747,10031,10404,5995,3652,1898,19744,10097,1061,976,901,515,370,934,901,816,1297,889,732,424,175,106,9647,1034,961,885,428,269,851,815,718,1153,879,799,474,219,162,36.4,35.3,37.7,37.9,37.0,38.8,32.4,32.9,27.6,27.4,25.0,38.7,32.9,32.4,39.6,22.7,22.4,22.9,28.5,28.9,28.0,18.1,17.2,19.2,39.0,38.0,39.8,27.2,27.1,27.4,175442
40,WY,56,,,,,040C1US56,Wyoming -- In metropolitan statistical area -- in principal city,121012,60031,3845,4288,4192,2381,1399,1023,881,2748,5193,5028,3903,3540,3246,3843,4168,1523,2163,1052,1356,1398,1315,675,871,60981,4265,4056,3754,2123,1225,970,947,2758,4714,4474,3679,3177,3254,3935,4347,1544,2165,1387,1392,1970,1611,1400,1834,107349,52849,3390,3382,3519,2063,1163,3880,4388,4261,6632,6543,7226,3652,1879,871,54500,3488,3491,3155,1872,954,4033,4320,3982,6030,6634,7475,4402,2850,1814,3080,1760,28,136,41,122,57,163,149,286,228,173,304,34,39,0,1320,241,45,52,64,3,210,21,122,51,153,292,43,14,9,1464,863,62,49,89,17,0,240,134,79,71,40,80,2,0,0,601,19,77,5,48,0,39,64,1,237,63,24,24,0,0,1574,612,12,55,42,20,26,0,83,176,93,45,20,40,0,0,962,65,7,86,6,50,53,132,72,81,162,106,78,64,0,55,15,5,0,1,0,2,2,0,0,4,0,1,0,0,0,40,0,0,0,0,0,40,0,0,0,0,0,0,0,0,3300,1646,101,97,201,38,64,119,126,173,311,178,107,59,72,0,1654,135,199,97,90,109,95,82,115,316,100,95,154,63,4,4190,2286,247,569,299,121,87,248,313,53,104,110,116,19,0,0,1904,317,237,359,43,109,205,95,182,141,77,64,48,20,7,98700,48570,2820,3048,3225,1874,974,3638,3975,3981,6074,6169,6832,3378,1817,765,50130,3100,3103,2819,1708,910,3667,3957,3610,5550,6222,6915,4192,2714,1663,13900,7174,825,708,664,294,231,544,673,564,941,620,548,322,134,106,6726,648,641,537,322,184,561,471,521,853,575,678,354,219,162,35.2,33.9,36.5,36.7,35.6,37.8,32.6,33.6,31.0,27.4,24.7,38.6,32.8,32.4,39.6,22.9,19.8,.,31.6,32.2,30.7,16.4,15.8,17.7,37.4,36.4,38.5,28.3,27.6,30.0,121012
40,WY,56,,,,,040C2US56,Wyoming -- In metropolitan statistical area -- not in principal city,54430,28375,1956,1878,1738,1006,848,678,429,976,1779,1632,1746,1783,2029,2344,2076,744,1002,708,788,1000,579,498,158,26055,1710,1619,1983,914,732,284,281,759,1523,1563,1854,1718,1896,2286,1912,688,1109,411,640,949,634,334,256,50547,26261,1799,1701,1612,953,761,1759,1542,1460,3280,4225,3593,2365,1053,158,24286,1499,1422,1869,838,695,1217,1244,1456,3452,3965,3569,1887,938,235,589,386,0,0,20,1,23,65,26,95,44,0,31,62,19,0,203,12,60,33,15,7,7,3,6,9,11,40,0,0,0,259,133,19,0,0,0,5,17,37,9,7,24,3,12,0,0,126,21,0,0,4,6,27,0,2,22,11,8,25,0,0,296,173,0,39,0,0,2,34,16,0,43,9,30,0,0,0,123,4,0,0,0,0,16,26,5,22,14,15,0,0,21,25,22,0,0,0,0,0,21,0,0,0,0,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1511,688,49,40,30,0,35,128,145,31,60,48,87,35,0,0,823,126,74,30,39,16,48,219,47,45,124,38,17,0,0,1203,712,89,98,76,52,22,59,13,37,95,67,77,22,5,0,491,48,63,51,18,5,9,31,47,22,57,39,71,30,0,46616,24240,1631,1500,1423,734,660,1517,1467,1260,3042,4041,3499,2296,1012,158,22376,1270,1198,1578,768,626,998,1143,1324,3197,3809,3489,1803,938,235,5844,2923,236,268,237,221,139,390,228,252,356,269,184,102,41,0,2921,386,320,348,106,85,290,344,197,300,304,121,120,0,0,39.3,38.8,39.6,40.1,39.9,40.3,32.1,32.7,14.7,27.8,25.9,42.5,38.0,27.7,39.5,22.5,22.5,.,26.9,27.2,26.7,26.6,20.8,32.8,41.6,41.3,42.0,24.1,24.3,24.1,54430
40,WY,56,,,,,040E0US56,Wyoming -- In micropolitan statistical area,244084,125191,8659,7939,9143,4692,3828,2176,2717,6382,9920,9509,8101,7540,7128,8188,8893,3098,4308,2556,2638,3136,2022,1551,1067,118893,8371,8424,7289,4419,3405,2261,1959,5764,8889,8587,7441,7120,6762,8548,8492,3143,3937,2309,2672,3167,2185,1935,1814,218255,111877,7150,6610,7872,4114,3164,9956,8564,8554,13976,14276,15351,7880,3390,1020,106378,7122,7197,6212,3848,3019,8871,7887,7539,12737,13977,14596,7681,3918,1774,1800,1072,70,109,89,21,154,178,129,9,79,56,98,4,76,0,728,57,22,113,8,61,29,39,20,184,99,57,39,0,0,9996,5053,534,581,549,272,187,368,319,406,651,494,409,217,56,10,4943,510,517,484,203,106,358,357,483,484,636,454,229,102,20,2761,1338,63,44,27,16,58,204,260,204,177,150,54,44,0,37,1423,53,79,77,61,18,137,126,126,290,191,159,40,51,15,281,241,0,0,1,0,0,142,87,0,0,0,11,0,0,0,40,0,0,0,0,12,4,0,0,18,0,0,6,0,0,4687,2364,164,252,268,161,92,189,245,138,432,107,196,79,41,0,2323,113,419,132,112,52,194,218,167,581,134,117,60,21,3,6304,3246,678,343,337,108,173,238,316,198,326,233,180,106,10,0,3058,516,190,271,187,137,391,262,252,267,273,189,93,28,2,201825,103214,6400,5897,6884,3674,2920,9017,7873,7645,12707,13342,14902,7697,3253,1003,98611,6143,6363,5603,3441,2686,8310,7254,7050,11495,13231,14011,7429,3846,1749,23578,12351,1260,1020,1369,639,415,1228,1071,1162,1855,1117,726,293,179,17,11227,1350,1368,845,555,390,863,882,776,1885,996,784,409,96,28,34.3,33.7,35.1,35.5,35.0,36.1,24.1,20.9,35.5,27.3,25.5,29.4,32.3,30.0,37.7,23.9,23.8,38.2,26.8,25.7,27.4,22.0,19.7,23.4,36.5,36.0,37.1,26.1,25.8,26.4,244084
40,WY,56,,,,,040E1US56,Wyoming -- In micropolitan statistical area -- in principal city,138437,71236,5265,4376,5253,2188,2717,1724,2106,4684,7019,6288,4478,4380,3791,3712,4560,1211,2010,814,1240,1173,787,784,676,67201,5118,4830,3798,2288,2445,1779,1380,4044,6048,5407,4244,3859,3065,4039,4178,1504,1775,1079,1113,1692,1119,1322,1075,124962,64049,4438,3702,4584,1997,2233,7625,6038,5666,7971,7085,7359,3145,1552,654,60913,4490,4246,3303,2044,2223,6525,5351,4817,7117,6500,7164,3705,2362,1066,1472,868,70,80,89,16,147,142,103,1,79,47,94,0,0,0,604,52,22,105,0,61,29,30,20,155,88,40,2,0,0,1992,990,50,116,113,28,63,95,60,149,129,68,89,30,0,0,1002,113,58,74,12,9,26,128,204,65,208,35,61,5,4,2209,1170,29,44,27,16,54,200,244,204,158,131,19,22,0,22,1039,53,17,68,37,9,123,126,118,168,134,108,38,40,0,240,227,0,0,1,0,0,142,84,0,0,0,0,0,0,0,13,0,0,0,0,9,4,0,0,0,0,0,0,0,0,3624,1874,159,211,209,119,73,175,225,121,344,77,128,14,19,0,1750,66,387,88,110,52,159,203,109,488,55,12,1,17,3,3938,2058,519,223,230,12,147,135,265,147,177,95,92,16,0,0,1880,344,100,160,85,82,337,210,139,110,119,98,77,17,2,113244,57621,3873,3135,3846,1673,2052,6793,5545,4994,7024,6467,7095,3035,1452,637,55623,3786,3614,2848,1741,1953,6178,4948,4406,6237,6114,6848,3571,2326,1053,16511,8925,974,778,1008,444,305,1056,794,848,1332,710,416,124,119,17,7586,940,1047,593,426,327,569,626,586,1368,483,354,198,53,16,30.9,30.2,31.5,31.6,31.2,32.0,21.0,20.4,30.2,31.5,27.7,32.4,31.4,29.8,33.3,23.8,23.8,19.7,25.0,24.8,25.2,21.4,18.4,23.1,32.2,31.7,33.0,24.4,24.6,24.1,138437
40,WY,56,,,,,040E2US56,Wyoming -- In micropolitan statistical area -- not in principal city,105647,53955,3394,3563,3890,2504,1111,452,611,1698,2901,3221,3623,3160,3337,4476,4333,1887,2298,1742,1398,1963,1235,767,391,51692,3253,3594,3491,2131,960,482,579,1720,2841,3180,3197,3261,3697,4509,4314,1639,2162,1230,1559,1475,1066,613,739,93293,47828,2712,2908,3288,2117,931,2331,2526,2888,6005,7191,7992,4735,1838,366,45465,2632,2951,2909,1804,796,2346,2536,2722,5620,7477,7432,3976,1556,708,328,204,0,29,0,5,7,36,26,8,0,9,4,4,76,0,124,5,0,8,8,0,0,9,0,29,11,17,37,0,0,8004,4063,484,465,436,244,124,273,259,257,522,426,320,187,56,10,3941,397,459,410,191,97,332,229,279,419,428,419,168,97,16,552,168,34,0,0,0,4,4,16,0,19,19,35,22,0,15,384,0,62,9,24,9,14,0,8,122,57,51,2,11,15,41,14,0,0,0,0,0,0,3,0,0,0,11,0,0,0,27,0,0,0,0,3,0,0,0,18,0,0,6,0,0,1063,490,5,41,59,42,19,14,20,17,88,30,68,65,22,0,573,47,32,44,2,0,35,15,58,93,79,105,59,4,0,2366,1188,159,120,107,96,26,103,51,51,149,138,88,90,10,0,1178,172,90,111,102,55,54,52,113,157,154,91,16,11,0,88581,45593,2527,2762,3038,2001,868,2224,2328,2651,5683,6875,7807,4662,1801,366,42988,2357,2749,2755,1700,733,2132,2306,2644,5258,7117,7163,3858,1520,696,7067,3426,286,242,361,195,110,172,277,314,523,407,310,169,60,0,3641,410,321,252,129,63,294,256,190,517,513,430,211,43,12,40.3,40.0,40.7,41.8,41.6,42.0,40.4,29.7,50.3,25.8,25.1,26.4,42.2,49.5,41.9,38.8,.,38.6,39.6,37.5,40.4,24.5,24.0,25.5,42.5,42.4,42.6,32.0,31.8,33.2,105647
